;Casapound;PdF;NcI-UDC;Lega;FI;FdI;+E;PD;Insieme;CP;LeU;PVU;PaP;M5S;FN-FT;PRI-ALA;10VM;PCLtSCR;GN;IR-DC;INC;Ren-MIR;LdP;PpA;SiAmo;PC;AD;SVP-PATT;PD-UV-UVP-EPAV;PT;FI-FdI-MNVA;RC;@abs;@blank
Accadia;3;8;18;44;140;25;9;190;8;104;32;112;9;560;3;3;;;;;;;;;;;;;;;;;548;24
Alberona;9;1;24;47;115;14;1;34;6;2;9;1;3;212;3;0;;;;;;;;;;;;;;;;;301;8
Anzano di Puglia;4;3;7;23;102;7;2;95;2;20;7;0;4;343;6;1;;;;;;;;;;;;;;;;;354;11
Apricena;52;28;1432;432;963;188;42;1206;15;56;86;13;55;2215;26;7;;;;;;;;;;;;;;;;;3081;65
Biccari;15;5;13;90;164;54;19;247;16;9;41;0;9;738;5;0;;;;;;;;;;;;;;;;;680;29
Bovino;4;6;17;122;241;35;30;246;6;67;30;3;37;753;15;3;;;;;;;;;;;;;;;;;893;29
Carlantino;3;3;5;17;64;9;5;57;2;7;41;0;9;267;4;1;;;;;;;;;;;;;;;;;240;10
Casalnuovo Monterotaro;6;5;9;48;87;14;7;129;12;9;37;0;8;339;2;1;;;;;;;;;;;;;;;;;371;13
Casalvecchio di Puglia;4;5;15;60;151;20;1;165;2;70;53;1;8;367;5;1;;;;;;;;;;;;;;;;;502;17
Castelluccio Valmaggiore;2;0;21;32;136;24;12;109;61;8;11;1;3;260;7;1;;;;;;;;;;;;;;;;;308;11
Castelnuovo Della Daunia;5;0;14;30;90;18;7;149;2;4;13;0;5;388;5;0;;;;;;;;;;;;;;;;;387;6
Celenza Valfortore;3;1;17;113;108;18;8;149;6;12;12;0;3;361;3;0;;;;;;;;;;;;;;;;;399;28
Celle di san Vito;1;0;4;11;21;6;0;15;1;2;0;0;0;23;1;0;;;;;;;;;;;;;;;;;47;0
Chieuti;10;3;58;57;190;38;8;112;0;4;12;0;10;411;5;1;;;;;;;;;;;;;;;;;385;12
Deliceto;13;23;98;104;341;62;7;289;4;9;36;11;19;1009;13;2;;;;;;;;;;;;;;;;;720;33
Faeto;3;3;13;22;58;12;1;35;1;2;3;0;2;125;6;0;;;;;;;;;;;;;;;;;190;5
Lesina;15;15;78;352;977;132;27;299;4;4;39;3;14;931;31;4;;;;;;;;;;;;;;;;;1813;41
Lucera;110;99;223;1146;3470;439;218;1868;55;119;355;9;132;7647;75;12;;;;;;;;;;;;;;;;;8904;165
Monteleone di Puglia;3;10;34;29;131;7;3;45;0;198;2;12;2;163;1;0;;;;;;;;;;;;;;;;;148;10
Motta Montecorvino;1;1;1;38;64;4;11;58;0;9;32;0;2;139;1;0;;;;;;;;;;;;;;;;;204;14
Orsara di Puglia;4;6;57;86;220;36;18;341;19;22;52;4;6;691;6;2;;;;;;;;;;;;;;;;;636;46
Panni;4;3;8;8;74;12;0;15;0;313;7;0;4;72;1;0;;;;;;;;;;;;;;;;;131;7
Pietramontecorvino;20;5;71;88;159;54;16;297;9;2;32;2;13;733;5;0;;;;;;;;;;;;;;;;;591;19
Poggio Imperiale;3;3;53;114;336;55;5;172;3;3;10;1;7;502;8;0;;;;;;;;;;;;;;;;;635;18
Rignano Garganico;3;6;106;49;160;24;7;190;4;69;8;3;7;394;9;0;;;;;;;;;;;;;;;;;481;7
Roseto Valfortore;0;0;15;58;83;7;2;50;1;8;4;0;1;120;2;0;;;;;;;;;;;;;;;;;495;5
San Marco la Catola;6;0;3;38;99;10;4;82;20;2;8;0;3;200;7;1;;;;;;;;;;;;;;;;;286;26
San Nicandro Garganico;31;60;585;758;1118;185;92;941;23;191;161;4;20;2737;23;3;;;;;;;;;;;;;;;;;5138;94
San Paolo di Civitate;24;16;80;187;569;100;14;413;10;19;54;18;23;1199;10;2;;;;;;;;;;;;;;;;;1465;28
San Severo;148;98;1071;1650;5637;717;279;2898;124;419;731;32;126;12225;183;21;;;;;;;;;;;;;;;;;13594;216
Sant'Agata di Puglia;7;12;9;90;173;26;2;157;1;12;14;24;3;429;13;1;;;;;;;;;;;;;;;;;507;12
Serracapriola;27;4;45;268;421;79;15;223;9;37;50;1;18;774;14;2;;;;;;;;;;;;;;;;;881;19
Torremaggiore;61;42;223;715;1610;341;57;1270;7;412;171;8;37;3246;51;1;;;;;;;;;;;;;;;;;4283;76
Troia;12;29;68;242;429;102;43;669;11;24;91;3;27;1978;12;3;;;;;;;;;;;;;;;;;1616;58
Volturara Appula;1;0;2;12;26;3;0;21;1;2;4;0;3;124;1;0;;;;;;;;;;;;;;;;;142;3
Volturino;7;5;33;83;174;21;5;100;16;4;31;2;8;344;2;2;;;;;;;;;;;;;;;;;434;24
Ascoli Satriano;13;19;52;223;554;74;80;391;2;21;82;8;22;1607;24;1;6;;;;;;;;;;;;;;;;1420;31
Candela;2;15;61;53;200;39;22;280;13;6;17;4;7;764;7;1;5;;;;;;;;;;;;;;;;540;22
Carapelle;16;19;100;345;462;44;7;403;1;10;22;66;10;1715;6;2;2;;;;;;;;;;;;;;;;1232;29
Carpino;5;1;104;117;583;72;9;531;29;9;13;6;6;381;9;0;2;;;;;;;;;;;;;;;;1289;29
Castelluccio dei Sauri;4;7;11;98;193;30;4;96;13;24;23;13;22;488;11;1;3;;;;;;;;;;;;;;;;422;22
Cerignola;68;104;209;1791;6051;1082;160;3359;38;613;450;18;150;9921;84;7;25;;;;;;;;;;;;;;;;18708;192
Isole Tremiti;1;1;3;24;31;5;5;25;0;3;1;0;0;77;0;0;0;;;;;;;;;;;;;;;;218;2
Manfredonia;103;159;468;1855;6271;486;199;4151;95;98;597;20;201;14332;148;19;40;;;;;;;;;;;;;;;;13983;241
Mattinata;9;11;68;196;760;105;24;530;2;6;110;1;12;1215;24;5;0;;;;;;;;;;;;;;;;1701;31
Monte Sant'Angelo;21;40;289;250;863;85;54;1380;29;65;229;3;67;2465;18;9;7;;;;;;;;;;;;;;;;3830;84
Ordona;5;16;37;118;281;52;4;165;1;3;17;5;4;699;7;0;1;;;;;;;;;;;;;;;;440;16
Orta Nova;67;94;133;626;1533;312;25;1686;9;49;59;170;17;3780;32;3;11;;;;;;;;;;;;;;;;4259;73
Rocchetta Sant'Antonio;11;8;7;56;175;33;49;219;7;3;20;1;6;441;10;0;0;;;;;;;;;;;;;;;;391;26
Stornara;16;19;21;183;621;76;7;300;7;47;24;8;6;1224;9;2;9;;;;;;;;;;;;;;;;1147;26
Stornarella;9;4;42;178;506;286;17;438;5;34;20;6;10;1110;7;0;2;;;;;;;;;;;;;;;;933;29
Zapponeta;6;40;46;135;530;37;2;183;0;0;66;11;18;515;5;0;2;;;;;;;;;;;;;;;;709;14
Margherita di Savoia;20;20;300;383;1482;418;51;600;15;353;235;16;33;2129;25;3;6;;;;;;;;;;;;;;;;3398;48
San Ferdinando di Puglia;25;98;180;501;1731;314;34;1107;23;11;118;23;22;2539;57;1;10;;;;;;;;;;;;;;;;3571;94
Trinitapoli;17;121;129;392;1458;701;30;706;19;43;203;3;14;3291;46;7;6;;;;;;;;;;;;;;;;3730;71
Cagnano Varano;14;6;363;215;570;42;7;414;13;64;87;2;28;1294;19;3;4;;;;;;;;;;;;;;;;2452;51
Foggia;529;953;1004;6349;12097;2188;908;8857;410;680;2146;52;395;36695;442;70;89;;;;;;;;;;;;;;;;38697;525
Ischitella;3;11;81;209;616;61;13;286;2;108;73;3;48;509;6;1;3;;;;;;;;;;;;;;;;1244;33
Peschici;21;5;380;201;802;147;10;124;5;10;30;4;9;432;9;1;1;;;;;;;;;;;;;;;;1130;29
Rodi Garganico;4;9;134;176;474;53;7;313;3;10;51;2;7;554;9;0;2;;;;;;;;;;;;;;;;994;26
San Giovanni Rotondo;95;311;616;970;2456;318;112;1758;26;179;202;5;1021;5526;37;9;23;;;;;;;;;;;;;;;;6380;165
San Marco in Lamis;32;203;1336;356;1006;104;59;953;22;128;134;17;108;2231;29;6;8;;;;;;;;;;;;;;;;3492;106
Vico del Gargano;7;5;291;437;1071;157;35;404;8;21;114;4;19;936;21;1;1;;;;;;;;;;;;;;;;2325;25
Vieste;9;8;139;387;1746;252;56;994;21;37;123;7;22;2176;28;2;3;;;;;;;;;;;;;;;;3905;61
Abriola;2;7;39;28;73;9;7;257;3;7;39;0;2;375;;;3;1;;1;;;0;;;1;;;;;;;333;16
Albano di Lucania;6;3;23;85;73;25;10;109;82;7;44;5;7;326;;;1;2;;0;;;2;;;7;;;;;;;284;29
Anzi;2;1;22;46;57;7;7;174;6;23;161;0;21;356;;;1;3;;2;;;2;;;3;;;;;;;454;23
Armento;0;4;8;22;27;15;2;68;1;0;12;3;15;78;;;0;0;;0;;;1;;;1;;;;;;;203;11
Avigliano;23;13;115;234;377;510;71;1148;362;71;574;15;93;2977;;;12;15;;14;;;23;;;48;;;;;;;2324;81
Balvano;6;2;32;50;128;29;10;66;9;31;51;1;9;539;;;2;6;;7;;;2;;;6;;;;;;;451;67
Baragiano;8;8;28;80;238;39;19;164;97;12;54;5;11;684;;;0;23;;3;;;10;;;3;;;;;;;536;34
Bella;15;14;69;103;314;65;66;480;17;16;125;9;23;1335;;;2;69;;11;;;6;;;26;;;;;;;1057;60
Brienza;8;4;57;89;152;31;31;380;17;8;161;1;97;916;;;4;15;;5;;;3;;;23;;;;;;;990;62
Brindisi Montagna;5;6;9;25;59;18;3;74;2;6;34;1;3;205;;;0;1;;3;;;3;;;2;;;;;;;245;11
Calvello;2;4;33;87;112;22;11;167;6;18;55;2;11;410;;;1;4;;3;;;0;;;7;;;;;;;567;30
Calvera;0;0;13;23;36;8;0;29;1;5;0;0;0;0;;;0;0;;0;;;0;;;0;;;;;;;136;7
Campomaggiore;1;3;18;51;32;13;0;98;8;2;29;1;5;160;;;1;0;;3;;;0;;;1;;;;;;;197;9
Carbone;0;2;4;16;34;2;4;50;0;13;7;1;1;149;;;0;1;;1;;;1;;;1;;;;;;;243;9
Castelluccio Inferiore;5;6;37;92;163;33;14;277;2;30;51;0;7;418;;;2;5;;2;;;3;;;8;;;;;;;488;46
Castelluccio Superiore;2;1;1;27;23;5;8;102;7;1;11;1;2;204;;;1;0;;2;;;1;;;0;;;;;;;226;25
Castelmezzano;0;0;6;44;40;15;2;177;3;14;19;0;0;153;;;0;0;;0;;;0;;;1;;;;;;;172;8
Castelsaraceno;1;1;26;21;54;10;4;149;9;7;20;1;9;418;;;1;5;;7;;;0;;;4;;;;;;;373;20
Castronuovo di Sant'Andrea;3;3;18;36;39;10;2;116;1;5;24;0;3;212;;;0;1;;5;;;1;;;13;;;;;;;367;20
Cersosimo;1;1;16;5;40;1;1;70;10;2;9;0;2;133;;;0;0;;0;;;1;;;2;;;;;;;241;7
Chiaromonte;16;2;22;43;76;73;2;197;2;54;47;0;10;514;;;0;1;;0;;;0;;;5;;;;;;;445;30
Corleto Perticara;15;5;57;68;129;60;24;246;8;77;31;2;1;427;;;0;3;;5;;;8;;;5;;;;;;;783;28
Episcopia;10;4;9;51;57;26;2;201;3;34;16;0;17;319;;;1;1;;6;;;0;;;8;;;;;;;340;27
Fardella;0;2;2;16;35;15;6;58;0;5;9;1;2;134;;;1;0;;3;;;0;;;1;;;;;;;163;6
Francavilla in Sinni;16;14;8;71;150;31;21;319;16;721;54;4;45;818;;;3;3;;7;;;4;;;20;;;;;;;900;43
Gallicchio;1;2;9;24;21;9;2;200;1;0;25;0;5;160;;;1;0;;1;;;1;;;1;;;;;;;231;9
Grumento Nova;2;5;29;128;146;32;9;77;4;9;33;1;20;360;;;0;1;;2;;;0;;;8;;;;;;;449;24
Guardia Perticara;1;0;20;5;22;11;4;66;2;3;5;0;2;107;;;0;2;;2;;;1;;;0;;;;;;;164;12
Lagonegro;8;6;123;241;453;144;44;496;11;32;192;1;54;1049;;;1;3;;3;;;0;;;12;;;;;;;1457;84
Latronico;10;7;32;138;226;44;40;590;33;55;162;9;56;986;;;8;4;;10;;;7;;;15;;;;;;;1171;86
Laurenzana;8;7;45;73;87;28;10;132;1;29;84;3;20;303;;;4;0;;1;;;3;;;7;;;;;;;532;28
Lauria;36;32;104;512;803;220;88;1814;278;114;192;29;85;2914;;;4;14;;27;;;11;;;33;;;;;;;2642;240
Maratea;10;5;48;224;656;168;98;490;8;9;82;2;64;886;;;3;7;;4;;;1;;;6;;;;;;;1434;47
Marsico Nuovo;7;4;17;143;242;65;45;429;129;14;170;3;18;928;;;4;7;;11;;;3;;;13;;;;;;;1104;67
Marsicovetere;34;6;36;227;463;94;38;670;15;8;95;6;23;1246;;;4;3;;4;;;1;;;9;;;;;;;1129;54
Missanello;4;0;2;13;25;12;4;71;2;4;29;0;4;105;;;0;0;;0;;;0;;;1;;;;;;;125;10
Moliterno;5;13;32;179;367;83;24;343;34;17;97;1;16;814;;;1;6;;12;;;2;;;15;;;;;;;1120;43
Montemurro;5;7;10;40;71;18;18;133;3;6;19;2;7;328;;;1;0;;1;;;2;;;0;;;;;;;322;12
Nemoli;1;2;14;47;105;27;13;198;7;2;61;1;27;309;;;3;8;;1;;;0;;;6;;;;;;;307;36
Noepoli;2;1;5;26;38;15;2;70;1;2;31;0;4;201;;;1;2;;1;;;0;;;0;;;;;;;282;17
Paterno;3;2;49;139;249;42;8;239;10;16;89;1;8;804;;;3;4;;5;;;1;;;13;;;;;;;964;38
Picerno;41;13;60;262;608;60;50;484;35;21;121;15;73;1384;;;6;10;;20;;;17;;;12;;;;;;;1388;77
Pietrapertosa;6;2;82;26;51;7;0;26;1;9;214;0;4;94;;;1;1;;0;;;0;;;7;;;;;;;288;24
Pignola;34;20;45;258;403;119;55;502;17;31;242;25;40;1617;;;2;6;;6;;;7;;;16;;;;;;;1420;42
Potenza;247;455;805;2649;4056;1867;776;5215;296;518;3517;168;610;15942;;;89;63;;47;;;155;;;189;;;;;;;13990;475
Rivello;5;1;53;113;213;87;15;228;4;6;207;5;24;559;;;1;1;;4;;;5;;;3;;;;;;;618;22
Roccanova;7;4;21;60;97;19;2;201;7;15;48;2;2;307;;;2;1;;2;;;1;;;9;;;;;;;412;24
Rotonda;1;15;12;91;318;35;14;417;7;6;57;0;20;751;;;4;2;;5;;;1;;;2;;;;;;;971;71
Ruoti;10;15;76;91;225;89;28;212;23;17;64;57;27;1057;;;4;16;;13;;;7;;;40;;;;;;;710;46
San Chirico Nuovo;1;4;64;44;38;10;6;135;10;4;24;3;9;379;;;0;2;;2;;;2;;;3;;;;;;;366;18
San Chirico Raparo;3;2;27;34;42;6;3;73;3;6;15;0;6;220;;;0;1;;7;;;1;;;3;;;;;;;347;25
San Costantino Albanese;2;2;47;16;28;2;2;134;1;15;24;2;2;94;;;0;1;;0;;;0;;;3;;;;;;;202;12
San Martino d'Agri;3;1;22;6;35;5;1;173;1;1;23;1;4;171;;;1;0;;1;;;1;;;1;;;;;;;154;9
San Paolo Albanese;0;0;4;8;8;2;1;50;0;10;1;0;0;33;;;0;0;;1;;;0;;;0;;;;;;;94;3
San Severino Lucano;5;3;10;22;61;16;8;369;3;9;42;0;5;295;;;0;4;;3;;;1;;;3;;;;;;;408;15
Sant'Angelo le Fratte;5;3;21;55;83;54;10;114;9;11;60;2;7;311;;;3;0;;0;;;4;;;6;;;;;;;310;15
Sant'Arcangelo;24;5;96;272;396;186;15;1024;7;14;81;4;12;1089;;;2;6;;10;;;3;;;5;;;;;;;1541;65
Sarconi;3;7;9;67;132;41;2;91;9;8;25;0;8;322;;;0;0;;4;;;0;;;2;;;;;;;368;39
Sasso di Castalda;1;2;31;31;41;7;2;76;4;0;38;1;13;163;;;1;1;;1;;;0;;;4;;;;;;;242;19
Satriano di Lucania;4;11;25;134;135;63;20;222;5;14;95;2;20;550;;;4;3;;4;;;5;;;11;;;;;;;466;36
Savoia di Lucania;0;3;17;53;68;12;7;131;9;7;38;2;17;219;;;1;7;;3;;;3;;;2;;;;;;;285;13
Senise;34;22;92;342;695;151;45;744;9;87;151;4;27;1427;;;0;2;;14;;;7;;;17;;;;;;;1649;114
Spinoso;6;2;61;48;118;39;11;73;3;6;41;1;2;327;;;0;0;;3;;;2;;;3;;;;;;;408;12
Teana;0;1;4;8;18;4;5;82;2;8;36;1;5;145;;;0;0;;2;;;0;;;0;;;;;;;157;11
Terranova di Pollino;5;1;32;25;42;24;2;144;4;25;7;0;6;278;;;0;2;;3;;;1;;;1;;;;;;;368;30
Tito;21;14;72;337;474;121;63;523;19;30;326;6;54;1808;;;7;7;;5;;;17;;;38;;;;;;;1439;82
Tolve;5;15;58;456;128;47;17;321;18;24;58;3;16;714;;;2;2;;7;;;1;;;7;;;;;;;628;80
Tramutola;4;3;32;169;238;61;23;355;25;13;102;3;10;647;;;1;1;;9;;;1;;;2;;;;;;;659;30
Trecchina;10;1;61;71;174;33;16;439;16;3;72;1;17;395;;;3;2;;2;;;1;;;6;;;;;;;515;50
Trivigno;2;2;9;11;23;11;4;105;5;0;30;2;3;140;;;1;0;;0;;;2;;;1;;;;;;;186;6
Vaglio Basilicata;27;5;9;70;114;27;24;277;3;18;95;1;18;419;;;2;2;;7;;;4;;;1;;;;;;;474;15
Vietri di Potenza;33;10;15;145;186;46;18;265;17;13;108;6;11;755;;;0;7;;6;;;7;;;10;;;;;;;627;50
Viggianello;1;5;29;86;211;25;8;352;8;15;87;8;11;501;;;3;3;;5;;;7;;;14;;;;;;;1041;95
Viggiano;15;5;64;142;239;83;17;248;7;18;92;1;21;695;;;1;3;;3;;;5;;;8;;;;;;;732;40
Accettura;6;5;123;30;193;32;2;138;42;4;118;1;9;247;;;3;2;;4;;;7;;;6;;;;;;;453;47
Aliano;12;1;16;41;68;10;2;107;2;3;17;1;4;178;;;0;2;;6;;;1;;;5;;;;;;;306;23
Bernalda;63;85;475;343;1384;120;42;839;21;21;413;7;26;2405;;;3;3;;12;;;1;;;17;;;;;;;2967;91
Calciano;2;1;29;38;100;16;15;83;2;5;22;0;0;114;;;1;0;;1;;;0;;;2;;;;;;;192;7
Cirigliano;0;0;13;9;17;4;0;23;0;0;0;0;0;0;;;0;0;;0;;;0;;;0;;;;;;;126;1
Colobraro;2;0;12;37;86;9;8;258;6;1;14;2;2;206;;;1;2;;7;;;1;;;0;;;;;;;301;14
Craco;3;1;52;14;82;5;0;30;0;0;25;0;1;112;;;0;0;;2;;;1;;;1;;;;;;;213;6
Ferrandina;21;48;195;313;739;113;60;773;18;53;204;12;109;2018;;;6;45;;9;;;5;;;21;;;;;;;2030;101
Garaguso;2;1;15;31;88;53;1;100;2;3;23;1;0;183;;;1;0;;1;;;3;;;0;;;;;;;275;14
Gorgoglione;2;1;15;21;66;13;2;94;1;0;38;1;13;224;;;1;2;;0;;;1;;;0;;;;;;;229;18
Grassano;19;13;73;212;266;158;20;576;8;4;191;5;34;1232;;;2;0;;9;;;0;;;5;;;;;;;1110;46
Grottole;5;17;28;98;130;62;7;290;7;1;65;0;3;479;;;0;2;;7;;;0;;;6;;;;;;;537;23
Irsina;23;6;104;146;471;92;28;412;8;4;118;4;27;828;;;7;1;;9;;;2;;;12;;;;;;;1355;42
Matera;158;197;761;1584;3409;1231;584;4495;121;83;1999;50;312;16816;;;268;27;;50;;;50;;;104;;;;;;;13316;245
Miglionico;10;3;66;94;214;130;8;228;1;4;122;1;32;382;;;3;1;;9;;;1;;;6;;;;;;;633;15
Montalbano Jonico;29;20;55;233;427;153;23;694;8;14;226;3;17;1802;;;3;6;;4;;;4;;;21;;;;;;;1800;63
Montescaglioso;29;28;119;310;720;206;18;403;8;5;1291;5;22;1724;;;17;3;;2;;;11;;;18;;;;;;;2437;52
Nova Siri;37;11;603;197;397;87;23;531;14;14;118;4;31;1522;;;3;2;;11;;;3;;;13;;;;;;;1448;79
Oliveto Lucano;0;0;8;9;24;1;1;58;6;1;0;0;0;0;;;0;0;;0;;;0;;;0;;;;;;;103;5
Pisticci;88;54;998;618;1377;325;51;756;19;18;582;6;113;2942;;;16;8;;11;;;26;;;44;;;;;;;5023;179
Policoro;42;35;266;504;1644;403;80;1015;73;61;543;9;46;3750;;;12;7;;14;;;18;;;27;;;;;;;4033;130
Pomarico;11;9;139;120;233;24;13;411;9;3;112;2;22;919;;;3;1;;8;;;6;;;5;;;;;;;1187;36
Rotondella;19;3;62;66;203;34;10;251;77;3;57;1;10;483;;;1;1;;5;;;2;;;6;;;;;;;705;26
Salandra;9;11;8;94;128;78;12;394;7;129;98;0;4;552;;;0;2;;6;;;0;;;7;;;;;;;631;24
San Giorgio Lucano;1;10;32;48;90;17;1;105;3;2;54;3;1;204;;;3;0;;0;;;1;;;4;;;;;;;376;7
San Mauro Forte;4;1;38;46;111;15;4;74;0;5;90;3;25;304;;;1;1;;1;;;0;;;8;;;;;;;505;13
Scanzano Jonico;25;13;190;269;660;149;8;380;5;4;152;0;17;1783;;;2;1;;13;;;1;;;13;;;;;;;1719;54
Stigliano;7;7;116;116;254;56;24;416;2;4;88;4;29;752;;;1;5;;8;;;15;;;17;;;;;;;1488;35
Tricarico;18;5;99;198;321;87;21;394;9;31;226;5;44;1352;;;4;4;;6;;;8;;;17;;;;;;;1380;22
Tursi;13;8;369;118;414;53;20;203;6;31;156;0;10;963;;;5;6;;12;;;2;;;10;;;;;;;1358;45
Valsinni;4;7;55;30;117;23;8;176;0;2;83;1;6;243;;;2;1;;2;;;1;;;0;;;;;;;434;13
Acerenza;6;21;18;76;142;100;20;306;10;10;51;1;13;555;;;1;3;;7;;;0;;;13;;;;;;;519;23
Atella;14;15;21;110;230;60;15;451;52;14;54;2;25;1143;;;3;7;;7;;;3;;;3;;;;;;;734;20
Banzi;7;1;4;43;95;32;5;162;3;3;106;3;9;268;;;1;0;;0;;;0;;;3;;;;;;;305;7
Barile;17;10;17;76;100;31;16;290;8;9;79;1;27;829;;;5;3;;3;;;2;;;6;;;;;;;621;19
Cancellara;5;3;56;71;46;20;6;140;0;1;47;15;8;224;;;2;0;;2;;;0;;;4;;;;;;;340;31
Castelgrande;3;0;1;29;117;9;2;79;1;0;35;2;3;167;;;0;0;;2;;;3;;;0;;;;;;;295;20
Filiano;6;2;17;45;115;31;24;230;11;65;70;4;21;1057;;;5;4;;7;;;4;;;16;;;;;;;638;19
Forenza;13;8;13;67;170;54;9;188;4;3;41;1;12;424;;;0;3;;1;;;0;;;10;;;;;;;593;17
Genzano di Lucania;58;9;21;223;331;105;35;515;32;85;166;2;18;1404;;;1;8;;5;;;3;;;12;;;;;;;1406;26
Ginestra;1;6;2;37;48;10;4;48;0;1;7;0;2;195;;;0;1;;4;;;0;;;1;;;;;;;177;14
Lavello;100;55;69;459;1119;296;57;1211;70;64;205;33;47;3259;;;16;4;;10;;;4;;;23;;;;;;;2953;76
Maschito;7;2;12;57;123;32;6;134;2;1;19;2;6;398;;;1;4;;2;;;0;;;5;;;;;;;489;12
Melfi;59;73;95;401;1474;246;81;1015;248;286;222;42;65;4913;;;5;12;;32;;;8;;;25;;;;;;;3588;163
Montemilone;1;0;19;56;148;15;7;175;3;1;18;6;2;319;;;0;1;;0;;;0;;;5;;;;;;;461;13
Muro Lucano;16;5;81;189;627;130;30;430;12;19;58;16;18;1226;;;1;5;;11;;;6;;;13;;;;;;;1471;64
Oppido Lucano;11;9;33;141;173;62;21;557;29;6;113;2;19;1008;;;1;9;;3;;;2;;;18;;;;;;;712;47
Palazzo san Gervasio;12;15;50;216;339;259;20;220;18;27;81;3;14;1165;;;3;2;;3;;;0;;;8;;;;;;;1128;26
Pescopagano;2;9;9;58;101;25;11;231;47;14;171;0;30;385;;;2;3;;4;;;2;;;3;;;;;;;400;23
Pietragalla;10;9;36;122;181;143;21;538;14;18;166;2;20;1041;;;8;4;;4;;;1;;;15;;;;;;;870;61
Rapolla;8;6;15;87;194;39;13;232;176;11;44;6;12;1755;;;1;3;;9;;;2;;;12;;;;;;;750;41
Rapone;1;0;10;21;33;19;3;169;1;5;14;14;10;221;;;1;0;;7;;;1;;;1;;;;;;;245;11
Rionero in Vulture;52;33;84;380;632;201;55;893;78;46;331;11;436;4148;;;21;18;;15;;;21;;;38;;;;;;;2672;118
Ripacandida;3;3;16;29;86;15;5;219;16;4;44;1;16;449;;;5;0;;5;;;1;;;3;;;;;;;411;12
Ruvo del Monte;2;3;9;52;83;15;7;105;2;3;32;3;13;209;;;2;2;;0;;;10;;;10;;;;;;;268;33
San Fele;4;5;49;66;130;53;10;220;59;42;118;4;23;825;;;6;5;;10;;;7;;;19;;;;;;;811;23
Venosa;37;29;88;467;723;168;84;1139;19;52;210;7;64;3165;;;8;3;;11;;;8;;;40;;;;;;;2740;93
Acquaformosa;0;1;10;48;176;11;2;184;3;0;13;0;10;163;5;;;0;;;;;0;;;5;;;;;;;241;11
Acquappesa;2;4;8;30;179;78;5;92;8;4;23;2;7;413;5;;;4;;;;;1;;;3;;;;;;;552;34
Aieta;6;0;7;36;63;13;9;54;33;1;3;2;16;128;2;;;1;;;;;3;;;4;;;;;;;229;16
Altomonte;3;3;18;79;531;73;7;153;23;28;48;6;7;1106;17;;;3;;;;;0;;;3;;;;;;;1298;40
Amantea;35;14;129;386;1626;271;104;916;24;16;130;5;39;2964;35;;;7;;;;;3;;;20;;;;;;;3470;133
Belmonte Calabro;7;0;9;39;182;36;10;168;3;0;9;0;3;413;8;;;0;;;;;0;;;2;;;;;;;670;39
Belvedere Marittimo;7;46;81;194;1258;360;36;603;25;11;94;2;17;1762;33;;;6;;;;;2;;;19;;;;;;;2685;146
Bisignano;36;38;92;314;1125;217;23;663;49;30;77;9;27;2555;30;;;9;;;;;3;;;23;;;;;;;2395;129
Bonifati;2;5;8;43;478;22;4;234;13;2;62;3;5;443;42;;;1;;;;;1;;;3;;;;;;;903;39
Buonvicino;2;2;9;52;394;31;8;72;9;2;9;0;5;537;7;;;6;;;;;0;;;6;;;;;;;653;37
Castrovillari;88;80;77;792;1986;359;112;1189;227;26;308;47;100;5293;54;;;9;;;;;8;;;26;;;;;;;6264;171
Cervicati;1;3;3;20;92;43;3;63;0;0;1;3;4;193;5;;;0;;;;;1;;;2;;;;;;;224;14
Cerzeto;12;0;2;35;188;23;4;120;3;3;11;2;2;245;7;;;12;;;;;0;;;5;;;;;;;368;19
Cetraro;6;15;67;182;1138;275;39;434;178;30;81;4;24;1929;36;;;6;;;;;2;;;21;;;;;;;3008;119
Civita;3;3;4;30;64;6;8;85;1;6;26;2;3;173;1;;;1;;;;;1;;;2;;;;;;;257;23
Cleto;2;0;36;26;128;13;4;91;11;2;3;1;9;290;2;;;0;;;;;1;;;5;;;;;;;322;9
Diamante;23;14;17;136;753;90;24;361;98;10;39;1;41;1167;18;;;15;;;;;4;;;7;;;;;;;1374;51
Fagnano Castello;8;2;19;92;468;401;12;192;46;4;16;6;13;580;17;;;0;;;;;1;;;8;;;;;;;1129;46
Falconara Albanese;3;3;14;27;144;12;6;67;0;1;4;0;9;294;12;;;1;;;;;1;;;4;;;;;;;561;23
Firmo;8;1;110;88;175;24;11;102;13;1;18;4;7;479;8;;;2;;;;;1;;;5;;;;;;;577;16
Fiumefreddo Bruzio;19;6;12;76;408;106;9;125;12;2;16;1;6;606;30;;;1;;;;;1;;;6;;;;;;;928;30
Frascineto;7;3;6;88;227;28;7;162;8;1;34;10;5;549;6;;;1;;;;;2;;;4;;;;;;;552;15
Fuscaldo;10;21;75;201;1177;199;45;345;139;15;62;4;21;1575;32;;;6;;;;;0;;;15;;;;;;;2358;65
Grisolia;8;3;9;55;200;37;9;84;17;4;26;0;5;543;12;;;56;;;;;2;;;6;;;;;;;678;28
Guardia Piemontese;2;5;16;38;253;47;6;89;20;2;20;0;13;372;7;;;3;;;;;0;;;2;;;;;;;612;29
Laino Borgo;1;4;17;73;241;52;6;120;1;5;10;0;14;342;9;;;2;;;;;0;;;3;;;;;;;640;42
