;WN;VVD;CDA;PvdA;50+;AWP;PvdD;CU;SGP;Groen, Water & Land;Waterschapspartij Hollandse Delta;CU-SGP;Water, Wonen en Natuur;Ons Water;Waterbelang Parkstad;Lokaal Waterbeheer;Waterbelang Westelijke Mijnstreek;Waterbelang Midden-Limburg;De Groenen;Fryske Nasjonale Partij (FNP);West-Brabant Waterbreed;Gemeentebelangen Drenthe~Overijssel;Waterbelang Heuvelland;Vrienden van de Berkel;AWPenLRR niet politiek, wel lokaal;Lagere Lasten Burger;Lokaal Limburg;Waterbelang Venlo;Waterbelang Land van Weert + Leudal;Partij voor Zeeland;AWP niet politiek, wel deskundig;Hollandse Delta Natuurlijk;SGP-ChristenUnie;Waterbelang Maastricht;Waterbelang Venray en Maasduinen;Ouderen Appèl - Hart voor Water;Natuurlijk BBW;Waterbelang Horst-Helden-Beesel;Werken aan Water;Werk aan Water Flevoland;Waterschap@inwonersbelangen;OUDERENPARTIJ;Ons-Platteland;Waterschapspartij Zeeuws-Vlaanderen;Forum Duurzaam Effectief Waterschap;Waterschapspartij PUUR.;Betaalbaar Water;Vereniging Dorpshuizen en Kleine Kernen;AWP Niet Politiek Wel Deskundig;Trots op Nederland (TROTS);Socialistische Waterschapsvereniging;Ouderen Politiek Actief (OPA);Verenigde Senioren Partij;QUEER;Partij Sociaal Cultureel Centrum (PSCC);Blanco lijst 8;Blanco lijst 11;De Republikeinse Politieke Partij;Integer Liberaal;@abs;@inv;@blank
Borsele;748;881;2112;884;713;;;496;2199;;;;;;;;;;;;;;;;;;;;;2067;;;;;;;;;;;;;;130;;;;;631;;;;;;;;;;;7045;39;72
Boxmeer;3131;1983;4353;1182;953;903;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;355;;;;;;;;;;;;;;;;;;;;;;;;10564;66;323
Boxtel;3977;1674;1945;1380;867;491;;133;;;;;;;;;;;;;;;;;;;;;;;;;;;;243;;;644;;;;;;;;;;;;;;;;;;;;;12972;96;334
Breda;8409;15566;7656;7657;5736;2063;8390;946;;;;;;8662;;;;;;;5326;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;67736;371;1618
Brielle;491;960;487;551;444;201;;194;81;;2882;;;;;;;;;;;;;;;;;;;;;1221;;;;;;;;;;;;;;;;;;;;;;;;;;;;6529;38;115
Bronckhorst;2782;2830;4926;2190;854;1180;;;;;;;;;;;;;;;;;;1448;;;;;;;;;;;;;;;;;;;;;;;;1013;;;;;;;;;;;;12297;60;283
Brummen;1288;1595;1162;1523;826;632;;413;109;;;;;;;1345;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;82;;;;;;;7946;47;198
Brunssum;899;1638;;;544;309;;;;;;;;;5021;;717;185;;;;;251;;;;910;65;53;;;;;84;24;;;12;;;;;;;;;;;;;;;;;;;;;;12549;68;299
Bunnik;3159;1039;1121;567;299;;594;409;210;;;;;;;;;;;;;;;;;;;;;;421;;;;;;;;;;188;;;;;;;;;;;;;;;;;;;3737;31;116
Bunschoten;317;985;2262;278;545;237;;3209;1321;;;;;;;627;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57;;;;;;;6602;33;108
Buren;1817;2490;1965;1158;1033;;1206;586;1138;;;;;;;;;;;;;;;;624;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9198;38;168
Capelle aan den IJssel;6202;4406;1662;3226;3298;1659;;;;;;;;;;;;;;;;;;;;;;;;;;;3267;;;;;;;;;;1009;;;;;;;;;;;;;;;;;28480;103;428
Castricum;2177;2391;2443;2181;1052;1469;;379;;5549;;;;;;;;;;;;;;;;;;;;;;;;;;;475;;;;;;;;;;;;;;;;;;;;;;;10695;71;310
Coevorden (Vechtstromen);5419;2678;2677;;941;1761;;632;164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;922;;;;;;;;;;;;;;78;;;;12716;75;279
Coevorden (Hunze en Aa's);22;2;2;8;4;5;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;2;1
Coevorden (Drents Overijsselse Delta);35;30;31;;33;17;;10;24;;;;;;;;;;;;;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87;1;5
Cranendonck;1239;1011;1481;614;709;2153;;81;;;;;;;;;;;;;;;;;;;;;;;;;;;;174;;;493;;;;;;;;;;;;;;;;;;;;;7837;42;274
Cuijk;2748;1303;2063;1112;693;1547;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;322;;;;;;;;;;;;;;;;;;;;;;;;10269;47;232
Culemborg;3136;1763;1574;1757;1030;;1529;572;199;;;;;;;;;;;;;;;;544;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10220;54;225
Dalfsen;1593;1572;4277;;649;741;;1837;640;;;;;;;;;;;;;2443;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8448;34;178
Dantumadiel;948;559;1874;642;259;;335;1399;;;;;;;;;;;;1108;;;;;;1296;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6550;19;93
De Bilt (Vallei en Veluwe);1;3;0;0;0;3;;2;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;2;0;0
De Bilt (De Stichtse Rijnlanden);5944;3463;1963;1939;899;;2339;1147;881;;;;;;;;;;;;;;;;;;;;;;1256;;;;;;;;;;723;;;;;;;;;;;;;;;;;;;11955;91;314
De Bilt (Amstel, Gooi en Vecht);88;66;247;29;27;;60;119;;;;;;;;;;;17;;;;;;;;;;;;;;;;;;;;;;;;;;18;;;;;;10;;;0;;;;1;;358;2;5
De Fryske Marren (Fryslân);3503;2463;5882;2205;916;;1091;1228;;;;;;;;;;;;4163;;;;;;1759;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16361;60;245
De Fryske Marren (Zuiderzeeland);;42;57;;86;32;;;;;;52;200;;;;;;;;;;;;;;;;;;;;;;;;;;;110;;;;;;;;;;;;13;;;;;;;;722;5;17
De Ronde Venen;3142;4488;5225;1761;1471;;1523;1335;;;;;;;;;;;758;;;;;;;;;;;;;;;;;;;;;;;;;;811;;;;;;185;;;51;;;;66;;14369;68;293
De Wolden (Vechtstromen);9;17;39;;6;17;;6;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;1;;;;108;0;1
De Wolden (Drents Overijsselse Delta);1869;2397;1710;;640;1140;;720;246;;;;;;;;;;;;;3086;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7319;46;152
Delft;8737;5693;3166;6930;2056;7446;4743;;;;;1790;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1171;;;;;;;;;161;;120;;130;43814;204;1169
Delfzijl (Hunze en Aa's);746;261;190;339;323;224;;153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2512;10;32
Delfzijl (Noorderzijlvest);1500;649;632;1042;500;524;;744;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1179;;;;;;;;;;;;;8528;39;139
Den Helder;1349;2296;1972;2690;2793;1207;;1579;;5974;;;;;;;;;;;;;;;;;;;;;;;;;;;333;;;;;;;;;;;;;;;;;;;;;;;25039;135;488
Deurne;2919;2203;3264;1214;1266;590;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;508;;;;;;;;;;;;;;;;;;;;;;;;13862;53;406
Deventer (Drents Overijsselse Delta);12936;6619;3059;;2894;3635;;2078;504;;;;;;;;;;;;;5108;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35391;173;1038
Deventer (Rijn en IJssel);443;605;748;331;116;444;;;;;;;;;;;;;;;;;;116;;;;;;;;;;;;;;;;;;;;;;;;66;;;;;;;;;;;;1707;4;40
Deventer (Vallei en Veluwe);373;132;89;182;76;91;;15;9;;;;;;;101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;692;1;26
Diemen;1808;1728;703;2165;957;;1641;397;;;;;;;;;;;666;;;;;;;;;;;;;;;;;;;;;;;;;;440;;;;;;138;;;76;;;;39;;12281;84;258
Dinkelland;3221;1746;5050;;465;1397;;145;77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;209;;;;;;;;;;;;;;42;;;;8601;48;163
Doesburg;1097;614;1009;931;396;226;;;;;;;;;;;;;;;;;;241;;;;;;;;;;;;;;;;;;;;;;;;163;;;;;;;;;;;;4500;23;110
Doetinchem;4694;3406;5016;4431;1736;1600;;;;;;;;;;;;;;;;;;971;;;;;;;;;;;;;;;;;;;;;;;;796;;;;;;;;;;;;22082;122;526
Dongen;1167;1643;1979;887;663;213;751;230;;;;;;1153;;;;;;;1040;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11207;29;191
Dordrecht;5502;4908;3500;5243;3998;2356;;3094;2048;;10841;;;;;;;;;;;;;;;;;;;;;2372;;;;;;;;;;;;;;;;;;;;;;;;;;;;50961;270;844
Drechterland;1282;1118;1376;779;600;555;;147;;1893;;;;;;;;;;;;;;;;;;;;;;;;;;;1007;;;;;;;;;;;;;;;;;;;;;;;6730;31;147
Drimmelen (Rivierenland);0;4;0;0;0;;0;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0;0
Drimmelen (Brabantse Delta);846;1674;951;710;623;216;696;98;;;;;;2114;;;;;;;3163;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11046;40;189
Dronten;;1994;1710;;1262;912;;;;;;2275;5705;;;;;;;;;;;;;;;;;;;;;;;;;;;3771;;;;;;;;;;;;417;;;;;;;;13685;79;267
Druten;1153;1225;1621;914;798;;689;136;47;;;;;;;;;;;;;;;;783;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7536;32;173
Duiven;2282;1885;1905;1800;1011;474;;;;;;;;;;;;;;;;;;245;;;;;;;;;;;;;;;;;;;;;;;;1065;;;;;;;;;;;;9614;47;140
Echt-Susteren;1375;761;;;549;350;;;;;;;;;101;;706;7963;;;;;122;;;;729;122;74;;;;;47;22;;;19;;;;;;;;;;;;;;;;;;;;;;13239;91;427
Edam-Volendam;1633;1803;4398;1267;1369;1496;;261;;4363;;;;;;;;;;;;;;;;;;;;;;;;;;;555;;;;;;;;;;;;;;;;;;;;;;;11223;78;429
Ede;5496;7214;7250;4684;3455;3381;;8081;10115;;;;;;;3236;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;321;;;;;;;36344;181;843
Eemnes;540;895;781;624;324;292;;261;66;;;;;;;607;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;;;;;;;2750;11;58
Eersel;1826;1127;2422;860;521;237;;94;;;;;;;;;;;;;;;;;;;;;;;;;;;;176;;;625;;;;;;;;;;;;;;;;;;;;;7422;70;251
Eijsden-Margraten;1153;987;;;384;336;;;;;;;;;102;;78;81;;;;;7029;;;;416;43;23;;;;;594;15;;;9;;;;;;;;;;;;;;;;;;;;;;9576;105;310
Eindhoven;24458;10333;7443;13092;7969;3574;;2039;;;;;;;;;;;;;;;;;;;;;;;;;;;;3386;;;3553;;;;;;;;;;;;;;;;;;;;;111834;413;3506
Elburg;650;1098;1454;553;511;347;;2900;2155;;;;;;;951;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46;;;;;;;7080;28;124
Emmen (Vechtstromen);10568;3515;5957;;3540;3868;;2078;336;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4686;;;;;;;;;;;;;;159;;;;35881;223;720
Emmen (Hunze en Aa's);1656;571;1062;1217;1396;1095;;382;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8305;34;151
Enkhuizen;743;898;816;1193;529;604;;396;;1912;;;;;;;;;;;;;;;;;;;;;;;;;;;278;;;;;;;;;;;;;;;;;;;;;;;7357;38;206
