RegioNaam;FvD;VVD;CDA;GL;PvdA;D66;PVV;SP;CU;PvdD;50;SGP;DENK;50+/PvdO;Lokaal Brabant;CO;Fryske Nasjonale Partij (FNP);CU-SGP;Groninger Belang;LOKAAL-LIMBURG;Ouderenpartij Noord-Holland;Lokale Partijen Zuid Holland (LPZH);NIDA;Lokale Partijen Gelderland-Code Oranje;Partij voor Zeeland (PVZ);Partij voor het Noorden;Senioren Brabant;Sterk Lokaal;Ouderen Appèl - Hart voor Brabant;U26 GEMEENTEN;Provinciaal Belang Fryslân;Onafhankelijke Partij Drenthe;Natuurlijk Fryslân;JL;Senioren Belang;Ouderen Politiek Actief (OPA);Respect!;@abs;@inv;@blank
Goeree-Overflakkee;4584;3184;2106;712;1623;587;1712;822;2446;608;889;4880;12;;;67;;;;;;203;8;;;;;;;;;;;33;;;;14504;65;44
Goes;1798;1695;3926;1297;1588;824;937;892;948;656;804;1394;64;;;;;;;;;;;;706;;;;;;;;;;;;;12219;41;32
Goirle;1411;1778;1228;1027;750;1080;688;1030;;401;409;;40;;221;18;;64;;;;;;;;;99;;61;;;;;;;;;8221;26;33
Gooise Meren;3227;6782;2294;3445;2229;3590;1013;763;1015;1389;;;135;835;;296;;;;;151;;46;;;;;;;;;;;;;;;15126;44;76
Gorinchem;2157;2236;1032;1167;1197;1089;965;1054;1115;550;512;439;534;;;108;;;;;;78;40;;;;;;;;;;;33;;;;13150;47;33
Gouda;4368;3806;2123;3919;2822;3023;1897;1367;3220;1563;1314;1755;734;;;95;;;;;;224;112;;;;;;;;;;;;;;;22387;134;82
Grave;859;782;769;410;348;384;368;592;;170;174;;4;;404;20;;51;;;;;;;;;40;;24;;;;;;;;;4309;16;22
Groningen;7955;9823;5431;20940;12894;11163;3634;7821;7559;6069;1628;;398;;;;;;3636;;;;;;;3296;;;;;;;;;;;;74909;217;251
Gulpen-Wittem;930;545;1732;775;392;335;803;477;69;330;248;;8;;;;;;;185;;;;;;;;;;;;;;;;;;4966;17;31
Haaksbergen;1756;1794;2677;668;1049;676;820;653;190;249;552;50;146;;;;;;;;;;;;;;;;;;;;;;;;;7842;29;47
Haaren;740;1118;1237;530;322;548;344;456;;237;202;;10;;327;14;;46;;;;;;;;;58;;27;;;;;;;;;5166;8;26
Haarlem;7531;8065;3181;13443;8186;8238;3223;3276;2031;5054;;;1331;1751;;1086;;;;;732;;274;;;;;;;;;;;;;;;49436;224;189
Haarlemmermeer;12774;10427;5039;6006;4594;4548;4173;2241;2888;2422;;;603;2116;;896;;;;;725;;299;;;;;;;;;;;;;;;52688;190;116
Halderberge;2037;2064;1805;690;611;604;1249;954;;345;493;;104;;410;24;;131;;;;;;;;;72;;204;;;;;;;;;11686;26;17
Hardenberg;4117;2860;6366;1422;1828;771;2246;1300;4535;564;1390;751;34;;;;;;;;;;;;;;;;;;;;;;;;;18211;58;65
Harderwijk;2898;3172;2562;1573;1551;1123;1201;718;3112;680;708;729;671;;;;;;;;;;;239;;;;;;;;;;33;;;;14551;57;45
Hardinxveld-Giessendam;1073;819;760;176;493;159;568;236;1937;136;247;2077;16;;;22;;;;;;41;3;;;;;;;;;;;22;;;;4772;11;11
Harlingen;1233;760;1012;521;1099;228;424;403;321;319;250;39;3;;;;246;;;;;;;;;;;;;;159;;82;;;;;5254;19;17
Hattem;654;740;857;599;629;317;247;223;1374;181;140;197;17;;;;;;;;;;;32;;;;;;;;;;5;;;;3176;14;19
Heemskerk;3113;2018;1621;2268;1634;1185;1157;1062;533;703;;;204;617;;326;;;;;341;;50;;;;;;;;;;;;;;;13551;51;55
Heemstede;1510;3583;1326;1840;1103;2024;386;365;404;749;;;17;385;;162;;;;;105;;22;;;;;;;;;;;;;;;6492;31;26
Heerde;1025;804;1647;670;799;314;575;332;1585;304;252;440;16;;;;;;;;;;;66;;;;;;;;;;34;;;;5704;26;22
Heerenveen;2695;2869;2789;2101;3897;1297;1145;1370;1106;812;602;105;116;;;;1526;;;;;;;;;;;;;;465;;224;;;;;15961;88;83
Heerhugowaard;4129;3253;1947;2208;1843;1660;1457;1396;707;876;;;238;676;;654;;;;;980;;55;;;;;;;;;;;;;;;19807;93;77
Heerlen;4627;2444;3704;2276;2036;1406;5628;5627;370;1839;1197;;362;;;;;;;1083;;;;;;;;;;;;;;;;;;36026;122;100
Heeze-Leende;892;1437;1411;581;481;674;445;539;;288;298;;12;;188;22;;86;;;;;;;;;83;;43;;;;;;;;;5153;25;35
Heiloo;1698;2360;1075;1751;1291;1322;511;472;412;771;;;23;312;;167;;;;;215;;13;;;;;;;;;;;;;;;6139;23;27
Hellendoorn;2462;2092;5112;1446;1098;725;1179;946;1189;334;542;180;34;;;;;;;;;;;;;;;;;;;;;;;;;10701;40;53
Hellevoetsluis;4572;2648;853;892;1403;788;1647;741;429;674;1123;82;201;;;42;;;;;;238;28;;;;;;;;;;;20;;;;14915;52;50
Helmond;5232;4505;2735;2722;2037;2068;4242;3171;;979;1811;;718;;414;67;;317;;;;;;;;;414;;203;;;;;;;;;34476;125;120
Hendrik-Ido-Ambacht;2442;2064;991;565;769;731;907;483;1220;365;549;2241;77;;;55;;;;;;236;19;;;;;;;;;;;17;;;;9203;31;33
Hengelo;5092;4936;4173;3678;3789;2524;2774;3795;1167;1355;1205;152;619;;;;;;;;;;;;;;;;;;;;;;;;;27329;93;111
Het Hogeland ;1899;1652;3179;2179;3054;776;1115;1739;3206;816;378;;12;;;;;;1988;;;;;;;984;;;;;;;;;;;;14678;35;76
Heumen;923;1356;1087;1146;726;844;350;613;157;383;347;7;18;;;;;;;;;;;111;;;;;;;;;;;;;;4901;26;25
Heusden;2911;3395;2303;1323;1007;1442;1538;1474;;634;730;;183;;470;37;;339;;;;;;;;;252;;147;;;;;;;;;15761;49;77
Hillegom;1987;1792;885;889;694;814;661;312;247;433;665;66;60;;;28;;;;;;111;10;;;;;;;;;;;;;;;6862;35;21
Hilvarenbeek;858;1460;1476;568;427;611;350;604;;269;263;;3;;182;21;;57;;;;;;;;;85;;40;;;;;;;;;4891;18;18
Hilversum;4842;6174;2334;5956;3290;4880;2050;1694;1882;2338;;;630;1396;;471;;;;;265;;100;;;;;;;;;;;;;;;26575;100;95
Hoeksche Waard;8067;5982;4170;2113;2797;2282;2590;1624;2563;1393;1723;4228;46;;;205;;;;;;364;19;;;;;;;;;;;47;;;;28154;95;77
Hof van Twente;2302;3238;4549;1151;1777;969;959;909;316;422;613;115;83;;;;;;;;;;;;;;;;;;;;;;;;;10319;45;33
Hollands Kroon;4484;3065;2589;1361;1528;1110;1520;1034;716;644;;;19;492;;293;;;;;1736;;18;;;;;;;;;;;;;;;17786;47;56
Hoogeveen;3980;2174;3770;1213;2202;928;2207;1909;2396;528;799;654;81;;;;;;;;;;;;;;;712;;;;228;;;127;;;19018;61;77
Hoorn;5190;3952;2012;3923;3016;2364;2057;1913;808;1551;;;398;915;;555;;;;;805;;93;;;;;;;;;;;;;;;25440;98;105
Horst aan de Maas;2391;1862;5545;1308;950;1455;1412;1809;138;446;552;;23;;;;;;;313;;;;;;;;;;;;;;;;;;14410;31;67
Houten;2757;3890;2716;3818;1852;2039;1142;818;2181;943;736;659;65;;;;;;;;;;;;;;;;;239;;;;;;;;12999;41;49
Huizen;3130;3476;1838;1871;1589;1495;1152;628;2086;824;;;220;652;;228;;;;;251;;50;;;;;;;;;;;;;;;12580;41;45
Hulst;1586;1274;2311;513;875;458;821;862;99;337;918;57;12;;;;;;;;;;;;504;;;;;;;;;;;;;9299;35;37
IJsselstein;2240;2938;1606;1542;1129;1162;1004;722;609;507;568;169;190;;;;;;;;;;;;;;;;;146;;;;;;;;11232;39;43
Kaag en Braassem;2459;2636;1767;839;714;1161;716;391;343;412;698;60;29;;;52;;;;;;131;8;;;;;;;;;;;;;;;8482;33;27
Kampen;3215;2150;3421;2075;1410;959;1818;1146;4859;586;733;3304;232;;;;;;;;;;;;;;;;;;;;;;;;;14050;57;68
Kapelle;659;820;1286;284;450;215;300;198;492;180;252;1036;3;;;;;;;;;;;;371;;;;;;;;;;;;;3100;8;11
Katwijk;7206;3296;3358;969;1220;1054;1752;616;4002;704;1557;3389;131;;;70;;;;;;335;22;;;;;;;;;;;;;;;18848;88;69
Kerkrade;2492;905;2197;974;1201;364;3485;2362;126;701;976;;95;;;;;;;888;;;;;;;;;;;;;;;;;;17928;36;41
Koggenland;1889;2144;1860;880;795;617;622;512;177;390;;;10;288;;201;;;;;309;;12;;;;;;;;;;;;;;;6850;20;48
Krimpen aan den IJssel;2417;1788;936;712;1025;770;965;475;1236;428;643;2516;57;;;28;;;;;;311;20;;;;;;;;;;;;;;;8217;38;31
Krimpenerwaard;4392;4465;2522;1389;1910;1598;1573;927;2499;959;1254;3172;128;;;74;;;;;;389;24;;;;;;;;;;;;;;;16031;68;66
Laarbeek;1326;1304;2119;576;598;612;804;992;;277;381;;8;;188;23;;76;;;;;;;;;96;;139;;;;;;;;;7961;30;40
Landerd;895;1156;1171;322;310;450;466;806;;167;221;;4;;803;5;;42;;;;;;;;;59;;37;;;;;;;;;5200;15;38
Landgraaf;2260;1008;1418;910;966;561;3345;1749;159;621;574;;58;;;;;;;1869;;;;;;;;;;;;;;;;;;14570;52;55
Landsmeer;1206;790;339;777;608;549;384;349;106;294;;;27;171;;59;;;;;40;;5;;;;;;;;;;;;;;;3067;14;22
Langedijk;2311;2035;1468;1418;1032;959;783;589;629;565;;;53;376;;292;;;;;460;;20;;;;;;;;;;;;;;;8615;46;36
Lansingerland;4812;5794;2744;1778;1450;2606;1442;613;2131;897;1101;342;228;;;80;;;;;;403;85;;;;;;;;;;;;;;;17730;53;60
Laren;863;2036;471;407;287;558;204;158;123;261;;;13;136;;40;;;;;62;;3;;;;;;;;;;;;;;;2997;18;9
Leeuwarden;7122;5000;5322;6210;9969;2998;2801;3313;2627;2636;1697;191;174;;;;3025;;;;;;;;;;;;;;508;;583;;;;;41531;129;130
Leiden;6341;7107;2890;10768;5922;9332;2518;2567;2001;3734;1466;237;853;;;148;;;;;;268;180;;;;;;;;;;;;;;;36522;151;202
Leiderdorp;2056;2333;992;1417;1309;1420;624;442;475;505;720;164;108;;;35;;;;;;98;12;;;;;;;;;;;;;;;8060;29;29
Leidschendam-Voorburg;5203;7197;2903;3133;2775;3944;1955;1190;1037;1590;1558;177;279;;;90;;;;;;461;72;;;;;;;;;;;;;;;22127;90;97
Lelystad;5612;4038;1649;2238;3235;1358;3196;2001;1752;1322;1523;249;788;;;;;;;;;;;;;;;;;;;;;53;;524;232;26849;125;81
Leudal;2171;1701;3804;908;790;1275;1681;985;182;478;474;;16;;;;;;;986;;;;;;;;;;;;;;;;;;12932;30;65
Leusden;1849;2780;1985;1928;1169;1297;524;973;1359;597;491;316;37;;;;;;;;;;;;;;;;;108;;;;;;;;7799;35;54
