;PvdA;VVD;CDA;FvD;GL;D66;CU-SGP;PvdD;50+;PVV;SP;Volt;DENK;vdR&PPNL;DG;JL;@abs;@inv;@blank
Stadskanaal;1648;658;1525;1176;347;198;1387;204;330;449;548;67;5;22;13;30;17086;18;12
Staphorst;365;394;870;772;104;76;3600;64;68;159;57;25;0;5;4;18;5579;14;7
Stede Broec;1149;1064;829;912;408;301;148;210;600;275;298;80;14;14;7;9;10244;15;11
Steenbergen;1123;1103;887;995;253;288;225;233;306;360;235;79;3;8;4;12;12317;17;15
Steenwijkerland;2773;2275;2797;1868;1035;633;1626;440;534;534;477;207;59;18;16;24;19228;27;19
Stein;2530;638;1148;1107;393;260;33;315;347;665;298;78;13;15;7;3;12840;27;17
Stichtse Vecht;4042;4502;2543;2529;2178;1796;1434;827;896;728;468;474;63;48;41;31;26531;35;31
Súdwest-Fryslân;6493;5152;5502;3248;2211;1438;1860;934;786;934;957;312;37;48;42;71;40044;45;40
Terneuzen;2750;1585;1973;2150;718;671;1709;428;946;929;535;204;148;26;20;37;26036;46;24
Terschelling;680;433;293;259;277;102;64;112;89;58;76;21;1;7;2;2;1599;0;4
Texel;1390;977;765;870;720;358;204;263;188;177;226;99;0;9;11;6;4698;19;21
Teylingen;2182;3147;2177;1695;1216;1155;367;447;596;393;274;268;25;27;23;11;14210;26;30
Tholen;839;741;884;961;240;124;3002;202;282;414;232;45;5;11;5;18;11391;9;11
Tiel;2230;1755;933;1788;902;627;421;430;546;505;351;175;269;10;23;25;20369;15;23
Tilburg;10548;7934;4860;5550;8204;5485;549;2383;2536;2033;2563;1107;877;122;111;72;108113;142;119
Tubbergen;647;1001;3665;588;173;194;38;76;171;172;79;40;0;8;10;4;9753;12;10
Twenterand;990;802;3637;1107;332;230;1700;139;258;447;258;65;4;16;15;44;15801;20;11
Tynaarlo;3362;2090;1380;955;1817;966;620;498;300;330;347;176;8;19;20;9;13431;18;17
Tytsjerksteradiel;2308;1359;2253;1122;816;458;1236;326;298;349;388;116;2;31;8;40;13788;15;16
Uden;2212;2126;1864;1372;862;904;97;377;658;434;861;181;146;12;11;11;20391;26;32
Uitgeest;1037;877;522;597;475;528;60;205;224;145;159;76;9;8;5;2;5528;8;13
Uithoorn;1689;1949;937;1466;761;647;180;460;471;378;231;169;26;45;15;15;12050;30;19
Urk;39;40;445;1038;20;14;4954;11;12;320;19;14;5;1;0;67;6666;12;10
Utrecht;22221;16440;6814;6429;35204;17172;3457;6703;1865;2099;2658;4957;2464;375;366;104;125872;178;267
Utrechtse Heuvelrug;3585;3747;2284;1797;2595;1846;1674;1066;593;457;385;491;75;33;32;12;17860;19;23
Vaals;1078;161;360;289;262;95;35;150;112;227;78;27;11;9;21;5;3618;10;9
Valkenburg aan de Geul;1787;564;994;688;390;266;41;241;197;328;150;70;4;6;4;7;7913;7;15
Valkenswaard;1984;1380;1200;1119;599;492;77;255;800;405;355;217;3;15;13;11;15963;22;31
Veendam;1979;893;764;1002;475;314;378;241;387;364;593;84;98;23;9;13;14295;12;16
Veenendaal;2257;2561;2569;2379;1186;771;7016;368;654;668;474;206;295;26;23;54;27821;34;25
Veere;1559;1287;1572;738;600;347;2165;315;287;200;135;129;7;15;16;14;8093;15;7
Veldhoven;2686;2397;1662;1532;1105;961;192;394;1133;497;587;415;11;19;37;21;21367;25;33
Velsen;4370;3325;1759;3129;1925;1464;661;980;1098;909;794;348;234;39;34;39;31484;31;39
Venlo;7966;2764;3653;3101;1829;990;197;781;1061;1895;1036;320;545;37;31;28;50193;49;85
Venray;2856;1651;2434;1291;816;820;87;265;592;507;616;172;112;20;11;8;21141;23;34
Vijfheerenlanden;2626;2168;2823;2102;960;868;3645;472;594;654;453;186;331;23;25;30;24893;28;22
Vlaardingen;3338;2569;1701;3093;1538;1034;1163;805;997;997;1382;272;625;26;22;35;34759;59;41
Vlieland;128;110;34;48;74;57;8;27;22;13;12;12;0;1;1;1;364;1;1
Vlissingen;2643;1444;1094;1570;895;569;828;551;790;554;539;166;96;22;26;36;22053;30;17
Voerendaal;1740;429;676;426;256;191;26;183;144;213;143;53;0;5;5;1;5631;4;8
Voorschoten;2012;2242;1190;1047;1190;959;242;374;362;263;222;196;42;21;19;10;8609;17;18
Voorst;1654;1530;1687;742;673;642;419;231;337;209;211;128;29;8;10;9;10868;13;16
Vught;2205;1992;864;711;1033;1010;81;350;275;211;371;244;8;12;19;6;10914;14;17
Waadhoeke;3310;2287;2703;1523;1006;577;994;471;420;466;640;164;15;17;19;19;21027;23;13
Waalre;1233;1384;739;531;655;638;85;227;391;153;201;205;3;6;14;8;6738;11;13
Waalwijk;2034;2213;1607;1600;819;760;886;410;753;632;515;134;163;18;17;16;24286;26;23
Waddinxveen;1285;1415;1217;1219;543;541;2276;285;439;323;162;111;68;10;9;32;11603;10;11
Wageningen;3209;1681;1164;770;4161;2056;761;718;324;191;424;692;33;40;53;7;11992;26;35
Wassenaar;1310;3076;1156;1351;579;818;163;356;327;295;133;207;6;11;20;7;8269;24;15
Waterland;1686;1110;921;916;822;458;121;348;253;226;178;151;5;18;9;12;6411;11;10
Weert;2883;1608;4196;2074;835;725;105;428;541;746;511;196;175;26;8;10;24066;29;28
Weesp;1598;1030;694;676;980;630;135;328;283;186;181;133;60;14;10;8;7651;8;15
West Betuwe;2702;2865;2355;2580;1045;902;3037;497;655;699;353;206;37;29;27;25;20933;30;18
West Maas en Waal;1084;1153;924;779;381;330;55;159;317;240;263;102;1;10;4;6;9570;11;13
Westerkwartier;4228;2303;3602;1886;2169;940;3232;681;603;527;844;222;20;40;25;36;27514;37;30
Westerveld;1771;1415;1069;742;849;403;293;457;260;235;273;93;1;13;20;16;8086;11;11
Westervoort;1076;543;574;594;442;250;125;184;227;203;229;59;18;6;8;4;7366;7;16
Westerwolde;1658;728;1053;1154;496;217;338;432;298;463;467;71;5;16;10;11;12638;6;24
Westland;3934;7127;8064;5965;1488;1494;1966;916;1499;1438;480;408;107;35;28;49;46258;66;61
Weststellingwerf;1936;1548;1264;1085;577;272;287;353;301;365;376;97;13;15;19;9;12188;16;17
Westvoorne;944;1374;603;1003;242;311;116;252;237;223;141;70;0;7;8;2;6433;9;12
Wierden;893;1056;3465;789;323;296;1122;92;226;208;142;58;1;5;13;31;10151;11;18
Wijchen;3026;2185;1831;1495;1093;905;149;422;636;491;523;206;53;20;18;10;19209;21;30
Wijdemeren;1587;2034;1193;1127;691;697;315;383;337;240;155;195;7;14;14;8;9987;14;11
Wijk bij Duurstede;1646;1465;1060;882;850;483;543;290;318;260;213;149;9;19;6;10;10433;10;10
Winterswijk;2274;1496;1950;851;762;558;178;255;311;277;298;133;46;15;19;10;13266;16;14
Woensdrecht;1067;951;739;923;236;421;63;191;328;376;213;60;13;10;12;3;10718;13;17
Woerden;2977;3072;3906;1777;1839;1344;2020;627;501;487;368;386;104;24;32;44;19954;32;23
Wormerland;1354;847;453;663;608;345;162;273;294;191;238;98;14;14;14;12;7430;14;8
Woudenberg;564;668;714;452;211;180;1820;121;120;109;80;40;5;5;5;9;4718;8;1
Zaanstad;9403;5510;2804;5741;4888;2384;1157;2278;2399;2030;2099;797;1329;148;99;83;71666;94;58
Zaltbommel;1476;1106;1090;846;603;459;2367;304;290;257;217;143;11;6;14;13;11636;19;14
Zandvoort;997;1297;374;1144;378;346;68;294;232;336;158;133;16;6;8;8;7603;23;9
Zeewolde;988;1371;1062;974;497;356;941;215;317;228;130;139;26;9;8;16;8780;17;24
Zeist;4204;4614;2048;2129;3608;2468;1524;1221;653;563;534;606;182;43;52;19;23676;49;39
Zevenaar;3063;1883;1871;1620;978;750;160;423;613;568;523;163;48;17;24;11;22207;15;26
Zoetermeer;6994;6063;2962;5932;2964;2558;1868;1558;2169;1658;1294;666;266;93;68;84;58387;80;61
Zoeterwoude;608;535;585;346;304;239;80;106;122;72;70;59;10;6;6;6;3534;5;10
Zuidplas;1963;2588;1705;1794;830;790;2754;486;620;425;321;205;66;14;17;37;17924;23;27
Zundert;900;1184;1302;707;333;368;44;207;289;289;229;67;8;6;10;4;11059;19;15
Zutphen;4136;1827;1448;1325;2739;1189;582;1147;530;371;896;395;196;30;42;25;20304;27;30
Zwartewaterland;748;569;1354;682;213;119;3627;105;155;207;140;35;1;1;4;16;8573;20;11
Zwijndrecht;1943;1778;1429;1756;690;631;1953;404;640;543;391;151;188;24;18;27;21946;22;22
Zwolle;8788;5841;4736;3198;7247;3364;5764;1802;1214;996;1305;797;378;100;93;116;52024;69;100
