Municipality;Yes;No;@Inv;@Abs
Oberwil im Simmental;256;68;4;327
Reutigen;291;132;9;337
Spiez;2711;2256;65;4596
Wimmis;642;244;2;890
Stocken-Höfen;240;99;2;403
Guttannen;59;37;2;147
Hasliberg;240;155;2;460
Innertkirchen;289;86;10;513
Meiringen;1034;650;25;1564
Schattenhalb;135;64;5;224
Boltigen;377;140;5;597
Lenk;627;294;11;932
St. Stephan;492;114;3;445
Zweisimmen;785;356;10;1116
Gsteig;209;86;13;415
Lauenen;213;65;5;323
Saanen;1278;808;36;2247
Guggisberg;354;126;15;851
Rüschegg;348;209;3;853
Schwarzenburg;1398;997;22;2873
Belp;2288;1699;94;3777
Burgistein;271;113;4;436
Gerzensee;249;178;14;401
Gurzelen;192;79;2;326
Kaufdorf;208;229;2;295
Kehrsatz;744;812;20;1219
Kirchdorf (BE);456;268;9;684
Riggisberg;604;321;62;1233
Rüeggisberg;421;209;8;872
Seftigen;534;339;13;781
Toffen;572;427;11;827
Uttigen;486;305;10;590
Wattenwil;616;349;7;1124
Wald (BE);395;278;7;657
Thurnen;417;389;1;635
Eggiwil;584;166;8;1240
Langnau im Emmental;1722;1510;32;3798
Lauperswil;594;242;8;1305
Röthenbach im Emmental;339;61;1;596
Rüderswil;542;251;11;1092
Schangnau;281;50;11;413
Signau;590;331;13;1165
Trub;332;98;7;811
Trubschachen;240;180;11;644
Amsoldingen;240;112;2;291
Blumenstein;332;134;9;467
Buchholterberg;440;139;22;644
Eriz;188;30;2;201
Fahrni;226;81;3;264
Heiligenschwendi;177;109;5;202
Heimberg;1390;772;19;2555
Hilterfingen;836;901;37;1325
Homberg;137;45;6;194
Horrenbach-Buchen;101;11;0;87
Oberhofen am Thunersee;554;555;34;687
Oberlangenegg;191;29;2;171
Pohlern;64;19;1;115
Sigriswil;1453;618;20;1585
Steffisburg;3480;2617;79;5716
Teuffenthal (BE);65;13;0;67
Thierachern;626;342;3;758
Thun;8466;7488;300;15745
Uebeschi;164;82;2;262
Uetendorf;1652;798;47;2157
Unterlangenegg;284;86;4;345
Wachseldorn;77;16;0;93
Zwieselberg;69;46;0;87
Forst-Längenbühl;251;74;3;249
Affoltern im Emmental;273;134;2;506
Dürrenroth;228;73;0;554
Eriswil;354;163;23;563
Huttwil;1033;582;56;1888
Lützelflüh;836;490;33;1822
Rüegsau;766;444;38;1148
Sumiswald;1006;549;14;2431
Trachselwald;221;92;2;499
Walterswil (BE);132;44;1;268
Wyssachen;325;86;4;561
Attiswil;398;175;3;457
Berken;25;5;0;13
Bettenhausen;261;107;5;211
Farnern;56;25;0;84
Graben;94;28;1;116
Heimenhausen;281;123;3;394
Herzogenbuchsee;1207;1105;28;2391
Inkwil;174;72;1;253
