Municipality;Yes;No;@Inv;@Abs
Tannay;137;308;3;299
Trélex;177;270;4;308
Le Vaud;170;239;5;313
Vich;98;135;1;208
L'Abergement;54;43;0;69
Agiez;44;36;0;86
Arnex-sur-Orbe;107;137;4;177
Ballaigues;148;172;5;323
Baulmes;146;189;8;312
Bavois;104;97;2;293
Bofflens;36;36;1;63
Bretonnières;44;50;2;77
Chavornay;569;562;12;1228
Les Clées;26;37;2;52
Croy;45;81;1;109
Juriens;42;75;6;90
Lignerolle;66;60;1;136
Montcherand;86;67;3;149
Orbe;697;789;17;1862
La Praz;34;31;3;49
Premier;29;63;3;63
Rances;89;85;1;140
Romainmôtier-Envy;62;108;0;155
Sergey;30;30;2;35
Valeyres-sous-Rances;95;103;1;137
Vallorbe;524;427;9;1055
Vaulion;88;102;4;149
Vuiteboeuf;81;81;0;145
Corcelles-le-Jorat;102;69;2;132
Maracon;90;113;3;113
Montpreveyres;61;82;2;170
Ropraz;73;55;4;148
Servion;301;417;11;452
Vulliens;92;87;0;136
Jorat-Menthue;218;245;4;410
Oron;918;972;40;1269
Jorat-Mézières;329;466;10;781
Champtauroz;25;21;0;38
Chevroux;83;77;0;138
Corcelles-près-Payerne;348;288;10;569
Grandcour;151;144;6;280
Henniez;40;28;1;103
Missy;56;77;2;101
Payerne;1217;890;23;2546
Trey;48;51;0;76
Treytorrens (Payerne);29;29;2;31
Villarzel;80;69;1;136
Valbroye;497;447;12;836
Château-d'Oex;464;451;8;1129
Rossinière;78;82;1;180
Rougemont;133;90;6;305
Allaman;52;91;2;98
Bursinel;45;84;1;112
Bursins;88;140;3;218
Burtigny;59;57;0;101
Dully;64;100;1;94
Essertines-sur-Rolle;84;121;1;143
Gilly;138;182;4;210
Luins;67;76;2;131
Mont-sur-Rolle;314;397;4;595
Perroy;144;219;4;375
Rolle;479;779;28;1263
Tartegnin;40;48;1;40
Vinzel;38;67;2;80
L'Abbaye;184;260;10;540
Le Chenit;517;691;26;1401
Le Lieu;126;177;3;302
Chardonne;321;622;10;773
Corseaux;304;472;9;564
Corsier-sur-Vevey;432;495;15;869
Jongny;189;342;11;347
Montreux;2445;3169;149;5814
La Tour-de-Peilz;1494;2452;136;2343
Vevey;1471;2442;77;4470
Veytaux;101;127;9;261
Blonay - Saint-Légier;1409;2222;32;2735
Belmont-sur-Yverdon;45;54;0;110
Bioley-Magnoux;57;18;2;56
Chamblon;94;129;2;159
Champvent;147;115;5;105
Chavannes-le-Chêne;42;42;0;95
Chêne-Pâquier;25;27;0;37
Cheseaux-Noréaz;117;149;3;144
Cronay;78;76;2;84
Cuarny;56;29;0;46
Démoret;36;25;1;37
Donneloye;158;159;7;194
Ependes (VD);59;53;1;109
Mathod;89;113;1;157
Molondin;49;31;0;68
Montagny-près-Yverdon;115;129;5;208
Oppens;25;32;0;52
Orges;43;57;2;93
Orzens;47;55;1;59
Pomy;113;101;4;236
Rovray;40;32;0;34
Suchy;72;78;3;128
Suscévaz;55;34;1;45
Treycovagnes;86;80;0;154
Ursins;41;46;1;70
Valeyres-sous-Montagny;113;108;0;206
Valeyres-sous-Ursins;54;53;4;48
Villars-Epeney;15;10;2;25
Vugelles-La Mothe;23;19;0;42
Yverdon-les-Bains;3122;3831;133;7432
Yvonand;430;475;12;790
VD-CH de l'étranger;2199;3235;245;8230
Brig-Glis;2571;1960;140;4256
Eggerberg;105;50;1;123
Naters;2477;1613;109;2567
Ried-Brig;437;314;34;630
Simplon;76;63;2;142
Termen;200;138;5;304
Zwischbergen;50;2;0;23
Ardon;359;370;42;671
Chamoson;572;525;50;1000
Conthey;1287;1217;117;2383
Nendaz;991;1115;87;2154
Vétroz;782;721;72;1185
Bourg-Saint-Pierre;47;38;0;65
Liddes;131;165;9;235
Orsières;660;641;53;808
Sembrancher;194;171;15;242
Val de Bagnes;1291;1444;109;2851
Bellwald;75;82;4;140
Binn;23;29;0;60
Ernen;101;97;4;241
Fiesch;183;165;18;341
Fieschertal;79;51;3;108
Lax;63;46;3;98
Obergoms;155;102;14;251
Goms;249;218;4;579
Ayent;593;816;59;1251
Evolène;404;420;24;460
Hérémence;313;375;28;426
Saint-Martin (VS);233;253;5;259
Vex;335;324;37;430
Mont-Noble;177;252;19;315
Agarn;179;125;9;259
Albinen;83;49;2;91
Ergisch;68;26;2;55
Inden;28;14;1;38
Leuk;901;641;61;1099
Leukerbad;243;181;18;420
Oberems;21;25;2;56
Salgesch;342;234;6;420
Varen;192;101;10;201
Guttet-Feschel;116;62;2;179
Gampel-Bratsch;553;320;29;501
Turtmann-Unterems;287;225;5;369
Bovernier;189;171;10;251
Fully;1214;1252;149;2204
Isérables;244;139;11;393
Leytron;624;450;20;794
Martigny;2345;2847;139;4591
Martigny-Combe;395;463;33;676
Riddes;489;344;39;717
Saillon;371;319;39;593
Saxon;765;464;98;1225
Trient;36;40;2;41
Champéry;231;213;16;400
Collombey-Muraz;1151;882;86;2100
Monthey;2342;2355;190;4452
Port-Valais;561;363;36;940
Saint-Gingolph;162;151;27;298
Troistorrents;899;649;124;1260
Val-d'Illiez;426;243;29;513
Vionnaz;409;337;19;715
Vouvry;599;479;39;1079
Bister;13;7;0;8
Bitsch;211;123;9;289
Grengiols;98;45;5;208
Riederalp;107;87;3;196
Ausserberg;205;127;17;170
Blatten;69;63;8;109
Bürchen;154;147;7;280
Eischoll;108;108;2;191
Ferden;58;39;6;117
Kippel;67;81;5;155
Niedergesteln;164;126;7;216
Raron;384;284;41;574
Unterbäch;106;79;5;138
Wiler (Lötschen);107;81;2;198
Mörel-Filet;162;144;4;217
Steg-Hohtenn;421;258;14;530
Bettmeralp;68;71;7;222
Collonges;112;119;5;197
Dorénaz;134;126;10;233
Evionnaz;194;204;14;352
Finhaut;60;85;5;115
Massongex;252;294;30;487
Saint-Maurice;645;768;39;1093
Salvan;239;271;11;426
Vernayaz;255;359;18;464
Vérossaz;86;142;9;196
Chalais;521;514;57;1062
Chippis;222;216;27;327
Grône;387;345;19;719
Icogne;84;111;3;175
Lens;549;583;36;1053
Saint-Léonard;430;412;37;589
Sierre;2220;2490;197;4309
Anniviers;459;489;44;781
Crans-Montana;1420;1396;107;2470
Noble-Contrée;690;910;60;1194
Arbaz;225;231;17;294
Grimisuat;446;633;48;774
Savièse;1372;1291;47;1997
Sion;4158;5731;473;9097
Veysonnaz;55;118;3;232
Baltschieder;274;187;7;407
Eisten;76;28;1;83
Embd;102;30;2;117
Grächen;257;154;18;622
Lalden;145;145;7;203
Randa;83;65;6;127
Saas-Almagell;110;73;6;97
Saas-Balen;125;45;4;140
Saas-Fee;207;294;15;505
Saas-Grund;284;129;5;382
St. Niklaus;546;230;37;932
Stalden (VS);323;192;11;354
Staldenried;133;110;3;187
Täsch;181;74;8;214
Törbel;141;60;4;192
Visp;1315;874;157;2294
Visperterminen;274;291;15;525
Zeneggen;48;64;1;90
Zermatt;901;460;69;1491
Boudry;602;758;42;1698
Cortaillod;640;748;36;1550
Rochefort;179;304;7;397
Milvignes;1324;1821;74;2813
La Grande Béroche;1319;1706;64;2899
La Chaux-de-Fonds;4250;5369;240;12555
Les Planchettes;37;32;0;97
La Sagne;176;155;6;464
La Brévine;181;84;3;265
Brot-Plamboz;56;46;1;102
Le Cerneux-Péquignot;79;62;4;108
La Chaux-du-Milieu;67;109;8;156
Le Locle;1568;1621;71;4034
Les Ponts-de-Martel;262;224;11;467
Cornaux;262;230;9;495
Cressier (NE);248;279;16;547
Enges;50;67;3;95
Hauterive (NE);332;503;25;751
Le Landeron;782;832;45;1301
Lignières;128;144;6;372
Neuchâtel;4639;7806;274;13581
Saint-Blaise;353;658;20;1024
La Tène;642;861;33;1316
Val-de-Ruz;2408;2811;90;5111
La Côte-aux-Fées;107;87;4;172
Les Verrières;138;109;7;335
Val-de-Travers;1707;1289;63;4510
Aire-la-Ville;213;205;9;252
Anières;352;437;11;473
Avully;293;303;9;483
Avusy;201;321;17;342
Bardonnex;352;494;22;450
Bellevue;360;377;23;644
Bernex;1552;1978;57;2380
Carouge (GE);2102;3069;94;4533
Cartigny;131;215;7;155
Céligny;91;106;7;135
Chancy;152;197;10;305
Chêne-Bougeries;1382;1987;80;2342
Chêne-Bourg;909;1283;38;1862
Choulex;152;228;9;235
Collex-Bossy;212;322;4;332
Collonge-Bellerive;1087;1455;45;1507
Cologny;672;818;22;938
Confignon;644;956;22;916
Corsier (GE);265;342;7;384
Dardagny;216;243;8;324
Genève;18174;25296;903;38465
Genthod;324;434;26;543
Le Grand-Saconnex;1120;1339;49;2219
Gy;58;117;1;97
Hermance;118;188;8;192
Jussy;227;224;7;251
Laconnex;110;164;8;124
Lancy;3801;3839;163;6627
Meinier;333;419;13;430
Meyrin;2616;2305;68;4540
Onex;2597;2247;105;4120
Perly-Certoux;414;471;17;743
Plan-les-Ouates;1376;1744;54;2222
Pregny-Chambésy;349;482;16;580
Presinge;92;132;3;181
Puplinge;346;433;21;506
Russin;69;96;3;98
Satigny;498;644;24;740
Soral;126;133;5;196
Thônex;1817;1988;78;3231
Troinex;314;572;25;432
Vandoeuvres;402;487;15;511
Vernier;3802;3214;165;7076
Versoix;1292;1571;72;2743
Veyrier;1405;2049;84;2241
GE-CH de l'étranger;2855;4624;115;10639
Boécourt;121;126;6;354
Bourrignon;50;53;5;117
Châtillon (JU);64;78;1;155
Courchapoix;55;72;1;183
Courrendlin;443;393;16;1158
Courroux;441;438;21;1203
Courtételle;302;346;7;982
Delémont;1023;2096;48;4271
Develier;165;207;7;573
Ederswiler;29;6;0;63
Mervelier;87;121;4;235
Mettembert;18;31;0;43
Movelier;90;38;4;168
Pleigne;63;82;2;164
Rossemaison;89;136;2;179
Saulcy;31;57;1;126
Soyhières;70;76;8;180
Haute-Sorne;854;1000;43;2677
Val Terbi;427;482;26;1317
Le Bémont (JU);28;64;0;171
Les Bois;113;210;7;521
Les Breuleux;166;299;8;573
Les Enfers;19;37;1;69
Les Genevez (JU);76;94;6;249
Lajoux (JU);59;147;4;311
Montfaucon;71;94;6;292
Muriaux;78;92;3;251
Le Noirmont;193;291;11;665
Saignelégier;227;527;18;1092
Saint-Brais;25;32;1;127
Soubey;32;15;0;92
Alle;258;267;9;647
Beurnevésin;17;27;2;69
Boncourt;189;237;11;630
Bonfol;130;92;3;364
Bure;106;96;4;350
Coeuve;103;101;6;310
Cornol;136;123;5;443
Courchavon;45;49;1;128
Courgenay;289;311;13;983
Courtedoux;106;127;6;330
Fahy;58;33;3;188
Fontenais;189;373;14;686
Grandfontaine;68;60;3;144
Porrentruy;771;1325;60;2543
Vendlincourt;106;81;3;230
Basse-Allaine;177;193;10;639
Clos du Doubs;154;223;13;650
Haute-Ajoie;204;205;8;583
La Baroche;181;177;8;536
Damphreux-Lugnez;62;43;2;182
