;BDP;CSP;CVP;EDU;EVP;FDP;FGA;GLP;GPS;LPS;Lega;MCR;EàG;SD;SP;SVP;Übrige;@blank;@invalid;@abstension
Chénens;5;33;211;1;0;284;;81;122;;;;;;243;227;32;3;0;351
Corminboeuf;13;264;1143;16;23;1106;;486;900;;;;;;1647;901;133;5;7;866
Corserey;5;36;140;11;2;142;;31;78;;;;;;176;146;18;0;1;162
Cottens (FR);29;73;468;3;7;688;;128;402;;;;;;668;438;60;2;5;509
Ependes (FR);4;55;448;3;6;420;;98;321;;;;;;597;435;87;0;4;358
Ferpicloz;2;15;105;2;1;109;;29;37;;;;;;108;112;8;0;0;99
Fribourg;238;3657;10102;197;311;5959;;3619;13602;;;;;;19203;6298;2040;47;34;10899
Givisiez;21;148;774;13;11;679;;232;575;;;;;;1160;745;93;7;5;945
Granges-Paccot;48;254;778;31;25;602;;292;896;;;;;;1005;786;136;3;10;1210
Grolley;8;89;721;33;6;761;;207;551;;;;;;657;599;58;3;6;672
Marly;58;735;2455;67;81;2216;;972;2228;;;;;;4126;2174;364;5;11;2530
Matran;8;94;669;12;8;722;;274;357;;;;;;851;305;41;1;4;495
Neyruz (FR);21;201;842;24;63;851;;301;801;;;;;;1311;720;157;3;7;896
Noréaz;28;33;269;29;1;364;;80;231;;;;;;333;192;60;1;2;264
Pierrafortscha;2;5;52;0;9;113;;11;93;;;;;;41;90;2;0;1;51
Ponthaux;8;12;213;10;40;211;;80;143;;;;;;273;263;60;0;3;323
Le Mouret;24;199;901;14;22;989;;231;824;;;;;;1108;1380;214;2;8;1309
Prez-vers-Noréaz;14;40;241;36;15;328;;131;195;;;;;;713;424;51;2;4;387
Senèdes;2;11;27;1;5;43;;14;66;;;;;;74;157;22;0;2;47
Treyvaux;15;97;685;4;17;970;;98;432;;;;;;613;595;84;2;5;490
Villars-sur-Glâne;78;818;3999;93;80;3099;;1399;4100;;;;;;5491;2008;520;11;20;3474
Villarsel-sur-Marly;0;0;43;0;0;28;;17;44;;;;;;5;63;0;0;0;18
Hauterive (FR);37;105;836;3;23;724;;170;800;;;;;;1238;773;145;2;12;920
La Brillaz;52;154;645;4;15;899;;236;547;;;;;;813;597;89;0;8;763
La Sonnaz;16;74;438;0;15;286;;96;427;;;;;;507;454;39;0;2;443
Gibloux;99;818;2620;93;74;2208;;673;1622;;;;;;3143;2270;384;9;9;2929
Courgevaux;15;53;167;15;29;456;;200;183;;;;;;497;578;17;0;4;498
Courtepin;68;201;955;96;77;906;;471;953;;;;;;1714;1871;127;6;2;1682
Cressier (FR);4;37;208;13;6;319;;110;291;;;;;;427;457;31;0;0;313
Fräschels;28;17;111;33;88;154;;154;113;;;;;;145;546;10;0;0;148
Galmiz;9;25;54;9;26;251;;117;111;;;;;;308;564;41;1;2;275
Gempenach;17;3;30;12;20;86;;42;65;;;;;;92;413;12;0;1;137
Greng;1;11;43;0;2;147;;48;25;;;;;;80;189;20;0;0;46
Gurmels;125;217;2344;66;109;797;;524;781;;;;;;1406;2486;75;3;9;1802
Kerzers;161;181;905;106;409;1362;;745;648;;;;;;1683;2669;100;0;8;1760
Kleinbösingen;45;38;461;8;29;127;;99;110;;;;;;249;358;19;1;0;297
Meyriez;16;30;154;0;37;344;;241;162;;;;;;389;513;8;0;2;170
Misery-Courtion;18;97;419;11;8;402;;232;233;;;;;;605;596;36;1;8;770
Muntelier;33;51;209;25;19;519;;304;353;;;;;;542;505;32;2;6;333
Murten;234;383;1524;212;331;3861;;1311;1531;;;;;;3740;4260;165;11;25;3001
Ried bei Kerzers;37;39;168;51;19;625;;203;177;;;;;;317;1075;11;0;0;394
Ulmiz;23;24;75;7;15;116;;109;107;;;;;;126;418;9;0;1;197
Mont-Vully;139;212;626;35;53;1949;;709;978;;;;;;1500;1634;148;6;6;1553
Alterswil;15;178;1285;23;22;410;;186;536;;;;;;799;1344;89;0;8;833
Brünisried;10;61;339;15;9;76;;52;133;;;;;;155;480;22;0;2;327
Düdingen;177;856;4247;165;155;1748;;1069;2475;;;;;;3500;3841;204;6;17;3209
Giffers;24;63;532;8;4;276;;239;220;;;;;;571;1028;71;4;1;732
Bösingen;158;165;1854;127;87;856;;448;672;;;;;;1257;1773;79;4;7;1449
Heitenried;44;126;832;64;52;407;;207;348;;;;;;350;837;31;0;5;591
Plaffeien;20;221;1982;33;74;552;;296;687;;;;;;773;2461;231;1;7;1713
Plasselb;2;42;517;8;5;186;;88;119;;;;;;269;870;25;0;0;506
Rechthalten;23;56;738;2;0;208;;97;249;;;;;;287;737;35;0;2;520
St. Antoni;55;100;1499;21;14;423;;182;456;;;;;;618;1607;51;1;5;892
St. Silvester;8;70;379;5;26;212;;61;80;;;;;;180;920;42;6;3;475
St. Ursen;12;191;877;26;7;303;;196;419;;;;;;397;844;41;2;5;498
Schmitten (FR);106;451;2418;33;110;780;;471;1234;;;;;;1842;1944;95;5;9;1525
Tafers;54;369;1886;45;25;593;;381;1194;;;;;;1397;1734;106;3;10;1212
Tentlingen;16;86;577;34;89;386;;199;274;;;;;;430;636;80;1;1;600
Ueberstorf;92;211;1989;55;60;503;;296;431;;;;;;797;1477;75;0;14;1000
Wünnewil-Flamatt;111;368;2778;123;57;979;;624;1112;;;;;;1894;2293;127;0;18;2145
Attalens;21;213;822;19;50;626;;412;760;;;;;;1242;1241;217;3;6;1414
Bossonnens;16;57;299;16;25;273;;157;250;;;;;;605;442;91;0;2;567
Châtel-Saint-Denis;50;288;1660;51;65;1403;;483;1202;;;;;;2086;2752;218;7;17;2532
Granges (Veveyse);15;69;341;23;36;228;;122;306;;;;;;358;313;35;0;2;321
Remaufens;21;64;402;48;9;244;;105;308;;;;;;430;511;15;2;1;431
Saint-Martin (FR);21;65;346;1;42;182;;104;308;;;;;;322;585;49;3;3;419
Semsales;3;47;596;7;10;637;;110;162;;;;;;521;782;38;2;4;538
Le Flon;2;56;396;7;35;189;;51;283;;;;;;455;746;54;0;0;474
La Verrerie;1;47;552;14;33;315;;57;183;;;;;;294;635;80;1;5;477
Egerkingen;88;;1127;;49;1577;;206;249;;;;;30;373;1466;43;2;32;1228
Härkingen;61;;485;;29;537;;314;141;;;;;34;280;1224;11;3;10;572
Kestenholz;63;;1208;;32;737;;226;275;;;;;23;461;1038;24;1;7;678
Neuendorf;134;;1213;;62;669;;242;196;;;;;40;350;1350;18;0;9;862
Niederbuchsiten;18;;643;;24;342;;94;66;;;;;16;93;768;16;1;9;534
Oberbuchsiten;61;;818;;36;605;;185;226;;;;;28;378;1061;26;5;0;838
Oensingen;107;;1210;;38;1655;;459;489;;;;;50;1170;2778;86;0;31;2068
Wolfwil;51;;1256;;58;1282;;216;245;;;;;25;272;1062;24;2;14;917
Aedermannsdorf;28;;622;;3;274;;29;67;;;;;9;120;412;4;0;0;194
Balsthal;130;;1971;;91;2100;;503;563;;;;;46;1202;3010;60;10;28;1830
Gänsbrunnen;3;;35;;42;55;;10;8;;;;;0;5;80;0;0;0;28
Herbetswil;1;;537;;10;221;;31;28;;;;;0;79;365;4;0;6;212
Holderbank (SO);4;;259;;3;262;;68;85;;;;;14;89;495;12;0;8;288
Laupersdorf;54;;1224;;25;920;;138;227;;;;;18;204;1194;9;0;11;633
Matzendorf;26;;763;;43;546;;74;136;;;;;14;223;1072;0;0;6;531
Mümliswil-Ramiswil;54;;1563;;16;810;;179;189;;;;;44;353;2589;29;0;25;870
Welschenrohr;19;;537;;9;482;;36;119;;;;;23;305;772;9;0;11;410
Biezwil;32;;43;;0;144;;40;85;;;;;11;70;229;2;0;0;140
Lüterkofen-Ichertswil;45;;112;;21;498;;146;160;;;;;8;327;396;2;0;4;368
Lüterswil-Gächliwil;43;;44;;11;190;;55;70;;;;;3;126;294;6;0;0;121
Messen;219;;170;;44;669;;190;241;;;;;12;485;1119;10;1;4;598
Schnottwil;105;;108;;16;591;;239;175;;;;;13;381;728;10;0;6;499
Unterramsern;51;;79;;1;127;;49;18;;;;;0;51;160;0;0;0;89
Lüsslingen-Nennigkofen;49;;92;;18;409;;165;477;;;;;23;478;435;23;0;8;434
Buchegg;366;;348;;32;1211;;506;610;;;;;22;1048;1838;28;3;18;1056
Bättwil;52;;252;;39;258;;179;161;;;;;4;380;594;47;0;6;493
Büren (SO);15;;644;;40;298;;104;241;;;;;10;237;514;11;1;10;383
Dornach;164;;1146;;155;1717;;1494;3003;;;;;58;1741;2141;178;2;35;2326
Gempen;15;;81;;9;338;;117;402;;;;;12;332;427;28;1;4;286
Hochwald;94;;446;;34;520;;196;520;;;;;22;391;703;30;2;7;460
Hofstetten-Flüh;94;;928;;90;827;;381;739;;;;;37;1001;1578;64;4;11;1216
Metzerlen-Mariastein;64;;394;;15;234;;89;228;;;;;3;264;536;4;3;0;394
Nuglar-St. Pantaleon;67;;371;;10;402;;235;681;;;;;23;362;949;15;1;7;638
Rodersdorf;18;;221;;29;321;;259;669;;;;;10;1127;714;4;0;4;451
Seewen;42;;486;;4;368;;106;173;;;;;3;245;610;55;0;5;480
Witterswil;26;;569;;43;384;;213;426;;;;;2;420;685;28;0;4;564
Hauenstein-Ifenthal;15;;146;;4;141;;72;76;;;;;2;109;163;0;1;1;107
Kienberg;22;;182;;21;180;;30;64;;;;;10;106;385;21;0;0;224
Lostorf;138;;1045;;106;1685;;494;682;;;;;33;1493;2500;50;2;17;1510
Niedergösgen;119;;923;;100;1058;;237;431;;;;;51;909;1976;59;1;24;1297
Obergösgen;16;;497;;23;514;;153;219;;;;;12;1245;937;1;2;20;791
Rohr (SO);0;;45;;24;13;;2;42;;;;;4;11;48;0;0;0;40
Stüsslingen;62;;381;;62;595;;160;235;;;;;39;254;681;11;0;0;423
Trimbach;100;;816;;161;839;;378;1153;;;;;48;2242;1976;80;1;23;2199
Winznau;31;;683;;63;581;;163;356;;;;;22;692;972;24;14;0;751
Wisen (SO);21;;113;;27;179;;69;184;;;;;2;189;220;10;0;6;165
Erlinsbach (SO);125;;909;;168;795;;570;781;;;;;59;990;1765;78;1;27;1375
Aeschi (SO);49;;482;;7;395;;251;261;;;;;37;478;791;24;0;1;536
Biberist;398;;1437;;162;2001;;919;1733;;;;;64;3499;3230;236;2;1;3249
Bolken;57;;161;;4;200;;81;134;;;;;1;237;278;29;0;6;249
Deitingen;105;;1042;;58;909;;249;434;;;;;37;767;1331;39;0;7;814
Derendingen;185;;929;;91;1760;;538;862;;;;;89;2008;1982;116;3;31;2344
Etziken;36;;379;;3;247;;86;108;;;;;22;212;563;4;0;6;399
Gerlafingen;90;;331;;61;875;;263;477;;;;;40;1845;1561;95;2;31;1666
Halten;41;;380;;19;243;;149;229;;;;;7;386;471;16;1;1;341
Horriwil;63;;291;;8;297;;99;135;;;;;8;350;505;13;0;11;344
Hüniken;6;;58;;2;56;;27;65;;;;;1;80;92;1;0;2;48
Kriegstetten;62;;258;;28;424;;165;196;;;;;26;474;984;51;3;5;519
Lohn-Ammannsegg;199;;561;;53;1673;;744;583;;;;;35;1205;1469;59;1;22;1077
Luterbach;83;;1281;;72;787;;290;595;;;;;22;1231;1660;52;3;19;1349
Obergerlafingen;70;;115;;15;365;;116;140;;;;;26;548;686;44;0;9;536
Oekingen;39;;288;;33;349;;138;219;;;;;4;340;449;11;0;3;310
Recherswil;136;;370;;33;631;;245;289;;;;;52;772;1078;40;0;16;866
Subingen;134;;848;;40;1142;;262;412;;;;;69;1179;1336;73;1;9;1270
Zuchwil;189;;1048;;155;1530;;793;1259;;;;;47;2578;2041;232;1;36;2811
Drei Höfe;65;;180;;32;191;;140;162;;;;;14;266;598;29;0;4;310
Balm bei Günsberg;31;;98;;1;120;;78;28;;;;;0;82;147;15;0;1;59
Bellach;162;;1218;;90;1550;;489;695;;;;;78;1533;2405;64;0;24;1833
Bettlach;161;;1384;;112;1610;;486;483;;;;;61;1493;2361;110;3;28;2033
Feldbrunnen-St. Niklaus;33;;463;;28;1136;;209;230;;;;;35;287;547;17;0;7;271
Flumenthal;48;;204;;19;339;;125;139;;;;;12;353;604;54;0;4;441
Grenchen;662;;2363;;222;3296;;1520;1330;;;;;176;4141;5786;215;5;92;6421
Günsberg;43;;250;;13;506;;205;280;;;;;22;376;811;15;1;8;497
Hubersdorf;37;;303;;8;332;;124;206;;;;;5;217;274;13;0;0;326
Kammersrohr;1;;26;;0;25;;11;8;;;;;12;11;12;2;0;0;14
Langendorf;110;;914;;108;1667;;624;1124;;;;;35;1911;1359;59;0;19;1377
Lommiswil;86;;536;;13;685;;269;408;;;;;19;523;1053;20;0;5;559
Oberdorf (SO);70;;561;;36;882;;512;657;;;;;18;708;734;47;0;5;600
Riedholz;100;;481;;74;980;;400;584;;;;;19;892;1166;20;1;15;886
Rüttenen;62;;386;;29;770;;347;653;;;;;25;814;708;9;2;11;489
Selzach;151;;1458;;55;877;;315;377;;;;;35;880;1538;20;0;14;1432
Boningen;56;;135;;15;223;;42;49;;;;;14;227;480;5;1;6;334
Däniken;44;;455;;73;1059;;223;350;;;;;36;647;1790;29;1;10;1123
Dulliken;50;;737;;125;823;;153;463;;;;;59;1570;1615;55;6;28;1528
Eppenberg-Wöschnau;2;;17;;2;158;;34;50;;;;;4;31;118;6;0;1;126
Fulenbach;108;;688;;42;473;;156;336;;;;;15;506;941;3;6;9;724
Gretzenbach;88;;554;;53;802;;192;376;;;;;42;918;1661;5;2;12;923
Gunzgen;69;;576;;28;374;;153;151;;;;;15;326;935;12;0;14;736
Hägendorf;119;;1037;;88;1717;;456;535;;;;;63;1496;2548;48;5;30;1846
Kappel (SO);105;;907;;84;1089;;226;399;;;;;30;909;1458;19;0;25;1230
Olten;579;;2773;;585;5247;;2896;6695;;;;;126;8715;5372;324;8;124;5864
Rickenbach (SO);24;;198;;10;356;;133;137;;;;;13;196;572;4;0;0;462
Schönenwerd;110;;495;;83;1233;;314;723;;;;;27;1224;1471;54;0;26;1601
Starrkirch-Wil;41;;383;;60;1057;;229;553;;;;;4;1058;713;28;1;9;521
Walterswil (SO);33;;194;;36;156;;81;128;;;;;4;161;362;1;0;4;362
Wangen bei Olten;134;;1005;;181;1525;;553;941;;;;;23;1508;1885;55;3;26;1927
Solothurn;651;;3260;;351;7341;;3573;7659;;;;;118;9240;4565;423;7;69;5505
Bärschwil;21;;354;;29;215;;102;237;;;;;22;94;463;6;11;4;370
Beinwil (SO);1;;247;;1;143;;13;47;;;;;8;31;169;4;0;0;96
Breitenbach;76;;627;;88;2067;;334;527;;;;;22;589;1544;30;0;17;1454
Büsserach;34;;670;;38;890;;179;361;;;;;25;278;1303;12;3;8;1024
Erschwil;30;;630;;8;336;;54;74;;;;;4;138;641;19;1;11;358
Fehren;19;;186;;2;256;;67;110;;;;;11;52;553;2;0;2;257
Grindel;2;;109;;5;174;;70;124;;;;;12;76;362;8;0;1;241
Himmelried;27;;283;;12;273;;214;238;;;;;2;231;627;35;1;4;403
Kleinlützel;19;;391;;3;337;;161;278;;;;;4;339;677;12;1;3;590
Meltingen;19;;367;;1;348;;71;112;;;;;4;67;423;6;0;4;270
Nunningen;66;;985;;31;789;;168;266;;;;;13;317;1450;10;0;12;777
Zullwil;20;;184;;25;280;;40;71;;;;;10;88;444;25;0;2;265
Basel;853;;9205;434;3318;12853;;12387;43198;32436;;;;;75768;25124;7064;62;584;46385
Bettingen;4;;223;44;161;217;;112;125;569;;;;;336;380;14;1;0;284
Riehen;89;;2464;231;1685;2409;;2093;3035;7054;;;;;8533;6594;575;15;111;5958
Aesch (BL);249;;2072;;255;2839;;663;2434;;;;;;3486;4035;10;7;59;4326
Allschwil;413;;3271;;1100;5618;;2000;5627;;;;;;8484;6643;28;0;132;8183
Arlesheim;157;;1778;;476;4847;;1162;4817;;;;;;4189;2836;20;3;72;3200
Biel-Benken;61;;1158;;197;1620;;578;1291;;;;;;1190;2112;1;0;10;1247
Binningen;330;;2758;;686;7246;;2185;5809;;;;;;6631;6156;33;0;108;5195
Birsfelden;166;;1258;;792;1533;;440;2364;;;;;;4912;3237;63;5;91;4147
Bottmingen;146;;1283;;413;3613;;1104;2113;;;;;;2726;3176;4;3;42;2126
Ettingen;152;;1109;;207;1802;;544;1713;;;;;;2081;3059;12;0;20;2153
Münchenstein;323;;1588;;805;3169;;1460;3840;;;;;;6764;4237;14;3;57;4492
Muttenz;362;;2878;;1812;5101;;1582;6002;;;;;;7935;7645;132;11;68;7240
Oberwil (BL);272;;2643;;380;5092;;1545;3737;;;;;;4072;4733;15;0;61;4085
Pfeffingen;67;;689;;80;1437;;296;701;;;;;;797;1765;1;0;17;824
Reinach (BL);634;;3625;;887;6074;;1761;4952;;;;;;7825;7981;18;14;145;7868
Schönenbuch;34;;366;;96;658;;206;570;;;;;;588;802;1;0;17;582
Therwil;249;;2237;;386;3529;;1310;3239;;;;;;3903;4818;22;4;70;4007
Blauen;24;;353;;16;153;;67;296;;;;;;300;568;15;2;2;276
Brislach;44;;492;;84;279;;113;220;;;;;;473;1057;0;0;11;801
Burg im Leimental;11;;83;;12;68;;31;95;;;;;;85;216;0;1;4;120
Dittingen;1;;246;;20;87;;62;324;;;;;;281;342;0;0;5;329
Duggingen;36;;239;;72;393;;175;449;;;;;;450;847;0;1;10;643
Grellingen;33;;446;;61;375;;75;354;;;;;;590;945;3;0;5;739
Laufen;94;;1991;;205;1460;;480;1424;;;;;;2090;2339;16;0;13;2115
Liesberg;12;;526;;35;167;;56;338;;;;;;310;974;0;0;3;512
Nenzlingen;8;;99;;59;103;;11;100;;;;;;109;385;3;0;2;205
Roggenburg;3;;39;;12;19;;10;71;;;;;;50;343;0;0;0;146
Röschenz;48;;1018;;77;489;;166;474;;;;;;645;1569;2;0;11;742
Wahlen;8;;471;;34;339;;89;307;;;;;;361;1145;0;0;4;694
Zwingen;27;;690;;86;374;;86;277;;;;;;655;1102;2;0;9;1045
Arisdorf;84;;202;;147;543;;148;477;;;;;;394;1406;5;1;9;719
Augst;35;;174;;53;370;;147;414;;;;;;434;578;0;0;0;384
Bubendorf;124;;534;;765;1314;;609;1731;;;;;;2444;2768;7;14;3;1645
Frenkendorf;97;;517;;246;1730;;627;1297;;;;;;3204;2417;6;0;22;2176
Füllinsdorf;109;;413;;316;1577;;416;1138;;;;;;1812;2159;5;0;17;1654
Giebenach;27;;195;;29;256;;56;218;;;;;;203;690;4;0;4;436
Hersberg;16;;27;;50;81;;40;209;;;;;;109;329;0;0;2;120
Lausen;117;;520;;519;1037;;400;1410;;;;;;2192;2928;20;3;20;1858
Liestal;274;;1474;;1433;4314;;1687;6307;;;;;;6674;5685;23;2;75;4804
Lupsingen;41;;221;;133;524;;302;822;;;;;;693;831;1;0;5;528
Pratteln;225;;1607;;423;2726;;623;3714;;;;;;5242;4795;15;0;81;5534
Ramlinsburg;14;;120;;58;292;;82;528;;;;;;367;514;0;0;7;249
Seltisberg;51;;213;;176;742;;198;911;;;;;;723;1041;0;0;2;438
Ziefen;56;;126;;295;404;;194;884;;;;;;1240;1050;12;0;5;526
Anwil;16;;34;;195;125;;100;349;;;;;;155;420;0;0;0;220
Böckten;16;;98;;101;307;;72;395;;;;;;389;608;2;0;2;300
Buckten;21;;57;;57;181;;22;304;;;;;;471;437;0;0;4;252
Buus;64;;98;;34;265;;129;409;;;;;;290;1021;21;0;0;472
Diepflingen;41;;50;;22;182;;68;273;;;;;;190;595;0;1;3;322
Gelterkinden;120;;555;;724;1916;;580;3038;;;;;;3338;3174;6;4;32;2281
Häfelfingen;8;;18;;12;51;;5;129;;;;;;103;322;1;0;0;97
Hemmiken;2;;15;;10;41;;47;145;;;;;;96;254;0;0;0;119
Itingen;40;;193;;142;823;;228;884;;;;;;809;1052;1;0;15;773
Känerkinden;23;;59;;31;228;;34;203;;;;;;331;460;0;2;0;210
Kilchberg (BL);1;;13;;2;64;;23;154;;;;;;144;139;0;0;2;36
Läufelfingen;20;;130;;72;310;;108;665;;;;;;698;1100;17;2;3;498
Maisprach;23;;114;;56;239;;152;522;;;;;;364;806;0;0;9;360
Nusshof;3;;30;;17;111;;28;135;;;;;;96;162;0;0;2;115
Oltingen;14;;19;;21;140;;29;568;;;;;;225;464;0;0;1;152
Ormalingen;46;;227;;215;727;;153;1139;;;;;;829;1440;4;0;2;970
Rickenbach (BL);1;;49;;69;169;;79;277;;;;;;275;497;0;0;0;231
Rothenfluh;41;;57;;119;199;;41;503;;;;;;311;551;2;0;1;327
Rümlingen;5;;30;;17;87;;19;111;;;;;;204;343;0;0;1;144
Rünenberg;42;;45;;21;254;;197;543;;;;;;468;857;0;0;0;243
Sissach;110;;513;;590;3000;;621;4701;;;;;;2943;3451;9;0;35;2322
Tecknau;30;;55;;27;142;;49;228;;;;;;203;453;2;0;3;326
Tenniken;46;;71;;77;231;;104;549;;;;;;343;389;5;0;5;427
Thürnen;19;;60;;57;418;;87;387;;;;;;437;770;0;0;8;576
Wenslingen;20;;91;;154;286;;67;505;;;;;;297;648;0;0;1;259
Wintersingen;19;;37;;21;253;;94;338;;;;;;199;636;0;0;4;253
Wittinsburg;25;;39;;90;215;;29;250;;;;;;212;406;0;0;2;143
Zeglingen;19;;41;;25;183;;65;332;;;;;;279;498;0;1;1;170
Zunzgen;49;;180;;213;680;;223;1014;;;;;;1158;1596;4;0;17;1027
Arboldswil;15;;61;;161;176;;52;245;;;;;;215;648;1;0;6;215
Bennwil;29;;30;;17;176;;118;258;;;;;;131;601;2;0;0;294
Bretzwil;10;;49;;96;195;;39;236;;;;;;192;825;13;0;1;345
Diegten;53;;181;;121;398;;208;553;;;;;;557;1421;0;0;4;688
Eptingen;3;;38;;16;138;;77;204;;;;;;100;661;1;0;3;210
Hölstein;32;;278;;433;758;;213;672;;;;;;1002;1487;2;0;3;1012
Lampenberg;13;;76;;110;165;;46;237;;;;;;141;617;9;1;3;178
Langenbruck;19;;101;;107;185;;124;376;;;;;;330;685;0;0;2;421
Lauwil;13;;34;;30;43;;67;118;;;;;;146;195;0;0;0;150
Liedertswil;28;;21;;9;32;;6;39;;;;;;78;192;0;0;0;63
Niederdorf;34;;226;;145;485;;94;448;;;;;;566;1061;2;4;9;745
Oberdorf (BL);36;;353;;236;588;;226;820;;;;;;786;1241;6;4;8;939
Reigoldswil;47;;127;;257;415;;123;622;;;;;;940;1014;2;1;8;653
Titterten;11;;51;;128;134;;53;224;;;;;;233;350;9;0;3;146
Waldenburg;9;;73;;80;243;;71;326;;;;;;222;739;0;0;5;455
Gächlingen;;;6;107;14;71;21;15;43;;;;;;164;360;;6;18;233
Löhningen;;;14;45;52;206;27;80;65;;;;;;255;607;;9;0;341
Neunkirch;;;37;91;23;231;47;62;97;;;;;;499;833;;46;52;533
Büttenhardt;;;3;19;3;53;9;12;25;;;;;;90;193;;1;6;100
Dörflingen;;;7;29;13;141;20;42;47;;;;;;182;409;;5;1;227
Lohn (SH);;;5;43;8;121;11;28;50;;;;;;109;338;;5;18;159
Stetten (SH);;;34;37;19;253;14;83;41;;;;;;246;481;;9;33;235
Thayngen;;;43;197;76;877;88;181;219;;;;;;871;1824;;61;7;1190
Bargen (SH);;;5;7;0;10;3;16;15;;;;;;49;151;;0;1;99
Beringen;;;101;150;60;454;42;253;235;;;;;;740;1502;;27;12;1351
Buchberg;;;10;27;14;84;12;91;79;;;;;;113;466;;5;1;212
Merishausen;;;15;27;24;118;12;28;68;;;;;;134;400;;2;14;134
Neuhausen am Rheinfall;;;291;112;61;462;158;333;487;;;;;;1411;1927;;44;18;2663
Rüdlingen;;;8;7;11;65;10;68;47;;;;;;121;379;;2;1;212
Schaffhausen;;;488;536;537;2503;1271;1722;2083;;;;;;8365;8552;;216;51;9783
Beggingen;;;3;34;9;26;3;9;23;;;;;;74;324;;5;0;112
Schleitheim;;;25;120;37;148;22;41;60;;;;;;283;683;;38;6;459
Siblingen;;;10;86;14;64;11;48;41;;;;;;171;304;;6;2;265
Buch (SH);;;11;7;4;10;10;9;18;;;;;;50;122;;0;3;84
Hemishofen;;;8;7;11;39;4;33;36;;;;;;85;194;;3;2;127
Ramsen;;;61;22;18;60;16;29;60;;;;;;152;579;;2;32;373
Stein am Rhein;;;66;54;74;281;34;200;168;;;;;;637;1053;;19;50;985
Hallau;;;17;131;17;173;34;79;57;;;;;;490;911;;4;0;575
Oberhallau;;;3;36;9;20;1;22;10;;;;;;84;258;;1;1;110
Trasadingen;;;6;14;2;46;8;23;16;;;;;;90;273;;3;0;142
Wilchingen;;;20;96;28;165;41;95;45;;;;;;371;763;;8;2;431
Herisau;;;;;;1207;;;;;;;;;;2328;63;137;30;6760
Hundwil;;;;;;61;;;;;;;;;;212;4;0;0;442
Schönengrund;;;;;;51;;;;;;;;;;125;2;2;1;219
Schwellbrunn;;;;;;173;;;;;;;;;;395;15;12;3;578
Stein (AR);;;;;;230;;;;;;;;;;286;3;9;1;534
Urnäsch;;;;;;185;;;;;;;;;;475;9;13;0;976
Waldstatt;;;;;;223;;;;;;;;;;398;8;21;0;647
Bühler;;;;;;229;;;;;;;;;;232;8;8;1;635
Gais;;;;;;523;;;;;;;;;;446;19;30;2;1232
Speicher;;;;;;988;;;;;;;;;;450;39;40;2;1671
Teufen (AR);;;;;;1276;;;;;;;;;;721;44;48;14;2617
Trogen;;;;;;453;;;;;;;;;;183;14;27;0;634
Grub (AR);;;;;;137;;;;;;;;;;129;2;9;3;439
Heiden;;;;;;642;;;;;;;;;;407;36;16;1;1724
Lutzenberg;;;;;;134;;;;;;;;;;139;14;9;2;566
Rehetobel;;;;;;359;;;;;;;;;;201;7;20;0;740
Reute (AR);;;;;;118;;;;;;;;;;88;5;7;1;307
Wald (AR);;;;;;114;;;;;;;;;;136;4;4;0;409
Walzenhausen;;;;;;220;;;;;;;;;;194;20;24;4;936
Wolfhalden;;;;;;238;;;;;;;;;;175;13;15;0;871
Appenzell;;;1200;;;;;;;;;;;;181;479;8;7;51;1911
Gonten;;;248;;;;;;;;;;;;36;292;6;4;11;490
Rüte;;;902;;;;;;;;;;;;107;394;15;7;32;1259
Schlatt-Haslen;;;224;;;;;;;;;;;;35;136;4;0;8;451
Schwende;;;462;;;;;;;;;;;;65;219;8;0;34;749
Oberegg;;;401;;;;;;;;;;;;49;114;9;6;9;862
Häggenschwil;11;;1907;77;112;664;;326;460;;;;;19;396;2018;91;0;2;441
Muolen;71;;1531;39;91;588;;206;311;;;;;10;204;1640;46;0;8;459
St. Gallen;1012;;28270;934;3819;32106;;24454;39044;;;;;523;54491;37009;2087;18;239;25400
Wittenbach;92;;4916;103;408;5181;;1880;2124;;;;;76;3501;7986;244;5;44;3597
Berg (SG);10;;796;3;86;489;;211;410;;;;;4;387;1251;58;0;2;286
Eggersriet;71;;2249;66;166;1013;;661;1244;;;;;2;887;2737;74;2;8;865
Goldach;154;;4894;215;295;4222;;1755;1970;;;;;74;3539;9074;253;5;38;3645
Mörschwil;33;;4111;47;211;3527;;1263;1625;;;;;39;1423;4575;82;6;8;1228
Rorschach;72;;2089;145;288;2413;;1248;1820;;;;;42;4201;4291;204;0;12;2675
Rorschacherberg;149;;3221;295;241;3711;;1566;1712;;;;;58;3441;7396;159;2;40;2566
Steinach;24;;1864;69;156;1298;;550;850;;;;;8;1168;3581;143;2;19;1419
Tübach;48;;836;33;43;740;;490;425;;;;;13;502;2494;23;0;4;497
Untereggen;18;;1086;31;76;611;;388;408;;;;;13;543;1494;24;1;7;373
Au (SG);158;;3519;136;192;2606;;1398;1604;;;;;33;2073;6170;109;0;24;2611
Balgach;68;;3322;125;155;2535;;1267;1366;;;;;21;1621;4662;114;1;11;1714
Berneck;70;;2567;197;129;2309;;1151;1221;;;;;20;1355;4618;129;1;6;1372
Diepoldsau;93;;4201;94;185;3042;;1147;1475;;;;;23;1286;6166;148;1;24;2383
Rheineck;31;;966;245;90;1668;;408;814;;;;;4;1082;2839;68;2;15;1183
