;@abs;@blank;@null;UG;UD;RN;D-Gilles;EÉLV;LREM;G-Ghali;G-Bensaada;LO;G-Manin;UPR;POID;G-Vinapon;PA;EXD-Comas;D-Harouche
1062;871;1;6;35;71;57;22;18;5;13;;;;;;;;;
1063;644;10;0;25;84;45;29;9;5;10;;;;;;;;;
1064;829;3;5;39;141;74;33;18;14;6;;;;;;;;;
1065;984;0;7;28;94;22;18;20;22;38;;;;;;;;;
1066;773;0;7;38;171;86;33;25;18;7;;;;;;;;;
1067;942;1;7;32;132;86;25;26;17;6;;;;;;;;;
1068;832;1;5;46;126;84;29;25;14;10;;;;;;;;;
1069;814;6;6;45;120;89;23;24;18;6;;;;;;;;;
1070;822;0;2;41;113;55;29;38;27;11;;;;;;;;;
1071;623;2;3;32;78;52;20;19;7;11;;;;;;;;;
1072;765;1;4;23;103;70;22;20;12;9;;;;;;;;;
1073;859;0;4;71;104;100;32;40;18;25;;;;;;;;;
1074;821;2;6;35;77;76;27;17;17;4;;;;;;;;;
1075;744;2;4;54;103;66;31;26;12;8;;;;;;;;;
1076;809;2;9;55;93;93;28;36;21;13;;;;;;;;;
1077;877;2;9;25;63;43;27;17;6;39;;;;;;;;;
1078;597;5;1;23;61;47;20;11;5;11;;;;;;;;;
1079;686;2;5;37;59;67;23;39;22;4;;;;;;;;;
1080;757;3;9;38;112;90;47;32;16;13;;;;;;;;;
1101;884;4;16;53;118;105;25;42;17;9;;;3;;;;;;
1102;743;3;2;30;85;95;13;16;7;19;;;3;;;;;;
1103;757;4;5;14;68;30;38;14;9;64;;;4;;;;;;
1150;599;4;0;30;72;67;13;12;2;14;;;0;;;;;;
1151;542;2;5;37;68;54;11;22;8;7;;;3;;;;;;
1152;606;4;6;20;51;55;10;23;7;19;;;2;;;;;;
1153;820;3;4;7;67;18;27;8;19;47;;;7;;;;;;
1154;588;1;2;34;44;50;24;15;6;25;;;3;;;;;;
1155;725;2;4;62;68;69;22;27;14;13;;;4;;;;;;
1156;1054;3;2;44;79;110;25;28;19;20;;;5;;;;;;
1157;781;2;8;43;65;94;23;28;11;9;;;3;;;;;;
1158;617;6;6;34;81;70;30;23;14;7;;;1;;;;;;
1159;727;2;1;37;63;76;20;25;8;36;;;2;;;;;;
1160;931;5;1;65;75;92;22;34;25;10;;;5;;;;;;
1161;929;4;2;74;96;99;27;21;9;17;;;7;;;;;;
1162;480;3;6;38;60;60;20;12;15;4;;;6;;;;;;
1163;964;1;5;59;72;97;37;31;20;10;;;4;;;;;;
1164;879;2;12;25;63;58;30;15;14;45;;;0;;;;;;
1165;1070;3;11;102;104;119;36;23;35;16;;;10;;;;;;
1166;726;3;10;56;48;66;27;34;19;7;;;5;;;;;;
1167;668;2;4;40;103;95;66;35;39;0;;;0;;;;;;
1168;1033;0;8;35;103;141;54;33;28;3;;;7;;;;;;
1169;780;4;5;44;119;74;31;53;28;3;;;4;;;;;;
1170;930;4;6;61;106;95;40;73;45;8;;;5;;;;;;
1171;846;3;1;84;162;108;44;37;48;6;;;2;;;;;;
1172;969;3;10;93;120;100;80;55;46;10;;;7;;;;;;
1173;1048;1;9;45;117;100;31;54;36;5;;;13;;;;;;
1174;744;1;10;45;84;70;29;33;12;8;;;4;;;;;;
1175;753;3;2;59;73;94;29;36;23;11;;;11;;;;;;
1176;791;3;4;43;54;58;36;31;25;24;;;3;;;;;;
1177;1011;3;1;54;162;113;43;69;32;4;;;9;;;;;;
1178;709;4;3;37;77;85;17;17;18;15;;;8;;;;;;
1179;843;5;5;18;105;13;42;10;17;25;;;2;;;;;;
1180;734;4;9;55;121;85;44;49;39;4;;;3;;;;;;
1201;427;2;2;24;40;58;39;18;14;7;;;3;;;;;;
1202;683;3;9;75;85;76;85;24;39;10;;;5;;;;;;
1203;960;3;9;134;158;107;57;44;44;15;;;4;;;;;;
1204;880;5;4;94;157;76;59;48;59;1;;;14;;;;;;
1205;840;7;3;60;123;79;42;18;30;22;;;4;;;;;;
1206;812;4;2;110;134;69;72;44;51;11;;;4;;;;;;
1207;345;0;4;45;32;48;28;17;24;1;;;1;;;;;;
1208;806;3;13;82;102;103;74;39;43;7;;;6;;;;;;
1209;742;5;0;86;92;71;36;53;21;4;;;7;;;;;;
1210;415;1;2;54;50;47;25;28;17;4;;;3;;;;;;
1211;712;3;13;76;146;98;45;40;40;6;;;12;;;;;;
1212;708;1;11;68;86;61;44;34;24;7;;;11;;;;;;
1213;414;0;5;59;51;48;29;17;20;4;;;6;;;;;;
1221;820;5;9;55;81;86;71;25;31;16;;;1;;;;;;
1241;700;2;8;77;122;80;43;44;35;9;;;4;;;;;;
1242;812;1;6;70;151;102;70;50;45;5;;;5;;;;;;
1243;785;3;6;101;114;118;29;39;36;10;;;6;;;;;;
1244;620;2;4;42;61;82;29;19;16;14;;;3;;;;;;
1245;693;1;5;42;52;107;33;14;5;7;;;5;;;;;;
1261;897;3;5;76;165;73;30;35;46;8;;;10;;;;;;
1262;836;2;8;56;117;81;36;45;47;7;;;9;;;;;;
1263;638;3;1;47;74;76;40;13;14;6;;;7;;;;;;
1264;720;0;5;47;78;71;13;17;22;5;;;4;;;;;;
1265;846;2;7;75;147;114;30;55;35;9;;;4;;;;;;
1266;769;2;6;69;125;80;24;23;32;3;;;7;;;;;;
1267;820;6;5;61;118;75;41;31;14;18;;;3;;;;;;
1268;578;4;6;28;175;67;40;24;9;22;;;3;;;;;;
1269;978;4;2;56;115;121;42;34;43;5;;;5;;;;;;
1270;840;4;6;66;139;134;55;42;49;2;;;3;;;;;;
1271;842;5;5;49;126;73;38;28;50;6;;;7;;;;;;
1272;683;5;5;79;136;49;37;33;34;2;;;10;;;;;;
1273;570;1;2;19;65;52;18;6;8;13;;;2;;;;;;
1281;952;6;8;78;119;102;47;44;31;11;;;5;;;;;;
1282;625;1;4;76;89;53;49;32;14;6;;;4;;;;;;
1283;535;1;8;34;49;50;11;20;10;6;;;7;;;;;;
1284;752;6;7;65;85;89;39;40;25;14;;;6;;;;;;
1285;918;4;7;52;151;96;54;32;40;26;;;4;;;;;;
1286;619;7;6;41;67;37;32;24;27;23;;;3;;;;;;
1287;492;0;3;43;59;61;21;4;2;13;;;1;;;;;;
1301;440;0;2;36;39;65;26;;13;8;16;2;;0;;;;;0
1302;889;8;3;71;67;103;49;;18;7;21;1;;2;;;;;0
1303;670;1;3;73;42;122;49;;20;15;14;3;;1;;;;;0
1304;428;3;9;39;42;72;20;;12;4;13;2;;0;;;;;0
1305;694;1;5;45;48;78;23;;19;6;18;3;;2;;;;;2
1306;643;1;4;24;41;58;21;;8;29;8;2;;3;;;;;0
1307;790;0;2;32;50;38;15;;12;43;15;4;;2;;;;;0
1308;381;1;1;44;32;43;24;;15;7;7;2;;0;;;;;0
1331;381;1;5;31;34;49;14;;9;9;16;1;;1;;;;;1
1332;713;1;3;58;49;63;23;;5;33;12;1;;1;;;;;0
1333;970;1;8;32;44;13;29;;6;89;23;2;;8;;;;;0
1334;583;0;4;30;40;68;17;;13;10;5;1;;0;;;;;0
1335;1106;15;6;87;71;34;51;;10;66;28;2;;5;;;;;0
1336;683;2;5;25;69;75;7;;4;28;11;6;;3;;;;;0
1337;920;6;2;24;116;34;23;;6;82;14;5;;4;;;;;2
1338;1025;4;12;59;77;151;49;;19;27;38;2;;2;;;;;1
1339;779;3;7;42;41;67;24;;3;44;15;2;;4;;;;;1
1340;796;1;10;47;60;132;32;;15;22;13;0;;2;;;;;0
1341;654;2;2;30;31;64;33;;6;24;9;8;;1;;;;;2
1342;1177;8;8;54;69;73;28;;23;95;23;2;;5;;;;;0
1343;1108;8;9;34;50;27;27;;12;130;26;3;;0;;;;;1
1344;729;0;5;41;42;118;19;;22;13;13;2;;3;;;;;1
1345;568;3;8;19;27;29;11;;7;25;8;2;;1;;;;;1
1346;752;2;5;34;52;57;16;;9;19;17;0;;2;;;;;1
1347;813;6;7;36;43;117;28;;10;18;18;4;;4;;;;;0
1348;539;6;7;38;38;104;28;;8;13;13;4;;0;;;;;0
1349;1054;2;7;65;76;203;38;;26;18;27;2;;2;;;;;2
