RegioNaam;@invalid;@blank;PvdA;VVD;CDA;D66;GL;SP;Reformatorische Politieke Federatie (RPF);SGP;Gereformeerd Politiek Verbond (GPV);Centrumdemocraten;AOV/Unie55+;Nederland Mobiel;Senioren 2000;Nederlandse Middenstands Partij;DG;Natuurwetpartij;Katholiek Politieke Partij;Vrije Indische Partij;Nieuw Solidair Ouderen Verbond;Nieuwe Communistische Partij;Idealisten/Jij;Het Kiezers Collectief;@abs
Brielle-G0501;;12;2643;3375;1132;951;441;199;90;39;32;34.0;52;127.0;38;52;12;21;4.0;1;5.0;5.0;2;2.0;3017.0
Broekhuizen-G0898;;9;223;262;427;75;48;24;2;0;1;7.0;12;4.0;5;6;1;4;3.0;0;1.0;1.0;1;1.0;333.0
Brummen-G0213;;20;4948;3313;1874;1114;696;288;83;32;57;70.0;28;75.0;45;43;19;27;9.0;9;12.0;12.0;0;2.0;3585.0
Brunssum-G0899;;26;5422;2573;3201;904;913;1542;89;8;116;198.0;94;54.0;80;22;30;50;46.0;13;41.0;6.0;3;2.0;8026.0
Bunnik-G0312;;19;1795;2579;1992;1097;785;163;93;109;57;35.0;23;52.0;34;30;20;5;10.0;7;5.0;1.0;2;0.0;1628.0
Bunschoten-G0313;;1;858;1469;3282;276;188;62;1190;272;3312;24.0;14;71.0;3;41;6;3;3.0;2;0.0;0.0;4;3.0;2397.0
Buren-G0214;;17;1792;2201;791;561;290;138;57;154;44;;15;56.0;18;34;5;4;3.0;1;;5.0;0;1.0;1713.0
Bussum-G0381;;24;4173;6355;2708;2385;1406;354;242;80;124;78.0;100;125.0;100;65;28;49;26.0;15;;9.0;10;6.0;5443.0
Capelle aan den IJssel-G0502;;37;9999;9979;3205;3356;1820;957;707;1974;817;196.0;145;214.0;169;57;38;70;9.0;40;;10.0;2;17.0;13723.0
Castricum-G0383;;14;3832;4655;2175;1929;1530;320;91;3;48;54.0;39;83.0;56;30;23;31;17.0;10;;6.0;3;2.0;2836.0
Coevorden-G0109;;49;8144;4980;4163;1490;930;405;287;43;142;;98;92.0;62;49;20;26;8.0;11;;20.0;1;7.0;5536.0
Cranendonck-G1706;;28;3405;2733;3056;737;610;310;30;6;9;86.0;84;52.0;51;40;13;14;12.0;12;30.0;;2;3.0;4025.0
Cromstrijen-G0611;;6;2320;2217;1159;611;313;145;184;482;45;44.0;27;56.0;10;24;7;8;1.0;2;3.0;1.0;4;1.0;2140.0
Cuijk-G1684;;12;4072;2769;2865;917;895;459;13;4;17;84.0;53;55.0;74;35;30;17;11.0;5;24.0;;3;5.0;5094.0
Culemborg-G0216;;11;3654;3702;1976;1412;938;727;188;125;57;;60;70.0;44;42;20;15;9.0;8;;6.0;7;3.0;4429.0
Dalfsen-G0148;;28;2310;1787;4133;611;399;143;242;56;932;27.0;26;53.0;6;62;14;11;9.0;1;;1.0;1;0.0;2032.0
Dantumadeel-G0065;;12;3113;981;3986;408;495;331;743;612;354;56.0;15;;11;28;10;8;;2;;3.0;0;;3550.0
De Bilt-G0310;;13;4348;7154;2851;3250;1624;588;281;197;357;69.0;55;66.0;81;39;33;25;19.0;18;19.0;3.0;4;4.0;4329.0
De Lier-G0552;;7;902;2224;2340;346;162;83;86;23;142;43.0;21;42.0;14;13;1;2;4.0;1;2.0;1.0;2;3.0;1686.0
De Marne-G1663;;8;2211;1045;1449;340;383;210;118;17;571;29.0;23;32.0;17;27;24;16;3.0;1;;8.0;1;;1825.0
De Ronde Venen-G0736;;11;3564;7327;4175;1759;841;220;613;335;136;106.0;59;176.0;67;80;24;25;19.0;6;12.0;0.0;5;3.0;5492.0
De Wolden-G1690;;15;4325;4325;2944;1142;573;235;210;42;309;;82;92.0;38;74;21;24;2.0;1;;9.0;1;4.0;3303.0
Delft-G0503;;149;16348;12589;6690;7279;5926;2052;786;339;485;382.0;174;257.0;193;113;134;97;47.0;46;50.0;22.0;21;2.0;17960.0
Delfzijl-G0010;;17;6599;3013;2776;1015;840;932;405;21;323;104.0;151;84.0;51;40;17;12;8.0;27;;33.0;2;;6421.0
Den Ham-G0159;;8;2240;837;3713;203;210;165;566;45;474;33.0;21;43.0;11;12;2;4;0.0;0;;3.0;0;3.0;2494.0
Den Helder-G0400;;31;8343;10364;3795;2426;2031;794;665;153;385;218.0;572;174.0;288;79;44;55;29.0;79;;7.0;6;13.0;15079.0
Denekamp-G0149;;26;1840;1284;3603;356;254;93;13;3;14;33.0;40;23.0;19;10;3;5;17.0;1;;2.0;3;1.0;1715.0
Deurne-G0762;;25;4586;3600;5281;1133;951;711;22;9;22;122.0;108;74.0;68;101;20;33;26.0;4;26.0;;3;3.0;6890.0
Deventer-G0150;;29;14773;8142;4774;3927;3886;1493;460;56;270;256.0;140;107.0;186;50;79;63;18.0;43;;22.0;14;9.0;14517.0
Didam-G0218;;13;3397;1753;2816;563;479;230;16;2;13;53.0;22;12.0;32;19;11;5;12.0;4;7.0;3.0;2;0.0;3307.0
Diemen-G0384;;17;3504;4267;1118;1532;1204;373;75;7;51;91.0;49;99.0;76;47;47;7;12.0;6;;5.0;4;5.0;5127.0
Diepenheim-G0151;;4;705;515;375;120;79;36;10;5;3;5.0;6;5.0;8;10;0;4;1.0;0;;0.0;0;0.0;274.0
Diepenveen-G0152;;15;1716;1881;2032;678;321;118;56;7;25;23.0;16;25.0;8;44;13;5;19.0;2;;1.0;0;1.0;1125.0
Dinxperlo-G0219;;3;1296;756;1673;217;156;81;106;7;9;9.0;8;9.0;13;15;3;2;3.0;1;0.0;0.0;1;0.0;1880.0
Dirksland-G0504;;9;1185;815;648;205;124;78;394;1043;46;23.0;16;39.0;7;35;4;4;1.0;2;4.0;0.0;1;0.0;1319.0
Dodewaard-G0220;;1;878;506;484;134;80;55;90;259;19;18.0;12;3.0;5;10;2;3;0.0;0;2.0;1.0;0;0.0;605.0
Doesburg-G0221;;13;2099;1271;993;589;403;569;60;18;53;32.0;19;23.0;16;14;8;12;2.0;9;10.0;1.0;0;0.0;2152.0
