RegioNaam;@invalid;@blank;RKSP;SDAP;ARP;CHU;Liberale Staatspartij (LSP);Vrijzinnig-Democratische Bond (VDB);SGP;Middenpartij voor Stad en Land;CPN (De Visser);HGSP;Plattelandersbond;CPN (Wijnkoop);Rooms-Katholieke Volkspartij (RKVP);Revolutionair-Socialistische Partij;Federatief Verband;Christelijk-Democratische Unie;Democratische Partij;Kleine Winkeliers en Middenstanders;Nationale Boerenbond;Verbond van Nationalisten;Roomsch-Katholieke Boerenpartij (RKBP);Sociaal-Democratische Volkspartij;Algemene Welvaartspartij;Christelijke Arbeiderspartij;Lijst Van Nunen;Hoofd- en handarbeiders;Sociaal-Economische Volkspartij;Invalidenpartij;Lijst Verwey;Volkspartij;Anti-stemdwangpartij;Algemeen Belang;Neutrale Volkspartij;Lijst Siedenburg;Vrije Christelijke Partij;Internationale Volkspartij;@abs
Blankenham-G0145;;;14.0;30.0;11.0;81.0;66.0;29.0;;1.0;;1.0;4.0;2.0;;1.0;3.0;;;;2.0;;;;;;;;;;;;;;;;;;40.0
Blaricum-G0376;;;558.0;161.0;53.0;114.0;178.0;61.0;8.0;70.0;20.0;4.0;4.0;13.0;;3.0;2.0;;;;;;;;;;;;;;;;;;;;;;
Bleiswijk-G0495;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bleskensgraaf en Hofwegen-G0496;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bloemendaal-G0377;156.0;;1410.0;750.0;325.0;704.0;1392.0;445.0;31.0;162.0;9.0;22.0;8.0;9.0;24.0;3.0;29.0;;10.0;1.0;;6.0;;3.0;13.0;7.0;;;2.0;;;;8.0;;;;;;551.0
Blokker-G0378;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Blokzijl-G0146;;;3.0;115.0;141.0;87.0;31.0;83.0;14.0;;;3.0;;2.0;;4.0;;2.0;;;;;;;;;;;;;;;;;;;;;
Bocholtz-G0895;17.0;12.0;997.0;66.0;5.0;3.0;;;2.0;12.0;5.0;1.0;1.0;2.0;8.0;11.0;;1.0;7.0;;1.0;2.0;11.0;7.0;;;;;;;;;;;;;;;26.0
Bodegraven-G0497;61.0;;532.0;215.0;934.0;553.0;169.0;59.0;205.0;14.0;;17.0;49.0;3.0;2.0;2.0;1.0;3.0;;1.0;;3.0;;;;;;;2.0;;;;;;;;;;226.0
Boekel-G0755;;;1158.0;;1.0;1.0;1.0;1.0;;15.0;;;;1.0;3.0;1.0;4.0;;;1.0;1.0;;;;;;2.0;;;;;;;;;;;;138.0
Bolsward-G0064;124.0;;1035.0;719.0;504.0;426.0;277.0;217.0;2.0;19.0;6.0;8.0;18.0;4.0;58.0;8.0;;22.0;7.0;;5.0;;;;;;;;;;;;;;;;;;320.0
Borculo-G0211;79.0;;222.0;597.0;344.0;281.0;640.0;302.0;4.0;8.0;2.0;8.0;71.0;11.0;;8.0;9.0;10.0;5.0;;1.0;7.0;;;4.0;;;;;;;;;;;;;;160.0
Borger-G0108;168.0;;68.0;1658.0;626.0;509.0;121.0;478.0;4.0;15.0;26.0;14.0;384.0;8.0;5.0;13.0;20.0;11.0;1.0;;37.0;16.0;;;;;;;;;;;;;;;;;511.0
Borgharen-G0896;17.0;26.0;340.0;61.0;;2.0;;4.0;;7.0;;;6.0;1.0;1.0;2.0;;;1.0;;;;1.0;2.0;;;;;;;;;;;;;;;21.0
Borkel en Schaft-G1026;1.0;2.0;299.0;1.0;2.0;;;;;1.0;;;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;24.0
Born-G0897;14.0;3.0;941.0;6.0;2.0;4.0;;;;1.0;1.0;;3.0;;3.0;2.0;;;;;;;37.0;;;;;;;;;;;;;;;;44.0
Borne-G0147;;;2260.0;515.0;61.0;361.0;97.0;67.0;20.0;30.0;33.0;2.0;23.0;11.0;15.0;18.0;9.0;173.0;;;9.0;5.0;;;;;;;;;;;;;;;;;
Borssele-G1254;0.0;17.0;90.0;45.0;81.0;135.0;26.0;77.0;117.0;5.0;;;16.0;;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;
Boschkapelle-G1027;32.0;;427.0;2.0;6.0;20.0;7.0;;3.0;13.0;;1.0;2.0;1.0;;5.0;;;;;;;;;;;;;;;;;;;;;;;62.0
