RegioNaam;@invalid;@blank;RKSP;SDAP;ARP;CHU;Liberale Staatspartij (LSP);Vrijzinnig-Democratische Bond (VDB);SGP;Middenpartij voor Stad en Land;CPN (De Visser);HGSP;Plattelandersbond;CPN (Wijnkoop);Rooms-Katholieke Volkspartij (RKVP);Revolutionair-Socialistische Partij;Federatief Verband;Christelijk-Democratische Unie;Democratische Partij;Kleine Winkeliers en Middenstanders;Nationale Boerenbond;Verbond van Nationalisten;Roomsch-Katholieke Boerenpartij (RKBP);Sociaal-Democratische Volkspartij;Algemene Welvaartspartij;Christelijke Arbeiderspartij;Lijst Van Nunen;Hoofd- en handarbeiders;Sociaal-Economische Volkspartij;Invalidenpartij;Lijst Verwey;Volkspartij;Anti-stemdwangpartij;Algemeen Belang;Neutrale Volkspartij;Lijst Siedenburg;Vrije Christelijke Partij;Internationale Volkspartij;@abs
Merkelbeek-G0940;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mesch-G1114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mheer-G0942;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Middelburg-G0687;405.0;;635.0;2426.0;1782.0;1713.0;823.0;1127.0;359.0;157.0;59.0;33.0;15.0;34.0;23.0;40.0;113.0;29.0;16.0;;11.0;;;;;;;;;;;;;;;;;;
Middelharnis-G0559;;;83.0;249.0;614.0;89.0;225.0;117.0;425.0;10.0;5.0;7.0;62.0;4.0;1.0;14.0;6.0;;6.0;1.0;2.0;4.0;;;;;;;;;;;;;;;;;388.0
Middelie-G0421;4.0;;;142.0;;2.0;32.0;100.0;;6.0;1.0;;51.0;4.0;;;4.0;;;;1.0;;;;;;;;;;;;;;;;;;
Middelstum-G0027;10.0;;6.0;277.0;697.0;73.0;104.0;69.0;5.0;3.0;8.0;;17.0;4.0;1.0;10.0;;;1.0;;;;;;;;;;;;;;;;;;;;65.0
Midwolda-G0028;52.0;;5.0;405.0;508.0;403.0;118.0;172.0;3.0;3.0;6.0;168.0;36.0;10.0;;6.0;4.0;7.0;2.0;;7.0;5.0;;;;;;;;;;;;;;;;;352.0
Midwoud-G0422;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mierlo-G0814;20.0;22.0;1984.0;48.0;3.0;5.0;4.0;10.0;;11.0;3.0;1.0;2.0;2.0;10.0;4.0;1.0;;;;;;1.0;;;;;;;;;;;;;;;;114.0
Mijdrecht-G0336;67.0;;702.0;173.0;396.0;423.0;50.0;28.0;74.0;9.0;10.0;7.0;9.0;3.0;13.0;;2.0;;1.0;;2.0;;;;;1.0;;;;;;;;;;;;;131.0
Mijnsheerenland-G0564;;;1.0;52.0;360.0;151.0;55.0;13.0;54.0;;2.0;7.0;37.0;1.0;;2.0;;;1.0;1.0;;1.0;;;;;;;;;;;;;;;;;105.0
Mill en Sint Hubert-G0815;;;1448.0;3.0;5.0;6.0;3.0;2.0;3.0;9.0;;;;1.0;2.0;5.0;3.0;;;2.0;1.0;1.0;4.0;;;;1.0;;;;;;;;;;;;122.0
Millingen-G1259;;;1076.0;93.0;4.0;2.0;;7.0;1.0;14.0;2.0;;17.0;2.0;12.0;;1.0;1.0;;;1.0;1.0;;;;;;;;;1.0;;;;;;;;426.0
Moergestel-G0816;;;951.0;5.0;1.0;2.0;1.0;;1.0;8.0;;;;1.0;35.0;4.0;;;;;;;1.0;;;;4.0;;;;;;;;;;;;20.0
Moerkapelle-G0560;5.0;3.0;2.0;16.0;102.0;53.0;50.0;8.0;58.0;3.0;;10.0;3.0;;1.0;;;;;;;;;;;;;;1.0;;;;;;;;;;34.0
Molenaarsgraaf-G0561;6.0;8.0;;3.0;134.0;30.0;48.0;6.0;54.0;;;6.0;1.0;;;1.0;;;1.0;1.0;;;;;;;;;;;;;;;;;;;27.0
Monnickendam-G0423;;;283.0;227.0;121.0;356.0;75.0;64.0;2.0;10.0;1.0;3.0;43.0;4.0;1.0;1.0;12.0;12.0;4.0;1.0;1.0;;;;;;;;;;;;2.0;;;;;;98.0
Monster-G0562;65.0;;1938.0;181.0;635.0;237.0;151.0;29.0;371.0;4.0;9.0;122.0;154.0;2.0;7.0;4.0;12.0;;;4.0;1.0;;;;;;;;;;;;;;;;;;117.0
Montfoort-G0335;27.0;;652.0;15.0;100.0;71.0;12.0;16.0;39.0;;1.0;2.0;1.0;2.0;1.0;;2.0;;;;2.0;;;;;;;;;;;;;;;;;;58.0
Montfort-G0943;6.0;6.0;494.0;3.0;;;;;;3.0;;;1.0;3.0;;1.0;;;;;;;7.0;;;;;;;;;;;;;;;;12.0
Mook en Middelaar-G0944;8.0;6.0;686.0;25.0;10.0;17.0;21.0;6.0;;2.0;;;1.0;1.0;2.0;4.0;;2.0;2.0;;;;3.0;1.0;;;;;;;;;;;;;;;37.0
Moordrecht-G0563;;;186.0;271.0;290.0;31.0;182.0;46.0;155.0;5.0;1.0;14.0;49.0;3.0;;3.0;3.0;10.0;2.0;8.0;;2.0;;;;;;;4.0;;;;;;;;;;29.0
Muiden-G0424;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Munstergeleen-G0945;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Muntendam-G0029;70.0;;21.0;911.0;140.0;107.0;54.0;78.0;4.0;5.0;4.0;3.0;112.0;9.0;;15.0;5.0;6.0;1.0;;8.0;3.0;;;;;;;;;;;;;;;;;160.0
Naaldwijk-G0565;91.0;;1499.0;403.0;961.0;693.0;625.0;128.0;67.0;10.0;9.0;49.0;62.0;3.0;5.0;3.0;15.0;;2.0;3.0;3.0;1.0;;;;;;;;;;;;;;;;;130.0
Naarden-G0425;41.0;85.0;557.0;438.0;307.0;362.0;269.0;220.0;51.0;218.0;8.0;17.0;6.0;6.0;8.0;3.0;6.0;;6.0;2.0;2.0;6.0;;1.0;10.0;4.0;;;5.0;;;;2.0;;;1.0;;;257.0
Nederhemert-G1115;;;1.0;17.0;66.0;125.0;24.0;14.0;191.0;;1.0;3.0;;2.0;;;;2.0;;1.0;1.0;1.0;;;;;;;;;3.0;;;;;;;;91.0
Nederhorst den Berg-G0426;18.0;23.0;282.0;78.0;155.0;214.0;45.0;10.0;6.0;13.0;10.0;2.0;8.0;3.0;;2.0;2.0;;6.0;;;;;;3.0;3.0;;;;;;;1.0;;;;;;
Nederweert-G0946;;;2754.0;6.0;2.0;5.0;;1.0;1.0;14.0;;2.0;2.0;2.0;2.0;5.0;;;;;;;17.0;1.0;;;;;;;;;;;;;;;232.0
Neede-G0266;39.0;28.0;414.0;1071.0;218.0;254.0;300.0;274.0;4.0;24.0;3.0;2.0;35.0;10.0;;12.0;7.0;10.0;;1.0;6.0;2.0;;;1.0;2.0;;;;;;;;;;;;;192.0
Neer-G0947;;;828.0;2.0;;;;;;4.0;;;1.0;1.0;;1.0;;;;;;;12.0;;;;;;;;;;;;;;;;61.0
Neeritter-G1116;;;248.0;2.0;;4.0;;1.0;;4.0;;1.0;;1.0;5.0;2.0;;;;;;;4.0;;;;;;;;;;;;;;;;24.0
Nibbixwoud-G0427;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nieuw- en Sint Joosland-G1117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nieuw-Beijerland-G0566;;;14.0;158.0;121.0;27.0;61.0;28.0;234.0;;2.0;1.0;28.0;6.0;;4.0;3.0;;1.0;;;1.0;;;;;;;;;;;;;;;;;216.0
Nieuwe Niedorp-G0428;;;152.0;303.0;6.0;2.0;67.0;300.0;2.0;2.0;5.0;2.0;18.0;3.0;3.0;;5.0;1.0;12.0;;1.0;;;;;;;;;;;;5.0;;;;;;
Nieuwe Pekela-G0030;21.0;63.0;165.0;763.0;462.0;402.0;50.0;94.0;27.0;6.0;3.0;2.0;180.0;16.0;11.0;11.0;10.0;35.0;1.0;;12.0;2.0;;;;;;;;;;;;;;;;;356.0
Nieuwe Tonge-G1119;;;12.0;110.0;253.0;20.0;72.0;10.0;277.0;2.0;;3.0;32.0;6.0;1.0;12.0;4.0;;;1.0;3.0;1.0;;;;;;;;;;;;;;;;;240.0
Nieuwenhagen-G0948;72.0;36.0;981.0;231.0;3.0;3.0;2.0;4.0;3.0;10.0;5.0;1.0;18.0;4.0;8.0;9.0;;2.0;3.0;;;;13.0;10.0;;;;;;;;;;;;;;;107.0
Nieuwenhoorn-G1121;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nieuwer-Amstel-G1249;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nieuwerkerk-G1122;;;8.0;68.0;237.0;126.0;183.0;24.0;193.0;3.0;1.0;1.0;16.0;4.0;;7.0;5.0;;;;;;;;;;;;;;;;;;;;;;137.0
Nieuwerkerk aan den IJssel-G0567;;;36.0;691.0;498.0;355.0;523.0;39.0;583.0;20.0;2.0;25.0;28.0;5.0;3.0;;12.0;6.0;;;;;;;;;;;;;;;;;;;;;
Nieuweschans-G0031;4.0;41.0;13.0;377.0;74.0;33.0;50.0;132.0;2.0;4.0;;4.0;5.0;118.0;2.0;7.0;5.0;5.0;;;3.0;3.0;;;;;;;;;;;;;;;;;119.0
Nieuw-Helvoet-G1118;39.0;;12.0;427.0;144.0;114.0;283.0;85.0;19.0;8.0;5.0;3.0;57.0;5.0;7.0;4.0;7.0;;1.0;;5.0;1.0;;;;;;;;;;;;;;;;;95.0
Nieuwkoop-G0569;22.0;;763.0;39.0;91.0;252.0;174.0;41.0;36.0;4.0;2.0;;7.0;;2.0;3.0;2.0;;;1.0;;;;;;;;;4.0;;;;;;;;;;78.0
Nieuwkuyk-G1123;0.0;10.0;673.0;3.0;2.0;;1.0;;1.0;6.0;;;;1.0;6.0;;;;1.0;1.0;;;1.0;;;;;;;;;;;;;;;;
Nieuwland-G0570;1.0;14.0;1.0;45.0;108.0;19.0;79.0;;24.0;;;1.0;;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;31.0
Nieuw-Lekkerland-G0571;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nieuwleusen-G0170;;;20.0;209.0;420.0;502.0;152.0;126.0;22.0;2.0;7.0;8.0;13.0;4.0;4.0;6.0;7.0;6.0;4.0;;9.0;5.0;;;;;;;;;;;;;;;;;215.0
Nieuwolda-G0032;34.0;;1.0;322.0;161.0;155.0;96.0;92.0;1.0;8.0;3.0;6.0;11.0;3.0;;3.0;6.0;2.0;1.0;;3.0;2.0;;;;;;;;;;;;;;;;;163.0
Nieuwpoort-G0572;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nieuwstadt-G0949;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nieuwveen-G0573;28.0;;275.0;68.0;179.0;108.0;38.0;27.0;11.0;1.0;1.0;1.0;2.0;3.0;;1.0;4.0;1.0;1.0;;;2.0;;;;;;;;;;;;;;;;;117.0
Nieuwvliet-G0690;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nieuw-Vossemeer-G0818;;;610.0;5.0;5.0;18.0;7.0;1.0;7.0;8.0;;3.0;5.0;1.0;2.0;;;;;;2.0;1.0;2.0;;;;;;;;;;;;;;;;69.0
Nigtevecht-G0337;6.0;;20.0;30.0;79.0;129.0;8.0;7.0;2.0;10.0;1.0;1.0;7.0;1.0;1.0;;;2.0;;;;1.0;;;;;;;;;;;;;;;;;18.0
Nijeveen-G0121;;;;56.0;174.0;213.0;70.0;100.0;;;2.0;2.0;45.0;;3.0;;4.0;1.0;2.0;;2.0;3.0;;;;;;;;;;;;;;;;;62.0
Nijkerk-G0267;;;327.0;407.0;1235.0;1729.0;58.0;62.0;172.0;32.0;2.0;57.0;8.0;8.0;;8.0;4.0;11.0;20.0;1.0;;1.0;;;6.0;6.0;;;;;;;;;;;;;504.0
Nijmegen-G0268;;;20056.0;6509.0;500.0;1845.0;1580.0;1070.0;65.0;335.0;120.0;124.0;44.0;60.0;1376.0;91.0;205.0;42.0;42.0;31.0;8.0;35.0;;;;;;;;;86.0;;;;;;;;3974.0
Nisse-G0691;;;60.0;8.0;39.0;91.0;20.0;26.0;40.0;3.0;;2.0;;1.0;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;42.0
Nistelrode-G0819;13.0;0.0;1134.0;5.0;1.0;1.0;2.0;;;11.0;1.0;;;2.0;4.0;1.0;;;;;;;1.0;;;;;;;;;;;;;;;;70.0
Noorbeek-G0950;5.0;1.0;318.0;6.0;;2.0;3.0;1.0;2.0;2.0;1.0;;;;;2.0;;;;;;;29.0;1.0;;;;;;;;;;;;;;;12.0
Noordbroek-G1126;62.0;;2.0;583.0;19.0;23.0;122.0;93.0;5.0;1.0;8.0;4.0;83.0;25.0;2.0;19.0;5.0;9.0;1.0;;10.0;7.0;;;;;;;;;;;;;;;;;119.0
Noorddijk-G1127;49.0;;19.0;414.0;114.0;34.0;93.0;112.0;1.0;5.0;2.0;3.0;118.0;9.0;1.0;4.0;4.0;5.0;27.0;;5.0;2.0;;;;;;;;;;;;;;;;;82.0
Noordeloos-G0574;6.0;3.0;;28.0;283.0;23.0;152.0;20.0;34.0;;;15.0;14.0;;;1.0;1.0;;;1.0;;3.0;;;;;;;;;;;;;;;;;35.0
Noordgouwe-G1128;;;;91.0;43.0;100.0;93.0;26.0;41.0;6.0;1.0;;4.0;;1.0;4.0;5.0;2.0;3.0;;;;;;;;;;;;;;;;;;;;
Noord-Scharwoude-G1124;2.0;10.0;294.0;208.0;104.0;2.0;25.0;281.0;1.0;4.0;;1.0;4.0;;2.0;1.0;2.0;;12.0;;;;;;;;;;;;;;2.0;;;;;;59.0
Noordwelle-G1129;;;1.0;44.0;20.0;32.0;78.0;26.0;9.0;;;;6.0;1.0;1.0;3.0;;1.0;1.0;;;;;;;;;;;;;;;;;;;;32.0
Noordwijk-G0575;133.0;;1900.0;276.0;599.0;852.0;235.0;98.0;26.0;40.0;1.0;78.0;3.0;5.0;9.0;11.0;13.0;8.0;9.0;3.0;;2.0;;;;;;;6.0;;;;;;;;;;
Noordwijkerhout-G0576;23.0;;1706.0;37.0;31.0;186.0;12.0;22.0;3.0;7.0;3.0;4.0;1.0;2.0;3.0;2.0;2.0;;;;;;;;;;;;2.0;;;;;;;;;;68.0
Nootdorp-G0577;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Norg-G0120;;;32.0;518.0;206.0;163.0;170.0;266.0;3.0;3.0;5.0;5.0;150.0;7.0;2.0;5.0;6.0;17.0;4.0;;10.0;10.0;;;;;;;;;;;;;;;;;156.0
Nuenen, Gerwen en Nederwetten-G0820;;;1383.0;31.0;10.0;49.0;5.0;3.0;1.0;11.0;3.0;;2.0;;16.0;1.0;2.0;;;;2.0;;2.0;;;;;;;;;;;;;;;;
Nuland-G0821;5.0;0.0;598.0;;1.0;2.0;;3.0;;3.0;;;;;2.0;5.0;;;;;;;;;;;1.0;;;;;;;;;;;;27.0
Numansdorp-G0578;;;7.0;291.0;449.0;235.0;366.0;25.0;320.0;10.0;3.0;5.0;80.0;5.0;2.0;10.0;9.0;;4.0;2.0;4.0;1.0;;;;;;;;;;;;;;;;;315.0
Nunhem-G1130;1.0;0.0;140.0;;;;;;;;;;;;;;;;;;;;4.0;;;;;;;;;;;;;;;;6.0
Nuth-G0951;20.0;18.0;1249.0;89.0;3.0;22.0;1.0;2.0;3.0;3.0;7.0;;2.0;2.0;4.0;5.0;;;1.0;;;;10.0;3.0;;;;;;;;;;;;;;;97.0
Obbicht en Papenhoven-G0952;0.0;7.0;401.0;13.0;1.0;5.0;1.0;;;6.0;1.0;1.0;3.0;;1.0;6.0;;;;;;;24.0;;;;;;;;;;;;;;;;22.0
Obdam-G0429;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Odijk-G1131;2.0;;126.0;2.0;5.0;51.0;;;22.0;;;;;;;;;3.0;;;;;;;;;;;;;;;;;;;;;22.0
Odoorn-G0122;340.0;;240.0;1682.0;520.0;585.0;150.0;449.0;11.0;33.0;28.0;15.0;459.0;16.0;14.0;17.0;39.0;51.0;3.0;;42.0;30.0;;;;;;;;;;;;;;;;;691.0
Oeffelt-G0822;2.0;3.0;593.0;8.0;2.0;;;;;3.0;1.0;;4.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;30.0
Oegstgeest-G0579;;;677.0;185.0;439.0;670.0;276.0;154.0;44.0;20.0;1.0;21.0;7.0;8.0;2.0;2.0;6.0;12.0;6.0;1.0;3.0;1.0;;;;;;;;;;;;;;;;;277.0
Ohé en Laak-G0953;;;250.0;1.0;;2.0;;1.0;;1.0;;;1.0;1.0;;5.0;;;;;;;5.0;;;;;;;;;;;;;;;;20.0
Oijen en Teeffelen-G1150;;;407.0;3.0;1.0;4.0;4.0;9.0;;6.0;;;1.0;1.0;1.0;;1.0;;;1.0;2.0;;;;;;;;;;;;;;;;;;33.0
Oirsbeek-G0954;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oirschot-G0823;;;2031.0;24.0;6.0;13.0;3.0;1.0;5.0;11.0;1.0;1.0;1.0;6.0;6.0;6.0;;;3.0;1.0;;1.0;6.0;;;;;;;;;;;;;;;;
Oisterwijk-G0824;;;2018.0;228.0;18.0;16.0;45.0;33.0;;30.0;4.0;1.0;2.0;5.0;315.0;15.0;5.0;;7.0;7.0;;4.0;2.0;;;;9.0;;;;;;;;;;;;0.0
Oldebroek-G0269;175.0;;124.0;344.0;1342.0;1027.0;74.0;29.0;141.0;18.0;4.0;292.0;35.0;21.0;;7.0;7.0;10.0;1.0;2.0;1.0;1.0;;;13.0;2.0;;;;;;;;;;;;;238.0
Oldehove-G0035;14.0;;1.0;230.0;553.0;85.0;115.0;127.0;;2.0;1.0;;20.0;;;2.0;1.0;2.0;4.0;;1.0;1.0;;;;;;;;;;;;;;;;;61.0
Oldekerk-G0036;11.0;;2.0;108.0;447.0;46.0;89.0;29.0;;;1.0;3.0;42.0;;;2.0;1.0;3.0;1.0;;;1.0;;;;;;;;;;;;;;;;;41.0
Oldemarkt-G0172;;;193.0;179.0;111.0;703.0;122.0;38.0;1.0;6.0;53.0;14.0;6.0;;2.0;7.0;4.0;3.0;;;3.0;;;;;;;;;;;;;;;;;;21.0
Oldenzaal-G0173;50.0;75.0;2895.0;572.0;67.0;173.0;227.0;69.0;3.0;27.0;7.0;2.0;1.0;2.0;30.0;11.0;8.0;12.0;;;24.0;4.0;;;;;;;;;;;;;;;;;
Olst-G0174;;;622.0;780.0;99.0;181.0;167.0;633.0;9.0;27.0;6.0;12.0;75.0;12.0;3.0;22.0;9.0;11.0;1.0;;9.0;9.0;;;;;;;;;;;;;;;;;258.0
Ommen-G0175;47.0;40.0;304.0;311.0;1030.0;803.0;97.0;172.0;9.0;11.0;23.0;695.0;31.0;17.0;6.0;23.0;2.0;11.0;2.0;;8.0;17.0;;;;;;;;;;;;;;;;;145.0
Onstwedde-G1250;306.0;;668.0;2093.0;1451.0;1227.0;139.0;543.0;39.0;23.0;12.0;348.0;118.0;12.0;25.0;31.0;19.0;19.0;14.0;;29.0;14.0;;;;;;;;;;;;;;;;;822.0
Ooltgensplaat-G1133;;;234.0;169.0;345.0;68.0;124.0;27.0;299.0;14.0;3.0;40.0;14.0;;3.0;4.0;4.0;;1.0;3.0;1.0;;;;;;;;;;;;;;;;;;179.0
Oost- en West-Souburg-G1135;102.0;;52.0;521.0;481.0;638.0;111.0;129.0;78.0;5.0;9.0;4.0;10.0;2.0;5.0;25.0;13.0;10.0;1.0;;6.0;;;;;;;;;;;;;;;;;;170.0
Oost-, West- en Middelbeers-G0825;;;536.0;1.0;2.0;1.0;1.0;;2.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37.0
Oostburg-G0692;;;313.0;311.0;136.0;87.0;321.0;112.0;10.0;8.0;2.0;1.0;8.0;1.0;2.0;6.0;9.0;1.0;1.0;;1.0;;;;;;;;;;;;;;;;;;
Oostdongeradeel-G0084;62.0;;15.0;226.0;2112.0;1073.0;246.0;70.0;11.0;1.0;2.0;18.0;54.0;1.0;2.0;8.0;;18.0;1.0;;9.0;;;;;;;;;;;;;;;;;;276.0
Oosterhesselen-G0123;29.0;;1.0;290.0;336.0;105.0;92.0;231.0;6.0;2.0;2.0;3.0;11.0;2.0;;;9.0;7.0;1.0;;5.0;2.0;;;;;;;;;;;;;;;;;82.0
Oosterhout-G0826;;;5861.0;113.0;14.0;37.0;13.0;5.0;4.0;52.0;1.0;;3.0;6.0;35.0;24.0;3.0;;2.0;;1.0;;3.0;;;;1.0;;;;;;;;;;;;609.0
Oosterland-G1136;;;5.0;161.0;71.0;149.0;157.0;30.0;155.0;4.0;2.0;;14.0;4.0;1.0;3.0;4.0;;2.0;;4.0;;;;;;;;;;;;;;;;;;
Oosthuizen-G0430;3.0;11.0;17.0;213.0;9.0;15.0;126.0;123.0;3.0;17.0;2.0;3.0;25.0;2.0;;;4.0;9.0;;1.0;;;;;;;;;;;;;;;;;;;
Oostkapelle-G1137;17.0;7.0;2.0;11.0;223.0;211.0;25.0;31.0;111.0;3.0;1.0;7.0;7.0;1.0;;2.0;1.0;;;;;;;;;;;;;;;;;;;;;;
Ooststellingwerf-G0085;345.0;;32.0;2076.0;1005.0;839.0;69.0;1017.0;17.0;30.0;32.0;37.0;599.0;57.0;14.0;49.0;;35.0;67.0;;14.0;;;;;;;;;;;;;;;;;;558.0
Oostvoorne-G0581;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oostzaan-G0431;;;10.0;682.0;212.0;96.0;110.0;160.0;39.0;;61.0;11.0;147.0;12.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;434.0
Ootmarsum-G0176;;;558.0;31.0;7.0;17.0;24.0;14.0;;8.0;1.0;;;;19.0;1.0;;;;;3.0;2.0;;;;;;;;;;;;;;;;;44.0
Ophemert-G0270;;;10.0;97.0;23.0;127.0;220.0;14.0;27.0;1.0;2.0;1.0;16.0;4.0;2.0;1.0;7.0;2.0;13.0;2.0;1.0;1.0;;;;;;;;;6.0;;;;;;;;120.0
Oploo, Sint Anthonis en Ledeacker-G0827;;;1071.0;;2.0;6.0;2.0;;;3.0;;;1.0;;;;;;;;;;3.0;;;;;;;;;;;;;;;;20.0
Opmeer-G0432;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Opperdoes-G0433;6.0;2.0;2.0;53.0;216.0;133.0;63.0;20.0;12.0;1.0;3.0;3.0;3.0;2.0;;;3.0;;2.0;;;;;;;;;;;;;;;;;;;;7.0
Opsterland-G0086;351.0;;16.0;3097.0;1673.0;713.0;399.0;1425.0;68.0;14.0;39.0;49.0;386.0;597.0;9.0;58.0;;21.0;61.0;;16.0;;;;;;;;;;;;;;;;;;1013.0
Oss-G0828;;;4246.0;477.0;19.0;71.0;43.0;163.0;9.0;72.0;5.0;8.0;12.0;16.0;44.0;43.0;13.0;;16.0;8.0;9.0;7.0;5.0;;;;2.0;;;;;;;;;;;;520.0
Ossendrecht-G0829;;;953.0;63.0;2.0;9.0;13.0;12.0;1.0;21.0;4.0;1.0;5.0;5.0;26.0;5.0;3.0;;5.0;3.0;;2.0;1.0;;;;1.0;;;;;;;;;;;;159.0
Ossenisse-G1138;16.0;;301.0;4.0;3.0;6.0;2.0;7.0;;9.0;;1.0;1.0;;4.0;1.0;;;;;1.0;;;;;;;;;;;;;;;;;;34.0
Oterleek-G0434;;;54.0;99.0;;;82.0;112.0;;3.0;;2.0;19.0;;;1.0;3.0;2.0;2.0;;;;;;;;;;;;;;1.0;;;;;;
Ottersum-G0955;17.0;;934.0;19.0;3.0;3.0;2.0;6.0;;2.0;1.0;;;2.0;;2.0;;;;;1.0;1.0;16.0;;;;;;;;;;;;;;;;33.0
Ottoland-G0582;6.0;4.0;;8.0;207.0;20.0;2.0;3.0;45.0;;;10.0;4.0;;;;1.0;;;1.0;;;;;;;;;;;;;;;;;;;33.0
Oud- en Nieuw-Gastel-G0831;;;2439.0;66.0;10.0;31.0;4.0;7.0;3.0;35.0;3.0;1.0;5.0;2.0;13.0;13.0;2.0;;2.0;1.0;1.0;1.0;3.0;;;;1.0;;;;;;;;;;;;341.0
Oud-Alblas-G0583;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oud-Beijerland-G0584;;;125.0;321.0;1136.0;129.0;226.0;105.0;511.0;6.0;2.0;9.0;107.0;5.0;2.0;4.0;;;1.0;4.0;2.0;3.0;;;;;;;;;;;;;;;;;365.0
Ouddorp-G1142;;;2.0;34.0;526.0;46.0;114.0;16.0;499.0;3.0;1.0;33.0;52.0;8.0;1.0;8.0;2.0;;1.0;4.0;5.0;2.0;;;;;;;;;;;;;;;;;437.0
Oude Niedorp-G0436;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oude Pekela-G0038;84.0;;209.0;1427.0;340.0;231.0;146.0;254.0;7.0;8.0;7.0;3.0;55.0;113.0;9.0;17.0;12.0;14.0;1.0;;8.0;7.0;;;;;;;;;;;;;;;;;447.0
Oude Tonge-G1143;;;340.0;280.0;174.0;21.0;180.0;8.0;276.0;6.0;1.0;;24.0;1.0;4.0;5.0;9.0;;1.0;;5.0;;;;;;;;;;;;;;;;;;295.0
Oudelande-G0695;15.0;5.0;41.0;51.0;85.0;81.0;45.0;26.0;22.0;1.0;;3.0;7.0;;2.0;2.0;3.0;2.0;1.0;;1.0;;;;;;;;;;;;;;;;;;
Oudenbosch-G0830;;;2116.0;32.0;4.0;39.0;7.0;8.0;3.0;36.0;1.0;1.0;2.0;2.0;5.0;13.0;;;2.0;1.0;;;1.0;;;;1.0;;;;;;;;;;;;314.0
Oudendijk-G0435;3.0;;2.0;130.0;2.0;7.0;10.0;80.0;2.0;5.0;;;17.0;3.0;5.0;3.0;;;;;;;;;;;;;;;;;;;;;;;23.0
Oudenhoorn-G0586;15.0;;;203.0;28.0;50.0;63.0;14.0;5.0;3.0;;;64.0;;;1.0;3.0;;;4.0;2.0;2.0;;;;;;;;;;;;;;;;;53.0
Oudenrijn-G1144;14.0;;146.0;14.0;80.0;111.0;31.0;4.0;10.0;4.0;1.0;;1.0;2.0;1.0;;;1.0;;;1.0;1.0;;;;1.0;;;;;;;;;;;;;39.0
Ouder-Amstel-G0437;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ouderkerk aan den IJssel-G0587;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oudewater-G0589;;;698.0;121.0;211.0;187.0;99.0;29.0;76.0;1.0;2.0;8.0;4.0;2.0;3.0;;1.0;2.0;;;;;;;;;;;;;;;;;;;;;113.0
Oudheusden-G1145;;;475.0;1.0;;16.0;;2.0;9.0;1.0;;;2.0;3.0;6.0;1.0;;;;;1.0;1.0;;;;;;;;;;;;;;;;;59.0
Oudkarspel-G1146;7.0;;197.0;322.0;28.0;9.0;18.0;356.0;2.0;4.0;1.0;1.0;6.0;9.0;5.0;;2.0;3.0;8.0;;;;;;;;;;;;;;4.0;;;;;;47.0
Oudorp-G0438;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oud-Valkenburg-G1140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oud-Vossemeer-G0696;;;213.0;27.0;214.0;204.0;85.0;28.0;140.0;7.0;;23.0;17.0;;;;2.0;2.0;1.0;;1.0;;;;;;;;;;;;;;;;;;179.0
