RegioNaam;@invalid;@blank;CDA;PvdA;VVD;GL;SP;D66;CU;LPF;SGP;CU-SGP;FNP;Partij Nieuw Limburg;Leefbaar Zuid-Holland;Verenigde Senioren Partij;Leefbaar Brabant/BOF;Ouderenpartij NH/VSP;Partij voor het Noorden;Leefbaar Gelderland/De Groenen;Partij voor Zeeland;Gemeentebelangen Friesland;Leefbaar Noord-Holland;De Groenen/Noord-Holland Anders;Mooi Zuid-Holland/De Groenen;Onafhankelijke Partij Drenthe;Nieuwe Communistische Partij;Drents Belang/DOP;Leefbaar Provincie Utrecht;Leefbaar Provinciale Partij;"Politieke Partij ""Alianza""";Amsterdam Anders;Lijst Nieuwe Politiek (LNP);Nieuwe Toekomst Partij;Leefbaar Flevoland;DG;Nederlandse Volks Unie (NVU);Holst;Lijst Veldhoen;VIP Vooruitstrevende Integratie Partij;Democratisch Platform Nederland;N-sap;@abs
Zaanstad-G0479;;58;7174;14143;8193;4162;3910.0;2128;;1904;;1014.0;;;;;;441.0;;;;;300.0;238.0;;;98.0;;;278.0;;249.0;;79.0;;;;;;;;;59071
Zaltbommel-G0297;;4;2396;2118;1618;481;327.0;457;832.0;151;1869.0;;;;;;;;;66.0;;;;;;;;;;;;;;;;;15.0;;;;;;8543
Zandvoort-G0473;;6;853;1276;2231;310;220.0;262;;208;;40.0;;;;;;196.0;;;;;59.0;21.0;;;9.0;;;23.0;;2.0;;3.0;;;;;;;;;7487
Zederik-G0707;;4;2680;984;884;116;111.0;105;563.0;78;1034.0;;;;64.0;12.0;;;;;;;;;10.0;;;;;;3.0;;1.0;4.0;;;;0.0;3.0;0.0;1.0;0.0;3290
Zeevang-G0478;;4;380;629;929;240;115.0;170;;70;;19.0;;;;;;29.0;;;;;27.0;17.0;;;5.0;;;26.0;;1.0;;6.0;;;;;;;;;2055
Zeewolde-G0050;;2;1724;977;1824;515;152.0;274;838.0;273;105.0;;;;;27.0;;;;;;;;;;;;;;;;;7.0;;81.0;;;;;;;;5552
Zeist-G0355;;24;5277;4909;6019;2231;1417.0;1553;942.0;543;778.0;;;;;;;;;;;;;;;;;;191.0;;;;;;;102.0;;;;;;;21422
Zelhem-G0298;;6;2180;1151;706;161;136.0;102;93.0;104;112.0;;;;;;;;;28.0;;;;;;;;;;;;;;;;;5.0;;;;;;3927
Zevenaar-G0299;;3;3348;2309;1514;357;861.0;404;63.0;192;17.0;;;;;;;;;131.0;;;;;;;;;;;;;;;;;14.0;;;;;;11030
Zevenhuizen-Moerkapelle-G1666;;3;1014;713;966;139;66.0;137;343.0;133;788.0;;;;34.0;6.0;;;;;;;;;20.0;;;;;;1.0;;0.0;0.0;;;;0.0;1.0;1.0;;0.0;2986
Zijpe-G0476;;2;1055;1235;1191;209;175.0;163;;103;;37.0;;;;;;52.0;;;;;30.0;17.0;;;6.0;;;32.0;;2.0;;9.0;;;;;;;;;4288
Zoetermeer-G0637;;46;7282;9472;8826;2066;3040.0;2233;1175.0;1654;626.0;;;;279.0;143.0;;;;;;;;;172.0;;;;;;35.0;;17.0;17.0;;;;16.0;6.0;22.0;;36.0;46263
Zoeterwoude-G0638;;5;1249;512;649;281;251.0;138;31.0;88;31.0;;;;39.0;11.0;;;;;;;;;36.0;;;;;;1.0;;0.0;1.0;;;;0.0;0.0;1.0;;0.0;2979
Zuidhorn-G0056;;15;2904;1936;1073;734;259.0;284;1755.0;109;;;;;;;;;222.0;;;;;;;;16.0;;;;;;;;;;;;;;;;3778
Zundert-G0879;;6;3113;932;1168;221;247.0;184;;152;;21.0;;;;22.0;44.0;;;;;;;;;;;;;;;;3.0;;;;;;;;;;9091
Zutphen-G0301;;17;2455;4630;2065;1510;1423.0;760;378.0;272;44.0;;;;;;;;;263.0;;;;;;;;;;;;;;;;;16.0;;;;;;13752
Zwartewaterland-G1896;;2;2915;1563;798;158;171.0;99;1868.0;128;1918.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5687
Zwijndrecht-G0642;;16;4113;3541;2869;631;510.0;543;1106.0;789;975.0;;;;81.0;59.0;;;;;;;;;35.0;;;;;;14.0;;6.0;1.0;;;;4.0;5.0;3.0;10.0;1.0;19108
Zwolle-G0193;;43;10308;12042;5765;3934;2752.0;1874;4827.0;902;368.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41165
