RegioNaam;@invalid;@blank;CDA;PvdA;VVD;GL;SP;D66;CU;LPF;SGP;CU-SGP;FNP;Partij Nieuw Limburg;Leefbaar Zuid-Holland;Verenigde Senioren Partij;Leefbaar Brabant/BOF;Ouderenpartij NH/VSP;Partij voor het Noorden;Leefbaar Gelderland/De Groenen;Partij voor Zeeland;Gemeentebelangen Friesland;Leefbaar Noord-Holland;De Groenen/Noord-Holland Anders;Mooi Zuid-Holland/De Groenen;Onafhankelijke Partij Drenthe;Nieuwe Communistische Partij;Drents Belang/DOP;Leefbaar Provincie Utrecht;Leefbaar Provinciale Partij;"Politieke Partij ""Alianza""";Amsterdam Anders;Lijst Nieuwe Politiek (LNP);Nieuwe Toekomst Partij;Leefbaar Flevoland;DG;Nederlandse Volks Unie (NVU);Holst;Lijst Veldhoen;VIP Vooruitstrevende Integratie Partij;Democratisch Platform Nederland;N-sap;@abs
De Wolden-G1690;;3;3100;3225;2841;593;;396;387.0;234;41.0;;;;;;;;;;;;;;;477.0;;194.0;;;;;;;;;;;;;;;6594
Delft-G0503;;99;6362;9623;6770;4544;2545.0;2701;980.0;1070;319.0;;;;305.0;97.0;;;;;;;;;134.0;;;;;;34.0;;11.0;12.0;;;;2.0;5.0;3.0;5.0;13.0;36793
Delfzijl-G0010;;6;2706;4359;1629;368;439.0;394;579.0;188;;;;;;;;;459.0;;;;;;;;57.0;;;;;;;;;;;;;;;;11012
Den Helder-G0400;;6;3482;4487;4338;732;512.0;2021;;543;;824.0;;;;;;308.0;;;;;82.0;59.0;;;19.0;;;88.0;;11.0;;33.0;;;;;;;;;28187
Deurne-G0762;;12;5199;1731;1416;437;591.0;405;;265;;33.0;;;;59.0;55.0;;;;;;;;;;;;;;;;10.0;;;;;;;;;;13885
Deventer-G0150;;26;6677;10082;5046;3164;2130.0;1572;826.0;601;72.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34306
Didam-G0218;;6;2621;1445;772;150;272.0;145;23.0;151;8.0;;;;;;;;;44.0;;;;;;;;;;;;;;;;;9.0;;;;;;7158
Diemen-G0384;;11;1177;2220;2071;792;571.0;546;;301;;112.0;;;;;;70.0;;;;;73.0;32.0;;;14.0;;;31.0;;19.0;;9.0;;;;;;;;;9609
Dinkelland-G1774;;4;7335;1137;1146;249;208.0;167;50.0;149;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8817
Dinxperlo-G0219;;2;1604;705;333;64;110.0;55;83.0;53;2.0;;;;;;;;;33.0;;;;;;;;;;;;;;;;;0.0;;;;;;3385
