RegioNaam;@invalid;@blank;KVP;PvdA;ARP;CHU;VVD;Communistische Partij van Nederland;SGP;Overige partijen met 1 of meer zetels;Overige partijen zonder zetels;@abs
Noorddijk-G1127;0;0;21;583;131;150;229;45;0;50;0;306.0
Noordeloos-G0574;0;0;0;129;327;26;106;3;77;2;2;80.0
Noordgouwe-G1128;0;0;2;152;92;105;81;0;28;22;0;57.0
Noordwelle-G1129;0;0;2;108;25;27;50;0;15;24;0;31.0
Noordwijk-G0575;0;0;2837;809;891;1108;301;141;53;173;15;1781.0
Noordwijkerhout-G0576;0;0;2911;125;53;252;24;9;4;27;0;276.0
Nootdorp-G0577;0;0;749;93;54;148;32;2;21;7;4;50.0
Norg-G0120;0;0;76;904;369;268;597;18;0;0;11;387.0
Nuenen, Gerwen en Nederwetten-G0820;0;0;2056;100;19;73;22;9;0;95;5;327.0
Nuland-G0821;0;0;743;9;0;0;2;1;0;4;1;134.0
Numansdorp-G0578;0;0;15;867;539;413;247;13;293;4;7;273.0
Nuth-G0951;0;0;1829;203;0;0;0;53;0;52;10;346.0
Obbicht en Papenhoven-G0952;0;0;671;30;0;0;0;3;0;25;2;104.0
Obdam-G0429;0;0;929;74;1;1;44;8;0;0;5;56.0
Odijk-G1131;0;0;152;29;21;49;0;0;21;2;0;16.0
Odoorn-G0122;0;0;306;2086;605;861;1351;396;0;0;69;1253.0
Oeffelt-G0822;0;0;679;6;2;2;2;0;0;13;0;104.0
Oegstgeest-G0579;0;0;1066;777;1019;1231;709;58;99;162;26;660.0
Ohé en Laak-G0953;0;0;295;2;0;0;0;0;0;7;2;38.0
Oirsbeek-G0954;0;0;1064;16;0;0;0;5;0;27;7;173.0
Oirschot-G0823;0;0;2857;35;5;22;5;9;0;64;0;247.0
Oisterwijk-G0824;0;0;3209;534;28;36;54;24;1;90;12;499.0
Oldebroek-G0269;0;0;181;901;1611;1376;132;21;1116;0;0;750.0
Oldehove-G0035;0;0;0;326;510;105;186;10;0;155;0;96.0
Oldekerk-G0036;0;0;3;214;505;112;144;9;0;48;0;108.0
Oldemarkt-G0172;0;0;226;419;114;766;31;8;3;0;0;232.0
Oldenzaal-G0173;0;0;4661;699;135;273;260;43;10;0;30;582.0
Olst-G0174;0;0;948;1238;166;335;675;208;14;0;0;385.0
Ommen-G0175;0;0;489;648;1434;2080;288;30;46;0;259;539.0
Onstwedde-G1250;0;0;1204;2576;2062;2502;475;831;0;197;0;1685.0
Ooltgensplaat-G1133;0;0;252;431;324;202;68;7;279;1;0;200.0
Oost- en West-Souburg-G1135;0;0;128;1248;731;745;169;49;118;13;0;423.0
Oost-, West- en Middelbeers-G0825;0;0;923;7;4;5;2;0;0;5;0;50.0
Oostburg-G0692;0;0;506;472;162;135;335;10;36;0;0;208.0
Oostdongeradeel-G0084;0;0;11;366;2492;1195;172;13;15;4;9;390.0
Oosterhesselen-G0123;0;0;4;584;475;133;320;52;0;0;30;223.0
Oosterhout-G0826;0;0;8288;180;64;61;35;0;8;80;60;1370.0
Oosterland-G1136;0;0;3;213;76;191;122;0;297;28;0;215.0
Oosthuizen-G0430;0;0;40;241;15;19;168;42;0;0;2;49.0
Oostkapelle-G1137;0;0;3;102;296;228;60;3;162;9;0;129.0
Ooststellingwerf-G0085;0;0;77;2995;1454;1209;923;677;3;375;471;1449.0
Oostvoorne-G0581;0;0;56;879;182;185;721;165;32;7;2;411.0
Oostzaan-G0431;0;0;49;953;313;96;373;700;13;0;5;325.0
Ootmarsum-G0176;0;0;851;61;5;40;6;2;3;0;0;71.0
Ophemert-G0270;0;0;12;230;21;310;83;3;13;0;11;156.0
Oploo, Sint Anthonis en Ledeacker-G0827;0;0;2171;15;2;15;7;0;0;50;3;167.0
Opmeer-G0432;0;0;218;77;4;1;33;10;0;0;0;16.0
Opperdoes-G0433;0;0;2;106;314;137;31;10;36;0;7;51.0
Opsterland-G0086;0;0;47;3113;1982;888;1169;669;14;1934;393;1719.0
Oss-G0828;0;0;7716;1868;87;135;253;0;0;69;37;1099.0
Ossendrecht-G0829;0;0;1301;176;11;26;20;4;6;24;1;279.0
Oterleek-G0434;0;0;55;209;25;10;113;30;0;0;5;68.0
Ottersum-G0955;0;0;1213;18;0;0;0;0;0;17;4;149.0
Ottoland-G0582;0;0;2;20;199;36;18;2;59;0;1;40.0
Oud- en Nieuw-Gastel-G0831;0;0;2817;36;10;65;10;4;1;352;12;502.0
Oud-Alblas-G0583;0;0;2;88;239;99;44;1;174;0;2;97.0
Oud-Beijerland-G0584;0;0;135;896;1353;263;345;20;549;2;1;534.0
Ouddorp-G1142;0;0;8;114;573;170;137;12;898;4;5;517.0
Oude Niedorp-G0436;0;0;546;84;13;6;56;24;0;0;0;66.0
Oude Pekela-G0038;0;0;252;1530;380;371;257;840;0;24;0;579.0
Oude Tonge-G1143;0;0;334;454;176;38;140;4;335;7;3;279.0
Oudelande-G0695;0;0;58;93;84;158;48;0;20;9;0;44.0
Oudenbosch-G0830;0;0;2672;49;41;58;15;0;6;97;5;419.0
Oudendijk-G0435;0;0;11;128;6;8;70;31;0;0;2;35.0
Oudenhoorn-G0586;0;0;3;189;48;55;114;58;7;1;1;76.0
Oudenrijn-G1144;0;0;272;70;180;154;42;7;15;5;0;90.0
Ouder-Amstel-G0437;0;0;1225;470;381;570;127;88;11;0;13;302.0
Ouderkerk aan den IJssel-G0587;0;0;2;296;429;56;224;23;692;6;2;511.0
Oudewater-G0589;0;0;914;166;245;283;61;4;64;21;0;160.0
Oudorp-G0438;0;0;543;283;55;38;100;47;2;0;5;92.0
Oud-Vossemeer-G0696;0;0;270;122;213;288;116;0;92;16;0;181.0
Ouwerkerk-G1148;0;0;4;193;21;14;52;0;32;29;0;35.0
Overasselt-G0271;0;0;1144;12;0;30;0;0;3;0;8;126.0
Overslag-G0697;0;0;82;20;0;10;3;0;3;3;0;29.0
Ovezande-G0698;0;0;614;28;9;104;3;0;0;1;0;53.0
Pannerden-G0272;0;0;654;19;2;4;7;1;0;0;0;122.0
Papekop-G1151;0;0;85;3;47;58;5;0;18;0;0;24.0
Papendrecht-G0590;0;0;34;952;979;233;173;104;355;5;16;554.0
Peize-G0124;0;0;13;662;65;101;307;65;0;0;9;348.0
Peursum-G1154;0;0;0;35;84;22;48;0;35;0;0;32.0
Philippine-G0699;0;0;381;83;11;23;5;5;2;10;0;111.0
Piershil-G0591;0;0;2;140;109;50;56;3;113;0;4;88.0
Pijnacker-G0594;0;0;1281;523;419;1114;150;18;270;40;25;322.0
Poederoijen-G1155;0;0;6;169;217;49;11;0;242;0;0;173.0
Polsbroek-G0338;0;0;87;39;190;93;4;6;63;1;0;46.0
Poortugal-G0592;0;0;105;510;313;239;173;24;66;3;9;328.0
Poortvliet-G0700;0;0;4;92;119;248;41;0;338;6;0;161.0
Posterholt-G0956;0;0;1063;14;0;0;0;0;0;8;8;157.0
Purmerend-G0439;0;0;1104;1279;203;106;578;495;2;0;42;409.0
Putte-G0833;0;0;579;69;17;10;13;3;4;22;1;255.0
Putten-G0273;0;0;118;545;743;2211;126;174;903;0;0;642.0
Puttershoek-G0593;0;0;43;499;231;185;191;13;122;1;2;201.0
Raalte-G0177;0;0;4236;490;54;992;91;9;7;0;0;501.0
Raamsdonk-G0834;0;0;2202;84;206;475;44;0;68;119;7;794.0
Rauwerderhem-G0087;0;0;194;724;173;107;153;15;0;28;35;200.0
Ravenstein-G0835;0;0;2226;58;5;19;8;0;0;17;2;296.0
Reeuwijk-G0595;0;0;768;583;484;176;289;39;200;2;6;329.0
Renesse-G1159;0;0;2;119;40;79;124;0;22;86;0;59.0
Renkum-G0274;0;0;2660;2598;2326;2095;1127;314;303;0;92;2141.0
Renswoude-G0339;0;0;35;191;287;372;19;11;128;2;0;142.0
Retranchement-G0701;0;0;16;161;28;69;88;1;2;0;0;46.0
Reusel-G0836;0;0;1345;9;5;4;0;1;0;14;0;122.0
Rheden-G0275;0;0;2890;5116;2145;3245;1600;361;57;0;989;2177.0
Rhenen-G0340;0;0;190;1946;715;1081;198;41;841;23;0;690.0
Rhoon-G0596;0;0;207;260;310;530;98;14;41;5;0;173.0
Ridderkerk-G0597;0;0;73;2495;2456;1638;631;102;1751;10;52;1167.0
Riethoven-G0837;0;0;416;0;0;0;3;0;0;5;0;33.0
Rietveld-G1160;0;0;70;22;58;117;7;3;25;6;1;49.0
Rijnsaterwoude-G0601;0;0;167;29;53;58;18;1;54;0;2;41.0
Rijnsburg-G0602;0;0;75;186;1295;946;12;2;70;5;94;165.0
Rijsbergen-G0841;0;0;1375;25;17;18;5;2;0;13;2;132.0
Rijssen-G0178;0;0;662;650;1602;280;118;43;2288;0;14;938.0
Rijswijk-G0603;0;0;3697;2691;2021;1208;1501;322;190;312;91;1663.0
Rijswijk (NB)-G0842;0;0;2;67;124;158;10;0;8;3;0;54.0
Rilland-Bath-G0702;0;0;132;214;114;414;87;6;188;30;0;146.0
Ritthem-G1163;0;0;3;24;56;158;5;0;17;5;0;36.0
Rockanje-G0598;0;0;15;448;266;79;577;197;11;2;0;413.0
Roden-G0125;0;0;51;1429;534;387;502;59;0;0;57;597.0
Roermond-G0957;0;0;8260;592;0;0;0;0;0;429;203;2182.0
Roggel-G0958;0;0;1124;7;0;0;0;0;0;1;7;133.0
Rolde-G0126;0;0;13;786;95;80;800;20;0;0;7;284.0
Roosendaal en Nispen-G0838;0;0;10461;1360;154;285;125;48;26;1785;30;2481.0
Roosteren-G0959;0;0;507;17;0;0;0;0;0;10;8;113.0
Rosmalen-G0839;0;0;2709;142;16;34;7;16;4;81;9;542.0
Rossum-G0276;0;0;234;254;88;140;54;0;10;0;1;202.0
Rotterdam-G0599;0;0;52067;138573;42272;26907;32706;39087;8370;2336;3506;59771.0
Rozenburg-G0600;0;0;3;242;490;646;138;9;31;1;42;124.0
Rozendaal-G0277;0;0;103;236;78;96;47;52;2;0;46;134.0
Rucphen-G0840;0;0;3851;106;12;28;6;8;4;209;1;479.0
Ruinen-G0127;0;0;22;954;409;250;954;40;0;0;7;416.0
Ruinerwold-G0128;0;0;6;418;377;138;630;5;0;0;18;162.0
Ruurlo-G0278;0;0;556;748;198;127;830;12;6;0;10;399.0
