RegioNaam;@invalid;@blank;VVD;CDA;PvdA;D66;GL;AOV/Unie55+;SGP;GPV/RPF;SP;GL/DG;Algemeen Ouderen Verbond (AOV);Centrumdemocraten;Gereformeerd Politiek Verbond (GPV);U55;PNL;DG;Reformatorische Politieke Federatie (RPF);FNP;RPF/SGP;NB;BOF;PNG;SGP-GPV-RPF;Natuurwetpartij (NWP);Centrumpartij;ZVV;Nieuwe Communistische Partij (NCPN);OPD;BWGB;FGF;LOGO;GB;DA;LINS;BPN;PDA;KANS;SAP;@abs
Noordoostpolder-G0171;52;0;4295;5850;2370;1424;516.0;614.0;452.0;;;;;121.0;683.0;;;;904.0;;;;;;;62.0;;;;;;;;;;;14.0;;;;10928
Noordwijk-G0575;28;0;3990;1997;1178;708;;495.0;51.0;272.0;162.0;660.0;;73.0;;;;;;;;51.0;;;;;25.0;;;;;;;;;;;11.0;;;9329
Noordwijkerhout-G0576;10;0;2529;1765;687;593;;283.0;14.0;42.0;53.0;246.0;;32.0;;;;;;;;7.0;;;;;65.0;;;;;;;;;;;2.0;;;4976
Nootdorp-G0577;28;0;1280;900;254;360;;116.0;20.0;69.0;33.0;158.0;;32.0;;;;;;;;10.0;;;;;14.0;;;;;;;;;;;2.0;;;2792
Norg-G0120;6;0;1198;411;710;301;257.0;142.0;10.0;;18.0;;;;45.0;;;;26.0;;;;;;;;;;;107.0;;;;;;;;;;;2271
Nuenen, Gerwen en Nederwetten-G0820;42;0;2502;1882;906;1302;344.0;641.0;;;74.0;;;56.0;;;;27.0;;;;;1155.0;;87.0;;;;;;;;;52.0;;5.0;0.0;;;;7324
Nunspeet-G0302;24;0;2616;2272;734;466;166.0;271.0;3134.0;2451.0;33.0;;;41.0;;;;29.0;;;;18.0;;80.0;;13.0;25.0;;;;;;;;;;;;;;6266
Nuth-G0951;58;0;1251;2508;655;360;408.0;;;;195.0;;207.0;77.0;;155.0;1607.0;;;;;43.0;;;;96.0;;;;;;;;;;;;;10.0;;5524
Obdam-G0429;12;0;721;926;295;226;84.0;75.0;3.0;9.0;23.0;;;17.0;;;;8.0;;;;;;;;0.0;;;2.0;;48.0;;;;;;;;;;2117
Odoorn-G0122;0;0;1409;829;1576;458;175.0;213.0;11.0;;70.0;;;;98.0;;;;120.0;;;;;;;;;;;58.0;;;;;;;;;;;4764
Oegstgeest-G0579;10;0;3582;1458;1095;1147;;357.0;54.0;266.0;102.0;688.0;;19.0;;;;;;;;41.0;;;;;11.0;;;;;;;;;;;0.0;;;5186
Oirschot-G0823;0;0;1005;1831;512;334;111.0;435.0;;;74.0;;;40.0;;;;21.0;;;;;56.0;;14.0;;;;;;;;;20.0;;0.0;0.0;;;;3647
Oisterwijk-G0824;13;0;2109;1738;806;628;332.0;355.0;;;119.0;;;44.0;;;;17.0;;;;;159.0;;49.0;;;;;;;;;33.0;;20.0;6.0;;;;7880
Oldebroek-G0269;0;0;1146;1798;797;290;89.0;118.0;1521.0;2714.0;43.0;;;31.0;;;;26.0;;;;7.0;;18.0;;3.0;34.0;;;;;;;;;;;;;;6952
Oldenzaal-G0173;42;0;3166;4102;1958;1106;446.0;;4.0;;118.0;;397.0;108.0;45.0;295.0;;101.0;36.0;;;;;;;;;;20.0;;;;117.0;;;;;;;;10932
Olst-G0174;13;0;1033;1197;961;273;138.0;;17.0;;27.0;;109.0;21.0;14.0;40.0;;29.0;38.0;;;;;;;;;;3.0;;;;286.0;;;;;;;;2920
Ommen-G0175;17;0;1783;3744;943;738;129.0;;65.0;;32.0;;139.0;26.0;1089.0;54.0;;46.0;235.0;;;;;;;;;;2.0;;;;28.0;;;;;;;;4376
Onderbanken-G0881;37;0;628;991;300;127;104.0;;;;92.0;;123.0;81.0;;92.0;847.0;;;;;20.0;;;;47.0;;;;;;;;;;;;;4.0;;2988
Oost-, West- en Middelbeers-G0825;4;0;482;1030;186;124;35.0;68.0;;;22.0;;;15.0;;;;4.0;;;;;10.0;;7.0;;;;;;;;;9.0;;0.0;2.0;;;;1922
Oostburg-G0692;31;0;1906;1252;1112;303;158.0;;126.0;136.0;;;307.0;74.0;;84.0;;;;;;;;;;10.0;;1786.0;;;;;;;245.0;;30.0;;;;6110
Oosterhesselen-G0123;6;0;532;512;577;169;58.0;99.0;10.0;;26.0;;;;92.0;;;;114.0;;;;;;;;;;;177.0;;;;;;;;;;;1456
Oosterhout-G0826;12;0;5103;3643;2364;2264;380.0;908.0;;;293.0;;;132.0;;;;70.0;;;;;41.0;;156.0;;;;;;;;;559.0;;72.0;15.0;;;;21779
Oostflakkee-G0580;18;0;899;843;1027;239;;158.0;589.0;222.0;14.0;67.0;;56.0;;;;;;;;10.0;;;;;23.0;;;;;;;;;;;0.0;;;3398
Ooststellingwerf-G0085;38;0;2443;2605;3102;852;510.0;;;;93.0;;473.0;49.0;282.0;;;;;169.0;219.0;31.0;;;;;;;34.0;;;45.0;;;;;;;;;8083
Oostzaan-G0431;1;0;1132;250;626;249;631.0;143.0;20.0;93.0;37.0;;;62.0;;;;25.0;;;;;;;;15.0;;;6.0;;31.0;;;;;;;;;;3170
Ootmarsum-G0176;6;0;537;1126;226;117;58.0;;1.0;;9.0;;36.0;9.0;5.0;22.0;;8.0;3.0;;;;;;;;;;4.0;;;;16.0;;;;;;;;1239
Opmeer-G0432;18;0;1171;1469;561;282;143.0;131.0;5.0;27.0;22.0;;;21.0;;;;31.0;;;;;;;;0.0;;;5.0;;81.0;;;;;;;;;;3704
Opsterland-G0086;23;0;2245;2702;3243;781;617.0;;;;120.0;;306.0;37.0;771.0;;;;;691.0;370.0;35.0;;;;;;;122.0;;;166.0;;;;;;;;;8524
Oss-G0828;26;0;5059;5238;2428;1587;576.0;1214.0;;;3640.0;;;226.0;;;;56.0;;;;;48.0;;84.0;;;;;;;;;45.0;;7.0;0.0;;;;26045
Ossendrecht-G0829;4;0;422;469;260;93;64.0;83.0;;;15.0;;;27.0;;;;2.0;;;;;40.0;;11.0;;;;;;;;;8.0;;23.0;2.0;;;;2405
Oud- en Nieuw-Gastel-G0831;0;0;658;734;389;163;53.0;118.0;;;30.0;;;33.0;;;;1.0;;;;;192.0;;5.0;;;;;;;;;7.0;;12.0;15.0;;;;4044
Oud-Beijerland-G0584;6;0;2523;1305;1235;779;;265.0;1087.0;469.0;78.0;409.0;;68.0;;;;;;;;13.0;;;;;24.0;;;;;;;;;;;5.0;;;7300
Oudenbosch-G0830;25;0;1284;1409;634;360;157.0;196.0;;;51.0;;;105.0;;;;13.0;;;;;22.0;;30.0;;;;;;;;;17.0;;18.0;16.0;;;;4986
Ouder-Amstel-G0437;15;0;2048;977;825;562;245.0;278.0;58.0;52.0;39.0;;;60.0;;;;68.0;;;;;;;;14.0;;;0.0;;9.0;;;;;;;;;;3814
Ouderkerk-G0644;18;0;1073;540;517;224;;98.0;783.0;284.0;14.0;98.0;;36.0;;;;;;;;8.0;;;;;12.0;;;;;;;;;;;0.0;;;2559
Oudewater-G0589;23;0;1208;1552;393;301;112.0;;221.0;234.0;19.0;;106.0;24.0;;31.0;;6.0;;;;53.0;;;;;6.0;;;;;;;;;;;;;1.0;3013
Papendrecht-G0590;10;0;3539;2191;1806;1222;;362.0;620.0;877.0;121.0;406.0;;68.0;;;;;;;;20.0;;;;;28.0;;;;;;;;;;;35.0;;;10441
Peize-G0124;0;0;727;134;668;361;108.0;128.0;8.0;;17.0;;;;3.0;;;;9.0;;;;;;;;;;;72.0;;;;;;;;;;;1721
Pekela-G0765;22;0;676;831;1882;218;473.0;;;;184.0;;162.0;44.0;44.0;60.0;;46.0;;;257.0;;;;;;;;158.0;;;;;;;;;;;;5183
Pijnacker-G0594;26;0;3031;2533;842;995;;229.0;249.0;311.0;70.0;444.0;;56.0;;;;;;;;19.0;;;;;40.0;;;;;;;;;;;2.0;;;5489
Prinsenbeek-G0832;16;0;1307;1768;506;447;74.0;214.0;;;33.0;;;35.0;;;;3.0;;;;;15.0;;26.0;;;;;;;;;17.0;;11.0;3.0;;;;3546
Purmerend-G0439;38;0;7826;2019;4537;2440;1239.0;1633.0;25.0;278.0;408.0;;;384.0;;;;145.0;;;;;;;;57.0;;;67.0;;86.0;;;;;;;;;;26911
Putte-G0833;0;0;300;212;115;135;30.0;105.0;;;15.0;;;23.0;;;;4.0;;;;;7.0;;3.0;;;;;;;;;5.0;;12.0;3.0;;;;1525
Putten-G0273;31;0;2314;2600;641;456;117.0;238.0;1250.0;1768.0;35.0;;;57.0;;;;28.0;;;;8.0;;859.0;;16.0;7.0;;;;;;;;;;;;;;5691
Raalte-G0177;23;0;2129;6011;1594;663;224.0;;13.0;;252.0;;221.0;47.0;35.0;70.0;;23.0;62.0;;;;;;;;;;5.0;;;;580.0;;;;;;;;9078
Raamsdonk-G0834;6;0;1334;1243;654;357;206.0;232.0;;;60.0;;;54.0;;;;13.0;;;;;39.0;;80.0;;;;;;;;;65.0;;4.0;1.0;;;;6426
Ravenstein-G0835;9;0;694;1349;564;253;159.0;147.0;;;181.0;;;27.0;;;;7.0;;;;;14.0;;5.0;;;;;;;;;7.0;;1.0;0.0;;;;2901
Reeuwijk-G0595;9;0;2077;1380;536;471;;168.0;610.0;303.0;28.0;212.0;;38.0;;;;;;;;28.0;;;;;16.0;;;;;;;;;;;1.0;;;3644
Reiderland-G1661;18;0;390;138;1068;79;84.0;;;;85.0;;117.0;25.0;8.0;53.0;;27.0;;;23.0;;;;;;;;1112.0;;;;;;;;;;;;2452
Reimerswaal-G0703;6;0;1823;1595;1080;387;152.0;;3036.0;333.0;;;188.0;76.0;;189.0;;;;;;;;;;11.0;;15.0;;;;;;;137.0;;35.0;;;;5531
Renkum-G0274;43;0;5117;3412;2583;1761;899.0;854.0;151.0;382.0;147.0;;;73.0;;;;140.0;;;;24.0;;79.0;;40.0;16.0;;;;;;;;;;;;;;10101
Renswoude-G0339;0;0;408;626;81;56;15.0;;234.0;145.0;1.0;;21.0;16.0;;9.0;;2.0;;;;22.0;;;;;2.0;;;;;;;;;;;;;1.0;983
Reusel-G0836;11;0;616;978;501;110;35.0;118.0;;;13.0;;;26.0;;;;5.0;;;;;25.0;;5.0;;;;;;;;;11.0;;1.0;0.0;;;;3306
Rheden-G0275;29;0;5709;3766;4219;2359;1055.0;1056.0;50.0;597.0;361.0;;;71.0;;;;212.0;;;;32.0;;66.0;;101.0;49.0;;;;;;;;;;;;;;16226
Rhenen-G0340;0;0;1970;1235;941;580;345.0;;1252.0;432.0;37.0;;164.0;35.0;;171.0;;19.0;;;;29.0;;;;;12.0;;;;;;;;;;;;;4.0;5674
