RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;GL;SGP;Gereformeerd Politiek Verbond (GPV);Reformatorische Politieke Federatie (RPF);Centrumdemocraten;SP;DG;Vrouwenpartij;Bejaarden Centraal;VCN: partij van communisten in Nederland;Realisten Nederland;Socialistische Arbeiderspartij;Anti Werkloosheid Partij;Politieke Partij voor Ouderen;Vooruitstrevende Minderheden Partij;Partij Democratisch Socialisten;Socialistische Minderheden Partij;Humanistische Partij;Milieu Defensie Partij 2000+;Grote Alliance Partij;Staatkundige Federatie;@abs
Terneuzen-G0715;63;;6426;6048;2669;1403;556;1091.0;746.0;309.0;196.0;44.0;54.0;20.0;;1.0;21.0;3.0;7.0;;;;;;;;;6232.0
Terschelling-G0093;6;;1060;1410;957;405;202;3.0;32.0;34.0;29.0;7.0;20.0;6.0;;1.0;6.0;1.0;1.0;;1.0;;;;;;;
Teteringen-G0854;4;;1821;772;644;320;83;1.0;11.0;9.0;22.0;3.0;12.0;4.0;;;3.0;2.0;1.0;;2.0;;;;;;;532.0
Texel-G0448;26;;3395;2453;1819;715;546;40.0;48.0;92.0;41.0;10.0;34.0;8.0;9.0;8.0;4.0;1.0;;3.0;3.0;;;;;;;382.0
Tholen-G0716;51;;3036;3128;1274;429;142;2793.0;143.0;341.0;66.0;21.0;14.0;36.0;;4.0;4.0;3.0;1.0;;1.0;;;;;;;2456.0
Thorn-G0977;8;;935;566;153;79;35;1.0;1.0;;6.0;1.0;2.0;1.0;2.0;;2.0;1.0;;;;;;;;;;310.0
Tiel-G0281;17;;4917;7409;2740;1236;590;139.0;134.0;58.0;97.0;21.0;44.0;13.0;;2.0;4.0;4.0;3.0;18.0;3.0;;;;;;;5189.0
Tilburg-G0855;226;;30658;30645;8883;6915;5174;157.0;242.0;115.0;754.0;1012.0;337.0;143.0;;50.0;64.0;58.0;41.0;;36.0;;;;;;;33117.0
Tubbergen-G0183;20;;10193;1511;606;281;93;12.0;20.0;19.0;14.0;;18.0;4.0;9.0;5.0;;4.0;;1.0;2.0;;;;;;;981.0
Tytsjerksteradiel-G0737;41;;8128;6239;2077;1396;504;131.0;425.0;365.0;30.0;23.0;62.0;16.0;;6.0;15.0;8.0;7.0;;2.0;;;;;;;2727.0
Ubbergen-G0282;20;;2883;1880;755;425;301;3.0;14.0;4.0;17.0;6.0;30.0;10.0;;1.0;2.0;5.0;;1.0;;;;;;;;1171.0
Uden-G0856;42;;9876;4771;3110;1366;482;12.0;47.0;28.0;73.0;849.0;45.0;19.0;14.0;3.0;10.0;13.0;5.0;;8.0;;;;;;;5169.0
Udenhout-G0857;3;;2976;1093;559;337;129;2.0;2.0;1.0;18.0;6.0;8.0;6.0;;1.0;5.0;6.0;;;3.0;;;;;;;1420.0
Uitgeest-G0450;17;;2167;1599;1121;687;348;6.0;14.0;7.0;23.0;15.0;27.0;10.0;6.0;20.0;2.0;2.0;2.0;3.0;1.0;;;;;;;1208.0
Uithoorn-G0451;27;;5341;3016;3670;1376;477;26.0;62.0;63.0;92.0;21.0;38.0;19.0;23.0;3.0;6.0;9.0;3.0;6.0;6.0;;8.0;;;;;2973.0
Ulrum-G0045;4;;928;749;258;98;54;20.0;228.0;69.0;1.0;2.0;3.0;;;;9.0;;;;;;;;;;;356.0
Urk-G0184;25;;2694;80;84;32;15;2168.0;482.0;1000.0;30.0;;;;;1.0;;;;;;;;;;;;882.0
Usquert-G0046;5;;110;701;135;37;52;2.0;25.0;6.0;1.0;3.0;12.0;;;1.0;5.0;;;;;;;;;;;138.0
Utrecht-G0344;446;;30887;49973;15662;14277;14072;757.0;1037.0;551.0;3417.0;1341.0;606.0;211.0;93.0;85.0;56.0;81.0;32.0;;26.0;40.0;34.0;42.0;;;;41105.0
Vaals-G0981;45;;2160;2124;531;222;138;15.0;40.0;3.0;17.0;3.0;21.0;8.0;14.0;2.0;4.0;;3.0;;3.0;;;;;;;1247.0
Valburg-G0283;18;;3711;1858;941;494;218;403.0;61.0;68.0;14.0;1.0;17.0;9.0;;;14.0;7.0;;4.0;1.0;;;;;;;1407.0
Valkenburg (ZH)-G0619;9;;1046;266;247;101;34;48.0;108.0;48.0;14.0;4.0;7.0;;3.0;;1.0;1.0;;;;;;;;;;384.0
Valkenburg aan de Geul-G0994;38;;6078;3349;1336;580;261;11.0;21.0;22.0;58.0;20.0;28.0;23.0;18.0;4.0;4.0;1.0;;;5.0;;;;;;;2170.0
Valkenisse-G0720;9;;1868;774;834;335;124;216.0;66.0;44.0;12.0;3.0;4.0;4.0;;2.0;2.0;;;;;;;;;;;319.0
Valkenswaard-G0858;34;;8421;5065;2428;1201;507;31.0;29.0;29.0;86.0;65.0;34.0;12.0;31.0;4.0;7.0;10.0;6.0;;5.0;;;;;;;4599.0
Veendam-G0047;54;;3178;10180;2307;1086;495;12.0;187.0;188.0;78.0;55.0;27.0;20.0;;16.0;52.0;9.0;3.0;;5.0;;;;;;;3235.0
Veenendaal-G0345;13;;11007;5302;3568;1407;591;2595.0;694.0;1487.0;181.0;28.0;22.0;10.0;22.0;8.0;10.0;3.0;4.0;;4.0;1.0;3.0;4.0;;;;5852.0
Veere-G0717;6;;1642;453;509;232;102;224.0;162.0;59.0;5.0;6.0;9.0;2.0;;5.0;6.0;;1.0;;;;;;;;;231.0
Veghel-G0860;46;;7831;3434;1813;999;362;10.0;27.0;23.0;62.0;193.0;34.0;9.0;18.0;5.0;6.0;13.0;3.0;;5.0;;;;;;;3450.0
Veldhoven-G0861;35;;10887;5661;3064;1935;782;30.0;48.0;56.0;109.0;84.0;45.0;30.0;20.0;10.0;5.0;12.0;11.0;;8.0;;;;;;;6187.0
Velsen-G0453;121;;11308;12052;6279;3094;1430;103.0;316.0;261.0;298.0;51.0;163.0;42.0;59.0;65.0;22.0;24.0;10.0;32.0;3.0;;1.0;;;;;9912.0
Venhuizen-G0454;8;;1944;1013;1009;358;164;9.0;9.0;12.0;32.0;1.0;40.0;11.0;4.0;5.0;2.0;;1.0;3.0;;;;;;;;679.0
Venlo-G0983;69;;16887;8987;3638;2009;978;32.0;100.0;62.0;169.0;150.0;99.0;46.0;29.0;14.0;3.0;19.0;5.0;;8.0;;;;;;;14019.0
Venray-G0984;56;;10619;4338;1572;1109;592;17.0;33.0;7.0;62.0;92.0;41.0;41.0;19.0;5.0;8.0;7.0;1.0;;3.0;;;;;;;6564.0
Vessem, Wintelre en Knegsel-G0862;5;;2234;414;301;159;82;1.0;3.0;5.0;9.0;1.0;5.0;3.0;;;1.0;;1.0;;;;;;;;;469.0
Vianen-G0620;34;;4013;3099;1789;983;289;491.0;59.0;70.0;90.0;17.0;24.0;16.0;7.0;11.0;3.0;5.0;2.0;;1.0;;;;;;;2321.0
Vierlingsbeek-G0863;6;;3165;1058;393;238;144;4.0;11.0;1.0;10.0;9.0;13.0;5.0;2.0;;1.0;1.0;;;2.0;;;;;;;787.0
Vlaardingen-G0622;118;;12322;16128;5738;4126;1830;1119.0;457.0;506.0;545.0;1478.0;98.0;59.0;64.0;19.0;27.0;25.0;9.0;;10.0;;;;;;;12518.0
Vlagtwedde-G0048;43;;3393;5186;1110;365;194;14.0;84.0;186.0;26.0;12.0;46.0;9.0;;11.0;15.0;6.0;5.0;;2.0;;;;;;;2037.0
Vledder-G0132;2;;556;1132;490;168;78;;20.0;15.0;13.0;3.0;10.0;1.0;;1.0;3.0;;;;1.0;;;;;;;346.0
Vleuten-De Meern-G0347;31;;5203;1583;2289;812;256;103.0;145.0;45.0;73.0;5.0;22.0;7.0;6.0;2.0;4.0;7.0;2.0;;1.0;;;1.0;;;;1561.0
Vlieland-G0096;6;;251;361;285;111;70;;13.0;2.0;4.0;3.0;5.0;2.0;;;;2.0;1.0;;1.0;;;;;;;
Vlijmen-G0864;35;;4694;2616;1132;725;220;7.0;12.0;6.0;59.0;47.0;23.0;12.0;11.0;6.0;11.0;2.0;1.0;;1.0;;;;;;;2045.0
Vlissingen-G0718;96;;7230;9232;3681;2326;839;651.0;223.0;216.0;328.0;127.0;57.0;48.0;;13.0;13.0;18.0;6.0;;8.0;;;;;;;7911.0
Vlist-G0623;21;;2434;1344;1055;459;127;577.0;47.0;78.0;39.0;7.0;12.0;9.0;4.0;1.0;1.0;;1.0;;;;;;;;;830.0
Vlodrop-G0985;7;;747;403;153;58;26;;3.0;2.0;7.0;3.0;5.0;1.0;4.0;;;1.0;;;1.0;;;;;;;324.0
Voerendaal-G0986;1;;4567;2383;895;443;196;5.0;18.0;11.0;27.0;19.0;26.0;25.0;13.0;5.0;7.0;7.0;;;2.0;;;;;;;1660.0
Voorburg-G0624;66;;8463;6047;6666;3063;883;144.0;316.0;136.0;460.0;60.0;102.0;54.0;65.0;7.0;15.0;10.0;5.0;;3.0;;;;;;;5793.0
Voorhout-G0625;14;;3005;878;1430;526;195;19.0;33.0;12.0;22.0;8.0;21.0;9.0;10.0;4.0;1.0;1.0;2.0;;;;2.0;;;;;823.0
Voorschoten-G0626;13;;5164;2659;3699;1539;389;106.0;108.0;81.0;35.0;23.0;52.0;22.0;26.0;5.0;11.0;3.0;2.0;;;;1.0;;;;;2412.0
Voorst-G0285;41;;6744;4128;2326;903;360;233.0;71.0;79.0;33.0;14.0;32.0;11.0;12.0;3.0;13.0;5.0;5.0;;;;;;;;;2608.0
Vorden-G0286;20;;2765;1498;997;303;121;23.0;41.0;36.0;15.0;5.0;23.0;6.0;5.0;;2.0;4.0;2.0;;;;;;;;;688.0
Vries-G0133;49;;1133;2407;1813;556;223;8.0;97.0;30.0;35.0;5.0;10.0;9.0;;1.0;14.0;2.0;1.0;;;;;;;;;933.0
Vriezenveen-G0186;27;;5640;3439;700;368;112;490.0;142.0;730.0;24.0;3.0;12.0;6.0;2.0;2.0;3.0;1.0;;4.0;;;;;;;;1645.0
Vught-G0865;28;;6435;3885;2180;1165;504;28.0;62.0;7.0;71.0;38.0;46.0;12.0;11.0;3.0;10.0;6.0;7.0;;4.0;;;;;;;3862.0
Waalre-G0866;22;;4509;1983;2018;954;262;7.0;25.0;10.0;33.0;12.0;19.0;9.0;10.0;1.0;1.0;1.0;;;1.0;;;;;;;1744.0
Waalwijk-G0867;38;;7172;4798;2174;1156;596;68.0;65.0;102.0;157.0;74.0;39.0;20.0;30.0;3.0;14.0;10.0;4.0;;2.0;;;;;;;4489.0
Waddinxveen-G0627;29;;5225;3351;2779;1288;319;1150.0;348.0;382.0;117.0;23.0;28.0;11.0;8.0;3.0;11.0;2.0;3.0;;;;2.0;;;;;2560.0
Wageningen-G0289;34;;5226;7059;2571;2784;2777;392.0;245.0;164.0;34.0;80.0;107.0;24.0;4.0;2.0;12.0;12.0;3.0;;3.0;;;;;;;4890.0
Wanroij-G0868;9;;2310;534;202;111;66;;2.0;1.0;3.0;6.0;6.0;2.0;;;;1.0;;;;;;;;;;414.0
Warffum-G0049;7;;414;723;214;92;55;3.0;38.0;15.0;2.0;3.0;8.0;1.0;;;9.0;;;;;;;;;;;206.0
Warmenhuizen-G0456;7;;1373;566;484;228;138;2.0;12.0;5.0;6.0;6.0;18.0;7.0;1.0;1.0;2.0;3.0;;1.0;1.0;;;;;;;500.0
Warmond-G0628;8;;1603;554;621;283;105;28.0;19.0;5.0;25.0;6.0;13.0;3.0;3.0;2.0;1.0;5.0;;;;;;;;;;664.0
Warnsveld-G0291;14;;1703;1868;1073;548;181;10.0;49.0;43.0;5.0;4.0;29.0;3.0;6.0;2.0;2.0;2.0;1.0;;;;;;;;;897.0
Waspik-G0869;11;;1538;937;293;157;65;21.0;8.0;12.0;17.0;17.0;2.0;3.0;3.0;;;5.0;2.0;;1.0;;;;;;;521.0
Wassenaar-G0629;13;;6397;2028;6257;1165;256;79.0;82.0;40.0;71.0;7.0;53.0;19.0;15.0;6.0;10.0;8.0;1.0;;;;2.0;;;;;2690.0
Wateringen-G0630;0;;5382;1320;1550;714;225;16.0;50.0;37.0;114.0;7.0;40.0;12.0;15.0;6.0;9.0;2.0;4.0;;;;;;;;;2004.0
Weerselo-G0188;14;;4830;618;288;197;87;2.0;8.0;6.0;17.0;2.0;2.0;4.0;;;1.0;1.0;2.0;1.0;3.0;;;;;;;388.0
Weert-G0988;87;;10912;7718;2471;1165;496;14.0;22.0;42.0;154.0;128.0;50.0;36.0;23.0;7.0;8.0;7.0;7.0;;8.0;;;;;;;6915.0
Weesp-G0457;30;;3134;3282;2093;1254;558;56.0;92.0;64.0;147.0;11.0;60.0;15.0;23.0;11.0;11.0;8.0;4.0;11.0;;;1.0;;;;;2852.0
Wehl-G0292;17;;2371;1042;257;175;79;;3.0;;12.0;;5.0;3.0;;;2.0;2.0;;;;;;;;;;1009.0
Werkendam-G0870;32;;5004;2490;1143;476;206;1367.0;183.0;292.0;49.0;19.0;17.0;2.0;7.0;1.0;3.0;4.0;;;4.0;;;;;;;1953.0
Wervershoof-G0459;11;;2775;774;527;227;136;1.0;4.0;9.0;15.0;1.0;16.0;2.0;3.0;1.0;1.0;2.0;2.0;1.0;1.0;;;;;;;777.0
Wessem-G0989;12;;707;343;113;50;25;3.0;4.0;;2.0;2.0;3.0;2.0;5.0;;1.0;;;;1.0;;;;;;;423.0
West Maas en Waal-G0668;36;;5940;3013;1116;465;196;18.0;18.0;12.0;28.0;29.0;25.0;4.0;;3.0;2.0;7.0;3.0;9.0;2.0;;;;;;;1999.0
Westerbork-G0134;14;;1306;2197;1096;301;145;57.0;48.0;47.0;18.0;5.0;6.0;5.0;;4.0;9.0;;;;1.0;;;;;;;456.0
Westerhoven-G0871;0;;707;293;106;57;34;;1.0;1.0;3.0;;2.0;;;;;1.0;;;;;;;;;;109.0
Wester-Koggenland-G0558;23;;4065;1536;1519;511;241;3.0;11.0;17.0;32.0;13.0;40.0;15.0;4.0;3.0;10.0;5.0;2.0;4.0;;;;;;;;1219.0
Westerschouwen-G0725;13;;1460;1262;1200;298;83;142.0;40.0;77.0;37.0;6.0;12.0;13.0;;1.0;7.0;1.0;2.0;;;;;;;;;
Westervoort-G0293;21;;3075;3007;1183;790;348;6.0;72.0;32.0;56.0;13.0;23.0;11.0;;2.0;6.0;3.0;3.0;3.0;5.0;;;;;;;2155.0
Westkapelle-G0726;3;;580;585;268;78;32;224.0;22.0;29.0;10.0;1.0;1.0;2.0;;;;;;;;;;;;;;187.0
Weststellingwerf-G0098;63;;4515;7406;2227;805;458;32.0;93.0;124.0;64.0;7.0;45.0;15.0;;8.0;29.0;3.0;2.0;;;;;;;;;2870.0
Westvoorne-G0614;32;;2364;2383;2852;765;257;55.0;38.0;39.0;70.0;5.0;26.0;4.0;7.0;9.0;1.0;3.0;4.0;;;;;;;;;1627.0
Wierden-G0189;15;;9078;2347;1324;586;185;539.0;116.0;584.0;30.0;5.0;9.0;11.0;3.0;1.0;5.0;3.0;2.0;7.0;1.0;;;;;;;1326.0
Wieringen-G0462;11;;1107;2032;1254;362;141;2.0;12.0;20.0;32.0;1.0;15.0;13.0;1.0;7.0;4.0;4.0;1.0;2.0;;;;;;;;1167.0
Wieringermeer-G0463;15;;2748;1900;1424;519;253;43.0;78.0;90.0;14.0;1.0;16.0;12.0;1.0;6.0;7.0;2.0;3.0;3.0;1.0;;;;;;;1424.0
Wijchen-G0296;27;;9310;6334;2210;1432;584;14.0;43.0;24.0;50.0;65.0;49.0;22.0;;5.0;15.0;9.0;3.0;17.0;22.0;;;;;;;4674.0
Wijdewormer-G0470;5;;345;213;203;70;33;1.0;4.0;3.0;4.0;6.0;2.0;3.0;;;1.0;;;;;;;;;;;117.0
Wijhe-G0190;10;;2279;1575;490;231;101;17.0;41.0;51.0;7.0;2.0;5.0;4.0;;1.0;1.0;;1.0;;;;;;;;;502.0
Wijk bij Duurstede-G0352;20;;2994;2440;1853;972;442;64.0;44.0;69.0;48.0;18.0;15.0;19.0;8.0;;6.0;2.0;5.0;;;;;2.0;;;;1917.0
Willemstad-G0872;7;;818;622;424;152;51;29.0;11.0;27.0;10.0;2.0;3.0;5.0;;;1.0;;;;;;;;;;;360.0
Winschoten-G0052;28;;2348;7509;1432;707;559;16.0;152.0;137.0;35.0;18.0;53.0;12.0;;62.0;22.0;2.0;4.0;;2.0;;;;;;;2582.0
Winsum-G0053;8;;1399;1504;438;275;259;7.0;228.0;27.0;5.0;2.0;11.0;1.0;;1.0;1.0;;4.0;;1.0;;;;;;;456.0
Winterswijk-G0294;52;;5627;7126;3231;1123;488;22.0;95.0;104.0;39.0;22.0;52.0;15.0;;9.0;7.0;3.0;5.0;12.0;2.0;;;;;;;3334.0
Wisch-G0295;49;;5658;3668;1606;673;298;17.0;56.0;61.0;36.0;9.0;28.0;12.0;;1.0;5.0;11.0;6.0;18.0;4.0;;;;;;;2827.0
Wissenkerke-G0727;3;;961;566;316;93;61;115.0;43.0;25.0;15.0;;6.0;1.0;;2.0;1.0;;;;;;;;;;;220.0
Wittem-G0990;21;;2887;1744;440;284;144;8.0;11.0;6.0;20.0;12.0;21.0;7.0;5.0;3.0;5.0;2.0;;;;;;;;;;314.0
Woensdrecht-G0873;16;;2327;1880;935;433;127;6.0;15.0;17.0;83.0;11.0;22.0;24.0;;1.0;5.0;8.0;3.0;;;;;;;;;1803.0
Woerden-G0632;61;;9229;3856;3372;1804;627;917.0;206.0;432.0;169.0;197.0;35.0;32.0;3.0;3.0;10.0;8.0;1.0;;3.0;;5.0;1.0;;;;3815.0
Wognum-G0466;10;;2550;635;712;304;123;;10.0;5.0;15.0;5.0;28.0;6.0;3.0;;1.0;;2.0;1.0;;;;;;;;844.0
Wormer-G0467;17;;2105;2505;1034;762;643;16.0;26.0;71.0;36.0;3.0;44.0;6.0;3.0;15.0;1.0;3.0;2.0;2.0;3.0;;;;;;;1331.0
Woubrugge-G0633;5;;1625;525;530;300;89;48.0;12.0;20.0;12.0;8.0;15.0;2.0;4.0;1.0;1.0;1.0;1.0;;1.0;;;;;;;502.0
Woudenberg-G0351;21;;2476;1031;1120;392;170;686.0;118.0;272.0;26.0;11.0;14.0;6.0;1.0;2.0;;1.0;;;;;;2.0;;;;818.0
Woudrichem-G0874;18;;3925;2101;923;344;182;452.0;299.0;285.0;30.0;20.0;20.0;6.0;1.0;3.0;6.0;3.0;;;;;;;;;;1240.0
Wouw-G0875;28;;2498;1341;703;293;91;3.0;6.0;5.0;37.0;1.0;10.0;11.0;;;1.0;2.0;3.0;;1.0;;;;;;;1467.0
Wûnseradiel-G0710;25;;3402;2272;727;387;255;20.0;90.0;72.0;16.0;2.0;17.0;20.0;;3.0;11.0;3.0;4.0;;;;;;;;;940.0
Wymbritseradiel-G0683;22;;5261;1953;888;577;306;37.0;96.0;130.0;11.0;7.0;33.0;9.0;;1.0;9.0;2.0;1.0;;2.0;;;;;;;1099.0
Zaanstad-G0479;234;;17384;30379;11716;7175;5522;299.0;511.0;549.0;934.0;167.0;342.0;127.0;119.0;309.0;39.0;48.0;26.0;53.0;17.0;;;;;;;20024.0
Zaltbommel-G0297;16;;1633;2093;888;535;262;117.0;61.0;38.0;30.0;16.0;12.0;9.0;;2.0;1.0;3.0;;6.0;;;;;;;;1145.0
Zandvoort-G0473;33;;2327;2678;3427;951;258;10.0;35.0;31.0;84.0;2.0;47.0;16.0;15.0;6.0;8.0;2.0;4.0;18.0;1.0;;2.0;;;;;2773.0
Zederik-G0707;25;;3569;1723;1019;374;107;1108.0;105.0;367.0;20.0;2.0;18.0;6.0;4.0;2.0;5.0;2.0;1.0;;1.0;;;;;;;982.0
Zeeland-G0877;9;;2397;666;237;137;80;8.0;3.0;4.0;5.0;47.0;7.0;6.0;;1.0;1.0;2.0;;;2.0;;;;;;;616.0
Zeevang-G0478;15;;814;1081;1217;387;150;3.0;8.0;4.0;19.0;4.0;8.0;2.0;6.0;4.0;1.0;3.0;;1.0;;;;;;;;616.0
Zeewolde-G0050;3;;1284;682;1080;355;78;46.0;100.0;126.0;15.0;2.0;4.0;5.0;;4.0;7.0;;;;1.0;;;;;;;467.0
Zeist-G0355;115;;11096;8973;8082;3430;1554;1100.0;728.0;449.0;303.0;81.0;330.0;45.0;31.0;10.0;21.0;12.0;5.0;;3.0;6.0;4.0;5.0;;;;8864.0
Zelhem-G0298;25;;3175;2281;917;378;109;133.0;24.0;80.0;24.0;7.0;9.0;7.0;;1.0;3.0;7.0;8.0;3.0;;;;;;;;1583.0
Zevenaar-G0299;38;;7196;4791;2087;1323;455;19.0;75.0;68.0;70.0;20.0;39.0;15.0;;4.0;15.0;5.0;4.0;6.0;2.0;;;;;;;3934.0
Zevenbergen-G0878;52;;3708;2799;1409;619;200;10.0;111.0;30.0;56.0;6.0;18.0;15.0;;3.0;2.0;4.0;2.0;;5.0;;;;;;;6567.0
Zevenhoven-G0635;4;;1004;226;306;106;25;34.0;7.0;29.0;6.0;4.0;3.0;4.0;;1.0;;;1.0;;1.0;;1.0;;;;;259.0
Zevenhuizen-G0636;8;;1340;1093;867;344;67;233.0;37.0;51.0;16.0;2.0;13.0;2.0;3.0;;1.0;1.0;1.0;;4.0;;;;;;;603.0
Zierikzee-G0732;15;;1898;2224;1054;441;199;175.0;49.0;200.0;14.0;3.0;10.0;10.0;;2.0;10.0;1.0;;;;;;;;;;1239.0
Zijpe-G0476;9;;2037;1473;1062;358;194;4.0;14.0;19.0;17.0;4.0;24.0;9.0;4.0;3.0;;1.0;;3.0;1.0;;;;;;;1085.0
Zoetermeer-G0637;130;;14632;15338;10870;7099;1751;838.0;534.0;528.0;672.0;970.0;229.0;80.0;96.0;20.0;40.0;32.0;8.0;;39.0;;3.0;;;;;13295.0
Zoeterwoude-G0638;15;;2618;829;837;471;178;31.0;23.0;11.0;21.0;3.0;27.0;5.0;14.0;1.0;3.0;2.0;1.0;;;;;;;;;1047.0
Zuidhorn-G0056;4;;1355;1224;625;407;146;18.0;958.0;44.0;3.0;7.0;8.0;3.0;;4.0;4.0;;;;;;;;;;;522.0
Zuidlaren-G0136;32;;1721;2379;1574;621;202;9.0;397.0;70.0;19.0;13.0;10.0;7.0;;5.0;28.0;;;;;;;;;;;1176.0
Zuidwolde-G0137;23;;2539;1643;1173;390;137;36.0;156.0;58.0;16.0;1.0;6.0;3.0;;;6.0;;2.0;;;;;;;;;943.0
Zundert-G0879;38;;4151;1743;926;352;187;4.0;4.0;6.0;30.0;7.0;18.0;8.0;;;1.0;4.0;;;1.0;;;;;;;2826.0
Zutphen-G0301;40;;4511;8483;2472;1573;1085;34.0;183.0;97.0;74.0;50.0;142.0;23.0;26.0;18.0;6.0;8.0;2.0;;2.0;;;;;;;4454.0
Zwartsluis-G0192;6;;1291;756;268;118;53;68.0;135.0;106.0;4.0;2.0;5.0;2.0;;4.0;;;;;;;;;;;;398.0
Zweeloo-G0138;5;;509;776;512;112;63;2.0;15.0;31.0;6.0;4.0;4.0;;;3.0;1.0;;;;2.0;;;;;;;110.0
Zwijndrecht-G0642;67;;8341;7740;3948;2189;742;985.0;674.0;425.0;282.0;49.0;56.0;28.0;29.0;7.0;22.0;10.0;8.0;;9.0;;;;;;;5807.0
Zwolle-G0193;65;;18109;19410;7474;4877;2622;428.0;2111.0;1079.0;198.0;171.0;140.0;75.0;22.0;28.0;31.0;26.0;7.0;14.0;8.0;;;;;;;14461.0
