RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;GL;SGP;Gereformeerd Politiek Verbond (GPV);Reformatorische Politieke Federatie (RPF);Centrumdemocraten;SP;DG;Vrouwenpartij;Bejaarden Centraal;VCN: partij van communisten in Nederland;Realisten Nederland;Socialistische Arbeiderspartij;Anti Werkloosheid Partij;Politieke Partij voor Ouderen;Vooruitstrevende Minderheden Partij;Partij Democratisch Socialisten;Socialistische Minderheden Partij;Humanistische Partij;Milieu Defensie Partij 2000+;Grote Alliance Partij;Staatkundige Federatie;@abs
Finsterwolde-G0013;9;;93;1115;136;44;253;1.0;6.0;9.0;3.0;2.0;2.0;;;131.0;2.0;;;;;;;;;;;253.0
Franekeradeel-G0070;47;;5047;4701;1492;802;391;35.0;180.0;187.0;37.0;18.0;26.0;21.0;;16.0;13.0;7.0;4.0;;2.0;;;;;;;2320.0
Gaasterlân-Sleat-G0653;24;;3244;1247;623;336;137;148.0;67.0;133.0;21.0;6.0;6.0;10.0;;5.0;3.0;2.0;;;1.0;;;;;;;811.0
Gasselte-G0115;8;;526;1626;474;162;68;4.0;15.0;14.0;7.0;2.0;7.0;2.0;;;7.0;;;;2.0;;;;;;;332.0
Geertruidenberg-G0779;16;;1426;1486;490;300;104;3.0;8.0;11.0;40.0;14.0;9.0;10.0;;1.0;1.0;;1.0;;;;;;;;;1159.0
Geffen-G0780;12;;1583;762;211;119;50;;8.0;1.0;15.0;112.0;1.0;2.0;1.0;2.0;3.0;3.0;;;;;;;;;;692.0
Geldermalsen-G0236;57;;4931;4150;2459;818;347;1026.0;87.0;99.0;109.0;17.0;31.0;13.0;;1.0;2.0;2.0;1.0;12.0;;;;;;;;2213.0
Geldrop-G0781;31;;6787;4186;2059;1359;606;11.0;37.0;63.0;66.0;52.0;47.0;20.0;28.0;12.0;4.0;6.0;4.0;;8.0;;;;;;;4238.0
Geleen-G0906;42;;8414;7610;1478;956;654;21.0;41.0;27.0;113.0;48.0;23.0;20.0;34.0;6.0;7.0;6.0;7.0;;6.0;;;;;;;6803.0
Gemert-G0782;33;;5427;3178;825;576;355;7.0;19.0;6.0;20.0;58.0;12.0;12.0;10.0;3.0;4.0;4.0;2.0;;1.0;;;;;;;2570.0
