RegioNaam;@invalid;@blank;RKSP;SDAP;ARP;CHU;Nationaal-Socialistische Beweging (NSB);Liberale Staatspartij;Vrijzinnig-Democratische Bond (VDB);Communistische Partij van Nederland;Staatkundig Gereformeerde Partij;Christelijk-Democratische Unie;Katholiek Democratische Partij;Revolutionair Socialistische Arbeiderspartij;Hervormd Gereformeerde Staatspartij;Overige partij(en) zonder zetel(s);Overige partij(en) met zetel(s);Plattelandersbond;@abs
Hekelingen-G1074;14;15;3.0;188.0;18.0;35.0;37.0;114.0;8.0;13.0;28.0;1.0;4.0;1.0;2.0;;;;73.0
Hekendorp-G1075;1;4;79.0;12.0;65.0;46.0;46.0;19.0;;;40.0;;;;;;;;27.0
Helden-G0918;39;32;2561.0;1.0;5.0;;125.0;;1.0;;;;;;;16.0;;;129.0
Hellendoorn-G0163;49;141;1343.0;452.0;1240.0;1657.0;146.0;122.0;62.0;50.0;96.0;728.0;28.0;28.0;8.0;;;489.0;369.0
Hellevoetsluis-G0530;12;53;2.0;162.0;61.0;162.0;15.0;218.0;27.0;6.0;15.0;;2.0;2.0;1.0;;;;99.0
Helmond-G0794;269;602;8116.0;1254.0;70.0;153.0;425.0;236.0;46.0;151.0;;;266.0;;;;;;686.0
Helvoirt-G0795;6;7;885.0;4.0;;42.0;6.0;;;1.0;4.0;;43.0;;;1.0;;;77.0
Hemelumer Oldephaert en Noordwolde-G1260;11;31;81.0;209.0;529.0;1266.0;31.0;22.0;175.0;10.0;31.0;52.0;;3.0;108.0;;;;198.0
Hemmen-G1076;2;0;;1.0;26.0;20.0;14.0;1.0;13.0;;22.0;1.0;1.0;;;;;1.0;9.0
Hendrik-Ido-Ambacht-G0531;27;94;6.0;459.0;493.0;271.0;58.0;221.0;14.0;9.0;530.0;2.0;;6.0;23.0;;;;190.0
Hengelo-G0248;36;50;792.0;168.0;571.0;291.0;132.0;110.0;217.0;10.0;33.0;1.0;16.0;10.0;6.0;;;;158.0
Hengelo-G0164;409;928;4581.0;4882.0;848.0;621.0;1244.0;1072.0;1116.0;507.0;50.0;692.0;832.0;300.0;;;;66.0;922.0
Hengstdijk-G1077;0;0;197.0;;;6.0;5.0;;;;;;;;;;32.0;;43.0
Hennaarderadeel-G0076;15;33;101.0;271.0;424.0;1122.0;49.0;70.0;222.0;7.0;2.0;43.0;;;7.0;;;;158.0
Hensbroek-G0401;6;15;214.0;28.0;2.0;5.0;10.0;23.0;111.0;15.0;;2.0;2.0;9.0;;;;;27.0
Herkingen-G1078;0;22;;11.0;106.0;13.0;31.0;11.0;1.0;1.0;157.0;3.0;1.0;1.0;;;;;152.0
Herpen-G1079;8;12;697.0;13.0;4.0;2.0;10.0;4.0;1.0;4.0;1.0;;12.0;;;;;;107.0
Herpt-G1080;2;1;244.0;3.0;6.0;6.0;;1.0;2.0;;1.0;;1.0;;2.0;;;;
Herten-G0919;8;6;590.0;2.0;5.0;;23.0;;3.0;;;;6.0;;;22.0;;;36.0
Herwen en Aerdt-G0249;39;121;1615.0;162.0;34.0;119.0;105.0;31.0;74.0;;9.0;1.0;9.0;;31.0;;;4.0;238.0
Herwijnen-G0250;12;13;;173.0;271.0;176.0;33.0;;2.0;4.0;40.0;13.0;1.0;1.0;;;;136.0;127.0
Het Bildt-G0063;50;102;1.0;1159.0;1187.0;674.0;243.0;94.0;593.0;87.0;4.0;130.0;;181.0;3.0;;;;372.0
Heteren-G0251;15;13;903.0;55.0;174.0;285.0;117.0;6.0;30.0;;198.0;3.0;1.0;2.0;3.0;;;11.0;135.0
Heukelum-G0533;25;44;7.0;234.0;218.0;114.0;44.0;66.0;7.0;7.0;40.0;1.0;;;5.0;;;10.0;72.0
Heumen-G0252;9;10;945.0;21.0;3.0;15.0;43.0;6.0;10.0;;1.0;;14.0;;3.0;;;1.0;417.0
Heusden-G0797;47;35;399.0;96.0;68.0;102.0;37.0;30.0;15.0;3.0;18.0;;23.0;;11.0;1.0;;;58.0
Heythuysen-G0920;97;0;1073.0;;6.0;;21.0;;;;;;;;;4.0;;;6.0
Hillegersberg-G1081;189;503;1446.0;1574.0;1344.0;1228.0;1646.0;1182.0;399.0;132.0;265.0;104.0;137.0;67.0;154.0;8.0;;11.0;675.0
Hillegom-G0534;24;70;2345.0;597.0;488.0;546.0;290.0;153.0;21.0;26.0;90.0;105.0;122.0;4.0;24.0;4.0;;;292.0
Hilvarenbeek-G0798;20;13;1612.0;25.0;17.0;38.0;10.0;38.0;2.0;;;;105.0;;;18.0;;;138.0
Hilversum-G0402;521;1532;6096.0;7064.0;3946.0;3258.0;3331.0;2368.0;1255.0;793.0;715.0;758.0;705.0;853.0;;22.0;;;1975.0
Hindeloopen-G0077;6;5;5.0;131.0;65.0;140.0;;1.0;59.0;7.0;6.0;50.0;;;1.0;;;;35.0
Hoedekenskerke-G0673;6;8;370.0;9.0;58.0;141.0;10.0;27.0;10.0;;111.0;;;;;;;;41.0
Hoek-G0674;37;36;21.0;147.0;221.0;166.0;54.0;504.0;13.0;;232.0;;;;;;2.0;;138.0
Hoenkoop-G0319;0;7;140.0;3.0;52.0;14.0;25.0;4.0;2.0;;17.0;1.0;;;;;;;13.0
Hoensbroek-G0921;189;201;2205.0;631.0;242.0;;794.0;;27.0;129.0;;;36.0;12.0;;221.0;;;164.0
Hoevelaken-G0253;19;28;33.0;115.0;49.0;249.0;25.0;7.0;2.0;2.0;42.0;1.0;1.0;;1.0;;;2.0;65.0
Hoeven-G0799;25;24;1603.0;34.0;2.0;7.0;11.0;1.0;2.0;;;;7.0;;;;;;77.0
Holten-G0165;34;37;28.0;238.0;299.0;831.0;102.0;169.0;241.0;8.0;13.0;38.0;18.0;14.0;;;;28.0;153.0
Hontenisse-G0675;85;77;1603.0;16.0;40.0;57.0;103.0;38.0;23.0;;34.0;;;;;;460.0;;238.0
Hoofdplaat-G0676;16;15;248.0;2.0;22.0;24.0;50.0;23.0;6.0;;4.0;;;;;;142.0;;71.0
Hoogblokland-G0535;2;9;2.0;76.0;127.0;5.0;6.0;105.0;2.0;;68.0;1.0;1.0;;3.0;;;;37.0
Hooge en Lage Mierde-G0801;11;2;786.0;2.0;3.0;5.0;7.0;;4.0;;;;7.0;;;;;;37.0
Hooge en Lage Zwaluwe-G0802;33;20;1115.0;98.0;208.0;535.0;83.0;76.0;4.0;;18.0;;13.0;;16.0;7.0;;;280.0
Hoogeloon, Hapert en Casteren-G0800;2;11;1039.0;1.0;;30.0;2.0;;1.0;;;;5.0;;;;;;29.0
Hoogeveen-G0118;309;386;42.0;1144.0;2903.0;970.0;107.0;135.0;253.0;;99.0;226.0;4.0;7.0;;;43.0;10.0;752.0
Hoogezand-G1083;115;309;378.0;2156.0;434.0;183.0;628.0;211.0;481.0;309.0;;112.0;;30.0;5.0;;67.0;;756.0
Hoogkarspel-G0403;9;14;551.0;110.0;8.0;2.0;12.0;152.0;104.0;5.0;2.0;;22.0;11.0;;;;;48.0
Hoogkerk-G1084;20;82;41.0;497.0;581.0;185.0;89.0;55.0;99.0;124.0;;112.0;;6.0;12.0;;24.0;;156.0
Hoogland-G0320;13;44;1098.0;94.0;90.0;136.0;52.0;25.0;6.0;2.0;34.0;8.0;29.0;7.0;;;;4.0;119.0
Hoogwoud-G0404;21;26;493.0;153.0;6.0;1.0;19.0;86.0;218.0;8.0;6.0;8.0;4.0;20.0;;;;;57.0
Hoorn-G0405;93;246;1778.0;1720.0;274.0;197.0;453.0;605.0;561.0;103.0;26.0;109.0;188.0;147.0;;;;;367.0
Hoornaar-G0536;5;5;;44.0;167.0;3.0;16.0;56.0;8.0;;21.0;;;1.0;1.0;;;;28.0
Horn-G0922;10;16;685.0;7.0;7.0;;21.0;;4.0;;;;;;;29.0;;;
Horssen-G0254;1;5;428.0;1.0;;41.0;9.0;12.0;1.0;;;;;;1.0;;;;12.0
Horst-G0923;47;21;3023.0;45.0;4.0;;68.0;;10.0;;;;5.0;;;17.0;;;62.0
Houten-G0321;20;14;725.0;35.0;60.0;29.0;37.0;32.0;4.0;1.0;165.0;1.0;5.0;1.0;;;;2.0;43.0
Houthem-G1086;20;12;811.0;4.0;32.0;;107.0;;6.0;3.0;;;3.0;;;9.0;;;53.0
Huijbergen-G0803;7;6;323.0;4.0;;1.0;5.0;1.0;;;;;3.0;;;;;;19.0
Huissen-G0255;29;49;1875.0;50.0;2.0;79.0;83.0;12.0;6.0;;9.0;5.0;200.0;;9.0;;;6.0;166.0
Huizen-G0406;63;103;63.0;444.0;1781.0;508.0;358.0;140.0;89.0;38.0;488.0;204.0;4.0;27.0;;3.0;;;403.0
Hulsberg-G0924;17;30;779.0;9.0;11.0;;131.0;;14.0;2.0;;;15.0;2.0;;19.0;;;44.0
Hulst-G0677;54;100;1044.0;132.0;14.0;12.0;79.0;13.0;30.0;;21.0;;;;;;333.0;;162.0
Hummelo en Keppel-G0256;35;34;230.0;256.0;238.0;118.0;133.0;197.0;277.0;8.0;39.0;3.0;17.0;10.0;6.0;;;3.0;149.0
Hunsel-G0925;5;3;642.0;;;;5.0;;;;;;;;;1.0;;;36.0
Hurwenen-G1089;3;9;93.0;40.0;14.0;79.0;6.0;9.0;1.0;;3.0;3.0;;;2.0;;;11.0;23.0
Idaarderadeel-G0078;30;73;153.0;1297.0;151.0;71.0;36.0;156.0;802.0;126.0;16.0;90.0;2.0;56.0;4.0;;;;364.0
IJlst-G0102;3;12;9.0;84.0;209.0;275.0;6.0;15.0;44.0;4.0;;30.0;;;6.0;;;;53.0
IJsselmonde-G1230;79;132;56.0;709.0;743.0;739.0;257.0;232.0;25.0;53.0;334.0;12.0;30.0;20.0;36.0;;;;275.0
IJsselmuiden-G0191;22;48;319.0;94.0;229.0;236.0;54.0;60.0;42.0;1.0;380.0;21.0;6.0;2.0;;;;8.0;112.0
IJsselstein-G0353;28;37;1124.0;131.0;132.0;342.0;102.0;16.0;5.0;3.0;244.0;4.0;27.0;4.0;;;;3.0;130.0
IJzendijke-G0730;36;43;640.0;127.0;61.0;27.0;53.0;155.0;37.0;;17.0;;;;;;56.0;;129.0
Ilpendam-G0407;18;30;210.0;250.0;77.0;98.0;63.0;26.0;239.0;149.0;12.0;2.0;4.0;11.0;;;;;90.0
Itteren-G0926;5;11;220.0;;1.0;;9.0;;1.0;;;;;;;4.0;;;2.0
Ittervoort-G1090;0;6;136.0;;2.0;;2.0;;;;;;;;;1.0;;;10.0
Jaarsveld-G1091;10;26;54.0;130.0;168.0;41.0;45.0;45.0;5.0;1.0;137.0;3.0;1.0;;;;;2.0;71.0
Jabeek-G0927;1;4;208.0;;;;14.0;;;;;;;;;10.0;;;9.0
Jisp-G0408;11;16;24.0;98.0;10.0;3.0;23.0;58.0;103.0;12.0;2.0;3.0;2.0;7.0;;;;;30.0
Jutphaas-G0322;24;55;891.0;407.0;210.0;263.0;98.0;27.0;13.0;13.0;78.0;25.0;23.0;10.0;;;;1.0;121.0
Kamerik-G0323;5;8;297.0;2.0;137.0;160.0;55.0;7.0;1.0;3.0;195.0;2.0;5.0;;;;;;87.0
Kampen-G0166;125;333;876.0;1549.0;2437.0;1580.0;408.0;276.0;361.0;13.0;903.0;454.0;19.0;32.0;19.0;;;5.0;887.0
Kamperveen-G1092;6;0;3.0;4.0;73.0;71.0;1.0;12.0;3.0;2.0;83.0;2.0;;;;;;2.0;31.0
Kantens-G0020;15;4;12.0;287.0;255.0;107.0;42.0;103.0;52.0;3.0;;205.0;;2.0;4.0;;4.0;;105.0
Kapelle-G0678;26;27;26.0;154.0;356.0;413.0;48.0;161.0;76.0;;103.0;;;;;;;;123.0
Kats-G1094;5;21;3.0;63.0;35.0;70.0;7.0;49.0;27.0;;24.0;;;;3.0;;;;37.0
Kattendijke-G0679;10;14;5.0;73.0;78.0;266.0;55.0;69.0;15.0;;27.0;;;;;;;;53.0
Katwijk-G0537;75;104;360.0;477.0;816.0;3288.0;538.0;72.0;32.0;8.0;712.0;250.0;14.0;9.0;90.0;28.0;;;756.0
Katwoude-G0409;0;0;8.0;7.0;18.0;34.0;4.0;11.0;31.0;;;2.0;;1.0;;;;;8.0
Kedichem-G0538;8;27;8.0;158.0;79.0;37.0;47.0;114.0;20.0;4.0;53.0;5.0;1.0;;;;;1.0;57.0
Kerkrade-G0928;639;541;5996.0;866.0;211.0;;2833.0;;303.0;353.0;;;288.0;9.0;;840.0;;;480.0
Kerkwerve-G1095;1;8;2.0;32.0;142.0;66.0;13.0;77.0;7.0;;41.0;;;;;;;;49.0
Kerkwijk-G0257;3;9;4.0;50.0;203.0;216.0;4.0;;1.0;;37.0;56.0;;;1.0;;;3.0;71.0
Kessel-G0929;7;9;665.0;1.0;;;27.0;;3.0;1.0;;;;;;3.0;;;33.0
Kesteren-G0258;25;109;22.0;314.0;472.0;78.0;101.0;101.0;25.0;4.0;577.0;6.0;1.0;4.0;5.0;;;26.0;223.0
Kethel en Spaland-G1096;6;28;407.0;63.0;37.0;296.0;42.0;77.0;2.0;23.0;21.0;16.0;6.0;3.0;2.0;;;4.0;49.0
Klaaswaal-G0539;5;44;1.0;219.0;106.0;200.0;60.0;146.0;13.0;17.0;162.0;;;4.0;6.0;;;;100.0
Klimmen-G0930;30;15;684.0;6.0;9.0;;70.0;;2.0;3.0;;;49.0;;;3.0;;;42.0
Kloetinge-G0680;17;23;48.0;51.0;156.0;531.0;47.0;138.0;42.0;;66.0;;;;;;;;71.0
Kloosterburen-G0021;12;12;411.0;215.0;181.0;5.0;26.0;74.0;39.0;3.0;;67.0;;;;;1.0;;77.0
Klundert-G0804;9;37;693.0;75.0;661.0;388.0;52.0;38.0;4.0;;124.0;;21.0;;4.0;3.0;;;241.0
Kockengen-G0324;5;7;112.0;4.0;100.0;31.0;22.0;3.0;;;97.0;;;;;;;;30.0
Koedijk-G0410;16;36;210.0;300.0;31.0;38.0;116.0;52.0;145.0;19.0;2.0;;12.0;34.0;;;;;63.0
Koewacht-G0681;28;47;484.0;35.0;9.0;10.0;14.0;7.0;17.0;;12.0;;;;;;314.0;;100.0
Kollumerland en Nieuwkruisland-G0079;69;46;6.0;252.0;1865.0;1303.0;86.0;138.0;217.0;39.0;67.0;119.0;;31.0;;;;;310.0
Koog aan de Zaan-G0411;61;148;211.0;885.0;188.0;46.0;103.0;234.0;402.0;308.0;21.0;98.0;7.0;140.0;;6.0;;;147.0
Kortenhoef-G1097;2;26;148.0;136.0;94.0;159.0;29.0;24.0;12.0;12.0;79.0;20.0;8.0;8.0;;;;;74.0
Kortgene-G0682;19;51;5.0;71.0;153.0;120.0;19.0;88.0;84.0;;74.0;;;;6.0;;;;99.0
Koudekerk aan den Rijn-G0540;8;37;91.0;22.0;242.0;276.0;52.0;24.0;;5.0;38.0;;2.0;;2.0;1.0;;;50.0
Koudekerke-G1098;29;38;35.0;171.0;592.0;647.0;75.0;81.0;149.0;;222.0;;;;;;;;194.0
Krabbendijke-G0684;11;7;5.0;83.0;183.0;277.0;91.0;22.0;49.0;;359.0;;;;;;;;237.0
Krimpen aan de Lek-G0541;22;60;4.0;481.0;265.0;50.0;107.0;89.0;78.0;13.0;317.0;7.0;3.0;23.0;9.0;1.0;;2.0;121.0
Krimpen aan den IJssel-G0542;33;106;15.0;764.0;368.0;152.0;127.0;114.0;32.0;31.0;488.0;6.0;4.0;10.0;8.0;3.0;;5.0;206.0
Krommenie-G0413;42;97;612.0;556.0;212.0;46.0;58.0;135.0;285.0;774.0;6.0;70.0;30.0;55.0;;1.0;;;138.0
Kruiningen-G0685;41;31;230.0;318.0;198.0;365.0;175.0;108.0;153.0;;169.0;;;;;;;;350.0
Kuinre-G0167;4;7;30.0;62.0;6.0;84.0;5.0;37.0;22.0;;;79.0;;1.0;;;;;37.0
Kwadijk-G0414;2;15;5.0;82.0;9.0;2.0;19.0;11.0;77.0;4.0;2.0;;;1.0;;;;;24.0
Laag-Nieuwkoop-G1100;0;0;96.0;6.0;28.0;16.0;16.0;;2.0;;47.0;;;;;;;2.0;11.0
Landsmeer-G0415;45;67;49.0;458.0;387.0;172.0;109.0;17.0;252.0;186.0;37.0;38.0;11.0;39.0;;;;;131.0
Langbroek-G0325;13;10;126.0;15.0;130.0;107.0;35.0;12.0;13.0;;165.0;3.0;;;;;;;53.0
Lange Ruige Weide-G1101;7;1;9.0;3.0;130.0;35.0;3.0;17.0;2.0;;99.0;9.0;1.0;;2.0;2.0;;;41.0
Langerak-G0543;10;15;1.0;43.0;133.0;18.0;13.0;17.0;8.0;1.0;139.0;;;;;;;1.0;55.0
Laren-G0417;52;119;1648.0;225.0;206.0;104.0;356.0;320.0;205.0;93.0;14.0;88.0;116.0;102.0;;3.0;;;250.0
Laren (Gld.)-G0259;45;112;37.0;187.0;315.0;407.0;413.0;513.0;683.0;21.0;12.0;5.0;2.0;30.0;;;;86.0;250.0
Leek-G0022;41;80;6.0;659.0;1054.0;206.0;451.0;229.0;397.0;79.0;;352.0;;11.0;8.0;;31.0;;247.0
Leende-G0805;9;9;773.0;10.0;2.0;12.0;8.0;2.0;2.0;;;;4.0;;;;;;73.0
Leens-G0023;15;33;187.0;299.0;731.0;26.0;134.0;301.0;122.0;27.0;;174.0;;1.0;2.0;;8.0;;158.0
Leerbroek-G0544;5;8;;14.0;153.0;21.0;3.0;11.0;1.0;3.0;116.0;;;1.0;1.0;;;2.0;121.0
Leerdam-G0545;68;141;160.0;1106.0;1022.0;594.0;172.0;84.0;108.0;59.0;568.0;8.0;10.0;2.0;2.0;;;15.0;285.0
Leersum-G0326;9;41;11.0;248.0;200.0;104.0;154.0;132.0;18.0;;181.0;1.0;1.0;;;;;10.0;91.0
Leeuwarden-G0080;490;918;2397.0;8397.0;3346.0;1891.0;1471.0;1900.0;2272.0;692.0;88.0;1185.0;149.0;454.0;102.0;;;;2197.0
Leeuwarderadeel-G0081;97;247;521.0;3550.0;1622.0;804.0;425.0;432.0;1252.0;158.0;25.0;535.0;27.0;120.0;19.0;;;;696.0
Leiden-G0546;454;1351;6592.0;11159.0;3257.0;5324.0;2335.0;1452.0;1162.0;1031.0;604.0;331.0;513.0;381.0;577.0;19.0;;;1873.0
Leiderdorp-G0547;12;41;143.0;119.0;486.0;316.0;88.0;24.0;14.0;4.0;36.0;1.0;5.0;2.0;22.0;2.0;;;60.0
Leimuiden-G0549;8;14;426.0;9.0;178.0;133.0;58.0;18.0;9.0;4.0;8.0;;;;28.0;1.0;;1.0;80.0
Lekkerkerk-G0550;24;70;2.0;568.0;212.0;28.0;321.0;573.0;68.0;28.0;285.0;8.0;6.0;4.0;5.0;;;7.0;148.0
Lemsterland-G0082;38;91;218.0;631.0;578.0;627.0;35.0;18.0;262.0;261.0;74.0;453.0;;40.0;13.0;;;;373.0
Leusden-G0327;29;15;325.0;55.0;120.0;119.0;72.0;111.0;8.0;2.0;129.0;7.0;32.0;2.0;;;;7.0;110.0
Lexmond-G0551;14;20;6.0;145.0;169.0;217.0;32.0;38.0;11.0;2.0;144.0;;;;;;;;100.0
Lichtenvoorde-G0260;15;26;2673.0;41.0;61.0;227.0;96.0;12.0;11.0;5.0;;75.0;18.0;1.0;;;;3.0;128.0
Liempde-G0806;10;6;803.0;9.0;;;;;;3.0;;;6.0;;;;;;73.0
Lienden-G0261;58;75;11.0;572.0;51.0;146.0;174.0;499.0;52.0;9.0;353.0;52.0;7.0;18.0;2.0;;;50.0;233.0
Lierop-G1102;3;1;498.0;1.0;;1.0;2.0;;;;;;2.0;;;;;;19.0
Lieshout-G0807;3;7;923.0;1.0;;;4.0;4.0;;1.0;;;2.0;;;;;;58.0
Limbricht-G0931;8;18;855.0;6.0;6.0;;41.0;;2.0;3.0;;;;;;5.0;;;20.0
Limmen-G0418;10;3;785.0;48.0;9.0;4.0;24.0;44.0;26.0;58.0;;2.0;6.0;6.0;;;;;41.0
Linden-G1103;2;0;232.0;;;;5.0;;;;;;;;;;;;23.0
Linne-G0932;9;27;634.0;5.0;12.0;;47.0;;7.0;;;;2.0;;;11.0;;;47.0
Linschoten-G0328;2;19;211.0;21.0;178.0;93.0;59.0;45.0;3.0;;128.0;;1.0;;;;;1.0;73.0
Lisse-G0553;22;29;1863.0;179.0;392.0;502.0;173.0;98.0;15.0;5.0;300.0;23.0;153.0;1.0;35.0;;;;225.0
Lith-G0808;2;20;534.0;2.0;5.0;;3.0;27.0;;;;;4.0;;;;;;119.0
Lithoijen-G1104;1;2;240.0;;3.0;9.0;1.0;6.0;;;;;8.0;;;;;;44.0
Lochem-G0262;49;114;93.0;848.0;169.0;194.0;509.0;228.0;548.0;153.0;5.0;10.0;7.0;23.0;;;;22.0;243.0
Loenen-G0329;4;17;108.0;68.0;127.0;183.0;68.0;59.0;3.0;2.0;53.0;5.0;1.0;;;;;3.0;56.0
Loenersloot-G1105;1;2;80.0;13.0;45.0;40.0;14.0;2.0;1.0;1.0;47.0;4.0;1.0;;;;;;22.0
Loon op Zand-G0809;153;21;3785.0;126.0;88.0;80.0;20.0;10.0;11.0;4.0;112.0;;142.0;;;40.0;;;414.0
Loosdrecht-G0330;24;52;93.0;250.0;342.0;433.0;91.0;114.0;13.0;12.0;154.0;5.0;4.0;17.0;;;;17.0;167.0
Lopik-G0331;4;15;267.0;42.0;152.0;68.0;58.0;25.0;3.0;2.0;101.0;1.0;2.0;;;;;2.0;66.0
Loppersum-G0024;15;33;2.0;289.0;767.0;144.0;82.0;108.0;154.0;4.0;;215.0;;;1.0;;28.0;;116.0
Losser-G0168;102;217;3955.0;707.0;32.0;284.0;435.0;53.0;57.0;120.0;21.0;106.0;466.0;57.0;;;;18.0;270.0
Luyksgestel-G0810;17;0;434.0;2.0;;;2.0;;1.0;1.0;;;9.0;;;1.0;;;14.0
Maarheeze-G0811;11;19;1080.0;7.0;;5.0;15.0;2.0;2.0;2.0;;;11.0;;;;;;61.0
Maarn-G0332;13;12;61.0;152.0;98.0;177.0;70.0;84.0;16.0;2.0;97.0;5.0;1.0;2.0;;;;11.0;67.0
Maarssen-G0333;17;53;457.0;313.0;248.0;240.0;106.0;91.0;34.0;6.0;81.0;5.0;12.0;1.0;;;;31.0;122.0
Maarsseveen-G1108;14;28;167.0;121.0;147.0;252.0;97.0;20.0;8.0;;40.0;3.0;2.0;3.0;;;;16.0;63.0
Maartensdijk-G0334;44;161;457.0;386.0;521.0;225.0;468.0;199.0;111.0;24.0;287.0;45.0;24.0;10.0;;;;15.0;266.0
Maasbracht-G0933;11;21;709.0;1.0;9.0;;47.0;;1.0;;;;1.0;;;6.0;;;43.0
Maasbree-G0934;64;141;4956.0;219.0;67.0;;236.0;;16.0;8.0;;;421.0;;;44.0;;;283.0
Maasdam-G0554;12;31;7.0;175.0;74.0;168.0;32.0;176.0;7.0;11.0;96.0;2.0;1.0;2.0;4.0;;;;80.0
Maashees en Overloon-G1109;3;4;920.0;5.0;2.0;;2.0;;;1.0;;;3.0;;;;;;30.0
Maasland-G0555;11;18;219.0;83.0;562.0;591.0;24.0;24.0;8.0;4.0;53.0;9.0;;1.0;13.0;;;;103.0
Maasniel-G1110;48;48;1389.0;40.0;17.0;;155.0;;20.0;;;;12.0;;;22.0;;;137.0
Maassluis-G0556;68;90;263.0;804.0;1496.0;955.0;112.0;139.0;146.0;32.0;120.0;153.0;13.0;6.0;11.0;;;4.0;337.0
Maastricht-G0935;789;1240;16631.0;5711.0;310.0;;3257.0;;319.0;343.0;;;334.0;62.0;;818.0;;;1648.0
Made en Drimmelen-G0812;16;19;1724.0;9.0;92.0;47.0;50.0;113.0;22.0;;6.0;;29.0;;;1.0;;;333.0
Margraten-G0936;11;7;493.0;1.0;;;57.0;;;;;;;;;6.0;;;33.0
Markelo-G0169;46;84;120.0;479.0;194.0;320.0;235.0;479.0;232.0;25.0;32.0;35.0;21.0;13.0;;;;282.0;282.0
Marken-G0419;7;4;3.0;5.0;231.0;460.0;2.0;;8.0;1.0;1.0;;;7.0;;;;;62.0
Marum-G0025;21;49;2.0;570.0;763.0;55.0;214.0;182.0;459.0;107.0;;482.0;;11.0;6.0;;9.0;;214.0
Maurik-G0264;34;40;120.0;732.0;23.0;129.0;141.0;549.0;62.0;9.0;67.0;145.0;6.0;14.0;4.0;;;21.0;216.0
Medemblik-G0420;16;62;798.0;464.0;283.0;207.0;62.0;148.0;170.0;78.0;21.0;57.0;22.0;23.0;;;;;211.0
Meeden-G0026;21;29;8.0;306.0;249.0;19.0;37.0;98.0;71.0;11.0;;50.0;;1.0;4.0;;44.0;;62.0
Meerkerk-G0557;8;27;;139.0;321.0;33.0;40.0;182.0;9.0;2.0;80.0;;;5.0;1.0;;;3.0;115.0
Meerlo-G0937;6;15;975.0;8.0;2.0;;4.0;;4.0;;;;5.0;;;3.0;;;30.0
Meerssen-G0938;77;91;1869.0;23.0;27.0;;395.0;;10.0;7.0;;;17.0;3.0;;28.0;;;89.0
Megen, Haren en Macharen-G0813;6;5;738.0;2.0;7.0;;2.0;8.0;1.0;1.0;;;10.0;;;;;;89.0
Meijel-G0941;4;8;980.0;;5.0;;20.0;;;;;;;;;4.0;;;72.0
Melick en Herkenbosch-G0939;26;36;1044.0;15.0;7.0;;254.0;;13.0;;;;15.0;;;14.0;;;66.0
Meliskerke-G1112;3;1;1.0;;107.0;25.0;6.0;;2.0;;151.0;;;;;;;;71.0
Melissant-G1113;23;35;27.0;75.0;151.0;165.0;6.0;58.0;7.0;11.0;267.0;1.0;2.0;5.0;5.0;;;;136.0
Menaldumadeel-G0083;77;70;250.0;1814.0;1109.0;794.0;143.0;172.0;890.0;119.0;21.0;155.0;9.0;48.0;16.0;;;;440.0
Meppel-G0119;92;614;104.0;1277.0;887.0;1563.0;208.0;534.0;591.0;95.0;47.0;506.0;;4.0;;;8.0;13.0;188.0
Merkelbeek-G0940;6;9;389.0;11.0;2.0;;61.0;;1.0;1.0;;;7.0;;;15.0;;;22.0
Mesch-G1114;1;6;95.0;;;;39.0;;;;;;;;;1.0;;;6.0
Mheer-G0942;15;12;267.0;;2.0;;121.0;;1.0;;;;;;;1.0;;;33.0
Middelburg-G0687;175;360;575.0;2654.0;1922.0;1369.0;611.0;836.0;1003.0;;457.0;;;;52.0;;;;909.0
Middelharnis-G0559;43;72;99.0;259.0;370.0;85.0;55.0;394.0;26.0;38.0;672.0;2.0;6.0;4.0;15.0;;;;430.0
Middelie-G0421;7;3;1.0;109.0;7.0;2.0;37.0;12.0;122.0;;1.0;4.0;;1.0;;;;;36.0
Middelstum-G0027;10;3;3.0;156.0;660.0;30.0;47.0;92.0;30.0;14.0;;304.0;;;;;;;70.0
Midwolda-G0028;18;77;2.0;376.0;593.0;508.0;130.0;83.0;90.0;91.0;;60.0;;5.0;170.0;;4.0;;173.0
Midwoud-G0422;9;12;27.0;144.0;1.0;5.0;28.0;229.0;142.0;1.0;1.0;1.0;;14.0;;;;;33.0
Mierlo-G0814;39;57;1983.0;71.0;5.0;16.0;75.0;15.0;3.0;12.0;;;18.0;;;;;;115.0
Mijdrecht-G0336;10;38;730.0;126.0;434.0;377.0;90.0;73.0;5.0;5.0;84.0;1.0;14.0;1.0;;;;2.0;114.0
Mijnsheerenland-G0564;22;18;1.0;82.0;276.0;210.0;35.0;89.0;;6.0;91.0;1.0;3.0;2.0;1.0;;;;103.0
Mill en Sint Hubert-G0815;17;21;1518.0;17.0;15.0;3.0;28.0;1.0;2.0;;;;12.0;;;;;;145.0
Millingen-G1259;32;55;1051.0;82.0;;2.0;101.0;1.0;2.0;6.0;1.0;2.0;74.0;1.0;2.0;;;;274.0
Moergestel-G0816;15;9;934.0;8.0;;1.0;4.0;3.0;1.0;;;;60.0;;;17.0;;;45.0
Moerkapelle-G0560;3;5;4.0;37.0;116.0;22.0;47.0;29.0;3.0;;95.0;;;1.0;2.0;1.0;;;32.0
