RegioNaam;@invalid;@blank;PvdA;KVP;ARP;VVD;CHU;Communistische Partij van Nederland;SGP;Gereformeerd Politiek Verbond (GPV);Nationale Unie (Algemeen Christelijk);Nederlandse Oppositie Unie;@abs
Soest-G0342;352;;3851;4219.0;1958.0;1788.0;1001.0;265.0;266.0;40.0;200.0;61.0;476.0
Someren-G0847;35;;156;4353.0;3.0;4.0;67.0;5.0;1.0;;;;69.0
Sommelsdijk-G1184;27;;677;25.0;554.0;226.0;72.0;5.0;506.0;6.0;1.0;4.0;170.0
Son en Breugel-G0848;15;;106;2050.0;14.0;13.0;8.0;2.0;1.0;;3.0;4.0;31.0
Spanbroek-G1186;5;;126;891.0;7.0;33.0;2.0;5.0;;;;;9.0
Spaubeek-G0970;21;;62;882.0;3.0;;1.0;3.0;;;1.0;1.0;11.0
Spijkenisse-G0612;28;;810;22.0;341.0;164.0;316.0;14.0;63.0;2.0;;8.0;64.0
Sprang-Capelle-G0849;45;;729;181.0;921.0;108.0;835.0;7.0;394.0;8.0;10.0;;228.0
Stad aan 't Haringvliet-G1188;10;;184;6.0;231.0;81.0;71.0;1.0;127.0;1.0;1.0;;59.0
Stad Delden-G0179;18;;459;1345.0;102.0;142.0;88.0;7.0;2.0;;4.0;8.0;86.0
Standdaarbuiten-G0850;13;;23;1109.0;6.0;2.0;21.0;;;;;4.0;17.0
Staphorst-G0180;67;;812;14.0;1182.0;415.0;466.0;8.0;1632.0;276.0;10.0;9.0;189.0
Stavenisse-G0714;32;;221;5.0;54.0;47.0;71.0;2.0;365.0;1.0;3.0;6.0;176.0
Stavoren-G0092;3;;187;3.0;145.0;35.0;173.0;1.0;2.0;;2.0;3.0;59.0
Stedum-G0041;14;;356;3.0;472.0;115.0;260.0;18.0;4.0;48.0;8.0;4.0;43.0
Steenbergen-G0851;195;;824;4707.0;70.0;142.0;101.0;16.0;30.0;2.0;7.0;14.0;163.0
Steenderen-G0280;16;;416;993.0;300.0;158.0;343.0;2.0;11.0;;1.0;3.0;52.0
Steenwijk-G0181;122;;2650;313.0;750.0;513.0;960.0;127.0;41.0;73.0;34.0;6.0;184.0
Steenwijkerwold-G0182;67;;1633;652.0;331.0;280.0;1079.0;71.0;23.0;60.0;3.0;3.0;79.0
Stein-G0971;133;;559;2828.0;22.0;9.0;28.0;22.0;2.0;3.0;4.0;6.0;37.0
Stellendam-G1195;25;;329;5.0;316.0;73.0;95.0;4.0;135.0;1.0;1.0;;88.0
Stevensweert-G0972;13;;52;673.0;1.0;9.0;6.0;4.0;;;1.0;1.0;
Stiphout-G1196;7;;64;775.0;2.0;6.0;5.0;2.0;;;1.0;2.0;11.0
Stolwijk-G0615;33;;701;23.0;228.0;381.0;56.0;15.0;288.0;1.0;2.0;7.0;76.0
Stoutenburg-G0343;8;;79;661.0;44.0;6.0;104.0;1.0;90.0;;3.0;2.0;30.0
Stramproy-G0973;8;;27;1004.0;3.0;1.0;;;;;;;7.0
Streefkerk-G0616;14;;261;5.0;226.0;92.0;173.0;5.0;222.0;1.0;3.0;;84.0
Strijen-G0617;58;;1166;12.0;408.0;457.0;512.0;34.0;273.0;3.0;3.0;6.0;134.0
Susteren-G0974;53;;301;2540.0;12.0;5.0;3.0;6.0;1.0;4.0;4.0;5.0;40.0
Swalmen-G0975;107;;277;2914.0;10.0;19.0;13.0;5.0;;1.0;7.0;6.0;60.0
't Zandt-G0054;20;;795;8.0;469.0;272.0;225.0;12.0;2.0;18.0;;7.0;62.0
Tegelen-G0976;174;;553;6755.0;18.0;29.0;7.0;30.0;2.0;2.0;3.0;15.0;180.0
Ten Boer-G0009;53;;1024;13.0;969.0;401.0;210.0;127.0;;273.0;5.0;15.0;115.0
Ter Aar-G0480;17;;86;1432.0;289.0;52.0;368.0;2.0;77.0;3.0;4.0;1.0;49.0
Terheijden-G0853;32;;183;2373.0;11.0;13.0;26.0;2.0;;;;2.0;55.0
Termunten-G0042;78;;971;16.0;638.0;245.0;169.0;295.0;7.0;10.0;8.0;15.0;423.0
Terneuzen-G0715;132;;2869;1740.0;672.0;561.0;1131.0;37.0;584.0;115.0;15.0;12.0;638.0
Terschelling-G0093;36;;1301;48.0;242.0;413.0;397.0;43.0;5.0;11.0;10.0;9.0;
Teteringen-G0854;20;;85;1052.0;5.0;11.0;1.0;1.0;;1.0;1.0;2.0;13.0
Texel-G0448;64;;2585;1386.0;660.0;850.0;426.0;91.0;21.0;14.0;4.0;8.0;
Tholen-G0716;24;;380;130.0;225.0;160.0;397.0;4.0;482.0;3.0;5.0;3.0;156.0
Thorn-G0977;17;;50;1038.0;2.0;2.0;;1.0;;;;1.0;11.0
Tiel-G0281;121;;4568;2345.0;345.0;792.0;521.0;107.0;23.0;10.0;30.0;25.0;207.0
Tienhoven (Ut)-G1202;5;;40;13.0;154.0;14.0;127.0;5.0;19.0;1.0;1.0;;
Tienhoven (ZH)-G0618;5;;53;1.0;131.0;14.0;18.0;;17.0;2.0;;;5.0
Tietjerksteradeel-G0094;107;;3624;73.0;3280.0;723.0;2099.0;124.0;129.0;107.0;9.0;90.0;383.0
Tilburg-G0855;1410;;16003;46182.0;926.0;743.0;396.0;598.0;65.0;36.0;181.0;157.0;1588.0
Tubbergen-G0183;33;;256;6170.0;24.0;17.0;352.0;3.0;5.0;1.0;4.0;3.0;102.0
Tudderen-G1204;33;;79;425.0;5.0;7.0;4.0;1.0;;;1.0;;30.0
Tull en 't Waal-G1205;4;;46;135.0;21.0;4.0;54.0;;12.0;;;;
Twisk-G0449;2;;291;3.0;24.0;121.0;10.0;9.0;6.0;;;3.0;7.0
Ubach over Worms-G0978;219;;1250;2653.0;35.0;9.0;39.0;166.0;1.0;1.0;7.0;7.0;101.0
Ubbergen-G0282;40;;198;3160.0;67.0;64.0;65.0;5.0;2.0;2.0;15.0;4.0;135.0
Uden-G0856;93;;509;5449.0;145.0;102.0;68.0;20.0;2.0;2.0;13.0;8.0;286.0
Udenhout-G0857;11;;88;2395.0;1.0;2.0;1.0;4.0;;;;;33.0
Uitgeest-G0450;29;;689;1452.0;36.0;115.0;38.0;248.0;3.0;2.0;7.0;16.0;72.0
Uithoorn-G0451;34;;766;2056.0;315.0;115.0;368.0;31.0;17.0;6.0;8.0;8.0;132.0
Uithuizen-G0043;33;;923;352.0;587.0;347.0;271.0;147.0;3.0;67.0;3.0;7.0;88.0
Uithuizermeeden-G0044;32;;723;22.0;802.0;285.0;725.0;12.0;14.0;331.0;11.0;4.0;106.0
Ulestraten-G0979;24;;12;662.0;;3.0;2.0;1.0;;;;4.0;1.0
Ulrum-G0045;25;;656;7.0;861.0;179.0;144.0;29.0;16.0;315.0;1.0;6.0;106.0
Urk-G0184;2;;117;8.0;1556.0;13.0;215.0;4.0;422.0;112.0;1.0;2.0;124.0
Urmond-G0980;25;;229;1243.0;3.0;7.0;15.0;9.0;1.0;;2.0;3.0;11.0
Ursem-G0452;4;;110;661.0;3.0;24.0;8.0;8.0;;;;;5.0
