RegioNaam;@invalid;@blank;KVP;PvdA;VVD;ARP;CHU;Boeren Partij;D66;Communistische Partij van Nederland;Pacifistisch-Socialistische Partij (PSP);SGP;Gereformeerd Politiek Verbond (GPV);Noodraad;Christen-Democratische Unie;Partij voor Ongehuwden;Landsbelangen;Liberale Volkspartij;Lijst Voogd;Lijst van Breukelen-Grein;Lijst-Machiela;Lijst-Germeaux;Partij van het Recht;CNVP;Lijst-Rodemond;@abs
Heteren-G0251;54;;1670.0;327;78;319.0;284.0;124;32.0;21.0;20.0;216.0;6.0;11.0;16.0;5.0;2.0;2.0;3.0;;;;;;;102.0
Heukelum-G0533;41;;14.0;531;135;177.0;191.0;29;8.0;7.0;7.0;30.0;12.0;3.0;4.0;6.0;1.0;1.0;;;;;;;;48.0
Heumen-G0252;85;;1541.0;88;82;56.0;30.0;176;97.0;9.0;14.0;2.0;7.0;23.0;3.0;10.0;5.0;4.0;;;;;;;;56.0
Heusden-G0797;73;;892.0;272;149;185.0;173.0;152;61.0;14.0;26.0;60.0;10.0;10.0;15.0;15.0;152.0;1.0;2.0;;;;;;;109.0
Heythuysen-G0920;93;;1753.0;66;65;10.0;14.0;171;29.0;6.0;8.0;;;16.0;5.0;5.0;7.0;6.0;2.0;;;;;;;55.0
Hillegom-G0534;164;;3984.0;1302;821;790.0;852.0;320;352.0;96.0;128.0;74.0;34.0;44.0;105.0;45.0;8.0;9.0;9.0;;;;;;;476.0
Hilvarenbeek-G0798;124;;2530.0;282;237;83.0;95.0;210;75.0;24.0;53.0;4.0;1.0;36.0;16.0;21.0;28.0;9.0;;;3.0;;;;;104.0
Hilversum-G0402;1823;;10458.0;14124;9158;6709.0;4565.0;2697;3952.0;1938.0;2703.0;804.0;262.0;340.0;819.0;489.0;102.0;121.0;38.0;;;;;;;3800.0
Hindeloopen-G0077;13;;3.0;194;11;72.0;134.0;14;5.0;16.0;20.0;1.0;6.0;1.0;3.0;1.0;1.0;;;;;;;;;33.0
Hoedekenskerke-G0673;24;;431.0;66;38;51.0;117.0;41;6.0;1.0;5.0;86.0;;6.0;3.0;4.0;2.0;1.0;;;;;;;;37.0
Hoek-G0674;47;;63.0;496;137;133.0;285.0;86;23.0;6.0;23.0;187.0;108.0;6.0;1.0;10.0;;1.0;2.0;;;;;;;111.0
Hoenkoop-G0319;4;;201.0;49;21;68.0;54.0;18;1.0;1.0;3.0;16.0;;1.0;1.0;;;;1.0;;;;;;;6.0
Hoensbroek-G0921;527;;5648.0;2084;460;277.0;139.0;496;272.0;462.0;178.0;13.0;13.0;103.0;54.0;77.0;38.0;26.0;6.0;1424.0;;11.0;;;;417.0
Hoevelaken-G0253;30;;197.0;487;202;187.0;487.0;139;73.0;13.0;25.0;210.0;17.0;8.0;17.0;5.0;3.0;3.0;1.0;;;;;;;110.0
Hoeven-G0799;158;;2003.0;184;136;48.0;11.0;397;54.0;20.0;20.0;3.0;8.0;50.0;14.0;26.0;4.0;6.0;3.0;;5.0;;;;;146.0
Holten-G0165;40;;100.0;879;578;532.0;1170.0;494;62.0;19.0;34.0;27.0;15.0;9.0;24.0;7.0;7.0;4.0;1.0;;;;;;;78.0
Hontenisse-G0675;122;;2204.0;187;124;57.0;63.0;222;51.0;9.0;34.0;6.0;10.0;15.0;11.0;48.0;3.0;2.0;4.0;;;;;;;128.0
Hoofdplaat-G0676;22;;479.0;62;16;15.0;55.0;9;2.0;1.0;5.0;6.0;1.0;7.0;1.0;3.0;1.0;1.0;;;;;;;;12.0
Hoogblokland-G0535;11;;19.0;178;122;192.0;20.0;19;1.0;4.0;5.0;34.0;;1.0;3.0;;1.0;;;;;;;;;14.0
Hooge en Lage Mierde-G0801;9;;1233.0;27;18;9.0;14.0;69;;4.0;8.0;;1.0;;10.0;;2.0;3.0;1.0;;7.0;;;;;19.0
Hooge en Lage Zwaluwe-G0802;64;;1172.0;350;107;143.0;576.0;111;39.0;28.0;32.0;17.0;3.0;29.0;11.0;19.0;2.0;2.0;;;9.0;;;;;88.0
Hoogeloon, Hapert en Casteren-G0800;50;;2087.0;94;97;29.0;39.0;88;58.0;5.0;15.0;2.0;1.0;14.0;6.0;13.0;1.0;2.0;4.0;;;;;;;71.0
Hoogeveen-G0118;872;;407.0;3649;922;5217.0;3259.0;1133;316.0;464.0;291.0;290.0;445.0;49.0;172.0;45.0;50.0;22.0;;;;;;;;755.0
Hoogezand-Sappemeer-G0018;734;;1302.0;6338;1896;1141.0;776.0;835;564.0;1305.0;818.0;22.0;194.0;106.0;76.0;76.0;34.0;27.0;;;;;;;;766.0
Hoogkarspel-G0403;16;;1087.0;180;96;14.0;16.0;123;44.0;6.0;21.0;;4.0;15.0;14.0;15.0;;2.0;;;;;;;;56.0
Hoogkerk-G1084;59;;119.0;1230;293;743.0;353.0;231;83.0;120.0;139.0;9.0;399.0;12.0;13.0;6.0;11.0;4.0;;;;;;;;111.0
Hoogland-G0320;55;;1882.0;187;85;107.0;219.0;100;55.0;17.0;19.0;32.0;26.0;3.0;5.0;9.0;1.0;8.0;;;1.0;;;;;78.0
Hoogwoud-G0404;12;;760.0;306;173;34.0;24.0;55;23.0;35.0;62.0;5.0;2.0;4.0;5.0;15.0;;4.0;;;;;;;;43.0
Hoorn-G0405;254;;2949.0;2511;1182;557.0;349.0;262;346.0;271.0;703.0;15.0;19.0;49.0;67.0;52.0;17.0;12.0;5.0;;;;;;;398.0
Hoornaar-G0536;8;;2.0;150;111;234.0;29.0;11;5.0;2.0;1.0;33.0;1.0;;2.0;1.0;;1.0;;;;;;;;18.0
Horn-G0922;64;;1218.0;73;57;39.0;11.0;95;44.0;6.0;15.0;;;13.0;6.0;13.0;3.0;2.0;2.0;6.0;;;;;;5.0
Horssen-G0254;7;;539.0;9;10;19.0;31.0;29;17.0;2.0;;3.0;;3.0;;2.0;;;;;;;;;;21.0
Horst-G0923;195;;5892.0;200;154;117.0;25.0;373;68.0;15.0;20.0;1.0;3.0;62.0;21.0;32.0;7.0;4.0;2.0;2.0;;1.0;;;;191.0
Houten-G0321;56;;2070.0;204;207;197.0;259.0;117;65.0;7.0;20.0;162.0;12.0;28.0;11.0;5.0;7.0;2.0;1.0;;1.0;;;;;152.0
Huijbergen-G0803;35;;496.0;35;33;4.0;4.0;69;15.0;7.0;3.0;;1.0;10.0;12.0;5.0;1.0;3.0;1.0;;;;;;;13.0
Huissen-G0255;83;;3391.0;219;139;99.0;119.0;367;115.0;23.0;19.0;5.0;3.0;21.0;16.0;19.0;3.0;8.0;4.0;;;;;;;166.0
Huizen-G0406;193;;496.0;1588;1612;2556.0;1960.0;406;518.0;138.0;229.0;741.0;81.0;43.0;117.0;31.0;15.0;14.0;3.0;;;;;;;541.0
Hulsberg-G0924;97;;1089.0;117;67;29.0;12.0;188;48.0;20.0;32.0;3.0;3.0;20.0;5.0;13.0;6.0;1.0;1.0;15.0;;3.0;;;;71.0
Hulst-G0677;164;;1980.0;385;308;44.0;51.0;303;137.0;22.0;33.0;3.0;7.0;25.0;23.0;36.0;6.0;6.0;2.0;;;;;;;204.0
Hummelo en Keppel-G0256;42;;364.0;693;379;283.0;243.0;208;52.0;9.0;18.0;13.0;4.0;4.0;18.0;2.0;7.0;3.0;;;;;;;;86.0
Hunsel-G0925;75;;1567.0;42;17;16.0;7.0;148;16.0;3.0;9.0;;1.0;10.0;4.0;7.0;4.0;2.0;2.0;2.0;;2.0;;;;57.0
Idaarderadeel-G0078;84;;233.0;2542;531;324.0;203.0;79;124.0;61.0;239.0;2.0;9.0;10.0;7.0;13.0;6.0;5.0;1.0;;2.0;;;;;170.0
IJlst-G0102;20;;10.0;210;45;247.0;313.0;9;12.0;4.0;25.0;2.0;2.0;7.0;9.0;2.0;;;;;;;;;;41.0
IJsselmuiden-G0191;68;;571.0;443;150;831.0;934.0;244;37.0;18.0;31.0;1238.0;270.0;5.0;27.0;8.0;7.0;3.0;21.0;;;;;;;218.0
IJsselstein-G0353;99;;2057.0;619;211;333.0;494.0;107;143.0;45.0;38.0;281.0;7.0;27.0;36.0;21.0;6.0;6.0;;;1.0;;;;;124.0
IJzendijke-G0730;50;;792.0;250;148;47.0;41.0;79;19.0;16.0;9.0;5.0;1.0;10.0;11.0;19.0;;;3.0;;;;;;;63.0
Ilpendam-G0407;36;;359.0;445;117;93.0;128.0;90;37.0;259.0;42.0;9.0;;4.0;5.0;5.0;7.0;5.0;1.0;;;;;;;52.0
Itteren-G0926;18;;322.0;40;10;5.0;3.0;36;4.0;4.0;3.0;;1.0;5.0;2.0;1.0;1.0;;1.0;;;5.0;;;;14.0
Jabeek-G0927;25;;286.0;31;11;4.0;1.0;11;3.0;2.0;1.0;;;7.0;;2.0;3.0;;1.0;1.0;;;;;;7.0
Jisp-G0408;9;;57.0;138;73;33.0;14.0;56;22.0;84.0;31.0;1.0;1.0;;3.0;;2.0;2.0;;;;;;;;23.0
Jutphaas-G0322;54;;1180.0;426;199;218.0;345.0;78;117.0;17.0;53.0;80.0;5.0;21.0;19.0;5.0;6.0;5.0;2.0;;;;;;;101.0
Kamerik-G0323;13;;459.0;55;31;226.0;353.0;85;19.0;4.0;4.0;182.0;2.0;10.0;6.0;2.0;3.0;;;;;;;;;87.0
Kampen-G0166;272;;1360.0;3699;761;3100.0;2986.0;617;311.0;125.0;203.0;1326.0;1103.0;61.0;85.0;50.0;31.0;5.0;10.0;;;;;;;582.0
Kantens-G0020;24;;18.0;442;158;214.0;107.0;42;5.0;12.0;10.0;3.0;120.0;5.0;2.0;4.0;2.0;1.0;;;;;;;;39.0
Kapelle-G0678;51;;93.0;613;277;420.0;764.0;180;30.0;5.0;19.0;225.0;26.0;11.0;12.0;6.0;3.0;6.0;4.0;;;;;;;187.0
Kattendijke-G0679;14;;9.0;351;51;52.0;135.0;12;8.0;1.0;10.0;17.0;;1.0;2.0;;;2.0;;;;;;;;20.0
Katwijk-G0537;248;;1033.0;1842;1224;2156.0;5484.0;489;568.0;145.0;194.0;2774.0;143.0;90.0;125.0;61.0;40.0;19.0;7.0;5.0;;;;;;1704.0
Katwoude-G0409;1;;26.0;17;21;25.0;30.0;35;2.0;;8.0;1.0;;;;;1.0;;;;;;;;;8.0
Kedichem-G0538;23;;5.0;255;179;139.0;34.0;31;4.0;1.0;2.0;33.0;1.0;;2.0;2.0;;;1.0;;;;;;;14.0
Kerkrade-G0928;1946;;15272.0;4578;1215;369.0;285.0;1199;582.0;1249.0;367.0;30.0;38.0;301.0;389.0;199.0;99.0;71.0;36.0;118.0;;26.0;;;;974.0
Kerkwijk-G0257;47;;39.0;533;98;626.0;260.0;92;16.0;11.0;9.0;788.0;11.0;8.0;4.0;7.0;5.0;;5.0;;;;;;;236.0
Kessel-G0929;37;;1352.0;70;42;19.0;10.0;87;15.0;8.0;7.0;;1.0;11.0;4.0;6.0;;1.0;;1.0;;2.0;;;;65.0
Kesteren-G0258;67;;40.0;1006;168;471.0;187.0;225;36.0;25.0;16.0;1024.0;23.0;9.0;5.0;5.0;19.0;4.0;2.0;;;;;;;174.0
Klaaswaal-G0539;24;;13.0;539;160;260.0;241.0;35;23.0;11.0;17.0;139.0;5.0;;3.0;2.0;3.0;1.0;;;;;;;;53.0
Klimmen-G0930;91;;1248.0;153;97;32.0;14.0;92;54.0;28.0;16.0;1.0;1.0;17.0;5.0;6.0;4.0;;4.0;8.0;;6.0;;;;60.0
Kloetinge-G0680;44;;68.0;314;203;178.0;403.0;43;33.0;2.0;19.0;83.0;3.0;23.0;8.0;7.0;1.0;2.0;;;;;;;;51.0
Kloosterburen-G0021;15;;519.0;208;83;236.0;27.0;19;13.0;10.0;10.0;1.0;4.0;5.0;7.0;7.0;1.0;;;;;;;;;43.0
Klundert-G0804;83;;844.0;325;111;909.0;513.0;53;54.0;23.0;19.0;191.0;10.0;21.0;25.0;10.0;5.0;3.0;1.0;;;;;;;90.0
Kockengen-G0324;22;;385.0;31;32;259.0;200.0;95;18.0;9.0;7.0;153.0;4.0;5.0;1.0;2.0;2.0;;;;;;;;;30.0
Koedijk-G0410;24;;459.0;348;168;48.0;46.0;80;54.0;61.0;69.0;1.0;3.0;7.0;5.0;11.0;10.0;1.0;1.0;;;;;;;61.0
Koewacht-G0681;87;;686.0;165;78;42.0;7.0;199;28.0;6.0;7.0;;1.0;16.0;5.0;23.0;;2.0;1.0;;;;;;;82.0
Kollumerland en Nieuwkruisland-G0079;116;;20.0;755;262;2476.0;1435.0;237;33.0;46.0;50.0;94.0;77.0;17.0;47.0;10.0;5.0;1.0;1.0;;6.0;;;;;246.0
Koog aan de Zaan-G0411;93;;354.0;1209;537;331.0;135.0;78;210.0;789.0;282.0;26.0;17.0;12.0;12.0;31.0;4.0;10.0;2.0;;;;;;;204.0
Kortgene-G0682;48;;13.0;767;298;237.0;493.0;39;45.0;5.0;9.0;144.0;2.0;4.0;9.0;5.0;1.0;;1.0;;;;;;;152.0
Koudekerk aan den Rijn-G0540;31;;188.0;217;155;394.0;355.0;62;75.0;22.0;17.0;28.0;10.0;10.0;11.0;9.0;2.0;1.0;1.0;;;;;;;39.0
Krabbendijke-G0684;38;;13.0;266;95;257.0;342.0;48;12.0;4.0;13.0;670.0;8.0;6.0;3.0;12.0;;;4.0;;;;;;;112.0
Krimpen aan de Lek-G0541;80;;42.0;1245;314;435.0;166.0;65;96.0;49.0;54.0;208.0;7.0;12.0;6.0;4.0;3.0;1.0;;;;;;;;164.0
Krimpen aan den IJssel-G0542;180;;339.0;2678;772;717.0;689.0;100;316.0;203.0;190.0;1153.0;65.0;29.0;28.0;28.0;11.0;10.0;5.0;3.0;;;;;;531.0
Krommenie-G0413;155;;1406.0;1588;630;536.0;169.0;136;330.0;1161.0;446.0;22.0;103.0;32.0;49.0;39.0;12.0;9.0;7.0;;;;;;;239.0
Kruiningen-G0685;61;;453.0;863;324;275.0;488.0;101;44.0;14.0;37.0;331.0;11.0;16.0;14.0;16.0;8.0;5.0;4.0;;;;;;;238.0
Kuinre-G0167;14;;53.0;177;36;40.0;87.0;40;9.0;2.0;;2.0;6.0;2.0;7.0;;1.0;;1.0;;;;;;;13.0
Kwadijk-G0414;10;;11.0;132;59;21.0;13.0;22;7.0;6.0;6.0;;1.0;;;1.0;6.0;;;;;;;;;10.0
Landsmeer-G0415;64;;178.0;1019;343;374.0;171.0;128;189.0;499.0;167.0;10.0;3.0;22.0;19.0;22.0;7.0;7.0;2.0;;;;;;;159.0
Langbroek-G0325;23;;153.0;134;60;178.0;225.0;60;4.0;10.0;5.0;133.0;1.0;5.0;3.0;7.0;;;;;2.0;;;;;34.0
Langedijk-G0416;63;;1664.0;1070;562;854.0;307.0;145;123.0;152.0;127.0;12.0;39.0;27.0;27.0;23.0;15.0;1.0;3.0;;;;;;;171.0
Langerak-G0543;7;;2.0;134;45;193.0;39.0;23;5.0;4.0;1.0;89.0;53.0;4.0;2.0;;;;;;;;;;;21.0
Laren-G0417;167;;2659.0;1003;1679;472.0;319.0;285;538.0;128.0;301.0;37.0;19.0;44.0;112.0;75.0;20.0;19.0;;;;;;;;542.0
Laren (Gld.)-G0259;112;;76.0;758;1107;603.0;826.0;462;80.0;9.0;55.0;4.0;9.0;20.0;11.0;13.0;10.0;11.0;6.0;;;;;;;207.0
Leek-G0022;133;;52.0;1916;717;1408.0;479.0;568;93.0;100.0;138.0;35.0;384.0;19.0;29.0;18.0;17.0;4.0;;;;;;;;251.0
Leende-G0805;31;;1241.0;69;113;38.0;17.0;66;42.0;6.0;16.0;;2.0;7.0;8.0;15.0;6.0;;;;;;;;;51.0
Leens-G0023;31;;209.0;564;256;449.0;98.0;67;15.0;31.0;17.0;4.0;342.0;10.0;4.0;6.0;3.0;3.0;;;;;;;;36.0
Leerbroek-G0544;6;;2.0;31;22;125.0;78.0;37;9.0;1.0;2.0;213.0;4.0;;2.0;;3.0;1.0;;;;;;;;48.0
Leerdam-G0545;149;;313.0;2317;540;1278.0;927.0;159;142.0;141.0;141.0;588.0;262.0;20.0;24.0;16.0;11.0;2.0;4.0;;;;;;;316.0
Leersum-G0326;65;;101.0;545;533;367.0;484.0;220;69.0;12.0;35.0;237.0;16.0;8.0;18.0;6.0;8.0;7.0;1.0;;;;;;;165.0
Leeuwarden-G0080;933;;4276.0;19938;4749;8581.0;4572.0;977;2117.0;1227.0;2045.0;145.0;472.0;178.0;202.0;215.0;113.0;54.0;12.0;;42.0;;;;;2453.0
Leeuwarderadeel-G0081;58;;46.0;1216;324;723.0;168.0;86;107.0;45.0;164.0;4.0;13.0;16.0;6.0;16.0;10.0;;2.0;;4.0;;;;;100.0
Leiden-G0546;1775;;10138.0;17642;7074;4840.0;5586.0;2054;4119.0;3009.0;2501.0;580.0;269.0;390.0;382.0;363.0;68.0;103.0;33.0;34.0;;;;;;3143.0
Leiderdorp-G0547;58;;755.0;867;929;1144.0;758.0;119;325.0;37.0;139.0;82.0;22.0;10.0;45.0;15.0;11.0;9.0;3.0;;;;;;;173.0
Leidschendam-G0548;213;;4991.0;1554;2208;1101.0;912.0;323;910.0;88.0;267.0;48.0;51.0;92.0;76.0;71.0;14.0;25.0;4.0;3.0;;;;;;655.0
Leimuiden-G0549;20;;788.0;120;108;275.0;223.0;38;51.0;27.0;19.0;12.0;8.0;13.0;18.0;12.0;3.0;1.0;;2.0;;;;;;55.0
Lekkerkerk-G0550;61;;47.0;1415;712;407.0;142.0;128;83.0;46.0;78.0;347.0;6.0;8.0;6.0;11.0;8.0;4.0;4.0;1.0;;;;;;163.0
Lemsterland-G0082;133;;263.0;1229;170;908.0;907.0;168;88.0;431.0;103.0;71.0;10.0;17.0;20.0;15.0;12.0;2.0;1.0;;1.0;;;;;343.0
Leusden-G0327;62;;833.0;436;443;313.0;456.0;107;122.0;18.0;43.0;176.0;69.0;2.0;24.0;11.0;9.0;4.0;3.0;;;;;;;94.0
Lexmond-G0551;12;;7.0;256;104;322.0;227.0;44;11.0;10.0;4.0;173.0;6.0;;1.0;4.0;;1.0;;;;;;;;64.0
Lichtenvoorde-G0260;68;;5352.0;185;161;179.0;331.0;389;109.0;14.0;22.0;3.0;5.0;16.0;16.0;12.0;3.0;4.0;4.0;;;;;;;183.0
Liempde-G0806;26;;1239.0;76;24;25.0;9.0;99;32.0;8.0;9.0;1.0;;7.0;6.0;;13.0;3.0;;;;;;;;24.0
Lienden-G0261;54;;43.0;1209;220;213.0;314.0;349;39.0;10.0;15.0;241.0;5.0;9.0;2.0;2.0;497.0;3.0;1.0;;;;;;;109.0
Lieshout-G0807;59;;1690.0;122;82;20.0;7.0;160;49.0;14.0;21.0;;2.0;18.0;12.0;12.0;3.0;3.0;2.0;;;;;;;70.0
Limbricht-G0931;101;;1402.0;105;44;24.0;8.0;107;33.0;23.0;10.0;1.0;2.0;18.0;3.0;9.0;14.0;5.0;2.0;3.0;;;;;;70.0
Limmen-G0418;25;;1215.0;107;72;40.0;15.0;180;84.0;28.0;43.0;;3.0;9.0;12.0;12.0;1.0;3.0;1.0;;;;;;;35.0
Linne-G0932;108;;1287.0;96;46;9.0;11.0;67;43.0;24.0;11.0;1.0;1.0;14.0;6.0;10.0;4.0;2.0;;2.0;;;;;;72.0
Linschoten-G0328;35;;493.0;130;101;213.0;306.0;72;50.0;5.0;17.0;225.0;6.0;14.0;8.0;8.0;11.0;4.0;4.0;;;;;;;96.0
Lisse-G0553;108;;3620.0;619;645;716.0;870.0;221;303.0;56.0;62.0;522.0;67.0;40.0;64.0;34.0;7.0;2.0;1.0;1.0;;;;;;364.0
Lith-G0808;84;;1747.0;125;68;84.0;30.0;194;65.0;11.0;15.0;2.0;1.0;16.0;10.0;8.0;7.0;2.0;2.0;;;;;;;105.0
Lochem-G0262;99;;483.0;1830;1014;446.0;487.0;343;146.0;147.0;267.0;7.0;8.0;23.0;28.0;22.0;6.0;13.0;6.0;;;;;;;248.0
Loenen-G0329;73;;478.0;531;512;471.0;523.0;124;167.0;43.0;58.0;127.0;39.0;10.0;16.0;16.0;25.0;10.0;1.0;;1.0;;;;;169.0
Loon op Zand-G0809;341;;5928.0;388;514;175.0;154.0;580;250.0;58.0;50.0;109.0;8.0;93.0;79.0;41.0;40.0;12.0;13.0;;4.0;;;;;276.0
Loosdrecht-G0330;99;;285.0;551;955;607.0;556.0;237;277.0;52.0;139.0;97.0;73.0;14.0;45.0;20.0;9.0;9.0;2.0;;7.0;;;;;301.0
Lopik-G0331;51;;630.0;542;158;565.0;466.0;185;38.0;30.0;9.0;310.0;12.0;12.0;11.0;4.0;2.0;4.0;1.0;;;;;;;106.0
Loppersum-G0024;35;;13.0;554;241;722.0;163.0;85;18.0;19.0;29.0;4.0;123.0;7.0;8.0;8.0;3.0;1.0;;;;;;;;56.0
Losser-G0168;244;;6004.0;1062;327;182.0;716.0;649;205.0;574.0;132.0;10.0;17.0;61.0;54.0;41.0;12.0;9.0;2.0;;;;;;;295.0
Luyksgestel-G0810;22;;768.0;43;28;9.0;2.0;89;16.0;;2.0;1.0;2.0;5.0;;3.0;;;;;;;;;;26.0
Maarheeze-G0811;78;;2229.0;127;102;59.0;12.0;174;91.0;12.0;28.0;3.0;5.0;30.0;9.0;8.0;4.0;1.0;1.0;;;;;;;76.0
Maarn-G0332;58;;188.0;458;514;299.0;475.0;125;105.0;14.0;38.0;148.0;19.0;10.0;12.0;5.0;4.0;5.0;;;1.0;;;;;80.0
Maarssen-G0333;191;;1449.0;1513;642;1045.0;1309.0;268;222.0;115.0;125.0;153.0;29.0;43.0;54.0;37.0;5.0;11.0;4.0;;2.0;;;;;336.0
Maartensdijk-G0334;80;;342.0;787;658;793.0;592.0;251;192.0;38.0;121.0;470.0;52.0;14.0;21.0;10.0;7.0;6.0;7.0;;2.0;;;;;305.0
Maasbracht-G0933;131;;2006.0;163;129;136.0;138.0;209;59.0;29.0;22.0;2.0;5.0;30.0;10.0;18.0;18.0;9.0;;6.0;;3.0;;;;758.0
Maasbree-G0934;77;;3129.0;69;116;46.0;15.0;236;45.0;7.0;4.0;1.0;2.0;23.0;6.0;19.0;7.0;5.0;1.0;1.0;;3.0;;;;95.0
Maasdam-G0554;26;;12.0;394;217;186.0;203.0;46;22.0;6.0;21.0;148.0;3.0;3.0;9.0;10.0;1.0;2.0;1.0;;;;;;;62.0
Maasdriel-G0263;90;;2460.0;174;118;78.0;162.0;271;46.0;25.0;14.0;26.0;6.0;21.0;9.0;14.0;13.0;4.0;6.0;;;;;;;161.0
Maasland-G0555;22;;405.0;149;275;776.0;659.0;65;56.0;5.0;11.0;38.0;19.0;2.0;9.0;5.0;;2.0;1.0;;;;;;;72.0
Maassluis-G0556;215;;1041.0;3073;1158;2412.0;1534.0;154;542.0;155.0;307.0;241.0;119.0;51.0;81.0;38.0;16.0;17.0;8.0;;;;;;;589.0
Maastricht-G0935;2860;;24504.0;11506;3760;916.0;540.0;2722;2359.0;1113.0;1582.0;63.0;81.0;524.0;306.0;407.0;150.0;187.0;79.0;111.0;;187.0;;;;2758.0
Made en Drimmelen-G0812;159;;3346.0;349;236;124.0;111.0;378;120.0;61.0;19.0;16.0;7.0;71.0;24.0;26.0;15.0;10.0;5.0;;11.0;;;;;233.0
Margraten-G0936;65;;856.0;70;45;18.0;6.0;102;21.0;3.0;4.0;;1.0;7.0;7.0;2.0;5.0;2.0;2.0;1.0;;93.0;;;;63.0
Mariekerke-G0686;22;;9.0;36;33;406.0;304.0;40;3.0;2.0;6.0;525.0;6.0;2.0;1.0;4.0;4.0;;1.0;;;;;;;69.0
Markelo-G0169;65;;194.0;1110;684;547.0;624.0;673;55.0;14.0;29.0;16.0;9.0;19.0;8.0;19.0;3.0;5.0;4.0;;;;;;;194.0
Marken-G0419;13;;1.0;141;13;310.0;423.0;23;12.0;9.0;3.0;5.0;1.0;3.0;9.0;6.0;1.0;1.0;;;;;;;;28.0
Marum-G0025;78;;22.0;1236;455;1158.0;168.0;694;50.0;75.0;191.0;22.0;80.0;14.0;10.0;17.0;9.0;1.0;;;;;;;;194.0
Maurik-G0264;57;;193.0;1416;235;273.0;376.0;192;21.0;26.0;18.0;62.0;7.0;12.0;14.0;7.0;55.0;2.0;;;;;;;;131.0
Medemblik-G0420;44;;1074.0;565;180;228.0;165.0;92;82.0;140.0;50.0;8.0;5.0;14.0;9.0;15.0;7.0;2.0;;;;;;;;246.0
Meeden-G0026;35;;10.0;503;87;256.0;67.0;41;4.0;47.0;15.0;5.0;19.0;2.0;7.0;5.0;1.0;1.0;;;;;;;;50.0
Meerkerk-G0557;22;;21.0;358;187;345.0;169.0;57;24.0;3.0;11.0;136.0;3.0;1.0;4.0;4.0;2.0;2.0;;;;;;;;42.0
Meerlo-G0937;42;;1562.0;45;40;19.0;9.0;58;22.0;12.0;2.0;;2.0;17.0;2.0;6.0;;;1.0;;;1.0;;;;64.0
Meerssen-G0938;268;;2947.0;428;223;92.0;47.0;336;123.0;64.0;54.0;4.0;4.0;56.0;24.0;56.0;13.0;11.0;7.0;15.0;;30.0;;;;248.0
Megen, Haren en Macharen-G0813;34;;955.0;65;16;13.0;6.0;72;33.0;8.0;8.0;1.0;3.0;7.0;7.0;5.0;4.0;3.0;2.0;;;;;;;35.0
Meijel-G0941;57;;1420.0;56;44;16.0;4.0;342;30.0;1.0;5.0;1.0;;4.0;5.0;7.0;6.0;1.0;1.0;;;;;;;39.0
Melick en Herkenbosch-G0939;74;;1679.0;108;87;42.0;14.0;157;51.0;23.0;30.0;2.0;;34.0;7.0;12.0;9.0;4.0;1.0;1.0;;1.0;;;;68.0
Menaldumadeel-G0083;107;;319.0;2198;589;1400.0;823.0;154;109.0;41.0;288.0;12.0;22.0;23.0;17.0;13.0;13.0;4.0;2.0;;4.0;;;;;194.0
Meppel-G0119;211;;421.0;4244;1403;1572.0;1818.0;393;295.0;164.0;205.0;58.0;135.0;43.0;78.0;36.0;20.0;19.0;;;;;;;;501.0
Merkelbeek-G0940;43;;630.0;58;32;18.0;6.0;77;17.0;12.0;12.0;1.0;2.0;10.0;5.0;5.0;4.0;;;9.0;;;;;;33.0
Mheer-G0942;19;;499.0;42;26;10.0;3.0;75;6.0;3.0;3.0;1.0;1.0;13.0;1.0;2.0;;2.0;1.0;3.0;;3.0;;;;37.0
Middelburg-G0687;421;;1084.0;4633;1870;3124.0;2701.0;386;455.0;164.0;337.0;1167.0;154.0;81.0;87.0;85.0;28.0;12.0;16.0;;;;;;;840.0
Middelharnis-G0559;158;;139.0;2065;760;1464.0;474.0;205;110.0;36.0;56.0;1662.0;30.0;13.0;20.0;28.0;1.0;2.0;4.0;;;;;;;570.0
Middelie-G0421;7;;9.0;159;55;36.0;6.0;35;25.0;8.0;11.0;;;9.0;2.0;2.0;6.0;;1.0;;;;;;;12.0
Middelstum-G0027;23;;14.0;295;101;702.0;154.0;47;8.0;24.0;12.0;2.0;100.0;5.0;4.0;3.0;3.0;1.0;;;;;;;;36.0
Middenschouwen-G0688;22;;15.0;257;142;387.0;215.0;49;10.0;2.0;8.0;94.0;14.0;4.0;3.0;4.0;1.0;1.0;2.0;;;;;;;63.0
Midwolda-G0028;45;;27.0;700;143;677.0;632.0;51;6.0;168.0;31.0;17.0;13.0;10.0;5.0;12.0;;5.0;;;;;;;;76.0
Midwoud-G0422;15;;49.0;333;165;30.0;10.0;30;18.0;20.0;39.0;4.0;;2.0;1.0;7.0;2.0;;;;;;;;;31.0
Mierlo-G0814;184;;3719.0;469;350;144.0;42.0;327;257.0;111.0;79.0;4.0;7.0;55.0;25.0;23.0;18.0;5.0;6.0;;;;;;;0.0
Mijdrecht-G0336;97;;1621.0;436;424;680.0;589.0;211;201.0;35.0;46.0;105.0;60.0;14.0;36.0;16.0;15.0;6.0;6.0;;8.0;;;;;179.0
