RegioNaam;@invalid;@blank;PvdA;CDA;VVD;D66;SGP;Communistische Partij van Nederland;Politieke Partij Radikalen (PPR);Gereformeerd Politiek Verbond (GPV);Pacifistisch-Socialistische Partij (PSP);Boeren Partij;Democratisch Socialisten '70;Reformatorische Politieke Federatie (RPF);Nederlandse Volks Unie (NVU);Rooms Katholieke Partij Nederland (RKPN);SP;Federatie Bejaardenpartijen Nederland;Verbond tegen Ambtelijke Willekeur;KEN;Democratisch Actie Centrum;Partij van de Belastingbetalers;Europese Conservatieve Unie;Lijst-JUSIA;Nederlandse Middenstands Partij;Lijst-Griek;@abs
Odoorn-G0122;48;;3880;1509;1567;251;17.0;123.0;66.0;110.0;36.0;69.0;49.0;74.0;19.0;8.0;9.0;;5.0;2.0;8.0;;;;;;799.0
Oeffelt-G0822;8;;233;766;98;40;;8.0;18.0;;9.0;15.0;3.0;1.0;2.0;5.0;1.0;;;;;;;;;;135.0
Oegstgeest-G0579;114;;1589;2840;3469;943;62.0;44.0;272.0;92.0;97.0;34.0;139.0;57.0;25.0;53.0;14.0;6.0;3.0;3.0;2.0;;;;;;997.0
Ohé en Laak-G0953;3;;76;316;60;6;;2.0;;2.0;3.0;3.0;4.0;;;16.0;;;5.0;;;;;;;;46.0
Oirsbeek-G0954;19;;742;1388;446;108;1.0;19.0;43.0;;20.0;30.0;18.0;;1.0;23.0;7.0;;14.0;1.0;;;;;;;255.0
Oirschot-G0823;20;;1185;3750;702;210;2.0;11.0;83.0;9.0;19.0;73.0;21.0;4.0;7.0;51.0;8.0;1.0;1.0;4.0;1.0;;;;;;513.0
Oisterwijk-G0824;60;;2825;3718;2074;465;9.0;53.0;129.0;7.0;50.0;100.0;35.0;12.0;20.0;55.0;11.0;26.0;1.0;4.0;2.0;;;;;;824.0
Oldebroek-G0269;68;;2440;3387;996;236;2018.0;16.0;66.0;161.0;26.0;158.0;37.0;1307.0;7.0;4.0;2.0;;3.0;3.0;1.0;;3.0;;;;1155.0
Oldehove-G0035;7;;365;551;266;42;2.0;8.0;23.0;185.0;8.0;3.0;3.0;12.0;;;1.0;;;3.0;;;;;;;91.0
Oldekerk-G0036;4;;278;644;256;33;5.0;2.0;10.0;71.0;5.0;11.0;1.0;7.0;5.0;;;;;;;;;;;;92.0
Oldenzaal-G0173;53;;4255;8348;2065;708;12.0;61.0;214.0;56.0;91.0;134.0;34.0;12.0;18.0;121.0;35.0;;3.0;1.0;1.0;;;;;;1451.0
Olst-G0174;26;;2068;1922;1067;249;30.0;25.0;64.0;10.0;18.0;48.0;27.0;4.0;3.0;17.0;1.0;;2.0;1.0;1.0;;;;;;401.0
Ommen-G0175;35;;1681;5745;1293;291;84.0;13.0;69.0;798.0;24.0;180.0;46.0;95.0;11.0;14.0;2.0;;2.0;;3.0;;;;;;383.0
Oost-, West- en Middelbeers-G0825;14;;297;1678;303;75;1.0;3.0;29.0;;11.0;24.0;11.0;;3.0;3.0;1.0;;;;;;;;;;214.0
Oostburg-G0692;80;;4271;3221;3019;376;169.0;45.0;207.0;69.0;62.0;96.0;63.0;39.0;30.0;47.0;4.0;;6.0;1.0;1.0;;;;;;1297.0
Oostdongeradeel-G0084;17;;435;2960;288;52;26.0;3.0;22.0;57.0;11.0;17.0;8.0;31.0;4.0;1.0;;;1.0;;1.0;;;;;;225.0
Oosterbroek-G0033;16;;1710;360;490;93;4.0;138.0;25.0;68.0;36.0;36.0;22.0;7.0;9.0;3.0;;;;5.0;;;;;;;481.0
Oosterhesselen-G0123;19;;1094;818;593;105;7.0;48.0;18.0;96.0;10.0;31.0;17.0;27.0;;;2.0;;1.0;;3.0;;;;;;291.0
Oosterhout-G0826;164;;8468;8544;4048;1350;24.0;105.0;380.0;22.0;102.0;249.0;98.0;17.0;55.0;124.0;25.0;20.0;10.0;10.0;5.0;;;;;;3401.0
Oostflakkee-G0580;29;;2229;1592;657;168;811.0;20.0;40.0;55.0;18.0;46.0;13.0;61.0;17.0;16.0;1.0;;4.0;;;;1.0;;;;568.0
Ooststellingwerf-G0085;107;;6108;3754;1953;480;74.0;333.0;131.0;229.0;236.0;179.0;102.0;57.0;42.0;9.0;12.0;13.0;1.0;5.0;2.0;;;;;;1468.0
Oostvoorne-G0581;37;;1578;727;1676;273;38.0;41.0;50.0;2.0;28.0;28.0;44.0;7.0;13.0;;3.0;5.0;1.0;1.0;;;;;;;
Oostzaan-G0431;29;;1650;511;884;321;35.0;375.0;65.0;10.0;67.0;22.0;55.0;41.0;35.0;4.0;4.0;;;1.0;;2.0;;;;;450.0
Ootmarsum-G0176;5;;364;1710;317;91;4.0;3.0;25.0;1.0;8.0;14.0;6.0;1.0;3.0;32.0;6.0;;;;;;;;;;
Ophemert-G0270;5;;356;228;206;30;35.0;3.0;12.0;3.0;6.0;69.0;6.0;2.0;;;1.0;;1.0;;;;;;;;98.0
Oploo, Sint Anthonis en Ledeacker-G0827;16;;451;3029;304;99;2.0;9.0;56.0;;39.0;19.0;14.0;;3.0;11.0;;;1.0;1.0;1.0;;;;;;260.0
Opmeer-G0432;15;;635;1323;503;144;1.0;17.0;42.0;4.0;10.0;24.0;16.0;;3.0;58.0;;;1.0;;1.0;;;;;;288.0
Opperdoes-G0433;4;;161;482;111;38;94.0;5.0;20.0;10.0;5.0;9.0;5.0;34.0;5.0;;;;2.0;;;;;;;;70.0
Opsterland-G0086;114;;6547;3680;2060;658;71.0;519.0;200.0;614.0;140.0;149.0;83.0;122.0;24.0;7.0;4.0;20.0;6.0;3.0;4.0;;;;;;1799.0
Oss-G0828;121;;8243;8869;3838;1444;11.0;66.0;417.0;24.0;156.0;193.0;101.0;9.0;38.0;129.0;1711.0;13.0;10.0;4.0;4.0;;;;;;4095.0
Ossendrecht-G0829;23;;968;1198;455;101;3.0;12.0;21.0;2.0;17.0;29.0;10.0;;6.0;16.0;2.0;1.0;;;;;;;;;544.0
Ottoland-G0582;0;;49;260;42;11;85.0;2.0;9.0;5.0;1.0;9.0;3.0;12.0;1.0;;1.0;;;;;;;;;;23.0
Oud- en Nieuw-Gastel-G0831;45;;1565;2109;587;141;;32.0;36.0;;24.0;89.0;29.0;;6.0;35.0;;5.0;1.0;2.0;;;;;;;791.0
Oud-Alblas-G0583;11;;226;373;147;42;252.0;6.0;11.0;16.0;4.0;10.0;8.0;25.0;2.0;1.0;;2.0;;;;;;;;;97.0
Oud-Beijerland-G0584;51;;2759;2058;1852;543;1071.0;32.0;91.0;99.0;33.0;28.0;37.0;120.0;27.0;1.0;2.0;2.0;2.0;2.0;;;4.0;;;;880.0
Oude Pekela-G0038;33;;2799;748;387;94;10.0;891.0;56.0;16.0;26.0;19.0;14.0;39.0;4.0;5.0;1.0;;5.0;4.0;;;;;;;691.0
Oudenbosch-G0830;57;;2007;2668;1014;237;7.0;23.0;81.0;;51.0;62.0;33.0;1.0;11.0;50.0;1.0;12.0;2.0;;1.0;;;;;;1093.0
Oudendijk-G0435;1;;111;34;113;17;1.0;8.0;11.0;;5.0;4.0;4.0;1.0;;2.0;1.0;;;;;;;;;;30.0
Oudenhoorn-G0586;9;;355;119;246;43;11.0;8.0;6.0;6.0;;15.0;3.0;2.0;3.0;;;;;;;;;;;;105.0
Ouder-Amstel-G0437;47;;1704;2165;1924;558;80.0;131.0;121.0;13.0;82.0;45.0;91.0;37.0;27.0;26.0;8.0;;7.0;2.0;1.0;;;;;;726.0
Ouderkerk aan den IJssel-G0587;23;;846;604;808;173;860.0;9.0;27.0;26.0;13.0;27.0;12.0;34.0;5.0;3.0;5.0;;;;2.0;;;;;;304.0
Oudewater-G0589;43;;793;1997;805;204;181.0;13.0;62.0;32.0;13.0;29.0;15.0;20.0;11.0;31.0;;2.0;2.0;;;;;;;;436.0
Overasselt-G0271;6;;254;1371;189;85;2.0;3.0;38.0;2.0;20.0;26.0;5.0;;1.0;6.0;6.0;;;;;;;;;;121.0
Pannerden-G0272;6;;353;721;69;24;;3.0;12.0;1.0;1.0;30.0;1.0;;3.0;2.0;3.0;;;1.0;;;;;;;181.0
Papendrecht-G0590;48;;5421;3226;2837;1014;828.0;81.0;168.0;115.0;95.0;43.0;95.0;155.0;49.0;10.0;15.0;7.0;7.0;4.0;1.0;;;;;;1726.0
Peize-G0124;25;;1414;263;750;213;6.0;49.0;50.0;11.0;26.0;99.0;32.0;8.0;10.0;1.0;6.0;;1.0;1.0;1.0;;;;;;314.0
Piershil-G0591;4;;353;129;169;42;129.0;3.0;11.0;5.0;2.0;4.0;2.0;5.0;2.0;;;2.0;;;;;;;;;62.0
Pijnacker-G0594;53;;1720;3843;2171;620;321.0;38.0;144.0;101.0;43.0;35.0;53.0;41.0;43.0;24.0;2.0;5.0;;;1.0;;;;;;710.0
Polsbroek-G0338;4;;86;272;168;4;120.0;;6.0;2.0;2.0;16.0;1.0;6.0;2.0;4.0;;;;;;;;;;;52.0
Poortugal-G0592;111;;6824;1951;1417;692;240.0;201.0;215.0;79.0;82.0;42.0;73.0;47.0;101.0;16.0;11.0;9.0;2.0;10.0;;;5.0;;;;1918.0
Posterholt-G0956;31;;731;921;301;26;3.0;27.0;28.0;;13.0;44.0;14.0;3.0;;20.0;1.0;;26.0;;1.0;;;;;;391.0
Prinsenbeek-G0832;20;;1277;2531;1327;271;;13.0;54.0;7.0;21.0;50.0;29.0;2.0;10.0;12.0;2.0;;3.0;;1.0;;;;;;588.0
Purmerend-G0439;88;;7471;3242;4717;1576;33.0;953.0;509.0;33.0;258.0;84.0;212.0;55.0;99.0;39.0;10.0;;4.0;8.0;6.0;12.0;;;;;2434.0
Putte-G0833;28;;556;560;373;75;1.0;2.0;15.0;;4.0;36.0;17.0;1.0;8.0;11.0;;4.0;3.0;1.0;2.0;;;;;;383.0
Putten-G0273;54;;1843;4243;1913;362;1852.0;52.0;83.0;130.0;29.0;347.0;75.0;259.0;16.0;12.0;10.0;;3.0;2.0;;;1.0;;;;735.0
Puttershoek-G0593;23;;1429;790;652;180;236.0;15.0;12.0;25.0;6.0;9.0;21.0;7.0;11.0;;2.0;1.0;;;2.0;;;;;;299.0
Raalte-G0177;26;;2294;9354;1162;524;16.0;29.0;183.0;45.0;46.0;182.0;50.0;27.0;14.0;66.0;29.0;;2.0;;1.0;;;;;;975.0
Raamsdonk-G0834;59;;2335;2563;884;215;74.0;25.0;60.0;12.0;26.0;58.0;12.0;6.0;6.0;24.0;5.0;2.0;1.0;1.0;;;;;;;1046.0
Rauwerderhem-G0087;8;;639;483;313;107;2.0;13.0;27.0;4.0;18.0;11.0;21.0;3.0;2.0;2.0;;1.0;;;1.0;;;;;;147.0
Ravenstein-G0835;21;;1138;2458;396;138;;14.0;34.0;;31.0;42.0;8.0;2.0;1.0;18.0;74.0;2.0;;1.0;1.0;;;;;;463.0
Reeuwijk-G0595;35;;1117;1596;1521;316;276.0;32.0;65.0;46.0;22.0;28.0;43.0;27.0;18.0;25.0;3.0;1.0;1.0;;2.0;;;;;;514.0
Reimerswaal-G0703;42;;2927;2872;1628;421;2638.0;34.0;106.0;174.0;33.0;116.0;59.0;132.0;40.0;13.0;4.0;;;2.0;;;;;;;1499.0
Renkum-G0274;96;;6223;7541;5676;1310;324.0;157.0;458.0;157.0;176.0;133.0;192.0;115.0;49.0;73.0;57.0;;4.0;2.0;6.0;;5.0;;;;2261.0
Renswoude-G0339;0;;270;720;323;55;171.0;4.0;47.0;18.0;12.0;86.0;16.0;25.0;6.0;1.0;;;;;1.0;;;;;;214.0
Reusel-G0836;16;;626;2556;341;110;1.0;6.0;43.0;;14.0;37.0;14.0;;4.0;21.0;1.0;1.0;;;;;;;;;687.0
Rheden-G0275;127;;12234;8851;6619;1842;168.0;165.0;492.0;248.0;249.0;187.0;215.0;123.0;79.0;90.0;44.0;;4.0;3.0;6.0;;3.0;;;;3089.0
Rhenen-G0340;59;;3343;2418;2058;474;1373.0;39.0;98.0;99.0;49.0;101.0;51.0;132.0;19.0;8.0;23.0;3.0;4.0;1.0;;;;;;;1065.0
Rhoon-G0596;20;;1083;1460;1309;278;79.0;14.0;56.0;22.0;9.0;9.0;27.0;26.0;19.0;10.0;1.0;1.0;;1.0;;;1.0;;;;373.0
Ridderkerk-G0597;130;;11031;5840;4049;1377;2823.0;190.0;254.0;319.0;153.0;81.0;149.0;238.0;141.0;16.0;17.0;25.0;8.0;9.0;3.0;;2.0;;;;3042.0
Riethoven-G0837;4;;120;765;261;49;1.0;3.0;13.0;;8.0;7.0;8.0;1.0;3.0;1.0;4.0;;1.0;;;;;;;;97.0
Rijnsaterwoude-G0601;8;;138;274;177;38;46.0;8.0;10.0;4.0;1.0;15.0;2.0;9.0;1.0;4.0;;1.0;1.0;;;;;;;;38.0
Rijnsburg-G0602;55;;728;3669;1004;175;196.0;11.0;31.0;312.0;18.0;30.0;13.0;182.0;5.0;3.0;;1.0;2.0;;3.0;;;;;;450.0
Rijsbergen-G0841;23;;568;1624;485;82;;7.0;31.0;;7.0;64.0;11.0;1.0;3.0;9.0;;3.0;1.0;;;;;;;;502.0
Rijssen-G0178;58;;2017;3073;731;243;4930.0;17.0;51.0;105.0;24.0;155.0;25.0;602.0;22.0;19.0;1.0;;;1.0;1.0;;;;;;845.0
Rijswijk-G0603;166;;9283;8918;10781;3136;269.0;237.0;591.0;207.0;306.0;122.0;529.0;168.0;227.0;143.0;58.0;24.0;8.0;23.0;4.0;;;;;;3943.0
Rockanje-G0598;41;;1182;732;1040;239;29.0;47.0;30.0;16.0;15.0;55.0;30.0;18.0;14.0;;4.0;6.0;4.0;;;;1.0;;;;359.0
Roden-G0125;32;;3999;2230;2241;754;24.0;114.0;167.0;178.0;59.0;182.0;59.0;53.0;18.0;6.0;14.0;;2.0;2.0;6.0;;;;;;848.0
Roermond-G0957;234;;5769;7464;3768;700;11.0;137.0;487.0;19.0;123.0;275.0;104.0;19.0;49.0;229.0;22.0;;54.0;7.0;7.0;;;;;;5314.0
Roggel-G0958;17;;346;1433;282;51;;6.0;42.0;1.0;15.0;55.0;9.0;2.0;1.0;47.0;1.0;;7.0;;1.0;;;;;;355.0
Rolde-G0126;15;;1483;416;1337;243;7.0;12.0;82.0;21.0;36.0;40.0;33.0;3.0;13.0;2.0;5.0;;1.0;1.0;4.0;;;;;;423.0
Roosendaal en Nispen-G0838;277;;9717;12086;5489;1399;18.0;123.0;323.0;24.0;151.0;419.0;160.0;19.0;117.0;138.0;42.0;58.0;15.0;8.0;4.0;;;;;;5697.0
Roosteren-G0959;8;;281;498;95;23;;1.0;12.0;;5.0;10.0;;1.0;1.0;10.0;1.0;;4.0;;;;;;;;108.0
Rosmalen-G0839;91;;2843;4989;2360;702;11.0;29.0;171.0;17.0;77.0;103.0;65.0;4.0;13.0;67.0;74.0;12.0;1.0;5.0;3.0;;;;;;1965.0
Rossum-G0276;4;;603;700;293;54;18.0;11.0;24.0;2.0;7.0;23.0;7.0;;1.0;6.0;1.0;;3.0;;;;;;;;184.0
Rotterdam-G0599;2087;;203181;58986;48584;18280;6216.0;8485.0;4927.0;2366.0;3608.0;1268.0;2845.0;1491.0;3894.0;1024.0;671.0;514.0;136.0;276.0;144.0;;35.0;;;;68623.0
Rozenburg-G0600;40;;3416;1769;1317;499;79.0;87.0;134.0;125.0;37.0;37.0;39.0;31.0;51.0;4.0;21.0;1.0;;9.0;2.0;;2.0;;;;1156.0
Rozendaal-G0277;0;;143;257;454;84;3.0;2.0;49.0;5.0;5.0;3.0;7.0;8.0;1.0;3.0;1.0;;;;;;1.0;;;;27.0
Rucphen-G0840;122;;4147;4134;1174;216;5.0;29.0;71.0;5.0;34.0;307.0;31.0;6.0;14.0;41.0;7.0;24.0;1.0;2.0;;;;;;;2862.0
Ruinen-G0127;28;;1669;890;1357;177;20.0;17.0;55.0;32.0;12.0;90.0;32.0;18.0;19.0;4.0;10.0;;3.0;1.0;1.0;;;;;;141.0
Ruinerwold-G0128;8;;621;562;693;101;5.0;3.0;28.0;54.0;12.0;44.0;15.0;2.0;4.0;2.0;5.0;;1.0;1.0;2.0;;;;;;116.0
Ruurlo-G0278;26;;1440;1435;1221;181;7.0;17.0;34.0;15.0;8.0;105.0;28.0;6.0;3.0;21.0;5.0;;1.0;;1.0;;;;;;488.0
Sas van Gent-G0704;29;;1966;1633;854;175;32.0;26.0;74.0;15.0;18.0;56.0;23.0;3.0;15.0;30.0;17.0;;3.0;1.0;;;;;;;913.0
Sassenheim-G0604;48;;1237;3653;1770;404;68.0;33.0;113.0;30.0;35.0;43.0;40.0;31.0;18.0;48.0;10.0;3.0;4.0;;2.0;;;;;;612.0
Schaesberg-G0960;97;;3846;3489;1405;364;6.0;198.0;234.0;10.0;57.0;98.0;46.0;6.0;44.0;59.0;71.0;;11.0;4.0;4.0;;;;;;1741.0
Schagen-G0441;49;;2978;1733;2698;781;12.0;149.0;146.0;27.0;99.0;29.0;109.0;24.0;8.0;22.0;3.0;;2.0;;1.0;4.0;;;;;1053.0
Schaijk-G0843;29;;722;2473;450;156;1.0;8.0;29.0;1.0;27.0;33.0;4.0;3.0;1.0;15.0;47.0;;;1.0;;;;;;;458.0
Scheemda-G0039;27;;2421;1271;550;119;17.0;388.0;47.0;63.0;35.0;17.0;32.0;30.0;11.0;1.0;9.0;;1.0;2.0;;;;;;;494.0
Schelluinen-G0605;5;;243;105;162;38;62.0;5.0;7.0;3.0;1.0;3.0;7.0;20.0;;1.0;1.0;;;;;;;;;;64.0
Schermer-G0458;17;;781;724;548;131;17.0;40.0;42.0;5.0;36.0;21.0;20.0;3.0;5.0;7.0;1.0;;1.0;;;2.0;;;;;202.0
Scherpenzeel-G0279;10;;1046;1498;1047;143;519.0;5.0;30.0;35.0;12.0;53.0;17.0;127.0;5.0;3.0;1.0;;;3.0;;;;;;;352.0
Schiedam-G0606;229;;24445;10729;6383;2532;545.0;1035.0;739.0;140.0;390.0;147.0;249.0;348.0;371.0;180.0;78.0;26.0;11.0;25.0;10.0;;4.0;;;;6581.0
Schiermonnikoog-G0088;4;;236;351;219;92;2.0;6.0;43.0;20.0;25.0;1.0;10.0;7.0;2.0;2.0;1.0;;;1.0;;;;;;;
Schijndel-G0844;65;;3082;4901;1267;435;5.0;36.0;146.0;4.0;55.0;181.0;34.0;3.0;22.0;75.0;121.0;21.0;2.0;4.0;4.0;;;;;;1855.0
Schimmert-G0961;11;;348;1125;290;59;1.0;8.0;35.0;;15.0;34.0;4.0;1.0;1.0;24.0;3.0;;3.0;;1.0;;;;;;241.0
Schinnen-G0962;38;;1099;1681;548;106;2.0;20.0;69.0;4.0;34.0;33.0;10.0;2.0;3.0;35.0;10.0;;13.0;2.0;2.0;;;;;;561.0
Schinveld-G0963;29;;818;1355;279;47;;24.0;110.0;1.0;17.0;59.0;15.0;;6.0;99.0;6.0;;10.0;3.0;1.0;;;;;;415.0
Schipluiden-G0607;17;;497;2651;824;213;51.0;7.0;60.0;30.0;15.0;10.0;30.0;12.0;9.0;38.0;2.0;;;;;;;;;;196.0
Schoonebeek-G0129;13;;1274;2578;306;70;6.0;20.0;44.0;13.0;13.0;48.0;11.0;3.0;2.0;19.0;5.0;;2.0;;4.0;;;;;;596.0
Schoonhoven-G0608;51;;1927;1974;1349;423;350.0;38.0;130.0;43.0;68.0;32.0;53.0;41.0;29.0;13.0;19.0;1.0;4.0;4.0;1.0;;;;;;581.0
Schoonrewoerd-G0609;3;;126;291;114;29;222.0;2.0;5.0;9.0;;27.0;4.0;24.0;;;1.0;;;;;;;;;;80.0
Schoorl-G0444;43;;1238;988;1219;363;7.0;47.0;85.0;8.0;54.0;38.0;36.0;10.0;12.0;19.0;2.0;;3.0;3.0;4.0;2.0;;;;;161.0
Sevenum-G0964;35;;578;2482;410;102;;5.0;57.0;;28.0;23.0;5.0;;2.0;63.0;7.0;;;;1.0;;;;;;445.0
's-Graveland-G0390;32;;1344;1731;1466;552;112.0;38.0;82.0;45.0;41.0;31.0;39.0;39.0;14.0;20.0;2.0;;2.0;1.0;1.0;;;;;;574.0
's-Gravendeel-G0517;20;;1856;1336;732;206;317.0;16.0;32.0;47.0;10.0;10.0;20.0;46.0;11.0;1.0;1.0;3.0;;;;;2.0;;;;445.0
's-Gravenhage-G0518;1439;;110770;62658;71455;19842;3318.0;5130.0;4458.0;1370.0;2801.0;1225.0;4839.0;1169.0;3985.0;1045.0;1194.0;173.0;130.0;80.0;135.0;;49.0;;89.0;;55632.0
's-Gravenmoer-G0787;7;;227;652;153;38;35.0;1.0;10.0;11.0;4.0;14.0;1.0;32.0;;;5.0;;1.0;;;;;;;;95.0
's-Gravenzande-G0519;61;;2081;3772;2430;382;453.0;25.0;79.0;89.0;30.0;60.0;51.0;136.0;39.0;11.0;5.0;;;;1.0;;;;;;903.0
's-Hertogenbosch-G0796;294;;18293;16321;7310;3109;32.0;472.0;1009.0;129.0;689.0;311.0;255.0;40.0;219.0;280.0;325.0;58.0;27.0;13.0;23.0;;;;;;10695.0
Sijbekarspel-G0447;11;;288;361;295;82;;9.0;21.0;;10.0;7.0;9.0;;2.0;13.0;;;;;1.0;;;;;;127.0
Simpelveld-G0965;43;;1075;1911;644;77;5.0;30.0;82.0;4.0;23.0;36.0;17.0;;9.0;47.0;6.0;;6.0;2.0;;;;;;;428.0
Sint Geertruid-G0966;11;;152;542;93;25;;6.0;10.0;;6.0;9.0;3.0;;1.0;14.0;1.0;;1.0;1.0;;;;;;;70.0
Sint Maarten-G0445;12;;351;319;265;91;3.0;13.0;17.0;;17.0;13.0;11.0;3.0;3.0;3.0;2.0;;;;1.0;;;;;;124.0
Sint Odiliënberg-G0967;19;;485;879;411;61;;5.0;34.0;1.0;8.0;30.0;5.0;1.0;5.0;36.0;;;6.0;3.0;3.0;;;;;;318.0
Sint Pancras-G0446;19;;848;961;712;242;17.0;59.0;66.0;14.0;23.0;34.0;15.0;40.0;7.0;5.0;;;;;1.0;;;;;;168.0
Sint Philipsland-G0712;4;;282;298;133;31;630.0;5.0;3.0;16.0;2.0;9.0;;11.0;;;;;;;;;;;;;91.0
Sint-Michielsgestel-G0845;48;;1968;2998;1043;331;4.0;37.0;81.0;12.0;35.0;97.0;39.0;6.0;15.0;55.0;14.0;1.0;1.0;;;;;;;;914.0
Sint-Oedenrode-G0846;41;;2054;4829;983;297;3.0;38.0;154.0;3.0;36.0;101.0;22.0;6.0;10.0;30.0;31.0;16.0;1.0;2.0;1.0;;;;;;835.0
Sittard-G0968;194;;6408;7259;2810;716;10.0;262.0;588.0;10.0;192.0;145.0;83.0;12.0;29.0;155.0;32.0;;60.0;8.0;8.0;;;;;;4489.0
Sleen-G0130;27;;2665;1137;1062;153;13.0;171.0;56.0;27.0;23.0;49.0;28.0;26.0;2.0;10.0;4.0;;2.0;;1.0;;;;;;383.0
Slenaken-G0969;3;;147;245;97;20;1.0;5.0;6.0;4.0;1.0;5.0;3.0;3.0;2.0;6.0;1.0;;;;;;;;;;
Sliedrecht-G0610;87;;5605;2428;1740;641;2317.0;105.0;118.0;156.0;54.0;72.0;62.0;199.0;38.0;7.0;7.0;11.0;5.0;4.0;6.0;;1.0;;;;1661.0
Slochteren-G0040;67;;3388;1593;1581;242;14.0;149.0;97.0;750.0;88.0;113.0;35.0;96.0;41.0;12.0;4.0;;4.0;;1.0;;;;;;1312.0
Sloten (F)-G0089;1;;77;250;54;20;4.0;1.0;3.0;9.0;3.0;2.0;3.0;16.0;1.0;4.0;;;;;;;;;;;
Sluis-G0713;14;;627;552;535;53;6.0;5.0;27.0;8.0;6.0;37.0;6.0;3.0;8.0;16.0;1.0;;;3.0;;;;;;;248.0
Smallingerland-G0090;123;;10799;9665;2679;1135;163.0;568.0;382.0;945.0;188.0;147.0;102.0;376.0;56.0;16.0;11.0;6.0;3.0;3.0;4.0;;;;;;2635.0
Smilde-G0131;27;;1724;2018;570;143;14.0;20.0;66.0;117.0;23.0;39.0;18.0;64.0;41.0;3.0;5.0;;2.0;3.0;1.0;;;;;;519.0
Sneek-G0091;85;;6360;6279;2119;932;53.0;323.0;249.0;134.0;100.0;76.0;133.0;130.0;35.0;31.0;7.0;11.0;4.0;4.0;1.0;;;;;;1933.0
Snelrewaard-G0341;4;;33;238;79;14;43.0;;1.0;;1.0;3.0;1.0;4.0;1.0;4.0;;;;;;;;;;;32.0
Soest-G0342;188;;5077;7799;7805;1854;347.0;138.0;346.0;191.0;160.0;204.0;267.0;255.0;69.0;76.0;47.0;19.0;35.0;3.0;4.0;;;;;;3064.0
Someren-G0847;55;;1188;5604;974;279;3.0;17.0;149.0;1.0;30.0;90.0;14.0;1.0;5.0;52.0;7.0;5.0;4.0;2.0;1.0;;;;;;1315.0
Son en Breugel-G0848;13;;1335;3275;2342;656;2.0;12.0;141.0;19.0;52.0;71.0;58.0;5.0;5.0;12.0;8.0;2.0;1.0;;;;;;;;850.0
Spaubeek-G0970;26;;578;900;365;58;;10.0;37.0;2.0;3.0;22.0;21.0;2.0;6.0;12.0;1.0;;3.0;;1.0;;;;;;398.0
Spijkenisse-G0612;84;;9034;3097;3360;1401;258.0;204.0;230.0;83.0;122.0;59.0;110.0;80.0;107.0;11.0;74.0;6.0;8.0;5.0;1.0;;1.0;;;;2494.0
Sprang-Capelle-G0849;42;;879;1871;641;129;699.0;26.0;48.0;33.0;16.0;137.0;24.0;71.0;13.0;8.0;2.0;7.0;;1.0;1.0;;;;;;654.0
Stad Delden-G0179;15;;891;2150;875;222;7.0;5.0;54.0;15.0;26.0;33.0;28.0;9.0;5.0;21.0;6.0;;;1.0;;;;;;;323.0
Stadskanaal-G0037;131;;8109;7228;1866;434;95.0;565.0;173.0;664.0;76.0;142.0;70.0;543.0;33.0;73.0;12.0;;7.0;9.0;2.0;;;;;;2781.0
Standdaarbuiten-G0850;9;;396;813;242;56;3.0;7.0;14.0;1.0;1.0;9.0;7.0;;;9.0;;1.0;1.0;1.0;1.0;;;;;;149.0
Staphorst-G0180;27;;805;1454;756;109;2183.0;12.0;25.0;644.0;14.0;415.0;15.0;349.0;9.0;2.0;2.0;;;1.0;;;;;;;356.0
Stavoren-G0092;6;;127;301;84;29;3.0;2.0;8.0;;3.0;2.0;3.0;3.0;1.0;;;;;1.0;;;;;;;63.0
Stedum-G0041;5;;374;605;101;24;3.0;14.0;21.0;67.0;19.0;7.0;1.0;12.0;;;1.0;;1.0;2.0;1.0;;;;;;126.0
Steenbergen-G0851;70;;3087;2911;1266;287;17.0;37.0;55.0;4.0;43.0;128.0;24.0;2.0;14.0;53.0;1.0;9.0;2.0;3.0;;;;;;;1267.0
Steenderen-G0280;8;;582;1648;388;99;18.0;2.0;31.0;2.0;3.0;44.0;3.0;16.0;3.0;16.0;4.0;;;1.0;;;1.0;;;;199.0
Steenwijk-G0181;27;;5106;4440;1977;564;63.0;92.0;236.0;215.0;86.0;140.0;72.0;95.0;11.0;15.0;9.0;;1.0;;2.0;;;;;;1223.0
Stein-G0971;76;;2444;3035;1043;259;6.0;51.0;110.0;;45.0;80.0;39.0;4.0;21.0;78.0;8.0;;63.0;5.0;1.0;;;;;;1398.0
Stevensweert-G0972;12;;202;541;135;24;1.0;9.0;11.0;2.0;4.0;26.0;4.0;1.0;5.0;10.0;2.0;;3.0;;;;;;;;78.0
Stolwijk-G0615;45;;860;388;691;118;446.0;11.0;20.0;2.0;9.0;51.0;14.0;9.0;6.0;1.0;1.0;;;;;;;;;;207.0
Stramproy-G0973;19;;516;1435;361;53;;6.0;33.0;1.0;33.0;31.0;7.0;2.0;4.0;18.0;1.0;;12.0;;;;;;;;342.0
Streefkerk-G0616;19;;363;366;254;63;287.0;5.0;10.0;12.0;4.0;16.0;13.0;6.0;7.0;1.0;;;;;;;;;;;102.0
Strijen-G0617;26;;1973;1016;1109;223;283.0;30.0;53.0;40.0;36.0;27.0;30.0;70.0;18.0;;4.0;;;5.0;;;;;;;481.0
