RegioNaam;@invalid;@blank;PvdA;CDA;VVD;D66;SGP;Communistische Partij van Nederland;Politieke Partij Radikalen (PPR);Gereformeerd Politiek Verbond (GPV);Pacifistisch-Socialistische Partij (PSP);Boeren Partij;Democratisch Socialisten '70;Reformatorische Politieke Federatie (RPF);Nederlandse Volks Unie (NVU);Rooms Katholieke Partij Nederland (RKPN);SP;Federatie Bejaardenpartijen Nederland;Verbond tegen Ambtelijke Willekeur;KEN;Democratisch Actie Centrum;Partij van de Belastingbetalers;Europese Conservatieve Unie;Lijst-JUSIA;Nederlandse Middenstands Partij;Lijst-Griek;@abs
Bruinisse-G0657;10;;581;477;373;72;391.0;3.0;16.0;22.0;8.0;16.0;11.0;24.0;7.0;1.0;2.0;;1.0;;;;;;;;121.0
Brummen-G0213;38;;5898;2756;2215;638;43.0;77.0;159.0;49.0;63.0;167.0;95.0;30.0;18.0;19.0;10.0;;1.0;;2.0;;2.0;;;;1087.0
Brunssum-G0899;144;;6203;5972;1455;371;9.0;338.0;303.0;65.0;94.0;101.0;50.0;4.0;28.0;140.0;37.0;;30.0;11.0;6.0;;;;;;2854.0
Budel-G0759;28;;1554;3237;634;215;1.0;9.0;53.0;3.0;31.0;91.0;23.0;;11.0;46.0;2.0;16.0;11.0;;1.0;;;;;;1190.0
Bunde-G0900;9;;661;1329;590;111;;17.0;48.0;;9.0;16.0;15.0;;7.0;24.0;4.0;;4.0;1.0;;;;;;;349.0
Bunnik-G0312;30;;1450;3082;2019;676;174.0;45.0;218.0;35.0;97.0;27.0;58.0;31.0;11.0;35.0;17.0;2.0;1.0;;;;;;;;462.0
Bunschoten-G0313;94;;782;3117;1177;260;323.0;15.0;47.0;2484.0;13.0;41.0;20.0;699.0;11.0;6.0;3.0;4.0;7.0;;2.0;;;;;;619.0
Buren-G0214;7;;767;445;410;111;89.0;7.0;24.0;11.0;5.0;23.0;14.0;9.0;1.0;3.0;3.0;;2.0;;1.0;;;;;;177.0
Bussum-G0381;251;;5720;6400;7691;1974;242.0;280.0;471.0;159.0;309.0;126.0;303.0;163.0;88.0;149.0;16.0;;12.0;7.0;4.0;;;;;;2915.0
Buurmalsen-G0215;9;;672;526;368;92;185.0;6.0;22.0;9.0;14.0;29.0;12.0;11.0;1.0;1.0;;;;;;;;;;;135.0
Cadier en Keer-G0901;19;;413;1013;475;86;;11.0;33.0;1.0;5.0;15.0;8.0;1.0;5.0;23.0;1.0;;3.0;;;;;;;;248.0
Callantsoog-G0382;6;;553;254;624;113;;33.0;7.0;7.0;6.0;23.0;20.0;3.0;3.0;2.0;2.0;;2.0;;1.0;;;;;;68.0
Capelle aan den IJssel-G0502;152;;8949;3599;5070;1938;1746.0;188.0;244.0;489.0;147.0;53.0;161.0;129.0;151.0;22.0;17.0;8.0;1.0;8.0;7.0;;;;;;3280.0
Castricum-G0383;66;;3482;4335;3688;1334;15.0;101.0;429.0;28.0;155.0;68.0;151.0;21.0;25.0;57.0;6.0;;6.0;3.0;4.0;5.0;;;;;1251.0
Chaam-G0760;21;;398;1163;418;92;8.0;5.0;25.0;3.0;10.0;61.0;9.0;4.0;5.0;4.0;;3.0;1.0;;;;;;;;63.0
Coevorden-G0109;35;;3191;3093;1051;287;17.0;25.0;75.0;49.0;23.0;49.0;36.0;23.0;9.0;33.0;16.0;;5.0;3.0;4.0;;;;;;854.0
Cothen-G0314;4;;270;746;195;33;32.0;6.0;11.0;2.0;17.0;1.0;4.0;2.0;;7.0;;;;;;;;;;;109.0
