RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;SGP-GPV-RPF;GL;DG;SP;Centrumdemocraten;Een Betere Toekomst;Lijst de Groen;@abs
Scheemda-G0039;30;;1154;1613;422;255;290.0;112;203;53.0;35.0;9.0;4.0;6529
Schermer-G0458;3;;514;356;332;143;13.0;43;41;6.0;14.0;3.0;1.0;2256
Scherpenzeel-G0279;3;;915;453;532;186;962.0;30;30;;20.0;9.0;4.0;3368
Schiedam-G0606;40;;4035;4676;2525;2081;659.0;625;328;259.0;395.0;77.0;25.0;39157
Schiermonnikoog-G0088;0;;148;115;100;59;22.0;11;23;1.0;1.0;;;326
Schijndel-G0844;12;;2276;1086;645;441;14.0;75;52;492.0;40.0;17.0;6.0;11767
Schinnen-G0962;21;;2551;758;414;691;50.0;237;32;51.0;35.0;14.0;5.0;6062
Schipluiden-G0607;6;;1537;290;624;255;133.0;65;34;12.0;11.0;4.0;1.0;3539
Schoonebeek-G0129;6;;1140;453;171;151;31.0;17;40;11.0;10.0;4.0;;3799
Schoonhoven-G0608;12;;1023;765;663;511;540.0;125;70;21.0;44.0;25.0;1.0;5165
Schoorl-G0444;8;;554;608;529;304;27.0;80;92;46.0;33.0;4.0;2.0;3044
Sevenum-G0964;1;;1290;216;192;218;11.0;24;25;30.0;8.0;5.0;;3352
's-Graveland-G0390;3;;891;555;731;368;167.0;83;84;13.0;25.0;10.0;2.0;4345
's-Gravendeel-G0517;12;;716;639;420;215;442.0;35;22;15.0;32.0;1.0;;4080
's-Gravenhage-G0518;496;;21348;23881;25702;13354;3764.0;4134;2892;1325.0;2119.0;364.0;195.0;227396
's-Gravenmoer-G0787;0;;288;66;119;68;110.0;11;6;6.0;4.0;2.0;1.0;999
's-Gravenzande-G0519;6;;2131;540;1384;294;609.0;54;56;6.0;33.0;3.0;1.0;8953
's-Hertogenbosch-G0796;38;;6663;5258;3061;2697;329.0;1291;522;595.0;307.0;50.0;31.0;52723
Simpelveld-G0965;0;;1860;688;247;376;19.0;71;44;64.0;30.0;17.0;7.0;6118
Sint Philipsland-G0712;1;;106;69;57;36;447.0;8;13;10.0;2.0;;;1017
Sint-Michielsgestel-G0845;17;;1387;718;518;447;33.0;78;59;57.0;16.0;14.0;8.0;6180
Sint-Oedenrode-G0846;20;;2481;905;587;559;20.0;88;61;70.0;29.0;12.0;9.0;7932
Sittard-G0968;77;;5572;2297;1438;1593;82.0;1226;97;145.0;139.0;50.0;39.0;24265
Skarsterlân-G0051;20;;3162;2011;1011;621;300.0;114;290;34.0;36.0;6.0;16.0;11317
Sleen-G0130;9;;685;1036;542;207;92.0;38;91;14.0;18.0;9.0;;4071
Sliedrecht-G0610;14;;1223;1448;699;547;2449.0;75;44;32.0;77.0;9.0;4.0;11221
Slochteren-G0040;7;;760;1208;570;338;872.0;96;258;24.0;26.0;8.0;4.0;6693
Sluis-G0713;5;;253;184;324;120;18.0;12;29;6.0;13.0;8.0;3.0;1419
Smallingerland-G0090;41;;5377;5089;1672;1325;1977.0;522;371;140.0;68.0;20.0;21.0;21644
Smilde-G0131;6;;1097;769;348;234;206.0;62;83;16.0;17.0;6.0;4.0;4309
Sneek-G0091;18;;2764;2322;1033;738;355.0;207;155;36.0;28.0;7.0;11.0;15035
Soest-G0342;46;;3866;2126;3554;1575;888.0;301;287;53.0;106.0;19.0;30.0;18935
Someren-G0847;16;;2559;590;633;398;27.0;78;43;27.0;42.0;17.0;;8891
Son en Breugel-G0848;12;;1802;644;1201;691;52.0;87;96;18.0;22.0;20.0;13.0;6725
Spijkenisse-G0612;50;;2272;3749;2979;2107;687.0;348;197;263.0;276.0;72.0;19.0;38767
Sprang-Capelle-G0849;6;;730;288;439;197;774.0;28;28;20.0;40.0;5.0;1.0;4848
St.Anthonis-G1691;16;;2402;555;398;273;16.0;74;35;22.0;12.0;8.0;1.0;4484
Stad Delden-G0179;9;;1279;437;673;276;40.0;31;39;21.0;12.0;7.0;29.0;2982
Stadskanaal-G0037;21;;3125;2462;812;549;1455.0;127;227;59.0;39.0;15.0;10.0;17008
Standdaarbuiten-G0850;0;;287;133;133;83;10.0;20;13;1.0;15.0;1.0;1.0;1536
Staphorst-G0180;3;;844;360;472;143;3172.0;20;19;18.0;19.0;6.0;1.0;4681
Stede Broec-G0532;13;;1591;1139;822;598;104.0;161;96;32.0;69.0;17.0;2.0;9527
Steenbergen-G0851;18;;1167;641;670;357;20.0;54;77;19.0;42.0;8.0;3.0;8377
Steenderen-G0280;4;;866;328;261;125;33.0;23;53;5.0;9.0;3.0;3.0;1842
Steenwijk-G0181;16;;2099;1997;1018;581;542.0;186;118;51.0;54.0;24.0;9.0;9737
Stein-G0971;49;;3225;1342;732;1033;44.0;319;62;94.0;87.0;34.0;12.0;14220
Stramproy-G0973;6;;953;233;139;147;5.0;27;6;20.0;14.0;2.0;2.0;2344
Strijen-G0617;13;;597;696;590;198;364.0;56;46;12.0;19.0;10.0;2.0;4132
Susteren-G0974;30;;2128;692;311;481;19.0;145;27;25.0;36.0;20.0;5.0;6545
Swalmen-G0975;7;;1191;466;253;263;12.0;92;11;15.0;33.0;5.0;4.0;4210
Tegelen-G0976;12;;2400;900;458;527;31.0;95;49;52.0;166.0;20.0;6.0;9432
Ten Boer-G0009;2;;800;593;232;200;562.0;46;117;14.0;12.0;2.0;;2395
Ter Aar-G0480;13;;1222;321;501;258;134.0;43;32;10.0;15.0;17.0;5.0;4177
Terheijden-G0853;8;;929;563;426;490;22.0;51;57;19.0;32.0;9.0;1.0;3937
Terneuzen-G0715;42;;1931;1416;1300;1566;1594.0;164;119;59.0;142.0;26.0;4.0;18724
Terschelling-G0093;1;;445;502;458;216;42.0;80;84;22.0;10.0;;;2010
Teteringen-G0854;5;;793;286;452;256;16.0;39;35;12.0;17.0;10.0;6.0;2427
Texel-G0448;13;;1364;1139;872;462;160.0;220;151;27.0;14.0;11.0;6.0;5551
Tholen-G0716;0;;924;813;710;336;2243.0;42;40;54.0;37.0;3.0;4.0;9558
Thorn-G0977;7;;489;175;64;104;8.0;21;15;3.0;3.0;5.0;;1220
Tiel-G0281;10;;1576;1966;1472;923;269.0;214;151;79.0;83.0;6.0;16.0;17544
Tilburg-G0855;66;;11975;7693;4343;4499;322.0;2083;689;1826.0;457.0;138.0;75.0;91405
Tubbergen-G0183;21;;5037;437;528;304;37.0;28;66;16.0;51.0;9.0;34.0;7722
Tytsjerksteradiel-G0737;24;;3894;2236;1119;700;753.0;156;284;54.0;22.0;16.0;12.0;13829
Ubbergen-G0282;8;;1235;658;477;321;16.0;161;103;20.0;11.0;5.0;3.0;4547
Uden-G0856;11;;3784;1466;1653;958;63.0;125;102;584.0;37.0;19.0;11.0;18985
Udenhout-G0857;0;;1136;407;305;225;5.0;46;22;17.0;23.0;15.0;4.0;4499
Uitgeest-G0450;7;;807;698;553;396;30.0;133;96;22.0;17.0;12.0;2.0;4899
Uithoorn-G0451;10;;1992;1435;2152;921;150.0;242;150;46.0;60.0;21.0;10.0;11761
