RegioNaam;@invalid;@blank;VVD;D66;PVV;CDA;SP;PvdA;GL;FvD;PvdD;CU;Volt;JA21;SGP;DENK;50+;BBB;BIJ1;CO;NIDA;Splinter;PPNL;JONG;ToN;LHK;NLBeter;Blanco;LP;OPRECHT;JEZUS LEEFT;DFP;UCF;VSN;PvdE;WZNL;PvdR;MN;DG;@abs
Harderwijk-G0243;50;46;7162;3611;2695;3536;1085;1128;1107;1337;865;3032;436;800;744;1016;184;220.0;72;88;73;74.0;55;48.0;50.0;19.0;21.0;40.0;10;9.0;19.0;;1.0;;;;;;;6910.0
Hardinxveld-Giessendam-G0523;13;1;2041;584;1045;1237;346;459;141;609;184;2034;71;262;2335;34;83;58.0;6;26;12;16.0;17;16.0;;7.0;8.0;9.0;3;4.0;24.0;;;;;5.0;;0.0;;2128.0
Harlingen-G0072;9;20;1956;1101;1285;1202;820;941;338;666;449;347;136;220;62;11;130;79.0;24;33;7;23.0;25;11.0;17.0;8.0;4.0;;5;10.0;8.0;;;4.0;;;4.0;;1.0;2590.0
Hattem-G0244;13;6;1501;1022;607;1140;378;616;284;308;197;1398;122;145;169;28;42;55.0;9;8;4;18.0;7;4.0;4.0;3.0;7.0;11.0;3;0.0;2.0;;0.0;;;;;;;1377.0
Heemskerk-G0396;49;38;5802;3571;2799;2237;1608;1412;1181;1463;999;347;419;662;57;364;337;127.0;86;122;52;91.0;42;51.0;72.0;24.0;37.0;;7;4.0;;25.0;0.0;4.0;;4.0;;;;6650.0
Heemstede-G0397;19;11;5634;4401;913;1422;578;866;940;449;840;241;829;386;30;57;132;10.0;55;36;12;33.0;20;20.0;21.0;18.0;13.0;;10;5.0;;4.0;0.0;8.0;;0.0;;;;2611.0
Heerde-G0246;23;18;2399;1087;1338;1914;547;669;347;555;303;1799;124;225;423;32;94;209.0;10;27;3;20.0;7;14.0;23.0;3.0;4.0;4.0;1;1.0;18.0;;0.0;;;;;;;2690.0
Heerenveen-G0074;61;56;6262;4687;3018;3382;2521;3350;1403;2139;1198;1066;501;576;129;223;255;636.0;76;123;32;88.0;63;55.0;65.0;20.0;31.0;;10;27.0;21.0;;;7.0;;;13.0;;2.0;7879.0
Heerhugowaard-G0398;80;57;8460;4863;3396;2926;2226;1760;1483;2197;1175;662;580;898;84;451;450;269.0;142;230;68;163.0;88;84.0;98.0;38.0;37.0;43.0;27;17.0;22.0;27.0;4.0;;;2.0;;;;10395.0
Heerlen-G0917;559;114;7298;4737;9474;3393;5713;3297;1965;4607;2094;376;609;682;75;681;771;118.0;187;179;113;134.0;146;52.0;108.0;63.0;45.0;95.0;13;20.0;;61.0;;;11.0;10.0;;;;20984.0
Heeze-Leende-G1658;9;23;3340;1769;1056;1409;647;441;394;417;340;117;241;237;4;13;106;156.0;11;37;4;40.0;11;12.0;14.0;12.0;6.0;19.0;4;0.0;1.0;9.0;;;1.0;;;;;2087.0
Heiloo-G0399;23;20;4504;3549;1075;1533;753;1030;981;643;948;274;468;447;32;35;141;86.0;44;48;7;77.0;49;20.0;18.0;17.0;17.0;34.0;11;11.0;6.0;9.0;0.0;;;0.0;;;;2319.0
