RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;Pacifistisch-Socialistische Partij (PSP);Communistische Partij van Nederland;SGP;Politieke Partij Radikalen (PPR);Reformatorische Politieke Federatie (RPF);Gereformeerd Politiek Verbond (GPV);Democratisch Socialisten '70;Evangelische Volkspartij;SP;Rooms Katholieke Partij Nederland;Rechtse Volkspartij;CP;Nederlandse Volks Unie (NVU);Leefbaar Nederland;Samen Overleven of Sterven;Realisten 81;Internationale Kommunistenbond;God Met Ons;Wereld Welzijns Bewustwording;Partij tot Likwidatie van Nederland;De Vrede Partij;Partij van Rijksgenoten;Kleine Partij;Nederlandse Evolutie Partij;@abs
Zijpe-G0476;38;;1518;1454;1348;694;111.0;93.0;8.0;75;9.0;4.0;25.0;10.0;7.0;16.0;16.0;2.0;;4.0;4.0;;2.0;;0.0;;;;;;557.0
Zoetermeer-G0637;269;;8727;11133;9569;6584;627.0;486.0;856.0;666;577.0;188.0;455.0;242.0;132.0;58.0;51.0;;;39.0;23.0;;9.0;;;;;;;;6272.0
Zoeterwoude-G0638;27;;2016;649;962;594;78.0;43.0;30.0;103;20.0;4.0;22.0;19.0;9.0;27.0;9.0;;;6.0;18.0;;;;;;;;;;520.0
Zuid-Beijerland-G0639;5;;627;619;412;217;20.0;18.0;205.0;10;8.0;6.0;11.0;21.0;2.0;1.0;3.0;;;2.0;1.0;;;;;;;;;;207.0
Zuidelijke IJsselmeerpolders-G0996;24;;1086;3043;1526;1559;244.0;487.0;23.0;208;50.0;9.0;56.0;47.0;6.0;3.0;4.0;57.0;51.0;14.0;1.0;13.0;1.0;;;;;;;;1156.0
Zuidhorn-G0056;16;;1136;1018;700;365;59.0;20.0;18.0;97;97.0;769.0;18.0;51.0;;;;2.0;4.0;1.0;2.0;;1.0;;;;;;;;297.0
Zuidlaren-G0136;33;;1317;1819;1611;589;75.0;54.0;15.0;125;117.0;252.0;39.0;84.0;7.0;5.0;22.0;6.0;;4.0;2.0;;2.0;;;;;;;;815.0
Zuidwolde-G0137;19;;2073;1240;1352;580;45.0;17.0;37.0;54;91.0;104.0;20.0;36.0;3.0;6.0;42.0;3.0;;1.0;;1.0;1.0;;;;;;;;508.0
Zundert-G0879;72;;3829;1340;1139;653;82.0;25.0;5.0;61;5.0;2.0;7.0;7.0;5.0;31.0;52.0;1.0;19.0;8.0;4.0;2.0;2.0;;5.0;;;;;;1798.0
Zutphen-G0301;80;;3969;8286;3151;2451;480.0;371.0;61.0;517;170.0;119.0;102.0;110.0;41.0;39.0;26.0;11.0;43.0;15.0;;;8.0;;;;;;;;2547.0
Zwartsluis-G0192;8;;1262;569;323;179;18.0;28.0;88.0;22;133.0;69.0;2.0;18.0;3.0;;5.0;1.0;3.0;;;1.0;1.0;;;;;;;;203.0
Zweeloo-G0138;2;;443;563;586;173;29.0;7.0;;23;18.0;6.0;6.0;16.0;;;2.0;2.0;;3.0;;;;;;;;;;;7.0
Zwijndrecht-G0642;91;;6129;7199;4703;3006;279.0;192.0;922.0;333;556.0;494.0;133.0;205.0;18.0;17.0;40.0;;;28.0;8.0;;3.0;;;;;;;;3299.0
Zwolle-G0193;161;;15109;16760;8456;5763;1089.0;559.0;577.0;1189;1467.0;1426.0;241.0;604.0;237.0;75.0;51.0;25.0;72.0;19.0;11.0;7.0;4.0;;;;;;;;6393.0
