RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;Pacifistisch-Socialistische Partij (PSP);Communistische Partij van Nederland;SGP;Politieke Partij Radikalen (PPR);Reformatorische Politieke Federatie (RPF);Gereformeerd Politiek Verbond (GPV);Democratisch Socialisten '70;Evangelische Volkspartij;SP;Rooms Katholieke Partij Nederland;Rechtse Volkspartij;CP;Nederlandse Volks Unie (NVU);Leefbaar Nederland;Samen Overleven of Sterven;Realisten 81;Internationale Kommunistenbond;God Met Ons;Wereld Welzijns Bewustwording;Partij tot Likwidatie van Nederland;De Vrede Partij;Partij van Rijksgenoten;Kleine Partij;Nederlandse Evolutie Partij;@abs
Huizen-G0406;107;;5196;3249;4683;2386;413.0;216.0;1016.0;307;856.0;109.0;128.0;142.0;15.0;16.0;23.0;;;8.0;1.0;21.0;1.0;;;18.0;1.0;;2.0;0.0;2106.0
Hulsberg-G0924;26;;1315;628;486;330;23.0;13.0;4.0;74;;1.0;8.0;5.0;3.0;18.0;9.0;3.0;7.0;9.0;;;;3.0;0.0;;;;;;280.0
Hulst-G0677;73;;4102;3117;1535;1160;154.0;69.0;14.0;124;14.0;5.0;26.0;16.0;11.0;38.0;36.0;13.0;;12.0;5.0;4.0;2.0;;;;;;;;1924.0
Hummelo en Keppel-G0256;18;;907;732;715;296;34.0;6.0;8.0;42;5.0;5.0;14.0;6.0;2.0;;7.0;3.0;2.0;2.0;;;;0.0;0.0;;;;;;277.0
Hunsel-G0925;26;;1938;509;317;299;25.0;6.0;4.0;41;2.0;;;2.0;4.0;24.0;15.0;2.0;6.0;4.0;;;1.0;0.0;0.0;;;;;;440.0
Idaarderadeel-G0078;22;;850;2940;989;719;116.0;86.0;5.0;134;32.0;7.0;23.0;29.0;1.0;2.0;2.0;3.0;7.0;2.0;3.0;;1.0;;;;;;;;382.0
IJlst-G0102;9;;782;415;207;183;25.0;7.0;5.0;34;26.0;3.0;5.0;15.0;1.0;;2.0;1.0;2.0;1.0;;2.0;;;;;;;;;128.0
IJsselham-G0195;6;;1323;921;552;241;33.0;15.0;15.0;26;65.0;57.0;6.0;24.0;5.0;1.0;11.0;;;;;;;;;;;;;;219.0
IJsselmuiden-G0191;24;;3058;506;530;337;31.0;9.0;1596.0;75;821.0;105.0;6.0;74.0;3.0;15.0;22.0;;13.0;3.0;1.0;;;;;;;;;;461.0
IJsselstein-G0353;60;;3295;2318;1834;1246;179.0;122.0;364.0;228;90.0;24.0;43.0;72.0;16.0;45.0;8.0;48.0;32.0;14.0;2.0;1.0;;;;;0.0;;;;1189.0
Ilpendam-G0407;30;;560;499;423;207;26.0;180.0;6.0;33;14.0;1.0;10.0;4.0;1.0;9.0;6.0;5.0;;1.0;1.0;4.0;1.0;;0.0;;;;;;249.0
Jabeek-G0927;3;;243;144;34;56;14.0;3.0;;8;1.0;;1.0;;1.0;7.0;;;;1.0;;;1.0;0.0;0.0;;;;;;48.0
Jisp-G0408;4;;84;177;160;104;10.0;45.0;1.0;14;;;4.0;2.0;1.0;1.0;2.0;1.0;;4.0;;;;;0.0;;;;;;80.0
Kamerik-G0323;18;;1062;186;273;183;21.0;3.0;255.0;47;98.0;9.0;5.0;14.0;11.0;3.0;1.0;;3.0;;;2.0;1.0;;;;0.0;;;;160.0
Kampen-G0166;54;;6122;4882;1793;1345;338.0;105.0;1311.0;430;1543.0;667.0;47.0;442.0;18.0;28.0;19.0;11.0;23.0;5.0;2.0;1.0;2.0;;;;;;;;2024.0
Kantens-G0020;1;;226;470;174;68;43.0;15.0;6.0;15;10.0;131.0;6.0;12.0;2.0;;4.0;;1.0;1.0;;;;;;;;;;;93.0
Kapelle-G0678;23;;1931;1360;1056;608;27.0;18.0;427.0;105;169.0;37.0;22.0;36.0;5.0;;65.0;6.0;;3.0;3.0;1.0;;;;;;;;;687.0
Katwijk-G0537;143;;8398;3249;3297;1862;193.0;113.0;3605.0;250;713.0;203.0;102.0;184.0;31.0;20.0;23.0;;;19.0;29.0;;7.0;;;;;;;;3593.0
Katwoude-G0409;0;;68;23;58;17;4.0;;3.0;5;4.0;;;1.0;;;1.0;;;;;;;;0.0;;;;;;10.0
Kedichem-G0538;9;;135;220;277;72;5.0;2.0;50.0;9;14.0;1.0;7.0;4.0;;1.0;3.0;;;1.0;;;;;;;;;;;83.0
Kerkrade-G0928;342;;8785;10065;2514;2778;292.0;447.0;32.0;577;15.0;27.0;69.0;25.0;174.0;232.0;86.0;15.0;65.0;274.0;12.0;4.0;7.0;51.0;16.0;;;;;;7219.0
Kerkwijk-G0257;20;;1128;615;420;213;24.0;9.0;947.0;26;80.0;14.0;7.0;12.0;7.0;1.0;5.0;;2.0;3.0;;3.0;1.0;1.0;1.0;;;;;;422.0
Kessel-G0929;17;;1269;388;345;189;21.0;3.0;2.0;37;;;4.0;1.0;3.0;14.0;2.0;2.0;1.0;1.0;;;1.0;2.0;1.0;;;;;;322.0
Kesteren-G0258;29;;1043;1439;649;307;34.0;26.0;1444.0;42;94.0;7.0;16.0;19.0;2.0;;14.0;1.0;2.0;1.0;;1.0;;0.0;0.0;;;;;;530.0
Klaaswaal-G0539;4;;502;670;511;224;26.0;18.0;180.0;35;25.0;12.0;14.0;11.0;2.0;1.0;5.0;;;1.0;1.0;;;;;;;;;;263.0
Klimmen-G0930;17;;1344;452;367;318;25.0;18.0;1.0;85;1.0;6.0;4.0;;2.0;48.0;3.0;;3.0;3.0;;;;13.0;0.0;;;;;;277.0
Kloosterburen-G0021;3;;536;322;132;71;21.0;12.0;3.0;16;11.0;9.0;3.0;6.0;;13.0;2.0;3.0;;;1.0;;;;;;;;;;111.0
Klundert-G0804;18;;1831;734;545;361;18.0;12.0;128.0;45;147.0;18.0;7.0;17.0;1.0;9.0;3.0;5.0;6.0;2.0;1.0;1.0;;;1.0;;;;;;597.0
Kockengen-G0324;7;;914;131;252;146;22.0;9.0;199.0;35;99.0;8.0;4.0;5.0;5.0;2.0;8.0;;1.0;1.0;;;;;;;0.0;;;;130.0
Kollumerland en Nieuwkruisland-G0079;41;;3924;1520;654;453;68.0;52.0;173.0;67;270.0;110.0;19.0;88.0;6.0;4.0;11.0;3.0;5.0;2.0;1.0;2.0;3.0;;;;;;;;776.0
Kortgene-G0682;1;;616;817;473;181;22.0;12.0;147.0;36;17.0;22.0;16.0;17.0;1.0;;7.0;;;;;2.0;;;;;;;;;212.0
Koudekerk aan den Rijn-G0540;13;;1001;508;604;318;40.0;29.0;53.0;46;32.0;11.0;18.0;32.0;2.0;7.0;3.0;;;5.0;3.0;;1.0;;;;;;;;279.0
Krimpen aan de Lek-G0541;26;;604;1418;736;478;43.0;43.0;291.0;30;46.0;22.0;20.0;9.0;14.0;;2.0;;;3.0;;;;;;;;;;;483.0
