RegioNaam;@invalid;@blank;CDA;PvdA;VVD;GL;SGP-GPV-RPF;D66;SP;De Europese Partij;Conservatieve Democraten;Europees Verkiezers Platform Nederland;Lijst Sala;@abs
Oostflakkee-G0580;;10.0;609;607;307;137;677;52;49;12;10;5;8.0;5296
Ooststellingwerf-G0085;;32.0;1951;2107;1185;705;420;234;250;49;26;10;11.0;12625
Oostzaan-G0431;;5.0;186;483;605;233;98;117;68;16;18;9;15.0;4948
Ootmarsum-G0176;;13.0;785;165;243;96;5;29;25;7;5;4;3.0;2102
Opmeer-G0432;;6.0;832;453;571;229;36;103;63;21;7;11;15.0;5680
Opsterland-G0086;;17.0;1941;2152;1185;781;899;296;292;43;12;4;6.0;13800
Oss-G0828;;39.0;4096;2254;2586;1030;92;634;2888;95;95;42;22.0;35221
Oud-Beijerland-G0584;;15.0;891;866;985;579;1273;268;180;37;25;15;10.0;11529
Ouder-Amstel-G0437;;12.0;683;655;970;436;116;284;79;26;14;15;52.0;6314
Ouderkerk-G0644;;12.0;367;409;440;113;852;76;54;8;12;3;2.0;3748
Oudewater-G0589;;8.0;918;353;433;166;433;106;53;6;4;5;5.0;4968
Papendrecht-G0590;;21.0;1472;1321;1475;528;1160;358;213;35;24;16;11.0;15907
Pekela-G0765;;8.0;599;1008;331;398;204;52;126;23;10;1;6.0;7649
Pijnacker-G0594;;46.0;1784;758;1280;601;477;410;158;45;40;18;12.0;10260
Purmerend-G0439;;63.0;1459;3265;2725;1630;256;721;638;121;61;65;211.0;40368
Putten-G0273;;10.0;2237;526;1037;318;2631;146;102;34;29;17;4.0;9485
Raalte-G0177;;13.0;3920;1052;897;513;76;264;208;25;12;5;3.0;14071
Ravenstein-G0835;;9.0;915;395;330;192;7;97;238;14;4;2;6.0;4157
Reeuwijk-G0595;;4.0;798;373;988;241;860;194;48;18;25;11;3.0;6060
Reiderland-G1661;;21.0;132;607;191;143;20;38;206;18;18;3;3.0;4172
Reimerswaal-G0703;;9.0;892;622;567;186;2624;168;141;16;19;30;2.0;9502
Renkum-G0274;;36.0;2466;1958;2780;1450;425;761;320;97;32;33;11.0;14992
Renswoude-G0339;;4.0;351;54;168;16;300;14;24;1;5;6;2.0;1859
Reusel-De Mierden-G1667;;8.0;1244;340;337;131;11;104;75;15;4;5;6.0;6795
Rheden-G0275;;27.0;2671;3030;2789;1678;518;794;562;64;41;34;28.0;23131
Rhenen-G0340;;11.0;914;725;838;405;1193;234;111;29;16;11;13.0;8438
Ridderkerk-G0597;;18.0;2096;2149;1678;689;3058;384;407;54;42;36;5.0;25725
Rijnsburg-G0602;;9.0;1430;271;562;146;889;80;50;9;11;9;2.0;6957
