RegioNaam;@invalid;@blank;KVP;PvdA;VVD;CHU;ARP;Boeren Partij;Pacifistisch-Socialistische Partij (PSP);Communistische Partij van Nederland;SGP;Gereformeerd Politiek Verbond (GPV);Protestants Christelijke Groep;Christelijk Democratische Unie;Partij voor Volkswil en Referendum;Samenwerkende Christelijke Groepering;FNP;Lijst van Rappard;Vrije  Burgers;Lijst Germeaux;Partij voor Volksbelang en Volksstemming;@abs
Rheden-G0275;622;0;4793;8745;3297;4186.0;2141.0;1314;806;215;133;151.0;0;0;0;0;0.0;0;0;0;0;1707.0
Rhenen-G0340;226;0;389;2494;678;1624.0;523.0;662;220;27;949;19.0;0;30;12;0;0.0;0;0;0;0;364.0
Rhoon-G0596;64;0;390;578;473;728.0;453.0;108;88;14;99;7.0;0;0;0;0;0.0;6;0;0;0;238.0
Ridderkerk-G0597;478;0;921;5538;1530;2659.0;3173.0;479;910;248;2311;144.0;0;0;0;0;0.0;27;0;0;0;1181.0
Riethoven-G0837;6;0;643;22;72;0.0;0.0;49;10;1;4;0.0;14;4;0;0;0.0;0;0;0;0;15.0
Rijnsaterwoude-G0601;3;0;155;55;21;75.0;51.0;27;5;0;48;1.0;0;0;0;0;0.0;0;0;0;0;16.0
Rijnsburg-G0602;49;0;110;249;57;1153.0;1736.0;224;36;6;160;162.0;0;0;0;0;0.0;2;0;0;0;107.0
Rijsbergen-G0841;71;0;1780;81;43;0.0;0.0;174;8;2;4;0.0;36;17;0;0;0.0;0;0;0;0;98.0
Rijssen-G0178;74;0;797;1288;202;1057.0;970.0;512;52;20;3384;31.0;0;0;0;0;0.0;0;0;0;0;643.0
Rijswijk-G0603;592;0;6379;5034;5772;2894.0;2475.0;1236;1319;190;271;92.0;0;0;190;0;0.0;93;86;0;0;1427.0
Rijswijk (NB)-G0842;10;0;4;76;9;0.0;0.0;14;6;1;8;0.0;468;4;0;0;0.0;0;0;0;0;23.0
Rilland-Bath-G0702;32;0;219;369;158;358.0;131.0;99;35;7;178;9.0;0;0;0;0;0.0;0;0;0;0;73.0
Ritthem-G1163;3;0;3;34;14;136.0;55.0;14;3;0;39;1.0;0;0;0;0;0.0;0;0;0;0;19.0
Rockanje-G0598;109;0;33;743;505;135.0;300.0;245;108;58;17;1.0;0;0;0;0;0.0;4;0;0;0;186.0
Roden-G0125;144;0;105;1991;949;515.0;874.0;731;212;127;0;88.0;0;0;0;0;0.0;0;0;0;0;314.0
Roermond-G0957;1252;0;11961;2195;1169;0.0;0.0;1435;324;213;0;0.0;0;0;0;447;0.0;0;0;0;0;1446.0
Roggel-G0958;47;0;1527;31;39;0.0;0.0;119;4;7;0;0.0;0;0;0;7;0.0;0;0;0;0;39.0
Rolde-G0126;69;0;56;1086;1012;119.0;92.0;246;56;11;0;10.0;0;0;0;0;0.0;0;0;0;0;134.0
Roosendaal en Nispen-G0838;1179;0;16002;2769;1168;0.0;0.0;1647;361;159;93;0.0;714;138;0;0;0.0;0;0;0;0;1116.0
Roosteren-G0959;31;0;564;39;13;0.0;0.0;34;3;6;0;0.0;0;0;0;8;0.0;0;0;0;0;30.0
Rosmalen-G0839;192;0;4747;395;340;0.0;0.0;470;66;17;0;0.0;118;51;0;0;0.0;0;0;0;0;723.0
Rossum-G0276;22;0;454;398;70;263.0;53.0;82;3;0;17;1.0;0;0;0;0;0.0;0;0;0;0;74.0
Rotterdam-G0599;16957;0;56865;157393;44923;30255.0;33642.0;17756;42903;19354;8545;2425.0;0;0;2205;0;0.0;524;1118;0;0;35253.0
Rozenburg-G0600;68;0;287;999;358;857.0;659.0;166;258;52;71;83.0;0;0;22;0;0.0;3;10;0;0;137.0
Rozendaal-G0277;10;0;71;150;238;143.0;65.0;39;24;0;2;2.0;0;0;0;0;0.0;0;0;0;0;44.0
Rucphen-G0840;544;0;5538;905;120;0.0;0.0;1219;110;73;89;0.0;130;52;0;0;0.0;0;0;0;0;347.0
Ruinen-G0127;104;0;42;1198;910;312.0;416.0;431;44;14;0;18.0;0;0;0;0;0.0;0;0;0;0;189.0
Ruinerwold-G0128;50;0;5;506;549;166.0;353.0;173;12;7;0;34.0;0;0;0;0;0.0;0;0;0;0;59.0
Ruurlo-G0278;88;0;870;861;721;197.0;119.0;527;31;12;6;5.0;0;0;0;0;0.0;0;0;0;0;152.0
Sas van Gent-G0704;104;0;1213;703;242;94.0;34.0;109;60;21;7;5.0;0;0;0;0;0.0;0;0;0;0;151.0
Sassenheim-G0604;89;0;2419;467;511;741.0;1026.0;304;98;22;53;3.0;0;0;0;0;0.0;7;0;0;0;259.0
Schaesberg-G0960;506;0;4963;1311;296;0.0;0.0;446;233;239;0;0.0;0;0;0;278;0.0;0;0;0;0;283.0
Schagen-G0441;66;0;893;1019;611;122.0;133.0;202;181;55;4;10.0;0;9;0;0;0.0;0;0;0;0;170.0
Schaijk-G0843;32;0;2110;92;36;0.0;0.0;173;16;5;0;0.0;19;15;0;0;0.0;0;0;0;0;117.0
Scheemda-G0039;176;0;35;1733;376;727.0;658.0;139;187;346;0;41.0;0;0;0;0;0.0;0;0;0;0;247.0
Schellinkhout-G0442;6;0;28;133;82;12.0;3.0;44;16;9;0;0.0;0;2;0;0;0.0;0;0;0;0;21.0
Schelluinen-G0605;7;0;15;150;51;26.0;61.0;38;20;3;64;1.0;0;0;0;0;0.0;2;0;0;0;33.0
Schermerhorn-G0443;7;0;266;149;23;31.0;100.0;53;8;5;2;0.0;0;3;1;0;0.0;0;0;0;0;16.0
Scherpenisse-G0705;20;0;8;157;68;118.0;28.0;57;15;0;279;0.0;0;0;0;0;0.0;0;0;0;0;91.0
Scherpenzeel-G0279;34;0;39;612;191;832.0;278.0;234;38;3;268;5.0;0;0;0;0;0.0;0;0;0;0;118.0
Schiedam-G0606;1327;0;11153;15421;3900;4026.0;3490.0;1774;3613;1839;719;347.0;0;0;194;0;0.0;44;108;0;0;2451.0
Schiermonnikoog-G0088;3;0;6;114;57;61.0;145.0;21;14;4;1;2.0;0;0;0;0;4.0;0;0;0;0;60.0
Schijndel-G0844;197;0;6258;482;125;0.0;0.0;619;57;33;0;0.0;47;35;0;0;0.0;0;0;0;0;260.0
Schimmert-G0961;51;0;1131;50;29;0.0;0.0;123;5;5;0;0.0;0;0;0;4;0.0;0;0;0;0;56.0
Schinnen-G0962;114;0;2453;187;53;0.0;0.0;163;23;28;0;0.0;0;0;0;24;0.0;0;0;0;0;117.0
Schinveld-G0963;137;0;1902;202;47;0.0;0.0;173;22;38;0;0.0;0;0;0;45;0.0;0;0;0;0;97.0
Schipluiden-G0607;38;0;1807;181;154;524.0;481.0;145;47;7;55;20.0;0;0;8;0;0.0;4;8;0;0;119.0
Schoondijke-G0706;48;0;233;361;207;103.0;171.0;30;10;5;32;10.0;0;0;0;0;0.0;0;0;0;0;69.0
Schoonebeek-G0129;59;0;1265;684;177;787.0;478.0;239;31;32;0;14.0;0;0;0;0;0.0;0;0;0;0;101.0
Schoonhoven-G0608;80;0;638;1042;377;424.0;658.0;160;108;25;298;20.0;0;0;0;0;0.0;26;0;0;0;187.0
Schoonrewoerd-G0609;22;0;2;97;32;97.0;163.0;66;7;1;168;1.0;0;0;0;0;0.0;2;0;0;0;27.0
Schoorl-G0444;39;0;794;721;379;72.0;52.0;202;144;38;0;5.0;0;5;0;0;0.0;0;0;0;0;189.0
Serooskerke (Walcheren)-G1176;7;0;0;22;29;236.0;513.0;23;4;0;105;23.0;0;0;0;0;0.0;0;0;0;0;39.0
