RegioNaam;@invalid;@blank;KVP;PvdA;VVD;ARP;CHU;Communistische Partij van Nederland;SGP;Pacifistisch-Socialistische Partij (PSP);Gereformeerd Politiek Verbond (GPV);Boeren Partij;Bruggroep;Partij voor Landbouw en Middenstand;Positief Christelijk Nationale Unie;@abs
Steenwijk-G0181;119;;356.0;2689;657.0;721.0;1048.0;83.0;43.0;56.0;72.0;30.0;16.0;;;146.0
Steenwijkerwold-G0182;81;;684.0;1583;319.0;333.0;1120.0;33.0;18.0;15.0;75.0;46.0;6.0;;;96.0
Stein-G0971;171;;3155.0;523;45.0;16.0;37.0;20.0;4.0;9.0;3.0;;8.0;;;93.0
Stellendam-G1195;14;;3.0;325;77.0;297.0;150.0;2.0;154.0;;;7.0;1.0;;;60.0
Stevensweert-G0972;24;;664.0;50;10.0;5.0;6.0;;3.0;1.0;;;3.0;;;2.0
Stiphout-G1196;15;;800.0;82;13.0;9.0;4.0;4.0;;5.0;;;;13.0;;17.0
Stolwijk-G0615;29;;24.0;640;426.0;227.0;54.0;9.0;275.0;19.0;1.0;60.0;4.0;;;96.0
Stoutenburg-G0343;9;;661.0;77;23.0;63.0;114.0;5.0;76.0;;;7.0;1.0;;0.0;45.0
Stramproy-G0973;11;;1100.0;38;3.0;3.0;2.0;2.0;;1.0;;;;;;10.0
Streefkerk-G0616;14;;3.0;241;117.0;231.0;146.0;4.0;205.0;2.0;;21.0;;;;80.0
Strijen-G0617;55;;17.0;1135;544.0;423.0;483.0;19.0;245.0;18.0;2.0;25.0;5.0;;;130.0
Susteren-G0974;98;;2646.0;218;31.0;14.0;1.0;6.0;3.0;6.0;2.0;;5.0;;;62.0
Swalmen-G0975;149;;3113.0;250;44.0;21.0;16.0;10.0;3.0;7.0;2.0;;4.0;;;121.0
