RegioNaam;@invalid;@blank;CDA;PvdA;VVD;GL;Europa Transparant;SP;CU-SGP;D66;PvdD;LPF;Partij voor het Noorden;Nieuw Rechts;Leefbaar Europa;Democratisch Europa;Respect.Nu;@abs
Tytsjerksteradiel-G0737;;11.0;3539;2911;967;532;610;409;523;213;219;148;312;18;7;6;8;13849
Ubbergen-G0282;;6.0;996;780;408;361;260;239;21;123;110;69;1;11;0;7;6;3957
Uden-G0856;;15.0;3745;1970;1473;478;890;1415;66;438;259;248;9;46;17;12;11;19123
Uitgeest-G0450;;3.0;689;942;565;342;320;200;20;171;136;99;3;11;11;9;6;5146
Uithoorn-G0451;;12.0;1764;1671;1570;599;693;429;112;403;347;327;12;32;18;21;19;11832
Urk-G0184;;2.0;1600;33;48;9;110;34;3265;10;13;22;0;5;1;1;0;5325
Utrecht-G0344;;466.0;11285;20900;10523;16287;5384;8423;1946;7272;3111;1549;75;190;125;181;50;116979
Vaals-G0981;;1.0;1182;600;101;182;141;173;6;43;61;52;2;2;5;1;4;3990
Valkenburg (ZH)-G0619;;0.0;386;158;110;49;114;38;179;32;55;19;0;4;4;2;0;1623
Valkenburg aan de Geul-G0994;;14.0;4097;724;344;220;356;623;30;128;119;63;2;17;2;4;8;7256
Valkenswaard-G0858;;31.0;2439;1806;1346;395;895;704;53;281;163;217;8;57;26;26;11;15633
Veendam-G0047;;12.0;1316;3654;1014;315;312;466;276;182;173;135;397;17;13;3;6;13772
Veenendaal-G0345;;40.0;4876;2735;1810;818;973;730;4940;418;368;395;12;55;17;21;15;25751
Veere-G0717;;13.0;2159;1104;1242;427;611;252;1943;259;334;97;6;21;17;17;8;8147
Veghel-G0860;;12.0;4381;1883;1297;401;798;821;59;339;184;250;3;38;17;22;8;16691
Veldhoven-G0861;;34.0;3204;2322;1792;556;1119;1119;141;504;286;298;3;46;26;11;7;20584
Velsen-G0453;;54.0;3796;4983;2573;1343;1444;1309;585;864;931;604;21;96;44;69;29;31453
Venhuizen-G0454;;2.0;843;430;542;145;180;132;24;86;96;75;3;4;1;4;2;3218
Venlo-G0983;;37.0;9275;4306;2110;1256;1302;1121;104;620;439;467;7;74;36;20;29;47081
Venray-G0984;;14.0;4847;1946;914;473;535;750;50;277;171;182;9;12;15;14;7;18608
Vianen-G0620;;14.0;1457;1321;695;341;445;325;412;232;230;176;4;28;6;10;7;9123
Vlaardingen-G0622;;44.0;3735;5700;2109;1214;1630;1783;1109;719;683;860;14;156;49;30;9;36596
Vlagtwedde-G0048;;8.0;1301;1777;517;206;220;269;141;101;170;89;205;9;3;3;5;8010
Vlieland-G0096;;2.0;51;90;108;27;27;21;4;25;18;7;9;1;2;0;0;467
Vlissingen-G0718;;20.0;2083;2917;1471;648;1058;1028;731;444;739;358;10;57;23;16;17;23020
Vlist-G0623;;2.0;945;603;523;119;195;135;630;102;90;77;2;9;6;6;26;3839
Voerendaal-G0986;;8.0;2281;686;308;189;262;242;9;92;111;65;4;9;2;8;2;5891
Voorhout-G0625;;13.0;1179;646;910;266;404;290;67;233;136;106;2;12;17;4;6;6035
Voorschoten-G0626;;19.0;2005;1358;1689;723;852;356;144;591;370;221;7;11;23;27;7;8156
Voorst-G0285;;2.0;2593;1862;1155;408;405;305;272;273;183;166;4;11;10;6;7;10349
Vorden-G0286;;1.0;1059;692;561;167;180;175;56;105;50;63;4;6;2;7;0;3474
Vught-G0865;;28.0;2226;1478;1253;579;818;602;60;387;222;146;4;20;15;178;7;11040
Waalre-G0866;;11.0;1571;873;1231;336;673;303;21;311;138;100;4;19;13;28;6;6738
Waalwijk-G0867;;37.0;3663;2350;1538;459;1110;940;720;375;295;372;9;74;28;13;11;23069
Waddinxveen-G0627;;19.0;2033;1453;1183;378;573;318;1608;361;263;259;6;25;18;11;6;11045
Wageningen-G0289;;55.0;1956;3150;1419;2480;872;1089;686;1035;362;148;22;32;11;23;6;12227
Warmond-G0628;;6.0;579;258;298;110;144;102;24;118;83;50;1;2;6;6;0;2041
Warnsveld-G0291;;7.0;635;858;450;265;270;330;103;181;113;42;9;4;7;9;3;3766
Wassenaar-G0629;;7.0;2369;940;2768;356;952;239;101;434;382;267;7;28;20;46;16;8855
Waterland-G0852;;13.0;1289;1456;965;544;541;428;105;273;270;193;4;19;18;11;3;7098
Weert-G0988;;26.0;5672;2344;1369;458;808;1133;68;342;239;239;7;42;11;14;7;24179
Weesp-G0457;;13.0;993;1369;774;499;444;411;109;313;253;162;14;23;15;21;27;8078
Wehl-G0292;;4.0;764;406;155;64;88;81;9;51;43;46;3;1;1;0;0;3381
Werkendam-G0870;;11.0;2672;1390;820;233;533;300;1667;156;184;145;6;28;10;7;8;11649
Wervershoof-G0459;;12.0;794;458;355;105;171;113;17;55;56;96;2;8;6;3;3;3981
West Maas en Waal-G0668;;5.0;1996;1202;714;237;330;350;21;141;120;151;4;16;8;2;3;8768
Wester-Koggenland-G0558;;8.0;1360;801;719;252;342;231;30;157;130;125;2;17;19;3;5;6104
Westerveld-G1701;;8.0;1464;2291;1628;455;529;350;118;244;245;149;116;9;5;7;3;7285
Westervoort-G0293;;8.0;965;1319;483;325;278;375;71;174;123;128;4;15;9;4;0;7581
Westland-G1783;;59.0;12151;3577;4537;881;1646;771;1571;785;582;1721;12;96;106;36;22;43618
Weststellingwerf-G0098;;8.0;1906;2559;1043;391;480;406;171;158;221;204;98;17;12;5;3;12022
Westvoorne-G0614;;12.0;936;1008;1149;165;460;218;64;219;220;219;4;31;9;6;4;6402
Wierden-G0189;;8.0;4113;1081;912;232;548;252;1037;157;91;162;7;10;9;6;6;8924
Wieringen-G0462;;1.0;296;754;421;104;234;159;22;47;106;101;5;9;5;1;5;4359
Wieringermeer-G0463;;8.0;1153;805;600;116;329;146;161;96;102;107;4;17;9;7;2;5812
Wijchen-G0296;;41.0;3770;3288;1702;692;906;973;52;503;286;272;6;32;25;24;10;17159
Wijdemeren-G1696;;14.0;1979;1308;1563;505;704;357;181;405;347;232;5;18;12;13;9;10276
Wijk bij Duurstede-G0352;;5.0;1478;1492;1038;566;488;476;354;339;256;130;9;34;11;17;3;10607
Winschoten-G0052;;7.0;862;2464;636;298;177;393;219;133;122;100;170;10;6;2;2;9015
Winsum-G0053;;9.0;1314;1533;534;489;247;380;540;135;145;67;149;5;0;2;0;4845
Winterswijk-G0294;;10.0;2145;3008;1586;388;504;655;128;270;186;149;9;18;20;6;8;12976
Wisch-G0295;;11.0;2009;1434;730;285;328;390;101;161;121;156;4;12;10;4;9;9288
Woensdrecht-G0873;;15.0;1312;1139;782;174;839;298;38;180;157;208;7;48;13;12;8;10980
Woerden-G0632;;22.0;4615;2660;2163;1132;1066;766;1612;710;428;418;12;52;33;24;10;19711
Wognum-G0466;;3.0;920;402;360;109;186;96;15;95;80;62;4;5;5;6;2;3636
Wormerland-G0880;;9.0;833;1302;670;534;431;490;81;182;162;145;8;18;13;6;6;7013
Woudenberg-G0351;;10.0;1166;517;503;152;256;141;1092;113;91;68;1;5;5;1;3;4006
Woudrichem-G0874;;6.0;1569;679;496;162;334;191;805;88;126;80;0;15;8;3;0;6333
Wûnseradiel-G0710;;6.0;1465;995;397;167;246;204;76;67;100;51;141;19;1;4;6;4847
Wymbritseradiel-G0683;;6.0;2152;1042;516;301;344;186;172;118;102;51;160;11;7;3;7;6781
Zaanstad-G0479;;106.0;5024;12254;4504;3552;2907;3533;813;1445;1717;1354;58;150;92;42;43;66402
Zaltbommel-G0297;;11.0;1667;1603;931;453;578;356;1741;271;177;147;7;39;12;6;4;11046
Zandvoort-G0473;;4.0;682;1025;1206;260;514;292;39;210;401;210;8;24;10;40;13;8326
Zederik-G0707;;10.0;2077;848;469;122;204;150;1219;103;100;96;2;21;5;3;7;4518
Zeevang-G0478;;4.0;257;540;541;184;214;108;19;91;99;59;1;7;5;6;2;2589
Zeewolde-G0050;;10.0;1308;928;1216;278;381;200;735;257;149;166;5;15;13;7;2;7066
Zeist-G0355;;40.0;4052;3848;3689;2275;1580;1321;1449;1188;784;445;19;59;46;54;4;24898
Zelhem-G0298;;3.0;1112;842;444;168;181;144;180;83;84;88;2;5;1;4;6;5376
Zevenaar-G0299;;10.0;2399;2050;882;445;489;512;57;327;222;191;10;21;17;12;9;12717
Zevenhuizen-Moerkapelle-G1666;;6.0;706;538;570;116;235;90;975;106;89;73;2;13;6;1;6;3867
