RegioNaam;@invalid;@blank;KVP;PvdA;ARP;Communistische Partij van Nederland;CHU;Partij van de Vrijheid;SGP;Overige partijen zonder zetels;Overige partijen met 1 of meer zetels;@abs
Cuijk en Sint Agatha-G0761;129;0;2273;43;16;0;32;17;0;0;0;145.0
Culemborg-G0216;99;0;2280;1695;284;526;288;523;93;0;0;341.0
Dalen-G0110;140;0;201;776;133;15;176;778;0;0;0;160.0
Dalfsen-G0148;71;0;1287;490;601;27;1801;60;37;0;0;271.0
Dantumadeel-G0065;198;0;71;1606;2834;407;1868;399;466;0;0;619.0
De Bilt-G0310;224;0;1502;2766;1655;418;1039;1394;243;0;0;1198.0
De Lier-G0552;23;0;239;112;657;5;611;98;35;0;0;105.0
De Rijp-G0440;13;0;292;259;16;138;10;12;12;15;0;53.0
De Werken en Sleeuwijk-G1222;32;0;17;392;965;0;343;61;91;0;0;341.0
De Wijk-G0135;85;0;13;748;397;34;263;471;0;0;0;125.0
Deil-G0217;49;0;244;311;63;10;330;201;51;0;0;119.0
Delft-G0503;954;0;8918;10262;3555;3633;2040;1502;1232;0;0;2162.0
Delfzijl-G0010;201;0;153;1315;871;1610;618;499;0;455;0;876.0
Den Bommel-G1024;15;0;250;166;239;5;35;58;176;0;0;66.0
Den Dungen-G0768;14;0;1041;10;9;3;1;4;0;2;0;77.0
Den Ham-G0159;158;0;269;488;1155;173;1632;113;20;0;0;282.0
Den Helder-G0400;466;0;1954;7428;2367;1442;468;960;109;39;0;1272.0
Denekamp-G0149;61;0;2810;181;60;64;129;26;6;0;0;241.0
Deurne-G0762;165;0;5677;118;70;20;154;27;0;17;0;390.0
Deventer-G0150;694;0;4369;7993;1364;5979;1046;2498;155;0;0;1968.0
Didam-G0218;74;0;3307;92;47;0;45;9;0;0;0;136.0
Diemen-G0384;54;0;616;532;201;241;419;42;7;19;0;163.0
Diepenheim-G0151;53;0;136;545;63;36;147;175;9;0;0;114.0
Diepenveen-G0152;107;0;1214;1178;202;184;529;706;12;0;0;245.0
Diessen-G0763;10;0;844;11;6;0;12;0;0;11;0;34.0
Diever-G0111;48;0;36;681;381;33;60;355;0;0;0;94.0
Dinteloord en Prinsenland-G0764;37;0;795;204;284;34;533;69;160;7;0;181.0
Dinther-G1044;23;0;1028;13;5;0;19;1;0;7;0;65.0
Dinxperlo-G0219;69;0;345;327;392;24;732;99;2;0;0;142.0
Dirksland-G0504;59;0;16;369;670;19;47;234;367;0;0;120.0
Dodewaard-G0220;69;0;40;413;193;18;220;89;138;0;0;92.0
Doesburg-G0221;73;0;1156;916;182;59;373;68;10;0;0;189.0
Doetinchem-G0222;341;0;3053;3192;812;426;1199;574;94;0;0;608.0
Dokkum-G0066;23;0;133;983;1240;90;384;119;21;0;0;242.0
Domburg-G0660;22;0;24;229;110;33;178;84;138;0;0;31.0
Dongen-G0766;102;0;4857;50;67;22;115;26;10;6;0;243.0
Doniawerstal-G0067;51;0;761;795;521;83;837;116;11;0;0;241.0
Doorn-G0315;63;0;127;964;573;71;729;402;130;0;0;393.0
Doornspijk-G0223;79;0;35;253;828;19;621;42;789;0;0;202.0
Dordrecht-G0505;1241;0;3749;13433;7086;5390;2417;2518;941;0;0;4015.0
Dreischor-G1047;22;0;7;319;18;0;46;213;10;0;0;56.0
Dreumel-G0224;49;0;1176;0;15;0;75;8;3;0;0;127.0
Driebergen-Rijsenburg-G0316;122;0;899;1486;1290;155;1080;650;325;0;0;631.0
Driewegen-G0661;3;0;44;75;69;4;135;37;15;0;0;33.0
Drunen-G0767;63;0;2347;22;16;0;26;1;8;0;0;111.0
Druten-G0225;153;0;2966;0;46;0;153;10;5;0;0;159.0
Dubbeldam-G0507;94;0;44;783;789;84;502;460;156;0;0;147.0
Duiven-G0226;42;0;1987;31;27;0;58;5;0;0;0;83.0
Duivendijke-G1050;2;0;4;41;131;0;29;34;2;0;0;16.0
Dussen-G0769;31;0;1076;65;316;0;163;52;47;0;0;217.0
Dwingeloo-G0112;43;0;4;888;280;21;77;473;0;0;0;110.0
Echt-G0902;313;0;4751;178;0;58;0;0;0;51;0;213.0
Echteld-G0227;74;0;40;653;180;34;323;200;226;0;0;185.0
Edam-Volendam-G0385;50;0;3213;708;172;212;262;292;12;17;0;269.0
Ede-G0228;652;0;1221;4578;3692;513;6280;897;2983;0;0;1749.0
Eelde-G0113;120;0;33;1087;127;225;72;608;0;0;0;124.0
Eemnes-G0317;28;0;508;85;252;98;59;25;27;0;0;101.0
Eenrum-G0011;48;0;49;680;330;88;36;286;0;9;0;67.0
Eersel-G0770;30;0;1579;18;11;2;15;1;0;2;0;48.0
Eethen-G0771;21;0;43;148;663;0;274;31;82;0;0;142.0
Egmond aan Zee-G0386;37;0;197;908;92;181;62;27;6;0;0;178.0
Egmond-Binnen-G0387;10;0;1103;137;11;20;3;8;1;0;0;56.0
Eibergen-G0229;64;0;2333;1404;410;34;632;508;0;0;0;388.0
Eijgelshoven-G0904;138;0;1315;143;0;255;0;0;0;81;0;107.0
Eijsden-G0905;168;0;1795;151;0;19;0;0;0;10;0;168.0
Eindhoven-G0772;2640;0;37540;13307;2694;3231;1073;1171;318;133;0;4152.0
Elburg-G0230;55;0;14;136;344;14;689;17;223;0;0;112.0
Elkerzee-G1053;6;0;1;66;95;0;71;53;30;0;0;22.0
Ellemeet-G1054;10;0;2;110;26;0;49;53;11;0;0;33.0
Ellewoutsdijk-G0663;15;0;11;118;22;7;95;68;18;0;0;
Elsloo-G0903;134;0;1222;61;0;18;0;0;0;91;0;70.0
Elst-G0231;88;0;2925;878;292;0;596;180;0;0;0;344.0
Emmen-G0114;1572;0;3678;6028;3612;2551;3373;2891;0;0;0;2494.0
Empel en Meerwijk-G0773;7;0;317;8;3;0;0;0;1;0;0;20.0
Engelen-G0774;15;0;271;15;6;0;22;0;2;0;0;18.0
Enkhuizen-G0388;191;0;754;2073;1084;368;695;285;137;15;0;379.0
Enschede-G0153;2488;0;11593;16291;4858;12487;2993;2966;274;0;0;3870.0
Epe-G0232;288;0;1044;3291;1140;302;1597;1083;339;0;0;728.0
Ermelo-G0233;228;0;198;925;2343;148;4145;281;1033;0;0;1496.0
Erp-G0775;13;0;1590;1;4;5;2;2;0;2;0;35.0
Esch-G0776;7;0;403;20;1;0;4;2;0;0;0;9.0
Est en Opijnen-G0234;23;0;11;182;34;14;173;84;49;0;0;53.0
Etten-Leur-G0777;293;0;4597;302;85;25;173;22;0;41;0;375.0
Everdingen-G0508;18;0;93;67;106;3;59;77;124;0;0;36.0
