RegioNaam;@invalid;@blank;KVP;PvdA;VVD;ARP;CHU;Pacifistisch-Socialistische Partij (PSP);Communistische Partij van Nederland;SGP;Boeren Partij;Gereformeerd Politiek Verbond (GPV);Partij Economisch Appel;Liberale Staatspartij;"Liberale Unie ""Veilig Verkeer""";Nieuw-Democratische Partij;CNVP;Lijst Grol;Volksreferendum;@abs
Genemuiden-G0154;41;;4.0;444;60.0;389.0;443.0;16.0;4.0;797.0;74;24.0;4.0;1.0;5.0;1.0;;;;227.0
Gennep-G0907;83;;2209.0;276;62.0;13.0;32.0;14.0;5.0;2.0;68;2.0;24.0;4.0;6.0;8.0;;;;106.0
Geulle-G0908;81;;993.0;69;17.0;5.0;8.0;6.0;4.0;;27;2.0;5.0;1.0;1.0;;;;;63.0
Giessen-G0783;4;;;42;7.0;103.0;168.0;;3.0;42.0;7;18.0;1.0;;;;;;;36.0
Giessenburg-G0510;19;;6.0;320;202.0;481.0;189.0;12.0;5.0;207.0;58;20.0;;2.0;1.0;;2.0;;;66.0
Gieten-G0116;78;;35.0;1294;572.0;91.0;227.0;26.0;18.0;1.0;90;4.0;5.0;;3.0;3.0;;;;70.0
Giethoorn-G0155;36;;26.0;742;157.0;77.0;188.0;55.0;50.0;13.0;108;19.0;7.0;3.0;;3.0;;;;79.0
Gilze en Rijen-G0784;170;;6238.0;516;209.0;92.0;54.0;34.0;25.0;5.0;135;4.0;30.0;11.0;27.0;21.0;;;;169.0
Goedereede-G0511;15;;5.0;196;88.0;155.0;34.0;4.0;4.0;108.0;28;;1.0;1.0;3.0;;;;;101.0
Goes-G0664;178;;1487.0;2623;946.0;967.0;1777.0;105.0;48.0;514.0;73;62.0;35.0;34.0;25.0;9.0;6.0;;;425.0
Goirle-G0785;124;;3920.0;283;145.0;10.0;12.0;30.0;17.0;2.0;81;1.0;40.0;17.0;14.0;10.0;;;;95.0
Goor-G0156;77;;1143.0;2188;345.0;232.0;284.0;116.0;84.0;7.0;77;15.0;11.0;7.0;5.0;4.0;;;;138.0
Gorinchem-G0512;288;;1285.0;5875;1146.0;1630.0;894.0;316.0;114.0;300.0;78;49.0;46.0;428.0;6.0;24.0;5.0;;;577.0
Gorssel-G0239;123;;450.0;2214;1484.0;771.0;1525.0;151.0;39.0;28.0;255;10.0;58.0;42.0;12.0;3.0;;;;314.0
Gouda-G0513;574;;5234.0;9223;2767.0;2390.0;1817.0;840.0;475.0;950.0;199;175.0;105.0;63.0;44.0;39.0;15.0;;;863.0
Gouderak-G0514;23;;36.0;418;191.0;229.0;54.0;14.0;4.0;190.0;27;3.0;1.0;2.0;3.0;1.0;1.0;;;68.0
Goudriaan-G0515;7;;3.0;34;54.0;149.0;16.0;;;71.0;16;;;1.0;;;1.0;;;19.0
Goudswaard-G0516;11;;2.0;185;95.0;60.0;57.0;5.0;2.0;321.0;16;2.0;;;;3.0;;;;55.0
Graauw en Langendam-G0665;42;;627.0;69;5.0;6.0;5.0;;3.0;;54;;;1.0;1.0;3.0;;;;43.0
Graft-G0389;8;;223.0;250;75.0;8.0;13.0;54.0;18.0;;31;;3.0;;1.0;2.0;;;;17.0
Gramsbergen-G0157;33;;62.0;814;162.0;715.0;731.0;11.0;12.0;18.0;170;59.0;1.0;1.0;2.0;;;;;70.0
Grathem-G0909;15;;979.0;18;2.0;;2.0;1.0;3.0;;29;;2.0;1.0;1.0;;;;;17.0
Grave-G0786;63;;2427.0;233;177.0;43.0;30.0;18.0;11.0;2.0;55;3.0;22.0;10.0;4.0;11.0;;;;253.0
Grevenbicht-G0910;77;;976.0;165;19.0;5.0;30.0;4.0;14.0;;22;;7.0;2.0;4.0;2.0;;;;85.0
Grijpskerk-G0016;15;;11.0;291;213.0;1072.0;158.0;11.0;8.0;7.0;18;129.0;7.0;9.0;;1.0;;;;59.0
Grijpskerke-G1067;7;;1.0;20;6.0;258.0;103.0;4.0;2.0;43.0;5;4.0;1.0;;;1.0;;;;14.0
Groede-G0667;36;;179.0;462;299.0;43.0;121.0;4.0;5.0;9.0;23;1.0;8.0;9.0;;;1.0;;;70.0
Groenlo-G0240;34;;2768.0;344;87.0;25.0;72.0;4.0;8.0;5.0;46;;14.0;2.0;5.0;3.0;3.0;;;74.0
Groesbeek-G0241;297;;5312.0;921;265.0;71.0;198.0;31.0;41.0;14.0;275;6.0;64.0;16.0;29.0;22.0;13.0;;;217.0
Groningen-G0014;2615;;7626.0;31482;12074.0;8870.0;6971.0;4442.0;4045.0;371.0;777;3711.0;518.0;356.0;101.0;225.0;;;;5732.0
Gronsveld-G0911;57;;1232.0;53;26.0;;4.0;3.0;3.0;;154;;3.0;;;;;;;50.0
Groot-Ammers-G0520;13;;7.0;196;174.0;327.0;58.0;9.0;;216.0;29;18.0;2.0;5.0;;1.0;;;;92.0
Grootebroek-G0391;16;;2236.0;124;24.0;4.0;7.0;29.0;20.0;1.0;40;;5.0;;1.0;3.0;;;;61.0
Grootegast-G0015;66;;11.0;753;197.0;2231.0;438.0;34.0;31.0;31.0;394;210.0;4.0;7.0;1.0;4.0;;;;178.0
Grubbenvorst-G0912;18;;1798.0;53;9.0;3.0;4.0;;5.0;;79;;3.0;1.0;;2.0;;;;49.0
Gulpen-G0913;85;;1704.0;206;33.0;11.0;24.0;2.0;14.0;;141;4.0;17.0;9.0;6.0;2.0;;;;8.0
Haaften-G0242;30;;5.0;711;48.0;179.0;350.0;9.0;7.0;187.0;48;2.0;1.0;1.0;;1.0;2.0;;;76.0
Haaksbergen-G0158;62;;4980.0;1253;541.0;66.0;87.0;25.0;25.0;7.0;443;6.0;15.0;8.0;15.0;3.0;;;;142.0
Haaren-G0788;20;;1456.0;49;8.0;;1.0;3.0;;1.0;42;;4.0;;2.0;;;;;27.0
Haarlem-G0392;2645;;26641.0;31009;11993.0;6185.0;4929.0;5802.0;3935.0;440.0;2075;318.0;868.0;436.0;558.0;187.0;;93.0;;5587.0
Haarlemmerliede en Spaarnwoude-G0393;39;;1121.0;386;297.0;191.0;127.0;87.0;75.0;23.0;159;8.0;15.0;4.0;13.0;3.0;;2.0;;100.0
Haarlemmermeer-G0394;425;;5731.0;6045;2599.0;3970.0;3166.0;830.0;617.0;496.0;627;198.0;152.0;73.0;112.0;46.0;;11.0;;1101.0
Haastrecht-G0521;16;;618.0;323;193.0;163.0;76.0;22.0;4.0;75.0;26;4.0;5.0;3.0;1.0;1.0;;;;44.0
Haelen-G0914;68;;1751.0;78;49.0;5.0;11.0;8.0;3.0;1.0;62;1.0;4.0;5.0;4.0;;;;;75.0
Hagestein-G0522;6;;186.0;45;30.0;31.0;98.0;1.0;;130.0;19;;4.0;1.0;;;;;;23.0
Halsteren-G0789;234;;2674.0;435;147.0;184.0;104.0;17.0;24.0;29.0;160;11.0;26.0;9.0;26.0;18.0;;;;180.0
Haps-G0790;13;;998.0;32;7.0;;;1.0;1.0;2.0;32;;;;;;;;;21.0
Hardenberg-G0160;127;;1258.0;2380;521.0;2994.0;2450.0;38.0;37.0;50.0;604;1266.0;18.0;3.0;7.0;5.0;;;;358.0
Harderwijk-G0243;167;;773.0;1914;1089.0;1706.0;2812.0;88.0;69.0;839.0;194;91.0;57.0;48.0;17.0;11.0;;;;356.0
Hardinxveld-Giessendam-G0523;161;;72.0;2150;525.0;1079.0;715.0;145.0;51.0;1499.0;57;227.0;10.0;15.0;1.0;15.0;7.0;;;678.0
Haren-G0017;177;;358.0;2194;2241.0;1347.0;1035.0;220.0;87.0;24.0;262;216.0;55.0;63.0;3.0;15.0;;;;415.0
Harenkarspel-G0395;14;;1438.0;228;94.0;74.0;7.0;41.0;18.0;6.0;47;5.0;2.0;;2.0;1.0;;;;54.0
Harlingen-G0072;123;;851.0;2694;531.0;668.0;877.0;196.0;95.0;9.0;56;233.0;39.0;12.0;3.0;9.0;;;;537.0
Harmelen-G0318;27;;963.0;234;177.0;264.0;297.0;20.0;5.0;117.0;102;2.0;6.0;4.0;4.0;1.0;;;;66.0
Haskerland-G0073;164;;803.0;2291;321.0;732.0;1346.0;120.0;72.0;38.0;310;16.0;20.0;6.0;5.0;6.0;;;;414.0
Hasselt-G0161;18;;65.0;318;45.0;347.0;361.0;19.0;7.0;89.0;45;108.0;2.0;;3.0;;;;;142.0
Hattem-G0244;77;;216.0;1506;446.0;527.0;1002.0;75.0;62.0;57.0;51;295.0;8.0;29.0;4.0;11.0;;;;82.0
Havelte-G0117;81;;66.0;1442;610.0;83.0;168.0;32.0;5.0;3.0;158;12.0;7.0;2.0;1.0;2.0;;;;85.0
Hazerswoude-G0524;50;;1323.0;264;138.0;717.0;581.0;33.0;10.0;191.0;55;8.0;12.0;6.0;4.0;5.0;1.0;;;234.0
Hedel-G0245;29;;582.0;202;31.0;74.0;194.0;8.0;3.0;179.0;45;8.0;;1.0;;1.0;;;;82.0
Heel en Panheel-G0915;35;;1365.0;25;14.0;1.0;1.0;1.0;2.0;;17;;4.0;;2.0;1.0;;;;206.0
Heemskerk-G0396;99;;4096.0;1726;473.0;383.0;396.0;261.0;121.0;25.0;122;13.0;39.0;12.0;16.0;18.0;;3.0;;224.0
Heemstede-G0397;282;;4767.0;2218;3940.0;1164.0;1052.0;456.0;119.0;61.0;210;50.0;203.0;186.0;42.0;23.0;;7.0;;1184.0
Heenvliet-G0525;27;;7.0;355;157.0;50.0;51.0;36.0;46.0;15.0;21;2.0;1.0;4.0;;;1.0;;;56.0
Heer-G0916;324;;3496.0;766;145.0;21.0;30.0;27.0;29.0;2.0;98;9.0;43.0;19.0;12.0;15.0;;;;203.0
Heerde-G0246;136;;118.0;2579;592.0;1147.0;2095.0;72.0;27.0;209.0;336;295.0;35.0;24.0;10.0;10.0;;;;202.0
Heerenveen-G0074;453;;608.0;6006;1553.0;1602.0;1287.0;1029.0;1297.0;34.0;619;120.0;93.0;35.0;8.0;51.0;;;;985.0
Heerewaarden-G0247;14;;37.0;412;111.0;14.0;35.0;11.0;;6.0;8;1.0;;2.0;;2.0;2.0;;;23.0
Heerhugowaard-G0398;27;;2360.0;357;111.0;177.0;63.0;40.0;10.0;2.0;82;1.0;2.0;2.0;2.0;2.0;;;;78.0
Heerjansdam-G0526;5;;29.0;307;153.0;226.0;337.0;17.0;8.0;89.0;22;3.0;6.0;2.0;1.0;1.0;;;;58.0
Heerlen-G0917;1442;;25191.0;7371;1155.0;624.0;678.0;296.0;1047.0;34.0;593;57.0;335.0;70.0;147.0;80.0;;;;1290.0
Heesch-G0791;65;;2475.0;299;29.0;17.0;16.0;15.0;9.0;4.0;78;4.0;6.0;4.0;1.0;3.0;;;;75.0
Heeswijk-G1072;14;;1185.0;43;10.0;1.0;1.0;;;1.0;10;;3.0;;2.0;1.0;;;;32.0
Heeze-G0793;66;;2364.0;204;85.0;30.0;63.0;14.0;5.0;3.0;49;;25.0;6.0;4.0;3.0;;;;97.0
Hei- en Boeicop-G0527;4;;;57;22.0;135.0;69.0;;;140.0;17;;;;1.0;1.0;1.0;;;28.0
Heiloo-G0399;130;;3359.0;1795;1632.0;344.0;340.0;282.0;105.0;17.0;137;8.0;37.0;59.0;20.0;12.0;;;;620.0
Heinenoord-G0528;22;;17.0;395;156.0;222.0;208.0;15.0;4.0;175.0;19;3.0;8.0;2.0;1.0;2.0;4.0;;;69.0
Heinkenszand-G0672;15;;579.0;112;41.0;118.0;237.0;7.0;;34.0;44;4.0;1.0;;;1.0;1.0;;;32.0
Heino-G0162;11;;981.0;312;53.0;71.0;489.0;11.0;3.0;5.0;80;61.0;5.0;1.0;2.0;1.0;;;;53.0
Hekelingen-G1074;7;;6.0;352;111.0;54.0;42.0;10.0;5.0;28.0;27;4.0;2.0;5.0;2.0;;;;;30.0
Hekendorp-G1075;10;;155.0;57;43.0;49.0;76.0;1.0;2.0;37.0;20;;2.0;1.0;;;;;;22.0
Helden-G0918;85;;4913.0;98;41.0;9.0;10.0;2.0;7.0;5.0;65;3.0;17.0;2.0;4.0;4.0;;;;87.0
Hellendoorn-G0163;102;;3098.0;2490;481.0;2161.0;3838.0;94.0;49.0;170.0;612;199.0;25.0;11.0;10.0;8.0;;;;320.0
Hellevoetsluis-G0530;90;;230.0;2214;734.0;278.0;246.0;168.0;51.0;53.0;87;2.0;7.0;11.0;3.0;5.0;3.0;;;186.0
Helmond-G0794;909;;14592.0;4686;744.0;260.0;195.0;153.0;365.0;29.0;359;18.0;161.0;51.0;79.0;57.0;;;;692.0
Helvoirt-G0795;37;;1331.0;102;56.0;8.0;38.0;6.0;3.0;4.0;41;2.0;9.0;5.0;1.0;1.0;;;;35.0
Hemelumer Oldeferd-G0075;20;;91.0;380;94.0;530.0;1252.0;21.0;7.0;43.0;158;16.0;5.0;8.0;2.0;3.0;;;;67.0
Hendrik-Ido-Ambacht-G0531;68;;191.0;1538;594.0;944.0;666.0;70.0;26.0;846.0;33;27.0;12.0;11.0;2.0;5.0;3.0;;;210.0
Hengelo-G0164;628;;12875.0;12290;3291.0;1741.0;2229.0;1322.0;634.0;95.0;504;183.0;224.0;72.0;88.0;58.0;;;;1217.0
Hengelo-G0248;42;;1396.0;718;253.0;434.0;542.0;27.0;9.0;22.0;184;3.0;7.0;;3.0;2.0;5.0;;;94.0
Hennaarderadeel-G0076;28;;138.0;454;182.0;541.0;1056.0;49.0;3.0;7.0;70;1.0;4.0;3.0;;3.0;;;;73.0
Hensbroek-G0401;3;;306.0;118;51.0;1.0;3.0;29.0;7.0;;20;;4.0;;;1.0;;;;23.0
Herkingen-G1078;10;;4.0;58;19.0;120.0;19.0;4.0;3.0;269.0;21;;;;;;1.0;;;61.0
Herten-G0919;43;;1119.0;78;44.0;4.0;9.0;2.0;2.0;2.0;22;;7.0;3.0;;4.0;;;;43.0
Herwen en Aerdt-G0249;87;;2570.0;437;110.0;77.0;168.0;21.0;14.0;10.0;70;6.0;10.0;2.0;10.0;13.0;4.0;;;267.0
Herwijnen-G0250;8;;4.0;424;57.0;229.0;245.0;7.0;1.0;74.0;22;2.0;1.0;;;;;;;34.0
Het Bildt-G0063;95;;41.0;1543;502.0;1513.0;756.0;244.0;91.0;10.0;125;20.0;19.0;5.0;;5.0;;;;172.0
Heteren-G0251;25;;1529.0;294;43.0;252.0;282.0;10.0;7.0;253.0;64;;2.0;;3.0;2.0;1.0;;;74.0
Heukelum-G0533;31;;9.0;515;121.0;181.0;164.0;7.0;2.0;22.0;26;7.0;3.0;11.0;;;;;;37.0
Heumen-G0252;41;;1625.0;123;51.0;18.0;14.0;6.0;5.0;;45;3.0;7.0;3.0;2.0;9.0;3.0;;;68.0
Heusden-G0797;44;;1042.0;346;119.0;99.0;180.0;7.0;11.0;63.0;61;3.0;12.0;10.0;3.0;5.0;;;;77.0
Heythuysen-G0920;55;;1775.0;47;11.0;2.0;2.0;4.0;4.0;1.0;54;1.0;4.0;;1.0;5.0;;;;58.0
Hillegom-G0534;108;;4252.0;1421;581.0;708.0;829.0;122.0;29.0;66.0;115;9.0;28.0;19.0;13.0;11.0;2.0;;;518.0
Hilvarenbeek-G0798;45;;2508.0;279;73.0;16.0;88.0;10.0;5.0;6.0;118;1.0;8.0;4.0;8.0;7.0;;;;73.0
Hilversum-G0402;1673;;12575.0;16170;9325.0;6260.0;4398.0;3226.0;1440.0;900.0;999;168.0;524.0;445.0;249.0;114.0;;46.0;;3521.0
Hindeloopen-G0077;13;;6.0;180;22.0;63.0;143.0;22.0;3.0;1.0;11;4.0;;1.0;;;;;;24.0
Hoedekenskerke-G0673;14;;487.0;117;23.0;44.0;105.0;3.0;2.0;91.0;12;;;;3.0;1.0;;;;24.0
Hoek-G0674;33;;55.0;486;144.0;114.0;282.0;9.0;8.0;194.0;37;90.0;;4.0;6.0;2.0;2.0;;;71.0
Hoenkoop-G0319;2;;183.0;43;16.0;50.0;47.0;;1.0;9.0;14;1.0;;2.0;;;;;;8.0
Hoensbroek-G0921;472;;6673.0;2435;173.0;159.0;141.0;121.0;350.0;15.0;197;12.0;121.0;11.0;36.0;8.0;;;;294.0
Hoevelaken-G0253;28;;154.0;414;164.0;132.0;447.0;16.0;7.0;223.0;58;12.0;7.0;6.0;1.0;3.0;;;;56.0
Hoeven-G0799;108;;2245.0;139;43.0;5.0;8.0;19.0;4.0;12.0;64;4.0;14.0;3.0;4.0;6.0;;;;81.0
Holten-G0165;32;;92.0;941;458.0;445.0;1043.0;21.0;15.0;31.0;456;13.0;15.0;7.0;1.0;2.0;;;;16.0
Hontenisse-G0675;82;;2472.0;127;55.0;14.0;77.0;12.0;6.0;5.0;92;10.0;9.0;2.0;6.0;2.0;5.0;;;143.0
Hoofdplaat-G0676;15;;480.0;44;11.0;8.0;56.0;1.0;;5.0;10;;2.0;1.0;;;;;;28.0
Hoogblokland-G0535;8;;10.0;162;119.0;173.0;21.0;2.0;2.0;26.0;24;1.0;;1.0;2.0;;;;;14.0
Hooge en Lage Mierde-G0801;11;;1184.0;13;3.0;4.0;5.0;3.0;1.0;;25;;5.0;;;;;;;22.0
Hooge en Lage Zwaluwe-G0802;26;;1274.0;378;63.0;73.0;627.0;3.0;5.0;21.0;39;;15.0;2.0;3.0;3.0;;;;52.0
Hoogeloon, Hapert en Casteren-G0800;21;;1979.0;68;16.0;6.0;29.0;4.0;1.0;2.0;38;1.0;2.0;;;2.0;;;;40.0
Hoogeveen-G0118;638;;315.0;3342;679.0;4392.0;2697.0;236.0;336.0;312.0;839;302.0;24.0;13.0;7.0;17.0;;;;548.0
Hoogezand-Sappemeer-G0018;757;;1257.0;6333;1830.0;917.0;686.0;847.0;1042.0;33.0;228;151.0;51.0;41.0;18.0;39.0;;;;748.0
Hoogkarspel-G0403;7;;1095.0;198;57.0;5.0;8.0;37.0;1.0;;45;;;1.0;1.0;;;;;33.0
Hoogkerk-G1084;71;;119.0;1151;236.0;568.0;351.0;91.0;68.0;1.0;119;331.0;7.0;5.0;3.0;5.0;;;;133.0
Hoogland-G0320;37;;1829.0;203;37.0;58.0;195.0;19.0;8.0;49.0;42;9.0;4.0;3.0;10.0;1.0;2.0;;;52.0
Hoogwoud-G0404;12;;750.0;316;147.0;15.0;23.0;53.0;23.0;2.0;25;1.0;1.0;5.0;2.0;2.0;;;;24.0
Hoorn-G0405;225;;3190.0;2839;1018.0;400.0;330.0;548.0;165.0;21.0;113;11.0;43.0;36.0;32.0;14.0;;;;380.0
Hoornaar-G0536;8;;5.0;159;91.0;217.0;19.0;;;32.0;9;;;4.0;;;;;;11.0
Horn-G0922;30;;1209.0;54;18.0;6.0;4.0;4.0;4.0;1.0;46;;5.0;4.0;4.0;3.0;;;;49.0
Horssen-G0254;4;;517.0;22;1.0;4.0;46.0;1.0;1.0;;12;;;;;;;;;21.0
Horst-G0923;83;;5880.0;137;39.0;11.0;21.0;4.0;7.0;3.0;108;1.0;18.0;3.0;9.0;5.0;;;;128.0
Houten-G0321;24;;2015.0;181;64.0;150.0;234.0;9.0;7.0;167.0;56;7.0;1.0;1.0;2.0;1.0;;;;115.0
Huijbergen-G0803;20;;496.0;19;5.0;4.0;2.0;;;1.0;33;;;2.0;2.0;2.0;;;;14.0
Huissen-G0255;78;;3536.0;242;65.0;15.0;131.0;14.0;10.0;3.0;81;2.0;20.0;3.0;5.0;4.0;2.0;;;130.0
Huizen-G0406;148;;596.0;1916;1588.0;2383.0;1514.0;263.0;87.0;931.0;198;36.0;67.0;65.0;16.0;5.0;;4.0;;440.0
Hulsberg-G0924;77;;1127.0;112;26.0;5.0;6.0;14.0;13.0;10.0;72;2.0;14.0;2.0;11.0;2.0;;;;44.0
Hulst-G0677;148;;2230.0;376;129.0;15.0;34.0;15.0;21.0;5.0;140;1.0;16.0;6.0;12.0;6.0;3.0;;;182.0
Hummelo en Keppel-G0256;33;;368.0;737;379.0;153.0;315.0;23.0;3.0;12.0;109;3.0;9.0;15.0;1.0;3.0;3.0;;;75.0
Hunsel-G0925;43;;1543.0;28;2.0;3.0;;1.0;1.0;;71;2.0;4.0;;;1.0;;;;45.0
Idaarderadeel-G0078;64;;215.0;2567;496.0;238.0;195.0;240.0;52.0;5.0;58;2.0;7.0;5.0;;6.0;;;;168.0
IJlst-G0102;28;;8.0;190;27.0;252.0;298.0;19.0;2.0;3.0;10;;2.0;1.0;;2.0;;;;36.0
IJsselmuiden-G0191;37;;511.0;420;134.0;671.0;833.0;23.0;8.0;1292.0;124;241.0;2.0;3.0;1.0;4.0;;;;187.0
IJsselstein-G0353;58;;2053.0;527;158.0;255.0;480.0;26.0;11.0;307.0;34;6.0;20.0;5.0;6.0;5.0;1.0;;;57.0
IJzendijke-G0730;52;;935.0;276;77.0;44.0;50.0;4.0;16.0;3.0;35;;5.0;;4.0;;;;;60.0
Ilpendam-G0407;23;;340.0;475;88.0;63.0;134.0;55.0;217.0;13.0;75;1.0;4.0;3.0;4.0;1.0;;;;
Itteren-G0926;12;;341.0;24;6.0;1.0;;1.0;;;10;;3.0;;3.0;;;;;13.0
Jabeek-G0927;19;;306.0;16;3.0;1.0;;1.0;;;4;;2.0;;3.0;;;;;2.0
Jisp-G0408;4;;40.0;161;67.0;9.0;12.0;56.0;39.0;;48;;2.0;1.0;1.0;;;;;23.0
Jutphaas-G0322;18;;1142.0;372;93.0;115.0;314.0;23.0;6.0;74.0;25;4.0;6.0;2.0;1.0;;;;;
Kamerik-G0323;15;;461.0;78;18.0;177.0;305.0;2.0;1.0;209.0;68;;4.0;;;;;;;48.0
Kampen-G0166;207;;1476.0;3792;692.0;2470.0;2852.0;143.0;67.0;1478.0;166;1280.0;33.0;42.0;19.0;13.0;;;;660.0
Kantens-G0020;20;;22.0;486;165.0;185.0;112.0;7.0;3.0;;23;125.0;9.0;10.0;3.0;1.0;;;;27.0
Kapelle-G0678;35;;85.0;630;262.0;412.0;755.0;20.0;4.0;216.0;102;6.0;6.0;12.0;3.0;2.0;5.0;;;118.0
Kattendijke-G0679;12;;7.0;353;45.0;20.0;161.0;2.0;1.0;18.0;13;;;3.0;;1.0;1.0;;;23.0
Katwijk-G0537;207;;970.0;2288;1028.0;1681.0;5517.0;151.0;45.0;2221.0;175;87.0;54.0;17.0;26.0;16.0;17.0;;;1424.0
Katwoude-G0409;0;;27.0;32;15.0;20.0;30.0;7.0;;3.0;20;;;;;;;;;4.0
Kedichem-G0538;20;;8.0;285;142.0;131.0;38.0;;2.0;27.0;34;;1.0;5.0;;;;;;17.0
Kerkrade-G0928;1595;;17404.0;4640;488.0;190.0;221.0;119.0;619.0;43.0;444;42.0;182.0;40.0;147.0;48.0;;;;835.0
Kerkwijk-G0257;46;;40.0;539;66.0;553.0;264.0;11.0;7.0;794.0;102;13.0;5.0;7.0;4.0;2.0;2.0;;;182.0
Kessel-G0929;29;;1287.0;46;15.0;3.0;2.0;7.0;3.0;1.0;35;1.0;2.0;;;;;;;13.0
Kesteren-G0258;51;;23.0;923;118.0;438.0;179.0;12.0;13.0;1016.0;129;3.0;6.0;7.0;2.0;2.0;9.0;;;127.0
Klaaswaal-G0539;15;;9.0;508;165.0;178.0;214.0;22.0;5.0;166.0;20;2.0;1.0;;;;1.0;;;40.0
Klimmen-G0930;45;;1305.0;76;19.0;1.0;10.0;4.0;4.0;;65;1.0;8.0;1.0;3.0;;;;;31.0
Kloetinge-G0680;33;;71.0;373;182.0;146.0;392.0;14.0;4.0;66.0;18;1.0;8.0;3.0;1.0;;3.0;;;63.0
Kloosterburen-G0021;16;;534.0;239;101.0;234.0;7.0;13.0;5.0;;14;1.0;2.0;2.0;;1.0;;;;40.0
Klundert-G0804;43;;876.0;300;67.0;857.0;538.0;12.0;3.0;169.0;30;;1.0;1.0;3.0;2.0;;;;90.0
Kockengen-G0324;3;;327.0;39;35.0;166.0;148.0;12.0;1.0;130.0;44;2.0;3.0;1.0;;;;;;23.0
Koedijk-G0410;11;;468.0;399;129.0;50.0;41.0;61.0;36.0;5.0;50;1.0;5.0;1.0;2.0;1.0;;;;41.0
Koewacht-G0681;74;;875.0;158;23.0;3.0;6.0;4.0;4.0;3.0;117;2.0;2.0;3.0;8.0;1.0;;;;94.0
Kollumerland en Nieuwkruisland-G0079;95;;18.0;801;248.0;2413.0;1423.0;37.0;26.0;110.0;156;57.0;5.0;8.0;3.0;2.0;;;;179.0
Koog aan de Zaan-G0411;75;;464.0;1471;603.0;274.0;142.0;478.0;590.0;35.0;50;13.0;14.0;13.0;19.0;7.0;;;;195.0
Kortenhoef-G1097;25;;412.0;380;260.0;184.0;298.0;48.0;21.0;72.0;39;14.0;4.0;8.0;7.0;1.0;;1.0;;86.0
Kortgene-G0682;30;;13.0;876;277.0;207.0;477.0;13.0;3.0;162.0;29;3.0;12.0;12.0;1.0;;1.0;;;150.0
Koudekerk aan den Rijn-G0540;16;;145.0;213;86.0;319.0;332.0;13.0;13.0;32.0;20;;5.0;1.0;2.0;;1.0;;;20.0
Koudekerke-G1098;28;;27.0;295;138.0;437.0;510.0;14.0;3.0;92.0;23;7.0;14.0;3.0;4.0;;;;;211.0
Krabbendijke-G0684;29;;8.0;232;92.0;213.0;320.0;5.0;3.0;657.0;29;3.0;1.0;1.0;;2.0;1.0;;;80.0
Krimpen aan de Lek-G0541;57;;34.0;1103;247.0;333.0;139.0;77.0;35.0;197.0;37;5.0;6.0;1.0;1.0;3.0;;;;126.0
Krimpen aan den IJssel-G0542;119;;261.0;2471;626.0;449.0;604.0;180.0;106.0;1095.0;25;40.0;17.0;15.0;10.0;6.0;4.0;;;442.0
Krommenie-G0413;131;;1463.0;1441;472.0;409.0;123.0;472.0;862.0;27.0;56;81.0;23.0;12.0;23.0;8.0;;;;219.0
Kruiningen-G0685;51;;485.0;864;313.0;238.0;434.0;18.0;20.0;349.0;48;5.0;12.0;6.0;1.0;5.0;1.0;;;214.0
Kuinre-G0167;14;;55.0;193;37.0;31.0;92.0;6.0;4.0;1.0;17;;;;2.0;;;;;13.0
Kwadijk-G0414;3;;6.0;160;48.0;8.0;10.0;4.0;2.0;2.0;17;;8.0;1.0;;;;;;13.0
Landsmeer-G0415;106;;331.0;1617;386.0;402.0;319.0;260.0;657.0;36.0;120;10.0;9.0;8.0;18.0;7.0;;;;186.0
Langbroek-G0325;20;;169.0;155;30.0;159.0;207.0;5.0;2.0;129.0;30;;2.0;2.0;;;1.0;;;31.0
Lange Ruige Weide-G1101;8;;22.0;25;28.0;161.0;127.0;;3.0;77.0;21;;;;;;;;;16.0
Langedijk-G0416;44;;1606.0;1151;498.0;768.0;321.0;145.0;91.0;17.0;63;37.0;12.0;1.0;8.0;5.0;;;;134.0
Langerak-G0543;7;;5.0;127;53.0;174.0;34.0;2.0;2.0;94.0;19;34.0;;;;1.0;;;;31.0
Laren-G0417;137;;3098.0;1150;1642.0;334.0;323.0;309.0;68.0;50.0;168;11.0;50.0;60.0;35.0;19.0;;9.0;;316.0
Laren (Gld.)-G0259;115;;68.0;1015;1221.0;277.0;836.0;78.0;18.0;5.0;222;7.0;14.0;14.0;9.0;14.0;;;;189.0
Leek-G0022;83;;39.0;1895;619.0;1186.0;424.0;153.0;50.0;47.0;381;299.0;15.0;23.0;2.0;10.0;;;;271.0
Leende-G0805;27;;1326.0;61;85.0;17.0;15.0;11.0;1.0;1.0;43;;6.0;1.0;2.0;3.0;;;;27.0
Leens-G0023;33;;201.0;607;285.0;418.0;61.0;26.0;16.0;19.0;20;349.0;6.0;2.0;;5.0;;;;96.0
Leerbroek-G0544;8;;3.0;42;15.0;154.0;72.0;;;155.0;23;2.0;2.0;1.0;;;;;;59.0
Leerdam-G0545;121;;325.0;2405;494.0;1086.0;891.0;75.0;89.0;650.0;58;237.0;17.0;38.0;2.0;2.0;3.0;;;251.0
Leersum-G0326;55;;116.0;686;499.0;288.0;486.0;42.0;13.0;214.0;122;5.0;20.0;10.0;2.0;5.0;3.0;;;79.0
