RegioNaam;@invalid;@blank;KVP;PvdA;VVD;ARP;CHU;Pacifistisch-Socialistische Partij (PSP);Communistische Partij van Nederland;SGP;Boeren Partij;Gereformeerd Politiek Verbond (GPV);Partij Economisch Appel;Liberale Staatspartij;"Liberale Unie ""Veilig Verkeer""";Nieuw-Democratische Partij;CNVP;Lijst Grol;Volksreferendum;@abs
Arkel-G0487;15;;41.0;676;210.0;161.0;102.0;15.0;1.0;31.0;12;2.0;2.0;10.0;;;2.0;;;34.0
Arnemuiden-G0649;39;;22.0;311;29.0;267.0;271.0;11.0;7.0;515.0;8;6.0;6.0;;3.0;1.0;3.0;;;86.0
Arnhem-G0202;1718;;20670.0;25730;8322.0;4194.0;5268.0;1493.0;999.0;319.0;861;198.0;557.0;249.0;198.0;161.0;;;;3266.0
Asperen-G0488;14;;14.0;277;111.0;246.0;168.0;7.0;1.0;150.0;9;3.0;3.0;4.0;;;;;;38.0
Assen-G0106;452;;781.0;7357;2500.0;2262.0;1397.0;305.0;304.0;53.0;223;620.0;77.0;42.0;8.0;19.0;;;;1111.0
Assendelft-G0367;56;;1621.0;1073;285.0;115.0;73.0;249.0;476.0;39.0;80;22.0;14.0;8.0;11.0;3.0;;;;96.0
Asten-G0743;79;;4277.0;153;56.0;8.0;30.0;14.0;7.0;3.0;59;1.0;17.0;8.0;6.0;5.0;;;;73.0
Avenhorn-G0368;7;;459.0;206;72.0;8.0;19.0;29.0;5.0;;26;;1.0;1.0;1.0;1.0;;;;10.0
Avereest-G0143;104;;631.0;1416;478.0;1167.0;1814.0;35.0;10.0;51.0;337;36.0;10.0;12.0;5.0;7.0;;;;266.0
Axel-G0650;111;;941.0;913;277.0;644.0;745.0;29.0;19.0;178.0;63;451.0;12.0;7.0;4.0;8.0;5.0;;;203.0
Baarderadeel-G0061;31;;147.0;1296;454.0;351.0;339.0;90.0;10.0;9.0;93;5.0;11.0;12.0;;2.0;;;;112.0
Baarland-G0651;10;;103.0;80;24.0;72.0;96.0;1.0;7.0;42.0;7;;;1.0;;;;;;10.0
Baarle-Nassau-G0744;41;;1928.0;81;23.0;10.0;7.0;1.0;3.0;4.0;75;1.0;24.0;;3.0;;;;;57.0
Baarn-G0308;274;;2274.0;3206;2264.0;1814.0;1190.0;339.0;121.0;291.0;209;120.0;86.0;94.0;42.0;41.0;7.0;;;784.0
Baexem-G0886;21;;688.0;6;4.0;;;1.0;;;23;;3.0;;;;;;;13.0
Baflo-G0004;17;;11.0;513;194.0;711.0;106.0;14.0;15.0;3.0;29;50.0;2.0;10.0;1.0;1.0;;;;36.0
Bakel en Milheeze-G0745;41;;2513.0;108;29.0;12.0;9.0;7.0;5.0;2.0;65;;8.0;1.0;1.0;1.0;;;;
Barendrecht-G0489;62;;140.0;1234;708.0;1573.0;712.0;59.0;15.0;456.0;53;66.0;19.0;6.0;2.0;2.0;4.0;;;226.0
Barneveld-G0203;207;;648.0;1892;711.0;2168.0;3610.0;73.0;54.0;2426.0;534;91.0;50.0;37.0;23.0;14.0;;;;412.0
Barradeel-G0062;54;;43.0;1041;231.0;1060.0;1125.0;82.0;15.0;9.0;74;44.0;4.0;4.0;1.0;3.0;;;;105.0
Barsingerhorn-G0369;22;;78.0;477;187.0;43.0;27.0;89.0;64.0;1.0;53;1.0;3.0;3.0;4.0;;;;;83.0
Barwoutswaarder-G1017;8;;96.0;83;15.0;92.0;145.0;;6.0;37.0;16;;2.0;;;;;;;23.0
