RegioNaam;@invalid;@blank;PvdA;KVP;VVD;ARP;D66;CHU;Democratisch Socialisten '70;Communistische Partij van Nederland;SGP;Politieke Partij Radikalen (PPR);Gereformeerd Politiek Verbond (GPV);Nederlandse Middenstands Partij;Pacifistisch-Socialistische Partij (PSP);Boeren Partij;Algemene Bejaarden Partij Nederland;Nederlands Appel;Nieuwe Roomse Partij;Kabouters;Bejaarden en Arbeidspartij;Binding Rechts;Democraten 2000;Bejaardenpartij 65+;Lijst van Velzen;Bejaarden Partij Algemeen Belang;Stichting Gedupeerde Groepen 18+ t/m 65;Landelijke Partij van Bejaarden;Partij van het Recht;Positief Sociaal Democraten;@abs
Aalsmeer-G0358;49;;1961;1555.0;1358;1326;738;942.0;732;193.0;102.0;117.0;144.0;208.0;147.0;79.0;16.0;32.0;29.0;26.0;10.0;13.0;4.0;;3.0;8.0;1.0;2.0;;;1879
Aalten-G0197;52;;1246;1138.0;448;3077;201;1601.0;220;35.0;22.0;97.0;113.0;79.0;20.0;79.0;6.0;5.0;7.0;5.0;5.0;18.0;5.0;;4.0;;2.0;;;;1268
Aardenburg-G0648;14;;271;827.0;235;67;48;47.0;30;11.0;5.0;78.0;12.0;58.0;12.0;54.0;8.0;3.0;5.0;5.0;8.0;1.0;5.0;;;;;;;;435
Aarle-Rixtel-G0739;16;;227;1098.0;121;40;92;12.0;51;27.0;;19.0;2.0;23.0;21.0;30.0;5.0;;5.0;13.0;7.0;2.0;6.0;;1.0;;;;;;556
Abbekerk-G0359;1;;155;238.0;75;22;45;20.0;52;25.0;;7.0;5.0;23.0;16.0;11.0;4.0;;3.0;4.0;;1.0;;;;;;;;;188
Abbenbroek-G0481;5;;200;14.0;147;57;53;36.0;21;16.0;5.0;5.0;4.0;8.0;1.0;8.0;;2.0;;4.0;;1.0;;;;;;;;;124
Abcoude-G0305;14;;440;635.0;590;352;197;466.0;212;50.0;67.0;54.0;41.0;84.0;24.0;29.0;6.0;16.0;13.0;8.0;8.0;1.0;4.0;;4.0;;2.0;;;;519
Achtkarspelen-G0059;65;;2922;27.0;442;4145;190;1271.0;174;312.0;239.0;65.0;552.0;115.0;54.0;80.0;11.0;2.0;;5.0;23.0;11.0;10.0;;3.0;;;;;;2107
Adorp-G0001;7;;158;11.0;97;322;30;25.0;29;18.0;1.0;13.0;80.0;13.0;8.0;14.0;;3.0;;1.0;2.0;6.0;2.0;;;;;;;;90
Aduard-G0002;7;;335;8.0;208;364;44;60.0;40;44.0;2.0;11.0;142.0;15.0;9.0;5.0;4.0;1.0;;3.0;1.0;11.0;2.0;;;;;;;;150
Akersloot-G0360;7;;346;898.0;259;80;149;27.0;112;47.0;;76.0;15.0;35.0;41.0;24.0;11.0;;7.0;7.0;3.0;5.0;3.0;;2.0;;;;;;405
Alblasserdam-G0482;46;;3375;286.0;613;808;628;1174.0;312;168.0;939.0;68.0;170.0;65.0;77.0;32.0;12.0;45.0;1.0;17.0;9.0;3.0;6.0;8.0;;;3.0;;;;1815
Alkemade-G0483;26;;261;3004.0;277;268;168;130.0;180;29.0;15.0;84.0;7.0;140.0;41.0;50.0;13.0;13.0;48.0;8.0;17.0;3.0;9.0;;;;3.0;;;;984
Alkmaar-G0361;139;;6485;5924.0;2962;1382;2072;778.0;2073;1397.0;26.0;583.0;229.0;354.0;417.0;143.0;156.0;108.0;129.0;189.0;54.0;37.0;51.0;;11.0;;;;;;6227
Almelo-G0141;187;;9352;5969.0;2395;2266;1662;1577.0;1409;1822.0;185.0;387.0;384.0;671.0;316.0;300.0;143.0;77.0;49.0;56.0;51.0;40.0;25.0;;12.0;;;;;;6937
Almkerk-G0740;11;;295;20.0;76;1314;28;525.0;47;11.0;88.0;10.0;203.0;8.0;2.0;20.0;3.0;14.0;1.0;5.0;1.0;1.0;2.0;;;;;;;;373
Alphen aan den Rijn-G0484;70;;2910;2384.0;1672;2767;1114;2734.0;808;217.0;613.0;234.0;320.0;179.0;109.0;70.0;37.0;59.0;44.0;37.0;24.0;15.0;10.0;;6.0;;5.0;;;;3785
Alphen en Riel-G0741;15;;132;1526.0;97;35;61;14.0;27;6.0;;50.0;7.0;33.0;16.0;26.0;8.0;3.0;4.0;7.0;7.0;3.0;1.0;;2.0;;;;;;376
Ambt Delden-G0142;8;;207;1702.0;188;68;43;177.0;51;7.0;2.0;10.0;6.0;32.0;4.0;103.0;;4.0;6.0;2.0;4.0;6.0;2.0;;;;;;;;319
Ameide-G0485;5;;383;11.0;72;346;37;134.0;33;5.0;109.0;5.0;23.0;19.0;1.0;26.0;;4.0;;2.0;1.0;;;1.0;;;;;;;124
Ameland-G0060;10;;393;424.0;129;159;41;147.0;52;22.0;4.0;9.0;12.0;92.0;17.0;24.0;9.0;2.0;2.0;3.0;6.0;;2.0;;;;;;;;207
Amerongen-G0306;36;;716;74.0;317;307;103;619.0;191;30.0;323.0;9.0;71.0;41.0;18.0;43.0;16.0;13.0;;5.0;5.0;27.0;1.0;;4.0;;1.0;2.0;;;551
Amersfoort-G0307;401;;9111;6090.0;5019;3236;2486;2983.0;3366;978.0;701.0;620.0;1645.0;439.0;531.0;182.0;128.0;236.0;82.0;75.0;151.0;68.0;35.0;;24.0;;10.0;115.0;;;10287
Ammerstol-G0486;9;;446;10.0;64;20;48;21.0;30;74.0;12.0;6.0;;15.0;10.0;3.0;;1.0;;;1.0;;;;;;;;;;107
Ammerzoden-G0198;10;;188;1031.0;36;116;50;142.0;34;4.0;51.0;34.0;4.0;44.0;8.0;9.0;10.0;5.0;8.0;8.0;11.0;2.0;3.0;;;;2.0;;;;329
Amstelveen-G0362;126;;5957;5059.0;7530;3308;3709;1665.0;3677;663.0;144.0;1226.0;391.0;467.0;842.0;154.0;88.0;211.0;120.0;170.0;47.0;57.0;24.0;;10.0;23.0;14.0;17.0;;;7381
Amstenrade-G0884;29;;266;837.0;97;25;91;12.0;55;35.0;;93.0;4.0;22.0;21.0;18.0;13.0;2.0;11.0;11.0;6.0;2.0;1.0;;;;1.0;;;;434
Amsterdam-G0363;2392;;124908;39624.0;40630;18983;38341;10209.0;35759;67751.0;851.0;9910.0;2858.0;5478.0;13992.0;2326.0;2268.0;1808.0;1308.0;2979.0;1866.0;536.0;417.0;2059.0;272.0;1265.0;168.0;475.0;248.0;;136479
Andel-G0742;6;;65;2.0;23;431;7;238.0;27;2.0;126.0;1.0;15.0;11.0;1.0;1.0;2.0;2.0;;1.0;;2.0;;;;;;;;;97
Andijk-G0364;6;;399;373.0;91;719;110;42.0;61;142.0;50.0;31.0;69.0;40.0;27.0;46.0;5.0;3.0;8.0;9.0;4.0;6.0;4.0;;;;;;;;426
Angerlo-G0199;6;;329;761.0;71;71;67;235.0;69;13.0;3.0;35.0;8.0;25.0;8.0;39.0;9.0;4.0;32.0;4.0;5.0;18.0;;;1.0;;1.0;;;;353
Anloo-G0105;19;;1497;28.0;747;91;99;56.0;122;137.0;3.0;14.0;21.0;106.0;16.0;78.0;25.0;7.0;5.0;9.0;21.0;22.0;13.0;;1.0;;;;;;708
Anna Paulowna-G0366;27;;906;1179.0;581;241;134;110.0;121;105.0;19.0;36.0;52.0;87.0;37.0;37.0;3.0;;6.0;11.0;5.0;6.0;6.0;;6.0;;;;;;692
Apeldoorn-G0200;327;;16298;6679.0;7147;6058;3896;7594.0;3689;884.0;1621.0;669.0;989.0;1016.0;495.0;640.0;253.0;267.0;95.0;92.0;178.0;3364.0;91.0;;24.0;;;;;;15767
Appeltern-G0201;23;;123;1289.0;43;32;46;63.0;15;3.0;7.0;23.0;2.0;18.0;11.0;41.0;5.0;3.0;15.0;4.0;10.0;1.0;2.0;;;;;;;;505
Appingedam-G0003;49;;2116;104.0;539;1007;255;657.0;199;517.0;3.0;57.0;128.0;66.0;49.0;30.0;28.0;4.0;3.0;9.0;13.0;3.0;7.0;;5.0;;;;;;1308
Arcen en Velden-G0885;42;;183;1994.0;158;41;122;26.0;102;13.0;1.0;36.0;2.0;27.0;23.0;50.0;22.0;7.0;52.0;4.0;2.0;2.0;5.0;;2.0;;1.0;;;;760
Arkel-G0487;13;;763;36.0;232;165;83;95.0;40;11.0;35.0;5.0;9.0;15.0;4.0;8.0;5.0;23.0;;1.0;6.0;;;1.0;;;1.0;;;;215
Arnemuiden-G0649;15;;269;18.0;41;203;24;212.0;18;8.0;472.0;11.0;49.0;31.0;7.0;8.0;4.0;3.0;1.0;1.0;;2.0;3.0;;1.0;;;;;;441
Arnhem-G0202;440;;20367;12719.0;7683;3988;5350;3192.0;3912;1535.0;253.0;1136.0;756.0;1155.0;924.0;526.0;295.0;372.0;390.0;291.0;289.0;106.0;73.0;;45.0;;;;;;19093
Asperen-G0488;1;;249;22.0;160;260;77;143.0;29;15.0;162.0;9.0;19.0;7.0;11.0;12.0;2.0;2.0;;;1.0;1.0;;1.0;10.0;;;;;;209
Assen-G0106;142;;7661;633.0;2405;2670;1080;1351.0;872;640.0;59.0;233.0;1245.0;250.0;197.0;88.0;47.0;69.0;35.0;25.0;42.0;19.0;58.0;;4.0;;;;;;4277
Assendelft-G0367;20;;1018;1129.0;272;126;328;67.0;172;551.0;31.0;175.0;23.0;87.0;54.0;16.0;22.0;4.0;30.0;18.0;3.0;3.0;6.0;;1.0;;;;;;758
Asten-G0743;39;;334;3634.0;205;53;215;29.0;95;29.0;12.0;65.0;5.0;52.0;65.0;102.0;9.0;8.0;28.0;7.0;14.0;2.0;3.0;;2.0;;;;;;1205
Avenhorn-G0368;6;;240;414.0;108;26;66;16.0;53;44.0;;16.0;5.0;16.0;19.0;9.0;1.0;2.0;9.0;6.0;1.0;;8.0;;;;;;;;249
Avereest-G0143;25;;1227;551.0;600;1205;151;1533.0;196;21.0;60.0;40.0;149.0;119.0;24.0;140.0;22.0;6.0;8.0;6.0;14.0;24.0;2.0;;3.0;;;;;;1166
Axel-G0650;61;;1163;1227.0;328;591;263;475.0;109;62.0;127.0;375.0;566.0;181.0;26.0;104.0;24.0;23.0;16.0;23.0;14.0;10.0;4.0;;6.0;;;;;;1760
Baarderadeel-G0061;11;;946;99.0;400;369;106;245.0;100;22.0;4.0;18.0;34.0;92.0;35.0;23.0;7.0;;2.0;2.0;5.0;8.0;2.0;;;;;;;;429
Baarle-Nassau-G0744;15;;155;1504.0;91;35;80;12.0;42;7.0;1.0;26.0;2.0;43.0;14.0;97.0;14.0;5.0;6.0;9.0;9.0;1.0;5.0;;;;;;;;660
Baarn-G0308;109;;2428;1391.0;2255;1661;721;788.0;953;180.0;286.0;270.0;258.0;133.0;244.0;92.0;41.0;68.0;38.0;50.0;28.0;16.0;12.0;;3.0;;;7.0;;;3060
Baexem-G0886;16;;36;617.0;29;7;40;2.0;16;2.0;;7.0;;8.0;6.0;6.0;1.0;2.0;6.0;1.0;1.0;1.0;1.0;;;;;;;;135
Baflo-G0004;4;;408;6.0;214;636;33;56.0;41;42.0;2.0;20.0;83.0;21.0;13.0;6.0;2.0;3.0;;;3.0;1.0;;;;;;;;;162
Bakel en Milheeze-G0745;23;;151;1911.0;82;39;83;9.0;40;19.0;1.0;26.0;2.0;18.0;19.0;33.0;4.0;2.0;14.0;10.0;15.0;7.0;2.0;;1.0;;;;;;559
Barendrecht-G0489;22;;1350;274.0;935;1818;453;684.0;282;47.0;582.0;58.0;208.0;130.0;58.0;20.0;9.0;14.0;;10.0;5.0;9.0;3.0;4.0;;;;;;;1087
Barneveld-G0203;61;;1439;678.0;1117;2264;512;3134.0;607;46.0;3081.0;118.0;385.0;157.0;56.0;545.0;25.0;76.0;3.0;14.0;36.0;113.0;7.0;;10.0;;;;;;2704
Barradeel-G0062;29;;808;35.0;190;984;72;943.0;88;53.0;11.0;17.0;129.0;64.0;18.0;23.0;9.0;3.0;;6.0;12.0;24.0;5.0;;3.0;;;;;;574
Barsingerhorn-G0369;16;;815;93.0;355;67;79;47.0;56;100.0;4.0;8.0;7.0;32.0;21.0;26.0;7.0;2.0;3.0;5.0;15.0;2.0;8.0;;;;;;;;363
Batenburg-G0204;1;;38;164.0;13;8;13;22.0;5;1.0;;7.0;;2.0;;19.0;;2.0;3.0;;;;2.0;;;;;;;;36
Bathmen-G0144;22;;522;73.0;476;74;81;430.0;128;9.0;3.0;9.0;11.0;56.0;9.0;72.0;13.0;14.0;;5.0;1.0;10.0;1.0;;;;;;;;296
Bedum-G0005;12;;880;184.0;267;1640;92;131.0;79;74.0;25.0;26.0;573.0;36.0;35.0;22.0;5.0;2.0;3.0;2.0;15.0;9.0;3.0;;1.0;;;;;;478
Beegden-G0887;15;;57;460.0;26;8;26;2.0;27;;;8.0;;3.0;5.0;10.0;2.0;;3.0;3.0;3.0;1.0;;;;;;;;;158
Beek-G0888;93;;728;2967.0;332;91;644;41.0;266;53.0;3.0;88.0;5.0;47.0;41.0;90.0;37.0;27.0;45.0;42.0;37.0;9.0;6.0;;5.0;;5.0;;;;1574
Beek en Donk-G0746;29;;311;1872.0;124;38;177;6.0;86;46.0;2.0;56.0;2.0;36.0;37.0;42.0;13.0;4.0;7.0;11.0;17.0;3.0;2.0;;2.0;;;;;;866
Beemster-G0370;22;;960;878.0;686;195;291;104.0;221;104.0;9.0;38.0;12.0;94.0;59.0;33.0;13.0;14.0;11.0;4.0;6.0;5.0;10.0;;2.0;;;;;;667
Beers-G0747;6;;93;998.0;25;3;36;5.0;24;2.0;2.0;10.0;;11.0;7.0;21.0;;3.0;3.0;2.0;2.0;3.0;;;;;;;;;184
Beerta-G0006;34;;563;20.0;199;26;22;55.0;31;973.0;5.0;1.0;14.0;24.0;16.0;7.0;5.0;2.0;;6.0;13.0;4.0;2.0;;;;;;;;259
Beesd-G0205;8;;412;584.0;117;85;72;264.0;57;12.0;69.0;23.0;13.0;33.0;7.0;38.0;8.0;8.0;8.0;1.0;10.0;1.0;;;;;;;;;299
Beesel-G0889;81;;393;2772.0;141;58;250;20.0;183;28.0;1.0;41.0;8.0;39.0;29.0;92.0;29.0;6.0;39.0;17.0;19.0;5.0;10.0;;3.0;;5.0;;;;1502
Beilen-G0107;37;;2230;70.0;775;1185;218;818.0;160;102.0;23.0;31.0;221.0;106.0;50.0;155.0;14.0;13.0;3.0;8.0;17.0;12.0;21.0;;3.0;;;;;;1162
Belfeld-G0890;21;;178;1243.0;67;33;99;9.0;72;9.0;;36.0;2.0;11.0;6.0;22.0;12.0;4.0;5.0;6.0;6.0;2.0;1.0;;;;2.0;;;;471
Bellingwedde-G0007;67;;2286;53.0;562;234;89;291.0;113;1287.0;5.0;11.0;57.0;144.0;33.0;52.0;22.0;8.0;7.0;11.0;12.0;29.0;8.0;;2.0;;;;;;364
Bemelen-G0891;0;;10;87.0;13;3;9;;8;4.0;;4.0;;4.0;2.0;8.0;;;2.0;;;2.0;;;;;;;;;32
Bemmel-G0206;48;;753;3513.0;236;86;237;161.0;137;38.0;6.0;77.0;13.0;143.0;37.0;149.0;28.0;13.0;45.0;22.0;19.0;2.0;7.0;;3.0;;3.0;;;;1682
Bennebroek-G0372;22;;289;583.0;620;304;190;156.0;170;23.0;16.0;45.0;46.0;51.0;42.0;20.0;5.0;23.0;13.0;3.0;4.0;4.0;4.0;;3.0;2.0;3.0;1.0;;;790
Benschop-G0309;9;;86;394.0;71;191;39;230.0;49;5.0;182.0;10.0;21.0;12.0;5.0;16.0;1.0;1.0;8.0;1.0;1.0;;;;1.0;;1.0;;;;186
Benthuizen-G0490;5;;187;39.0;163;131;74;111.0;72;2.0;318.0;8.0;15.0;15.0;6.0;6.0;1.0;2.0;;4.0;1.0;1.0;1.0;;1.0;;1.0;;;;169
Berg en Terblijt-G0892;21;;174;946.0;89;23;102;8.0;101;13.0;2.0;69.0;1.0;16.0;13.0;33.0;8.0;5.0;8.0;8.0;6.0;6.0;3.0;;2.0;;6.0;;;;388
Bergambacht-G0491;19;;757;35.0;379;365;126;169.0;103;34.0;441.0;4.0;31.0;34.0;24.0;63.0;3.0;7.0;1.0;1.0;2.0;2.0;1.0;;4.0;;;;;;429
Bergen-G0373;29;;1331;1548.0;1660;310;552;149.0;538;120.0;7.0;133.0;38.0;112.0;179.0;143.0;46.0;37.0;17.0;50.0;16.0;8.0;13.0;;4.0;;;;;;1553
Bergen-G0893;97;;349;3820.0;170;64;276;20.0;120;16.0;2.0;25.0;11.0;59.0;30.0;87.0;17.0;8.0;36.0;9.0;17.0;12.0;4.0;;1.0;;2.0;;;;1651
Bergen op Zoom-G0748;147;;2785;7023.0;1645;563;1648;333.0;880;224.0;33.0;379.0;67.0;298.0;132.0;344.0;122.0;132.0;83.0;47.0;95.0;28.0;28.0;;10.0;;;;;;6890
Bergeyk-G0749;31;;254;2245.0;125;43;180;39.0;116;26.0;2.0;86.0;4.0;43.0;51.0;113.0;12.0;8.0;51.0;16.0;16.0;2.0;3.0;;2.0;;;;;;919
Bergh-G0207;82;;910;4727.0;309;144;381;100.0;187;58.0;11.0;221.0;6.0;96.0;44.0;233.0;37.0;11.0;58.0;20.0;49.0;56.0;9.0;;6.0;;6.0;;;;2539
Bergharen-G0208;7;;75;745.0;40;17;36;57.0;28;2.0;;15.0;2.0;20.0;7.0;14.0;8.0;10.0;5.0;2.0;7.0;;2.0;;2.0;;1.0;;;;226
Berghem-G0750;25;;383;1048.0;59;40;142;6.0;46;23.0;;14.0;;28.0;16.0;73.0;12.0;3.0;5.0;6.0;9.0;1.0;6.0;;;;;;;;558
Bergschenhoek-G0492;16;;396;496.0;364;317;279;539.0;77;22.0;108.0;29.0;113.0;44.0;20.0;27.0;7.0;6.0;11.0;2.0;5.0;3.0;3.0;;1.0;;1.0;;;;566
Berkel en Rodenrijs-G0493;19;;410;1796.0;524;532;265;666.0;143;22.0;57.0;55.0;470.0;67.0;34.0;36.0;6.0;5.0;40.0;8.0;10.0;3.0;3.0;;1.0;;2.0;;;;849
Berkel-Enschot-G0751;16;;223;2018.0;360;55;156;8.0;90;23.0;4.0;52.0;10.0;32.0;31.0;24.0;13.0;4.0;20.0;20.0;11.0;2.0;2.0;;;;;;;;613
Berkenwoude-G0494;4;;124;9.0;193;82;17;31.0;26;3.0;107.0;2.0;6.0;6.0;3.0;9.0;3.0;1.0;;2.0;;;;;;;;;;;92
Berkhout-G0374;9;;338;981.0;199;38;94;20.0;86;38.0;;16.0;1.0;22.0;20.0;16.0;1.0;1.0;8.0;3.0;4.0;;53.0;;2.0;;;;;;313
Berlicum-G0752;1;;367;1778.0;167;82;150;38.0;59;38.0;5.0;67.0;11.0;52.0;30.0;28.0;15.0;13.0;7.0;9.0;14.0;12.0;1.0;;3.0;;;;;;870
Best-G0753;61;;918;3876.0;509;159;625;89.0;331;87.0;15.0;178.0;16.0;84.0;71.0;94.0;26.0;17.0;32.0;25.0;28.0;10.0;9.0;;9.0;;;;;;2078
Beuningen-G0209;24;;417;1472.0;180;61;193;56.0;112;21.0;6.0;57.0;5.0;65.0;45.0;61.0;8.0;7.0;17.0;12.0;22.0;8.0;2.0;;2.0;;2.0;;;;1003
Beusichem-G0210;10;;476;57.0;208;99;65;88.0;63;18.0;57.0;9.0;13.0;15.0;6.0;36.0;8.0;6.0;;2.0;2.0;3.0;;;;;;;;;230
Beverwijk-G0375;114;;4903;4834.0;1594;907;1582;563.0;1338;1302.0;50.0;588.0;147.0;303.0;349.0;133.0;68.0;63.0;64.0;70.0;60.0;24.0;19.0;;14.0;32.0;11.0;15.0;;;5043
Bierum-G0008;18;;359;9.0;159;655;32;483.0;26;60.0;2.0;19.0;49.0;14.0;4.0;13.0;4.0;6.0;;5.0;13.0;1.0;1.0;;;;;;;;418
Bingelrade-G0894;5;;39;251.0;7;5;9;;2;2.0;1.0;11.0;;4.0;8.0;4.0;1.0;1.0;8.0;2.0;2.0;1.0;;;;;13.0;;;;78
Bladel en Netersel-G0754;21;;255;1985.0;146;28;173;48.0;98;16.0;2.0;67.0;2.0;30.0;27.0;59.0;13.0;10.0;29.0;20.0;16.0;6.0;7.0;;;;;;;;928
Blankenham-G0145;0;;53;14.0;49;17;5;56.0;4;;;;1.0;3.0;;6.0;;;;;;1.0;;;;;;;;;39
Blaricum-G0376;14;;342;732.0;958;117;212;79.0;262;63.0;12.0;74.0;42.0;62.0;100.0;64.0;17.0;33.0;7.0;14.0;7.0;3.0;4.0;;;5.0;5.0;1.0;;;781
Bleiswijk-G0495;8;;326;611.0;388;281;102;339.0;75;3.0;198.0;29.0;35.0;36.0;11.0;22.0;4.0;5.0;1.0;5.0;4.0;;2.0;;;;1.0;;;;483
Bleskensgraaf en Hofwegen-G0496;7;;155;7.0;61;248;41;67.0;40;7.0;272.0;6.0;38.0;9.0;1.0;15.0;1.0;;;;;;1.0;3.0;1.0;;;;;;203
Bloemendaal-G0377;58;;1329;1964.0;3575;697;535;478.0;843;84.0;27.0;159.0;122.0;111.0;151.0;48.0;30.0;99.0;37.0;22.0;18.0;22.0;5.0;;6.0;6.0;2.0;8.0;;;2408
Blokker-G0378;11;;178;838.0;164;21;94;16.0;79;18.0;1.0;32.0;3.0;33.0;20.0;17.0;3.0;2.0;93.0;5.0;3.0;3.0;6.0;;;;;;;;340
Blokzijl-G0146;4;;247;9.0;58;148;12;113.0;33;8.0;8.0;5.0;39.0;23.0;5.0;12.0;1.0;;;;1.0;2.0;1.0;;;;;;;;99
Bocholtz-G0895;87;;251;1271.0;56;28;233;10.0;41;102.0;3.0;26.0;3.0;5.0;12.0;26.0;14.0;7.0;13.0;21.0;7.0;8.0;10.0;;3.0;;4.0;;;;649
Bodegraven-G0497;25;;892;1307.0;706;1306;339;814.0;267;65.0;492.0;94.0;160.0;68.0;67.0;61.0;20.0;21.0;6.0;9.0;9.0;4.0;2.0;;5.0;;2.0;;;;1606
Boekel-G0755;21;;223;2108.0;70;43;101;9.0;46;9.0;2.0;50.0;3.0;31.0;32.0;80.0;14.0;8.0;28.0;3.0;10.0;3.0;1.0;;1.0;;;;;;722
Bolsward-G0064;35;;1100;1095.0;196;757;165;626.0;114;65.0;7.0;143.0;44.0;84.0;55.0;13.0;3.0;8.0;25.0;8.0;6.0;5.0;5.0;;2.0;;;;;;953
Borculo-G0211;34;;1564;630.0;921;377;195;365.0;210;24.0;;29.0;21.0;101.0;19.0;80.0;9.0;6.0;5.0;5.0;7.0;10.0;1.0;;1.0;;;;;;670
Borger-G0108;65;;2745;90.0;794;688;188;550.0;167;216.0;4.0;18.0;84.0;96.0;30.0;105.0;24.0;5.0;3.0;16.0;23.0;11.0;6.0;;3.0;;;;;;1144
Born-G0897;73;;334;1734.0;74;48;157;8.0;102;22.0;2.0;43.0;6.0;18.0;16.0;48.0;7.0;5.0;15.0;52.0;12.0;9.0;11.0;;;;;;;;701
Borne-G0147;42;;1668;3972.0;412;348;418;435.0;235;164.0;22.0;119.0;31.0;153.0;41.0;103.0;23.0;5.0;41.0;9.0;8.0;17.0;5.0;;4.0;;;;;;1170
Borsele-G0654;52;;1014;2407.0;532;864;217;1305.0;139;27.0;954.0;251.0;110.0;160.0;30.0;156.0;16.0;13.0;38.0;17.0;15.0;8.0;17.0;;6.0;;;;;;1702
Boskoop-G0499;27;;840;1075.0;965;1004;319;645.0;237;52.0;272.0;62.0;84.0;90.0;74.0;37.0;7.0;15.0;58.0;6.0;13.0;1.0;6.0;;1.0;;;;;;1221
Bovenkarspel-G0379;8;;333;1018.0;107;44;154;12.0;98;84.0;2.0;106.0;3.0;34.0;17.0;25.0;2.0;3.0;71.0;5.0;4.0;3.0;3.0;;1.0;;;;;;424
Boxmeer-G0756;59;;492;3255.0;192;102;226;34.0;144;40.0;7.0;72.0;9.0;58.0;33.0;76.0;24.0;1.0;25.0;15.0;20.0;4.0;;;;;;;;;1173
Boxtel-G0757;106;;1281;4538.0;448;154;537;56.0;248;91.0;8.0;226.0;20.0;129.0;83.0;197.0;49.0;32.0;46.0;37.0;53.0;6.0;16.0;;11.0;;;;;;2826
Brakel-G0212;21;;793;9.0;48;419;39;296.0;45;10.0;752.0;5.0;29.0;23.0;8.0;40.0;6.0;5.0;;1.0;3.0;9.0;3.0;;1.0;;1.0;;;;676
Brandwijk-G0500;3;;76;1.0;64;175;10;39.0;6;1.0;121.0;;4.0;9.0;;11.0;;1.0;;3.0;1.0;;;2.0;1.0;;1.0;;;;84
Breda-G0758;469;;9994;18749.0;6320;1761;5137;1129.0;2981;1000.0;118.0;2901.0;241.0;1028.0;777.0;803.0;515.0;342.0;289.0;176.0;775.0;68.0;164.0;;45.0;;;;;;19258
Breukelen-G0311;37;;754;662.0;720;681;405;645.0;387;46.0;289.0;160.0;129.0;67.0;40.0;34.0;8.0;11.0;20.0;7.0;4.0;8.0;2.0;;5.0;;;1.0;;;1120
Brielle-G0501;20;;1310;260.0;773;400;483;360.0;176;74.0;28.0;74.0;29.0;48.0;40.0;15.0;7.0;21.0;3.0;15.0;6.0;2.0;4.0;8.0;;;2.0;;;;906
Broek in Waterland-G0380;14;;302;45.0;228;97;105;144.0;120;43.0;6.0;9.0;8.0;19.0;19.0;34.0;7.0;2.0;;4.0;2.0;3.0;;;;;;;;;246
Broekhuizen-G0898;3;;66;510.0;24;12;17;2.0;13;1.0;1.0;3.0;;;11.0;17.0;4.0;2.0;7.0;3.0;3.0;;;;;;;;;;106
Brouwershaven-G0656;7;;717;16.0;390;239;58;137.0;44;14.0;57.0;4.0;69.0;48.0;7.0;13.0;8.0;5.0;;3.0;2.0;2.0;4.0;;;;;;;;354
Bruinisse-G0657;12;;339;12.0;185;173;24;197.0;24;7.0;291.0;2.0;33.0;43.0;10.0;4.0;6.0;5.0;;2.0;2.0;3.0;2.0;;;;;;;;301
Brummen-G0213;51;;4257;572.0;944;618;459;1103.0;397;143.0;41.0;77.0;71.0;203.0;66.0;145.0;23.0;29.0;11.0;21.0;28.0;70.0;8.0;;4.0;;;;;;1733
Brunssum-G0899;175;;3014;4636.0;347;335;800;149.0;311;529.0;5.0;497.0;63.0;101.0;91.0;141.0;93.0;32.0;129.0;65.0;46.0;15.0;26.0;;7.0;;12.0;;;;3784
Budel-G0759;61;;376;2436.0;148;28;221;20.0;94;27.0;4.0;39.0;3.0;92.0;23.0;182.0;13.0;7.0;37.0;7.0;11.0;3.0;3.0;;6.0;;;;;;1437
Bunde-G0900;19;;263;980.0;173;22;135;3.0;148;26.0;;41.0;1.0;7.0;12.0;28.0;12.0;7.0;18.0;12.0;6.0;1.0;9.0;;4.0;;2.0;;;;630
Bunnik-G0312;22;;629;1869.0;685;425;301;330.0;341;18.0;128.0;152.0;44.0;57.0;65.0;20.0;5.0;14.0;18.0;12.0;3.0;9.0;2.0;;;;1.0;7.0;;;864
Bunschoten-G0313;31;;238;44.0;114;1891;85;179.0;109;13.0;480.0;14.0;2080.0;69.0;6.0;26.0;5.0;8.0;;5.0;5.0;9.0;2.0;;2.0;;;;;;750
Buren-G0214;6;;496;46.0;90;68;50;253.0;73;7.0;72.0;1.0;13.0;13.0;12.0;35.0;6.0;12.0;;4.0;6.0;6.0;2.0;;;;1.0;;;;293
Bussum-G0381;143;;3315;3670.0;4801;1604;1618;1104.0;1988;536.0;215.0;516.0;386.0;326.0;343.0;151.0;105.0;178.0;113.0;75.0;35.0;34.0;21.0;;8.0;24.0;3.0;12.0;;;5258
Buurmalsen-G0215;13;;467;48.0;115;136;59;218.0;60;9.0;148.0;5.0;16.0;6.0;13.0;18.0;2.0;7.0;1.0;3.0;3.0;8.0;1.0;;1.0;;;;;;280
Cadier en Keer-G0901;17;;137;797.0;78;16;89;3.0;63;15.0;;28.0;;22.0;11.0;14.0;11.0;11.0;8.0;6.0;2.0;1.0;4.0;;;;3.0;;;;378
Callantsoog-G0382;4;;303;115.0;191;21;48;19.0;39;19.0;2.0;2.0;9.0;16.0;19.0;18.0;5.0;6.0;1.0;3.0;1.0;2.0;;;;;;;;;200
