RegioNaam;@invalid;@blank;KVP;PvdA;ARP;CHU;VVD;Communistische Partij van Nederland;SGP;Overig;Lijst Welter;@abs
Steenbergen-G0851;0;;4461.0;350;100.0;89.0;92.0;49.0;36.0;39.0;34.0;455.0
Steenderen-G0280;0;;915.0;277;345.0;311.0;193.0;7.0;6.0;4.0;10.0;152.0
Steenwijk-G0181;0;;224.0;1984;756.0;844.0;451.0;204.0;25.0;33.0;10.0;448.0
Steenwijkerwold-G0182;0;;629.0;1234;453.0;1077.0;251.0;102.0;25.0;29.0;3.0;304.0
Stein-G0971;0;;2156.0;129;29.0;31.0;;85.0;3.0;7.0;44.0;161.0
Stellendam-G1195;0;;9.0;223;436.0;123.0;65.0;15.0;145.0;;4.0;98.0
Stevensweert-G0972;0;;598.0;36;1.0;8.0;2.0;3.0;3.0;7.0;15.0;25.0
Stiphout-G1196;0;;683.0;26;1.0;;;4.0;;6.0;2.0;28.0
Stolwijk-G0615;0;;12.0;519;289.0;45.0;331.0;23.0;218.0;46.0;;175.0
Stoutenburg-G0343;0;;535.0;41;59.0;95.0;2.0;7.0;74.0;1.0;10.0;45.0
Stramproy-G0973;0;;807.0;12;2.0;7.0;;1.0;1.0;1.0;11.0;52.0
Streefkerk-G0616;0;;;241;248.0;170.0;109.0;9.0;208.0;4.0;;81.0
Strijen-G0617;0;;11.0;969;583.0;491.0;483.0;19.0;220.0;22.0;;241.0
Susteren-G0974;0;;2071.0;210;18.0;5.0;6.0;24.0;7.0;1.0;32.0;145.0
Swalmen-G0975;0;;2512.0;56;13.0;5.0;8.0;7.0;;9.0;69.0;197.0
't Zandt-G0054;0;;8.0;639;511.0;290.0;279.0;32.0;4.0;70.0;2.0;139.0
Tegelen-G0976;0;;5684.0;148;19.0;4.0;15.0;77.0;2.0;11.0;176.0;360.0
Ten Boer-G0009;0;;7.0;824;1227.0;265.0;436.0;137.0;7.0;57.0;7.0;227.0
Ter Aar-G0480;0;;1203.0;40;276.0;383.0;35.0;6.0;75.0;2.0;16.0;95.0
Terheijden-G0853;0;;2097.0;159;13.0;36.0;12.0;8.0;3.0;2.0;21.0;112.0
Termunten-G0042;0;;12.0;665;612.0;222.0;261.0;387.0;3.0;62.0;2.0;606.0
Terneuzen-G0715;0;;1127.0;2090;871.0;1117.0;558.0;137.0;595.0;126.0;146.0;705.0
Terschelling-G0093;0;;52.0;1273;294.0;431.0;467.0;117.0;3.0;46.0;8.0;
Teteringen-G0854;0;;888.0;42;12.0;8.0;11.0;4.0;;5.0;18.0;50.0
Texel-G0448;0;;1327.0;2452;748.0;387.0;925.0;313.0;16.0;60.0;30.0;
Tholen-G0716;0;;132.0;228;273.0;426.0;138.0;7.0;520.0;43.0;7.0;226.0
Thorn-G0977;0;;914.0;11;1.0;;2.0;2.0;;2.0;13.0;62.0
Tiel-G0281;0;;2031.0;3638;496.0;476.0;773.0;235.0;37.0;69.0;38.0;445.0
Tienhoven (Ut)-G1202;0;;7.0;33;156.0;123.0;7.0;2.0;16.0;1.0;;
Tienhoven (ZH)-G0618;0;;;29;104.0;16.0;14.0;2.0;25.0;1.0;;20.0
Tietjerksteradeel-G0094;0;;78.0;2849;3289.0;2178.0;709.0;277.0;105.0;213.0;10.0;775.0
Tilburg-G0855;0;;41537.0;6824;779.0;400.0;661.0;2149.0;83.0;312.0;2472.0;5421.0
Tubbergen-G0183;0;;5144.0;166;33.0;318.0;35.0;14.0;6.0;3.0;9.0;228.0
Tull en 't Waal-G1205;0;;133.0;19;20.0;55.0;5.0;;8.0;1.0;4.0;7.0
Twisk-G0449;0;;11.0;265;43.0;15.0;107.0;21.0;2.0;3.0;1.0;23.0
Ubach over Worms-G0978;0;;2232.0;263;43.0;38.0;10.0;371.0;5.0;23.0;48.0;411.0
Ubbergen-G0282;0;;2603.0;118;39.0;50.0;74.0;15.0;2.0;8.0;64.0;78.0
Uden-G0856;0;;4368.0;97;32.0;18.0;17.0;17.0;4.0;14.0;35.0;133.0
Udenhout-G0857;0;;2017.0;73;4.0;1.0;3.0;4.0;;8.0;18.0;140.0
Uitgeest-G0450;0;;1266.0;499;46.0;22.0;105.0;414.0;1.0;14.0;5.0;123.0
Uithoorn-G0451;0;;1386.0;235;204.0;371.0;53.0;44.0;18.0;11.0;30.0;104.0
Uithuizen-G0043;0;;342.0;612;642.0;338.0;283.0;253.0;;59.0;6.0;179.0
