RegioNaam;@invalid;@blank;D66;CDA;PVV;VVD;SP;PvdA;CU-SGP;GL;PvdD;50+;PPNL;Artikel50;Anti  EU(ro)  Partij;DG;JEZUS LEEFT;ikkiesvooreerlijk.eu;Liberaal Democratische Partij;Aandacht en Eenvoud;IQ, de Rechten-Plichten-Partij;@abs
Weesp-G0457;24;27;956;678;629;696;503;591;139;592;253;220;49;69;23;15;5;10;10;3;3;8461
Werkendam-G0870;13;15;536;1632;1177;741;460;401;2076;214;171;251;24;14;23;9;30;7;1;2;0;12460
West Maas en Waal-G0668;15;14;563;934;843;920;699;317;48;186;147;313;21;13;7;12;2;5;10;4;4;9437
Westerveld-G1701;21;24;878;1041;636;1228;608;970;274;464;390;265;35;14;25;27;5;6;13;2;1;8310
Westervoort-G0293;8;24;535;603;578;386;623;387;135;278;172;158;30;24;10;16;4;4;4;1;4;7950
Westland-G1783;45;131;3112;7618;5777;5261;1426;1318;2014;720;894;918;172;171;54;33;68;35;23;25;12;47391
Weststellingwerf-G0098;21;17;637;1381;1004;1243;798;1021;265;390;321;250;49;41;28;14;19;11;12;7;3;12700
Westvoorne-G0614;11;18;696;565;898;1057;326;385;133;143;267;159;14;24;18;8;3;2;3;3;2;6537
Wierden-G0189;12;13;565;3489;751;699;364;320;1165;187;119;208;29;15;16;6;26;4;3;2;0;10431
Wijchen-G0296;20;41;1870;1870;1621;1655;1476;1049;147;550;407;534;94;58;23;14;7;23;10;5;3;20173
Wijdemeren-G1696;17;12;1412;1292;937;1413;454;562;294;380;395;269;59;41;18;14;4;8;9;3;1;10590
Wijk bij Duurstede-G0352;14;29;1077;957;1052;984;842;565;532;620;285;184;37;37;23;8;7;9;6;5;3;10626
Winsum-G0053;13;25;539;904;304;414;470;705;680;509;262;118;36;16;5;8;6;1;4;1;2;5574
Winterswijk-G0294;24;31;988;1792;700;1351;950;1060;174;398;278;294;35;25;4;14;15;10;5;5;5;14116
Woensdrecht-G0873;16;9;630;869;1202;708;511;350;59;135;225;379;32;26;18;8;14;6;7;2;3;11341
Woerden-G0632;34;47;2917;3512;1764;2140;913;1320;2025;928;557;443;109;93;41;30;50;18;15;12;6;21038
Wormerland-G0880;17;22;656;501;643;652;564;538;126;385;287;193;44;17;12;5;8;2;5;2;1;7632
Woudenberg-G0351;6;9;382;767;434;498;212;239;1621;116;93;126;20;23;8;2;19;5;4;1;0;4613
Woudrichem-G0874;8;8;304;998;475;420;299;237;982;139;117;113;14;14;12;2;33;4;3;1;1;7018
Zaanstad-G0479;109;129;5217;3188;5859;3726;4859;4321;1138;2725;2336;1713;418;192;112;77;67;54;68;37;13;76422
Zaltbommel-G0297;24;25;951;973;897;859;606;571;2394;395;243;226;42;48;23;14;19;4;45;6;2;11607
Zandvoort-G0473;18;15;781;457;998;943;309;378;49;196;374;354;30;44;29;13;4;5;15;4;4;8261
Zederik-G0707;5;10;276;1164;492;485;210;361;1775;110;93;99;15;8;9;5;10;1;3;1;0;5290
Zeevang-G0478;8;10;333;227;361;418;169;220;32;170;127;82;11;10;12;6;5;1;4;2;2;2696
Zeewolde-G0050;13;18;869;1032;870;1018;447;364;959;242;230;163;51;36;14;15;30;6;12;2;2;8829
Zeist-G0355;32;54;4222;2397;2154;3342;1396;1767;1643;2076;990;499;165;138;42;71;21;28;28;11;3;24913
Zevenaar-G0299;18;22;1289;1744;1162;1056;1064;957;139;391;316;441;67;32;28;43;6;9;7;6;11;16943
