RegioNaam;@invalid;@blank;CDA;VVD;PvdA;GL;D66;SP;GPV_RPF;SGP;Nederland Mobiel;Gereformeerd Politiek Verbond (GPV);AOV/Senioren2000/Unie55+;Partij Nieuw Limburg;SGP-GPV-RPF;AOV/Unie55+;Onafhankelijken Zuid-Holland;FNP;Centrumdemocraten;Reformatorische Politieke Federatie (RPF);De Groenen/Noord-Holland Anders;SGP_RPF;Federatie Brabantse Onafhankelijke Fracties;Partij Nieuw Gelderland;GL/Delta Anders;Partij voor Zeeland;Onafhankelijke Partij Drenthe;AOV/Senioren2000;Ouderen Unie 55+;Leefbaar Gelderland/De Groenen;Samenwerkende Partij Ouderen Limburg_Unie55+;de Inwonerspartijen;Federatie Gemeentebelangen Friesland;Leefbaar Overijssel/De Groenen;Nieuwe Communistische Partij;Drentse Ouderenpartijen;de Groningers;Het Nederlands Blok;Natuurwetpartij;Lijst Linssen;Onafhankelijke Partij Provincie Groningen;Islamitische Partij Nederland;Gelovig Democratische Unie;@abs
Aa en Hunze-G1680;;0;970;3369;3566;1040.0;826;;161.0;;;;;;;;;;;;;;;;;;743.0;;;;;;;;;227.0;;;;;;;;8398
Aalburg-G0738;;9;1538;631;339;111.0;58;65.0;;;;;23.0;;1904.0;;;;;;;;8.0;;;;;;;;;;;;;;;;;2.0;;;;3699
Aalsmeer-G0358;;13;2097;2581;1126;621.0;464;110.0;;;116.0;;;;419.0;136.0;;;76.0;;100.0;;;;;;;;;;;;;;;;;;;;;;;9402
Aalten-G0197;;16;4421;965;1206;427.0;220;99.0;445.0;19.0;;;42.0;;;;;;33.0;;;;;23.0;;;;;;80.0;;;;;;;;;;;;;1.0;5815
Abcoude-G0305;;22;752;1118;346;287.0;399;36.0;98.0;42.0;33.0;;;;;14.0;;;;;;;;;;;;;;;;533.0;;;;;;10.0;;;;;;2589
Achtkarspelen-G0059;;28;4779;998;2446;563.0;146;;;;;737.0;;;;;;1222.0;;;;824.0;;;;;;;;;;;291.0;;;;;;;;;;;9049
Akersloot-G0360;;14;486;492;290;161.0;90;34.0;;;25.0;;;;21.0;43.0;;;12.0;;19.0;;;;;;;;;;;;;;;;;;;;;;;1944
Alblasserdam-G0482;;9;1155;1093;1456;305.0;194;152.0;654.0;1167.0;78.0;;;;;;27.0;;31.0;;;;;;;;;17.0;52.0;;;;;;;;;;;;;;;6870
Albrandswaard-G0613;;11;1211;2015;758;351.0;399;116.0;200.0;127.0;79.0;;;;;;42.0;;38.0;;;;;;;;;18.0;58.0;;;;;;;;;;;;;;;6697
Alkemade-G0483;;4;1810;1485;589;416.0;188;101.0;23.0;13.0;59.0;;;;;;19.0;;57.0;;;;;;;;;24.0;51.0;;;;;;;;;;;;;;;5856
Alkmaar-G0361;;58;4514;6293;6771;4565.0;1772;2103.0;;;405.0;;;;600.0;619.0;;;233.0;;576.0;;;;;;;;;;;;;;;;;;;;;;;40195
Almelo-G0141;;36;5338;4052;5155;1716.0;981;701.0;;94.0;;328.0;400.0;;;;;;;515.0;;;;;;;;;;;;;;158.0;71.0;;;;;;;;;29112
Almere-G0034;;90;3335;12636;7174;4899.0;3115;;1045.0;110.0;;;1150.0;;;;;;;;;;;;;;;;;;;;;;;;;;612.0;;;;;58869
Alphen aan den Rijn-G0484;;40;4411;5993;2931;2135.0;1539;1197.0;1437.0;481.0;702.0;;;;;;88.0;;172.0;;;;;;;;;122.0;144.0;;;;;;;;;;;;;;;29754
Alphen-Chaam-G1723;;51;2386;1561;745;345.0;224;110.0;;;;;79.0;;11.0;;;;;;;;17.0;;;;;;;;;;;;;;;;;7.0;;;;1545
Ambt Delden-G0142;;12;1614;570;166;80.0;55;36.0;;1.0;;3.0;16.0;;;;;;;5.0;;;;;;;;;;;;;;6.0;0.0;;;;;;;;;1431
Ambt Montfort-G1679;;0;1360;884;536;273.0;110;72.0;;;55.0;;;988.0;;;;;;;;;;;;;;14.0;;;163.0;;;;;;;;;;;;;4139
Ameland-G0060;;2;533;361;286;86.0;30;;;;;2.0;;;;;;11.0;;;;8.0;;;;;;;;;;;319.0;;;;;;;;;;;1002
Amerongen-G0306;;1;706;737;290;178.0;160;64.0;237.0;399.0;66.0;;;;;12.0;;;;;;;;;;;;;;;;9.0;;;;;;16.0;;;;;;2616
Amersfoort-G0307;;68;7173;10263;6746;6078.0;3205;1235.0;3710.0;733.0;373.0;;;;;303.0;;;;;;;;;;;;;;;;273.0;;;;;;271.0;;;;;;50210
Amstelveen-G0362;;55;4516;10250;4621;3950.0;2567;571.0;;;413.0;;;;584.0;666.0;;;215.0;;455.0;;;;;;;;;;;;;;;;;;;;;;;29839
Amsterdam-G0363;;1371;14695;41084;42288;36987.0;15749;9087.0;;;2556.0;;;;2080.0;4266.0;;;1559.0;;8356.0;;;;;;;;;;;;;;;;;;;;;;;342693
Andijk-G0364;;4;715;529;343;178.0;81;63.0;;;31.0;;;;322.0;41.0;;;15.0;;17.0;;;;;;;;;;;;;;;;;;;;;;;2347
Angerlo-G0199;;6;602;342;381;145.0;96;83.0;7.0;2.0;;;15.0;;;;;;2.0;;;;;18.0;;;;;;41.0;;;;;;;;;;;;;0.0;1944
Anna Paulowna-G0366;;17;1067;1607;1043;253.0;216;72.0;;;78.0;;;;108.0;139.0;;;33.0;;59.0;;;;;;;;;;;;;;;;;;;;;;;5462
Apeldoorn-G0200;;77;11581;13212;10228;4896.0;3422;1144.0;3143.0;2083.0;;;893.0;;;;;;236.0;;;;;675.0;;;;;;548.0;;;;;;;;;;;;;19.0;64797
Appingedam-G0003;;8;1068;773;1670;282.0;173;107.0;;;;131.0;69.0;;;;;;;;;91.0;;;;;;;;;;;;;56.0;;104.0;;;;10.0;;;5155
Arcen en Velden-G0885;;19;2140;547;463;246.0;97;27.0;;;34.0;;;272.0;;;;;;;;;;;;;;19.0;;;47.0;;;;;;;;;;;;;2772
Arnhem-G0202;;172;6361;9600;9545;6720.0;3212;2697.0;1198.0;106.0;;;778.0;;;;;;305.0;;;;;219.0;;;;;;715.0;;;;;;;;;;;;;14.0;63480
Assen-G0106;;24;3456;4266;6215;2663.0;1819;;2486.0;;;;;;;;;;;;;;;;;;866.0;;;;;;;;;326.0;;;;;;;;20520
Asten-G0743;;21;2614;1079;625;500.0;442;165.0;;;;;76.0;;15.0;;;;;;;;22.0;;;;;;;;;;;;;;;;;;;;;6186
Avereest-G0143;;18;2234;1197;1250;305.0;202;86.0;;60.0;;227.0;67.0;;;;;;;293.0;;;;;;;;;;;;;;60.0;13.0;;;;;;;;;5451
Axel-G0650;;30;953;756;902;;115;;592.0;124.0;;;30.0;;;;;;;;;;;;332.0;248.0;;;;;;;;;;;;;;;;;;4781
Baarle-Nassau-G0744;;11;1132;388;233;114.0;82;42.0;;;;;40.0;;6.0;;;;;;;;2.0;;;;;;;;;;;;;;;;;3.0;;;;2477
Baarn-G0308;;17;1671;3081;1300;1053.0;648;241.0;581.0;118.0;85.0;;;;;50.0;;;;;;;;;;;;;;;;29.0;;;;;;80.0;;;;;;9483
Barendrecht-G0489;;11;2141;2745;1254;689.0;535;170.0;697.0;887.0;105.0;;;;;;59.0;;63.0;;;;;;;;;32.0;78.0;;;;;;;;;;;;;;;10220
Barneveld-G0203;;13;5170;3226;1258;613.0;365;134.0;3295.0;4866.0;;;48.0;;;;;;87.0;;;;;84.0;;;;;;71.0;;;;;;;;;;;;;11.0;13788
Bathmen-G0144;;7;573;730;453;268.0;116;26.0;;2.0;;5.0;12.0;;;;;;;19.0;;;;;;;;;;;;;;93.0;10.0;;;;;;;;;1708
Bedum-G0005;;14;1705;656;1061;394.0;248;53.0;;;;820.0;38.0;;;;;;;;;119.0;;;;;;;;;;;;;25.0;;68.0;;;;11.0;;;2650
Beek-G0888;;16;2214;1607;699;623.0;628;172.0;;;123.0;;;481.0;;;;;;;;;;;;;;56.0;;;128.0;;;;;;;;;;;;;6389
Beemster-G0370;;7;676;1281;700;284.0;175;54.0;;;52.0;;;;26.0;95.0;;;16.0;;62.0;;;;;;;;;;;;;;;;;;;;;;;2948
Beesel-G0889;;10;1710;949;759;269.0;127;67.0;;;95.0;;;153.0;;;;;;;;;;;;;;32.0;;;41.0;;;;;;;;;;;;;5670
Belfeld-G0890;;3;549;517;192;78.0;43;30.0;;;11.0;;;385.0;;;;;;;;;;;;;;13.0;;;15.0;;;;;;;;;;;;;2239
Bellingwedde-G0007;;19;476;892;1717;403.0;114;115.0;;;;15.0;62.0;;;;;;;;;90.0;;;;;;;;;;;;;103.0;;59.0;;;;8.0;;;3441
Bemmel-G0206;;25;1745;1206;1046;359.0;572;101.0;32.0;7.0;;;54.0;;;;;;31.0;;;;;191.0;;;;;;78.0;;;;;;;;;;;;;1.0;7897
Bennebroek-G0372;;9;742;893;268;219.0;146;28.0;;;23.0;;;;45.0;21.0;;;12.0;;12.0;;;;;;;;;;;;;;;;;;;;;;;1624
Bergambacht-G0491;;9;576;942;858;181.0;160;52.0;292.0;715.0;44.0;;;;;;27.0;;15.0;;;;;;;;;6.0;26.0;;;;;;;;;;;;;;;2982
Bergeijk-G1724;;13;4372;2106;1153;477.0;262;204.0;;;;;93.0;;38.0;;;;;;;;47.0;;;;;;;;;;;;;;;;;;;;;4649
Bergen-G0893;;8;1949;765;755;226.0;318;62.0;;;276.0;;;77.0;;;;;;;;;;;;;;37.0;;;23.0;;;;;;;;;;;;;5534
Bergen-G0373;;18;1039;2161;935;771.0;576;107.0;;;40.0;;;;50.0;138.0;;;38.0;;177.0;;;;;;;;;;;;;;;;;;;;;;;4615
Bergh-G0207;;6;2025;1204;961;307.0;241;65.0;31.0;13.0;;;84.0;;;;;;44.0;;;;;271.0;;;;;;51.0;;;;;;;;;;;;;12.0;8816
Bergschenhoek-G0492;;12;1027;1349;450;250.0;232;70.0;347.0;45.0;84.0;;;;;;15.0;;37.0;;;;;;;;;19.0;33.0;;;;;;;;;;;;;;;4456
Berkel en Rodenrijs-G0493;;9;1952;1636;621;448.0;316;83.0;819.0;64.0;85.0;;;;;;40.0;;34.0;;;;;;;;;16.0;52.0;;;;;;;;;;;;;;;5961
Bernheze-G1721;;6;4636;1476;1063;696.0;345;894.0;;;;;120.0;;25.0;;;;;;;;42.0;;;;;;;;;;;;;;;;;;;;;11833
Bernisse-G0568;;5;956;1453;748;226.0;262;149.0;117.0;113.0;127.0;;;;;;46.0;;27.0;;;;;;;;;10.0;23.0;;;;;;;;;;;;;;;5559
Best-G0753;;9;2204;1889;1420;662.0;575;254.0;;;;;124.0;;169.0;;;;;;;;490.0;;;;;;;;;;;;;;;;;;;;;11038
Beuningen-G0209;;7;1590;1928;1335;802.0;448;214.0;56.0;12.0;;;167.0;;;;;;46.0;;;;;199.0;;;;;;101.0;;;;;;;;;;;;;;11321
Beverwijk-G0375;;16;2293;2638;2473;1607.0;483;321.0;;;469.0;;;;137.0;312.0;;;137.0;;179.0;;;;;;;;;;;;;;;;;;;;;;;16281
Binnenmaas-G0585;;7;1353;2079;1321;764.0;515;114.0;243.0;686.0;177.0;;;;;;127.0;;84.0;;;;;;;;;20.0;38.0;;;;;;;;;;;;;;;7303
Bladel-G1728;;69;5084;1405;1163;509.0;232;205.0;;;;;104.0;;48.0;;;;;;;;35.0;;;;;;;;;;;;;;;;;;;;;5489
Blaricum-G0376;;4;629;1755;514;349.0;355;65.0;;;46.0;;;;93.0;85.0;;;11.0;;54.0;;;;;;;;;;;;;;;;;;;;;;;3515
Bleiswijk-G0495;;4;1118;1165;366;188.0;175;36.0;256.0;108.0;45.0;;;;;;34.0;;17.0;;;;;;;;;9.0;16.0;;;;;;;;;;;;;;;3503
Bloemendaal-G0377;;10;1415;3807;824;706.0;686;72.0;;;52.0;;;;100.0;109.0;;;19.0;;92.0;;;;;;;;;;;;;;;;;;;;;;;4964
Boarnsterhim-G0055;;6;1452;1748;2812;660.0;339;;;;;18.0;;;;;;1159.0;;;;85.0;;;;;;;;;;;138.0;;;;;;;;;;;5391
Bodegraven-G0497;;11;1913;1445;702;394.0;331;101.0;650.0;583.0;127.0;;;;;;29.0;;44.0;;;;;;;;;164.0;120.0;;;;;;;;;;;;;;;7347
Boekel-G0755;;0;1814;517;413;192.0;140;136.0;;;;;75.0;;9.0;;;;;;;;84.0;;;;;;;;;;;;;;;;;;;;;3509
Bolsward-G0064;;4;1385;506;777;335.0;78;;;;;26.0;;;;;;183.0;;;;86.0;;;;;;;;;;;89.0;;;;;;;;;;;3746
Borculo-G0211;;8;1016;1768;1119;264.0;142;122.0;47.0;10.0;;;27.0;;;;;;9.0;;;;;18.0;;;;;;17.0;;;;;;;;;;;;;3.0;3301
Borger-Odoorn-G1681;;15;1914;2438;3626;795.0;675;;449.0;;;;;;;;;;;;;;;;;;446.0;;;;;;;;;144.0;;;;;;;;9759
Born-G0897;;13;2161;798;1564;333.0;162;100.0;;;246.0;;;226.0;;;;;;;;;;;;;;88.0;;;108.0;;;;;;;;;;;;;5329
Borne-G0147;;22;3248;1649;1393;959.0;394;285.0;;17.0;;50.0;93.0;;;;;;;101.0;;;;;;;;;;;;;;106.0;7.0;;;;;;;;;8447
Borsele-G0654;;8;1915;1480;1118;;257;;350.0;1670.0;;;134.0;;;;;;;;;;;;715.0;461.0;;;;;;;;;;;;;;;;;;7935
Boskoop-G0499;;15;1497;1650;640;492.0;325;82.0;357.0;336.0;110.0;;;;;;23.0;;39.0;;;;;;;;;17.0;38.0;;;;;;;;;;;;;;;5432
Boxmeer-G0756;;34;4134;1813;1405;692.0;510;1000.0;;;;;133.0;;38.0;;;;;;;;59.0;;;;;;;;;;;;;;;;;;;;;11578
Boxtel-G0757;;27;2959;1733;1448;799.0;600;577.0;;;;;164.0;;54.0;;;;;;;;60.0;;;;;;;;;;;;;;;;;;;;;13567
Breda-G0758;;123;14259;14126;9430;6252.0;4201;2528.0;;;;;840.0;;549.0;;;;;;;;209.0;;;;;;;;;;;;;;;;;154.0;;;;69397
Brederwiede-G0194;;17;1851;986;1044;261.0;186;53.0;;34.0;;593.0;46.0;;;;;;;178.0;;;;;;;;;;;;;;46.0;5.0;;;;;;;;;4144
Breukelen-G0311;;13;1423;1593;587;573.0;370;103.0;399.0;501.0;100.0;;;;;42.0;;;;;;;;;;;;;;;;190.0;;;;;;23.0;;;;;;4734
Brielle-G0501;;5;782;2206;1032;430.0;322;118.0;99.0;34.0;151.0;;;;;;198.0;;22.0;;;;;;;;;18.0;39.0;;;;;;;;;;;;;;;6745
Broekhuizen-G0898;;12;404;174;77;42.0;25;25.0;;;9.0;;;12.0;;;;;;;;;;;;;;5.0;;;9.0;;;;;;;;;;;;;648
Brummen-G0213;;29;1403;2191;2339;651.0;502;179.0;105.0;30.0;;;82.0;;;;;;31.0;;;;;54.0;;;;;;129.0;;;;;;;;;;;;;1.0;8573
Brunssum-G0899;;13;2393;1307;1536;497.0;328;1161.0;;;149.0;;;1702.0;;;;;;;;;;;;;;116.0;;;192.0;;;;;;;;;;;;;14086
Bunnik-G0312;;18;1696;1826;722;931.0;462;164.0;142.0;125.0;51.0;;;;;30.0;;;;;;;;;;;;;;;;29.0;;;;;;41.0;;;;;;4272
Bunschoten-G0313;;2;1762;869;381;150.0;75;26.0;3836.0;283.0;45.0;;;;;20.0;;;;;;;;;;;;;;;;8.0;;;;;;33.0;;;;;;5960
Buren-G0214;;22;1539;3147;2004;536.0;394;154.0;262.0;642.0;;;50.0;;;;;;101.0;;;;;273.0;;;;;;96.0;;;;;;;;;;;;;;9668
Bussum-G0381;;24;2058;4243;1644;1302.0;1047;0.0;;;0.0;;;;0.0;205.0;;;0.0;;0.0;;;;;;;;;;;;;;;;;;;;;;;13318
Capelle aan den IJssel-G0502;;38;2264;5563;3642;1322.0;1450;572.0;1178.0;1891.0;291.0;;;;;;89.0;;151.0;;;;;;;;;93.0;203.0;;;;;;;;;;;;;;;29151
Castricum-G0383;;5;1786;2885;1564;2277.0;694;175.0;;;188.0;;;;88.0;124.0;;;49.0;;125.0;;;;;;;;;;;;;;;;;;;;;;;7767
Coevorden-G0109;;9;3323;3404;4319;1000.0;804;;379.0;;;;;;;;;;;;;;;;;;691.0;;;;;;;;;241.0;;;;;;;;12464
Cranendonck-G1706;;35;3721;1919;1725;434.0;281;189.0;;;;;179.0;;56.0;;;;;;;;54.0;;;;;;;;;;;;;;;;;;;;;6736
Cromstrijen-G0611;;9;777;1150;950;507.0;475;72.0;172.0;474.0;116.0;;;;;;110.0;;46.0;;;;;;;;;9.0;18.0;;;;;;;;;;;;;;;4981
Cuijk-G1684;;13;2648;1493;1228;637.0;410;309.0;;;;;153.0;;31.0;;;;;;;;59.0;;;;;;;;;;;;;;;;;;;;;10679
Culemborg-G0216;;11;1349;1950;1397;790.0;549;899.0;183.0;116.0;;;51.0;;;;;;90.0;;;;;56.0;;;;;;54.0;;;;;;;;;;;;;;10086
Dalfsen-G0148;;6;3485;1196;971;308.0;244;70.0;;53.0;;913.0;32.0;;;;;;;205.0;;;;;;;;;;;;;;63.0;3.0;;;;;;;;;5385
Dantumadeel-G0065;;10;3111;642;1563;459.0;125;;;;;282.0;;;;;;552.0;;;;1193.0;;;;;;;;;;;64.0;;;;;;;;;;;6722
De Bilt-G0310;;21;2351;5016;1910;1746.0;1558;467.0;543.0;201.0;93.0;;;;;72.0;;;;;;;;;;;;;;;;464.0;;;;;;51.0;;;;;;11051
De Lier-G0552;;15;1637;1119;242;118.0;96;24.0;179.0;25.0;31.0;;;;;;441.0;;18.0;;;;;;;;;9.0;10.0;;;;;;;;;;;;;;;4175
De Marne-G1663;;1;1220;990;1339;526.0;144;82.0;;;;543.0;51.0;;;;;;;;;91.0;;;;;;;;;;;;;25.0;;34.0;;;;6.0;;;3284
De Ronde Venen-G0736;;12;3342;3709;1011;777.0;623;115.0;715.0;318.0;153.0;;;;;73.0;;;;;;;;;;;;;;;;978.0;;;;;;44.0;;;;;;13280
De Wolden-G1690;;9;2287;3079;2305;692.0;654;;478.0;;;;;;;;;;;;;;;;;;975.0;;;;;;;;;227.0;;;;;;;;7142
Delft-G0503;;299;4909;7542;6718;5211.0;2853;1234.0;1102.0;370.0;223.0;;;;;;308.0;;296.0;;;;;;;;;170.0;199.0;;;;;;;;;;;;;;;40651
Delfzijl-G0010;;14;2335;2235;3675;581.0;378;362.0;;;;322.0;110.0;;;;;;;;;305.0;;;;;;;;;;;;;121.0;;232.0;;;;24.0;;;11904
Den Ham-G0159;;6;2857;565;744;155.0;75;67.0;;55.0;;463.0;13.0;;;;;;;595.0;;;;;;;;;;;;;;31.0;7.0;;;;;;;;;5566
Den Helder-G0400;;21;2653;4816;3269;1413.0;812;405.0;;;145.0;;;;984.0;897.0;;;123.0;;126.0;;;;;;;;;;;;;;;;;;;;;;;29858
Denekamp-G0149;;16;3502;672;491;169.0;97;38.0;;3.0;;6.0;38.0;;;;;;;9.0;;;;;;;;;;;;;;37.0;7.0;;;;;;;;;4276
Deurne-G0762;;24;4242;1714;1649;679.0;440;323.0;;;;;152.0;;60.0;;;;;;;;39.0;;;;;;;;;;;;;;;;;;;;;14475
Deventer-G0150;;31;4754;6036;6657;3464.0;1838;877.0;;90.0;;322.0;256.0;;;;;;;487.0;;;;;;;;;;;;;;815.0;53.0;;;;;;;;;36582
Didam-G0218;;4;2391;855;987;269.0;194;173.0;18.0;7.0;;;47.0;;;;;;37.0;;;;;320.0;;;;;;42.0;;;;;;;;;;;;;3.0;7386
Diemen-G0384;;23;887;2484;1441;1181.0;632;226.0;;;105.0;;;;87.0;150.0;;;38.0;;150.0;;;;;;;;;;;;;;;;;;;;;;;10324
Diepenheim-G0151;;9;283;398;322;101.0;65;69.0;;5.0;;4.0;19.0;;;;;;;9.0;;;;;;;;;;;;;;13.0;7.0;;;;;;;;;872
Dinxperlo-G0219;;1;1309;445;484;138.0;85;38.0;78.0;7.0;;;13.0;;;;;;16.0;;;;;13.0;;;;;;21.0;;;;;;;;;;;;;1.0;3619
Dirksland-G0504;;14;456;587;549;88.0;95;62.0;373.0;1026.0;56.0;;;;;;16.0;;26.0;;;;;;;;;7.0;19.0;;;;;;;;;;;;;;;2677
Dodewaard-G0220;;6;157;147;144;35.0;25;16.0;38.0;105.0;;;6.0;;;;;;4.0;;;;;82.0;;;;;;4.0;;;;;;;;;;;;;0.0;2461
Doesburg-G0221;;14;710;828;971;291.0;255;633.0;112.0;17.0;;;17.0;;;;;;19.0;;;;;27.0;;;;;;45.0;;;;;;;;;;;;;0.0;4544
Doetinchem-G0222;;14;3421;3271;3506;1812.0;781;540.0;460.0;231.0;;;161.0;;;;;;94.0;;;;;65.0;;;;;;117.0;;;;;;;;;;;;;12.0;20419
Dongen-G0766;;36;3186;2097;1949;584.0;608;1511.0;;;;;60.0;;152.0;;;;;;;;25.0;;;;;;;;;;;;;;;;;11.0;;;;8505
Dongeradeel-G0058;;20;4965;941;1594;533.0;224;;;;;251.0;;;;;;1386.0;;;;721.0;;;;;;;;;;;153.0;;;;;;;;;;;7320
Doorn-G0315;;1;875;1590;477;568.0;310;56.0;167.0;187.0;69.0;;;;;20.0;;;;;;;;;;;;;;;;8.0;;;;;;19.0;;;;;;3683
Dordrecht-G0505;;75;5582;8199;7319;3524.0;2145;1240.0;1905.0;1513.0;341.0;;;;;;315.0;;489.0;;;;;;;;;157.0;430.0;;;;;;;;;;;;;;;54560
Drechterland-G0498;;4;864;1472;511;270.0;170;48.0;;;29.0;;;;34.0;60.0;;;22.0;;43.0;;;;;;;;;;;;;;;;;;;;;;;3650
Driebergen-Rijsenburg-G0316;;9;1529;2341;922;1193.0;628;149.0;452.0;334.0;80.0;;;;;36.0;;;;;;;;;;;;;;;;22.0;;;;;;34.0;;;;;;6213
Drimmelen-G1719;;54;3147;3251;2170;763.0;1005;361.0;;;;;179.0;;96.0;;;;;;;;310.0;;;;;;;;;;;;;;;;;17.0;;;;8973
Dronten-G0303;;6;3587;3694;1526;1074.0;654;;1201.0;141.0;;;354.0;;;;;;;;;;;;;;;;;;;;;;;;;;91.0;;;;;12155
Druten-G0225;;5;1541;965;1001;363.0;187;122.0;11.0;3.0;;;52.0;;;;;;23.0;;;;;594.0;;;;;;69.0;;;;;;;;;;;;;;7218
Duiven-G0226;;31;1852;1954;1623;661.0;490;168.0;146.0;7.0;;;102.0;;;;;;34.0;;;;;66.0;;;;;;95.0;;;;;;;;;;;;;3.0;10486
Echt-G0902;;8;2101;1075;719;558.0;155;126.0;;;107.0;;;1088.0;;;;;;;;;;;;;;28.0;;;1420.0;;;;;;;;;;;;;7295
Echteld-G0227;;5;366;651;749;80.0;68;26.0;262.0;596.0;;;5.0;;;;;;9.0;;;;;22.0;;;;;;19.0;;;;;;;;;;;;;;2248
Edam-Volendam-G0385;;10;4474;1883;821;713.0;304;81.0;;;337.0;;;;45.0;135.0;;;58.0;;67.0;;;;;;;;;;;;;;;;;;;;;;;11641
Ede-G0228;;110;8667;9875;4363;3304.0;1719;517.0;5161.0;6630.0;;;293.0;;;;;;235.0;;;;;167.0;;;;;;370.0;;;;;;;;;;;;;6.0;32321
Eemnes-G0317;;3;761;1060;387;292.0;195;65.0;124.0;42.0;23.0;;;;;22.0;;;;;;;;;;;;;;;;7.0;;;;;;10.0;;;;;;3088
Eemsmond-G1651;;25;1994;1222;2355;621.0;181;134.0;;;;913.0;70.0;;;;;;;;;149.0;;;;;;;;;;;;;46.0;;107.0;;;;7.0;;;4656
Eersel-G0770;;23;3890;1881;1023;626.0;386;215.0;;;;;67.0;;45.0;;;;;;;;29.0;;;;;;;;;;;;;;;;;;;;;5224
Egmond-G0357;;7;890;1119;749;413.0;236;74.0;;;40.0;;;;33.0;68.0;;;36.0;;32.0;;;;;;;;;;;;;;;;;;;;;;;5111
Eibergen-G0229;;10;3090;1229;1319;636.0;192;183.0;43.0;7.0;;;32.0;;;;;;30.0;;;;;23.0;;;;;;33.0;;;;;;;;;;;;;2.0;5704
Eijsden-G0905;;2;2318;809;755;254.0;126;52.0;;;76.0;;;1119.0;;;;;;;;;;;;;;10.0;;;23.0;;;;;;;;;;;;;3555
Eindhoven-G0772;;148;14344;12472;10895;6696.0;3677;3545.0;;;;;2087.0;;996.0;;;;;;;;363.0;;;;;;;;;;;;;;;;;;;;;98289
Elburg-G0230;;2;1769;1482;741;330.0;198;79.0;2374.0;1859.0;;;41.0;;;;;;35.0;;;;;15.0;;;;;;46.0;;;;;;;;;;;;;5.0;6915
Elst-G0231;;7;1426;1340;913;515.0;529;166.0;78.0;19.0;;;29.0;;;;;;18.0;;;;;103.0;;;;;;105.0;;;;;;;;;;;;;1.0;7333
Emmen-G0114;;52;8733;5569;12188;3202.0;2299;;1506.0;;;;;;;;;;;;;;;;;;1478.0;;;;;;;;;1149.0;;;;;;;;45652
Enkhuizen-G0388;;12;1040;1229;1218;648.0;321;213.0;;;67.0;;;;403.0;161.0;;;24.0;;62.0;;;;;;;;;;;;;;;;;;;;;;;7129
Enschede-G0153;;179;8886;9073;11185;4730.0;2343;1637.0;;125.0;;2043.0;802.0;;;;;;;852.0;;;;;;;;;;;;;;394.0;247.0;;;;;;;;;69600
Epe-G0232;;16;3047;3435;2671;1045.0;545;178.0;791.0;669.0;;;116.0;;;;;;70.0;;;;;265.0;;;;;;84.0;;;;;;;;;;;;;3.0;12931
Ermelo-G0233;;18;3207;2173;767;899.0;372;365.0;1722.0;812.0;;;66.0;;;;;;35.0;;;;;59.0;;;;;;118.0;;;;;;;;;;;;;68.0;9134
Etten-Leur-G0777;;11;3326;2474;1879;1030.0;586;285.0;;;;;223.0;;123.0;;;;;;;;52.0;;;;;;;;;;;;;;;;;52.0;;;;17108
Ferwerderadiel-G1722;;1;1848;430;596;186.0;71;;;;;205.0;;;;;;310.0;;;;102.0;;;;;;;;;;;200.0;;;;;;;;;;;2587
Franekeradeel-G0070;;26;2845;1163;2087;532.0;194;;;;;128.0;;;;;;914.0;;;;220.0;;;;;;;;;;;334.0;;;;;;;;;;;6769
Gaasterlân-Sleat-G0653;;7;1863;817;609;293.0;115;;;;;23.0;;;;;;591.0;;;;249.0;;;;;;;;;;;20.0;;;;;;;;;;;2893
Geertruidenberg-G0779;;40;2721;2084;1847;765.0;445;318.0;;;;;146.0;;102.0;;;;;;;;58.0;;;;;;;;;;;;;;;;;15.0;;;;7720
Geldermalsen-G0236;;17;1835;2462;1980;479.0;403;174.0;220.0;1202.0;;;72.0;;;;;;92.0;;;;;100.0;;;;;;78.0;;;;;;;;;;;;;;8852
Geldrop-G0781;;16;2200;1773;1503;822.0;474;334.0;;;;;176.0;;131.0;;;;;;;;714.0;;;;;;;;;;;;;;;;;;;;;12806
Geleen-G0906;;17;3550;1722;1761;1718.0;374;343.0;;;178.0;;;1114.0;;;;;;;;;;;;;;114.0;;;183.0;;;;;;;;;;;;;15114
Gemert-Bakel-G1652;;44;4794;2048;1707;817.0;1018;561.0;;;;;169.0;;46.0;;;;;;;;490.0;;;;;;;;;;;;;;;;;;;;;8760
Gendringen-G0237;;17;2741;1378;1439;435.0;153;99.0;45.0;8.0;;;50.0;;;;;;40.0;;;;;35.0;;;;;;30.0;;;;;;;;;;;;;7.0;9131
Gendt-G0238;;5;737;460;530;133.0;138;44.0;4.0;3.0;;;16.0;;;;;;15.0;;;;;26.0;;;;;;28.0;;;;;;;;;;;;;0.0;3417
Genemuiden-G0154;;7;611;222;335;58.0;28;24.0;;1480.0;;49.0;8.0;;;;;;;900.0;;;;;;;;;;;;;;20.0;4.0;;;;;;;;;2189
Gennep-G0907;;10;1510;1034;565;212.0;1981;105.0;;;44.0;;;90.0;;;;;;;;;;;;;;12.0;;;36.0;;;;;;;;;;;;;7140
Giessenlanden-G0689;;18;1461;1572;1135;284.0;231;76.0;933.0;418.0;49.0;;;;;;80.0;;43.0;;;;;;;;;17.0;25.0;;;;;;;;;;;;;;;4246
