RegioNaam;@invalid;@blank;CDA;VVD;PvdA;GL;D66;SP;GPV_RPF;SGP;Nederland Mobiel;Gereformeerd Politiek Verbond (GPV);AOV/Senioren2000/Unie55+;Partij Nieuw Limburg;SGP-GPV-RPF;AOV/Unie55+;Onafhankelijken Zuid-Holland;FNP;Centrumdemocraten;Reformatorische Politieke Federatie (RPF);De Groenen/Noord-Holland Anders;SGP_RPF;Federatie Brabantse Onafhankelijke Fracties;Partij Nieuw Gelderland;GL/Delta Anders;Partij voor Zeeland;Onafhankelijke Partij Drenthe;AOV/Senioren2000;Ouderen Unie 55+;Leefbaar Gelderland/De Groenen;Samenwerkende Partij Ouderen Limburg_Unie55+;de Inwonerspartijen;Federatie Gemeentebelangen Friesland;Leefbaar Overijssel/De Groenen;Nieuwe Communistische Partij;Drentse Ouderenpartijen;de Groningers;Het Nederlands Blok;Natuurwetpartij;Lijst Linssen;Onafhankelijke Partij Provincie Groningen;Islamitische Partij Nederland;Gelovig Democratische Unie;@abs
Losser-G0168;;21;3639;1352;1225;454.0;333;118.0;;10.0;;19.0;80.0;;;;;;;39.0;;;;;;;;;;;;;;62.0;20.0;;;;;;;;;9498
Maarn-G0332;;4;651;1100;402;279.0;204;35.0;83.0;138.0;55.0;;;;;23.0;;;;;;;;;;;;;;;;6.0;;;;;;7.0;;;;;;1559
Maarssen-G0333;;36;2244;4290;2433;1492.0;1046;276.0;505.0;114.0;178.0;;;;;83.0;;;;;;;;;;;;;;;;278.0;;;;;;87.0;;;;;;16915
Maartensdijk-G0334;;4;912;1062;398;310.0;240;85.0;222.0;566.0;31.0;;;;;12.0;;;;;;;;;;;;;;;;488.0;;;;;;23.0;;;;;;2786
Maasbracht-G0933;;45;1875;1392;759;292.0;108;71.0;;;126.0;;;313.0;;;;;;;;;;;;;;67.0;;;317.0;;;;;;;;;;;;;5283
Maasbree-G0934;;15;1562;789;583;246.0;122;53.0;;;55.0;;;1189.0;;;;;;;;;;;;;;37.0;;;30.0;;;;;;;;;;;;;4752
Maasdonk-G1671;;0;2744;553;411;150.0;92;232.0;;;;;43.0;;3.0;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;4261
Maasdriel-G0263;;9;3029;1704;820;371.0;261;120.0;119.0;265.0;;;28.0;;;;;;42.0;;;;;1688.0;;;;;;33.0;;;;;;;;;;;;;;8863
Maasland-G0555;;1;1315;848;207;155.0;96;35.0;164.0;39.0;30.0;;;;;;31.0;;9.0;;;;;;;;;5.0;10.0;;;;;;;;;;;;;;;1965
Maassluis-G0556;;21;2269;3038;1974;640.0;556;273.0;586.0;149.0;132.0;;;;;;84.0;;76.0;;;;;;;;;136.0;103.0;;;;;;;;;;;;;;;14304
Maastricht-G0935;;79;9754;6458;8026;5018.0;2270;1782.0;;;827.0;;;949.0;;;;;;;;;;;;;;711.0;;;612.0;;;;;;;;;;;;;58764
Margraten-G0936;;28;2511;1416;708;429.0;256;94.0;;;129.0;;;566.0;;;;;;;;;;;;;;34.0;;;33.0;;;;;;;;;;;;;4174
Markelo-G0169;;31;806;1561;638;160.0;88;85.0;;22.0;;6.0;84.0;;;;;;;58.0;;;;;;;;;;;;;;19.0;8.0;;;;;;;;;1977
Marum-G0025;;25;1097;965;1004;234.0;121;62.0;;;;197.0;45.0;;;;;;;;;119.0;;;;;;;;;;;;;13.0;;33.0;;;;15.0;;;3320
Medemblik-G0420;;0;504;580;317;353.0;85;63.0;;;23.0;;;;62.0;34.0;;;13.0;;12.0;;;;;;;;;;;;;;;;;;;;;;;3604
Meerlo-Wanssum-G0993;;11;1323;485;405;257.0;75;45.0;;;64.0;;;37.0;;;;;;;;;;;;;;9.0;;;35.0;;;;;;;;;;;;;2863
Meerssen-G0938;;45;2514;2450;663;669.0;448;185.0;;;142.0;;;982.0;;;;;;;;;;;;;;61.0;;;75.0;;;;;;;;;;;;;7683
Meijel-G0941;;18;580;682;350;66.0;43;18.0;;;17.0;;;46.0;;;;;;;;;;;;;;84.0;;;19.0;;;;;;;;;;;;;2464
Menaldumadeel-G0083;;14;1798;956;1743;476.0;190;;;;;51.0;;;;;;738.0;;;;108.0;;;;;;;;;;;485.0;;;;;;;;;;;3800
