RegioNaam;@invalid;@blank;RKSP;SDAP;ARP;CHU;Liberale Staatspartij (LSP);Vrijzinnig-Democratische Bond (VDB);Communistische Partij van Nederland;SGP;Revolutionair-Socialistische Partij (RSP);Plattelandersbond;Rooms-Katholieke Volkspartij (RKVP);Christelijk-Democratische Unie;HGSP;VNH;Onafhankelijk Socialistische Partij;Katholiek Democratische Bond;Algemeen Nederlandse Fascistenbond;Democratische Partij;Nationaal Verbond Plicht, Orde, Recht;Nederlandse Christelijke Arbeiderspartij;Limburgsche Federatie;Verbond van Nationalisten;Roomsch-Katholieke Arbeiderspartij (RKAP);Recht en Vrijheid;Marktkooplieden;Lijst Wolswinkel;Onafhankelijke Zakenlui;Nationaal-Socialistische Partij;Nederlandsche Fascisten Unie;Lijst Jacobs;RK Bouwvakarbeiders;Handeldrijvende Middenstand;Volkswelvaartspartij;Bond van Belastingbetalers;Lijst Eijking;Nieuwe Socialistische Partij;Lijst Engels;Hoofd- en handarbeiders;Nationaal Verbond voor Arbeidersbelangen;Lijst Bongers;Lijst De Wit;Voor Algemeen Welzijn;Zuiderzee Partij;Algemeene Nederlandse Huurdersbond;Oranjefascisten;Universeele Partij;Nationale Werkliedenpartij;Anti-crisis Partij;Proletarische Groep;Centrale Democratische Arbeiderspartij;Lijst Triesscheijn;Opbouw en Verbroedering;Algemeene Arbeidersbond;Lijst Groothuis;@abs
Vledder-G0132;20;30;69.0;390.0;137.0;36.0;216.0;151.0;2.0;5.0;43.0;30.0;;18.0;19.0;;7.0;;1.0;7.0;;;;4.0;1.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;94.0
Vleuten-G1211;9;17;658.0;78.0;119.0;253.0;28.0;16.0;2.0;28.0;2.0;83.0;1.0;24.0;1.0;4.0;1.0;;8.0;;;5.0;;;;;;;;;1.0;;;;1.0;;;;;;;;;;1.0;;;;;;;;;;;;47.0
Vlieland-G0096;2;5;;170.0;16.0;23.0;1.0;58.0;;;;;;1.0;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39.0
Vlijmen-G0864;18;18;1621.0;49.0;5.0;24.0;;;2.0;3.0;;8.0;20.0;;;1.0;;44.0;9.0;11.0;;2.0;;;1.0;;33.0;2.0;;4.0;;;;;;2.0;;;2.0;;;;;;;;;;;;;;;;;;218.0
Vlissingen-G0718;161;546;1134.0;2841.0;1960.0;1619.0;914.0;948.0;135.0;185.0;157.0;25.0;61.0;23.0;11.0;53.0;121.0;22.0;26.0;71.0;103.0;;;24.0;;16.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;870.0
Vlist-G0623;1;12;39.0;4.0;80.0;14.0;11.0;3.0;;24.0;1.0;17.0;;;;2.0;;;;;;;;;;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18.0
Vlodrop-G0985;4;4;477.0;12.0;;4.0;;1.0;;3.0;;;;;;28.0;;10.0;1.0;2.0;3.0;;1.0;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;29.0
Voerendaal-G0986;31;59;1168.0;62.0;3.0;5.0;1.0;1.0;11.0;3.0;1.0;3.0;32.0;3.0;1.0;10.0;;66.0;2.0;7.0;;2.0;125.0;2.0;;;;;;;;17.0;;;;;;;;;;3.0;;;;;;;;;;;;;;;80.0
Voorburg-G0624;139;252;2972.0;1621.0;1501.0;1166.0;1440.0;801.0;128.0;48.0;23.0;26.0;35.0;38.0;135.0;388.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;595.0
Voorhout-G0625;9;4;1036.0;46.0;39.0;111.0;7.0;3.0;;3.0;;3.0;3.0;3.0;3.0;1.0;;6.0;3.0;;;;;;1.0;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;47.0
Voorschoten-G0626;34;58;816.0;268.0;522.0;373.0;184.0;51.0;12.0;69.0;5.0;28.0;1.0;15.0;32.0;21.0;8.0;22.0;11.0;2.0;2.0;;;3.0;2.0;7.0;;1.0;;;;;;;;23.0;;;;2.0;;;;;;;;;;;;;;;;;141.0
Voorst-G0285;77;93;1512.0;1325.0;432.0;797.0;679.0;814.0;103.0;112.0;45.0;627.0;6.0;62.0;22.0;19.0;16.0;21.0;17.0;13.0;10.0;4.0;;;51.0;8.0;;6.0;;19.0;;;;;;1.0;;;;;;;;2.0;;;1.0;;;;;;;;;;406.0
Vorden-G0286;29;47;291.0;206.0;542.0;443.0;314.0;119.0;19.0;18.0;4.0;97.0;3.0;2.0;3.0;20.0;5.0;;1.0;6.0;3.0;3.0;;;12.0;3.0;;6.0;;1.0;;;;;;1.0;;;;;;;;;;;1.0;;;;;;;;;;82.0
Vreeland-G1213;1;6;49.0;65.0;95.0;61.0;30.0;23.0;1.0;55.0;2.0;9.0;;19.0;;4.0;4.0;23.0;;;1.0;1.0;;1.0;;;;1.0;;;1.0;;;;;;;;;;;;;;1.0;;;;;;;;;;;;27.0
Vreeswijk-G0348;17;25;500.0;161.0;221.0;260.0;31.0;32.0;;43.0;3.0;9.0;;2.0;7.0;7.0;;;9.0;1.0;2.0;;;;4.0;;;;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;199.0
Vries-G0133;30;84;8.0;514.0;287.0;44.0;278.0;204.0;113.0;3.0;6.0;863.0;6.0;29.0;6.0;13.0;43.0;;8.0;63.0;5.0;;;4.0;5.0;13.0;;6.0;;;;;;;;;;;;;;;;;;;;;;;6.0;;;;;;157.0
Vriezenveen-G0186;63;117;258.0;445.0;507.0;1347.0;41.0;56.0;56.0;360.0;97.0;23.0;10.0;252.0;123.0;13.0;18.0;3.0;;23.0;7.0;2.0;;9.0;;1.0;;3.0;;;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;219.0
Vrouwenpolder-G1214;6;9;1.0;6.0;342.0;125.0;5.0;9.0;;31.0;1.0;1.0;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32.0
Vught-G0865;33;55;3548.0;225.0;99.0;76.0;67.0;87.0;2.0;4.0;7.0;3.0;75.0;;5.0;26.0;1.0;66.0;22.0;11.0;;10.0;;3.0;1.0;1.0;176.0;4.0;;14.0;;;;;;3.0;;;8.0;;;;;;;;;;;;;;;;;;202.0
Vuren-G0287;12;30;1.0;237.0;184.0;182.0;11.0;14.0;6.0;29.0;;80.0;2.0;9.0;4.0;3.0;;1.0;4.0;12.0;2.0;;;3.0;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;81.0
Waalre-G0866;10;16;1590.0;86.0;13.0;24.0;9.0;5.0;18.0;1.0;;2.0;7.0;;;;;22.0;3.0;2.0;;6.0;;;1.0;;1.0;1.0;;6.0;;;;;;1.0;;;3.0;;;;;;;;;;;;;;;;;;82.0
Waalwijk-G0867;28;53;3789.0;253.0;124.0;355.0;23.0;46.0;6.0;30.0;;3.0;63.0;;11.0;2.0;;11.0;12.0;76.0;2.0;11.0;;2.0;6.0;1.0;9.0;;;14.0;;;;;;1.0;;;9.0;;;;;;;;;;;;;;;;;;147.0
Waarde-G0721;4;5;3.0;33.0;50.0;141.0;36.0;20.0;;135.0;;5.0;;;;1.0;;;;3.0;;;;1.0;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.0
Waardenburg-G0288;9;22;6.0;141.0;34.0;253.0;26.0;14.0;;197.0;1.0;16.0;1.0;22.0;6.0;2.0;3.0;;1.0;3.0;;;;;;;;1.0;;1.0;;;;;;;;4.0;;;;;;;;;;;;;;;;;;;41.0
