RegioNaam;@invalid;@blank;KVP;PvdA;ARP;Communistische Partij van Nederland;CHU;Partij van de Vrijheid;SGP;@abs
Dreischor-G1047;0;;8.0;363;32.0;4.0;51.0;134.0;10.0;
Dreumel-G0224;0;;1149.0;102;7.0;21.0;41.0;17.0;;
Driebergen-Rijsenburg-G0316;0;;889.0;1692;1413.0;150.0;801.0;676.0;331.0;
Driewegen-G0661;0;;43.0;86;76.0;1.0;112.0;39.0;15.0;
Drunen-G0767;0;;2390.0;54;10.0;5.0;15.0;3.0;7.0;
Druten-G0225;0;;2927.0;191;12.0;13.0;133.0;17.0;4.0;
Dubbeldam-G0507;0;;50.0;886;843.0;91.0;470.0;385.0;154.0;
Duiven-G0226;0;;1972.0;67;24.0;9.0;33.0;10.0;4.0;
Duivendijke-G1050;0;;2.0;49;127.0;2.0;24.0;27.0;9.0;
Dussen-G0769;0;;1106.0;91;307.0;20.0;193.0;18.0;81.0;
Dwingeloo-G0112;0;;6.0;904;280.0;34.0;71.0;456.0;1.0;
Echt-G0902;0;;4484.0;519;24.0;52.0;23.0;10.0;2.0;
Echteld-G0227;0;;36.0;817;319.0;28.0;183.0;132.0;232.0;
Edam-Volendam-G0385;0;;3235.0;849;183.0;203.0;217.0;194.0;5.0;
Ede-G0228;0;;1169.0;5054;4476.0;514.0;4630.0;1006.0;3731.0;
Eelde-G0113;0;;30.0;1142;158.0;226.0;56.0;647.0;2.0;
Eemnes-G0317;0;;511.0;106;258.0;86.0;42.0;23.0;34.0;
Eenrum-G0011;0;;49.0;697;329.0;74.0;25.0;291.0;;
Eersel-G0770;0;;1595.0;28;9.0;;9.0;2.0;;
Eethen-G0771;0;;53.0;171;535.0;;237.0;29.0;204.0;
Egmond aan Zee-G0386;0;;194.0;968;93.0;158.0;41.0;51.0;3.0;
Egmond-Binnen-G0387;0;;1105.0;147;14.0;12.0;6.0;13.0;;
Eibergen-G0229;0;;2342.0;1596;449.0;27.0;684.0;243.0;2.0;
Eijgelshoven-G0904;0;;1258.0;250;3.0;254.0;17.0;12.0;3.0;
Eijsden-G0905;0;;1818.0;154;21.0;20.0;8.0;3.0;2.0;
Eindhoven-G0772;0;;37757.0;16364;2200.0;3045.0;826.0;1190.0;117.0;
Elburg-G0230;0;;8.0;153;467.0;2.0;517.0;24.0;256.0;
Elkerzee-G1053;0;;1.0;69;98.0;2.0;69.0;36.0;33.0;
Ellemeet-G1054;0;;2.0;111;28.0;4.0;44.0;36.0;19.0;
Ellewoutsdijk-G0663;0;;5.0;129;24.0;4.0;74.0;59.0;21.0;
Elsloo-G0903;0;;1259.0;162;6.0;18.0;10.0;1.0;;
Elst-G0231;0;;2889.0;977;425.0;47.0;341.0;191.0;79.0;
Emmen-G0114;0;;3766.0;6522;3799.0;2474.0;2779.0;2739.0;37.0;
Empel en Meerwijk-G0773;0;;334.0;11;2.0;;1.0;;;
Engelen-G0774;0;;275.0;29;5.0;2.0;5.0;1.0;;
Enkhuizen-G0388;0;;742.0;2183;1127.0;355.0;638.0;271.0;162.0;
Enschede-G0153;0;;11397.0;17560;5303.0;12067.0;2326.0;2914.0;135.0;
Epe-G0232;0;;950.0;3704;1284.0;275.0;1408.0;973.0;370.0;
Ermelo-G0233;0;;256.0;1325;2794.0;184.0;3324.0;453.0;1377.0;
Erp-G0775;0;;1595.0;15;1.0;;1.0;;;
Esch-G0776;0;;411.0;15;;;4.0;1.0;;
Est en Opijnen-G0234;0;;3.0;214;84.0;9.0;105.0;54.0;60.0;
Etten-Leur-G0777;0;;4779.0;368;90.0;12.0;144.0;27.0;8.0;
Everdingen-G0508;0;;89.0;75;108.0;6.0;66.0;69.0;102.0;
Ewijk-G0235;0;;1372.0;112;5.0;9.0;46.0;7.0;2.0;
Ezinge-G0012;0;;2.0;354;425.0;25.0;32.0;226.0;1.0;
Ferwerderadeel-G0068;0;;7.0;1220;2410.0;76.0;758.0;154.0;17.0;
Fijnaart en Heijningen-G0778;0;;955.0;145;324.0;2.0;767.0;38.0;39.0;
Finsterwolde-G0013;0;;15.0;416;62.0;987.0;62.0;190.0;2.0;
Franeker-G0069;0;;559.0;1625;1150.0;501.0;436.0;220.0;11.0;
Franekeradeel-G0070;0;;113.0;1160;578.0;144.0;503.0;105.0;4.0;
Gaasterland-G0071;0;;730.0;457;676.0;32.0;1202.0;75.0;157.0;
Gameren-G1058;0;;14.0;193;507.0;3.0;42.0;20.0;246.0;
Gasselte-G0115;0;;16.0;790;254.0;329.0;231.0;272.0;5.0;
Geertruidenberg-G0779;0;;1190.0;195;46.0;6.0;43.0;27.0;15.0;
Geervliet-G0509;0;;1.0;224;110.0;53.0;86.0;91.0;42.0;
Geffen-G0780;0;;915.0;33;4.0;2.0;;1.0;1.0;
Geldermalsen-G0236;0;;49.0;1190;325.0;85.0;483.0;277.0;302.0;
Geldrop-G0781;0;;4009.0;1041;95.0;101.0;65.0;37.0;5.0;
Geleen-G0906;0;;5304.0;1692;210.0;511.0;61.0;36.0;7.0;
Gemert-G0782;0;;3781.0;147;17.0;9.0;9.0;6.0;1.0;
Gendringen-G0237;0;;4313.0;488;273.0;15.0;326.0;24.0;7.0;
Gendt-G0238;0;;1678.0;65;33.0;28.0;55.0;13.0;7.0;
Genemuiden-G0154;0;;4.0;288;676.0;25.0;154.0;35.0;563.0;
Gennep-G0907;0;;1460.0;297;32.0;101.0;25.0;11.0;10.0;
Geulle-G0908;0;;726.0;119;8.0;13.0;;7.0;1.0;
Giessen-G0783;0;;;46;101.0;;101.0;8.0;15.0;
Giessendam-G1063;0;;6.0;333;750.0;95.0;167.0;207.0;607.0;
Giessen-Nieuwkerk-G1062;0;;4.0;75;309.0;1.0;43.0;85.0;66.0;
Gieten-G0116;0;;13.0;1095;116.0;90.0;220.0;473.0;2.0;
Giethoorn-G0155;0;;21.0;722;107.0;278.0;168.0;73.0;3.0;
Gilze en Rijen-G0784;0;;4482.0;250;91.0;51.0;24.0;14.0;5.0;
Goedereede-G0511;0;;4.0;184;282.0;4.0;23.0;60.0;91.0;
Goes-G0664;0;;1068.0;2191;1024.0;135.0;1636.0;644.0;273.0;
Goirle-G0785;0;;2720.0;174;45.0;35.0;17.0;14.0;2.0;
Goor-G0156;0;;662.0;1484;135.0;367.0;92.0;94.0;2.0;
Gorinchem-G0512;0;;941.0;3911;1657.0;666.0;303.0;923.0;125.0;
Gorssel-G0239;0;;376.0;2009;1009.0;354.0;1037.0;842.0;11.0;
Gouda-G0513;0;;4141.0;7008;3098.0;2110.0;723.0;1444.0;746.0;
Gouderak-G0514;0;;18.0;363;314.0;14.0;21.0;130.0;171.0;
Goudriaan-G0515;0;;1.0;23;181.0;8.0;13.0;72.0;31.0;
Goudswaard-G0516;0;;;129;183.0;1.0;40.0;73.0;311.0;
Graauw en Langendam-G0665;0;;822.0;22;15.0;6.0;1.0;8.0;2.0;
Graft-G0389;0;;180.0;268;8.0;146.0;18.0;23.0;;
Gramsbergen-G0157;0;;57.0;654;754.0;21.0;760.0;145.0;5.0;
Grathem-G0909;0;;782.0;11;3.0;;;;;
Grave-G0786;0;;1891.0;161;29.0;53.0;21.0;15.0;2.0;
Grevenbicht-G0910;0;;758.0;144;6.0;13.0;18.0;;1.0;
Grijpskerk-G0016;0;;9.0;361;1249.0;7.0;167.0;215.0;1.0;
Grijpskerke-G1067;0;;8.0;18;257.0;8.0;98.0;3.0;33.0;
Groede-G0667;0;;223.0;555;97.0;33.0;203.0;314.0;9.0;
Groenlo-G0240;0;;1945.0;331;28.0;7.0;48.0;29.0;4.0;
Groesbeek-G0241;0;;3909.0;518;51.0;97.0;89.0;45.0;5.0;
Groningen-G0014;0;;5846.0;26593;11780.0;12052.0;5405.0;7016.0;130.0;
Gronsveld-G0911;0;;1034.0;35;1.0;;;3.0;;
Groot-Ammers-G0520;0;;5.0;152;387.0;2.0;31.0;107.0;161.0;
Grootebroek-G0391;0;;1843.0;207;13.0;55.0;5.0;12.0;;
Grootegast-G0015;0;;17.0;810;2500.0;110.0;460.0;137.0;3.0;
Grubbenvorst-G0912;0;;1389.0;26;;11.0;1.0;;;
Gulpen-G0913;0;;1464.0;93;2.0;38.0;9.0;7.0;;
Haaften-G0242;0;;4.0;606;263.0;8.0;274.0;57.0;246.0;
Haaksbergen-G0158;0;;3561.0;1050;105.0;90.0;41.0;334.0;11.0;
Haamstede-G1068;0;;21.0;210;233.0;7.0;226.0;174.0;70.0;
Haaren-G0788;0;;1174.0;36;7.0;4.0;2.0;1.0;1.0;
Haarlem-G0392;0;;23186.0;30500;7470.0;12320.0;2501.0;5630.0;254.0;
Haarlemmerliede en Spaarnwoude-G0393;0;;973.0;258;185.0;154.0;67.0;134.0;14.0;
Haarlemmermeer-G0394;0;;4006.0;4036;3999.0;1627.0;2418.0;571.0;291.0;
Haarzuilens-G1069;0;;211.0;3;7.0;;13.0;;2.0;
Haastrecht-G0521;0;;505.0;312;235.0;19.0;53.0;87.0;50.0;
Haelen-G0914;0;;1287.0;53;4.0;15.0;7.0;4.0;;
Hagestein-G0522;0;;146.0;34;64.0;1.0;83.0;35.0;66.0;
Halsteren-G0789;0;;2852.0;248;131.0;52.0;55.0;44.0;10.0;
Haps-G0790;0;;807.0;15;;2.0;;;;
Hardenberg-G0160;0;;965.0;2095;3534.0;114.0;1709.0;520.0;17.0;
Harderwijk-G0243;0;;224.0;946;1516.0;106.0;2000.0;183.0;469.0;
Hardinxveld-G1070;0;;13.0;1146;810.0;261.0;95.0;245.0;1089.0;
Haren-G0017;0;;135.0;1721;1370.0;435.0;928.0;1419.0;1.0;
Harenkarspel-G0395;0;;1133.0;372;105.0;115.0;5.0;36.0;2.0;
Harlingen-G0072;0;;788.0;2235;843.0;808.0;945.0;176.0;11.0;
Harmelen-G0318;0;;581.0;104;293.0;1.0;229.0;13.0;45.0;
Haskerland-G0073;0;;545.0;2168;747.0;319.0;1136.0;200.0;11.0;
Hasselt-G0161;0;;60.0;271;596.0;10.0;145.0;36.0;37.0;
Hattem-G0244;0;;53.0;1057;641.0;279.0;559.0;239.0;15.0;
Havelte-G0117;0;;30.0;1232;121.0;30.0;104.0;502.0;4.0;
Hazerswoude-G0524;0;;952.0;120;798.0;22.0;429.0;59.0;114.0;
Hedel-G0245;0;;339.0;91;193.0;13.0;67.0;7.0;124.0;
Heel en Panheel-G0915;0;;1262.0;28;2.0;9.0;;2.0;;
Heemskerk-G0396;0;;1948.0;295;36.0;154.0;73.0;28.0;6.0;
Heemstede-G0397;0;;3986.0;2767;1377.0;549.0;516.0;2523.0;40.0;
Heenvliet-G0525;0;;1.0;159;102.0;198.0;18.0;152.0;11.0;
Heer-G0916;0;;1940.0;735;20.0;118.0;18.0;26.0;9.0;
Heerde-G0246;0;;45.0;1974;1212.0;51.0;1525.0;513.0;57.0;
