RegioNaam;@invalid;@blank;PvdA;VVD;CDA;KVP;Politieke Partij Radikalen (PPR);CHU;ARP;Communistische Partij van Nederland;BoerenPartij;SGP;PvdA/PPR/D'66;Gereformeerd Politiek Verbond (GPV);Democratisch Socialisten '70;Pacifistisch-Socialistische Partij (PSP);D66;FNP;SGP/NEV;Rooms Katholieke Partij Nederland;Lijst Meijer;Vrouw;Nieuwe Roomse Partij;Anti-Woningnood Aktie;@abs
Hilversum-G0402;420;0;16015;13390;11229;0;3481;0;0;1764;1129;0;0;778;1164;911;593;0;770;671;0;0;0;0;16015
Hindeloopen-G0077;4;0;163;22;158;0;38;0;0;13;2;0;0;4;1;4;2;34;0;0;0;0;0;0;100
Hoensbroek-G0921;101;0;2670;1133;2577;0;1795;0;0;571;223;0;0;0;44;128;54;0;0;123;0;0;44;0;5208
Hoevelaken-G0253;11;0;686;969;0;255;163;506;196;12;95;270;0;102;50;39;36;0;0;0;0;0;0;0;697
Hoeven-G0799;58;0;582;521;1197;0;110;0;0;17;456;0;0;19;21;24;22;0;3;0;0;0;0;0;1475
Holten-G0165;27;0;1416;1106;0;145;141;1149;536;20;318;30;0;42;66;15;41;0;0;0;0;0;0;0;739
Hontenisse-G0675;53;0;429;561;0;2352;335;67;19;23;211;10;0;17;8;13;16;0;0;0;0;0;0;0;1389
Hoogblokland-G0535;10;0;211;190;0;13;11;56;174;9;26;40;0;5;6;3;4;0;0;0;0;0;0;0;107
Hooge en Lage Mierde-G0801;8;0;146;129;1005;0;41;0;0;4;67;0;0;4;8;9;4;0;1;0;0;0;0;0;488
Hooge en Lage Zwaluwe-G0802;10;0;632;430;1384;0;74;0;0;19;141;0;0;0;63;18;21;0;37;0;0;0;0;0;839
Hoogeloon, Hapert en Casteren-G0800;20;0;441;492;1808;0;138;0;0;25;118;0;0;7;40;17;18;0;10;0;0;0;0;0;1143
Hoogeveen-G0118;163;0;5475;2227;0;302;697;2933;5025;649;973;0;0;1286;183;165;122;0;0;0;0;0;0;0;5390
Hoogezand-Sappemeer-G0018;172;0;7532;2436;2508;0;495;0;0;1663;276;0;0;426;243;315;176;0;0;0;268;0;0;0;5651
Hoogkarspel-G0403;8;0;446;419;866;0;160;0;0;38;98;0;0;14;27;54;19;0;2;38;0;0;0;0;775
Hoogwoud-G0404;5;0;519;480;714;0;80;0;0;60;49;0;0;13;26;28;25;0;1;24;0;0;0;0;455
Hoorn-G0405;50;0;3900;2210;2692;0;775;0;0;389;230;0;0;97;209;370;146;0;34;93;0;0;0;0;3587
Hoornaar-G0536;4;0;206;206;0;2;21;60;159;4;14;49;0;14;14;2;5;0;0;0;0;0;0;0;132
Horn-G0922;18;0;243;459;873;0;133;0;0;4;72;0;0;0;19;22;8;0;0;0;0;0;0;0;816
Horssen-G0254;4;0;47;59;0;429;14;30;9;1;56;2;0;0;0;8;1;0;0;0;0;0;0;0;183
Horst-G0923;68;0;649;826;4605;0;323;0;0;30;276;0;0;0;34;101;26;0;0;0;0;0;0;0;2942
Houten-G0321;30;0;0;819;0;1501;0;206;129;14;142;180;479;35;40;34;0;0;0;58;0;0;0;0;786
Huijbergen-G0803;4;0;148;201;389;0;35;0;0;7;86;0;0;4;9;4;11;0;0;0;0;0;0;0;292
Huissen-G0255;30;0;867;841;0;2353;160;71;48;51;305;9;0;7;31;33;14;0;0;0;0;0;0;0;1467
Huizen-G0406;121;0;2507;3394;3256;0;602;0;0;207;212;0;0;466;298;163;160;0;1451;51;0;0;0;0;2709
Hulsberg-G0924;31;0;372;370;852;0;177;0;0;15;68;0;0;0;19;20;16;0;0;42;0;0;5;0;832
Hulst-G0677;105;0;1494;1313;0;2669;910;99;70;48;529;21;0;4;24;36;29;0;0;0;0;0;0;0;3381
Hummelo en Keppel-G0256;13;0;747;636;0;289;73;221;129;11;86;7;0;12;44;13;15;0;0;0;0;0;0;0;486
