RegioNaam;@invalid;@blank;KVP;PvdA;ARP;CHU;VVD;Communistische Partij van Nederland;SGP;KNP;Gereformeerd Politiek Verbond (GPV);Socialistische Unie;Katholieke Democratische Lijst;Protestants-Christelijke Lijst;Middenstandspartij;Vrijzinnig-Democratische Bond (VDB);Katholieke Arbeiders Lijst;Bond van Wereldburgers;Lijst van Nunen;@abs
Est en Opijnen-G0234;0;0;2;242;29;141;80;2;63;0.0;0;0;0;0;0;0;0;0;0;81
Etten-Leur-G0777;0;0;4693;519;25;160;34;10;5;94.0;0;0;0;0;0;0;0;0;0;570
Everdingen-G0508;0;0;75;81;107;60;90;1;156;4.0;0;1;0;0;0;0;0;0;0;70
Ewijk-G0235;0;0;1517;102;4;56;3;0;3;6.0;0;0;0;0;0;0;0;0;0;125
Ezinge-G0012;0;0;1;437;410;30;169;2;0;0.0;20;0;0;0;21;0;0;0;0;50
Ferwerderadeel-G0068;0;0;8;887;2328;935;335;12;7;0.0;192;0;0;0;0;43;0;0;0;293
Fijnaart en Heijningen-G0778;0;0;1034;181;299;784;54;0;22;24.0;0;0;0;0;0;0;0;0;0;259
Finsterwolde-G0013;0;0;6;551;34;80;162;982;0;0.0;2;0;0;0;44;0;0;0;0;222
Franeker-G0069;0;0;537;1557;1079;484;436;201;19;0.0;8;0;0;0;0;144;0;0;0;935
Franekeradeel-G0070;0;0;112;1085;556;615;198;34;6;0.0;34;0;0;0;0;86;0;0;0;205
Gaasterland-G0071;0;0;769;452;681;1241;108;6;147;0.0;1;0;0;0;0;13;0;0;0;225
Gameren-G1058;0;0;17;253;280;75;34;0;329;1.0;0;0;0;0;0;0;0;0;0;192
Gasselte-G0115;0;0;18;909;291;253;324;191;0;0.0;5;0;0;0;0;0;0;0;0;237
Geertruidenberg-G0779;0;0;1443;146;48;117;75;0;8;18.0;0;0;0;0;0;0;0;0;0;354
Geervliet-G0509;0;0;2;297;65;79;132;10;50;0.0;2;0;0;0;0;0;0;0;0;64
Geffen-G0780;0;0;1036;47;3;4;2;1;0;3.0;0;0;0;0;0;0;0;0;0;117
Geldermalsen-G0236;0;0;94;1380;229;722;327;21;298;11.0;7;0;0;0;0;0;0;0;0;342
Geldrop-G0781;0;0;5057;1466;188;179;159;32;15;65.0;0;0;0;0;0;0;0;0;0;913
Geleen-G0906;0;0;8291;1772;0;0;0;164;0;0.0;24;0;69;625;0;0;0;0;0;985
Gemert-G0782;0;0;4209;337;30;66;42;12;0;16.0;0;0;0;0;0;0;0;0;0;519
Gendringen-G0237;0;0;5123;573;264;395;53;3;6;40.0;6;0;0;0;0;0;0;0;0;222
Gendt-G0238;0;0;2007;56;40;56;4;0;7;18.0;0;0;0;0;0;0;0;0;0;75
Genemuiden-G0154;0;0;10;395;418;399;32;5;621;0.0;23;0;0;0;0;0;0;0;0;408
Gennep-G0907;0;0;1863;174;0;0;0;0;0;0.0;0;0;0;73;0;0;0;0;0;258
Geulle-G0908;0;0;895;44;0;0;0;6;0;0.0;2;0;4;5;0;0;0;0;0;127
Giessen-G0783;0;0;3;33;102;110;8;0;3;0.0;0;0;0;0;0;0;0;0;0;92
Giessendam-G1063;0;0;6;467;537;242;267;41;623;3.0;123;3;0;0;0;0;0;0;0;512
Giessen-Nieuwkerk-G1062;0;0;1;140;274;62;73;2;70;0.0;1;0;0;0;0;0;0;0;0;55
Gieten-G0116;0;0;11;1202;141;252;547;34;0;0.0;7;0;0;0;0;0;0;0;0;230
Giethoorn-G0155;0;0;22;716;84;258;164;117;4;0.0;20;0;0;0;0;0;0;0;0;195
Gilze en Rijen-G0784;0;0;5398;220;71;58;52;9;12;124.0;0;0;0;0;0;0;0;0;5;396
Goedereede-G0511;0;0;1;172;131;36;72;8;161;2.0;1;0;0;0;0;0;0;0;0;177
Goes-G0664;0;0;1239;2355;977;1769;628;26;304;0.0;52;0;0;0;0;0;39;0;0;763
Goirle-G0785;0;0;3276;221;19;11;20;10;4;100.0;0;0;0;0;0;0;0;0;17;287
Goor-G0156;0;0;853;1738;105;189;311;197;8;0.0;12;0;0;0;0;0;0;0;0;251
Gorinchem-G0512;0;0;1123;4372;1410;698;1291;201;244;59.0;39;131;0;0;0;0;0;0;0;1091
Gorssel-G0239;0;0;398;1808;791;1701;1027;155;14;34.0;9;0;0;0;0;0;0;0;0;643
Gouda-G0513;0;0;4512;8331;2793;1580;2001;902;783;295.0;114;51;0;0;0;0;0;0;0;1860
Gouderak-G0514;0;0;24;354;255;38;195;4;182;3.0;0;2;0;0;0;0;0;0;0;130
Goudriaan-G0515;0;0;1;37;160;23;62;1;56;1.0;0;1;0;0;0;0;0;0;0;23
Goudswaard-G0516;0;0;0;128;137;36;81;2;296;4.0;0;0;0;0;0;0;0;0;0;114
Graauw en Langendam-G0665;0;0;762;67;5;3;4;0;1;0.0;1;0;0;0;0;0;20;0;0;147
