RegioNaam;@invalid;@blank;KVP;PvdA;VVD;D66;ARP;CHU;Combinatie van Christelijke Partijen;Progressief Akkoord;Communistische Partij van Nederland;SGP;Boeren Partij;Politieke Partij Radikalen (PPR);Pacifistisch-Socialistische Partij (PSP);PvdA/PPR;Gereformeerd Politiek Verbond (GPV);Protestants-Christelijke Groepering;Binding Rechts;FNP;Lijst Koekoek;Christen-Democraten Unie;Lijst Steur;Lijst Volleman;Lijst Leferink;Lijst Kooiker;Verenigde Protestantse Partij;@abs
Raamsdonk-G0834;61;0;1948;0;136;123;0;0;0;0;45;61;46;0;15;391;3;538;8;0.0;35;0;0;0;0;0;0;2149
Rauwerderhem-G0087;8;0;0;0;131;47;0;0;350;461;10;2;12;0;0;0;3;0;2;179.0;0;0;0;0;0;0;0;274
Ravenstein-G0835;35;0;2026;0;90;171;0;0;0;0;16;0;46;0;16;222;0;42;10;0.0;0;0;0;0;0;0;0;1202
Reeuwijk-G0595;22;0;596;550;550;239;403;213;0;0;34;186;31;36;37;0;11;0;18;0.0;0;0;0;0;0;0;0;1184
Reimerswaal-G0703;57;0;547;1874;838;158;818;1455;0;0;28;2091;131;31;0;0;49;0;0;0.0;0;30;0;0;0;0;0;2998
Renkum-G0274;183;0;2587;3474;2906;1000;1777;2009;0;0;153;265;218;283;226;0;111;0;80;0.0;0;0;0;0;0;0;24;6220
Renswoude-G0339;24;0;17;0;98;45;137;493;0;123;7;129;27;0;0;0;4;0;28;0.0;0;0;0;0;0;0;0;392
Retranchement-G0701;3;0;8;129;89;2;20;39;0;0;3;1;6;0;0;0;0;0;0;0.0;0;1;0;0;0;0;0;41
Reusel-G0836;22;0;1605;0;73;81;0;0;0;0;5;1;18;0;28;104;1;6;6;0.0;26;0;0;0;0;0;0;1091
Rheden-G0275;212;0;3181;7838;3391;1613;1885;2750;0;0;340;137;235;417;277;0;209;0;370;0.0;0;0;0;0;0;0;0;7595
Rhenen-G0340;48;0;276;0;747;334;465;1253;0;2241;47;1007;171;0;0;0;57;0;54;0.0;0;0;0;0;0;0;0;2255
Rhoon-G0596;28;0;271;404;495;226;358;509;0;0;8;68;14;14;18;0;13;0;0;0.0;0;0;0;0;0;0;0;885
Ridderkerk-G0597;164;0;706;5348;1565;1768;2731;1894;0;0;280;2173;79;164;170;0;206;0;0;0.0;0;0;0;0;0;0;0;7523
Riethoven-G0837;0;0;499;0;104;52;0;0;0;0;2;0;6;0;9;28;1;11;2;0.0;10;0;0;0;0;0;0;241
Rijnsaterwoude-G0601;2;0;129;47;21;49;50;78;0;0;10;48;11;4;3;0;1;0;3;0.0;0;0;0;0;0;0;0;145
Rijnsburg-G0602;32;0;102;275;108;69;1693;1000;0;0;8;184;45;22;15;0;248;0;12;0.0;0;0;0;0;0;0;0;1047
Rijsbergen-G0841;25;0;1172;0;111;62;0;0;0;0;2;1;22;0;3;68;3;28;5;0.0;40;0;0;0;0;0;0;961
Rijssen-G0178;60;0;678;0;227;118;905;953;0;1164;24;3499;123;0;0;0;41;0;64;0.0;0;0;0;0;6;0;0;1983
Rijswijk-G0603;114;0;4039;4457;5387;2546;2010;1556;0;0;288;254;159;464;487;0;131;0;163;0.0;0;0;0;0;0;0;0;9576
Rijswijk (NB)-G0842;8;0;6;0;15;4;0;0;0;0;6;20;3;0;0;80;2;420;1;0.0;2;0;0;0;0;0;0;150
Rockanje-G0598;25;0;16;605;396;129;292;121;0;0;71;11;82;6;29;0;8;0;0;0.0;0;0;0;0;0;0;0;1041
Roden-G0125;45;0;88;0;990;519;997;400;0;2183;224;0;263;0;0;0;133;0;116;0.0;0;0;0;0;0;0;0;1601
Roermond-G0957;386;0;0;1294;1188;710;0;0;7204;0;222;0;221;650;157;0;0;0;53;0.0;0;0;0;0;0;0;0;9078
Roggel-G0958;18;0;0;45;47;52;0;0;1026;0;7;0;57;57;12;0;0;0;1;0.0;0;0;0;0;0;0;0;609
Rolde-G0126;16;0;42;0;921;124;102;107;0;1085;20;0;58;0;0;0;20;0;31;0.0;0;0;0;0;0;0;0;700
Roosendaal en Nispen-G0838;341;0;9634;0;1586;1123;0;0;0;0;191;22;174;0;156;2251;22;476;68;0.0;268;0;0;0;0;0;0;11516
Roosteren-G0959;12;0;0;34;16;21;0;0;411;0;9;0;3;17;13;0;0;0;3;0.0;0;0;0;0;0;0;0;211
Rosmalen-G0839;66;0;4875;0;397;421;0;0;0;0;18;0;21;0;66;366;10;120;7;0.0;60;0;0;0;0;0;0;3128
Rossum-G0276;12;0;377;346;79;33;48;243;0;0;10;13;36;16;8;0;4;0;5;0.0;0;0;0;0;0;0;0;448
Rotterdam-G0599;3439;0;27847;112967;29510;29327;23261;16586;0;0;18303;6842;2569;4397;6281;0;2364;0;1070;0.0;0;0;0;0;0;0;0;173541
Rozenburg-G0600;18;0;216;958;330;596;676;667;0;0;91;70;32;51;62;0;86;0;13;0.0;0;0;0;0;0;0;0;2113
Rozendaal-G0277;15;0;50;88;259;67;67;88;0;0;1;3;5;15;12;0;2;0;7;0.0;0;0;0;0;0;0;0;149
Rucphen-G0840;123;0;3811;0;142;177;0;0;0;0;46;15;141;0;15;462;5;52;35;0.0;237;0;0;0;0;0;0;4723
Ruinen-G0127;30;0;23;0;842;104;351;228;0;1104;39;0;95;0;0;0;13;0;13;0.0;0;0;0;0;0;0;0;978
Ruinerwold-G0128;10;0;2;0;478;64;304;138;0;479;1;0;57;0;0;0;40;0;13;0.0;0;0;0;0;0;0;0;195
Ruurlo-G0278;56;0;852;868;752;123;136;165;0;0;16;3;225;19;20;0;2;0;31;0.0;0;0;0;0;0;0;0;817
Sas van Gent-G0704;34;0;606;507;287;81;27;54;0;0;30;9;53;327;0;0;7;0;0;0.0;0;1;0;19;0;0;0;1136
Sassenheim-G0604;42;0;1699;443;614;281;867;520;0;0;44;68;53;96;31;0;13;0;30;0.0;0;0;0;0;0;0;0;1835
Schaesberg-G0960;177;0;0;694;425;812;0;0;2361;0;265;0;69;581;447;0;0;0;23;0.0;0;0;0;0;0;0;0;3453
Schagen-G0441;23;0;717;848;649;242;133;77;0;0;64;2;35;32;65;0;11;0;3;0.0;0;1;9;0;0;0;0;1088
Schaijk-G0843;26;0;1576;0;74;104;0;0;0;0;10;0;40;0;24;126;0;24;1;0.0;0;0;0;0;0;0;0;1008
Scheemda-G0039;64;0;22;1267;355;64;581;536;0;0;930;0;33;11;19;0;63;0;9;0.0;0;0;0;0;0;0;0;777
Schellinkhout-G0442;2;0;9;133;82;24;5;5;0;0;8;0;12;7;15;0;0;0;0;0.0;0;0;2;0;0;0;0;97
Schelluinen-G0605;3;0;11;147;58;45;51;30;0;0;7;46;12;0;6;0;3;0;10;0.0;0;0;0;0;0;0;0;181
Schermerhorn-G0443;6;0;243;123;64;95;86;23;0;0;18;1;17;9;13;0;0;0;0;0.0;0;0;5;0;0;0;0;240
Scherpenisse-G0705;5;0;0;154;58;9;33;88;0;0;0;251;41;1;0;0;0;0;0;0.0;0;1;0;0;0;0;0;211
