RegioNaam;@invalid;@blank;CDA;VVD;PvdA;D66;SGP;Communistische Partij van Nederland;Pacifistisch-Socialistische Partij (PSP);Politieke Partij Radikalen (PPR);PSP/CPN/PPR;PvdA/PPR;RPF/GPV;PSP/CPN;RFP;Gereformeerd Politiek Verbond (GPV);SP;RPF/SGP;PPR/PSP;Fryske Nasjonale Partij;SGP-GPV-RPF;Verontruste Provinciale Statengroep;Evangelische Volkspartij;RVP;Federoalistische Partij Gronneger Bond;GOD MET ONS;Lijst Heezen;Lijst Mormon;@abs
Jisp-G0408;2;0;72;160;144;77;0;39;11;16;0;0;0;0;0;1;0;0.0;0;0;0;0;0;2;0;0;0;0;183
Kamerik-G0323;5;7;949;306;0;118;226;11;25;0;0;164;147;0;0;0;8;0.0;0;0;0;0;0;0;0;0;0;0;411
Kampen-G0166;72;39;5359;1968;3212;927;1271;0;0;709;0;0;0;531;1871;679;27;0.0;0;0;0;0;0;0;0;0;0;0;4980
Kantens-G0020;0;7;215;169;331;44;0;22;46;18;0;0;0;0;19;131;1;0.0;0;0;0;52;0;0;8;0;0;0;202
Kapelle-G0678;25;1;1794;1066;811;471;464;0;0;141;0;0;215;60;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;1693
Katwijk-G0537;80;42;6369;3102;1737;1015;3349;0;0;0;556;0;1548;0;0;0;40;0.0;0;0;0;0;0;0;0;0;0;0;8489
Katwoude-G0409;0;2;46;74;22;14;0;1;6;1;0;0;0;0;0;0;0;8.0;0;0;0;0;0;0;0;0;0;0;25
Kedichem-G0538;0;7;123;290;165;61;42;0;0;0;11;0;12;0;0;0;1;0.0;0;0;0;0;0;0;0;0;0;0;187
Kerkrade-G0928;162;176;8859;2263;4724;1039;0;403;341;704;0;0;0;0;0;0;286;79.0;0;0;0;0;0;0;0;307;0;0;19620
Kerkwijk-G0257;16;9;910;432;384;143;926;0;0;31;0;0;0;39;112;12;12;0.0;0;0;0;0;0;0;0;0;0;0;960
Kessel-G0929;12;11;1102;318;198;135;0;2;16;32;0;0;0;0;0;0;7;6.0;0;0;0;0;0;0;0;0;0;0;808
Kesteren-G0258;7;5;857;622;873;213;1490;0;0;34;0;0;0;69;140;11;6;0.0;0;0;0;0;0;0;0;0;0;0;1428
Klaaswaal-G0539;0;2;434;450;513;100;181;0;0;0;65;0;42;0;0;0;6;0.0;0;0;0;0;0;0;0;0;0;0;770
Kloosterburen-G0021;11;2;500;141;213;30;0;14;26;21;0;0;0;0;14;13;0;0.0;0;0;0;7;0;0;1;0;0;0;264
