RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;SGP;Politieke Partij Radikalen (PPR);Pacifistisch-Socialistische Partij (PSP);Gereformeerd Politiek Verbond (GPV);Reformatorische Politieke Federatie (RPF);Communistische Partij van Nederland;CP;SP;Evangelische Volkspartij;Federatie Groenen;Partij voor de Middengroepen;Loesje;Centrumdemocraten;VCN: partij van communisten in Nederland;Partij voor Ambtenaren en Trendvolgers;Anti Revolutionairen '85;Socialistische Arbeiderspartij;God Met Ons;Partij Algemeen Belang;Partij Geluk voor Iedereen;Lijst Wissink;Humanistische Partij;Lijst Brummer;@abs
Odoorn-G0122;27;;1775;4409;1524;369;8.0;63.0;37.0;106.0;115.0;28.0;;9.0;21.0;9.0;21.0;11.0;16.0;14.0;;1.0;3.0;;4.0;;;;;768.0
Oeffelt-G0822;5;;862;351;138;74;;18.0;12.0;;;1.0;3.0;3.0;2.0;;3.0;4.0;;;;;1.0;0.0;1.0;;0.0;;;121.0
Oegstgeest-G0579;34;;3407;2125;3930;1024;42.0;256.0;138.0;133.0;53.0;36.0;21.0;12.0;38.0;27.0;15.0;17.0;8.0;1.0;11.0;4.0;1.0;;;;;;;1197.0
Ohé en Laak-G0953;5;;374;90;65;10;;6.0;1.0;;2.0;1.0;;;;2.0;;;;;1.0;;;1.0;;;0.0;;;88.0
Oirschot-G0823;21;;4167;1629;881;358;;59.0;33.0;2.0;2.0;11.0;11.0;20.0;10.0;2.0;11.0;15.0;5.0;1.0;;1.0;4.0;2.0;;;2.0;;;908.0
Oisterwijk-G0824;31;;4761;3335;2414;577;10.0;116.0;82.0;18.0;26.0;28.0;39.0;19.0;17.0;23.0;26.0;20.0;;2.0;;4.0;4.0;4.0;1.0;1.0;2.0;;;1278.0
Oldebroek-G0269;53;;4640;2563;1094;318;1956.0;50.0;25.0;244.0;1551.0;18.0;12.0;2.0;37.0;8.0;16.0;4.0;2.0;;;15.0;1.0;;;2.0;1.0;0.0;;1562.0
Oldehove-G0035;4;;589;376;246;64;5.0;20.0;9.0;229.0;45.0;1.0;1.0;;8.0;3.0;;;;;;3.0;;;;;;;;92.0
Oldekerk-G0036;6;;731;371;267;55;7.0;12.0;8.0;66.0;27.0;2.0;4.0;;17.0;5.0;1.0;1.0;;;;3.0;1.0;;2.0;;;;;102.0
Oldenzaal-G0173;51;;9657;5342;2323;1064;11.0;154.0;132.0;52.0;32.0;45.0;43.0;58.0;12.0;30.0;26.0;24.0;7.0;2.0;;;5.0;;;;0.0;;;1638.0
Olst-G0174;16;;2231;2250;1118;287;31.0;70.0;44.0;12.0;10.0;15.0;7.0;1.0;6.0;3.0;9.0;8.0;3.0;;;3.0;2.0;;;;0.0;;;489.0
Ommen-G0175;24;;6532;1914;1509;458;63.0;88.0;61.0;1008.0;188.0;8.0;17.0;4.0;68.0;13.0;10.0;5.0;2.0;;;3.0;1.0;;;;3.0;;;522.0
Onderbanken-G0881;30;;2533;1933;374;179;2.0;59.0;27.0;4.0;3.0;19.0;31.0;14.0;5.0;15.0;9.0;9.0;;2.0;24.0;2.0;;23.0;;;0.0;;;679.0
Oost-, West- en Middelbeers-G0825;8;;1983;496;357;111;2.0;36.0;19.0;1.0;1.0;2.0;2.0;1.0;5.0;6.0;4.0;4.0;2.0;;;;;3.0;1.0;;1.0;;;316.0
Oostburg-G0692;47;;3695;4230;2862;494;154.0;78.0;70.0;55.0;90.0;20.0;14.0;8.0;23.0;25.0;26.0;6.0;19.0;5.0;;3.0;4.0;;4.0;;;;;2024.0
Oosterbroek-G0033;7;;439;2072;459;166;;23.0;68.0;72.0;10.0;17.0;10.0;9.0;13.0;3.0;4.0;5.0;2.0;5.0;;;1.0;;;;;;;403.0
Oosterhesselen-G0123;6;;992;1342;662;122;16.0;33.0;18.0;93.0;52.0;13.0;;3.0;10.0;1.0;1.0;4.0;3.0;;;;;;;;;;;204.0
Oosterhout-G0826;86;;10400;10014;5157;2382;21.0;236.0;210.0;31.0;43.0;74.0;92.0;61.0;18.0;64.0;41.0;39.0;19.0;3.0;;4.0;8.0;7.0;9.0;3.0;6.0;;;4805.0
Oostflakkee-G0580;13;;2047;2250;688;232;687.0;24.0;25.0;26.0;135.0;4.0;20.0;6.0;8.0;6.0;7.0;6.0;10.0;;;4.0;;;2.0;;;;;735.0
Ooststellingwerf-G0085;64;;4188;7668;2444;772;66.0;202.0;184.0;277.0;138.0;84.0;34.0;19.0;54.0;22.0;17.0;19.0;3.0;11.0;;13.0;5.0;;4.0;;;;;1867.0
Oostzaan-G0431;11;;868;1944;1011;372;26.0;54.0;83.0;9.0;40.0;189.0;17.0;1.0;4.0;8.0;26.0;7.0;7.0;9.0;;2.0;2.0;;3.0;;;;;620.0
Ootmarsum-G0176;5;;2028;424;377;96;3.0;13.0;12.0;4.0;3.0;3.0;3.0;3.0;5.0;3.0;2.0;4.0;1.0;;;1.0;;;;;0.0;;;78.0
Oploo, Sint Anthonis en Ledeacker-G0827;11;;3159;901;447;167;2.0;64.0;60.0;3.0;3.0;8.0;4.0;6.0;5.0;23.0;3.0;3.0;2.0;;;;;2.0;5.0;;1.0;;;416.0
Opmeer-G0432;17;;3220;1259;1282;376;;60.0;73.0;9.0;30.0;21.0;7.0;8.0;6.0;14.0;6.0;8.0;6.0;;;;2.0;;1.0;;;;;693.0
Opsterland-G0086;61;;4266;8075;2392;784;46.0;209.0;191.0;747.0;244.0;66.0;23.0;22.0;94.0;22.0;10.0;13.0;2.0;55.0;;14.0;6.0;;9.0;;;;;1759.0
Oss-G0828;85;;11447;9934;4243;1591;19.0;291.0;282.0;44.0;37.0;78.0;104.0;1855.0;41.0;48.0;43.0;49.0;27.0;1.0;;8.0;43.0;10.0;8.0;;6.0;;;5476.0
Ossendrecht-G0829;20;;1173;975;576;145;;12.0;16.0;3.0;4.0;1.0;10.0;1.0;1.0;1.0;3.0;8.0;1.0;;;;;2.0;1.0;1.0;1.0;;;716.0
Oud- en Nieuw-Gastel-G0831;25;;2238;1572;645;159;1.0;23.0;26.0;2.0;3.0;6.0;13.0;4.0;4.0;5.0;10.0;9.0;6.0;;;1.0;2.0;2.0;3.0;4.0;0.0;;;1086.0
Oud-Beijerland-G0584;38;;3649;3362;2479;891;1153.0;125.0;84.0;72.0;207.0;32.0;50.0;17.0;69.0;28.0;36.0;10.0;20.0;2.0;;5.0;4.0;;3.0;;;;;1624.0
Oude Pekela-G0038;18;;654;3760;345;132;11.0;18.0;30.0;28.0;43.0;498.0;3.0;15.0;17.0;5.0;13.0;2.0;1.0;11.0;;3.0;1.0;;;2.0;;;;591.0
Oudenbosch-G0830;25;;3116;2580;1177;341;5.0;41.0;60.0;12.0;11.0;15.0;36.0;8.0;6.0;7.0;2.0;10.0;5.0;2.0;;;;12.0;;3.0;1.0;;;1334.0
Ouder-Amstel-G0437;20;;2783;1812;2170;656;59.0;90.0;110.0;19.0;27.0;30.0;28.0;5.0;21.0;15.0;8.0;7.0;49.0;2.0;;1.0;2.0;;;;;;;898.0
Ouderkerk-G0644;14;;1454;1308;1036;275;834.0;42.0;24.0;24.0;126.0;3.0;14.0;1.0;9.0;6.0;5.0;2.0;4.0;;6.0;15.0;1.0;;;;;;;574.0
Oudewater-G0589;29;;2343;798;846;239;152.0;58.0;27.0;24.0;52.0;6.0;13.0;;27.0;4.0;4.0;5.0;6.0;1.0;;;;;;2.0;0.0;0.0;;456.0
Papendrecht-G0590;36;;4778;5627;3378;1250;733.0;141.0;137.0;112.0;437.0;43.0;43.0;34.0;35.0;21.0;48.0;19.0;21.0;3.0;;9.0;8.0;;13.0;;;;;2376.0
Peize-G0124;7;;415;1586;813;248;6.0;68.0;32.0;14.0;19.0;24.0;;3.0;4.0;3.0;8.0;7.0;6.0;2.0;;1.0;2.0;;;;;;;366.0
Pijnacker-G0594;23;;5142;1603;2556;772;263.0;116.0;58.0;113.0;62.0;21.0;37.0;4.0;31.0;20.0;20.0;13.0;10.0;;18.0;2.0;3.0;;;;;;;911.0
Polsbroek-G0338;5;;399;61;145;4;124.0;3.0;3.0;;12.0;;3.0;;2.0;;3.0;;;;;;;;;;0.0;0.0;;56.0
Posterholt-G0956;12;;1268;935;260;105;1.0;26.0;18.0;1.0;4.0;1.0;15.0;;3.0;3.0;6.0;3.0;;;7.0;;;2.0;1.0;;2.0;;;483.0
Prinsenbeek-G0832;31;;3137;1443;1381;408;7.0;38.0;28.0;11.0;13.0;8.0;16.0;6.0;5.0;6.0;4.0;13.0;2.0;;;;;3.0;;1.0;1.0;;;785.0
Purmerend-G0439;89;;6636;12528;6919;3030;36.0;375.0;523.0;44.0;102.0;469.0;245.0;71.0;85.0;84.0;111.0;36.0;63.0;54.0;;10.0;18.0;;11.0;;;;;5995.0
Putte-G0833;18;;668;581;547;104;2.0;11.0;9.0;3.0;3.0;5.0;12.0;;3.0;8.0;5.0;13.0;1.0;;;4.0;;1.0;1.0;;4.0;;;417.0
Putten-G0273;24;;6496;1908;2124;389;1156.0;82.0;37.0;166.0;683.0;22.0;26.0;5.0;38.0;10.0;18.0;6.0;5.0;;;5.0;1.0;;;1.0;0.0;1.0;;1188.0
Raalte-G0177;28;;11403;3042;1652;664;5.0;105.0;90.0;23.0;44.0;13.0;9.0;6.0;17.0;17.0;7.0;13.0;2.0;1.0;;4.0;4.0;;;;0.0;;;1497.0
Raamsdonk-G0834;34;;3144;2835;1238;469;57.0;52.0;73.0;10.0;25.0;14.0;10.0;7.0;3.0;12.0;26.0;5.0;;;;;2.0;4.0;;4.0;2.0;;;1340.0
Ravenstein-G0835;19;;2575;1641;441;192;1.0;40.0;44.0;8.0;4.0;7.0;3.0;56.0;1.0;7.0;4.0;8.0;1.0;;;;9.0;1.0;1.0;;0.0;;;478.0
Reeuwijk-G0595;19;;2128;1072;1834;419;198.0;64.0;37.0;33.0;105.0;19.0;14.0;;10.0;9.0;8.0;11.0;7.0;1.0;9.0;7.0;;;;;;;;568.0
Reimerswaal-G0703;37;;3661;2809;1732;451;3005.0;60.0;37.0;104.0;196.0;21.0;38.0;4.0;36.0;3.0;12.0;11.0;15.0;1.0;;7.0;;;6.0;;;;;1558.0
Renkum-G0274;72;;7795;7021;5861;1493;228.0;349.0;189.0;143.0;187.0;67.0;32.0;37.0;88.0;39.0;13.0;33.0;13.0;6.0;;8.0;5.0;;;8.0;2.0;1.0;;2699.0
Renswoude-G0339;1;;1072;285;435;62;176.0;9.0;7.0;11.0;46.0;11.0;1.0;;4.0;4.0;4.0;1.0;1.0;;;7.0;;;;;0.0;0.0;;221.0
Reusel-G0836;8;;2941;843;461;173;3.0;37.0;26.0;;;6.0;3.0;1.0;3.0;7.0;7.0;4.0;3.0;2.0;;1.0;;2.0;2.0;;0.0;;;743.0
Rheden-G0275;84;;9918;12484;6498;1942;86.0;475.0;261.0;234.0;241.0;87.0;55.0;56.0;93.0;56.0;22.0;52.0;17.0;4.0;;14.0;13.0;;;8.0;6.0;5.0;;3669.0
Rhenen-G0340;31;;3288;3207;1940;479;1211.0;84.0;52.0;63.0;213.0;28.0;23.0;6.0;33.0;9.0;9.0;5.0;6.0;1.0;;6.0;1.0;;;1.0;1.0;2.0;;1370.0
Ridderkerk-G0597;65;;8441;10714;4343;2196;2690.0;209.0;166.0;378.0;429.0;68.0;130.0;48.0;68.0;41.0;67.0;35.0;37.0;7.0;;30.0;15.0;;9.0;;;;;3979.0
Riethoven-G0837;6;;882;168;316;57;1.0;19.0;10.0;;1.0;;1.0;2.0;;2.0;1.0;4.0;1.0;;;;;0.0;;;0.0;;;143.0
Rijnsaterwoude-G0601;3;;363;153;184;50;43.0;13.0;7.0;5.0;6.0;1.0;;2.0;1.0;2.0;;3.0;;2.0;0.0;;1.0;;;;;;;88.0
Rijnsburg-G0602;23;;4734;783;1122;227;181.0;43.0;31.0;357.0;251.0;9.0;11.0;4.0;27.0;3.0;19.0;5.0;2.0;;6.0;4.0;6.0;;;;;;;783.0
Rijnwaarden-G0196;22;;3000;2357;574;326;6.0;45.0;30.0;7.0;5.0;10.0;7.0;5.0;4.0;7.0;12.0;15.0;4.0;1.0;;1.0;2.0;3.0;1.0;2.0;1.0;;;1009.0
