RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;SGP;Politieke Partij Radikalen (PPR);Pacifistisch-Socialistische Partij (PSP);Gereformeerd Politiek Verbond (GPV);Reformatorische Politieke Federatie (RPF);Communistische Partij van Nederland;CP;SP;Evangelische Volkspartij;Federatie Groenen;Partij voor de Middengroepen;Loesje;Centrumdemocraten;VCN: partij van communisten in Nederland;Partij voor Ambtenaren en Trendvolgers;Anti Revolutionairen '85;Socialistische Arbeiderspartij;God Met Ons;Partij Algemeen Belang;Partij Geluk voor Iedereen;Lijst Wissink;Humanistische Partij;Lijst Brummer;@abs
Aalburg-G0738;19;;2692;1017;670;164;1504.0;42.0;26.0;88.0;187.0;13.0;8.0;1.0;15.0;13.0;6.0;1.0;6.0;;;1.0;1.0;1.0;2.0;;1.0;;;780.0
Aalsmeer-G0358;30;;6046;2694;3841;811;79.0;136.0;106.0;84.0;136.0;16.0;40.0;10.0;23.0;23.0;29.0;15.0;9.0;7.0;;4.0;5.0;;4.0;;;;;1627.0
Aalten-G0197;34;;6655;2634;1219;374;25.0;196.0;62.0;62.0;216.0;11.0;12.0;8.0;71.0;8.0;21.0;5.0;3.0;;;17.0;2.0;2.0;2.0;5.0;1.0;;;1401.0
Aardenburg-G0648;14;;910;612;629;95;6.0;18.0;11.0;4.0;;5.0;3.0;;3.0;5.0;3.0;4.0;2.0;1.0;;;;;;;;;;344.0
Aarle-Rixtel-G0739;4;;1828;922;463;143;;38.0;16.0;1.0;8.0;6.0;5.0;4.0;1.0;9.0;11.0;1.0;2.0;;;;;3.0;;;0.0;;;401.0
Abcoude-G0305;23;;1901;898;1654;352;59.0;59.0;62.0;45.0;30.0;16.0;12.0;8.0;12.0;12.0;18.0;5.0;7.0;;;10.0;;;;1.0;0.0;1.0;;354.0
Achtkarspelen-G0059;60;;7315;6631;1108;494;198.0;126.0;74.0;630.0;616.0;33.0;18.0;19.0;97.0;10.0;20.0;13.0;3.0;5.0;;22.0;4.0;;2.0;;;;;1476.0
Adorp-G0001;2;;433;318;191;69;2.0;38.0;11.0;120.0;16.0;4.0;5.0;;5.0;2.0;2.0;;;;;1.0;;;;;;;;96.0
Aduard-G0002;4;;621;684;276;87;2.0;31.0;17.0;191.0;8.0;5.0;1.0;6.0;6.0;;1.0;2.0;1.0;2.0;;;;;2.0;;;;;113.0
Akersloot-G0360;5;;1535;630;705;286;3.0;45.0;22.0;11.0;12.0;11.0;7.0;3.0;2.0;11.0;7.0;6.0;3.0;2.0;;;1.0;;;;;;;314.0
Alblasserdam-G0482;32;;2748;4601;1223;502;1083.0;86.0;78.0;129.0;204.0;25.0;34.0;3.0;25.0;12.0;18.0;15.0;7.0;3.0;;7.0;2.0;;5.0;;;;;1475.0
Albrandswaard-G0613;27;;3089;2481;2415;584;192.0;77.0;54.0;68.0;70.0;27.0;46.0;23.0;27.0;22.0;42.0;7.0;12.0;4.0;;7.0;10.0;;7.0;;;;;1361.0
Alkemade-G0483;8;;4874;1299;1681;377;14.0;154.0;77.0;7.0;17.0;20.0;18.0;4.0;22.0;15.0;15.0;18.0;3.0;1.0;10.0;1.0;7.0;;;;;;;978.0
Alkmaar-G0361;118;;15018;18933;9294;4003;60.0;885.0;1192.0;278.0;294.0;645.0;226.0;219.0;89.0;233.0;128.0;121.0;92.0;27.0;;14.0;30.0;;34.0;;;;;9722.0
Almelo-G0141;124;;12566;16754;5184;1875;117.0;332.0;203.0;266.0;328.0;277.0;136.0;154.0;65.0;49.0;47.0;34.0;34.0;4.0;;17.0;10.0;;;;4.0;;;5222.0
Almere-G0034;37;;4378;11595;5005;2731;23.0;343.0;290.0;102.0;75.0;394.0;404.0;131.0;45.0;53.0;93.0;45.0;32.0;25.0;;8.0;29.0;;13.0;;;;;5396.0
Alphen aan den Rijn-G0484;76;;11711;8194;8148;2356;570.0;473.0;275.0;272.0;515.0;69.0;86.0;237.0;133.0;38.0;44.0;39.0;23.0;7.0;34.0;19.0;17.0;;;;;;;5658.0
Alphen en Riel-G0741;14;;2308;637;709;176;;27.0;27.0;5.0;3.0;4.0;5.0;1.0;;4.0;6.0;7.0;1.0;;;1.0;2.0;4.0;1.0;1.0;0.0;;;361.0
Ambt Delden-G0142;6;;2595;421;546;87;;13.0;12.0;11.0;5.0;1.0;5.0;2.0;5.0;2.0;4.0;1.0;3.0;;;;1.0;;;;2.0;;;206.0
Ameland-G0060;8;;1192;806;485;158;;42.0;21.0;24.0;22.0;15.0;5.0;6.0;10.0;;2.0;1.0;1.0;;;4.0;1.0;;3.0;;;;;
Amerongen-G0306;8;;1610;1042;913;203;366.0;42.0;22.0;10.0;93.0;7.0;9.0;3.0;15.0;10.0;9.0;7.0;5.0;;;1.0;3.0;;;3.0;3.0;0.0;;417.0
Amersfoort-G0307;190;;19461;17218;10456;3705;769.0;1066.0;799.0;1826.0;412.0;350.0;180.0;103.0;161.0;108.0;79.0;68.0;88.0;10.0;;24.0;15.0;;;21.0;6.0;12.0;;9507.0
Ammerzoden-G0198;13;;1556;545;330;75;53.0;20.0;11.0;4.0;16.0;2.0;4.0;5.0;5.0;7.0;8.0;4.0;3.0;;;;1.0;1.0;1.0;;0.0;;;298.0
Amstelveen-G0362;216;;13696;11290;15417;4259;129.0;660.0;668.0;191.0;251.0;213.0;199.0;67.0;117.0;144.0;82.0;57.0;90.0;16.0;;15.0;14.0;;16.0;;;;;6278.0
Amsterdam-G0363;1400;;61847;184953;62044;32821;546.0;7522.0;13257.0;952.0;1116.0;11109.0;5934.0;1021.0;762.0;1462.0;740.0;553.0;2350.0;1062.0;;95.0;326.0;;128.0;202.0;;180.0;62.0;116550.0
Andijk-G0364;9;;1660;914;522;182;46.0;44.0;35.0;19.0;162.0;50.0;6.0;2.0;7.0;12.0;5.0;5.0;2.0;6.0;;4.0;;;;;;;;363.0
Angerlo-G0199;6;;1364;947;296;164;2.0;23.0;22.0;4.0;5.0;3.0;7.0;3.0;4.0;1.0;2.0;8.0;1.0;;;;;0.0;2.0;;1.0;;;279.0
Anloo-G0105;8;;544;2327;1461;316;1.0;57.0;72.0;33.0;15.0;26.0;;9.0;9.0;5.0;8.0;8.0;2.0;1.0;;;1.0;;;;;;;405.0
Anna Paulowna-G0366;7;;2398;1488;1866;413;8.0;71.0;36.0;61.0;41.0;22.0;11.0;4.0;8.0;10.0;13.0;11.0;5.0;2.0;;2.0;6.0;;1.0;;;;;750.0
Apeldoorn-G0200;222;;31693;29262;18511;6014;2021.0;1046.0;664.0;708.0;1158.0;215.0;218.0;126.0;263.0;140.0;95.0;152.0;94.0;35.0;;48.0;36.0;;;26.0;12.0;13.0;;14073.0
Appingedam-G0003;24;;2086;4346;873;387;10.0;76.0;65.0;131.0;54.0;42.0;8.0;28.0;62.0;8.0;6.0;5.0;4.0;35.0;;5.0;2.0;;;1.0;;;;1263.0
Arcen en Velden-G0885;12;;3310;957;730;247;1.0;68.0;53.0;2.0;7.0;14.0;1.0;7.0;1.0;9.0;2.0;3.0;;1.0;8.0;1.0;;1.0;;;0.0;;;651.0
Arnemuiden-G0649;14;;745;488;266;71;580.0;7.0;6.0;10.0;269.0;5.0;7.0;;8.0;2.0;3.0;4.0;6.0;;;5.0;;;;;;;;343.0
Arnhem-G0202;227;;21593;34037;13227;5546;191.0;1286.0;1517.0;496.0;393.0;476.0;306.0;496.0;129.0;164.0;110.0;276.0;74.0;19.0;;25.0;32.0;;;29.0;16.0;32.0;;16905.0
Assen-G0106;88;;6609;13442;5139;2048;43.0;604.0;348.0;1493.0;264.0;159.0;;98.0;122.0;38.0;39.0;55.0;72.0;18.0;;33.0;9.0;;4.0;;;;;4413.0
Asten-G0743;19;;5731;1727;1025;389;2.0;110.0;81.0;2.0;13.0;27.0;9.0;14.0;6.0;16.0;14.0;25.0;3.0;;;;7.0;11.0;20.0;;1.0;;;1111.0
Avereest-G0143;23;;4336;2504;1382;333;50.0;61.0;37.0;152.0;191.0;10.0;12.0;12.0;26.0;11.0;8.0;8.0;1.0;;;8.0;1.0;;;;2.0;;;991.0
Axel-G0650;18;;2689;2159;1160;326;98.0;46.0;53.0;646.0;51.0;21.0;17.0;1.0;23.0;14.0;8.0;8.0;4.0;4.0;;2.0;4.0;;2.0;;;;;1553.0
Baarle-Nassau-G0744;7;;2128;683;615;140;3.0;26.0;24.0;2.0;12.0;6.0;6.0;;2.0;8.0;7.0;6.0;1.0;;;;1.0;1.0;5.0;;0.0;;;468.0
Baarn-G0308;59;;5153;4060;4608;1056;138.0;259.0;201.0;123.0;252.0;51.0;34.0;26.0;42.0;38.0;28.0;28.0;15.0;9.0;;4.0;;;;3.0;5.0;1.0;;2361.0
Baexem-G0886;5;;1018;243;193;61;7.0;6.0;7.0;;1.0;3.0;1.0;2.0;;2.0;;;;;3.0;;;0.0;;;0.0;;;151.0
Baflo-G0004;2;;695;672;273;73;3.0;33.0;30.0;90.0;16.0;7.0;2.0;4.0;3.0;2.0;;2.0;1.0;3.0;;5.0;;;;;;;;163.0
Bakel en Milheeze-G0745;11;;3134;803;412;153;;40.0;28.0;;1.0;5.0;6.0;6.0;4.0;9.0;7.0;3.0;2.0;;;;;0.0;1.0;;0.0;;;790.0
Barendrecht-G0489;25;;4805;2532;2794;893;820.0;140.0;58.0;168.0;203.0;20.0;35.0;14.0;38.0;25.0;28.0;16.0;20.0;1.0;;10.0;11.0;;3.0;;;;;1333.0
Barneveld-G0203;56;;11587;2845;3810;711;3832.0;137.0;75.0;307.0;1043.0;27.0;49.0;8.0;55.0;24.0;24.0;16.0;13.0;2.0;;4.0;6.0;;;3.0;2.0;0.0;;2262.0
Barsingerhorn-G0369;3;;406;1180;683;118;3.0;21.0;24.0;;5.0;21.0;9.0;;;7.0;15.0;6.0;;;;;;;;;;;;392.0
Bathmen-G0144;4;;1097;880;1165;246;1.0;46.0;23.0;15.0;2.0;1.0;7.0;1.0;5.0;2.0;5.0;2.0;;1.0;;;;;;;0.0;;;235.0
Bedum-G0005;12;;2689;1740;667;325;14.0;91.0;37.0;829.0;88.0;18.0;7.0;8.0;40.0;1.0;5.0;10.0;1.0;;;4.0;;;;;;;;390.0
Beegden-G0887;0;;606;343;123;53;;12.0;10.0;;;2.0;2.0;;1.0;;3.0;;;;2.0;;;0.0;;;0.0;;;147.0
Beek-G0888;38;;4922;3115;1572;558;5.0;125.0;57.0;5.0;19.0;31.0;31.0;10.0;8.0;17.0;9.0;16.0;;;60.0;1.0;2.0;24.0;1.0;;0.0;;;1638.0
Beek en Donk-G0746;10;;2979;1616;532;212;10.0;63.0;46.0;1.0;4.0;67.0;6.0;23.0;8.0;17.0;3.0;7.0;2.0;1.0;;;1.0;5.0;2.0;;2.0;;;885.0
Beemster-G0370;14;;1706;1427;1582;299;7.0;56.0;59.0;8.0;11.0;22.0;11.0;1.0;4.0;6.0;15.0;3.0;;1.0;;;1.0;;;;;;;543.0
Beers-G0747;2;;1285;381;196;80;3.0;18.0;20.0;1.0;1.0;5.0;4.0;1.0;;;3.0;7.0;;;;;1.0;0.0;;;0.0;;;167.0
Beerta-G0006;18;;105;1328;214;32;3.0;7.0;18.0;3.0;4.0;435.0;2.0;2.0;;;6.0;1.0;2.0;8.0;;;;;;1.0;;;;220.0
Beesel-G0889;41;;3885;2165;727;321;1.0;47.0;50.0;5.0;4.0;15.0;40.0;6.0;6.0;11.0;9.0;9.0;;;15.0;1.0;2.0;1.0;3.0;;0.0;;;1417.0
Beilen-G0107;20;;2923;3934;1559;396;21.0;97.0;42.0;207.0;50.0;31.0;;12.0;40.0;10.0;14.0;14.0;8.0;3.0;;;4.0;;2.0;;;;;763.0
Belfeld-G0890;8;;1671;801;307;147;;26.0;23.0;2.0;1.0;5.0;8.0;2.0;3.0;1.0;1.0;5.0;;;7.0;2.0;;0.0;1.0;;0.0;;;583.0
Bellingwedde-G0007;18;;914;4159;798;175;3.0;30.0;49.0;17.0;72.0;226.0;12.0;4.0;10.0;11.0;26.0;9.0;5.0;5.0;;2.0;5.0;;;2.0;;;;745.0
Bemmel-G0206;49;;5019;2942;1109;485;10.0;81.0;59.0;5.0;14.0;18.0;7.0;7.0;9.0;12.0;20.0;4.0;3.0;;;;1.0;0.0;1.0;1.0;2.0;;;1443.0
Bennebroek-G0372;24;;1515;588;1423;241;14.0;75.0;35.0;21.0;15.0;13.0;3.0;1.0;15.0;9.0;3.0;4.0;;;;;;;;;;;;406.0
Benschop-G0309;3;;1137;211;318;77;256.0;8.0;5.0;12.0;40.0;;4.0;1.0;4.0;2.0;2.0;1.0;3.0;1.0;;1.0;;;;;0.0;0.0;;140.0
Benthuizen-G0490;5;;622;354;464;123;389.0;18.0;16.0;15.0;64.0;2.0;4.0;4.0;1.0;2.0;1.0;1.0;;;3.0;1.0;;;;;;;;184.0
Bergambacht-G0491;12;;1535;1858;1263;277;673.0;42.0;28.0;26.0;73.0;14.0;8.0;3.0;7.0;15.0;13.0;6.0;5.0;1.0;3.0;;1.0;;;;;;;438.0
Bergen-G0373;31;;2998;2265;2918;666;7.0;209.0;148.0;20.0;36.0;35.0;25.0;4.0;13.0;88.0;20.0;14.0;7.0;2.0;;;1.0;;;;;;;1166.0
Bergen-G0893;35;;4671;2164;804;313;5.0;48.0;48.0;4.0;2.0;7.0;14.0;2.0;5.0;7.0;3.0;6.0;;;4.0;;2.0;4.0;;;1.0;;;1347.0
Bergen op Zoom-G0748;110;;9302;8404;6329;1667;32.0;275.0;250.0;45.0;52.0;47.0;147.0;53.0;45.0;17.0;24.0;52.0;41.0;17.0;;3.0;10.0;8.0;7.0;5.0;6.0;;;6172.0
Bergeyk-G0749;13;;3833;1166;809;235;2.0;70.0;38.0;7.0;10.0;7.0;7.0;4.0;3.0;19.0;3.0;5.0;3.0;1.0;;;;23.0;2.0;;1.0;;;757.0
Bergh-G0207;46;;5617;3760;1263;388;24.0;75.0;61.0;21.0;11.0;15.0;25.0;12.0;6.0;9.0;15.0;13.0;4.0;;;3.0;;4.0;2.0;3.0;2.0;;;1682.0
Berghem-G0750;9;;1520;1354;287;150;;21.0;27.0;1.0;3.0;7.0;7.0;110.0;4.0;2.0;4.0;5.0;1.0;1.0;;;5.0;0.0;3.0;;0.0;;;413.0
Bergschenhoek-G0492;11;;2080;823;1138;242;62.0;50.0;26.0;109.0;66.0;7.0;27.0;3.0;12.0;14.0;4.0;10.0;8.0;1.0;8.0;;;;;;;;;610.0
Berkel en Rodenrijs-G0493;23;;4601;1423;2272;641;39.0;85.0;54.0;673.0;67.0;19.0;19.0;13.0;20.0;23.0;16.0;12.0;11.0;;20.0;4.0;2.0;;;;;;;800.0
Berkel-Enschot-G0751;13;;3387;1110;1544;430;6.0;91.0;58.0;8.0;3.0;18.0;7.0;5.0;12.0;11.0;19.0;9.0;7.0;2.0;;;;1.0;1.0;1.0;0.0;;;508.0
Berlicum-G0752;13;;2773;1574;716;229;2.0;61.0;27.0;4.0;3.0;5.0;3.0;25.0;6.0;15.0;7.0;15.0;4.0;;;1.0;;5.0;1.0;;0.0;;;654.0
Bernisse-G0568;18;;2545;2199;2098;642;128.0;67.0;35.0;25.0;43.0;31.0;26.0;28.0;14.0;8.0;22.0;10.0;12.0;1.0;;1.0;1.0;;;;;;;974.0
Best-G0753;31;;5640;3634;2026;693;9.0;108.0;82.0;41.0;24.0;35.0;50.0;21.0;9.0;17.0;29.0;23.0;5.0;3.0;;;9.0;6.0;3.0;;1.0;;;2007.0
Beuningen-G0209;38;;5242;3919;1565;856;5.0;187.0;143.0;19.0;14.0;30.0;11.0;54.0;12.0;32.0;19.0;6.0;7.0;;;;6.0;5.0;4.0;1.0;1.0;;;2094.0
Beverwijk-G0375;67;;7631;8507;3293;1395;34.0;248.0;332.0;72.0;104.0;291.0;92.0;32.0;44.0;81.0;40.0;47.0;45.0;11.0;;6.0;17.0;;9.0;;;;;4031.0
Bierum-G0008;14;;1229;940;353;135;3.0;34.0;13.0;39.0;30.0;10.0;1.0;2.0;22.0;1.0;5.0;2.0;1.0;;;4.0;1.0;;;1.0;;;;283.0
Binnenmaas-G0585;23;;3613;3563;2888;757;676.0;84.0;74.0;50.0;110.0;20.0;23.0;9.0;36.0;23.0;43.0;13.0;12.0;;;6.0;;;2.0;;;;;1353.0
Bladel en Netersel-G0754;19;;3262;1313;707;261;1.0;61.0;76.0;5.0;4.0;15.0;7.0;1.0;6.0;7.0;7.0;6.0;3.0;1.0;;;2.0;11.0;5.0;;2.0;;;1134.0
Blaricum-G0376;13;;2170;1414;2633;575;16.0;91.0;82.0;24.0;24.0;19.0;13.0;5.0;12.0;22.0;12.0;7.0;7.0;4.0;;;3.0;;3.0;;;;;771.0
Bleiswijk-G0495;4;;2267;857;1430;362;150.0;51.0;16.0;43.0;101.0;15.0;10.0;6.0;8.0;3.0;18.0;7.0;;;4.0;1.0;;;;;;;;512.0
Bloemendaal-G0377;44;;3795;1875;5297;780;26.0;180.0;126.0;56.0;51.0;33.0;30.0;10.0;33.0;50.0;11.0;16.0;4.0;4.0;;5.0;2.0;;2.0;;;;;1299.0
Boarnsterhim-G0055;18;;2450;5861;2285;774;49.0;128.0;110.0;35.0;47.0;31.0;10.0;15.0;28.0;7.0;11.0;24.0;5.0;5.0;;5.0;1.0;;2.0;;;;;888.0
Bodegraven-G0497;24;;4788;2144;2119;601;476.0;129.0;65.0;125.0;225.0;29.0;27.0;9.0;40.0;12.0;22.0;16.0;4.0;2.0;11.0;9.0;;;;;;;;1264.0
Boekel-G0755;18;;3330;1166;545;203;3.0;39.0;44.0;2.0;3.0;12.0;8.0;15.0;6.0;4.0;4.0;10.0;2.0;;;;4.0;5.0;1.0;;2.0;;;686.0
Bolsward-G0064;18;;2860;2161;719;348;23.0;113.0;43.0;37.0;43.0;16.0;9.0;11.0;24.0;9.0;4.0;13.0;1.0;1.0;;9.0;4.0;;1.0;;;;;730.0
Borculo-G0211;30;;2060;2506;1566;329;4.0;56.0;29.0;23.0;26.0;9.0;10.0;5.0;12.0;5.0;10.0;9.0;2.0;;;1.0;1.0;2.0;3.0;2.0;1.0;;;573.0
Borger-G0108;37;;1894;4542;1455;406;3.0;94.0;43.0;91.0;75.0;34.0;;5.0;23.0;12.0;15.0;12.0;14.0;4.0;;5.0;;;6.0;;;;;547.0
Born-G0897;34;;4525;2661;908;386;3.0;80.0;64.0;5.0;15.0;19.0;33.0;5.0;6.0;15.0;9.0;18.0;;6.0;41.0;1.0;;25.0;2.0;;1.0;;;1136.0
Borne-G0147;13;;6008;3703;2112;726;21.0;174.0;125.0;44.0;57.0;17.0;5.0;25.0;25.0;7.0;11.0;13.0;6.0;;;7.0;6.0;;;;1.0;;;1209.0
Borsele-G0654;40;;5468;2703;1966;595;1314.0;134.0;70.0;110.0;114.0;19.0;22.0;4.0;43.0;16.0;22.0;22.0;9.0;2.0;;4.0;2.0;;3.0;;;;;1524.0
Boskoop-G0499;17;;3709;1665;2182;553;329.0;184.0;137.0;60.0;172.0;30.0;27.0;8.0;23.0;9.0;15.0;9.0;7.0;;8.0;8.0;4.0;;;;;;;1017.0
Boxmeer-G0756;22;;4660;2746;1016;430;2.0;110.0;84.0;3.0;15.0;19.0;11.0;63.0;24.0;16.0;4.0;17.0;2.0;;;;5.0;2.0;;;2.0;;;903.0
Boxtel-G0757;63;;6412;4792;1747;800;4.0;135.0;152.0;24.0;4.0;41.0;23.0;506.0;18.0;28.0;20.0;25.0;8.0;;;4.0;8.0;6.0;2.0;2.0;1.0;;;2563.0
Brakel-G0212;35;;1280;1068;320;116;941.0;13.0;12.0;22.0;119.0;5.0;3.0;;10.0;1.0;4.0;2.0;1.0;;;6.0;;1.0;;;0.0;;;530.0
Breda-G0758;284;;24347;26561;13246;5713;94.0;971.0;1221.0;141.0;184.0;397.0;343.0;145.0;88.0;134.0;141.0;104.0;112.0;20.0;;5.0;32.0;27.0;18.0;17.0;21.0;;;17749.0
Brederwiede-G0194;27;;3162;2473;1077;354;57.0;59.0;34.0;600.0;114.0;15.0;2.0;4.0;34.0;4.0;7.0;4.0;5.0;1.0;;7.0;1.0;;;;1.0;;;600.0
Breukelen-G0311;22;;2444;1194;2104;547;329.0;121.0;62.0;51.0;119.0;15.0;16.0;3.0;19.0;10.0;10.0;4.0;6.0;;;2.0;;;;1.0;0.0;1.0;;756.0
Briefstemmen-G9999;352;;8559;4670;11657;1559;429.0;276.0;361.0;382.0;284.0;109.0;170.0;50.0;113.0;542.0;25.0;23.0;103.0;12.0;11.0;48.0;24.0;6.0;23.0;13.0;1.0;13.0;3.0;10038.0
Brielle-G0501;29;;2485;3092;2841;876;62.0;90.0;87.0;30.0;62.0;37.0;37.0;27.0;15.0;17.0;65.0;18.0;26.0;1.0;;3.0;3.0;;1.0;;;;;1294.0
Broek in Waterland-G0380;5;;484;567;505;159;6.0;34.0;35.0;1.0;7.0;17.0;8.0;;2.0;10.0;3.0;2.0;6.0;1.0;;;1.0;;;;;;;214.0
Broekhuizen-G0898;2;;719;209;153;38;;7.0;17.0;;2.0;;1.0;2.0;;1.0;3.0;5.0;;;1.0;;1.0;0.0;;;0.0;;;129.0
Brouwershaven-G0656;8;;516;945;657;132;64.0;20.0;17.0;79.0;28.0;6.0;1.0;1.0;10.0;5.0;2.0;5.0;;;;;;;;;;;;264.0
Bruinisse-G0657;4;;642;535;401;65;360.0;11.0;7.0;14.0;46.0;3.0;2.0;;6.0;2.0;6.0;5.0;1.0;;;;3.0;;1.0;;;;;202.0
Brummen-G0213;26;;3671;5886;2450;774;30.0;136.0;96.0;31.0;59.0;41.0;12.0;9.0;30.0;30.0;12.0;17.0;4.0;1.0;;;2.0;;;10.0;1.0;4.0;;1402.0
Brunssum-G0899;89;;7235;8524;1446;820;12.0;179.0;83.0;103.0;50.0;76.0;85.0;112.0;16.0;44.0;23.0;18.0;;19.0;55.0;5.0;7.0;50.0;2.0;;3.0;;;3914.0
Budel-G0759;17;;3808;1933;765;257;1.0;45.0;27.0;2.0;16.0;5.0;7.0;9.0;10.0;1.0;11.0;13.0;3.0;;;2.0;2.0;9.0;4.0;;5.0;;;1429.0
Bunnik-G0312;17;;3723;1660;2258;696;123.0;227.0;99.0;40.0;40.0;22.0;25.0;14.0;32.0;15.0;3.0;8.0;5.0;1.0;;2.0;1.0;;;1.0;1.0;2.0;;771.0
Bunschoten-G0313;19;;5023;713;1050;250;288.0;29.0;31.0;2817.0;562.0;10.0;15.0;1.0;15.0;1.0;6.0;;9.0;;;3.0;;;;1.0;1.0;1.0;;666.0
Buren-G0214;21;;1596;2234;1544;339;157.0;61.0;46.0;17.0;46.0;10.0;16.0;12.0;5.0;11.0;9.0;15.0;8.0;;;1.0;;2.0;2.0;2.0;1.0;;;652.0
Bussum-G0381;14;;6492;5250;7067;1650;192.0;220.0;583.0;166.0;146.0;93.0;47.0;19.0;55.0;72.0;46.0;31.0;20.0;15.0;;27.0;14.0;;4.0;;;;;3622.0
Callantsoog-G0382;8;;478;554;549;98;3.0;17.0;14.0;;4.0;3.0;6.0;;1.0;6.0;11.0;9.0;1.0;8.0;;1.0;;;;;;;;128.0
Capelle aan den IJssel-G0502;77;;7101;12210;7331;2975;1874.0;235.0;323.0;654.0;311.0;124.0;232.0;86.0;75.0;61.0;100.0;53.0;83.0;13.0;41.0;11.0;20.0;;;;;;;6584.0
Castricum-G0383;33;;5642;3655;3820;1274;14.0;386.0;178.0;37.0;33.0;64.0;28.0;11.0;27.0;57.0;19.0;27.0;13.0;7.0;;6.0;3.0;;2.0;;;;;1823.0
Chaam-G0760;5;;1429;461;437;136;;18.0;10.0;1.0;;2.0;5.0;;5.0;2.0;2.0;4.0;1.0;;;1.0;;2.0;2.0;;0.0;;;171.0
Coevorden-G0109;21;;3498;3993;1224;366;7.0;56.0;78.0;40.0;78.0;17.0;;10.0;16.0;9.0;9.0;9.0;8.0;2.0;;4.0;4.0;;3.0;;;;;1040.0
Cothen-G0314;3;;933;233;255;75;29.0;6.0;5.0;3.0;10.0;3.0;2.0;;;2.0;;4.0;;;;;;;;;0.0;0.0;;131.0
Cromstrijen-G0611;15;;1956;2729;1578;473;439.0;61.0;51.0;24.0;83.0;35.0;19.0;6.0;10.0;8.0;24.0;8.0;3.0;2.0;;2.0;1.0;;2.0;;;;;980.0
Cuijk en Sint Agatha-G0761;23;;4124;3547;1227;598;1.0;130.0;125.0;15.0;7.0;41.0;44.0;31.0;5.0;17.0;17.0;12.0;7.0;3.0;;;2.0;4.0;3.0;;1.0;;;1764.0
Culemborg-G0216;2;;3817;4318;2262;839;185.0;174.0;188.0;31.0;68.0;78.0;49.0;139.0;37.0;24.0;25.0;10.0;19.0;6.0;;5.0;4.0;14.0;3.0;8.0;0.0;;;1928.0
Dalen-G0110;13;;947;1560;1115;196;8.0;27.0;15.0;11.0;18.0;5.0;;4.0;2.0;3.0;6.0;5.0;7.0;;;1.0;;;;;;;;163.0
Dalfsen-G0148;29;;5728;1464;1283;368;43.0;53.0;23.0;721.0;85.0;5.0;3.0;6.0;41.0;8.0;11.0;7.0;2.0;;;3.0;2.0;;;;0.0;;;694.0
Dantumadeel-G0065;36;;4891;4032;929;421;698.0;99.0;62.0;261.0;455.0;25.0;15.0;11.0;71.0;5.0;6.0;8.0;2.0;2.0;;31.0;6.0;;3.0;;;;;1274.0
De Bilt-G0310;58;;6447;4958;7109;1900;299.0;352.0;166.0;323.0;162.0;93.0;53.0;39.0;118.0;66.0;34.0;28.0;28.0;1.0;;3.0;2.0;;;5.0;3.0;6.0;;1977.0
De Lier-G0552;5;;3688;615;1263;258;41.0;24.0;14.0;125.0;19.0;10.0;13.0;3.0;30.0;5.0;7.0;5.0;6.0;;;1.0;2.0;;1.0;;;;;540.0
De Wijk-G0135;5;;879;1102;939;178;3.0;17.0;20.0;29.0;9.0;7.0;;1.0;6.0;6.0;6.0;2.0;6.0;4.0;;1.0;2.0;;1.0;;;;;276.0
Delft-G0503;90;;15890;20756;9930;5042;583.0;1191.0;1282.0;405.0;339.0;880.0;217.0;117.0;226.0;149.0;85.0;133.0;121.0;27.0;;35.0;22.0;;22.0;;;;;10032.0
Delfzijl-G0010;36;;3176;7531;1961;895;15.0;132.0;103.0;265.0;195.0;151.0;42.0;56.0;87.0;13.0;35.0;16.0;20.0;3.0;;5.0;7.0;;7.0;5.0;;;;3017.0
Den Dungen-G0768;4;;1585;786;231;96;;24.0;11.0;2.0;2.0;8.0;4.0;11.0;4.0;;;5.0;3.0;;;;2.0;2.0;;;1.0;;;285.0
Den Ham-G0159;23;;4983;2563;599;194;62.0;41.0;26.0;389.0;311.0;5.0;1.0;1.0;37.0;5.0;12.0;3.0;1.0;;;11.0;4.0;;;;0.0;;;832.0
Den Helder-G0400;103;;10799;11467;9729;3001;167.0;280.0;328.0;421.0;418.0;139.0;163.0;28.0;62.0;47.0;73.0;45.0;53.0;13.0;;11.0;16.0;;9.0;;;;;9677.0
Denekamp-G0149;25;;5766;1454;724;233;2.0;44.0;20.0;7.0;26.0;4.0;9.0;7.0;6.0;3.0;;5.0;6.0;;;;1.0;;;;3.0;;;495.0
Deurne-G0762;57;;10152;4367;1894;709;13.0;165.0;132.0;17.0;11.0;55.0;34.0;26.0;18.0;23.0;26.0;36.0;17.0;5.0;;1.0;16.0;7.0;21.0;;4.0;;;2845.0
Deventer-G0150;111;;9842;19828;5700;2806;75.0;945.0;573.0;202.0;234.0;392.0;106.0;45.0;99.0;74.0;42.0;58.0;34.0;21.0;;13.0;42.0;;;;6.0;;;6438.0
Didam-G0218;32;;5249;3321;921;474;5.0;67.0;40.0;10.0;5.0;16.0;24.0;8.0;8.0;14.0;10.0;14.0;2.0;1.0;;;9.0;1.0;1.0;1.0;1.0;;;1254.0
