RegioNaam;@invalid;@blank;CDA;VVD;PvdA;SP;GL;CU;D66;PvdD;SGP;CU-SGP;Leefbaar Zuid-Holland;Fryske Nasjonale Partij (FNP);Ouderenpartij NH/VSP;Brabantse Partij;Partij Nieuw Limburg;Verenigde Senioren Partij (NB);Partij voor het Noorden;Partij voor Zeeland;Fortuyn;Mooi Utrecht;Lokaal Zuid-Holland;Gelderland Lokaal;De Groenen/Noord-Holland Anders;Een voor de Vrijheid;Nieuw Rechts;Limburgs Belang;Gemeentebelangen Friesland;Actief Drenthe;Islam Democraten;Onafhankelijke Partij Drenthe;LEEFBAAR OV/ VER. SENIOREN PARTIJ;Drentse Ouderenpartijen;Nederlandse Volksunie;ONS Flevoland / VER. SENIOREN PARTIJ;Zeeuws Belang !;Tilburgse Volkspartij (TVP);deFriezen;Drents Belang-Ver. Senioren Partij;Nieuwe Communistische Partij;Groep Hop;Nederlandse Klokkenluiders Partij;Sociaal-Liberale Partij;@abs
Weesp-G0457;;38;1382;1252;1147;880;543;;329;258.0;;158.0;;;373.0;;;;;;;;;;31.0;;;;;;;;;;;;;;;;;;;;7026
Werkendam-G0870;;29;3384;1345;971;846;170;;63;156.0;;2643.0;;;;71.0;;69.0;;;;;;;;;;;;;;;;;;;;6.0;;;;;;;10287
Wervershoof-G0459;;14;1139;545;318;267;84;;36;55.0;;32.0;;;121.0;;;;;;;;;;18.0;;;;;;;;;;;;;;;;;;;;3686
West Maas en Waal-G0668;;26;2434;1188;837;941;177;55.0;77;131.0;20.0;;;;;;;;;;20.0;;;176.0;;34.0;;;;;;;;;9.0;;;;;;;9.0;;;7988
Westerveld-G1701;;22;1685;1921;2293;939;511;279.0;197;182.0;30.0;;;;;;;;35.0;;;;;;;;;;;381.0;;188.0;;59.0;;;;;;39.0;;;;;6422
Westervoort-G0293;;22;1229;817;1007;1073;299;193.0;108;113.0;10.0;;;;;;;;;;30.0;;;44.0;;47.0;;;;;;;;;30.0;;;;;;;3.0;;;6663
Westland-G1783;;181;15432;7496;2919;2282;782;1853.0;392;634.0;711.0;;580.0;;;;;;;;540.0;;96.0;;;;;;;;40.0;;;;;;;;;;;;;;39605
Weststellingwerf-G0098;;51;2427;1560;2671;1129;465;394.0;99;281.0;;;;221.0;;;;;59.0;;;;;;;;;;129.0;;;;;;;;;;43.0;;;;26.0;;10340
Westvoorne-G0614;;38;1195;1813;893;662;208;134.0;167;234.0;43.0;;319.0;;;;;;;;21.0;;40.0;;;;;;;;3.0;;;;;;;;;;;;;;5290
Wierden-G0189;;26;5006;1389;895;600;173;1507.0;67;90.0;302.0;;;;;;;;;;28.0;;;;;;48.0;;;;;;45.0;;;;;;;;;;;;7414
Wieringen-G0462;;9;360;648;498;545;87;;30;105.0;;52.0;;;789.0;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;3686
Wieringermeer-G0463;;37;1304;909;620;632;112;;64;113.0;;304.0;;;241.0;;;;;;;;;;18.0;;;;;;;;;;;;;;;;;;;;5166
Wijchen-G0296;;51;4472;2068;2738;2256;511;207.0;243;219.0;19.0;;;;;;;;;;34.0;;;76.0;;70.0;;;;;;;;;36.0;;;;;;;13.0;;;16683
Wijdemeren-G1696;;55;2577;2950;1232;998;532;;231;303.0;;390.0;;;231.0;;;;;;;;;;31.0;;;;;;;;;;;;;;;;;;;;8507
Wijk bij Duurstede-G0352;;39;2100;1814;1232;1216;551;458.0;231;241.0;281.0;;;;;;;;;;;83.0;;;;;;;;;;;;;;;;;;;;;;;9098
Winschoten-G0052;;19;1097;869;2264;1288;379;439.0;91;141.0;;;;;;;;;231.0;;;;;;;;;;;;;;;;;;;;;;50.0;;;;7760
Winsum-G0053;;17;1696;665;1560;807;544;846.0;107;131.0;;;;;;;;;208.0;;;;;;;;;;;;;;;;;;;;;;10.0;;;;3902
