RegioNaam;@invalid;@blank;RKSP;SDAP;ARP;CHU;Vrijzinnig-Democratische Bond (VDB);Nationaal-Socialistische Beweging (NSB);Liberale Staatspartij (LSP);Communistische Partij van Nederland;Christelijk-Democratische Unie;SGP;Revolutionair Socialistische Arbeiderspartij;Katholiek Democratische Partij;HGSP;Actie-Bouwman;Christelijk Nationale Actie;Algemeen Belang;Zwart Front;Plattelandersbond;VNH;Nationaal Socialistische Arbeiderspartij;@abs
Wassenaar-G0629;74;90;2644.0;703.0;1470.0;741.0;509.0;572.0;1228.0;46.0;27.0;47.0;8.0;9.0;54.0;;2.0;5.0;6.0;4.0;94.0;;505.0
Wateringen-G0630;11;15;1506.0;63.0;126.0;207.0;21.0;49.0;7.0;4.0;2.0;6.0;;4.0;49.0;;2.0;;;4.0;;;50.0
Waterlandkerkje-G0722;3;6;89.0;11.0;46.0;16.0;26.0;11.0;18.0;2.0;2.0;15.0;;;1.0;;;1.0;;;;;21.0
Wedde-G1220;48;29;10.0;705.0;179.0;98.0;211.0;202.0;98.0;144.0;215.0;1.0;;;5.0;;1.0;4.0;;2.0;;;154.0
Weerselo-G0188;17;18;2854.0;49.0;35.0;27.0;33.0;21.0;8.0;9.0;8.0;;1.0;56.0;;44.0;;4.0;;;;;109.0
Weert-G0988;59;108;5939.0;54.0;32.0;20.0;14.0;202.0;9.0;4.0;2.0;4.0;5.0;8.0;4.0;88.0;;10.0;5.0;3.0;8.0;1.0;251.0
Weesp-G0457;109;54;629.0;911.0;677.0;649.0;117.0;107.0;104.0;104.0;44.0;18.0;13.0;8.0;170.0;;6.0;12.0;2.0;3.0;1.0;;170.0
Weesperkarspel-G1221;13;32;503.0;219.0;321.0;374.0;36.0;33.0;15.0;25.0;19.0;24.0;9.0;4.0;17.0;;21.0;2.0;;2.0;;1.0;68.0
Wehl-G0292;21;13;1002.0;16.0;11.0;32.0;5.0;28.0;2.0;;;1.0;1.0;;;292.0;1.0;;;1.0;1.0;;56.0
Wemeldinge-G0723;15;14;14.0;126.0;460.0;287.0;104.0;11.0;66.0;8.0;16.0;73.0;1.0;1.0;3.0;;;22.0;;1.0;;;163.0
Werkendam-G0870;21;15;21.0;242.0;445.0;302.0;29.0;61.0;42.0;17.0;;208.0;5.0;1.0;1.0;2.0;15.0;2.0;3.0;1.0;;;377.0
Werkhoven-G1223;3;1;325.0;3.0;27.0;63.0;2.0;3.0;;;1.0;32.0;;;;;8.0;;;;;;23.0
Wervershoof-G0459;4;6;1448.0;29.0;12.0;;38.0;3.0;4.0;6.0;1.0;3.0;;8.0;1.0;;;;;;;;37.0
Wessem-G0989;5;6;494.0;;6.0;;;7.0;;1.0;;;;;;9.0;;;;;2.0;;28.0
Westbroek-G1224;8;9;64.0;59.0;153.0;184.0;4.0;23.0;2.0;3.0;3.0;46.0;1.0;;;;12.0;;;;;;27.0
Westdongeradeel-G0097;46;28;23.0;511.0;1376.0;1047.0;314.0;26.0;221.0;22.0;239.0;18.0;23.0;;1.0;;1.0;9.0;;6.0;;;240.0
Westdorpe-G0724;31;44;662.0;174.0;24.0;10.0;24.0;34.0;18.0;3.0;;3.0;3.0;2.0;2.0;;1.0;1.0;1.0;5.0;;;47.0
Westerbork-G0134;22;47;20.0;673.0;472.0;111.0;399.0;257.0;188.0;9.0;65.0;7.0;4.0;2.0;6.0;1.0;7.0;5.0;;10.0;;;75.0
Westerhoven-G0871;3;2;358.0;1.0;;;1.0;1.0;;;;;;;;7.0;;;;;;;6.0
Westervoort-G0293;16;11;616.0;79.0;86.0;119.0;7.0;12.0;3.0;1.0;1.0;2.0;;2.0;;126.0;;;;18.0;;;69.0
Westkapelle-G0726;19;22;1.0;293.0;251.0;183.0;166.0;11.0;36.0;8.0;2.0;192.0;2.0;;3.0;;;7.0;;5.0;2.0;;146.0
Westmaas-G0631;6;5;1.0;44.0;191.0;116.0;13.0;27.0;38.0;;1.0;23.0;;;;;2.0;;;5.0;1.0;;20.0
Weststellingwerf-G0098;150;198;877.0;2979.0;1061.0;928.0;1525.0;115.0;150.0;488.0;809.0;16.0;239.0;16.0;27.0;;3.0;40.0;3.0;15.0;;;732.0
Westwoud-G0460;6;3;359.0;53.0;21.0;10.0;68.0;4.0;37.0;3.0;1.0;;1.0;2.0;;;;40.0;;4.0;;;33.0
