RegioNaam;@invalid;@blank;RKSP;SDAP;ARP;CHU;Vrijzinnig-Democratische Bond (VDB);Nationaal-Socialistische Beweging (NSB);Liberale Staatspartij (LSP);Communistische Partij van Nederland;Christelijk-Democratische Unie;SGP;Revolutionair Socialistische Arbeiderspartij;Katholiek Democratische Partij;HGSP;Actie-Bouwman;Christelijk Nationale Actie;Algemeen Belang;Zwart Front;Plattelandersbond;VNH;Nationaal Socialistische Arbeiderspartij;@abs
Dantumadeel-G0065;111;98;65.0;887.0;2340.0;1135.0;186.0;41.0;358.0;34.0;1043.0;245.0;49.0;2.0;25.0;;80.0;27.0;3.0;3.0;2.0;;395.0
De Bilt-G0310;54;88;1137.0;1255.0;2013.0;520.0;589.0;537.0;665.0;52.0;156.0;305.0;16.0;17.0;27.0;;50.0;13.0;9.0;1.0;17.0;;339.0
De Lier-G0552;5;6;169.0;55.0;521.0;420.0;27.0;38.0;55.0;2.0;2.0;26.0;3.0;;4.0;;1.0;;2.0;;;;28.0
De Rijp-G0440;7;4;245.0;201.0;47.0;10.0;103.0;21.0;8.0;42.0;16.0;5.0;;3.0;;;;2.0;;1.0;;;44.0
De Werken en Sleeuwijk-G1222;32;21;5.0;164.0;919.0;300.0;18.0;69.0;34.0;2.0;;123.0;1.0;1.0;13.0;;7.0;;;6.0;;;203.0
De Wijk-G0135;22;38;19.0;241.0;475.0;184.0;456.0;173.0;148.0;2.0;19.0;;2.0;1.0;1.0;3.0;2.0;;;7.0;1.0;;111.0
Deil-G0217;19;27;229.0;172.0;144.0;200.0;92.0;16.0;41.0;2.0;31.0;64.0;;2.0;6.0;10.0;1.0;;;110.0;;;75.0
Delft-G0503;292;595;7388.0;6851.0;4198.0;1603.0;973.0;680.0;909.0;877.0;201.0;930.0;110.0;609.0;81.0;;104.0;37.0;3.0;13.0;12.0;;1307.0
Delfzijl-G0010;78;138;138.0;1164.0;978.0;461.0;797.0;129.0;142.0;486.0;288.0;7.0;91.0;3.0;5.0;;6.0;43.0;1.0;;5.0;;487.0
Den Bommel-G1024;5;19;211.0;85.0;234.0;28.0;15.0;12.0;88.0;11.0;1.0;119.0;1.0;;2.0;;31.0;12.0;5.0;;;;101.0
Den Dungen-G0768;1;3;777.0;2.0;5.0;;;;;;;;;;;146.0;;;1.0;;1.0;;14.0
Den Ham-G0159;66;73;221.0;320.0;1095.0;986.0;128.0;51.0;55.0;12.0;170.0;22.0;8.0;5.0;18.0;;14.0;71.0;1.0;3.0;;2.0;196.0
Den Helder-G0400;303;508;2078.0;4257.0;4928.0;610.0;3208.0;450.0;244.0;203.0;93.0;64.0;30.0;44.0;17.0;;12.0;13.0;9.0;9.0;494.0;;1847.0
Denekamp-G0149;13;35;2262.0;59.0;107.0;110.0;40.0;158.0;19.0;28.0;28.0;;1.0;15.0;1.0;6.0;;1.0;1.0;;;2.0;96.0
Deurne en Liessel-G1041;36;36;4722.0;21.0;36.0;96.0;11.0;31.0;3.0;6.0;;4.0;1.0;2.0;;37.0;3.0;6.0;5.0;3.0;;;149.0
Deventer-G0150;291;402;3418.0;6477.0;1863.0;848.0;3026.0;802.0;858.0;1000.0;271.0;22.0;1596.0;134.0;14.0;5.0;5.0;31.0;12.0;9.0;13.0;4.0;1415.0
Didam-G0218;20;18;2227.0;31.0;16.0;30.0;20.0;43.0;3.0;;3.0;4.0;;11.0;;427.0;;1.0;1.0;7.0;2.0;;93.0
Diemen-G0384;69;58;694.0;537.0;558.0;295.0;82.0;165.0;38.0;144.0;54.0;4.0;;;;;;;;;;;88.0
Diepenheim-G0151;8;34;77.0;294.0;113.0;85.0;248.0;46.0;83.0;10.0;6.0;2.0;;;;;;;;2.0;2.0;;67.0
Diepenveen-G0152;36;52;966.0;663.0;444.0;405.0;453.0;209.0;139.0;16.0;16.0;6.0;25.0;2.0;3.0;;1.0;4.0;5.0;80.0;1.0;1.0;235.0
Diessen-G0763;3;2;688.0;3.0;2.0;7.0;;1.0;;1.0;1.0;;;6.0;;1.0;;;1.0;3.0;;;33.0
Diever-G0111;17;29;28.0;364.0;327.0;54.0;223.0;103.0;158.0;8.0;41.0;;;;1.0;;;1.0;;10.0;;;59.0
Dinteloord en Prinsenland-G0764;27;22;648.0;187.0;296.0;303.0;26.0;53.0;43.0;6.0;2.0;132.0;1.0;6.0;12.0;1.0;58.0;9.0;;;1.0;;156.0
Dinther-G1044;6;2;835.0;2.0;4.0;14.0;1.0;1.0;2.0;;;;;2.0;;45.0;;;2.0;;;;39.0
Dinxperlo-G0219;32;45;244.0;180.0;435.0;451.0;79.0;104.0;38.0;9.0;65.0;1.0;;2.0;1.0;2.0;2.0;3.0;;2.0;;;113.0
Dirksland-G0504;26;35;12.0;264.0;582.0;41.0;61.0;23.0;126.0;14.0;2.0;264.0;1.0;1.0;5.0;;50.0;8.0;;2.0;;;125.0
Dodewaard-G0220;21;31;11.0;297.0;269.0;125.0;7.0;40.0;37.0;1.0;28.0;135.0;;;2.0;2.0;;4.0;3.0;4.0;1.0;;89.0
Doesburg-G0221;52;58;865.0;634.0;199.0;345.0;103.0;137.0;56.0;16.0;18.0;7.0;;51.0;2.0;17.0;;1.0;;1.0;;;118.0
Doetinchem-G0222;100;143;2103.0;1932.0;897.0;788.0;639.0;478.0;267.0;26.0;46.0;121.0;5.0;155.0;4.0;47.0;3.0;1.0;3.0;20.0;19.0;;364.0
Dokkum-G0066;30;15;141.0;522.0;1084.0;253.0;251.0;45.0;186.0;35.0;111.0;18.0;6.0;1.0;3.0;;3.0;21.0;1.0;2.0;;;171.0
Domburg-G0660;25;10;7.0;150.0;153.0;86.0;103.0;8.0;47.0;2.0;3.0;118.0;2.0;;16.0;;1.0;10.0;;;10.0;;38.0
Dongen-G0766;20;39;4051.0;27.0;33.0;82.0;12.0;31.0;11.0;2.0;1.0;3.0;2.0;45.0;;5.0;;6.0;3.0;1.0;;1.0;191.0
Doniawerstal-G0067;30;27;706.0;375.0;472.0;618.0;174.0;40.0;69.0;8.0;204.0;7.0;3.0;1.0;43.0;;;14.0;;6.0;;;138.0
Doorn-G0315;33;42;65.0;456.0;733.0;518.0;126.0;120.0;287.0;9.0;7.0;140.0;3.0;3.0;5.0;;4.0;;;;9.0;;151.0
Doornspijk-G0223;52;61;6.0;195.0;764.0;354.0;37.0;19.0;19.0;10.0;128.0;391.0;3.0;;19.0;;110.0;;1.0;8.0;;;123.0
Dordrecht-G0505;439;899;2734.0;10056.0;7330.0;1969.0;1522.0;1026.0;2420.0;426.0;186.0;765.0;1056.0;207.0;47.0;;58.0;33.0;39.0;17.0;36.0;;2730.0
Dreischor-G1047;7;29;4.0;172.0;70.0;11.0;179.0;21.0;109.0;;;15.0;1.0;;1.0;;;;;7.0;;;40.0
Dreumel-G0224;4;9;756.0;31.0;8.0;19.0;6.0;37.0;6.0;1.0;;1.0;;;;321.0;;;;11.0;;;135.0
Driebergen-G1048;40;103;688.0;739.0;1401.0;709.0;217.0;213.0;273.0;11.0;26.0;284.0;4.0;5.0;46.0;;8.0;9.0;3.0;5.0;10.0;;312.0
Driel-G1248;25;21;1441.0;31.0;55.0;71.0;21.0;34.0;4.0;2.0;;56.0;;2.0;;116.0;1.0;5.0;;21.0;1.0;;88.0
Driewegen-G0661;5;2;34.0;38.0;84.0;100.0;41.0;1.0;18.0;;;14.0;;;;;;4.0;;;;;28.0
Drunen-G0767;9;16;1996.0;29.0;5.0;20.0;2.0;6.0;2.0;3.0;;1.0;;6.0;1.0;20.0;;2.0;6.0;;;;153.0
Druten-G0225;28;12;2126.0;19.0;12.0;55.0;1.0;10.0;;1.0;2.0;1.0;;1.0;;581.0;;;2.0;5.0;;;179.0
Dubbeldam-G0507;58;72;43.0;582.0;783.0;277.0;153.0;95.0;293.0;15.0;4.0;136.0;8.0;4.0;2.0;;5.0;11.0;2.0;14.0;1.0;;173.0
Duiven-G0226;9;16;1266.0;17.0;26.0;21.0;4.0;19.0;2.0;1.0;;;;1.0;1.0;391.0;1.0;;;6.0;2.0;;95.0
Duivendijke-G1050;8;1;;21.0;145.0;26.0;24.0;4.0;31.0;1.0;1.0;11.0;1.0;;;;;1.0;;;;;18.0
Dussen-G0769;21;21;1042.0;63.0;269.0;119.0;21.0;13.0;8.0;6.0;;69.0;3.0;;8.0;2.0;36.0;;;;;;142.0
Dwingeloo-G0112;12;14;13.0;295.0;275.0;63.0;408.0;153.0;235.0;1.0;19.0;2.0;;1.0;3.0;;;;;7.0;;;78.0
Echt-G0902;99;111;3570.0;27.0;30.0;3.0;12.0;355.0;3.0;13.0;1.0;;;12.0;;23.0;;;1.0;;;;162.0
Echteld-G0227;25;37;25.0;609.0;337.0;28.0;39.0;104.0;76.0;5.0;64.0;196.0;;1.0;4.0;7.0;1.0;;1.0;54.0;;;159.0
Edam-G1315;17;20;2379.0;459.0;266.0;129.0;374.0;137.0;55.0;18.0;65.0;5.0;5.0;40.0;2.0;;1.0;5.0;1.0;10.0;3.0;;215.0
Ede-G0228;200;326;705.0;1888.0;4755.0;2456.0;696.0;714.0;383.0;103.0;173.0;3069.0;43.0;11.0;108.0;20.0;177.0;27.0;6.0;28.0;33.0;4.0;783.0
Eede-G1052;12;12;327.0;1.0;14.0;2.0;22.0;4.0;5.0;5.0;1.0;1.0;;;1.0;;;;2.0;;;;12.0
Eelde-G0113;34;53;17.0;697.0;187.0;40.0;329.0;233.0;104.0;49.0;137.0;3.0;2.0;1.0;3.0;;2.0;24.0;;8.0;;1.0;132.0
Eemnes-G0317;0;15;444.0;44.0;111.0;30.0;20.0;15.0;9.0;26.0;8.0;31.0;4.0;8.0;;;140.0;;1.0;;1.0;;53.0
Eenrum-G0011;10;18;41.0;552.0;285.0;10.0;181.0;30.0;144.0;9.0;128.0;;1.0;;1.0;;;17.0;;;;;64.0
Eersel-G0770;4;1;1247.0;1.0;;15.0;;1.0;2.0;;;1.0;;1.0;;11.0;;;;;;;34.0
Eethen-G0771;19;14;58.0;50.0;605.0;166.0;80.0;25.0;9.0;5.0;1.0;101.0;;;;;;;;;;;133.0
Egmond aan Zee-G0386;35;40;196.0;570.0;308.0;36.0;109.0;40.0;32.0;13.0;7.0;2.0;27.0;5.0;53.0;;1.0;10.0;;2.0;;;160.0
Egmond-Binnen-G0387;9;6;947.0;38.0;25.0;6.0;80.0;10.0;17.0;6.0;;1.0;1.0;5.0;;;;6.0;;2.0;1.0;;33.0
Eibergen-G0229;46;26;1877.0;698.0;637.0;477.0;333.0;59.0;202.0;8.0;43.0;6.0;3.0;1.0;4.0;9.0;5.0;3.0;2.0;17.0;1.0;;247.0
Eijgelshoven-G0904;40;53;1018.0;119.0;21.0;7.0;5.0;167.0;2.0;22.0;;1.0;1.0;2.0;;;;;1.0;1.0;3.0;;34.0
Eijsden-G0905;23;63;1431.0;28.0;9.0;2.0;4.0;126.0;2.0;8.0;;1.0;;6.0;1.0;1.0;;3.0;;;;3.0;57.0
Eindhoven-G0772;433;890;29832.0;7192.0;2571.0;993.0;1132.0;1259.0;325.0;573.0;233.0;55.0;97.0;600.0;20.0;196.0;25.0;49.0;109.0;10.0;17.0;;1356.0
Elburg-G0230;20;24;8.0;69.0;453.0;532.0;51.0;11.0;12.0;2.0;45.0;31.0;1.0;;15.0;;13.0;;;4.0;1.0;;73.0
Elkerzee-G1053;1;13;1.0;38.0;96.0;50.0;45.0;5.0;40.0;1.0;;31.0;;1.0;1.0;;;1.0;;1.0;;;24.0
Ellemeet-G1054;0;12;;79.0;51.0;42.0;43.0;5.0;33.0;2.0;;12.0;;;;;;;1.0;1.0;;;26.0
Ellewoutsdijk-G0663;0;19;2.0;64.0;34.0;73.0;49.0;3.0;43.0;;2.0;19.0;;;1.0;;;8.0;;2.0;;;34.0
Elsloo-G0903;23;40;1019.0;7.0;7.0;3.0;1.0;35.0;1.0;1.0;;;;6.0;2.0;3.0;;;3.0;;;1.0;49.0
Elst-G0231;68;61;2340.0;515.0;546.0;201.0;119.0;244.0;144.0;2.0;15.0;53.0;4.0;7.0;14.0;81.0;3.0;;2.0;12.0;2.0;;175.0
Emmen-G0114;767;690;2289.0;4136.0;3069.0;1761.0;1110.0;1209.0;626.0;638.0;1198.0;22.0;272.0;254.0;128.0;23.0;10.0;45.0;;29.0;17.0;17.0;999.0
Empel en Meerwijk-G0773;1;4;287.0;3.0;6.0;4.0;1.0;;;1.0;;;;6.0;;12.0;;;1.0;;;;20.0
Engelen-G0774;1;6;259.0;9.0;2.0;27.0;;1.0;4.0;;;3.0;1.0;;2.0;21.0;;;;;1.0;;310.0
Enkhuizen-G0388;61;153;601.0;1372.0;1216.0;564.0;409.0;103.0;210.0;43.0;168.0;117.0;79.0;47.0;4.0;;6.0;8.0;;5.0;1.0;;319.0
Enschede-G0153;1034;1346;8254.0;12488.0;4896.0;2163.0;3205.0;2240.0;1681.0;2803.0;2922.0;100.0;1413.0;818.0;18.0;3.0;22.0;101.0;22.0;81.0;14.0;31.0;1732.0
Epe-G0232;101;111;790.0;1586.0;1546.0;625.0;1079.0;206.0;266.0;46.0;40.0;215.0;10.0;13.0;34.0;2.0;9.0;20.0;2.0;577.0;13.0;1.0;310.0
Ermelo-G0233;80;118;57.0;422.0;2364.0;2429.0;149.0;122.0;134.0;29.0;40.0;820.0;18.0;3.0;50.0;1.0;166.0;10.0;;2.0;2.0;1.0;421.0
Erp-G0775;2;6;1289.0;3.0;1.0;;;2.0;1.0;;;;;;;86.0;;;;1.0;;;27.0
Esch-G0776;0;3;333.0;1.0;1.0;2.0;;;;;;;;;;4.0;;;;;1.0;;16.0
Escharen-G1057;4;0;629.0;1.0;;;;4.0;;;;;;;;51.0;;;;;;;19.0
Est en Opijnen-G0234;22;26;3.0;112.0;111.0;56.0;18.0;7.0;59.0;1.0;2.0;80.0;;;1.0;;;;;18.0;;;65.0
Etten en Leur-G1251;57;117;3896.0;192.0;45.0;101.0;18.0;32.0;20.0;7.0;;;3.0;27.0;;3.0;;6.0;11.0;6.0;1.0;3.0;278.0
Everdingen-G0508;6;7;96.0;47.0;114.0;22.0;24.0;3.0;19.0;1.0;4.0;71.0;1.0;;30.0;;47.0;;;11.0;;;47.0
Ewijk-G0235;11;11;951.0;11.0;6.0;8.0;;8.0;;5.0;;2.0;;;;314.0;2.0;;1.0;39.0;;;69.0
Ezinge-G0012;6;10;2.0;190.0;359.0;22.0;164.0;23.0;91.0;7.0;42.0;;;;2.0;;;9.0;;1.0;1.0;;55.0
Ferwerderadeel-G0068;66;24;16.0;397.0;2202.0;629.0;326.0;48.0;208.0;14.0;327.0;6.0;9.0;;64.0;;31.0;4.0;;2.0;1.0;;188.0
Fijnaart en Heijningen-G0778;16;24;810.0;68.0;268.0;614.0;18.0;13.0;33.0;1.0;6.0;41.0;;4.0;208.0;1.0;4.0;6.0;1.0;4.0;1.0;1.0;105.0
Finsterwolde-G0013;50;111;12.0;257.0;115.0;36.0;182.0;50.0;93.0;628.0;54.0;6.0;;1.0;20.0;;1.0;11.0;;3.0;2.0;;127.0
Franeker-G0069;48;72;512.0;972.0;962.0;353.0;568.0;101.0;115.0;139.0;275.0;8.0;11.0;8.0;31.0;;;16.0;1.0;6.0;;;767.0
Franekeradeel-G0070;29;23;107.0;601.0;556.0;576.0;389.0;68.0;75.0;18.0;123.0;2.0;17.0;1.0;10.0;;;6.0;1.0;1.0;;;174.0
Gaasterland-G0071;23;21;586.0;105.0;640.0;1052.0;113.0;64.0;42.0;9.0;96.0;130.0;1.0;3.0;46.0;;5.0;36.0;;8.0;;;205.0
Gameren-G1058;23;36;8.0;165.0;304.0;7.0;20.0;13.0;6.0;9.0;2.0;187.0;1.0;2.0;2.0;3.0;132.0;1.0;;20.0;;;111.0
Gassel-G1059;0;0;288.0;1.0;1.0;;;;;;;;;;;16.0;;;;;;;5.0
Gasselte-G0115;17;41;11.0;582.0;247.0;174.0;174.0;129.0;82.0;52.0;169.0;4.0;9.0;5.0;2.0;;;7.0;;4.0;1.0;;102.0
Geertruidenberg-G0779;7;22;930.0;94.0;51.0;39.0;41.0;24.0;17.0;;1.0;4.0;;4.0;8.0;2.0;4.0;1.0;1.0;1.0;;;110.0
Geervliet-G0509;6;10;;160.0;114.0;70.0;34.0;48.0;55.0;11.0;1.0;39.0;1.0;;5.0;;4.0;;1.0;1.0;;;28.0
Geffen-G0780;1;4;630.0;8.0;3.0;2.0;3.0;7.0;;1.0;;;;6.0;;160.0;;;;;1.0;;28.0
Geldermalsen-G0236;56;59;16.0;720.0;273.0;317.0;120.0;57.0;136.0;22.0;90.0;269.0;4.0;2.0;1.0;2.0;1.0;7.0;3.0;43.0;3.0;;167.0
Geldrop-G0781;43;49;3327.0;283.0;104.0;43.0;25.0;107.0;;22.0;5.0;4.0;1.0;22.0;3.0;110.0;2.0;7.0;3.0;;3.0;;115.0
Geleen-G0906;98;124;4061.0;382.0;229.0;82.0;19.0;510.0;13.0;109.0;13.0;2.0;7.0;5.0;6.0;2.0;;3.0;31.0;2.0;7.0;5.0;162.0
Gemert-G0782;18;23;2884.0;21.0;18.0;11.0;5.0;8.0;;14.0;;3.0;;3.0;;158.0;2.0;2.0;;;1.0;;107.0
Gendringen-G0237;37;25;3372.0;127.0;293.0;304.0;91.0;251.0;24.0;5.0;21.0;10.0;91.0;3.0;6.0;142.0;1.0;;2.0;4.0;1.0;;167.0
Gendt-G0238;23;7;1378.0;14.0;28.0;29.0;7.0;6.0;2.0;;1.0;8.0;;;2.0;137.0;;2.0;;;1.0;;73.0
Genemuiden-G0154;11;33;4.0;179.0;393.0;101.0;43.0;39.0;8.0;11.0;52.0;299.0;2.0;;;2.0;329.0;5.0;;;;1.0;300.0
Gennep-G0907;28;30;1201.0;109.0;42.0;4.0;21.0;42.0;4.0;;1.0;1.0;;9.0;3.0;107.0;;;6.0;4.0;2.0;1.0;40.0
Geulle-G0908;24;27;597.0;16.0;4.0;;6.0;20.0;1.0;3.0;;;1.0;;1.0;1.0;;5.0;1.0;;4.0;;52.0
Giessen-G0783;0;5;;6.0;82.0;57.0;11.0;3.0;14.0;;;12.0;;;9.0;1.0;1.0;1.0;;;;;72.0
Giessendam-G1063;22;58;3.0;196.0;746.0;54.0;45.0;48.0;111.0;11.0;4.0;318.0;31.0;1.0;74.0;;108.0;12.0;;2.0;3.0;;335.0
Giessen-Nieuwkerk-G1062;7;14;3.0;42.0;277.0;33.0;10.0;8.0;43.0;4.0;;57.0;;;;;;;;;;;39.0
Gieten-G0116;24;49;19.0;534.0;160.0;183.0;334.0;217.0;101.0;26.0;98.0;3.0;3.0;;4.0;;5.0;5.0;;5.0;1.0;1.0;97.0
Giethoorn-G0155;13;26;6.0;468.0;165.0;92.0;134.0;58.0;33.0;95.0;127.0;;2.0;1.0;2.0;;1.0;7.0;;4.0;;;73.0
Gilze en Rijen-G0784;17;30;3601.0;51.0;14.0;9.0;7.0;26.0;2.0;4.0;;;;27.0;;6.0;;1.0;23.0;;;1.0;63.0
Ginneken en Bavel-G1064;79;147;4948.0;659.0;448.0;225.0;179.0;209.0;159.0;11.0;16.0;11.0;6.0;49.0;6.0;11.0;;9.0;41.0;2.0;42.0;3.0;245.0
Goedereede-G0511;14;32;;84.0;178.0;2.0;41.0;;62.0;3.0;1.0;67.0;;;12.0;;36.0;1.0;;1.0;;;119.0
Goes-G0664;66;82;775.0;840.0;964.0;1198.0;341.0;132.0;436.0;23.0;25.0;154.0;3.0;4.0;8.0;;3.0;93.0;2.0;6.0;9.0;;296.0
Goirle-G0785;25;50;2193.0;46.0;37.0;5.0;6.0;11.0;4.0;2.0;1.0;1.0;2.0;31.0;;5.0;;3.0;61.0;;;1.0;82.0
Goor-G0156;23;33;537.0;1096.0;183.0;98.0;230.0;94.0;52.0;23.0;39.0;4.0;38.0;;2.0;;3.0;3.0;1.0;;;;24.0
Gorinchem-G0512;77;163;868.0;2157.0;1826.0;313.0;385.0;210.0;867.0;191.0;16.0;129.0;12.0;9.0;15.0;;72.0;13.0;29.0;22.0;4.0;;504.0
Gorssel-G0239;66;69;251.0;1036.0;1144.0;789.0;572.0;155.0;450.0;24.0;47.0;2.0;6.0;1.0;6.0;;2.0;14.0;1.0;18.0;23.0;1.0;262.0
Gouda-G0513;282;352;3474.0;4967.0;2863.0;711.0;624.0;371.0;936.0;356.0;461.0;597.0;103.0;223.0;60.0;;106.0;27.0;9.0;6.0;7.0;;776.0
Gouderak-G0514;21;25;14.0;202.0;234.0;17.0;33.0;37.0;85.0;5.0;10.0;142.0;1.0;;;;27.0;3.0;;2.0;1.0;;108.0
Goudriaan-G0515;2;9;1.0;5.0;165.0;3.0;17.0;3.0;40.0;1.0;;45.0;;;;;;;;;;;34.0
Goudswaard-G0516;6;7;1.0;88.0;142.0;67.0;12.0;15.0;107.0;;;232.0;;;2.0;;;1.0;;9.0;;;83.0
Graauw en Langendam-G0665;18;53;693.0;61.0;19.0;4.0;7.0;21.0;2.0;4.0;;3.0;;;1.0;;2.0;;1.0;2.0;;;116.0
Graft-G0389;11;15;129.0;182.0;49.0;15.0;108.0;45.0;10.0;14.0;19.0;1.0;1.0;1.0;;;1.0;;1.0;3.0;;;39.0
Gramsbergen-G0157;23;32;45.0;198.0;656.0;657.0;99.0;140.0;70.0;1.0;93.0;4.0;;;4.0;;3.0;;;2.0;1.0;;112.0
Grathem-G0909;4;3;696.0;;4.0;;;4.0;;;;;;;;5.0;;;1.0;;;;20.0
Grave-G0786;14;8;765.0;21.0;16.0;8.0;6.0;7.0;7.0;;;1.0;;;;114.0;;22.0;2.0;;1.0;;243.0
Grevenbicht-G0910;21;23;539.0;12.0;24.0;26.0;3.0;155.0;;4.0;4.0;;1.0;4.0;2.0;2.0;;;;;;;33.0
Grijpskerk-G0016;10;9;5.0;154.0;1059.0;124.0;184.0;74.0;108.0;9.0;73.0;;2.0;;3.0;;;11.0;;2.0;;;97.0
Grijpskerke-G1067;2;0;1.0;4.0;298.0;81.0;4.0;1.0;3.0;;;54.0;;;2.0;;3.0;;;;;;34.0
Groede-G0667;36;27;154.0;247.0;242.0;75.0;216.0;20.0;197.0;5.0;4.0;9.0;1.0;1.0;1.0;;;1.0;;5.0;1.0;;117.0
Groenlo-G0240;16;9;1545.0;145.0;53.0;67.0;65.0;23.0;27.0;2.0;1.0;;1.0;2.0;;7.0;;3.0;1.0;;1.0;17.0;70.0
Groesbeek-G0241;81;118;2389.0;115.0;101.0;82.0;22.0;117.0;19.0;6.0;4.0;2.0;2.0;3.0;1.0;664.0;;2.0;13.0;;1.0;;164.0
Groningen-G0014;839;1337;5032.0;18632.0;10569.0;3849.0;7211.0;2761.0;1901.0;3693.0;2331.0;51.0;790.0;89.0;586.0;;42.0;1048.0;57.0;18.0;121.0;;4164.0
Gronsveld-G0911;11;55;696.0;4.0;1.0;1.0;4.0;39.0;1.0;;;;;2.0;;3.0;;;;;;;25.0
Groot-Ammers-G0520;7;5;5.0;39.0;361.0;9.0;71.0;20.0;58.0;2.0;;197.0;;;;;;;;;;;89.0
Grootebroek-G0391;3;7;1540.0;131.0;13.0;1.0;85.0;4.0;14.0;4.0;1.0;;;;;;;;;;;;76.0
Grootegast-G0015;41;50;14.0;294.0;2065.0;261.0;251.0;106.0;70.0;31.0;389.0;3.0;1.0;1.0;13.0;;1.0;9.0;2.0;4.0;;;223.0
Grubbenvorst-G0912;2;5;1100.0;16.0;1.0;1.0;1.0;6.0;;1.0;1.0;;;;;19.0;;;;;;;48.0
Gulpen-G0913;18;64;1134.0;19.0;12.0;5.0;7.0;151.0;3.0;1.0;;;1.0;1.0;;12.0;;3.0;1.0;;2.0;;91.0
Haaften-G0242;35;30;5.0;318.0;270.0;172.0;29.0;20.0;11.0;1.0;9.0;175.0;;;4.0;;5.0;23.0;;156.0;1.0;;155.0
Haaksbergen-G0158;39;26;2853.0;553.0;141.0;31.0;406.0;114.0;41.0;14.0;6.0;4.0;1.0;27.0;4.0;2.0;1.0;4.0;1.0;8.0;1.0;;141.0
Haamstede-G1068;19;18;8.0;89.0;220.0;134.0;77.0;15.0;149.0;1.0;1.0;63.0;2.0;1.0;2.0;;3.0;1.0;;4.0;;;54.0
Haaren-G0788;4;7;986.0;2.0;2.0;;;1.0;;2.0;;;;5.0;;8.0;;;33.0;;;1.0;42.0
Haarlem-G0392;1187;1485;17940.0;21633.0;9525.0;2736.0;5666.0;3644.0;2023.0;2987.0;1497.0;182.0;609.0;868.0;152.0;;53.0;65.0;38.0;28.0;82.0;29.0;3912.0
Haarlemmerliede en Spaarnwoude-G0393;30;15;808.0;208.0;176.0;74.0;65.0;42.0;82.0;35.0;21.0;16.0;;;;;;;;;;;72.0
Haarlemmermeer-G0394;252;196;3016.0;2464.0;3653.0;1811.0;443.0;725.0;297.0;515.0;566.0;274.0;61.0;27.0;59.0;;20.0;29.0;44.0;10.0;10.0;4.0;814.0
Haarzuilens-G1069;2;0;192.0;3.0;7.0;19.0;;2.0;;;;7.0;;;;;;;;;;;12.0
Haastrecht-G0521;9;7;383.0;167.0;195.0;38.0;69.0;73.0;92.0;4.0;5.0;31.0;;3.0;;;14.0;4.0;;1.0;;;32.0
Haelen-G0914;4;9;548.0;4.0;3.0;;5.0;8.0;;;;;1.0;;;;;;1.0;1.0;;;32.0
Hagestein-G0522;4;7;140.0;16.0;30.0;11.0;2.0;4.0;16.0;6.0;2.0;47.0;1.0;;14.0;;139.0;;;2.0;1.0;;28.0
Halsteren-G0789;62;64;2251.0;74.0;92.0;25.0;34.0;45.0;27.0;7.0;2.0;4.0;;21.0;1.0;3.0;7.0;5.0;200.0;7.0;1.0;;133.0
Haps-G0790;3;0;611.0;2.0;5.0;;;3.0;;;;1.0;;1.0;1.0;77.0;;2.0;1.0;;;;12.0
Harderwijk-G0243;75;43;173.0;315.0;1149.0;1619.0;122.0;104.0;123.0;28.0;12.0;352.0;5.0;2.0;7.0;1.0;380.0;9.0;2.0;2.0;2.0;;186.0
Hardinxveld-G1070;56;142;15.0;859.0;607.0;53.0;92.0;75.0;212.0;28.0;5.0;547.0;55.0;1.0;13.0;;254.0;14.0;5.0;3.0;2.0;;617.0
Haren-G0017;65;78;93.0;929.0;1229.0;573.0;773.0;286.0;390.0;80.0;327.0;2.0;2.0;3.0;13.0;;1.0;35.0;3.0;5.0;21.0;;339.0
Harenkarspel-G0395;8;11;890.0;171.0;92.0;4.0;229.0;20.0;6.0;29.0;19.0;2.0;16.0;10.0;1.0;;;1.0;;5.0;;;60.0
Harlingen-G0072;84;75;733.0;1695.0;957.0;915.0;487.0;109.0;131.0;59.0;170.0;5.0;103.0;7.0;16.0;;;5.0;1.0;5.0;3.0;;396.0
Harmelen-G0318;12;6;526.0;34.0;222.0;177.0;18.0;52.0;16.0;2.0;4.0;57.0;1.0;;10.0;;3.0;;;;1.0;;44.0
Haskerland-G0073;108;122;428.0;905.0;785.0;916.0;405.0;81.0;87.0;99.0;732.0;5.0;5.0;6.0;161.0;;7.0;28.0;;10.0;1.0;;419.0
Hasselt-G0161;10;18;50.0;96.0;502.0;161.0;56.0;20.0;28.0;6.0;37.0;29.0;;1.0;1.0;1.0;40.0;;;1.0;;;159.0
Hattem-G0244;14;64;31.0;819.0;579.0;443.0;82.0;25.0;111.0;23.0;59.0;13.0;2.0;1.0;60.0;;7.0;;4.0;4.0;8.0;;134.0
Havelte-G0117;19;50;25.0;441.0;194.0;87.0;346.0;189.0;450.0;9.0;49.0;;1.0;;1.0;2.0;3.0;2.0;;25.0;;2.0;115.0
Hazerswoude-G0524;22;17;801.0;66.0;620.0;442.0;13.0;47.0;15.0;1.0;4.0;99.0;;1.0;17.0;;23.0;7.0;2.0;3.0;;;127.0
Hedel-G0245;26;14;387.0;79.0;136.0;49.0;1.0;35.0;6.0;7.0;;152.0;2.0;2.0;4.0;2.0;36.0;1.0;;7.0;;;0.0
