RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;SGP;PSP/CPN/PPR;Politieke Partij Radikalen (PPR);RPF/GPV;Gereformeerd Politiek Verbond (GPV);Communistische Partij van Nederland;Groenen;Pacifistisch-Socialistische Partij (PSP);PSP/CPN;SP;SGP-GPV-RPF;NL;Centrumdemocraten;RPF/SGP;Reformatorische Politieke Federatie (RPF);FNP;Evangelische Volkspartij (EVP);SAP;FPGB;HP;Centrumpartij;@abs
Rossum-G0276;12;0;606;560;213;66;12.0;41.0;;7.0;;;17.0;;;2.0;;;;;;;;0.0;;;;614.0
Rotterdam-G0599;2296;0;45061;118702;30535;17342;4640.0;11783.0;;3611.0;;;1945.0;;;769.0;;;3827.0;;;;596.0;340.0;;272.0;;182767.0
Rozenburg-G0600;21;0;1634;2119;969;566;71.0;173.0;;185.0;;;30.0;;;12.0;;;34.0;;;;12.0;2.0;;;;4137.0
Rozendaal-G0277;1;0;251;119;322;134;4.0;29.0;;15.0;;;7.0;;;1.0;;;;;;;;0.0;;;;164.0
Rucphen-G0840;38;0;3865;3914;695;244;;82.0;;;;;;;;5.0;22.0;;;;;;;0.0;;;;7281.0
Ruinen-G0127;10;0;847;1499;1284;199;;;64.0;;27.0;;;30.0;;2.0;;;;;45.0;;;;;;;1100.0
Ruinerwold-G0128;3;0;577;628;673;125;;;37.0;;49.0;;;13.0;;0.0;;;;;16.0;;;;;;;498.0
Ruurlo-G0278;33;0;1353;1367;1183;159;12.0;55.0;;14.0;;;18.0;;;4.0;;;;;;;;0.0;;;;1455.0
Sas van Gent-G0704;27;0;1501;1296;549;166;34.0;;70.0;29.0;;;;;37.0;0.0;;;;;;;;;;;;2479.0
Sassenheim-G0604;27;0;3396;1279;1610;600;61.0;154.0;;62.0;;;44.0;;;17.0;;;27.0;;;;19.0;3.0;;;;2957.0
Schagen-G0441;24;0;1699;2599;1942;673;;;200.0;;;96.0;107.0;155.0;;5.0;58.0;;0.0;;;;;4.0;;;;4218.0
Schaijk-G0843;9;0;2017;807;357;157;;71.0;;;;;;;;115.0;5.0;;;;;;;0.0;;;;1901.0
Scheemda-G0039;42;0;966;2423;473;179;;;77.0;;53.0;223.0;;37.0;;7.0;;;;95.0;;;;;34.0;;;1197.0
Schermer-G0458;9;0;806;644;488;136;;;30.0;;;29.0;33.0;35.0;;0.0;17.0;;0.0;;;;;4.0;;;;774.0
Scherpenzeel-G0279;14;0;1752;895;815;185;629.0;50.0;;260.0;;;17.0;;;2.0;;;;;;;;0.0;;;;1119.0
Schiedam-G0606;116;0;7647;15253;3625;2221;354.0;1604.0;;487.0;;;227.0;;;129.0;;;300.0;;;;42.0;21.0;;;;20705.0
Schiermonnikoog-G0088;3;0;155;182;121;54;;21.0;;;12.0;;;;;;;;;3.0;;7.0;;;;;;
Schijndel-G0844;37;0;3910;2796;873;362;;194.0;;;;;;;;850.0;11.0;;;;;;;26.0;;;;6320.0
Schinnen-G0962;37;0;3413;2066;645;322;;;162.0;;;;;;105.0;9.0;23.0;736.0;;;;;;;;;;2433.0
Schipluiden-G0607;13;0;2817;443;677;245;58.0;94.0;;39.0;;;47.0;;;1.0;;;7.0;;;;11.0;2.0;;;;1388.0
Schoonebeek-G0129;23;0;2008;1524;294;126;;;41.0;;20.0;;;30.0;;3.0;;;;;21.0;;;;;;;1513.0
Schoonhoven-G0608;27;0;1859;1548;914;347;372.0;219.0;;101.0;;;39.0;;;2.0;;;17.0;;;;8.0;3.0;;;;2219.0
Schoorl-G0444;14;0;1001;1068;938;319;;;85.0;;;40.0;125.0;54.0;;3.0;20.0;;0.0;;;;;4.0;;;;1375.0
Sevenum-G0964;13;0;2511;500;264;147;;;51.0;;;;;;40.0;12.0;13.0;20.0;;;;;;;;;;1403.0
's-Graveland-G0390;15;0;1765;1174;1038;380;;;99.0;;;37.0;77.0;59.0;;9.0;151.0;;7.0;;;;;0.0;;;;2135.0
's-Gravendeel-G0517;19;0;1365;1699;620;178;339.0;75.0;;91.0;;;11.0;;;0.0;;;5.0;;;;14.0;0.0;;;;1569.0
's-Gravenhage-G0518;735;0;44309;70090;38574;16358;2786.0;10152.0;;2372.0;;;1531.0;;;482.0;;;2560.0;;;;333.0;319.0;;;;143139.0
's-Gravenmoer-G0787;2;0;578;203;135;45;;32.0;;;;;;;;2.0;88.0;;;;;;;0.0;;;;420.0
's-Gravenzande-G0519;19;0;4152;1518;1670;421;466.0;114.0;;186.0;;;17.0;;;5.0;;;19.0;;;;31.0;3.0;;;;4252.0
's-Hertogenbosch-G0796;152;0;11835;14395;4330;2643;;2564.0;;;;;;;;514.0;283.0;;;;;;;84.0;;;;30337.0
Simpelveld-G0965;46;0;2786;2093;327;189;;;80.0;;;;;;40.0;26.0;7.0;1228.0;;;;;;;;;;1955.0
Sint Maarten-G0445;8;0;344;317;239;76;;;43.0;;;9.0;36.0;25.0;;0.0;9.0;;0.0;;;;;1.0;;;;352.0
Sint Odiliënberg-G0967;17;0;789;486;244;74;;;36.0;;;;;;27.0;0.0;5.0;54.0;;;;;;;;;;900.0
Sint Pancras-G0446;3;0;958;636;493;183;;;73.0;;;42.0;53.0;24.0;;0.0;72.0;;0.0;;;;;2.0;;;;1198.0
Sint Philipsland-G0712;5;0;270;251;104;48;633.0;;6.0;39.0;;;;;3.0;0.0;;;;;;;;;;;;301.0
Sint-Michielsgestel-G0845;26;0;2508;1833;721;374;;130.0;;;;;;;;61.0;36.0;;;;;;;9.0;;;;3034.0
Sint-Oedenrode-G0846;40;0;4520;2014;787;493;;220.0;;;;;;;;51.0;17.0;;;;;;;9.0;;;;3733.0
Sittard-G0968;123;0;8639;6224;1669;814;;;796.0;;;;;;393.0;61.0;73.0;2644.0;;;;;;;;;;12172.0
Skarsterlân-G0051;35;0;5025;4415;1376;484;;348.0;;;84.0;;;;;;;;;175.0;;927.0;;;;;;3782.0
Sleen-G0130;18;0;1002;2961;1054;180;;;84.0;;19.0;;;44.0;;11.0;;;;;99.0;;;;;;;1058.0
Sliedrecht-G0610;15;0;2527;4102;1172;488;2233.0;238.0;;511.0;;;45.0;;;14.0;;;44.0;;;;33.0;3.0;;;;5304.0
Slochteren-G0040;29;0;1391;3159;1346;431;;;122.0;;840.0;75.0;;125.0;;9.0;;;;133.0;;;;;31.0;;;2720.0
Sluis-G0713;1;0;472;479;439;86;16.0;;22.0;11.0;;;;;2.0;0.0;;;;;;;;;;;;592.0
Smallingerland-G0090;98;0;8785;11773;2587;1431;;1322.0;;;1145.0;;;;;;;;;921.0;;1067.0;;;;;;7784.0
Smilde-G0131;16;0;1986;1892;620;214;;;110.0;;142.0;;;48.0;;7.0;;;;;61.0;;;;;;;1388.0
Sneek-G0091;57;0;5229;6203;1839;848;;582.0;;;110.0;;;;;;;;;263.0;;723.0;;;;;;6104.0
Snelrewaard-G0341;0;0;274;22;59;21;45.0;;3.0;15.0;;;;;5.0;0.0;;;0.0;;;;;;;0.0;;167.0
Soest-G0342;82;0;7204;4169;5527;1874;259.0;;569.0;621.0;;;;;290.0;20.0;;;49.0;;;;;;;24.0;;9633.0
Someren-G0847;39;0;4960;1456;768;312;;170.0;;;;;;;;30.0;32.0;;;;;;;8.0;;;;4645.0
Son en Breugel-G0848;23;0;3225;1312;1873;570;;169.0;;;;;;;;22.0;54.0;;;;;;;3.0;;;;3400.0
Spijkenisse-G0612;91;0;4616;10676;3669;2532;317.0;813.0;;430.0;;;210.0;;;387.0;;;169.0;;;;38.0;35.0;;;;19894.0
Sprang-Capelle-G0849;22;0;1756;886;558;168;;96.0;;;;;;;;4.0;837.0;;;;;;;0.0;;;;2207.0
Stad Delden-G0179;11;0;2230;922;891;298;5.0;;81.0;;23.0;;;;53.0;;;;;;13.0;;;0.0;;;;1054.0
Stadskanaal-G0037;79;0;5999;8189;1386;665;;;237.0;;689.0;239.0;;137.0;;39.0;;;;942.0;;;;;49.0;;;6657.0
Standdaarbuiten-G0850;4;0;704;420;167;65;;28.0;;;;;;;;1.0;11.0;;;;;;;0.0;;;;616.0
Staphorst-G0180;39;0;1621;744;702;144;2711.0;;34.0;;690.0;;;;21.0;;;;;;704.0;;;0.0;;;;1284.0
Stede Broec-G0532;30;0;3151;2353;1186;626;;;212.0;;;165.0;84.0;123.0;;6.0;81.0;;0.0;;;;;2.0;;;;4693.0
Stedum-G0041;2;0;474;394;89;39;;;32.0;;79.0;22.0;;22.0;;3.0;;;;20.0;;;;;4.0;;;218.0
Steenbergen-G0851;31;0;2184;2342;1060;255;;99.0;;;;;;;;19.0;23.0;;;;;;;0.0;;;;4414.0
Steenderen-G0280;12;0;1572;621;360;102;12.0;57.0;;21.0;;;36.0;;;1.0;;;;;;;;0.0;;;;672.0
Steenwijk-G0181;45;0;3730;4545;1536;736;61.0;;362.0;;199.0;;;;155.0;;;;;;261.0;;;0.0;;;;3970.0
Stein-G0971;130;0;5472;4792;973;1014;;;310.0;;;;;;190.0;37.0;31.0;228.0;;;;;;;;;;6737.0
Stevensweert-G0972;8;0;380;201;74;31;;;13.0;;;;;;3.0;2.0;0.0;178.0;;;;;;;;;;345.0
