RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;SGP;PSP/CPN/PPR;Politieke Partij Radikalen (PPR);RPF/GPV;Gereformeerd Politiek Verbond (GPV);Communistische Partij van Nederland;Groenen;Pacifistisch-Socialistische Partij (PSP);PSP/CPN;SP;SGP-GPV-RPF;NL;Centrumdemocraten;RPF/SGP;Reformatorische Politieke Federatie (RPF);FNP;Evangelische Volkspartij (EVP);SAP;FPGB;HP;Centrumpartij;@abs
Gieten-G0116;10;0;416;1737;936;218;;;52.0;;11.0;;;38.0;;3.0;;;;;19.0;;;;;;;905.0
Gilze en Rijen-G0784;31;0;4878;3247;1191;692;;257.0;;;;;;;;48.0;46.0;;;;;;;0.0;;;;5288.0
Goedereede-G0511;28;0;1376;1126;663;147;2042.0;57.0;;309.0;;;27.0;;;4.0;;;8.0;;;;14.0;3.0;;;;1836.0
Goes-G0664;67;0;5010;4849;2376;951;1463.0;;653.0;498.0;;;;;191.0;0.0;;;;;;;;;;;;7718.0
Goirle-G0785;32;0;3316;2581;1012;552;;379.0;;;;;;;;19.0;39.0;;;;;;;0.0;;;;4957.0
Goor-G0156;30;0;2175;2847;1004;483;13.0;;78.0;;43.0;;;;73.0;;;;;;47.0;;;0.0;;;;1997.0
Gorinchem-G0512;77;0;3098;6088;1879;905;418.0;394.0;;347.0;;;121.0;;;12.0;;;57.0;;;;44.0;10.0;;;;6718.0
Gorssel-G0239;40;0;2995;2173;2328;668;23.0;189.0;;73.0;;;93.0;;;4.0;;;;;;;;0.0;;;;2303.0
Gouda-G0513;104;0;7297;10687;4519;2471;1396.0;1287.0;;710.0;;;254.0;;;24.0;;;188.0;;;;80.0;11.0;;;;14764.0
Graafstroom-G0693;28;0;2023;735;567;172;1161.0;66.0;;303.0;;;24.0;;;4.0;;;10.0;;;;15.0;0.0;;;;1164.0
Graft-De Rijp-G0365;6;0;915;845;725;251;;;43.0;;;55.0;39.0;97.0;;0.0;11.0;;0.0;;;;;0.0;;;;954.0
Gramsbergen-G0157;27;0;1794;1173;282;103;6.0;;40.0;;140.0;;;;11.0;;;;;;37.0;;;0.0;;;;717.0
Grathem-G0909;17;0;860;246;125;46;;;15.0;;;;;;16.0;0.0;2.0;86.0;;;;;;;;;;697.0
Grave-G0786;17;0;2064;1298;686;385;;220.0;;;;;;;;86.0;22.0;;;;;;;0.0;;;;2715.0
Grijpskerk-G0016;9;0;1295;480;273;103;;;82.0;;204.0;11.0;;11.0;;0.0;;;;40.0;;;;;7.0;;;493.0
Groenlo-G0240;7;0;2543;1208;419;207;2.0;91.0;;10.0;;;30.0;;;15.0;;;;;;;;0.0;;;;1915.0
Groesbeek-G0241;74;0;3345;3750;968;427;30.0;397.0;;32.0;;;82.0;;;31.0;;;;;;;;0.0;;;;4746.0
Groningen-G0014;303;0;13859;38694;12375;7924;;;5265.0;;4545.0;3476.0;;4032.0;;1486.0;;;;745.0;;;;;372.0;;;43473.0
Grootegast-G0015;11;0;2595;1147;379;137;;;64.0;;350.0;19.0;;37.0;;3.0;;;;180.0;;;;;4.0;;;1403.0
Grubbenvorst-G0912;10;0;1884;747;590;137;;;37.0;;;;;;28.0;2.0;6.0;13.0;;;;;;;;;;1396.0
Gulpen-G0913;26;0;1610;1142;387;86;;;49.0;;;;;;38.0;9.0;6.0;705.0;;;;;;;;;;1343.0
Haaksbergen-G0158;43;0;6634;3019;1452;679;12.0;;188.0;;28.0;;;;122.0;;;;;;20.0;;;0.0;;;;4032.0
Haaren-G0788;13;0;1626;433;302;105;;90.0;;;;;;;;7.0;11.0;;;;;;;0.0;;;;1106.0
Haarlem-G0392;315;0;18714;27371;12883;6220;;;2301.0;;;1575.0;1347.0;1809.0;;97.0;1171.0;;376.0;;;;;51.0;;;;42336.0
Haarlemmerliede en Spaarnwoude-G0393;12;0;1039;614;500;173;;;60.0;;;34.0;50.0;34.0;;0.0;37.0;;4.0;;;;;0.0;;;;1120.0
Haarlemmermeer-G0394;202;0;13953;9659;9993;3554;;;982.0;;;519.0;498.0;383.0;;20.0;1425.0;;140.0;;;;;22.0;;;;23654.0
Haelen-G0914;28;0;1741;665;270;147;;;70.0;;;;;;34.0;2.0;12.0;83.0;;;;;;;;;;1372.0
Halsteren-G0789;29;0;1994;1942;850;334;;136.0;;;;;;;;12.0;39.0;;;;;;;0.0;;;;4233.0
Haps-G0790;4;0;1030;347;111;66;;25.0;;;;;;;;5.0;0.0;;;;;;;0.0;;;;
Hardenberg-G0160;80;0;8574;4268;1256;544;47.0;;269.0;;2856.0;;;;65.0;;;;;;218.0;;;0.0;;;;4004.0
Harderwijk-G0243;66;0;6742;2681;2771;1020;1087.0;530.0;;1445.0;;;128.0;;;38.0;;;;;;;;0.0;;;;7386.0
Hardinxveld-Giessendam-G0523;31;0;2008;2258;890;305;2110.0;92.0;;986.0;;;34.0;;;10.0;;;11.0;;;;22.0;0.0;;;;2913.0
Haren-G0017;38;0;2942;3051;3318;1168;;;299.0;;495.0;70.0;;124.0;;8.0;;;;114.0;;;;;34.0;;;2767.0
Harenkarspel-G0395;14;0;1543;627;475;171;;;37.0;;;14.0;38.0;32.0;;3.0;22.0;;0.0;;;;;3.0;;;;1301.0
Harlingen-G0072;26;0;2093;4002;1100;465;;249.0;;;262.0;;;;;;;;;122.0;;138.0;;;;;;3283.0
Harmelen-G0318;15;0;1714;542;951;221;110.0;;95.0;62.0;;;;;38.0;3.0;;;5.0;;;;;;;2.0;;1610.0
Hasselt-G0161;7;0;1282;901;285;132;225.0;;31.0;;440.0;;;;38.0;;;;;;336.0;;;0.0;;;;814.0
Hattem-G0244;31;0;2449;2110;745;360;82.0;109.0;;1067.0;;;33.0;;;9.0;;;;;;;;0.0;;;;1509.0
Havelte-G0117;17;0;411;1694;1072;195;;;40.0;;13.0;;;46.0;;7.0;;;;;21.0;;;;;;;871.0
Hazerswoude-G0524;20;0;2702;1006;1025;427;218.0;181.0;;205.0;;;30.0;;;5.0;;;10.0;;;;11.0;1.0;;;;2187.0
Hedel-G0245;3;0;741;498;234;94;230.0;27.0;;34.0;;;11.0;;;0.0;;;;;;;;0.0;;;;849.0
Heel en Panheel-G0915;14;0;924;431;172;71;;;49.0;;;;;;18.0;0.0;0.0;47.0;;;;;;;;;;1492.0
Heemskerk-G0396;54;0;5507;5062;2098;1159;;;449.0;;;284.0;266.0;334.0;;11.0;192.0;;0.0;;;;;13.0;;;;8437.0
Heemstede-G0397;56;0;4774;2613;5454;1054;;;426.0;;;80.0;165.0;178.0;;9.0;207.0;;41.0;;;;;6.0;;;;5499.0
Heerde-G0246;25;0;3717;3264;1230;487;424.0;137.0;;1164.0;;;49.0;;;11.0;;;;;;;;0.0;;;;2817.0
Heerenveen-G0074;78;0;4521;10467;2912;1161;;924.0;;;265.0;;;;;;;;;288.0;;765.0;;;;;;6644.0
Heerewaarden-G0247;4;0;89;360;153;21;6.0;11.0;;2.0;;;4.0;;;2.0;;;;;;;;0.0;;;;208.0
Heerhugowaard-G0398;47;0;5195;4005;2551;1323;;;360.0;;;228.0;296.0;221.0;;8.0;184.0;;0.0;;;;;10.0;;;;8888.0
Heerjansdam-G0526;7;0;613;580;302;111;78.0;43.0;;44.0;;;15.0;;;4.0;;;8.0;;;;4.0;0.0;;;;748.0
Heerlen-G0917;189;0;14906;16856;3484;1811;;;960.0;;;;;;1192.0;1072.0;237.0;1136.0;;;;;;;;;;30128.0
Heesch-G0791;25;0;2410;1314;469;264;;60.0;;;;;;;;428.0;9.0;;;;;;;16.0;;;;2657.0
Heeswijk-Dinther-G0792;17;0;2722;847;327;183;;126.0;;;;;;;;24.0;11.0;;;;;;;9.0;;;;1531.0
Heeze-G0793;15;0;2237;966;776;299;;108.0;;;;;;;;8.0;13.0;;;;;;;5.0;;;;2164.0
Hefshuizen-G0019;24;0;2285;2244;635;142;;;101.0;;751.0;58.0;;30.0;;4.0;;;;59.0;;;;;52.0;;;1516.0
Heiloo-G0399;49;0;3818;2508;3508;1061;;;275.0;;;86.0;179.0;178.0;;7.0;111.0;;0.0;;;;;1.0;;;;3920.0
Heino-G0162;13;0;2276;844;453;188;16.0;;65.0;;111.0;;;;26.0;;;;;;68.0;;;0.0;;;;956.0
Helden-G0918;37;0;4948;1481;569;240;;;97.0;;;;;;74.0;15.0;17.0;388.0;;;;;;;;;;4604.0
Hellendoorn-G0163;56;0;11748;3980;1362;633;148.0;;503.0;;356.0;;;;57.0;;;;;;526.0;;;0.0;;;;5110.0
Hellevoetsluis-G0530;44;0;2140;5732;2556;1251;133.0;636.0;;144.0;;;115.0;;;15.0;;;61.0;;;;22.0;5.0;;;;9142.0
Helmond-G0794;66;0;9042;9534;2722;1312;;784.0;;;;;;;;370.0;94.0;;;;;;;17.0;;;;22247.0
Helvoirt-G0795;13;0;1272;475;419;134;;54.0;;;;;;;;16.0;11.0;;;;;;;0.0;;;;983.0
Hendrik-Ido-Ambacht-G0531;2;0;2711;2368;1649;641;1311.0;168.0;;285.0;;;44.0;;;2.0;;;32.0;;;;24.0;1.0;;;;4231.0
Hengelo-G0248;11;0;2481;1232;652;161;33.0;46.0;;26.0;;;26.0;;;3.0;;;;;;;;0.0;;;;1524.0
Hengelo-G0164;147;0;14272;14725;5051;3245;78.0;;972.0;;490.0;;;;1287.0;;;;;;411.0;;;0.0;;;;15724.0
Herten-G0919;14;0;838;393;247;75;;;64.0;;;;;;21.0;1.0;4.0;125.0;;;;;;;;;;894.0
Het Bildt-G0063;31;0;2277;2112;653;165;;214.0;;;44.0;;;;;;;;;64.0;;220.0;;;;;;1628.0
Heteren-G0251;19;0;1748;1051;490;235;185.0;85.0;;65.0;;;24.0;;;0.0;;;;;;;;0.0;;;;2126.0
Heumen-G0252;2;0;2982;1422;930;518;1.0;330.0;;11.0;;;40.0;;;36.0;;;;;;;;0.0;;;;3144.0
Heusden-G0797;3;0;1075;715;299;157;;72.0;;;;;;;;10.0;80.0;;;;;;;0.0;;;;1516.0
Heythuysen-G0920;13;0;1739;533;281;134;;;52.0;;;;;;34.0;0.0;4.0;46.0;;;;;;;;;;1459.0
Hillegom-G0534;27;0;4212;2194;1956;739;74.0;406.0;;78.0;;;76.0;;;8.0;;;16.0;;;;13.0;5.0;;;;4997.0
Hilvarenbeek-G0798;31;0;2456;1270;687;287;;169.0;;;;;;;;18.0;10.0;;;;;;;0.0;;;;2071.0
Hilversum-G0402;167;0;11766;14241;9867;3447;;;970.0;;;561.0;568.0;809.0;;351.0;1420.0;;164.0;;;;;33.0;;;;22561.0
Hoevelaken-G0253;11;0;1503;839;963;347;362.0;120.0;;206.0;;;24.0;;;2.0;;;;;;;;0.0;;;;1516.0
Hoeven-G0799;25;0;1636;1044;598;211;;40.0;;;;;;;;6.0;32.0;;;;;;;0.0;;;;2334.0
Holten-G0165;15;0;2212;1521;1258;297;14.0;;62.0;;21.0;;;;21.0;;;;;;47.0;;;7.0;;;;1115.0
Hontenisse-G0675;16;0;2393;963;504;146;17.0;;73.0;11.0;;;;;36.0;0.0;;;;;;;;;;;;1541.0
Hooge en Lage Mierde-G0801;2;0;1336;272;163;56;;36.0;;;;;;;;5.0;4.0;;;;;;;2.0;;;;830.0
Hooge en Lage Zwaluwe-G0802;15;0;1267;956;434;166;;58.0;;;;;;;;3.0;64.0;;;;;;;0.0;;;;1484.0
Hoogeloon, Hapert en Casteren-G0800;17;0;2405;772;408;184;;86.0;;;;;;;;3.0;9.0;;;;;;;8.0;;;;1882.0
Hoogeveen-G0118;111;0;9337;8361;2130;1303;;;404.0;;854.0;;;229.0;;32.0;;;;;1136.0;;;;;;;8506.0
Hoogezand-Sappemeer-G0018;77;0;2487;9678;2294;931;;;391.0;;479.0;463.0;;196.0;;163.0;;;;126.0;;;;;135.0;;;7716.0
Hoorn-G0405;76;0;5934;8910;3991;2147;;;617.0;;;584.0;395.0;578.0;;35.0;227.0;;0.0;;;;;18.0;;;;14195.0
Horn-G0922;21;0;867;413;268;86;;;46.0;;;;;;27.0;0.0;4.0;39.0;;;;;;;;;;1056.0
Horst-G0923;42;0;5380;1640;816;234;;;83.0;;;;;;71.0;44.0;27.0;31.0;;;;;;;;;;4646.0
Houten-G0321;19;0;4023;2127;1540;797;396.0;;385.0;340.0;;;;;152.0;43.0;;;28.0;;;;;;;10.0;;4245.0
Huijbergen-G0803;2;0;563;195;156;55;;15.0;;;;;;;;1.0;5.0;;;;;;;0.0;;;;512.0
Huissen-G0255;22;0;3119;2204;1045;514;12.0;211.0;;25.0;;;63.0;;;8.0;;;;;;;;0.0;;;;3876.0
Huizen-G0406;30;0;5810;3852;4137;1593;;;328.0;;;148.0;262.0;334.0;;17.0;1812.0;;60.0;;;;;1.0;;;;10122.0
Hulst-G0677;47;0;3262;2463;1061;367;21.0;;133.0;23.0;;;;;80.0;0.0;;;;;;;;;;;;5528.0
Hummelo en Keppel-G0256;12;0;897;787;662;212;15.0;37.0;;7.0;;;21.0;;;1.0;;;;;;;;0.0;;;;709.0
Hunsel-G0925;16;0;1639;531;225;92;;;44.0;;;;;;32.0;5.0;0.0;87.0;;;;;;;;;;1296.0
IJsselham-G0195;2;0;1256;979;463;131;9.0;;40.0;;62.0;;;;39.0;;;;;;60.0;;;0.0;;;;797.0
IJsselmuiden-G0191;26;0;2922;912;420;115;1611.0;;78.0;;161.0;;;;29.0;;;;;;897.0;;;0.0;;;;1407.0
IJsselstein-G0353;36;0;3127;2254;1346;797;368.0;;174.0;106.0;;;;;152.0;13.0;;;22.0;;;;;;;11.0;;4485.0
Ilpendam-G0407;5;0;565;477;426;93;;;32.0;;;88.0;31.0;19.0;;0.0;37.0;;0.0;;;;;1.0;;;;594.0
Jisp-G0408;4;0;22;64;43;12;;;14.0;;;11.0;1.0;3.0;;0.0;1.0;;0.0;;;;;0.0;;;;566.0
Kamerik-G0323;13;0;1114;215;191;86;253.0;;54.0;75.0;;;;;13.0;2.0;;;4.0;;;;;;;2.0;;518.0
Kampen-G0166;58;0;5455;4916;1651;832;1172.0;;650.0;;844.0;;;;371.0;;;;;;1863.0;;;0.0;;;;5432.0
Kantens-G0020;4;0;212;464;158;38;;;22.0;;136.0;12.0;;24.0;;7.0;;;;14.0;;;;;5.0;;;208.0
Kapelle-G0678;15;0;2078;1229;855;346;524.0;;129.0;175.0;;;;;31.0;0.0;;;;;;;;;;;;1948.0
Katwijk-G0537;29;0;7354;2731;1562;744;2961.0;287.0;;1265.0;;;76.0;;;17.0;;;33.0;;;;44.0;6.0;;;;10709.0
Katwoude-G0409;0;0;68;24;37;7;;;2.0;;;0.0;3.0;2.0;;0.0;8.0;;0.0;;;;;0.0;;;;27.0
Kerkrade-G0928;157;0;7647;10547;1163;433;;;483.0;;;;;;251.0;179.0;63.0;1351.0;;;;;;;;;;17144.0
Kerkwijk-G0257;10;0;1050;527;333;85;946.0;49.0;;97.0;;;7.0;;;8.0;;;;;;;;0.0;;;;1098.0
Kessel-G0929;10;0;1196;444;185;68;;;24.0;;;;;;10.0;1.0;3.0;42.0;;;;;;;;;;824.0
Kesteren-G0258;17;0;1034;1194;373;162;1547.0;48.0;;109.0;;;26.0;;;2.0;;;;;;;;0.0;;;;1631.0
Kloosterburen-G0021;8;0;443;347;115;27;;;24.0;;16.0;13.0;;7.0;;3.0;;;;8.0;;;;;5.0;;;292.0
Klundert-G0804;17;0;1560;831;383;142;;44.0;;;;;;;;6.0;355.0;;;;;;;0.0;;;;1450.0
Kockengen-G0324;2;0;900;185;196;80;175.0;;25.0;105.0;;;;;27.0;2.0;;;0.0;;;;;;;1.0;;498.0
Kollumerland en Nieuwkruisland-G0079;13;0;3575;1783;532;185;;136.0;;;131.0;;;;;;;;;377.0;;357.0;;;;;;1741.0
Korendijk-G0588;16;0;1231;1417;936;240;1006.0;106.0;;83.0;;;28.0;;;3.0;;;22.0;;;;6.0;2.0;;;;1952.0
Kortgene-G0682;7;0;606;744;435;103;131.0;;41.0;28.0;;;;;18.0;0.0;;;;;;;;;;;;672.0
Koudekerk aan den Rijn-G0540;4;0;957;538;459;147;41.0;57.0;;32.0;;;17.0;;;3.0;;;5.0;;;;16.0;1.0;;;;849.0
Krimpen aan den IJssel-G0542;51;0;2903;4603;2638;996;2045.0;312.0;;416.0;;;85.0;;;12.0;;;77.0;;;;9.0;2.0;;;;5874.0
Landgraaf-G0882;159;0;5448;6931;1180;584;;;328.0;;;;;;260.0;260.0;50.0;3721.0;;;;;;;;;;11183.0
Landsmeer-G0415;18;0;733;1934;1083;475;;;164.0;;;200.0;74.0;114.0;;6.0;52.0;;0.0;;;;;1.0;;;;1887.0
Langbroek-G0325;5;0;435;208;145;29;232.0;;18.0;51.0;;;;;9.0;0.0;;;4.0;;;;;;;1.0;;319.0
Langedijk-G0416;27;0;2687;1634;1341;481;;;128.0;;;180.0;148.0;85.0;;2.0;215.0;;0.0;;;;;13.0;;;;3406.0
Laren-G0417;4;0;2106;1260;2348;511;;;147.0;;;58.0;86.0;82.0;;8.0;64.0;;14.0;;;;;3.0;;;;3095.0
Leek-G0022;43;0;2640;3523;1438;665;;;298.0;;717.0;49.0;;95.0;;8.0;;;;118.0;;;;;18.0;;;2935.0
Leende-G0805;16;0;1483;264;339;124;;38.0;;;;;;;;4.0;15.0;;;;;;;2.0;;;;751.0
Leens-G0023;13;0;637;725;235;47;;;51.0;;295.0;23.0;;55.0;;5.0;;;;23.0;;;;;9.0;;;503.0
Leerdam-G0545;46;0;2492;2929;1289;421;892.0;121.0;;621.0;;;36.0;;;5.0;;;45.0;;;;14.0;3.0;;;;3666.0
Leersum-G0326;14;0;1164;750;978;294;296.0;;131.0;87.0;;;;;26.0;0.0;;;6.0;;;;;;;5.0;;1125.0
Leeuwarden-G0080;214;0;10772;23188;5577;2983;;2755.0;;;766.0;;;;;;;;;648.0;;1191.0;;;;;;17697.0
Leeuwarderadeel-G0081;12;0;1561;2098;637;271;;148.0;;;59.0;;;;;;;;;76.0;;394.0;;;;;;1209.0
Leiden-G0546;244;0;10344;20395;9007;4989;419.0;4347.0;;533.0;;;582.0;;;391.0;;;215.0;;;;147.0;43.0;;;;31186.0
Leiderdorp-G0547;49;0;3311;2602;2721;1384;170.0;509.0;;122.0;;;109.0;;;21.0;;;44.0;;;;31.0;5.0;;;;4670.0
Leidschendam-G0548;69;0;6327;3904;3462;1646;77.0;544.0;;187.0;;;150.0;;;48.0;;;82.0;;;;25.0;12.0;;;;7685.0
Leimuiden-G0549;7;0;1172;306;546;149;19.0;43.0;;21.0;;;17.0;;;1.0;;;3.0;;;;21.0;1.0;;;;1073.0
Lelystad-G0995;93;0;4500;11041;3565;2788;;;874.0;;296.0;;;;997.0;0.0;;;;371.0;;;;;;;423.0;13550.0
Lemsterland-G0082;12;0;2076;2382;604;303;;194.0;;;30.0;;;;;;;;;243.0;;139.0;;;;;;2062.0
Leusden-G0327;38;0;4987;2576;3080;1348;291.0;;425.0;728.0;;;;;196.0;5.0;;;35.0;;;;;;;13.0;;4830.0
Lichtenvoorde-G0260;36;0;5753;1765;976;378;4.0;239.0;;18.0;;;115.0;;;5.0;;;;;;;;0.0;;;;3435.0
Liempde-G0806;9;0;1431;532;160;78;;30.0;;;;;;;;18.0;5.0;;;;;;;0.0;;;;736.0
Lienden-G0261;12;0;841;1363;525;111;420.0;46.0;;53.0;;;16.0;;;2.0;;;;;;;;0.0;;;;1395.0
Lieshout-G0807;16;0;1506;755;308;152;;96.0;;;;;;;;31.0;5.0;;;;;;;3.0;;;;1324.0
Liesveld-G0694;24;0;1536;1014;838;180;842.0;64.0;;380.0;;;9.0;;;0.0;;;9.0;;;;17.0;1.0;;;;1262.0
Limmen-G0418;15;0;1346;548;511;150;;;66.0;;;52.0;25.0;37.0;;1.0;8.0;;0.0;;;;;0.0;;;;1109.0
Linne-G0932;12;0;864;563;411;64;;;35.0;;;;;;16.0;1.0;5.0;62.0;;;;;;;;;;916.0
Linschoten-G0328;8;0;1001;293;367;167;252.0;;63.0;65.0;;;;;21.0;0.0;;;4.0;;;;;;;2.0;;785.0
Lisse-G0553;20;0;4535;1790;1944;682;653.0;349.0;;216.0;;;89.0;;;6.0;;;34.0;;;;11.0;6.0;;;;4340.0
Lith-G0808;7;0;1512;667;223;132;;32.0;;;;;;;;119.0;5.0;;;;;;;0.0;;;;1598.0
Littenseradiel-G0140;17;0;2204;1707;908;209;;179.0;;;29.0;;;;;;;;;62.0;;588.0;;;;;;1246.0
Lochem-G0262;59;0;2758;3808;2563;689;15.0;324.0;;75.0;;;96.0;;;33.0;;;;;;;;0.0;;;;3287.0
Loenen-G0329;9;0;1296;840;991;292;119.0;;112.0;97.0;;;;;51.0;4.0;;;11.0;;;;;;;2.0;;1326.0
Loon op Zand-G0809;32;0;4498;2788;1381;551;;247.0;;;;;;;;69.0;129.0;;;;;;;0.0;;;;5413.0
Loosdrecht-G0330;24;0;1489;780;1624;371;112.0;;62.0;80.0;;;;;51.0;2.0;;;11.0;;;;;;;8.0;;1781.0
Lopik-G0331;16;0;1900;810;403;169;416.0;;37.0;163.0;;;;;29.0;4.0;;;10.0;;;;;;;2.0;;1507.0
Loppersum-G0024;7;0;783;810;282;89;;;59.0;;158.0;18.0;;34.0;;6.0;;;;51.0;;;;;14.0;;;507.0
Losser-G0168;46;0;6427;3436;958;419;16.0;;417.0;;13.0;;;;123.0;;;;;;27.0;;;0.0;;;;4487.0
Luyksgestel-G0810;3;0;958;244;104;51;;23.0;;;;;;;;4.0;3.0;;;;;;;0.0;;;;542.0
Maarheeze-G0811;11;0;2352;800;775;186;;72.0;;;;;;;;2.0;11.0;;;;;;;6.0;;;;2053.0
Maarn-G0332;12;0;1051;592;1094;362;167.0;;95.0;49.0;;;;;40.0;2.0;;;16.0;;;;;;;1.0;;847.0
Maarssen-G0333;82;0;4885;4835;4044;1645;178.0;;314.0;364.0;;;;;451.0;46.0;;;36.0;;;;;;;9.0;;8397.0
Maartensdijk-G0334;8;0;1628;961;1092;441;609.0;;117.0;199.0;;;;;64.0;0.0;;;11.0;;;;;;;4.0;;1665.0
Maasbracht-G0933;36;0;1945;1027;413;151;;;63.0;;;;;;39.0;1.0;42.0;121.0;;;;;;;;;;2312.0
Maasbree-G0934;19;0;3293;786;507;178;;;90.0;;;;;;33.0;4.0;14.0;689.0;;;;;;;;;;2583.0
Maasdriel-G0263;19;0;2064;949;510;140;21.0;42.0;;24.0;;;20.0;;;19.0;;;;;;;;0.0;;;;2358.0
Maasland-G0555;3;0;1975;334;585;213;43.0;51.0;;93.0;;;30.0;;;5.0;;;14.0;;;;6.0;0.0;;;;1037.0
Maassluis-G0556;44;0;4398;4396;2446;1269;227.0;443.0;;413.0;;;131.0;;;81.0;;;81.0;;;;53.0;13.0;;;;9016.0
Maastricht-G0935;279;0;15677;24227;5490;2899;;;1272.0;;;;;;1669.0;189.0;167.0;315.0;;;;;;;;;;37957.0
Made en Drimmelen-G0812;23;0;2620;2139;642;385;;109.0;;;;;;;;15.0;15.0;;;;;;;0.0;;;;2267.0
Margraten-G0936;29;0;3740;1726;833;249;;;117.0;;;;;;178.0;15.0;24.0;546.0;;;;;;;;;;2324.0
Mariekerke-G0686;4;0;705;139;179;68;800.0;;21.0;91.0;;;;;7.0;2.0;;;;;;;;;;;;330.0
Markelo-G0169;19;0;1245;1400;1245;247;28.0;;32.0;;5.0;;;;28.0;;;;;;23.0;;;0.0;;;;1078.0
Marken-G0419;3;0;707;299;101;32;;;19.0;;;9.0;20.0;7.0;;0.0;21.0;;0.0;;;;;0.0;;;;370.0
Marum-G0025;26;0;1434;1927;770;177;;;81.0;;134.0;42.0;;35.0;;2.0;;;;110.0;;;;;4.0;;;1529.0
Maurik-G0264;7;0;823;1368;531;96;54.0;51.0;;30.0;;;24.0;;;9.0;;;;;;;;0.0;;;;1284.0
Medemblik-G0420;13;0;1097;1014;450;185;;;47.0;;;82.0;23.0;37.0;;2.0;62.0;;0.0;;;;;0.0;;;;1792.0
Meeden-G0026;10;0;202;651;121;28;;;25.0;;20.0;13.0;;13.0;;4.0;;;;14.0;;;;;21.0;;;223.0
Meerlo-Wanssum-G0993;13;0;2193;662;317;125;;;127.0;;;;;;29.0;3.0;4.0;13.0;;;;;;;;;;1536.0
Meerssen-G0938;77;0;4204;3131;1659;665;;;299.0;;;;;;139.0;13.0;22.0;150.0;;;;;;;;;;5253.0
Megen, Haren en Macharen-G0813;9;0;893;302;100;67;;15.0;;;;;;;;103.0;4.0;;;;;;;0.0;;;;646.0
Meijel-G0941;13;0;1403;486;180;72;;;38.0;;;;;;21.0;0.0;7.0;92.0;;;;;;;;;;1609.0
Melick en Herkenbosch-G0939;15;0;1371;1160;889;160;;;82.0;;;;;;27.0;2.0;5.0;147.0;;;;;;;;;;1670.0
Menaldumadeel-G0083;26;0;2465;2924;1028;355;;190.0;;;78.0;;;;;;;;;75.0;;461.0;;;;;;1889.0
Meppel-G0119;48;0;3017;5542;2001;763;;;276.0;;419.0;;;180.0;;21.0;;;;;246.0;;;;;;;4628.0
Middelburg-G0687;70;0;5022;5712;2733;1705;1700.0;;875.0;859.0;;;;;451.0;59.0;;;;;;;;;;;;9298.0
Middelharnis-G0559;35;0;1781;2238;926;310;1895.0;148.0;;361.0;;;37.0;;;8.0;;;16.0;;;;11.0;1.0;;;;3701.0
Middelstum-G0027;9;0;717;509;127;63;;;36.0;;128.0;13.0;;17.0;;0.0;;;;68.0;;;;;5.0;;;347.0
Middenschouwen-G0688;7;0;469;339;281;51;162.0;;14.0;79.0;;;;;1.0;0.0;;;;;;;;;;;;461.0
Midwolda-G0028;12;0;804;1119;136;63;;;43.0;;10.0;89.0;;27.0;;3.0;;;;169.0;;;;;9.0;;;511.0
Mierlo-G0814;15;0;2139;1062;891;452;;190.0;;;;;;;;38.0;12.0;;;;;;;10.0;;;;2162.0
Mijdrecht-G0336;25;0;3361;1158;1908;524;132.0;;302.0;207.0;;;;;68.0;2.0;;;14.0;;;;;;;3.0;;3445.0
Mill en Sint Hubert-G0815;25;0;3213;1510;398;139;;109.0;;;;;;;;34.0;7.0;;;;;;;0.0;;;;2172.0
Millingen aan de Rijn-G0265;8;0;908;1245;157;124;1.0;47.0;;4.0;;;12.0;;;10.0;;;;;;;;0.0;;;;1361.0
Moergestel-G0816;6;0;1722;638;475;119;;56.0;;;;;;;;15.0;4.0;;;;;;;0.0;;;;1211.0
Moerkapelle-G0560;6;0;417;299;247;91;505.0;14.0;;127.0;;;8.0;;;2.0;;;3.0;;;;3.0;0.0;;;;429.0
Monnickendam-G0423;17;0;1382;1691;938;524;;;111.0;;;74.0;90.0;66.0;;4.0;53.0;;0.0;;;;;2.0;;;;2281.0
Monster-G0562;26;0;4936;1681;1532;462;537.0;148.0;;262.0;;;52.0;;;6.0;;;49.0;;;;18.0;4.0;;;;4504.0
Montfoort-G0335;11;0;1525;580;585;224;177.0;;137.0;41.0;;;;;34.0;4.0;;;7.0;;;;;;;2.0;;1497.0
Montfort-G0943;30;0;662;536;154;34;;;16.0;;;;;;10.0;2.0;1.0;69.0;;;;;;;;;;751.0
Mook en Middelaar-G0944;19;0;1281;911;710;289;;;75.0;;;;;;87.0;14.0;6.0;13.0;;;;;;;;;;1573.0
Moordrecht-G0563;18;0;853;1009;601;280;235.0;89.0;;81.0;;;33.0;;;0.0;;;13.0;;;;12.0;4.0;;;;1564.0
Muiden-G0424;13;0;927;1051;1105;525;;;73.0;;;31.0;51.0;61.0;;0.0;65.0;;13.0;;;;;0.0;;;;1130.0
Muntendam-G0029;18;0;238;1869;212;114;;;32.0;;15.0;181.0;;24.0;;19.0;;;;43.0;;;;;13.0;;;876.0
Naaldwijk-G0565;41;0;7747;1924;2428;559;179.0;186.0;;197.0;;;74.0;;;7.0;;;44.0;;;;32.0;3.0;;;;5882.0
