RegioNaam;@invalid;@blank;RKSP;SDAP;ARP;CHU;Vrijzinnig-Democratische Bond;Liberale Staatspartij;Nationaal-Socialistische Beweging;Communistische Partij van Nederland;Staatkundig Gereformeerde Partij;Christelijk-Democratische Unie;Revolutionair Socialistische Arbeiderspartij;Overige partij(en) met zetel(s);Overige partij(en) zonder zetel(s);@abs
Numansdorp-G0578;37;33;16.0;418.0;536.0;358.0;121.0;269.0;48.0;13.0;210.0;7.0;;96.0;;235.0
Nunhem-G1130;3;0;158.0;;;;;;;;;;;;;10.0
Nuth-G0951;32;53;1369.0;57.0;4.0;38.0;;1.0;89.0;;;;;6.0;;87.0
Obbicht en Papenhoven-G0952;9;33;461.0;11.0;2.0;10.0;;1.0;49.0;;;;;31.0;;54.0
Obdam-G0429;1;2;675.0;23.0;;2.0;68.0;27.0;5.0;4.0;;1.0;3.0;;;37.0
Odijk-G1131;2;2;129.0;11.0;7.0;46.0;;4.0;2.0;;16.0;3.0;;;;12.0
Odoorn-G0122;100;271;323.0;1122.0;548.0;537.0;81.0;1560.0;477.0;17.0;;378.0;163.0;;;406.0
Oeffelt-G0822;8;7;591.0;12.0;;2.0;;;1.0;;;;;16.0;;61.0
Oegstgeest-G0579;18;71;901.0;313.0;782.0;890.0;382.0;433.0;186.0;22.0;71.0;47.0;1.0;48.0;;312.0
Ohé en Laak-G0953;2;0;281.0;1.0;;;;;3.0;;;;;;;24.0
Oirsbeek-G0954;10;16;859.0;3.0;2.0;2.0;;4.0;36.0;;;;;6.0;;65.0
Oirschot-G0823;9;15;2356.0;34.0;5.0;13.0;;1.0;7.0;;1.0;;;;;171.0
Oisterwijk-G0824;132;212;2559.0;305.0;41.0;27.0;;59.0;52.0;;3.0;;;21.0;;89.0
Oldebroek-G0269;53;175;149.0;413.0;1835.0;1262.0;23.0;104.0;79.0;12.0;196.0;38.0;;;;
Oldehove-G0035;9;4;;192.0;571.0;60.0;99.0;106.0;36.0;2.0;;102.0;;;2.0;89.0
