RegioNaam;@invalid;@blank;RKSP;SDAP;ARP;CHU;Vrijzinnig-Democratische Bond;Liberale Staatspartij;Nationaal-Socialistische Beweging;Communistische Partij van Nederland;Staatkundig Gereformeerde Partij;Christelijk-Democratische Unie;Revolutionair Socialistische Arbeiderspartij;Overige partij(en) met zetel(s);Overige partij(en) zonder zetel(s);@abs
Hoogblokland-G0535;2;13;3.0;66.0;141.0;7.0;1.0;128.0;1.0;2.0;30.0;;2.0;25.0;;31.0
Hooge en Lage Mierde-G0801;7;0;838.0;15.0;;8.0;;1.0;2.0;;;;;;;60.0
Hooge en Lage Zwaluwe-G0802;19;13;1175.0;42.0;118.0;577.0;;308.0;10.0;;16.0;;;;;228.0
Hoogeloon, Hapert en Casteren-G0800;4;1;1090.0;3.0;2.0;31.0;;;2.0;;;;;;;59.0
Hoogeveen-G0118;266;285;34.0;1413.0;3382.0;1215.0;302.0;137.0;146.0;91.0;;;7.0;;;824.0
Hoogezand-G1083;84;248;377.0;2788.0;374.0;160.0;624.0;290.0;304.0;162.0;;315.0;;;42.0;770.0
Hoogkarspel-G0403;8;9;637.0;105.0;6.0;3.0;98.0;167.0;9.0;1.0;;3.0;6.0;6.0;;52.0
Hoogkerk-G1084;17;46;41.0;631.0;596.0;138.0;119.0;78.0;47.0;62.0;;264.0;;;12.0;178.0
Hoogland-G0320;19;33;1259.0;80.0;111.0;176.0;19.0;35.0;22.0;1.0;63.0;11.0;2.0;;;115.0
Hoogwoud-G0404;11;19;490.0;152.0;12.0;;211.0;91.0;36.0;14.0;;1.0;27.0;2.0;;64.0
Hoorn-G0405;98;211;2038.0;1808.0;327.0;22.0;798.0;621.0;242.0;95.0;7.0;103.0;110.0;53.0;;492.0
Hoornaar-G0536;5;5;2.0;48.0;182.0;4.0;8.0;61.0;4.0;1.0;16.0;;2.0;6.0;;37.0
Horn-G0922;8;9;822.0;5.0;3.0;;;3.0;12.0;;;;;1.0;;29.0
Horssen-G0254;0;5;423.0;1.0;2.0;49.0;;3.0;2.0;;;4.0;31.0;;;23.0
Horst-G0923;24;19;3350.0;10.0;4.0;1.0;;1.0;65.0;;;;;3.0;;153.0
Houten-G0321;20;15;777.0;36.0;124.0;51.0;18.0;27.0;6.0;1.0;110.0;;;;;64.0
Houthem-G1086;28;28;882.0;6.0;4.0;34.0;;;42.0;;;;;;;85.0
Huijbergen-G0803;3;1;353.0;8.0;;4.0;;;10.0;;;;;;;13.0
Huissen-G0255;46;39;1597.0;84.0;3.0;82.0;7.0;18.0;17.0;;4.0;;;;682.0;205.0
Huizen-G0406;42;92;89.0;565.0;2275.0;833.0;229.0;172.0;198.0;37.0;321.0;66.0;17.0;4.0;;439.0
Hulsberg-G0924;25;22;936.0;25.0;4.0;8.0;;7.0;82.0;;;;;1.0;;64.0
Hulst-G0677;501;758;1294.0;80.0;24.0;29.0;36.0;25.0;45.0;;3.0;;;199.0;;
Hummelo en Keppel-G0256;31;39;247.0;255.0;224.0;191.0;271.0;284.0;89.0;4.0;38.0;6.0;;;;151.0
Hunsel-G0925;8;2;681.0;;1.0;;;;1.0;;;;;;;39.0
Hurwenen-G1089;8;8;90.0;43.0;31.0;64.0;5.0;8.0;2.0;;5.0;;;;18.0;20.0
Idaarderadeel-G0078;28;68;173.0;1209.0;177.0;103.0;894.0;122.0;28.0;102.0;1.0;142.0;13.0;;253.0;206.0
IJlst-G0102;5;5;9.0;65.0;214.0;320.0;42.0;14.0;5.0;6.0;;42.0;;;8.0;32.0
IJsselmonde-G1230;99;118;138.0;815.0;1045.0;950.0;205.0;209.0;98.0;100.0;215.0;21.0;15.0;37.0;;275.0
IJsselmuiden-G0191;103;21;345.0;176.0;732.0;457.0;54.0;166.0;60.0;5.0;767.0;70.0;13.0;;;261.0
IJsselstein-G0353;13;34;1180.0;160.0;141.0;451.0;18.0;14.0;47.0;3.0;177.0;6.0;;;;107.0
IJzendijke-G0730;47;23;698.0;134.0;67.0;48.0;58.0;163.0;22.0;;10.0;;;36.0;;115.0
Ilpendam-G0407;17;12;226.0;293.0;76.0;142.0;227.0;30.0;36.0;152.0;4.0;9.0;11.0;;;77.0
Itteren-G0926;2;5;240.0;3.0;;;;2.0;10.0;;;;;1.0;;10.0
Ittervoort-G1090;0;2;144.0;;;;;;;;;;;1.0;;6.0
Jaarsveld-G1091;10;8;48.0;141.0;167.0;85.0;10.0;28.0;14.0;1.0;106.0;;2.0;;;84.0
Jabeek-G0927;6;16;224.0;1.0;;;;;7.0;;;;;5.0;;11.0
Jisp-G0408;7;11;20.0;95.0;10.0;3.0;146.0;40.0;9.0;12.0;;2.0;7.0;;;31.0
Jutphaas-G0322;53;90;1415.0;1073.0;604.0;403.0;122.0;56.0;81.0;44.0;87.0;67.0;5.0;;;219.0
Kamerik-G0323;7;8;301.0;4.0;176.0;279.0;3.0;8.0;22.0;;104.0;;;;;74.0
Kampen-G0166;115;205;963.0;1552.0;2863.0;1587.0;339.0;448.0;252.0;18.0;1060.0;626.0;24.0;;;998.0
Kantens-G0020;11;8;12.0;280.0;301.0;100.0;49.0;140.0;24.0;4.0;;215.0;;;5.0;105.0
Kapelle-G0678;22;19;21.0;181.0;369.0;510.0;109.0;160.0;7.0;;100.0;;;2.0;;117.0
Kats-G1094;3;5;1.0;72.0;35.0;89.0;12.0;74.0;;;10.0;;;;;43.0
Kattendijke-G0679;11;7;3.0;70.0;52.0;334.0;16.0;86.0;25.0;;24.0;;;2.0;;60.0
Katwijk-G0537;65;74;426.0;508.0;1087.0;3974.0;118.0;68.0;291.0;12.0;443.0;551.0;4.0;281.0;;796.0
Katwoude-G0409;2;0;8.0;3.0;15.0;39.0;25.0;7.0;5.0;;;8.0;;;;18.0
Kedichem-G0538;14;17;6.0;131.0;93.0;16.0;42.0;171.0;7.0;9.0;26.0;;1.0;6.0;;56.0
Kerkrade-G0928;574;555;10145.0;1241.0;54.0;236.0;;61.0;1374.0;;;;;72.0;;715.0
Kerkwerve-G1095;2;5;6.0;23.0;150.0;84.0;30.0;56.0;8.0;;38.0;;;1.0;;41.0
Kerkwijk-G0257;7;13;6.0;78.0;313.0;117.0;13.0;7.0;6.0;;37.0;15.0;;;1.0;71.0
Kessel-G0929;4;10;745.0;1.0;;;;;16.0;;;;;;;38.0
Kesteren-G0258;25;71;21.0;384.0;494.0;142.0;58.0;95.0;62.0;17.0;604.0;7.0;2.0;;;245.0
Kethel en Spaland-G1096;9;25;423.0;100.0;60.0;342.0;15.0;48.0;9.0;16.0;17.0;4.0;;1.0;;30.0
Klaaswaal-G0539;7;23;1.0;207.0;187.0;214.0;74.0;141.0;21.0;9.0;116.0;5.0;6.0;5.0;;127.0
Klimmen-G0930;24;15;780.0;5.0;2.0;;;;41.0;;;;;4.0;;81.0
Kloetinge-G0680;18;28;52.0;58.0;166.0;568.0;57.0;149.0;35.0;;67.0;;;1.0;;113.0
Kloosterburen-G0021;6;8;441.0;228.0;224.0;2.0;27.0;95.0;9.0;;;72.0;;;;71.0
Klundert-G0804;17;17;755.0;82.0;688.0;486.0;;40.0;18.0;;73.0;;;;;217.0
Kockengen-G0324;7;0;121.0;6.0;128.0;68.0;10.0;;7.0;;48.0;;;;;22.0
Koedijk-G0410;11;53;245.0;291.0;33.0;36.0;193.0;36.0;88.0;23.0;1.0;1.0;18.0;9.0;;63.0
Koewacht-G0681;53;28;770.0;45.0;25.0;16.0;28.0;10.0;9.0;;4.0;;;91.0;;115.0
Kollumerland en Nieuwkruisland-G0079;81;17;8.0;215.0;2011.0;1272.0;196.0;189.0;28.0;24.0;39.0;409.0;15.0;;33.0;297.0
Koog aan de Zaan-G0411;77;101;302.0;1229.0;299.0;74.0;615.0;264.0;56.0;307.0;28.0;99.0;99.0;15.0;;208.0
Kortenhoef-G1097;12;16;204.0;205.0;98.0;216.0;33.0;20.0;33.0;15.0;79.0;26.0;2.0;;;67.0
Kortgene-G0682;20;27;1.0;57.0;108.0;199.0;72.0;139.0;5.0;;69.0;;;2.0;;130.0
Koudekerk aan den Rijn-G0540;6;23;84.0;33.0;278.0;268.0;6.0;27.0;38.0;2.0;27.0;2.0;;4.0;;51.0
Koudekerke-G1098;30;47;45.0;236.0;714.0;672.0;188.0;137.0;38.0;;203.0;;;25.0;;216.0
Krabbendijke-G0684;31;16;5.0;91.0;174.0;310.0;66.0;28.0;37.0;;383.0;;;1.0;;220.0
Krimpen aan de Lek-G0541;34;50;5.0;554.0;354.0;70.0;187.0;73.0;30.0;14.0;214.0;8.0;5.0;13.0;;128.0
Krimpen aan den IJssel-G0542;46;81;21.0;929.0;183.0;230.0;82.0;151.0;51.0;49.0;375.0;14.0;5.0;368.0;;247.0
Krommenie-G0413;42;70;694.0;708.0;231.0;50.0;416.0;98.0;35.0;766.0;5.0;60.0;22.0;10.0;;142.0
Kruiningen-G0685;43;14;266.0;384.0;230.0;455.0;233.0;100.0;68.0;;173.0;;;4.0;;398.0
Kuinre-G0167;6;14;28.0;49.0;7.0;76.0;19.0;34.0;6.0;2.0;1.0;91.0;4.0;;;35.0
Kwadijk-G0414;0;4;9.0;92.0;7.0;3.0;77.0;15.0;13.0;1.0;;1.0;4.0;;;23.0
Laag-Nieuwkoop-G1100;3;2;88.0;3.0;44.0;45.0;1.0;;7.0;;23.0;;;;;5.0
Landsmeer-G0415;36;53;89.0;536.0;413.0;217.0;320.0;26.0;70.0;190.0;25.0;35.0;22.0;1.0;;115.0
Langbroek-G0325;9;11;120.0;11.0;209.0;135.0;11.0;2.0;8.0;1.0;110.0;5.0;;;;75.0
Lange Ruige Weide-G1101;2;3;11.0;3.0;144.0;59.0;6.0;17.0;12.0;;73.0;3.0;;15.0;;30.0
Langerak-G0543;3;8;2.0;32.0;183.0;20.0;41.0;30.0;12.0;;77.0;;;14.0;;52.0
Laren-G0417;50;122;1980.0;379.0;250.0;270.0;473.0;351.0;230.0;130.0;15.0;75.0;44.0;3.0;;319.0
Laren (Gld.)-G0259;25;105;51.0;178.0;322.0;567.0;1079.0;525.0;146.0;18.0;;19.0;3.0;;;333.0
Leek-G0022;65;73;6.0;666.0;1157.0;217.0;628.0;239.0;247.0;21.0;;483.0;;;14.0;309.0
Leende-G0805;8;3;829.0;21.0;5.0;5.0;;2.0;3.0;;;;;9.0;;73.0
Leens-G0023;23;32;174.0;345.0;744.0;29.0;162.0;251.0;86.0;18.0;;163.0;;;16.0;201.0
Leerbroek-G0544;1;10;;17.0;184.0;28.0;1.0;20.0;2.0;1.0;103.0;1.0;;3.0;;104.0
Leerdam-G0545;85;67;189.0;988.0;1150.0;616.0;153.0;356.0;74.0;78.0;390.0;3.0;3.0;253.0;;345.0
Leersum-G0326;11;44;21.0;313.0;295.0;143.0;59.0;145.0;73.0;9.0;167.0;;;;;142.0
Leeuwarden-G0080;431;745;2683.0;8470.0;3959.0;2317.0;3426.0;1947.0;733.0;865.0;77.0;1860.0;264.0;;570.0;2544.0
Leeuwarderadeel-G0081;112;211;593.0;3138.0;1920.0;874.0;1514.0;599.0;166.0;125.0;12.0;914.0;40.0;;421.0;801.0
Leiden-G0546;484;843;8184.0;11985.0;4923.0;5450.0;3033.0;1274.0;1148.0;1122.0;525.0;482.0;88.0;611.0;;2222.0
Leiderdorp-G0547;20;30;186.0;155.0;596.0;371.0;59.0;;50.0;4.0;28.0;13.0;2.0;27.0;;76.0
Leidschendam-G0548;35;84;2467.0;322.0;259.0;394.0;177.0;82.0;141.0;24.0;20.0;19.0;7.0;33.0;;253.0
Leimuiden-G0549;6;8;475.0;10.0;217.0;89.0;61.0;16.0;20.0;5.0;8.0;1.0;;77.0;;63.0
Lekkerkerk-G0550;40;44;8.0;617.0;246.0;21.0;216.0;677.0;163.0;21.0;274.0;4.0;;4.0;;185.0
Lemsterland-G0082;39;59;243.0;605.0;687.0;864.0;319.0;24.0;36.0;264.0;60.0;320.0;66.0;;40.0;362.0
Leusden-G0327;25;19;392.0;70.0;177.0;163.0;34.0;163.0;27.0;3.0;106.0;18.0;1.0;;;105.0
Lexmond-G0551;6;18;;161.0;205.0;275.0;30.0;47.0;12.0;1.0;99.0;4.0;1.0;4.0;;112.0
Lichtenvoorde-G0260;17;25;2876.0;54.0;76.0;274.0;52.0;7.0;24.0;1.0;;31.0;;;;191.0
Liempde-G0806;2;4;871.0;4.0;;;;;25.0;;;;;;;52.0
Lienden-G0261;51;33;13.0;565.0;60.0;157.0;99.0;876.0;58.0;10.0;245.0;50.0;3.0;;;218.0
Lieshout-G0807;5;9;1001.0;9.0;1.0;2.0;;5.0;1.0;;;;;2.0;;64.0
Limbricht-G0931;9;16;944.0;8.0;;;;;15.0;;;;;11.0;;69.0
Limmen-G0418;16;13;942.0;44.0;7.0;3.0;44.0;55.0;12.0;50.0;1.0;1.0;6.0;5.0;;44.0
Linden-G1103;0;0;240.0;;;;;;2.0;;;;;6.0;;12.0
Linne-G0932;10;22;738.0;5.0;3.0;;;;19.0;;;;;6.0;;64.0
Linschoten-G0328;7;5;232.0;20.0;272.0;124.0;11.0;25.0;39.0;1.0;91.0;1.0;;;;82.0
Lisse-G0553;23;16;2263.0;229.0;472.0;610.0;90.0;67.0;96.0;18.0;308.0;17.0;;14.0;;280.0
Lith-G0808;8;17;1009.0;45.0;3.0;22.0;;23.0;5.0;;;;;100.0;;256.0
Lochem-G0262;39;114;131.0;950.0;157.0;244.0;867.0;240.0;253.0;142.0;;26.0;8.0;;;224.0
Loenen-G0329;1;18;115.0;58.0;139.0;166.0;14.0;86.0;34.0;5.0;62.0;;1.0;;;66.0
Loenersloot-G1105;4;0;81.0;18.0;75.0;41.0;5.0;12.0;11.0;;21.0;;1.0;;;16.0
Loon op Zand-G0809;77;45;4314.0;113.0;45.0;154.0;;7.0;35.0;;74.0;;;19.0;;279.0
Loosdrecht-G0330;27;51;105.0;274.0;428.0;476.0;24.0;148.0;46.0;17.0;124.0;12.0;2.0;;;191.0
Lopik-G0331;11;9;262.0;51.0;182.0;80.0;6.0;20.0;45.0;1.0;110.0;;;;;75.0
Loppersum-G0024;19;16;;309.0;785.0;116.0;156.0;204.0;64.0;13.0;;194.0;;1.0;20.0;154.0
Losser-G0168;104;117;4943.0;780.0;49.0;514.0;84.0;67.0;303.0;125.0;4.0;96.0;9.0;;;384.0
Luyksgestel-G0810;3;4;480.0;;4.0;1.0;;3.0;2.0;;;;;2.0;;30.0
Maarheeze-G0811;8;9;1155.0;6.0;2.0;8.0;;3.0;;;;;;85.0;;102.0
Maarn-G0332;10;11;62.0;154.0;124.0;253.0;40.0;128.0;45.0;2.0;62.0;4.0;1.0;;;66.0
Maarssen-G0333;18;33;545.0;389.0;373.0;330.0;54.0;110.0;47.0;10.0;76.0;10.0;;;;138.0
Maarsseveen-G1108;16;18;200.0;148.0;187.0;305.0;18.0;37.0;44.0;1.0;32.0;6.0;3.0;;;53.0
Maartensdijk-G0334;66;111;889.0;796.0;973.0;628.0;563.0;432.0;271.0;52.0;276.0;113.0;2.0;;;465.0
Maasbracht-G0933;4;22;818.0;4.0;2.0;;;1.0;19.0;;;;;2.0;;74.0
Maasbree-G0934;67;120;5972.0;316.0;52.0;61.0;;13.0;170.0;;;;;;;456.0
Maasdam-G0554;16;19;4.0;163.0;142.0;192.0;52.0;125.0;11.0;4.0;73.0;;;9.0;;70.0
Maashees en Overloon-G1109;13;10;987.0;5.0;4.0;1.0;;4.0;2.0;;;;;4.0;;60.0
Maasland-G0555;13;8;223.0;77.0;636.0;622.0;40.0;19.0;23.0;3.0;27.0;7.0;;15.0;;91.0
Maasniel-G1110;0;0;1690.0;39.0;22.0;;;17.0;70.0;;;;;5.0;;
Maassluis-G0556;59;64;281.0;860.0;1659.0;1029.0;215.0;120.0;59.0;29.0;86.0;92.0;1.0;4.0;;420.0
Maastricht-G0935;796;1390;20900.0;6356.0;222.0;196.0;;501.0;1465.0;;;;;75.0;;2423.0
Made en Drimmelen-G0812;8;18;1914.0;66.0;57.0;83.0;;113.0;14.0;;6.0;;;;;345.0
Margraten-G0936;15;0;566.0;3.0;;5.0;;;17.0;;;;;;;48.0
Markelo-G0169;30;61;152.0;697.0;321.0;314.0;276.0;678.0;112.0;24.0;22.0;21.0;5.0;;;334.0
Marken-G0419;0;3;4.0;24.0;238.0;449.0;14.0;1.0;1.0;;;;;;;62.0
Marum-G0025;26;54;;547.0;907.0;47.0;599.0;241.0;134.0;59.0;;512.0;;;9.0;271.0
Maurik-G0264;23;28;148.0;686.0;62.0;147.0;47.0;828.0;42.0;9.0;68.0;96.0;;;;283.0
Medemblik-G0420;21;23;751.0;371.0;31.0;192.0;127.0;105.0;196.0;43.0;17.0;37.0;1.0;22.0;;194.0
Meeden-G0026;9;10;;330.0;205.0;13.0;65.0;81.0;31.0;11.0;;181.0;;;13.0;96.0
Meerkerk-G0557;20;22;11.0;151.0;349.0;37.0;40.0;211.0;11.0;3.0;73.0;;1.0;6.0;;85.0
Meerlo-G0937;6;5;1034.0;;;4.0;;;9.0;;;;;14.0;;49.0
Meerssen-G0938;89;102;2158.0;68.0;15.0;22.0;;8.0;187.0;;;;;9.0;;203.0
Megen, Haren en Macharen-G0813;6;1;788.0;15.0;1.0;;;2.0;1.0;;;;;23.0;;82.0
Meijel-G0941;19;11;1029.0;;3.0;;;;18.0;;;;;;;84.0
Melick en Herkenbosch-G0939;11;19;855.0;10.0;1.0;;;;57.0;;;;;1.0;;90.0
Meliskerke-G1112;8;0;3.0;1.0;103.0;30.0;2.0;6.0;4.0;;137.0;;;1.0;;81.0
Melissant-G1113;11;29;23.0;84.0;203.0;97.0;10.0;78.0;15.0;6.0;230.0;1.0;2.0;100.0;;124.0
Menaldumadeel-G0083;58;76;249.0;1528.0;1198.0;823.0;1081.0;185.0;92.0;95.0;6.0;267.0;17.0;;205.0;369.0
Meppel-G0119;251;553;326.0;4706.0;3925.0;3369.0;4195.0;2670.0;1185.0;618.0;;68.0;;;;
Merkelbeek-G0940;9;10;471.0;12.0;2.0;1.0;;1.0;34.0;;;;;3.0;;60.0
Mesch-G1114;0;3;134.0;1.0;;;;;9.0;;;;;;;11.0
Mheer-G0942;8;10;368.0;8.0;;;;;24.0;;;;;;;40.0
Middelburg-G0687;133;200;677.0;2820.0;2032.0;1582.0;1301.0;855.0;144.0;;429.0;;;114.0;;918.0
Middelharnis-G0559;0;0;104.0;334.0;509.0;74.0;170.0;323.0;37.0;17.0;529.0;6.0;8.0;201.0;;
Middelie-G0421;8;1;1.0;109.0;;4.0;129.0;22.0;29.0;;;3.0;3.0;;;24.0
Middelstum-G0027;8;11;1.0;131.0;685.0;25.0;52.0;111.0;21.0;20.0;;297.0;;;5.0;90.0
Midwolda-G0028;24;29;;359.0;632.0;542.0;152.0;89.0;70.0;86.0;;346.0;;;4.0;187.0
Midwoud-G0422;3;9;26.0;159.0;7.0;7.0;185.0;192.0;20.0;3.0;;;5.0;;;42.0
Mierlo-G0814;29;54;2173.0;112.0;3.0;10.0;;30.0;11.0;;;;;18.0;;147.0
Mijdrecht-G0336;10;39;820.0;108.0;467.0;445.0;30.0;65.0;33.0;7.0;64.0;9.0;3.0;;;143.0
Mijnsheerenland-G0564;13;16;1.0;79.0;329.0;248.0;41.0;60.0;11.0;1.0;78.0;3.0;1.0;12.0;;85.0
Mill en Sint Hubert-G0815;26;11;1482.0;12.0;1.0;8.0;;4.0;3.0;;;;;241.0;;153.0
Millingen-G1259;39;66;1143.0;158.0;3.0;9.0;2.0;2.0;30.0;2.0;1.0;8.0;2.0;;;298.0
Moergestel-G0816;8;10;1098.0;26.0;;4.0;;3.0;3.0;;;;;7.0;;64.0
Moerkapelle-G0560;3;10;7.0;62.0;130.0;7.0;23.0;27.0;27.0;1.0;95.0;;;31.0;;26.0
Molenaarsgraaf-G0561;5;3;;14.0;100.0;23.0;13.0;34.0;4.0;2.0;52.0;1.0;;23.0;;44.0
Monnickendam-G0423;5;10;312.0;169.0;164.0;309.0;151.0;40.0;63.0;13.0;14.0;112.0;9.0;5.0;;72.0
Monster-G0562;47;46;2521.0;330.0;781.0;314.0;126.0;50.0;215.0;21.0;615.0;6.0;;97.0;;238.0
Montfoort-G0335;4;18;671.0;38.0;88.0;78.0;11.0;9.0;18.0;;45.0;;;;;1058.0
Montfort-G0943;12;9;610.0;2.0;;;;;38.0;;;;;;;26.0
Mook en Middelaar-G0944;5;22;653.0;21.0;8.0;11.0;;28.0;28.0;;;;;137.0;;59.0
Moordrecht-G0563;34;36;126.0;293.0;329.0;23.0;68.0;186.0;32.0;2.0;107.0;1.0;;94.0;;130.0
Muiden-G0424;20;41;343.0;246.0;265.0;408.0;79.0;43.0;29.0;13.0;6.0;6.0;4.0;;;106.0
Munstergeleen-G0945;13;11;542.0;4.0;;5.0;;;20.0;;;;;7.0;;41.0
Muntendam-G0029;26;54;;900.0;98.0;112.0;85.0;43.0;111.0;90.0;;269.0;;19.0;4.0;141.0
Naaldwijk-G0565;40;55;1913.0;587.0;1365.0;860.0;522.0;311.0;173.0;12.0;109.0;26.0;5.0;42.0;;279.0
Naarden-G0425;81;146;834.0;741.0;604.0;435.0;565.0;716.0;361.0;71.0;29.0;61.0;9.0;4.0;;
Nederhemert-G1115;4;13;5.0;26.0;47.0;328.0;1.0;9.0;;;70.0;1.0;;;3.0;77.0
Nederhorst den Berg-G0426;8;17;359.0;103.0;233.0;266.0;26.0;4.0;9.0;62.0;1.0;3.0;4.0;2.0;;59.0
Nederweert-G0946;32;30;2990.0;3.0;32.0;;;;32.0;;;;;8.0;;294.0
Neede-G0266;43;65;517.0;1177.0;275.0;285.0;394.0;281.0;89.0;9.0;;44.0;5.0;;;192.0
Neer-G0947;0;9;954.0;2.0;;;;;9.0;;;;;;;57.0
Neeritter-G1116;1;13;314.0;3.0;;3.0;;;1.0;;;;;;;16.0
Nibbixwoud-G0427;3;2;427.0;37.0;3.0;12.0;91.0;129.0;6.0;;1.0;1.0;2.0;;;32.0
Nieuw- en Sint Joosland-G1117;16;18;1.0;66.0;100.0;219.0;44.0;50.0;10.0;;68.0;;;4.0;;64.0
Nieuw-Beijerland-G0566;9;23;7.0;164.0;160.0;24.0;29.0;69.0;12.0;6.0;231.0;1.0;1.0;11.0;;159.0
Nieuwe Niedorp-G0428;11;12;183.0;271.0;13.0;12.0;188.0;108.0;32.0;18.0;;8.0;75.0;2.0;;82.0
Nieuwe Pekela-G0030;46;26;163.0;461.0;518.0;202.0;119.0;58.0;261.0;234.0;;498.0;;;12.0;333.0
Nieuwe Tonge-G1119;18;22;18.0;214.0;300.0;25.0;34.0;99.0;11.0;12.0;265.0;;4.0;17.0;;174.0
Nieuwenhagen-G0948;61;93;1248.0;192.0;4.0;23.0;;1.0;218.0;;;;;5.0;;114.0
Nieuwenhoorn-G1121;22;19;13.0;412.0;40.0;38.0;138.0;194.0;19.0;17.0;3.0;1.0;3.0;1.0;;90.0
Nieuwer-Amstel-G1249;154;170;2264.0;917.0;1620.0;1213.0;915.0;416.0;666.0;143.0;47.0;279.0;78.0;7.0;;495.0
Nieuwerkerk-G1122;10;10;4.0;115.0;278.0;105.0;29.0;152.0;42.0;;211.0;;;2.0;;104.0
Nieuwerkerk aan den IJssel-G0567;52;68;110.0;333.0;259.0;244.0;98.0;170.0;72.0;13.0;202.0;3.0;7.0;132.0;;194.0
Nieuweschans-G0031;1;53;5.0;335.0;62.0;53.0;97.0;83.0;19.0;222.0;;42.0;;;8.0;94.0
Nieuw-Helvoet-G1118;28;37;7.0;342.0;115.0;107.0;227.0;259.0;27.0;17.0;24.0;4.0;3.0;6.0;;141.0
Nieuwkoop-G0569;19;16;806.0;67.0;106.0;213.0;31.0;105.0;89.0;4.0;83.0;2.0;;3.0;;87.0
Nieuwland-G0570;2;8;1.0;41.0;114.0;14.0;6.0;72.0;2.0;3.0;29.0;;;2.0;;41.0
Nieuw-Lekkerland-G0571;20;51;10.0;267.0;418.0;91.0;85.0;173.0;7.0;15.0;494.0;5.0;4.0;117.0;;224.0
Nieuwleusen-G0170;28;47;9.0;169.0;376.0;656.0;76.0;336.0;84.0;7.0;114.0;15.0;1.0;;;157.0
Nieuwolda-G0032;2;21;2.0;346.0;170.0;175.0;58.0;97.0;42.0;17.0;;68.0;;;1.0;111.0
Nieuwpoort-G0572;4;3;4.0;34.0;122.0;8.0;24.0;60.0;6.0;5.0;87.0;2.0;1.0;2.0;;48.0
Nieuwstadt-G0949;8;16;482.0;8.0;;3.0;;1.0;67.0;;;;;4.0;;25.0
Nieuwveen-G0573;15;9;319.0;31.0;182.0;97.0;79.0;36.0;34.0;2.0;27.0;1.0;4.0;4.0;;195.0
Nieuwvliet-G0690;2;4;3.0;19.0;31.0;28.0;49.0;128.0;10.0;;6.0;;;;;42.0
Nieuw-Vossemeer-G0818;4;15;629.0;24.0;3.0;33.0;;2.0;13.0;;1.0;;;;;58.0
Nigtevecht-G0337;4;11;21.0;35.0;88.0;169.0;9.0;11.0;16.0;;1.0;;;;;32.0
Nijeveen-G0121;4;8;3.0;33.0;163.0;285.0;135.0;79.0;24.0;4.0;;;;;;41.0
Nijkerk-G0267;61;83;330.0;705.0;1481.0;2083.0;52.0;53.0;67.0;11.0;156.0;22.0;;;;295.0
Nijmegen-G0268;763;1872;27228.0;7300.0;712.0;2734.0;1005.0;1292.0;1568.0;464.0;69.0;214.0;85.0;;;3690.0
