RegioNaam;@invalid;@blank;PvdA;VVD;CDA;FvD;GL;D66;CU-SGP;PvdD;50+;PVV;SP;Volt;DENK;vandeRegio & Piratenpartij;DG;JEZUS LEEFT;@abs
Stichtse Vecht-G1904;35;31;4042;4502;2543;2529;2178;1796;1434;827;896;728;468;474;63;48;41;31;26531
Súdwest-Fryslân-G1900;45;40;6493;5152;5502;3248;2211;1438;1860;934;786;934;957;312;37;48;42;71;40044
Terneuzen-G0715;46;24;2750;1585;1973;2150;718;671;1709;428;946;929;535;204;148;26;20;37;26036
Terschelling-G0093;0;4;680;433;293;259;277;102;64;112;89;58;76;21;1;7;2;2;1599
Texel-G0448;19;21;1390;977;765;870;720;358;204;263;188;177;226;99;0;9;11;6;4698
Teylingen-G1525;26;30;2182;3147;2177;1695;1216;1155;367;447;596;393;274;268;25;27;23;11;14210
Tholen-G0716;9;11;839;741;884;961;240;124;3002;202;282;414;232;45;5;11;5;18;11391
Tiel-G0281;15;23;2230;1755;933;1788;902;627;421;430;546;505;351;175;269;10;23;25;20369
Tilburg-G0855;142;119;10548;7934;4860;5550;8204;5485;549;2383;2536;2033;2563;1107;877;122;111;72;108113
Tubbergen-G0183;12;10;647;1001;3665;588;173;194;38;76;171;172;79;40;0;8;10;4;9753
Twenterand-G1700;20;11;990;802;3637;1107;332;230;1700;139;258;447;258;65;4;16;15;44;15801
Tynaarlo-G1730;18;17;3362;2090;1380;955;1817;966;620;498;300;330;347;176;8;19;20;9;13431
Tytsjerksteradiel-G0737;15;16;2308;1359;2253;1122;816;458;1236;326;298;349;388;116;2;31;8;40;13788
Uden-G0856;26;32;2212;2126;1864;1372;862;904;97;377;658;434;861;181;146;12;11;11;20391
Uitgeest-G0450;8;13;1037;877;522;597;475;528;60;205;224;145;159;76;9;8;5;2;5528
Uithoorn-G0451;30;19;1689;1949;937;1466;761;647;180;460;471;378;231;169;26;45;15;15;12050
Urk-G0184;12;10;39;40;445;1038;20;14;4954;11;12;320;19;14;5;1;0;67;6666
Utrecht-G0344;178;267;22221;16440;6814;6429;35204;17172;3457;6703;1865;2099;2658;4957;2464;375;366;104;125872
Utrechtse Heuvelrug-G1581;19;23;3585;3747;2284;1797;2595;1846;1674;1066;593;457;385;491;75;33;32;12;17860
Vaals-G0981;10;9;1078;161;360;289;262;95;35;150;112;227;78;27;11;9;21;5;3618
Valkenburg aan de Geul-G0994;7;15;1787;564;994;688;390;266;41;241;197;328;150;70;4;6;4;7;7913
Valkenswaard-G0858;22;31;1984;1380;1200;1119;599;492;77;255;800;405;355;217;3;15;13;11;15963
Veendam-G0047;12;16;1979;893;764;1002;475;314;378;241;387;364;593;84;98;23;9;13;14295
Veenendaal-G0345;34;25;2257;2561;2569;2379;1186;771;7016;368;654;668;474;206;295;26;23;54;27821
Veere-G0717;15;7;1559;1287;1572;738;600;347;2165;315;287;200;135;129;7;15;16;14;8093
Veldhoven-G0861;25;33;2686;2397;1662;1532;1105;961;192;394;1133;497;587;415;11;19;37;21;21367
Velsen-G0453;31;39;4370;3325;1759;3129;1925;1464;661;980;1098;909;794;348;234;39;34;39;31484
Venlo-G0983;49;85;7966;2764;3653;3101;1829;990;197;781;1061;1895;1036;320;545;37;31;28;50193
Venray-G0984;23;34;2856;1651;2434;1291;816;820;87;265;592;507;616;172;112;20;11;8;21141
Vijfheerenlanden-G1961;28;22;2626;2168;2823;2102;960;868;3645;472;594;654;453;186;331;23;25;30;24893
Vlaardingen-G0622;59;41;3338;2569;1701;3093;1538;1034;1163;805;997;997;1382;272;625;26;22;35;34759
