RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;SGP;PvdA/PPR;Communistische Partij van Nederland;Politieke Partij Radikalen (PPR);Pacifistisch-Socialistische Partij (PSP);Gereformeerd Politiek Verbond (GPV);Boeren Partij;Reformatorische Politieke Federatie (RPF);Fryske Nasjonale Partij;Democratisch Socialisten '70;SGP/RPF;Conservatieve Volkspartij;Lijst de Boer;Gronneger Bond;Internationale Kommunistenbond;Christen Democraten Unie;Lijst Wartena;Lijst Hofman;@abs
Ede-G0228;108;40;17057;8551;8265;2062;5993.0;0;100;743;234;458;886;527;0;0;0;10.0;0;0;0;0;0;0;9278
Eelde-G0113;11;8;1060;2441;1966;588;0.0;0;20;88;52;26;0;24;0;0;0;0.0;118;0;0;0;0;0;749
Eemnes-G0317;8;10;1322;0;785;369;63.0;711;10;0;41;15;40;11;0;5;0;1.0;0;0;0;0;0;0;546
Eenrum-G0011;12;5;172;856;287;67;0.0;0;13;49;22;86;2;5;0;0;0;0.0;0;7;0;0;0;0;170
Eersel-G0770;9;13;3895;703;634;207;1.0;0;8;81;23;1;19;0;0;0;0;4.0;0;0;4;2;0;0;1295
Egmond aan Zee-G0386;8;7;621;1526;678;134;3.0;0;50;34;38;3;19;2;0;16;0;0.0;0;0;0;0;0;0;828
Egmond-Binnen-G0387;12;2;1509;544;605;140;2.0;0;27;65;30;1;13;2;0;6;0;0.0;0;0;0;0;0;0;635
Eibergen-G0229;19;21;5230;2543;985;325;0.0;0;15;135;76;16;69;10;0;0;0;5.0;0;0;0;0;0;0;1084
Eijgelshoven-G0904;25;10;1079;1278;329;91;0.0;0;60;50;73;0;0;0;0;0;0;0.0;0;0;0;0;0;0;1025
Eijsden-G0905;20;14;1981;1037;538;108;0.0;0;12;39;36;0;0;0;0;0;0;12.0;0;0;0;0;0;0;1151
Eindhoven-G0772;323;161;39663;32283;12970;5133;143.0;0;656;2269;1590;285;544;0;0;0;0;82.0;0;0;122;60;0;0;39094
