RegioNaam;@invalid;@blank;CDA;LPF;VVD;PvdA;GL;SP;D66;CU;SGP;LN;Verenigde Senioren Partij;Vrije Indische Partij & OuderenUnie;Duurzaam Nederland;Partij van de Toekomst;Nieuwe Midden Partij;Republikeinse Volkspartij;@abs
Meerlo-Wanssum-G0993;;7;2175;728;510;442;239;217;194;3;7;80;24;8.0;0;4.0;0.0;;1166.0
Meerssen-G0938;;11;5143;2231;1619;1239;774;503;527;31;2;156;42;10.0;2;8.0;3.0;;3374.0
Meijel-G0941;;0;1516;580;543;304;125;125;79;1;3;67;8;5.0;0;3.0;0.0;;1054.0
Menaldumadeel-G0083;;7;3047;1024;1244;1873;597;439;397;167;13;168;24;;0;4.0;1.0;;1552.0
Menterwolde-G1987;;8;1125;1141;989;2422;463;551;269;199;28;159;18;8.0;3;5.0;1.0;;2347.0
Meppel-G0119;;17;4749;2339;3105;4144;1083;1002;958;866;69;239;43;19.0;1;6.0;1.0;;4408.0
Middelburg-G0687;;21;7346;3482;3401;3988;2136;1784;1282;1547;2079;375;103;;48;12.0;6.0;;6737.0
Middelharnis-G0559;;12;2659;1809;1271;1389;291;322;309;821;1663;148;19;9.0;3;5.0;3.0;;2332.0
Midden-Drenthe-G1731;;31;6042;2380;3265;5067;1131;898;892;541;67;290;49;12.0;3;16.0;7.0;;4064.0
Mierlo-G0814;;11;2393;1144;956;667;405;337;332;36;3;85;34;14.0;0;13.0;3.0;;1313.0
Mill en Sint Hubert-G0815;;9;3093;1224;807;786;316;400;209;24;6;101;21;5.0;0;8.0;0.0;;1504.0
Millingen aan de Rijn-G0265;;8;877;532;505;828;241;227;164;6;0;45;12;3.0;2;2.0;;;990.0
Moerdijk-G1709;;21;7256;3935;3541;2520;1018;1162;864;418;140;426;88;19.0;26;20.0;3.0;;6533.0
Monster-G0562;;11;4676;3062;1904;808;372;316;396;372;405;206;41;5.0;6;5.0;2.0;;2444.0
Montfoort-G0335;;12;2970;1506;1292;693;419;287;372;348;413;185;26;8.0;1;7.0;;;1232.0
Mook en Middelaar-G0944;;0;1536;749;907;707;468;315;317;12;2;49;11;2.0;4;2.0;0.0;;956.0
