RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;GL;SGP;GPV/RPF;Centrumdemocraten;SP;Gereformeerd Politiek Verbond (GPV);DG;Partij Nieuw Limburg;SGP-GPV-RPF;Brabantse Onafhankelijke Federatie;SGP/RPF;Centrumpartij;FNP;Reformatorische Politieke Federatie (RPF);Delta Anders;Onafhankelijke Partijen Drenthe;Socialistische Arbeiderspartij;Lokale Partijen Gelderland;VCN: partij van communisten in Nederland;Vooruitstrevende Volkspartij;Lijst Hendriks;@abs
Hoogeveen-G0118;61;;7843;4628;1717;2673;759;;;;;894.0;;;;;1082.0;;;;;250.0;;;;;;14243
Hoogezand-Sappemeer-G0018;126;;2061;4373;2217;2391;781;;;;111.0;502.0;;;;;124.0;;;;;;29.0;;35.0;;;13032
Hoorn-G0405;197;;4619;4281;3879;4202;1347;;;298.0;88.0;;306.0;;233.0;;;;;;;;;;49.0;;;38725
Horst-G0923;12;;4761;820;466;456;118;;;;195.0;;;46.0;15.0;;;;;;;;;;;;;6816
Houten-G0321;20;;3702;1459;1811;2195;680;478.0;603.0;120.0;42.0;;;;;;;;;;;;;;;;;7251
Huijbergen-G0803;3;;443;115;167;83;14;;;3.0;4.0;;3.0;;4.0;21.0;;6.0;;;;;;;;;;666
Huissen-G0255;11;;2470;1007;888;1020;171;7.0;32.0;26.0;14.0;;23.0;;;;;;;;;;;114.0;;;9.0;5546
Huizen-G0406;24;;4193;2056;3633;3051;710;;;187.0;28.0;;190.0;;2032.0;;;;;;;;9.0;;;;;13645
Hulst-G0677;80;;2342;1066;1175;534;210;19.0;29.0;;;;;;;;;;;;278.0;;;;;;;7545
Hummelo en Keppel-G0256;3;;816;504;525;350;33;13.0;15.0;12.0;2.0;;4.0;;;;;;;;;;;4.0;;;1.0;1216
Hunsel-G0925;19;;1522;244;138;142;51;;;;10.0;;;60.0;3.0;;;;;;;;;;;;;2051
IJsselham-G0195;10;;1163;570;447;224;84;18.0;;;7.0;48.0;;;;;;;;74.0;;;;;;;;1279
IJsselmuiden-G0191;23;;2607;487;361;308;57;1623.0;;;9.0;202.0;;;;;;;;947.0;;;;;;;;2457
IJsselstein-G0353;27;;2806;1296;1481;1720;378;314.0;150.0;99.0;26.0;;;;;;;;;;;;;;;;;7105
Jacobswoude-G0645;13;;2186;528;921;640;154;115.0;64.0;32.0;12.0;;12.0;;;;;1.0;;;;;;;;6.0;;3320
Kampen-G0166;57;;4269;2584;1324;1748;732;1019.0;;;56.0;884.0;;;;;;;;1913.0;;;;;;;;9308
Kapelle-G0678;36;;1458;616;639;596;112;584.0;221.0;;;;;;;;;;;;221.0;;;;;;;3251
Katwijk-G0537;18;;5194;1273;1347;1340;405;3081.0;1408.0;109.0;20.0;;40.0;;;;;42.0;;;;;1.0;;;4.0;;14624
Kerkrade-G0928;168;;6640;5669;1142;1192;716;;;;433.0;;;549.0;93.0;;;;;;;;;;;;;22967
Kerkwijk-G0257;20;;982;323;281;194;40;930.0;92.0;13.0;4.0;;10.0;;;;;;;;;;1.0;4.0;;;;1569
Kessel-G0929;17;;1116;191;128;112;24;;;;;;;184.0;4.0;;;;;;;;;;;;;1220
Kesteren-G0258;14;;959;742;318;344;48;1567.0;106.0;24.0;2.0;;11.0;;;;;;;;;;1.0;9.0;;;;2496
Klundert-G0804;9;;1369;426;299;253;39;;;16.0;6.0;;8.0;;304.0;38.0;;16.0;;;;;3.0;;;;;2217
Kollumerland en Nieuwkruisland-G0079;36;;2979;1030;427;338;99;;;13.0;;146.0;;;;;350.0;;475.0;;;;;;1.0;;;3248
Korendijk-G0588;27;;1122;732;873;561;100;979.0;95.0;33.0;11.0;;5.0;;;;;6.0;;;;;;;;2.0;;2924
Kortgene-G0682;19;;402;427;306;243;48;140.0;35.0;;;;;;;;;;;;51.0;;;;;;;1136
Krimpen aan den IJssel-G0542;48;;2460;2510;2112;2084;330;2092.0;492.0;162.0;23.0;;46.0;;;;;35.0;;;;;6.0;;;7.0;;8219
Landgraaf-G0882;24;;5060;3394;1186;1359;664;;;;420.0;;;1092.0;54.0;;;;;;;;;;;;;17324
Landsmeer-G0415;8;;728;1087;1139;999;363;;;71.0;13.0;;71.0;;59.0;;;;;;;;2.0;;5.0;;;3543
Langbroek-G0325;0;;366;125;108;83;37;216.0;57.0;7.0;1.0;;;;;;;;;;;;;;;;;486
Langedijk-G0416;20;;2754;1327;1589;1164;369;;;53.0;12.0;;145.0;;304.0;;;12.0;;;;;10.0;;7.0;;;7518
Laren-G0417;3;;1517;668;1934;853;192;;;40.0;5.0;;58.0;;59.0;;;;;;;;1.0;;;;;3947
Leek-G0022;36;;2278;2107;1163;1175;383;;;;12.0;788.0;;;;;103.0;;;;;;9.0;;4.0;;;4768
Leende-G0805;9;;1285;158;288;181;40;;;2.0;4.0;;4.0;;6.0;42.0;;4.0;;;;;1.0;;;;;1095
Leerdam-G0545;30;;1937;1496;1105;908;141;774.0;717.0;78.0;17.0;;21.0;;;;;30.0;;;;;3.0;;;5.0;;6203
Leersum-G0326;8;;965;500;892;503;155;295.0;106.0;42.0;2.0;;;;;;;;;;;;;;;;;1755
Leeuwarden-G0080;123;;8871;12511;4559;6358;2632;;;397.0;;731.0;;;;;608.0;;1101.0;;;;;;37.0;;;29443
Leeuwarderadeel-G0081;17;;1401;1385;519;524;176;;;27.0;;74.0;;;;;81.0;;541.0;;;;;;2.0;;;2088
Leiden-G0546;334;;7904;9968;7396;10222;4182;375.0;597.0;623.0;1031.0;;412.0;;;;;285.0;;;;;61.0;;;41.0;;43289
Leiderdorp-G0547;42;;2727;1387;2405;2372;585;185.0;128.0;85.0;43.0;;57.0;;;;;35.0;;;;;4.0;;;13.0;;6959
Leidschendam-G0548;70;;4793;2025;3147;2679;520;76.0;192.0;202.0;417.0;;99.0;;;;;94.0;;;;;9.0;;;25.0;;11165
Lelystad-G0995;109;;3458;4537;3898;5140;1496;;;479.0;;324.0;;;;;377.0;;;;;;;;;;;20014
Lemsterland-G0082;22;;1801;1185;551;628;127;;;30.0;;31.0;;;;;253.0;;139.0;;;;;;292.0;;;3395
Leusden-G0327;47;;4053;1529;2719;2199;525;269.0;787.0;98.0;12.0;;;;;;;;;;;;;;;;;7504
Lichtenvoorde-G0260;31;;5318;1035;728;779;183;9.0;9.0;31.0;11.0;;33.0;;;;;;;;;;7.0;25.0;;;20.0;5229
Liempde-G0806;429;;251;80;49;62;37;;;7.0;15.0;;1.0;;6.0;1531.0;;2.0;;;;;3.0;;;;;835
Lienden-G0261;8;;706;837;499;268;41;446.0;53.0;13.0;7.0;;6.0;;;;;;;;;;1.0;4.0;;;;2212
Lieshout-G0807;9;;1277;384;205;267;69;;;5.0;10.0;;3.0;;3.0;339.0;;13.0;;;;;2.0;;;;;1884
Liesveld-G0694;18;;1368;648;784;373;72;795.0;457.0;36.0;6.0;;5.0;;;;;14.0;;;;;3.0;;;;;1958
Limmen-G0418;11;;1094;308;432;313;82;;;6.0;5.0;;27.0;;16.0;;;2.0;;;;;;;2.0;;;1826
Lingewaal-G0733;3;;1609;992;632;431;81;304.0;156.0;35.0;5.0;;8.0;;;;;;;;;;;2.0;;;1.0;3378
Lisse-G0553;29;;3562;996;1914;1212;298;682.0;261.0;59.0;14.0;;41.0;;;;;14.0;;;;;6.0;;;5.0;;6755
Lith-G0808;11;;1360;319;208;229;45;;;5.0;123.0;;1.0;;7.0;24.0;;6.0;;;;;2.0;;;;;2182
Littenseradiel-G0140;10;;1903;1104;751;446;172;;;8.0;;35.0;;;;;58.0;;656.0;;;;;;1.0;;;2141
Lochem-G0262;48;;2438;2195;1994;1478;363;17.0;63.0;34.0;19.0;;20.0;;;;;;;;;;4.0;23.0;;;2.0;5483
Loenen-G0329;13;;1253;746;1003;581;153;122.0;122.0;41.0;5.0;;;;;;;;;;;;;;;;;2316
Loon op Zand-G0809;12;;3242;1099;1076;856;284;;;17.0;65.0;;29.0;;119.0;942.0;;21.0;;;;;22.0;;;;;8820
Loosdrecht-G0330;8;;1193;390;1380;732;86;95.0;70.0;26.0;4.0;;;;;;;;;;;;;;;;;2826
Lopik-G0331;11;;2774;534;663;451;92;919.0;188.0;56.0;8.0;;;;;;;;;;;;;;;;;3421
Loppersum-G0024;25;;1957;1429;595;588;334;;;;16.0;420.0;;;;;130.0;;;;;;7.0;;16.0;;;2615
Losser-G0168;45;;5643;1738;810;1033;288;8.0;;;7.0;27.0;;;;;;;;23.0;;;;;5.0;;;7258
Luyksgestel-G0810;10;;842;144;102;104;11;;;2.0;1.0;;2.0;;1.0;11.0;;6.0;;;;;;;;;;853
Maarheeze-G0811;10;;2003;396;685;342;72;;;5.0;10.0;;11.0;;15.0;20.0;;5.0;;;;;3.0;;;;;3109
Maarn-G0332;10;;883;399;957;582;113;157.0;57.0;24.0;7.0;;;;;;;;;;;;;;;;;1234
Maarssen-G0333;39;;3840;2556;3738;3135;773;166.0;437.0;175.0;51.0;;;;;;;;;;;;;;;;;13562
Maartensdijk-G0334;13;;1279;574;1092;724;159;623.0;191.0;37.0;3.0;;;;;;;;;;;;;;;;;2274
Maasbracht-G0933;30;;2498;829;800;472;114;;;;11.0;;;289.0;48.0;;;;;;;;;;;;;5536
Maasbree-G0934;13;;2721;412;425;310;175;;;;7.0;;;651.0;5.0;;;;;;;;;;;;;4002
Maasdriel-G0263;14;;1740;452;461;308;44;15.0;8.0;27.0;18.0;;6.0;;;;;;;;;;2.0;13.0;;;8.0;3503
