RegioNaam;@invalid;@blank;PvdA;CDA;VVD;D66;Pacifistisch-Socialistische Partij (PSP);SGP;Communistische Partij van Nederland;Politieke Partij Radikalen (PPR);Reformatorische Politieke Federatie (RPF);CP;Gereformeerd Politiek Verbond (GPV);Evangelische Volkspartij;SP;Democratisch Socialisten '70;Rechtse Volkspartij;Rooms Katholieke Partij Nederland;God Met Ons;Nederlandse Volks Unie (NVU);Progressieve Partij voor Behoud van Milieu, Werk en Maatschappij;Kleine Partij;@abs
Eijsden-G0905;48;;1388;2533;1547;268;97;1.0;27.0;79;4.0;9.0;3.0;4.0;19.0;5.0;14.0;26.0;20.0;;;;1611.0
Eindhoven-G0772;565;;30507;36502;22569;5269;3618;129.0;1306.0;2562;549.0;418.0;199.0;464.0;986.0;339.0;403.0;248.0;52.0;;;;37040.0
Elburg-G0230;25;;1554;3304;2478;248;54;1992.0;36.0;82;1043.0;26.0;159.0;128.0;18.0;25.0;55.0;4.0;3.0;;;;1876.0
Elst-G0231;8;;2171;3922;2156;530;209;32.0;65.0;153;36.0;17.0;16.0;71.0;46.0;26.0;13.0;11.0;0.0;;;;2312.0
Emmen-G0114;170;;27500;14057;6824;1650;802;53.0;1046.0;599;1075.0;82.0;400.0;481.0;266.0;99.0;97.0;68.0;;;;;9645.0
Enkhuizen-G0388;62;;3160;2165;2113;417;323;173.0;233.0;103;265.0;53.0;30.0;86.0;19.0;35.0;29.0;6.0;;;;;1648.0
Enschede-G0153;23;;33176;18482;16288;3678;1532;308.0;1988.0;1325;1184.0;269.0;1881.0;414.0;800.0;296.0;200.0;84.0;;;;;20223.0
Epe-G0232;72;;6385;5415;5312;957;203;664.0;95.0;174;549.0;66.0;65.0;122.0;31.0;49.0;109.0;11.0;12.0;;;;3230.0
Ermelo-G0233;31;;1536;5624;3967;393;120;706.0;53.0;250;861.0;32.0;357.0;267.0;22.0;48.0;26.0;7.0;4.0;;;;2720.0
Erp-G0775;9;;382;2339;519;113;48;;8.0;29;3.0;4.0;2.0;2.0;10.0;4.0;19.0;7.0;3.0;;;;452.0
Esch-G0776;6;;169;669;185;33;12;;3.0;20;2.0;1.0;;1.0;5.0;2.0;5.0;1.0;0.0;;;;126.0
Etten-Leur-G0777;64;;4588;5451;3569;815;348;9.0;113.0;276;41.0;87.0;9.0;45.0;57.0;40.0;68.0;31.0;6.0;;;;4659.0
Everdingen-G0508;3;;220;355;309;47;5;120.0;3.0;11;71.0;6.0;5.0;8.0;2.0;1.0;5.0;;;;;;135.0
Ezinge-G0012;4;;462;323;242;38;27;3.0;22.0;38;11.0;1.0;18.0;6.0;1.0;2.0;2.0;1.0;;;;;104.0
Ferwerderadeel-G0068;25;;1190;2488;906;121;67;15.0;21.0;27;131.0;5.0;218.0;78.0;17.0;6.0;3.0;4.0;;;;;700.0
Fijnaart en Heijningen-G0778;12;;1182;1398;718;136;37;24.0;12.0;38;57.0;18.0;6.0;37.0;10.0;11.0;6.0;12.0;1.0;;;;685.0
Finsterwolde-G0013;11;;650;73;192;20;17;5.0;931.0;5;16.0;2.0;5.0;5.0;5.0;2.0;1.0;1.0;;;;;132.0
Franeker-G0069;17;;2692;2430;1522;243;93;21.0;71.0;66;173.0;14.0;69.0;110.0;26.0;22.0;11.0;7.0;;;;;1263.0
Franekeradeel-G0070;16;;851;922;447;56;50;1.0;9.0;17;68.0;3.0;18.0;36.0;8.0;7.0;5.0;1.0;;;;;168.0
Gaasterland-G0071;24;;788;2412;831;124;47;138.0;21.0;63;116.0;2.0;12.0;112.0;15.0;20.0;14.0;8.0;;;;;620.0
Gasselte-G0115;11;;1402;396;565;112;32;4.0;75.0;19;21.0;3.0;2.0;24.0;13.0;7.0;5.0;1.0;;;;;336.0
Geertruidenberg-G0779;14;;1170;1126;839;206;44;4.0;25.0;46;10.0;21.0;2.0;10.0;30.0;15.0;21.0;10.0;4.0;;;;1002.0
Geffen-G0780;19;;486;1269;473;66;32;2.0;10.0;34;4.0;7.0;1.0;;78.0;5.0;23.0;3.0;1.0;;;;644.0
Geldermalsen-G0236;55;;3994;3342;3179;437;131;938.0;70.0;105;144.0;74.0;35.0;79.0;48.0;48.0;39.0;11.0;4.0;;;;1745.0
Geldrop-G0781;43;;3223;5750;3423;912;234;6.0;99.0;459;75.0;49.0;13.0;59.0;62.0;42.0;66.0;18.0;15.0;;;;4079.0
Geleen-G0906;143;;6005;7416;3305;973;619;11.0;163.0;357;62.0;47.0;16.0;29.0;77.0;42.0;58.0;63.0;71.0;;;;6927.0
Gemert-G0782;37;;2114;4428;1495;376;198;3.0;70.0;127;5.0;18.0;5.0;7.0;120.0;8.0;30.0;19.0;7.0;;;;2516.0
Gendringen-G0237;50;;2444;6033;1784;442;199;12.0;50.0;152;45.0;29.0;8.0;28.0;28.0;28.0;46.0;15.0;7.0;;;;2271.0
Gendt-G0238;26;;1018;1817;719;207;64;3.0;14.0;43;3.0;3.0;;6.0;12.0;6.0;4.0;3.0;2.0;;;;808.0
Genemuiden-G0154;16;;647;866;461;67;4;1028.0;6.0;14;561.0;4.0;38.0;27.0;8.0;5.0;13.0;2.0;;;;;667.0
Gennep-G0907;52;;1764;3632;1540;696;258;3.0;47.0;140;14.0;16.0;1.0;11.0;50.0;9.0;21.0;9.0;6.0;;;;2814.0
Giessenburg-G0510;12;;546;870;642;109;6;239.0;8.0;11;210.0;12.0;21.0;38.0;;5.0;7.0;;;;;;305.0
Gieten-G0116;19;;1813;507;1047;187;36;1.0;27.0;38;22.0;5.0;12.0;20.0;4.0;15.0;9.0;1.0;;;;;413.0
Gilze en Rijen-G0784;37;;2898;4840;2765;659;217;8.0;64.0;137;25.0;54.0;8.0;16.0;72.0;40.0;68.0;20.0;14.0;;;;2656.0
Goedereede-G0511;33;;1304;1153;1129;214;30;2086.0;29.0;32;310.0;34.0;26.0;29.0;9.0;9.0;17.0;6.0;;;;;761.0
Goes-G0664;54;;5150;5058;4064;767;233;1402.0;123.0;442;368.0;69.0;156.0;216.0;60.0;53.0;37.0;19.0;;;;;4218.0
Goirle-G0785;55;;2407;3285;2221;534;381;2.0;73.0;168;13.0;38.0;11.0;22.0;55.0;29.0;29.0;23.0;9.0;;;;2420.0
Goor-G0156;23;;2949;2054;1622;354;76;15.0;47.0;60;56.0;26.0;44.0;38.0;32.0;15.0;20.0;15.0;;;;;899.0
Gorinchem-G0512;76;;6843;2960;3196;608;218;412.0;178.0;180;319.0;187.0;91.0;208.0;46.0;87.0;30.0;12.0;;;;;3998.0
Gorssel-G0239;22;;2362;2765;3222;538;109;11.0;34.0;174;52.0;21.0;30.0;92.0;25.0;23.0;34.0;7.0;3.0;;;;1127.0
Gouda-G0513;254;;11698;6959;7873;1700;644;1250.0;496.0;609;595.0;557.0;270.0;294.0;153.0;132.0;59.0;19.0;;;;;7704.0
Gouderak-G0514;14;;484;336;382;79;24;177.0;9.0;16;62.0;16.0;9.0;8.0;1.0;5.0;2.0;;;;;;250.0
Goudriaan-G0515;4;;55;154;117;13;1;73.0;;3;44.0;;3.0;6.0;;;;;;;;;41.0
Goudswaard-G0516;4;;278;139;208;24;5;329.0;3.0;6;22.0;8.0;4.0;3.0;3.0;2.0;;;;;;;174.0
Graft-De Rijp-G0365;18;;867;803;1090;121;154;7.0;77.0;33;3.0;15.0;3.0;11.0;3.0;7.0;6.0;1.0;;;;;403.0
Gramsbergen-G0157;27;;1168;1694;447;90;19;12.0;3.0;19;74.0;;110.0;42.0;2.0;5.0;15.0;3.0;;;;;382.0
Grathem-G0909;8;;191;967;316;64;21;1.0;8.0;19;1.0;3.0;;;6.0;2.0;6.0;1.0;11.0;;;;370.0
Grave-G0786;26;;1198;2251;1430;254;128;1.0;33.0;171;10.0;13.0;1.0;12.0;71.0;18.0;16.0;7.0;2.0;;;;1399.0
Grijpskerk-G0016;13;;471;1322;378;65;23;9.0;15.0;42;54.0;6.0;177.0;94.0;7.0;6.0;4.0;;;;;;268.0
Groenlo-G0240;4;;930;2688;850;252;86;6.0;19.0;84;10.0;11.0;1.0;13.0;21.0;7.0;4.0;39.0;5.0;;;;949.0
Groesbeek-G0241;68;;3363;4279;1585;401;189;8.0;60.0;258;18.0;26.0;15.0;24.0;63.0;20.0;25.0;52.0;12.0;;;;3035.0
Groningen-G0014;433;;46731;15458;17870;4372;4603;137.0;4937.0;3114;1036.0;281.0;4336.0;1505.0;812.0;435.0;153.0;84.0;;;;;24962.0
Groot-Ammers-G0520;15;;339;477;430;67;23;276.0;5.0;15;146.0;8.0;17.0;8.0;2.0;8.0;9.0;;;;;;210.0
Grootegast-G0015;22;;1136;2611;624;93;40;17.0;35.0;33;221.0;4.0;282.0;53.0;11.0;10.0;35.0;5.0;;;;;791.0
Grubbenvorst-G0912;15;;560;1979;896;187;85;1.0;9.0;35;;4.0;;;10.0;4.0;7.0;5.0;2.0;;;;757.0
Gulpen-G0913;28;;1036;1964;760;191;80;6.0;22.0;75;5.0;;;2.0;3.0;18.0;14.0;36.0;12.0;;;;942.0
Haaksbergen-G0158;49;;2701;6520;2544;593;164;4.0;64.0;204;29.0;32.0;17.0;35.0;44.0;32.0;46.0;45.0;;;;;1754.0
Haaren-G0788;9;;392;1761;498;96;44;1.0;17.0;44;1.0;4.0;;3.0;9.0;4.0;12.0;9.0;1.0;;;;507.0
Haarlem-G0392;580;;30848;20592;23224;4586;3884;219.0;2561.0;2010;884.0;857.0;243.0;618.0;573.0;490.0;160.0;190.0;;;;33.0;25090.0
Haarlemmerliede en Spaarnwoude-G0393;20;;595;1044;870;133;48;19.0;68.0;56;22.0;24.0;7.0;23.0;11.0;10.0;3.0;8.0;;;;0.0;462.0
Haarlemmermeer-G0394;267;;10185;12937;16826;2116;758;527.0;781.0;893;667.0;332.0;161.0;325.0;137.0;218.0;114.0;51.0;;;;9.0;9723.0
Haastrecht-G0521;16;;510;998;697;107;51;82.0;17.0;55;70.0;27.0;14.0;28.0;9.0;2.0;3.0;6.0;;;;;371.0
Haelen-G0914;20;;507;1723;645;202;71;;11.0;73;8.0;5.0;5.0;1.0;14.0;9.0;14.0;20.0;7.0;;;;870.0
Hagestein-G0522;5;;143;317;194;27;4;93.0;2.0;10;19.0;4.0;2.0;4.0;1.0;1.0;7.0;1.0;;;;;94.0
Halsteren-G0789;51;;2024;2043;2188;309;111;27.0;45.0;76;14.0;44.0;2.0;38.0;19.0;31.0;32.0;13.0;4.0;;;;1924.0
Haps-G0790;13;;232;1055;232;66;27;;1.0;26;;;;1.0;5.0;2.0;4.0;2.0;2.0;;;;235.0
Hardenberg-G0160;94;;4212;8301;2300;537;126;52.0;47.0;137;432.0;18.0;2481.0;235.0;27.0;28.0;64.0;22.0;;;;;1972.0
Harderwijk-G0243;45;;2813;6758;4742;598;189;1006.0;87.0;274;1109.0;67.0;366.0;224.0;55.0;75.0;59.0;4.0;4.0;;;;3401.0
Hardinxveld-Giessendam-G0523;45;;2468;1774;1607;271;56;1988.0;61.0;42;638.0;53.0;415.0;79.0;48.0;22.0;19.0;2.0;;;;;1378.0
Haren-G0017;35;;3262;3014;4305;744;168;22.0;83.0;201;133.0;14.0;415.0;184.0;15.0;75.0;22.0;6.0;;;;;1451.0
Harenkarspel-G0395;16;;650;1504;854;117;64;;28.0;69;12.0;22.0;13.0;11.0;5.0;10.0;6.0;7.0;;;;;589.0
Harlingen-G0072;35;;3920;2026;1880;314;129;9.0;85.0;110;149.0;25.0;287.0;77.0;30.0;20.0;7.0;24.0;;;;;1788.0
Harmelen-G0318;15;;637;1538;1559;221;69;89.0;14.0;95;63.0;21.0;11.0;46.0;8.0;1.0;9.0;3.0;;;;;750.0
Haskerland-G0073;40;;3515;3354;1743;327;89;49.0;93.0;135;114.0;3.0;24.0;129.0;14.0;34.0;18.0;11.0;;;;;1378.0
Hasselt-G0161;15;;776;1261;549;123;13;182.0;9.0;24;409.0;3.0;312.0;48.0;8.0;6.0;6.0;;;;;;453.0
Hattem-G0244;18;;2209;2096;1270;280;35;77.0;32.0;63;403.0;6.0;664.0;89.0;5.0;30.0;10.0;4.0;2.0;;;;679.0
Havelte-G0117;9;;1710;448;1271;158;45;4.0;18.0;58;30.0;9.0;5.0;11.0;13.0;19.0;13.0;2.0;;;;;438.0
Hazerswoude-G0524;48;;1020;2298;1807;352;101;221.0;50.0;154;233.0;29.0;9.0;41.0;19.0;15.0;11.0;7.0;;;;;936.0
Hedel-G0245;8;;484;782;475;101;16;219.0;14.0;18;20.0;9.0;15.0;9.0;6.0;8.0;6.0;2.0;0.0;;;;314.0
Heel en Panheel-G0915;19;;330;1024;456;118;52;1.0;15.0;53;2.0;6.0;1.0;;9.0;6.0;6.0;3.0;2.0;;;;1270.0
Heemskerk-G0396;132;;5143;5209;4013;983;779;28.0;368.0;474;110.0;144.0;52.0;109.0;89.0;94.0;20.0;27.0;;;;5.0;3944.0
Heemstede-G0397;94;;2787;4968;7180;812;353;38.0;126.0;346;155.0;54.0;25.0;126.0;43.0;79.0;13.0;28.0;;;;4.0;2657.0
Heerde-G0246;31;;3404;3518;1828;340;71;392.0;31.0;64;959.0;10.0;175.0;108.0;11.0;24.0;112.0;5.0;3.0;;;;1358.0
Heerenveen-G0074;75;;10696;4524;4505;880;348;54.0;938.0;341;328.0;28.0;179.0;222.0;38.0;67.0;37.0;17.0;;;;;3712.0
Heerewaarden-G0247;1;;401;90;209;27;12;3.0;4.0;11;2.0;1.0;1.0;2.0;6.0;2.0;;;1.0;;;;71.0
Heerhugowaard-G0398;72;;4286;4938;5024;1021;631;15.0;255.0;355;116.0;112.0;43.0;106.0;65.0;62.0;45.0;13.0;;;;;3656.0
Heerjansdam-G0526;3;;624;572;568;88;26;68.0;12.0;22;51.0;30.0;4.0;16.0;4.0;8.0;4.0;4.0;;;;;351.0
Heerlen-G0917;260;;15805;16801;7549;2029;1049;18.0;1203.0;1033;112.0;121.0;56.0;140.0;1021.0;143.0;128.0;244.0;410.0;;;;20082.0
Heesch-G0791;30;;1107;2633;905;245;51;1.0;17.0;62;;12.0;;2.0;165.0;17.0;23.0;13.0;1.0;;;;1380.0
Heeswijk-Dinther-G0792;19;;643;2767;793;149;84;;13.0;110;3.0;13.0;;5.0;20.0;4.0;16.0;3.0;3.0;;;;678.0
Heeze-G0793;27;;746;2452;1259;248;74;1.0;12.0;97;7.0;6.0;;13.0;12.0;9.0;12.0;8.0;3.0;;;;1036.0
Hefshuizen-G0019;23;;2303;2420;953;129;54;14.0;103.0;40;92.0;12.0;738.0;63.0;13.0;14.0;18.0;6.0;;;;;825.0
Hei- en Boeicop-G0527;4;;78;228;133;9;5;106.0;;4;45.0;3.0;;1.0;1.0;4.0;4.0;;;;;;36.0
Heiloo-G0399;54;;2755;3876;4784;714;334;13.0;172.0;266;106.0;57.0;18.0;78.0;23.0;51.0;17.0;18.0;;;;;1703.0
Heinenoord-G0528;16;;689;470;495;96;24;139.0;3.0;24;51.0;13.0;6.0;23.0;4.0;11.0;11.0;;;;;;301.0
Heino-G0162;11;;720;2034;790;162;38;12.0;13.0;61;89.0;6.0;88.0;41.0;3.0;8.0;15.0;5.0;;;;;384.0
Helden-G0918;40;;1044;5292;1585;363;200;2.0;30.0;90;8.0;7.0;2.0;;20.0;15.0;23.0;19.0;6.0;;;;2618.0
Hellendoorn-G0163;58;;3860;11304;2625;643;88;153.0;48.0;285;786.0;27.0;315.0;193.0;32.0;38.0;134.0;15.0;;;;;2423.0
Hellevoetsluis-G0530;51;;6219;1596;4276;834;326;112.0;226.0;219;136.0;260.0;45.0;69.0;118.0;92.0;21.0;9.0;;;;;3994.0
Helmond-G0794;130;;9613;10238;5624;1472;528;94.0;682.0;346;59.0;122.0;28.0;48.0;303.0;117.0;102.0;59.0;8.0;;;;11276.0
Helvoirt-G0795;14;;431;1287;692;147;27;5.0;14.0;32;2.0;4.0;;4.0;6.0;7.0;18.0;9.0;3.0;;;;403.0
Hemelumer Oldeferd-G0075;6;;495;1578;632;120;25;17.0;9.0;32;93.0;9.0;22.0;76.0;2.0;10.0;9.0;4.0;;;;;353.0
Hendrik-Ido-Ambacht-G0531;4;;2400;2275;2472;548;115;1102.0;50.0;120;292.0;59.0;109.0;106.0;22.0;20.0;5.0;4.0;;;;;1918.0
Hengelo-G0164;168;;15893;14702;8920;2213;1020;57.0;570.0;884;549.0;222.0;347.0;281.0;413.0;121.0;145.0;90.0;;;;;7545.0
Hengelo-G0248;21;;1129;2514;1008;204;30;25.0;4.0;29;13.0;5.0;8.0;11.0;6.0;11.0;26.0;12.0;2.0;;;;779.0
Hennaarderadeel-G0076;10;;523;1455;583;79;48;8.0;14.0;38;50.0;2.0;3.0;69.0;2.0;6.0;5.0;1.0;;;;;357.0
Herten-G0919;23;;345;1040;428;96;28;;6.0;33;3.0;1.0;;;5.0;7.0;;4.0;7.0;;;;471.0
Herwen en Aerdt-G0249;21;;1394;1772;829;192;59;2.0;28.0;40;9.0;11.0;2.0;5.0;24.0;10.0;20.0;11.0;2.0;;;;1277.0
Herwijnen-G0250;3;;532;548;220;31;18;51.0;7.0;12;93.0;3.0;2.0;8.0;1.0;2.0;1.0;;0.0;;;;126.0
Het Bildt-G0063;20;;1949;1877;983;140;78;6.0;64.0;68;79.0;13.0;17.0;60.0;9.0;9.0;11.0;5.0;;;;;666.0
Heteren-G0251;13;;1108;1968;955;188;67;176.0;43.0;72;69.0;12.0;24.0;27.0;6.0;11.0;12.0;5.0;0.0;;;;901.0
Heukelum-G0533;3;;601;403;398;73;14;51.0;10.0;6;35.0;12.0;10.0;8.0;1.0;4.0;11.0;3.0;;;;;248.0
Heumen-G0252;5;;1208;3346;1460;374;166;5.0;39.0;207;4.0;9.0;5.0;13.0;40.0;13.0;8.0;13.0;1.0;;;;1086.0
Heusden-G0797;16;;703;1118;661;120;37;48.0;26.0;46;50.0;31.0;2.0;10.0;17.0;14.0;14.0;5.0;1.0;;;;773.0
Heythuysen-G0920;17;;446;1829;656;125;58;;11.0;33;4.0;1.0;2.0;1.0;15.0;13.0;18.0;10.0;7.0;;;;795.0
Hillegom-G0534;68;;2245;4121;3332;527;252;64.0;95.0;226;71.0;45.0;11.0;41.0;32.0;41.0;13.0;30.0;;;;;2249.0
Hilvarenbeek-G0798;24;;1133;2362;1159;239;94;3.0;39.0;120;5.0;9.0;;11.0;20.0;14.0;11.0;12.0;0.0;;;;901.0
Hilversum-G0402;249;;16104;13298;16533;2421;1587;546.0;894.0;940;829.0;431.0;271.0;386.0;608.0;261.0;116.0;70.0;;;;14.0;13052.0
Hindeloopen-G0077;6;;227;165;72;16;9;2.0;8.0;13;13.0;;1.0;3.0;2.0;1.0;1.0;;;;;;47.0
Hoevelaken-G0253;4;;829;1299;1431;257;36;299.0;10.0;74;109.0;8.0;65.0;37.0;1.0;14.0;6.0;2.0;0.0;;;;565.0
Hoeven-G0799;19;;975;1619;1019;165;48;11.0;20.0;37;10.0;26.0;6.0;2.0;8.0;14.0;27.0;8.0;0.0;;;;1265.0
Holten-G0165;20;;1549;2095;1684;239;31;32.0;12.0;35;66.0;21.0;16.0;45.0;4.0;14.0;49.0;;;;;;292.0
Hontenisse-G0675;18;;1122;2297;849;200;76;4.0;13.0;50;10.0;14.0;15.0;11.0;5.0;6.0;26.0;10.0;;;;;980.0
Hoogblokland-G0535;3;;268;224;263;24;4;47.0;8.0;5;42.0;6.0;3.0;7.0;1.0;1.0;2.0;1.0;;;;;54.0
Hooge en Lage Mierde-G0801;5;;255;1413;344;78;38;;4.0;26;2.0;4.0;;4.0;12.0;1.0;11.0;3.0;0.0;;;;312.0
Hooge en Lage Zwaluwe-G0802;10;;1020;1285;826;168;36;18.0;27.0;36;44.0;29.0;6.0;11.0;16.0;8.0;9.0;7.0;1.0;;;;706.0
Hoogeloon, Hapert en Casteren-G0800;7;;603;2641;859;187;55;2.0;7.0;53;5.0;9.0;5.0;5.0;18.0;8.0;9.0;8.0;0.0;;;;831.0
Hoogeveen-G0118;76;;7939;9460;3731;864;226;248.0;476.0;260;1154.0;96.0;602.0;507.0;70.0;71.0;173.0;10.0;;;;;4530.0
Hoogezand-Sappemeer-G0018;65;;10138;2711;3457;658;344;13.0;859.0;250;214.0;72.0;383.0;225.0;189.0;77.0;56.0;32.0;;;;;4885.0
Hoorn-G0405;130;;8751;5400;6967;1338;809;16.0;826.0;554;198.0;327.0;29.0;124.0;132.0;99.0;67.0;61.0;;;;;5802.0
Hoornaar-G0536;5;;243;257;297;34;13;25.0;4.0;8;44.0;2.0;;6.0;1.0;2.0;2.0;;;;;;82.0
Horn-G0922;10;;378;1053;585;105;49;1.0;6.0;44;;4.0;1.0;;10.0;4.0;13.0;6.0;5.0;;;;587.0
Horssen-G0254;4;;111;483;184;36;11;;2.0;12;;1.0;;1.0;9.0;;1.0;1.0;0.0;;;;108.0
Horst-G0923;39;;1478;5809;1822;331;153;5.0;39.0;92;9.0;20.0;5.0;7.0;82.0;19.0;31.0;22.0;9.0;;;;2082.0
Houten-G0321;12;;1095;2762;1812;296;126;257.0;32.0;166;133.0;40.0;24.0;52.0;32.0;9.0;11.0;14.0;;;;;921.0
Huijbergen-G0803;4;;180;545;353;40;5;;6.0;20;3.0;5.0;;4.0;4.0;4.0;1.0;2.0;0.0;;;;224.0
Huissen-G0255;34;;1918;3464;2200;365;159;9.0;59.0;155;16.0;17.0;14.0;39.0;32.0;19.0;17.0;30.0;9.0;;;;1583.0
Huizen-G0406;105;;4000;4990;5978;903;455;738.0;208.0;210;1100.0;110.0;104.0;156.0;62.0;86.0;34.0;3.0;;;;0.0;3352.0
Hulst-G0677;59;;2924;3686;2109;511;177;4.0;51.0;97;19.0;22.0;5.0;10.0;21.0;34.0;29.0;23.0;;;;;2841.0
Hummelo en Keppel-G0256;8;;769;813;899;137;29;10.0;9.0;28;9.0;2.0;5.0;6.0;6.0;10.0;6.0;1.0;0.0;;;;397.0
Hunsel-G0925;31;;434;1773;560;133;43;;12.0;22;2.0;2.0;;6.0;29.0;1.0;12.0;9.0;2.0;;;;698.0
Idaarderadeel-G0078;11;;3246;793;1322;256;92;6.0;48.0;78;37.0;5.0;4.0;34.0;9.0;14.0;3.0;4.0;;;;;560.0
IJlst-G0102;5;;468;750;287;61;16;2.0;5.0;27;30.0;;4.0;28.0;1.0;1.0;5.0;;;;;;214.0
IJsselham-G0195;14;;987;1268;691;78;27;11.0;11.0;26;79.0;5.0;65.0;41.0;9.0;6.0;9.0;1.0;;;;;325.0
IJsselmuiden-G0191;51;;788;2559;838;124;34;1491.0;15.0;53;940.0;16.0;108.0;66.0;3.0;2.0;19.0;10.0;;;;;695.0
IJsselstein-G0353;34;;2364;2986;2336;438;200;367.0;76.0;129;94.0;118.0;19.0;83.0;44.0;33.0;14.0;22.0;;;;;1978.0
Ilpendam-G0407;24;;536;551;507;68;32;10.0;149.0;29;18.0;24.0;;13.0;4.0;11.0;6.0;2.0;;;;;310.0
Jisp-G0408;1;;225;70;211;32;13;;37.0;18;;4.0;;;;1.0;2.0;;;;;;95.0
Kamerik-G0323;12;;248;983;419;79;27;207.0;3.0;29;127.0;5.0;1.0;24.0;14.0;4.0;5.0;1.0;;;;;224.0
Kampen-G0166;94;;5231;5628;2698;522;317;1237.0;108.0;451;1796.0;51.0;626.0;398.0;51.0;46.0;53.0;17.0;;;;;2604.0
Kantens-G0020;5;;477;218;200;29;37;2.0;19.0;12;12.0;1.0;138.0;7.0;2.0;5.0;7.0;;;;;;123.0
Kapelle-G0678;16;;1307;1875;1357;297;35;421.0;16.0;87;205.0;30.0;31.0;46.0;10.0;21.0;57.0;3.0;;;;;1035.0
Katwijk-G0537;162;;3191;7710;3970;627;194;3095.0;94.0;204;1507.0;145.0;127.0;162.0;69.0;74.0;37.0;14.0;;;;;5165.0
Katwoude-G0409;1;;31;57;68;4;3;;2.0;4;5.0;2.0;1.0;;1.0;1.0;;;;;;;18.0
Kedichem-G0538;3;;228;141;319;23;7;40.0;;4;13.0;10.0;;;;4.0;;;;;;;110.0
Kerkrade-G0928;331;;10105;8913;3647;1116;455;20.0;371.0;528;33.0;52.0;21.0;43.0;320.0;88.0;78.0;362.0;178.0;;;;12441.0
Kerkwijk-G0257;16;;653;997;588;79;29;872.0;12.0;27;120.0;2.0;14.0;11.0;8.0;5.0;6.0;4.0;0.0;;;;568.0
Kessel-G0929;13;;363;1165;439;78;24;1.0;2.0;42;;3.0;;;21.0;1.0;2.0;2.0;0.0;;;;526.0
Kesteren-G0258;20;;1425;912;816;106;45;1443.0;20.0;25;130.0;4.0;7.0;26.0;8.0;7.0;15.0;;1.0;;;;739.0
Klaaswaal-G0539;0;;702;497;578;88;23;168.0;10.0;22;49.0;18.0;9.0;17.0;6.0;4.0;5.0;;;;;;391.0
Kloosterburen-G0021;4;;335;512;161;21;20;6.0;8.0;10;8.0;;11.0;5.0;4.0;2.0;;9.0;;;;;150.0
Klundert-G0804;11;;754;1675;783;125;26;126.0;12.0;28;176.0;14.0;11.0;25.0;6.0;9.0;7.0;6.0;0.0;;;;763.0
Kockengen-G0324;8;;209;837;371;62;20;171.0;6.0;36;115.0;7.0;6.0;6.0;8.0;10.0;5.0;2.0;;;;;190.0
Kollumerland en Nieuwkruisland-G0079;19;;1618;3621;965;124;68;153.0;41.0;40;335.0;10.0;82.0;145.0;9.0;6.0;8.0;9.0;;;;;1189.0
Kortgene-G0682;6;;788;561;576;79;26;146.0;8.0;22;24.0;9.0;19.0;13.0;1.0;14.0;4.0;;;;;;331.0
Koudekerk aan den Rijn-G0540;14;;551;936;783;127;42;44.0;19.0;38;39.0;9.0;5.0;35.0;9.0;13.0;3.0;;;;;;370.0
Krimpen aan de Lek-G0541;41;;1484;574;840;186;42;283.0;35.0;21;53.0;45.0;15.0;9.0;18.0;11.0;8.0;1.0;;;;;669.0
Krimpen aan den IJssel-G0542;120;;5025;2460;4510;697;249;1761.0;151.0;175;336.0;167.0;171.0;85.0;63.0;68.0;12.0;8.0;;;;;2896.0
Landgraaf-G0882;183;;7287;6664;3433;983;378;16.0;303.0;485;57.0;37.0;12.0;25.0;241.0;74.0;76.0;206.0;151.0;;;;7817.0
Landsmeer-G0415;35;;1942;667;1607;278;149;14.0;343.0;133;45.0;72.0;4.0;24.0;8.0;30.0;15.0;3.0;;;;;805.0
Langbroek-G0325;3;;237;432;271;21;17;203.0;11.0;7;45.0;4.0;4.0;8.0;;5.0;;;;;;;132.0
Langedijk-G0416;61;;1649;2670;2070;363;193;8.0;219.0;142;144.0;48.0;37.0;62.0;19.0;29.0;20.0;11.0;;;;;1306.0
Langerak-G0543;6;;253;290;189;43;5;137.0;2.0;2;102.0;10.0;61.0;6.0;1.0;2.0;;1.0;;;;;149.0
Laren-G0417;0;;1478;2298;3124;484;230;26.0;71.0;155;36.0;14.0;21.0;28.0;10.0;47.0;12.0;11.0;;;;5.0;1597.0
Leek-G0022;35;;3594;2531;2076;355;138;28.0;101.0;103;157.0;17.0;594.0;163.0;19.0;58.0;57.0;3.0;;;;;1425.0
Leende-G0805;8;;200;1535;586;81;31;;2.0;33;3.0;3.0;1.0;1.0;3.0;10.0;4.0;14.0;1.0;;;;262.0
Leens-G0023;9;;755;665;330;48;50;7.0;39.0;28;45.0;2.0;277.0;20.0;8.0;5.0;4.0;3.0;;;;;329.0
Leerbroek-G0544;2;;55;212;113;18;2;256.0;2.0;2;52.0;6.0;8.0;1.0;;;1.0;1.0;;;;;116.0
Leerdam-G0545;33;;2943;1931;1736;265;51;706.0;83.0;75;462.0;158.0;131.0;51.0;25.0;23.0;35.0;3.0;;;;;1717.0
Leersum-G0326;17;;881;986;1492;193;44;267.0;15.0;44;107.0;9.0;16.0;22.0;5.0;13.0;7.0;1.0;;;;;468.0
