RegioNaam;@invalid;@blank;PvdA;KVP;ARP;CHU;VVD;Communistische Partij van Nederland;Katholieke Nationale Partij;SGP;Gereformeerd Politiek Verbond (GPV);Middenstands Partij;Partij voor Recht, Vrijheid en Welvaart;Socialistische Unie;Jong Conservatief Verbond;@abs
Dinxperlo-G0219;0;;423.0;404.0;356.0;890.0;122.0;11.0;7.0;3.0;;3.0;6.0;1.0;;201.0
Dirksland-G0504;0;;443.0;15.0;544.0;67.0;218.0;8.0;6.0;386.0;1.0;4.0;;6.0;;269.0
Dodewaard-G0220;0;;518.0;18.0;244.0;195.0;114.0;4.0;3.0;203.0;;;2.0;;;111.0
Doesburg-G0221;0;;1203.0;1266.0;256.0;373.0;196.0;68.0;61.0;10.0;7.0;5.0;1.0;9.0;;
Doetinchem-G0222;0;;3705.0;3488.0;916.0;1293.0;1053.0;329.0;247.0;143.0;22.0;13.0;36.0;7.0;;836.0
Dokkum-G0066;0;;1036.0;148.0;1462.0;413.0;192.0;23.0;11.0;43.0;16.0;23.0;9.0;5.0;3.0;132.0
Domburg-G0660;0;;322.0;40.0;129.0;210.0;157.0;6.0;7.0;133.0;1.0;44.0;8.0;1.0;;
Dongen-G0766;0;;334.0;5017.0;70.0;89.0;30.0;12.0;311.0;16.0;6.0;4.0;;;;299.0
Doniawerstal-G0067;0;;897.0;820.0;521.0;824.0;192.0;15.0;17.0;21.0;4.0;2.0;;13.0;1.0;190.0
Doorn-G0315;0;;1213.0;303.0;800.0;767.0;633.0;44.0;59.0;162.0;21.0;12.0;79.0;13.0;5.0;59.0
Doornspijk-G0223;0;;543.0;45.0;704.0;544.0;90.0;30.0;9.0;1180.0;7.0;1.0;4.0;4.0;;55.0
Dordrecht-G0505;0;;17064.0;3908.0;6061.0;3455.0;4420.0;2285.0;550.0;1090.0;109.0;133.0;124.0;161.0;;4338.0
Dreischor-G1047;0;;345.0;5.0;37.0;49.0;163.0;2.0;;20.0;1.0;38.0;1.0;;;43.0
Dreumel-G0224;0;;201.0;1086.0;20.0;32.0;16.0;4.0;26.0;1.0;;1.0;13.0;;;103.0
Driebergen-Rijsenburg-G0316;0;;1721.0;922.0;1507.0;1025.0;804.0;81.0;194.0;405.0;50.0;20.0;67.0;13.0;24.0;476.0
Driewegen-G0661;0;;100.0;50.0;65.0;95.0;38.0;;1.0;15.0;;19.0;;;;21.0
Drunen-G0767;0;;156.0;2533.0;21.0;32.0;12.0;12.0;70.0;12.0;3.0;6.0;13.0;;;67.0
Druten-G0225;0;;334.0;3126.0;25.0;126.0;16.0;5.0;90.0;1.0;3.0;7.0;;;;186.0
Dubbeldam-G0507;0;;948.0;51.0;591.0;684.0;536.0;22.0;17.0;144.0;15.0;3.0;1.0;2.0;;230.0
Duiven-G0226;0;;186.0;1959.0;47.0;38.0;2.0;2.0;31.0;3.0;;4.0;;;;106.0
Duivendijke-G1050;0;;76.0;6.0;119.0;27.0;29.0;1.0;;9.0;4.0;;;2.0;;18.0
Dussen-G0769;0;;143.0;1227.0;310.0;209.0;15.0;5.0;34.0;110.0;4.0;6.0;1.0;;;166.0
Dwingeloo-G0112;0;;1039.0;9.0;260.0;101.0;416.0;17.0;;;;8.0;2.0;2.0;;77.0
Echt-G0902;0;;382.0;5381.0;29.0;13.0;15.0;29.0;224.0;7.0;3.0;;10.0;4.0;;381.0
Echteld-G0227;0;;967.0;39.0;301.0;187.0;140.0;9.0;1.0;307.0;1.0;4.0;;;;158.0
