RegioNaam;@invalid;@blank;PvdA;CDA;VVD;D66;Algemeen Ouderen Verbond (AOV);GL;Centrumdemocraten;Reformatorische Politieke Federatie (RPF);SGP;Gereformeerd Politiek Verbond (GPV);SP;Ouderen Unie 55+;Centrumpartij;Natuurwetpartij;Vrije Indische Partij;DG;Nieuwe Communistische Partij;Solidariteit Boerenpartij;Partij voor Milieu en Recht;Solidair '93;Pacifistisch Socialistische Partij '92;De Nieuwe Partij;Algemeen Democratische Partij;Patriottisch Democratisch Appèl;Socialistische Arbeiderspartij;Libertarische Partij;@abs
Teteringen-G0854;;7;540;1124;923;707;173;89;68;6;5;11;35;37;6;11;7;4;1;1;3;0.0;3;6;0.0;0.0;2;0;560.0
Texel-G0448;;14;2120;2292;2104;1385;249;443;83;106;55;46;35;52;9;47;5;12;15;7;7;2.0;6;6;14.0;4.0;2;0;786.0
Tholen-G0716;;0;2386;1868;1784;1105;232;122;246;616;2615;155;106;37;53;7;6;9;5;16;10;;11;9;2.0;;3;5;3203.0
Thorn-G0977;;18;491;554;218;184;91;39;38;3;2;7;4;9;6;7;0;1;0;0;2;0.0;0;0;5.0;;0;0;423.0
Tiel-G0281;;34;5040;2889;4022;3164;456;631;579;149;142;128;152;181;109;40;45;10;4;19;9;;8;20;8.0;;10;10;6170.0
Tilburg-G0855;;334;20377;18681;12718;15627;6446;4754;2524;232;203;221;3205;1127;580;307;247;131;73;104;108;66.0;102;117;32.0;56.0;62;56;35846.0
Tubbergen-G0183;;57;1372;7831;1428;955;186;106;264;28;18;41;31;89;22;11;1;4;2;69;7;2.0;6;1;2.0;;0;0;1716.0
Tytsjerksteradiel-G0737;;60;5360;6600;2747;2316;295;415;185;680;145;534;98;65;41;32;8;17;31;35;15;6.0;14;12;5.0;;3;1;3364.0
Ubbergen-G0282;;14;1625;1889;1076;951;128;277;65;15;6;13;34;41;7;27;7;16;1;3;8;;5;15;8.0;;0;4;1270.0
Uden-G0856;;30;3611;6311;4367;3114;851;310;334;52;25;56;1646;142;51;56;54;26;7;18;16;;25;17;15.0;6.0;12;4;6467.0
Udenhout-G0857;;13;1010;1953;927;745;193;109;98;4;7;2;21;20;9;10;1;0;3;5;7;2.0;0;2;0.0;3.0;0;2;1573.0
Uitgeest-G0450;;9;1387;1413;1534;1326;241;219;87;19;8;20;33;79;6;21;11;11;8;3;6;8.0;5;5;5.0;6.0;1;2;1140.0
Uithoorn-G0451;;14;2691;3316;5138;2512;628;392;206;120;23;47;77;149;41;40;27;33;9;12;22;4.0;5;13;1.0;19.0;11;4;3091.0
Urk-G0184;;7;51;2289;146;26;50;9;64;1441;2489;456;2;9;6;0;1;0;5;2;2;3.0;1;1;;1.0;2;0;1204.0
Utrecht-G0344;;0;35357;17335;21143;26683;4554;14126;5714;1014;511;1056;3009;1006;814;425;360;309;154;52;77;108.0;147;141;26.0;106.0;78;36;39602.0
Vaals-G0981;;17;1509;1381;644;615;289;121;91;20;9;37;62;37;9;26;4;15;9;5;4;1.0;10;0;1.0;;4;1;1358.0
Valburg-G0283;;18;1451;2385;1468;1338;182;201;124;123;375;78;25;37;10;20;4;12;2;9;18;2.0;6;4;53.0;;4;0;1851.0
Valkenburg (ZH)-G0619;;6;228;743;407;207;47;31;23;121;38;133;17;24;4;5;0;2;0;4;3;0.0;0;0;0.0;;0;1;389.0
Valkenburg aan de Geul-G0994;;56;2473;3593;1897;1475;666;242;307;32;6;62;166;109;21;101;9;12;1;8;17;14.0;6;3;11.0;;2;6;2832.0
Valkenisse-G0720;;16;593;1175;952;566;138;90;60;109;166;48;8;30;11;13;3;4;1;2;7;;2;4;1.0;;2;0;743.0
Valkenswaard-G0858;;22;3958;4832;3467;2975;1533;345;429;64;31;50;290;93;55;35;26;24;5;10;17;;12;13;2.0;6.0;11;6;5183.0
Veendam-G0047;;21;7320;2154;2593;2388;534;314;367;252;14;217;171;61;54;22;16;28;49;13;12;13.0;16;10;7.0;;6;6;4882.0
Veenendaal-G0345;;77;4422;7574;5674;3691;613;632;613;2980;2384;861;130;206;69;29;46;21;6;10;17;7.0;23;15;8.0;13.0;5;1;7044.0
Veere-G0717;;11;375;1132;641;436;86;90;43;135;223;160;9;17;3;4;1;0;4;4;2;;1;3;5.0;;0;1;399.0
Veghel-G0860;;57;3517;7130;3606;2824;955;328;420;33;19;34;375;163;47;64;87;15;4;18;27;;4;17;107.0;4.0;4;7;4702.0
Veldhoven-G0861;;42;4336;6318;4712;4243;1830;509;609;143;45;77;507;166;41;61;32;10;10;13;39;;9;11;5.0;11.0;9;7;5985.0
Velsen-G0453;;61;9513;6524;9296;6340;2171;1127;723;553;109;380;243;564;152;110;49;72;72;26;35;29.0;40;17;5.0;55.0;18;12;10751.0
Venhuizen-G0454;;0;860;1240;1415;640;161;128;81;17;0;18;20;34;8;13;9;13;5;6;4;2.0;0;4;2.0;4.0;1;2;767.0
Venlo-G0983;;84;6619;9876;5856;4901;1300;1242;1005;89;40;120;449;714;86;102;131;52;28;7;31;23.0;18;18;6.0;;4;3;14957.0
Venray-G0984;;41;3949;6829;2718;2948;679;470;305;27;20;44;204;167;34;66;47;24;7;28;15;14.0;22;9;7.0;;8;5;7253.0
Vessem, Wintelre en Knegsel-G0862;;8;392;1579;547;386;113;60;63;1;7;3;21;8;6;1;0;1;1;10;1;;1;1;1.0;1.0;1;0;677.0
Vianen-G0620;;33;2535;2531;2520;2028;307;267;287;243;442;57;89;77;41;29;19;14;5;4;7;4.0;2;8;4.0;13.0;5;6;2528.0
Vierlingsbeek-G0863;;16;935;1848;696;673;138;121;96;7;6;5;19;19;7;5;0;1;1;11;1;;1;0;4.0;0.0;1;2;1005.0
Vlaardingen-G0622;;96;11337;6748;8413;6472;1872;1202;1511;876;910;456;2092;406;194;91;87;69;24;17;56;103.0;53;23;14.0;64.0;12;13;13668.0
Vlagtwedde-G0048;;16;3638;2293;1357;878;287;170;150;290;9;70;63;49;24;9;5;19;27;18;2;6.0;4;11;20.0;;0;0;3255.0
Vledder-G0132;;3;928;447;534;326;55;60;25;30;3;18;3;14;1;6;1;1;4;5;3;2.0;3;2;2.0;;0;1;567.0
Vleuten-De Meern-G0347;;20;1507;3444;3161;1607;378;228;262;104;84;115;56;92;32;16;6;13;7;6;7;3.0;4;5;4.0;8.0;2;2;1985.0
Vlieland-G0096;;8;269;130;356;168;32;49;9;2;1;5;8;5;0;1;0;1;0;0;0;1.0;0;0;0.0;;0;0;
Vlijmen-G0864;;27;1947;2769;1870;1644;572;160;351;25;4;21;161;112;18;27;14;5;3;18;12;;3;3;2.0;4.0;3;3;2357.0
Vlissingen-G0718;;92;6788;3961;4709;4196;1316;760;1007;504;511;235;267;289;118;89;101;22;22;20;29;;15;16;12.0;;7;6;8344.0
Vlist-G0623;;13;1115;1593;1455;786;111;88;188;227;521;59;53;24;19;4;1;7;3;6;3;2.0;1;4;0.0;;0;0;967.0
Voerendaal-G0986;;13;1727;2911;1208;1080;363;189;155;27;10;42;131;85;19;49;17;7;2;5;7;6.0;4;13;2.0;;5;2;2167.0
Voorburg-G0624;;64;4429;5051;8584;4323;1001;748;722;224;107;270;193;357;86;74;94;43;7;3;19;40.0;11;16;5.0;;7;9;5268.0
Voorhout-G0625;;8;893;2118;2074;1133;148;174;79;31;11;33;21;45;18;12;6;8;3;4;8;3.0;4;3;3.0;;1;3;1046.0
Voorschoten-G0626;;25;2109;3178;4703;2535;384;403;203;108;71;116;67;93;25;52;44;10;3;5;11;4.0;3;7;0.0;;2;5;2428.0
Voorst-G0285;;58;3407;4758;3037;2154;306;295;177;95;242;55;43;59;26;26;21;7;7;15;9;4.0;6;7;7.0;;5;8;2967.0
Vorden-G0286;;11;1313;1799;1526;733;93;87;31;43;19;37;14;14;3;7;4;13;1;11;2;1.0;1;3;0.0;;1;1;868.0
Vries-G0133;;17;1948;776;1994;1005;115;160;84;59;4;106;19;22;10;12;5;4;4;19;1;4.0;1;3;19.0;;4;2;1083.0
Vriezenveen-G0186;;29;2782;3942;1257;958;140;79;154;1308;459;117;37;82;23;14;4;2;2;18;7;6.0;0;5;2.0;;5;1;2408.0
Vught-G0865;;38;3060;3984;3112;2450;720;419;275;32;28;58;161;224;43;28;28;25;3;12;10;;17;22;1.0;8.0;8;3;4106.0
Waalre-G0866;;18;1608;2783;2716;1632;614;210;150;13;12;34;63;42;18;32;7;17;2;9;7;;2;12;1.0;1.0;6;4;1877.0
Waalwijk-G0867;;53;3416;4117;3236;2810;1209;470;579;179;60;57;221;302;52;59;68;14;9;9;37;9.0;11;11;8.0;13.0;4;3;4892.0
Waddinxveen-G0627;;33;2657;3390;3630;2279;249;231;276;780;996;436;77;447;42;29;22;15;3;20;14;4.0;8;6;4.0;;7;5;2970.0
Wageningen-G0289;;36;5885;3552;3144;4090;432;2427;169;367;306;229;150;75;15;77;51;126;12;18;13;3.0;26;18;10.0;;36;5;4804.0
Warmond-G0628;;4;474;1066;881;493;79;67;41;16;16;14;19;25;12;10;0;5;4;3;2;3.0;1;2;1.0;;1;1;722.0
Warnsveld-G0291;;10;1483;1097;1211;1096;157;181;42;81;9;54;31;28;8;9;5;13;2;0;1;2.0;2;9;1.0;;2;1;1092.0
Waspik-G0869;;6;739;908;491;400;145;65;111;22;19;15;34;65;5;4;0;4;0;7;8;2.0;0;0;0.0;0.0;4;1;638.0
Wassenaar-G0629;;20;1617;3794;7193;1775;391;211;226;91;47;71;28;85;33;58;19;28;4;7;11;5.0;14;8;5.0;;2;5;2767.0
Wateringen-G0630;;9;997;3052;2720;1155;262;101;310;57;7;58;28;84;37;23;12;10;7;5;15;9.0;4;3;1.0;5.0;2;0;2054.0
Waterland-G0852;;25;2404;2339;3477;1797;486;362;221;67;14;55;49;69;32;31;6;14;10;11;11;3.0;12;7;6.0;22.0;5;3;2072.0
Weerselo-G0188;;19;672;3664;785;457;92;54;137;7;1;24;13;50;17;7;0;6;3;35;5;1.0;1;1;1.0;;0;0;656.0
Weert-G0988;;84;5642;6009;4620;3387;1445;420;912;43;23;81;426;200;60;89;86;16;8;14;30;17.0;8;14;20.0;;14;2;7353.0
Weesp-G0457;;36;2386;1770;2723;2154;542;377;350;95;33;79;66;125;28;42;49;20;16;4;22;7.0;6;6;3.0;11.0;8;7;2487.0
Wehl-G0292;;12;1021;1652;431;502;79;62;90;6;3;8;8;11;7;2;2;4;1;10;3;2.0;1;4;0.0;;0;3;1230.0
Werkendam-G0870;;28;2077;3329;1734;992;232;132;166;645;1341;187;30;57;42;11;2;4;0;9;9;2.0;8;5;3.0;4.0;1;2;2666.0
Wervershoof-G0459;;20;716;1906;1028;519;162;118;73;16;1;15;11;67;4;23;3;8;0;4;4;2.0;8;1;20.0;5.0;2;0;864.0
West Maas en Waal-G0668;;50;2796;3878;2025;1397;348;165;229;23;14;22;69;51;28;17;6;2;2;11;10;;8;3;5.0;;3;1;2389.0
Westerbork-G0134;;12;1803;1070;1208;642;117;124;81;59;53;59;21;16;15;21;1;8;5;30;1;1.0;0;7;69.0;;2;0;620.0
Westerhoven-G0871;;0;235;500;170;147;65;18;21;2;1;1;2;13;6;1;0;1;0;6;1;;1;1;0.0;0.0;0;0;175.0
Wester-Koggenland-G0558;;31;1377;2736;2094;1105;218;190;140;19;6;12;38;51;11;42;3;12;5;6;12;9.0;4;4;0.0;8.0;2;2;1478.0
Westerschouwen-G0725;;13;989;929;1336;544;177;85;104;149;102;44;14;24;11;16;3;0;2;4;1;;2;3;2.0;;0;0;242.0
Westervoort-G0293;;18;2338;1741;1597;1823;267;300;147;66;4;96;76;37;23;20;50;14;6;2;6;4.0;9;5;1.0;;2;3;2292.0
Westkapelle-G0726;;4;494;408;359;165;37;22;36;47;221;19;3;6;8;1;1;2;0;3;1;;0;2;0.0;;0;2;219.0
Weststellingwerf-G0098;;53;5451;3242;2810;1699;449;412;243;182;38;97;79;82;90;36;2;28;30;45;12;14.0;13;10;6.0;;10;10;3859.0
Westvoorne-G0614;;31;1825;1398;3415;1144;306;140;232;68;51;29;58;98;26;17;2;12;8;7;11;4.0;4;3;3.0;1.0;2;1;1870.0
Wierden-G0189;;27;2028;6529;2307;1408;228;176;200;1378;380;97;45;133;25;11;20;5;4;18;9;7.0;4;3;7.0;;0;6;1819.0
Wieringen-G0462;;22;1459;630;1471;774;251;126;118;22;6;20;22;57;28;22;3;12;11;6;4;5.0;4;3;2.0;4.0;0;3;1417.0
Wieringermeer-G0463;;13;1508;1991;1724;1021;310;133;149;122;35;89;27;105;26;32;4;12;0;8;10;10.0;2;2;23.0;7.0;0;0;1565.0
Wijchen-G0296;;30;5012;6031;3666;3952;730;469;469;58;19;48;241;165;34;67;34;14;6;12;23;;5;9;8.0;;7;5;5449.0
Wijhe-G0190;;10;1407;1754;670;542;73;74;43;75;18;33;12;19;1;7;4;4;4;9;3;1.0;2;1;5.0;;2;0;845.0
Wijk bij Duurstede-G0352;;34;2023;1690;2365;2007;201;481;216;105;45;64;52;61;25;27;19;8;3;2;7;6.0;2;6;1.0;7.0;3;0;2451.0
Willemstad-G0872;;15;460;566;550;313;33;43;34;51;10;17;20;14;8;4;1;3;3;2;1;2.0;0;0;0.0;1.0;0;0;422.0
Winschoten-G0052;;50;5221;1585;1493;1272;432;524;205;207;10;144;106;87;27;23;1;15;200;3;2;7.0;8;7;9.0;;3;0;3383.0
Winsum-G0053;;20;2599;2152;1097;1109;111;393;49;86;17;536;51;18;5;17;2;21;8;13;6;1.0;10;4;7.0;;2;0;1327.0
Winterswijk-G0294;;43;5722;3629;3897;2328;380;413;189;147;20;98;107;126;12;50;17;31;10;15;12;4.0;9;12;6.0;;2;4;4118.0
Wisch-G0295;;34;3079;3603;2248;1641;325;209;138;133;19;42;52;55;23;21;15;14;6;16;13;3.0;6;3;5.0;;6;1;3407.0
Wissenkerke-G0727;;6;424;664;441;208;103;38;40;51;107;34;6;14;3;3;0;4;2;4;0;;0;0;0.0;;0;0;414.0
Wittem-G0990;;32;1281;1856;701;727;256;155;78;13;16;38;55;39;7;37;3;2;5;5;5;6.0;3;5;0.0;;1;0;638.0
Woensdrecht-G0873;;24;1423;1253;1307;932;370;83;260;25;8;17;32;61;35;10;30;6;2;18;10;3.0;4;5;3.0;6.0;3;2;1865.0
Woerden-G0632;;1180;3329;6288;4960;3540;524;531;479;876;804;197;217;91;42;50;20;15;11;12;11;2.0;8;7;2.0;17.0;5;1;2865.0
Wognum-G0466;;0;605;1738;1066;645;116;103;61;13;1;13;13;16;6;7;7;19;1;3;3;4.0;3;2;4.0;2.0;0;3;924.0
Wormerland-G0880;;39;2369;1668;2061;1661;352;533;152;88;24;60;42;87;19;28;34;19;12;12;15;4.0;11;4;2.0;14.0;4;1;1916.0
Woudenberg-G0351;;6;874;1631;1491;766;142;100;95;598;651;122;32;30;10;6;6;7;4;6;2;2.0;2;4;0.0;7.0;1;0;1026.0
Woudrichem-G0874;;9;1695;2728;1350;907;162;122;108;599;413;363;38;20;26;11;2;6;3;5;6;0.0;6;4;0.0;6.0;3;2;1684.0
Wouw-G0875;;28;1038;1470;1101;692;235;75;221;4;2;6;21;30;19;8;1;11;2;3;5;2.0;0;4;1.0;0.0;0;2;1534.0
Wûnseradiel-G0710;;29;1828;2569;1005;704;161;212;66;87;23;106;37;25;19;25;6;13;13;8;6;8.0;9;1;1.0;;1;1;1398.0
Wymbritseradiel-G0683;;9;1798;4035;1359;1045;129;209;45;237;27;106;13;23;12;13;2;13;5;10;5;5.0;12;3;4.0;;1;1;1717.0
Zaanstad-G0479;;203;21438;9848;16072;13435;3510;4172;2030;786;239;452;669;615;318;323;167;187;273;45;99;184.0;202;33;34.0;152.0;33;30;22578.0
Zaltbommel-G0297;;11;1801;1115;1225;1059;193;251;122;77;110;84;45;34;25;8;3;8;3;2;4;;5;1;3.0;;3;1;1353.0
Zandvoort-G0473;;27;1986;1257;3537;1542;706;199;252;41;12;22;46;176;18;26;14;20;9;4;14;8.0;3;1;1.0;10.0;0;1;2875.0
Zederik-G0707;;30;1492;2693;1418;743;123;87;143;699;1040;142;30;12;22;6;6;9;2;11;1;3.0;5;6;2.0;0.0;0;2;1076.0
Zeevang-G0478;;0;844;403;1473;674;140;126;72;8;4;5;24;25;15;16;0;7;2;5;5;2.0;2;1;1.0;3.0;0;0;698.0
Zeewolde-G0050;;17;897;1426;2493;1068;197;111;91;259;79;248;25;43;14;18;2;15;3;5;8;1.0;3;1;;9.0;0;0;1107.0
Zeist-G0355;;56;6774;6479;9291;5668;1077;1487;738;834;936;653;207;316;157;88;77;66;19;16;38;14.0;35;164;12.0;30.0;11;11;9718.0
Zelhem-G0298;;24;1975;2076;1316;911;149;99;92;126;107;38;17;22;12;9;0;2;2;27;4;1.0;2;3;3.0;;1;1;1789.0
Zevenaar-G0299;;21;3782;4276;2761;3446;616;431;262;93;14;57;96;160;28;53;60;4;4;8;20;5.0;5;7;2.0;;6;0;4329.0
Zevenbergen-G0878;;34;2103;2281;2151;1502;389;185;286;42;24;112;55;75;46;12;16;20;5;8;6;7.0;4;7;5.0;4.0;3;1;3006.0
Zevenhuizen-Moerkapelle-G1666;;15;1108;1285;1592;792;117;92;159;320;810;63;29;25;12;12;8;5;2;9;9;7.0;0;2;2.0;;0;0;944.0
Zierikzee-G0732;;16;1778;1236;1205;1067;126;136;111;310;175;66;27;31;16;21;3;7;4;5;7;;6;2;4.0;;1;4;1506.0
Zijpe-G0476;;14;1631;1562;1876;965;262;156;113;47;11;28;52;43;18;28;3;10;10;13;13;8.0;6;5;1.0;4.0;0;5;1513.0
Zoetermeer-G0637;;70;11916;8417;15251;12209;1589;1592;1094;1070;689;579;3264;428;137;242;319;79;28;12;37;146.0;52;23;9.0;;18;9;14883.0
Zoeterwoude-G0638;;6;725;1629;1295;937;137;181;93;18;25;27;37;30;9;6;3;9;0;7;6;3.0;7;1;3.0;;1;0;1084.0
Zuidhorn-G0056;;25;2381;3193;1444;1267;155;265;77;189;37;1739;55;45;12;23;3;24;8;13;3;3.0;9;19;13.0;;2;0;1538.0
Zuidlaren-G0136;;20;1968;1252;1775;1006;177;223;75;91;12;410;41;41;4;19;5;8;12;10;3;4.0;3;0;9.0;;0;2;1374.0
Zuidwolde-G0137;;17;1419;1799;1374;721;107;95;90;92;35;188;15;32;12;15;4;2;1;37;4;0.0;3;2;237.0;;0;3;1118.0
Zundert-G0879;;40;1546;2525;1579;1054;268;163;239;8;12;8;29;36;20;8;5;13;3;26;7;2.0;6;5;5.0;3.0;1;8;3044.0
Zutphen-G0301;;54;6302;2826;2929;3492;687;1089;262;163;27;186;405;117;41;111;26;30;18;19;17;6.0;11;60;3.0;;15;7;4975.0
Zwartsluis-G0192;;5;662;1002;371;236;61;25;23;190;62;189;9;11;4;2;0;2;5;3;1;0.0;4;1;3.0;;1;1;457.0
Zweeloo-G0138;;5;665;425;596;279;38;49;13;23;4;19;6;10;1;2;2;3;1;3;2;3.0;0;0;8.0;;0;0;121.0
Zwijndrecht-G0642;;46;5628;5130;5505;4395;784;420;795;773;966;778;111;189;112;59;66;21;15;7;23;18.0;16;14;4.0;25.0;5;9;6007.0
Zwolle-G0193;;99;16348;12551;10015;10130;1287;2778;547;2382;330;2552;347;495;486;155;103;236;38;42;46;34.0;43;35;18.0;;19;11;14953.0
