RegioNaam;@invalid;@blank;VVD;PvdA;CDA;PVV;SP;D66;GL;CU;50+;SGP;PvdD;CU-SGP;FNP;Ouderenpartij Noord-Holland;PARTIJ VOOR ZEELAND (PVZ);Partij voor het Noorden;Partij Nieuw Limburg (PNL);Platform Lokale Partijen;Unie van Democraten (De Unie);Provinciaal Belang Fryslân;Partij voor Mens en Spirit (MenS);Onafhankelijke Partij Drenthe O.P.D.;Brabant Nu;Platform Lokale Partijen Utrecht (PLU);DG;Mooi Utrecht;Solidara;DPS/Groep van Bergen/De Groenen;Leefbaar Almere;Gelderse Centrumdemocraten (Gelderse C.D.);Verenigd Links-Feriene Lofts;@abs
Gennep-G0907;5;4;1032;827;1291;773;1432;982;197;31.0;122;;81.0;;;;;;61.0;;;;;;;;;;;;;;;6607
Giessenlanden-G0689;5;5;1752;904;1455;780;525;292;191;740.0;135;466.0;80.0;;;;;;;17.0;6.0;;;;;;;;;;;;;3577
Gilze en Rijen-G0784;17;9;2087;1578;1825;1602;1257;788;502;;411;;159.0;47.0;;;;;;;;;;;15.0;;;;;;;;;9124
Goedereede-G0511;7;4;1024;434;923;711;403;115;70;336.0;115;1646.0;56.0;;;;;;;66.0;3.0;;;;;;;;;;;;;2873
Goes-G0664;22;7;3018;2906;2410;1631;1713;930;933;891.0;343;1388.0;297.0;;;;412.0;;;;;;;;;;;;;;;;;11777
Goirle-G0785;4;11;2132;1448;1445;1141;1420;856;698;;358;;206.0;44.0;;;;;;;;;;;21.0;;;;;;;;;8001
Gorinchem-G0512;39;17;2922;2626;1403;1765;1695;1103;661;756.0;280;336.0;273.0;;;;;;;40.0;31.0;;;;;;;;;;;;;11698
Gouda-G0513;93;46;5114;5949;3109;4463;3024;2742;2402;1928.0;670;1618.0;739.0;;;;;;;150.0;25.0;;;;;;;;;;;;;20481
Graafstroom-G0693;6;6;618;299;1373;350;185;93;94;715.0;61;1015.0;50.0;;;;;;;3.0;3.0;;;;;;;;;;;;;2132
Graft-De Rijp-G0365;5;1;1008;516;472;434;300;243;145;;92;;72.0;9.0;;58.0;;;;;;;;;;;8.0;;;;;;;1572
Grave-G0786;8;2;1134;702;990;736;906;329;263;;157;;145.0;31.0;;;;;;;;;;;9.0;;;;;;;;;4133
Groesbeek-G0241;14;5;1189;1528;1545;1103;1021;530;597;59.0;188;10.0;196.0;;;;;;;;;;25.0;;;;;;;22.0;;;;7026
Groningen-G0014;86;145;11167;21369;5544;4746;12229;12404;9928;4765.0;986;;2271.0;;;;;2977.0;;;;;;;;;;;;;;;;63017
Grootegast-G0015;6;4;635;758;1684;448;412;164;168;769.0;64;;76.0;;;;;96.0;;;;;;;;;;;;;;;;3828
Gulpen-Wittem-G1729;10;13;806;872;1757;1326;599;296;497;46.0;339;;145.0;;;;;;91.0;;;;;;;;;;;;;;;4913
Haaksbergen-G0158;16;9;2052;1703;2781;1159;823;750;353;96.0;995;12.0;111.0;;;;;;;;;;;;;;;;8.0;;;;;7899
Haaren-G0788;5;9;1302;557;1568;626;573;410;363;;185;;155.0;30.0;;;;;;;;;;;10.0;;;;;;;;;4695
Haarlem-G0392;141;79;11669;14390;4354;6286;7275;9419;7035;;980;;2015.0;1047.0;;1368.0;;;;;;;;;;;153.0;;;;;;;47230
Haarlemmerliede en Spaarnwoude-G0393;4;2;730;354;364;348;166;281;156;;59;;54.0;30.0;;54.0;;;;;;;;;;;4.0;;;;;;;1527
Haarlemmermeer-G0394;104;53;18012;8423;6663;9234;3633;5463;2700;;947;;1264.0;1804.0;;876.0;;;;;;;;;;;65.0;;;;;;;44680
Halderberge-G1655;21;7;2431;1410;1983;2141;1161;694;410;;621;;181.0;75.0;;;;;;;;;;;29.0;;;;;;;;;11566
Hardenberg-G0160;33;16;3734;3683;7524;2330;1723;951;796;4185.0;522;494.0;257.0;;;;;;;;;;;;;;;;13.0;;;;;18388
Harderwijk-G0243;52;15;4176;2463;3860;2225;1273;1220;898;2355.0;296;543.0;321.0;;;;;;;;;;42.0;;;;;;;25.0;;16.0;;13881
Hardinxveld-Giessendam-G0523;9;7;997;890;1367;964;377;145;128;1556.0;131;1918.0;57.0;;;;;;;13.0;5.0;;;;;;;;;;;;;4505
Haren-G0017;11;5;2441;1988;1355;583;928;1199;1022;676.0;102;;214.0;;;;;197.0;;;;;;;;;;;;;;;;3600
Harenkarspel-G0395;9;2;1672;960;1305;852;557;481;355;;122;;163.0;54.0;;175.0;;;;;;;;;;;10.0;;;;;;;5204
Harlingen-G0072;10;8;1198;1823;827;858;943;243;403;327.0;238;;;;252.0;;;31.0;;;;44.0;;;;;;;;;;;4.0;5024
Hattem-G0244;3;3;993;1171;1001;355;312;364;240;1187.0;105;146.0;62.0;;;;;;;;;;14.0;;;;;;;4.0;;3.0;;3039
Heemskerk-G0396;32;22;3327;2949;2046;2263;1655;1427;1221;;351;;374.0;245.0;;448.0;;;;;;;;;;;31.0;;;;;;;13488
Heemstede-G0397;21;9;4926;1877;1590;1011;770;1965;1006;;205;;272.0;152.0;;163.0;;;;;;;;;;;30.0;;;;;;;5944
Heerde-G0246;17;7;1440;1524;1996;767;439;369;311;1387.0;160;311.0;141.0;;;;;;;;;;15.0;;;;;;;5.0;;8.0;;5384
Heerenveen-G0074;42;28;3110;5940;2327;1581;1711;1245;1181;903.0;242;;;;1464.0;;;109.0;;;;204.0;;;;;;;;;;;28.0;13570
Heerhugowaard-G0398;48;23;4909;3541;2477;2807;2236;1726;1067;;331;;400.0;436.0;;543.0;;;;;;;;;;;23.0;;;;;;;17828
Heerlen-G0917;81;36;3843;5180;4159;6829;6671;1461;1463;309.0;1340;;620.0;;;;;;448.0;;;;;;;;;;;;;;;38387
Heeze-Leende-G1658;13;8;1713;741;1659;757;1016;549;367;;154;;109.0;43.0;;;;;;;;;;;16.0;;;;;;;;;4774
Heiloo-G0399;9;11;3250;1889;1460;1050;858;1347;866;;231;;321.0;125.0;;232.0;;;;;;;;;;;16.0;;;;;;;5746
Hellendoorn-G0163;23;6;2291;2091;5574;1493;1269;834;661;1162.0;425;108.0;193.0;;;;;;;;;;;;;;;;7.0;;;;;11405
Hellevoetsluis-G0530;33;24;3605;2367;945;3002;1765;803;513;311.0;564;69.0;417.0;;;;;;;235.0;19.0;;;;;;;;;;;;;15790
Helmond-G0794;57;33;5780;4225;4023;5036;4815;1908;1705;;994;;467.0;194.0;;;;;;;;;;;210.0;;;;;;;;;34681
Hendrik-Ido-Ambacht-G0531;20;13;2317;1319;1313;1470;789;554;276;775.0;328;1894.0;197.0;;;;;;;28.0;4.0;;;;;;;;;;;;;9137
Hengelo-G0164;61;25;5454;6909;5252;3461;5153;3148;2189;908.0;1120;83.0;525.0;;;;;;;;;;;;;;;;68.0;;;;;26868
Het Bildt-G0063;8;3;606;1096;1070;402;442;109;200;203.0;46;;;;529.0;;;17.0;;;;57.0;;;;;;;;;;;4.0;3244
Heumen-G0252;11;6;1719;1242;1422;646;1050;865;686;71.0;146;1.0;144.0;;;;;;;;;;22.0;;;;;;;20.0;;;;4440
Heusden-G0797;28;9;3914;1984;3114;2529;2010;1275;830;;599;;306.0;199.0;;;;;;;;;;;37.0;;;;;;;;;16113
Hillegom-G0534;19;6;2676;1184;1381;1377;769;788;490;123.0;188;67.0;227.0;;;;;;;48.0;2.0;;;;;;;;;;;;;6317
Hilvarenbeek-G0798;9;7;1446;754;1691;748;817;492;369;;216;;155.0;37.0;;;;;;;;;;;8.0;;;;;;;;;4795
Hilversum-G0402;81;21;9271;6346;3092;4084;4129;4861;2775;;1009;;913.0;1234.0;;359.0;;;;;;;;;;;46.0;;;;;;;25343
Hof van Twente-G1735;18;16;3847;3258;4861;1494;1248;1104;535;226.0;382;61.0;159.0;;;;;;;;;;;;;;;;11.0;;;;;10168
Hoogeveen-G0118;29;17;3343;4705;5822;2715;2256;865;755;2041.0;361;403.0;;;;;;;;;;;;150.0;;;;;18.0;;;;;18860
Hoogezand-Sappemeer-G0018;10;12;1984;3988;1094;1434;1987;758;786;751.0;380;;317.0;;;;;378.0;;;;;;;;;;;;;;;;13187
Hoorn-G0405;38;40;6422;5833;2464;3634;3562;2648;1685;;590;;751.0;387.0;;809.0;;;;;;;;;;;42.0;;;;;;;24108
Horst aan de Maas-G1507;28;29;2943;1410;5236;2776;2990;651;734;88.0;447;;160.0;;;;;;74.0;;;;;;;;;;;;;;;14097
Houten-G0321;19;13;5019;2795;2775;2353;1854;2375;1889;1375.0;450;631.0;412.0;;;;;;;;;;;;;79.0;;38.0;;;;;;12720
Huizen-G0406;23;13;5477;2624;2525;2185;1281;1737;1124;;331;;388.0;1662.0;;299.0;;;;;;;;;;;21.0;;;;;;;12138
Hulst-G0677;15;12;1856;1814;2173;1719;1185;306;264;63.0;255;16.0;184.0;;;;778.0;;;;;;;;;;;;;;;;;9679
IJsselstein-G0353;26;15;3572;2109;1702;1986;1299;1241;777;343.0;382;190.0;234.0;;;;;;;;;;;;;55.0;;28.0;;;;;;11151
Kaag en Braassem-G1884;16;11;3474;1149;2673;1728;954;801;561;136.0;275;65.0;200.0;;;;;;;40.0;1.0;;;;;;;;;;;;;7625
Kampen-G0166;32;13;2305;2890;5122;1947;2166;920;1181;3623.0;405;2820.0;261.0;;;;;;;;;;;;;;;;16.0;;;;;13484
