RegioNaam;@invalid;@blank;VVD;CDA;D66;PVV;SP;PvdA;GL;CU;PvdD;50+;SGP;CU-SGP;FNP;Ouderenpartij Noord-Holland;Groninger Belang;Lokaal Brabant;Hart voor Holland;PPNL;Volkspartij Limburg;LOKAAL-LIMBURG;LOKAAL OVERIJSSEL;STERK LOKAAL;Nederland Lokaal;Lokaal Belang Gelderland / 1 Achterhoek;Lokale Partijen Gelderland;Verenigde Lokale Partijen Zuid-Holland;Zeeland Lokaal;PARTIJ VOOR ZEELAND (PVZ);Libertarische Partij (LP);Vrouwen Partij (VP);Partij voor het Noorden;Multicultureel Plus Partij (M+);Provincie@Inwonersbelangen;Senioren Belang Noord;JEZUS LEEFT;Partij voor Mens en Spirit (MenS);Seniorenpartij Groningen;Provinciaal Belang Zeeland;PSP'92 Gelderland;Groningen Centraal!;Vrijzinnige Partij;Grunnegers veur Stad en Ommelaand;Vrede en Recht;Verenigde Communistische Partij;Partij voor Leefbaarheid en Democratie;Friese Koers;Ouderen Politiek Actief (OPA);PLATFORM VRIJE POLITIEK;StemNL;Gelderse Centrumdemocraten (Gelderse C.D.);Red het Noorden;Verenigd Links-Feriene Lofts;Vrij Mandaat;@abs
Edam-Volendam-G0385;33;34;1368;3640;558;2816;542;506;474;;281.0;247;;87.0;;92.0;;;70.0;50.0;;;;;;;;;;;;29.0;;7.0;;;;;;;;;;;;;;;;;;;;;;11566
Ede-G0228;116;119;6326;6344;4475;4314;2567;2778;1869;6194.0;1219.0;1119;8381.0;;;;;;;;;;;;;431.0;165.0;;;;38.0;;;;;;;110.0;;;107.0;;24.0;;55.0;;;;;;;32.0;;;;37182
Eemnes-G0317;12;14;917;614;610;411;343;333;137;125.0;149.0;145;57.0;;;;;;;;;;;;;;;;;;3.0;;;;15.0;;4.0;;;;;;11.0;;;;;;;;;;;;;2796
Eemsmond-G1651;19;13;534;1073;363;534;1216;875;262;1014.0;205.0;118;;;;;1137.0;;;;;;;;;;;;;;;;86.0;;;;;19.0;27.0;;;83.0;;25.0;;13.0;;;;;;;8.0;;4.0;4799
Eersel-G0770;20;27;1340;1739;774;694;828;440;272;;182.0;252;;81.0;;;;114.0;;;;;;;;;;;;;8.0;;;;;;;;;;;;;;;;;;;11.0;2.0;;;;;7779
Eijsden-Margraten-G1903;33;32;1046;3479;1092;1283;1022;755;458;;273.0;259;;;;;;;;;53.0;116.0;;;;;;;;;;;;;;;;;;;;;;;;;12.0;;;;;;;;;10028
Eindhoven-G0772;200;281;9554;6764;9779;8010;11050;7345;4933;;2768.0;3563;;1397.0;;;;820.0;;;;;;;;;;;;;163.0;;;;;;;;;;;;;;;;;;;174.0;80.0;;;;;96766
Elburg-G0230;25;15;1073;1450;513;860;494;350;164;2231.0;139.0;211;1940.0;;;;;;;;;;;;;31.0;17.0;;;;13.0;;;;;;;11.0;;;10.0;;7.0;;26.0;;;;;;;2.0;;;;7596
Emmen-G0114;135;95;3481;6362;2917;5732;6072;5593;1185;1648.0;;1657;186.0;;;;;;;;;;;1351.0;;;;;;;;;;;;1207.0;;;;;;;;;;;;;;;;;;;;47117
Enkhuizen-G0388;26;23;1133;692;903;781;1098;703;222;;258.0;269;;338.0;;123.0;;;55.0;67.0;;;;;;;;;;;;51.0;;6.0;;;;;;;;;;;;;;;;;;;;;;7379
Enschede-G0153;130;172;6087;6263;7126;6183;7352;6251;3031;2603.0;1438.0;1563;313.0;;;;;;;;;;530.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70831
