RegioNaam;@invalid;@blank;KVP;PvdA;VVD;ARP;CHU;Communistische Partij van Nederland;SGP;Gereformeerd Politiek Verbond (GPV);Protestants Christelijke Groep;Pacifistisch-Socialistische Partij (PSP);Samenwerkende Christelijke Groepering;Boeren Partij;Wereldburgers;Lijst Voogd;@abs
Kerkwerve-G1095;5;0;0;73;51;145;76;0;42;3;0;0;0;0;0;0.0;23.0
Kerkwijk-G0257;54;0;43;466;57;583;462;0;696;0;0;0;0;0;0;0.0;227.0
Kessel-G0929;17;0;1222;30;0;0;0;2;0;0;0;0;4;0;0;0.0;38.0
Kesteren-G0258;66;0;19;777;208;573;174;27;914;5;0;0;0;21;0;0.0;174.0
Klaaswaal-G0539;17;0;10;480;204;182;232;9;157;0;0;0;0;0;0;0.0;60.0
Klimmen-G0930;30;0;1300;48;0;0;0;8;0;1;0;0;11;0;0;0.0;29.0
Kloetinge-G0680;26;0;52;342;166;129;394;4;60;4;0;0;0;0;0;0.0;71.0
Kloosterburen-G0021;22;0;553;279;125;260;7;2;0;6;0;0;0;0;0;0.0;33.0
Klundert-G0804;25;0;868;283;40;0;0;0;67;8;1473;0;0;0;0;0.0;114.0
Kockengen-G0324;5;0;300;34;36;172;150;1;138;2;0;0;0;0;0;0.0;37.0
Koedijk-G0410;21;0;418;448;184;39;37;55;1;0;0;17;0;0;0;0.0;156.0
Koewacht-G0681;62;0;1006;173;10;4;23;5;1;3;0;0;0;0;0;0.0;85.0
Kollumerland en Nieuwkruisland-G0079;53;0;11;768;297;2416;1505;21;104;56;0;0;0;0;0;0.0;316.0
Koog aan de Zaan-G0411;127;0;442;1613;701;325;123;695;42;14;0;236;0;0;0;0.0;239.0
Kortenhoef-G1097;29;0;319;315;151;135;290;18;66;11;0;20;0;0;0;0.0;82.0
Kortgene-G0682;36;0;9;881;255;243;505;6;151;3;0;0;0;0;0;0.0;232.0
Koudekerk aan den Rijn-G0540;19;0;112;164;46;334;337;6;26;1;0;0;0;0;0;0.0;38.0
Koudekerke-G1098;33;0;19;286;99;464;508;4;93;6;0;0;0;0;0;0.0;175.0
Krabbendijke-G0684;29;0;10;247;92;214;305;3;576;4;0;0;0;0;0;0.0;158.0
Krimpen aan de Lek-G0541;60;0;21;1067;209;348;155;62;211;3;0;0;0;0;0;13.0;128.0
Krimpen aan den IJssel-G0542;160;0;99;1996;339;389;571;178;974;14;0;0;0;0;0;12.0;376.0
Krommenie-G0413;108;0;1250;1463;382;339;93;957;17;69;0;143;0;0;0;0.0;158.0
Kruiningen-G0685;75;0;492;810;351;269;439;6;321;4;0;0;0;0;0;0.0;270.0
Kuinre-G0167;7;0;40;239;48;41;91;5;0;0;0;0;0;0;0;0.0;25.0
Kwadijk-G0414;4;0;10;164;56;11;11;6;0;0;0;2;0;0;0;0.0;15.0
Landsmeer-G0415;159;0;331;1451;452;450;326;714;31;11;0;87;0;0;0;0.0;148.0
Langbroek-G0325;8;0;155;137;19;208;187;5;131;1;0;0;0;0;0;0.0;55.0
Lange Ruige Weide-G1101;5;0;20;22;22;159;128;0;80;0;0;0;0;0;0;2.0;27.0
Langedijk-G0416;53;0;1493;1219;604;774;331;104;14;21;0;69;0;0;0;0.0;178.0
Langerak-G0543;11;0;7;118;60;168;38;3;108;21;0;0;0;0;0;0.0;38.0
Laren-G0417;156;0;3035;1138;1686;341;318;135;38;10;0;160;0;0;0;0.0;438.0
Laren (Gld.)-G0259;145;0;64;1046;1191;278;1002;20;16;2;0;0;0;0;0;0.0;342.0
Leek-G0022;117;0;24;1723;910;1209;413;58;0;313;0;0;0;0;0;0.0;257.0
Leende-G0805;16;0;1281;37;20;0;0;0;0;0;18;0;0;0;0;0.0;33.0
Leens-G0023;34;0;200;653;335;445;54;21;0;379;0;0;0;0;0;0.0;148.0
Leerbroek-G0544;6;0;0;30;24;173;69;1;156;3;0;0;0;0;0;0.0;64.0
Leerdam-G0545;139;0;305;2165;460;1235;801;163;627;162;0;0;0;0;0;0.0;373.0
Leersum-G0326;71;0;72;569;322;339;461;20;204;4;0;0;0;0;7;0.0;217.0
Leeuwarden-G0080;1121;0;4569;20636;5673;7164;4389;1359;143;289;0;0;0;0;0;0.0;2923.0
Leeuwarderadeel-G0081;52;0;18;1407;463;630;201;44;0;7;0;0;0;0;0;0.0;156.0
Leiden-G0546;1990;0;11411;19215;6289;3919;6634;3000;827;248;0;0;0;0;0;0.0;2742.0
Leiderdorp-G0547;66;0;513;658;343;836;584;28;72;7;0;0;0;0;0;0.0;98.0
Leidschendam-G0548;163;0;4139;1015;1039;509;731;51;60;14;0;0;0;0;0;0.0;492.0
Leimuiden-G0549;15;0;708;127;34;254;194;4;13;1;0;0;0;0;0;6.0;46.0
Lekkerkerk-G0550;74;0;35;1368;706;308;110;49;388;2;0;0;0;0;0;19.0;144.0
Lemsterland-G0082;116;0;253;1352;229;821;992;346;60;3;0;0;0;0;0;0.0;380.0
Leusden-G0327;33;0;606;296;198;196;403;3;125;28;0;0;0;0;7;0.0;158.0
Lexmond-G0551;10;0;1;247;97;313;187;6;176;1;0;0;0;0;0;0.0;75.0
Lichtenvoorde-G0260;38;0;4639;217;49;118;296;1;2;0;0;0;0;12;0;0.0;157.0
Liempde-G0806;8;0;1234;22;5;0;0;1;1;0;2;0;0;0;0;0.0;13.0
Lienden-G0261;66;0;30;1205;365;237;450;19;305;3;0;0;0;58;0;0.0;228.0
Lieshout-G0807;24;0;1642;45;28;0;0;4;0;0;6;0;0;0;0;0.0;70.0
Limbricht-G0931;35;0;1453;41;0;0;0;12;0;3;0;0;1;0;0;0.0;61.0
Limmen-G0418;20;0;1317;118;77;15;6;22;0;0;0;12;0;0;0;0.0;36.0
Linne-G0932;29;0;1215;44;0;0;0;0;0;0;0;0;8;0;0;0.0;60.0
Linschoten-G0328;8;0;338;91;118;163;221;4;205;1;0;0;0;0;1;0.0;66.0
Lisse-G0553;67;0;3529;623;268;600;796;17;415;53;0;0;0;0;0;0.0;324.0
Lith-G0808;21;0;1984;68;14;0;0;0;0;0;48;0;0;0;0;0.0;135.0
Lochem-G0262;187;0;397;1876;1013;267;488;264;14;3;0;0;0;0;0;0.0;243.0
Loenen-G0329;40;0;330;329;298;248;306;8;116;27;0;0;0;0;9;0.0;99.0
Loenersloot-G1105;5;0;109;37;13;59;84;2;49;1;0;0;0;0;4;0.0;20.0
Loon op Zand-G0809;128;0;6441;304;68;0;0;20;101;0;226;0;0;0;0;0.0;138.0
Loosdrecht-G0330;101;0;250;640;952;487;469;81;140;64;0;0;0;0;57;0.0;319.0
Lopik-G0331;28;0;614;466;102;531;432;21;341;4;0;0;0;0;3;0.0;121.0
Loppersum-G0024;29;0;8;675;288;743;203;12;0;123;0;0;0;0;0;0.0;110.0
Losser-G0168;176;0;6039;1026;189;43;652;449;8;12;0;0;0;0;0;0.0;263.0
Luyksgestel-G0810;15;0;739;23;3;0;0;1;3;2;2;0;0;0;0;0.0;27.0
Maarheeze-G0811;29;0;1915;49;3;0;0;0;0;0;7;0;0;0;0;0.0;52.0
