Code B.Vote;@abs;@blank;@null;EÉLV;LR;LREM;Respirations;LFI;PS;RN;LC;LO;UPR;G-Dalmais;G-Jouteux
513;597;1;4;72;85;72;70;24;14;13;8;7;;;
514;595;1;5;96;45;88;69;37;30;21;7;5;;;
515;565;0;1;109;73;79;88;21;23;25;15;6;;;
516;561;0;14;146;64;87;83;53;23;30;12;5;;;
517;480;2;11;39;24;34;42;15;15;13;2;4;;;
518;576;3;7;29;14;40;18;12;17;24;2;4;;;
519;576;3;6;64;69;90;40;17;10;26;27;0;;;
520;521;3;3;54;30;48;66;19;16;21;8;4;;;
521;563;0;1;48;12;42;25;17;14;16;8;8;;;
522;655;1;5;59;51;103;47;17;12;23;12;4;;;
523;610;2;2;70;46;86;37;11;16;17;6;3;;;
524;472;2;6;105;47;61;77;40;23;14;7;6;;;
525;525;2;11;75;42;56;48;22;18;19;6;8;;;
526;509;2;7;151;65;41;70;40;27;15;16;4;;;
527;631;2;3;70;97;73;66;25;27;32;9;2;;;
528;515;1;3;116;96;48;65;48;17;16;8;6;;;
529;472;3;6;104;70;36;56;48;18;22;11;1;;;
530;418;2;0;99;50;40;38;51;15;17;10;3;;;
